1.-1t	多俾亚传
11.11	多俾亚向他走去，手中拿着鱼胆，向他的眼睛吹了一吹，随后抱住他说：「父亲，放心罢！」接着把药给他涂上，给他敷上。
11.12	随后多俾亚双手把白翳从眼角里剥了出来。
11.13	他看见自己的儿子，便扑到他的颈项上，流着泪对他说：「孩子，我眼中的光！我看见你了！」
11.14	他又说：『天主是可赞美的！大名应永远受赞扬！众圣天使也是可颂扬的！愿他的大名永远受赞颂，因为他惩罚了我，却又怜悯了我，使我现在得见我的儿子多俾亚。」
11.15	多俾亚于是欢天喜地满口赞美着天主进了家门，然后给他父亲讲述了他怎样一路顺利，怎样索回银子，并且怎样娶了辣古耳的女儿撒辣为妻。他并说：「她已来近了，快到尼尼微的城门口。」
	
11.16t	合家团聚
11.16	托彼特于是欢喜赞美着天主，走到尼尼微城门前，去迎接自己的儿媳。尼尼微人看见他独自行走，用不着人扶助，都惊讶得很。托彼特便当众承认天主怜悯了他，开了他的眼睛。
11.17	及至托彼特走到自己的儿子多俾亚的妻子撒辣面前，遂祝福她说：「女儿，欢迎，欢迎，愿领你到我们这里来的天主受赞扬！女儿愿你的父母获得祝福！愿我的儿子多俾亚获得祝福！女儿，也愿你获得祝福！你怀着祝福和喜乐平安进入你的家罢！女儿进来！」
11.18	这一天，尼尼微城内的犹太人皆大欢喜。
11.19	他的侄子阿希加和纳达布也欢乐地来到托彼特的家里。多俾亚的婚筵连续举行了七天，给他送来了许多礼品。
	
	
12.0t	第十二章(22)
	
12.1t	辣法耳的工资
12.1	婚筵完毕，托彼特叫了他的儿子多俾亚来对他说：「孩子，你去把工资交给与你同行的人罢！并且要多给他些作酬报。
12.2	他回答说：父亲我该给他多少工资呢？即便把他与我带回来的财产一半送给他，我也不吃亏。
12.3	他领我平安回来，治好了我的妻子，给我索回了银子来，又医好了你。我应该给他多少工资呢？」
12.4	托彼特对他说：「孩子，他实在堪当收下他回来时，所带来的一切的一半。」
12.5	多俾亚于是叫了他来，对他说：请你收下你回来时，所带来的财产的一半，作你的工资，然后平安回去罢！
	
12.6t	天使的训示
12.6	那时，他暗地里叫了他们二人来对他们说：「你们该赞美天主，感谢他，显扬他！该在众人前把他为你们所做的一切好事归功于他，为赞美歌颂他的圣名；该向众人隆重地宣示天主的工程，不要迟缓感谢他！
12.7	隐藏君王的秘密固然是好，但对天主的工程应该隆重地宣示和公认。你们行善凶祸便不会临于你们。
12.8	祈祷与斋戒固然是善功但秉义施舍却超过前二者；秉义而少有，胜于不义而多有；施舍救济，胜于储蓄黄金，
12.9	因为施舍救人脱免死亡，且涤除一切罪恶。施舍行义的人必享高寿；
12.10	犯罪与行不义的人便是仇视自己的生命。
12.11	我要向你们说出全部真情，决不向你们隐藏什么。我已经向你们说过：隐藏君王的秘密固然是好，但传扬天主的工程却是应当的。
12.12	当你和撒辣祈祷时我，便把你们的恳求呈到上主的荣耀前；当你埋葬死者时，我也同样地在你左右。
12.13	当你毫不踌躇地起来，放下你的饮食，去埋葬那死者的时候，我便被差遣来试探你，
12.14	同时天主也派遣我来医治你和你的儿媳撒辣。
12.15	我是辣法耳，是在上主的荣耀前，侍立往来的七位天使之一。」
	
12.16t	辣法耳辞行
12.16	二人便惊慌起来，匍匐在地，害怕得很。
12.17	天使对他们说：「不必害怕，愿你们平安！你们该永远赞美天主。
12.18	我与你们在一起，并不是出于我的好心，而是出于天主的圣意。因此，你们该天天赞美他，歌颂他。
12.19	你们虽然天天见我吃喝，其实我并没有吃喝什么；你们看见的，只是个现象而已。
12.20	你们现在该在世上赞美上主，感谢天主。看我要升到遣发我来者那里去；你们该把所遇到的一切事写下来。」说完这话便升天去了。
12.21	当他们起来时，已经再看不见他了。
12.22	他们便赞美歌颂天主，并且感谢他行了这一切伟大的事业，因为天主的天使显现给他们。
	
	
13.0t	第十三章(18)
	
13.1t	托彼特的赞主词
13.1	托彼特为表达自己的欢乐，写了一篇祷文说：
13.2	永生的天主应受赞颂；他的王权永远常存，因为他惩罚而又怜悯，把人抛在阴府的深处，而又把他从凄惨的祸患中救出，没有谁能逃出他的掌握。
13.3	以色列子民！你们当在外邦人的面前颂扬他，因为他使你们流徙到他们之中，
13.4	是为叫你们在那里显扬他的伟大。你们该在众生之前歌颂他，因为只有他是我们的上主，只有他是我们的天主，只有他是我们的父亲，只有他永远是天主。
13.5	他惩罚你们，是为了你们的不义；但他要怜恤你们众人，把你们这些分散于各民族中的人聚集起来。
13.6	若是你们全心全灵归向他，在他面前履行正道，他也必转向你们，不再掩面不顾。
13.7	所以你们如今应默观他向你们所作的一切，然后高声感谢他；该赞美公义的上主，该颂扬永世的君王。
13.8	我要在被掳充军之地赞美他，向犯罪的国民宣扬他的威能和伟大。罪人啊！你们悔改罢！你们在他面前行义罢！谁知道，或者他会宽待你们而怜悯你们！
13.9	我颂扬我的天主，我的灵魂欣悦于天上的君王。
13.10	愿众人颂扬他的伟大，在耶路撒冷赞美他。耶路撒冷圣城！因你子女的恶行，他必施行惩罚，但他还要怜悯义人的子孙。
13.11	你该适当地赞美上主，称颂万代的君王，因为他的会幕在你内，将再欢欣地建筑起来，
13.12	为使众俘虏在你内喜乐，为使一切不幸的人，在你内永远获得慈爱。
13.13	那时灿烂的光辉，将照耀大地四极；无数的外方人，将从远方到你这里来；大地四极的居民将要归属于上主天主的圣名之下，双手带着礼物献给天上的君王；万世万代必将因你而喜乐，被选者的名号必永垂不朽。
13.14	凡出言开罪你的人，必受诅咒；凡毁灭你，破坏你的墙垣，打倒你的堡垒，焚烧你房屋的人，必受诅咒；但兴建你的人，必永远受祝福。
13.15	那时你为义人的子孙欢欣喜乐罢！因为他们都要再聚在一处，赞美永远的上主。爱你的人是有福的，为你的福利而喜乐的人是有福的，
13.16	因你种种困苦而为你忧伤的人是有福的，因为他们要因你而欢乐，并且要得见你永远的喜乐。我的灵魂，请你赞颂上主大君!
13.17	因为耶路撒冷必要重建，永远为他的居所。若我后裔的遗民能看见你的荣耀，而称谢天上的君王，那我多么有福啊！耶路撒冷的城门，将是用蓝宝石和翡翠建造的；周围的城墙，将是用宝石砌成的；耶路撤冷的守望台将是用金子筑成的，堡垒将是用纯金造成的；耶路撒冷的街道将是用红宝石和敖非尔石铺成的。
13.18	耶路撒冷的城门都要高唱快乐的诗歌，家家户户都要欢呼：亚肋路亚，以色列的天主应受颂扬！蒙福的人要赞美为圣的名号，至于无穷之世。
	
	
14.0t	第十四章(15)
	
14.1t	托彼特的老年与遗嘱
14.1	托彼特的颂词就此结束。
14.2	他于一百一十二岁上平安去世，哀荣地葬在尼尼微。他双目失明时六十二岁；复明以后，生活也很幸福，且继续施舍救济，时常赞美天主，颂扬天主的伟大。
14.3	当他临终的时候，叫了他儿子多俾亚来，吩咐他说：「孩子！你要领你的孩子，
14.4	快往玛待去，因为我确信天主借纳鸿先知论尼尼微所说的话，必要应验，临于亚述国和尼尼微城。凡天主遣发到以色列的先知所说的一切，也要来临，其中一字也不能删去，必要一一按时应验；只有在玛待比在亚述和巴比伦更为安全，因为我知道，并确信天主所说的一切，必要成就应验；预言中一句也不会落空。但是，我那些住在以色列地的同胞也要被驱逐，并从福地里被掳去；以色列全地必要荒芜，撤玛黎雅和耶路撒冷也要变成荒地，天主的殿宇也要被烧毁，变成灰烬，直到某一时期。
14.5	可是，天主还要怜悯他们，天主要再领他们回到叫以色列地，重建殿宇，但不如从前的那一座，直到指定的时期圆满为止。此后，众人将要从流徒之地回来，重建耶路撤冷，恢复繁荣，其中也将重建天主的殿宇，照以色列的众先知所预言的。
14.6	普天下所有的外邦人，将回心转意，离弃那些迷惑他们走入歧途的偶像，虔诚敬畏上主天主，以行义来赞颂永生的天主。
14.7	在那些时日内，凡得以逃生的以色列子民，必诚心诚意怀念天主，聚集起来，回到耶路撒冷，永远在亚巴郎的土地上安居乐业，因为这土地应归还于他们。凡诚心诚意敬爱天主的人，必要欢乐；作恶犯罪的人，必要从地上灭绝。
14.8	孩子！现今我吩咐你们该诚心事奉天主，作他喜欢的事。也该命令你们的子女，行善施舍，使他们时常记念天主，永远全心全力赞美他的圣名。
14.9	孩子！现今你该离开尼尼微，不要留在这里。自你把你母亲埋葬在我身旁的那天起，就要离开这里，因为我看见城中充满了不义，人任意欺诈而不以为耻。
14.10	孩子！你看看纳达布怎样对待了教养他的阿希加：阿希加不是被他活活地逼入地下吗？但是天主，当面补偿了他所受的凌辱，阿希加出来重见天日，纳达布却进入了永远的黑暗中，原来他想谋杀阿希加。阿希加因为施舍哀矜，所以能脱离纳达布为他预备的死亡圈套；而纳达布自己却陷入了死亡的罗纲丧失了性命。
14.11	孩子！所以你们看？：施舍的结果是什么？不义的结果是什么？是死亡。现在我的灵魂要离开了。」于是众人把他放在床上；他便死了。人们隆重地埋葬了他。
	
14.12t	多俾亚的晚年
14.12	多俾亚的母亲亚纳死后，他便把她同他的父亲葬在一起；随后，便同自己的妻子儿女离开了那里，到玛待去在厄克巴塔纳与他的岳父辣古耳住在一起。
14.13	他孝敬他们直至他们寿终正寝，把他们埋葬在玛待厄克巴塔纳，也承继了辣古耳和他父亲托彼特的家产。
14.14	生时很受尊荣，死在玛待厄克巴塔纳，享年一百一十七岁。
14.15	他死前听到了尼尼微毁灭的消息，也亲眼见了玛待王基雅撒勒掳到玛待的俘虏，而赞美天主对尼尼微和亚述子民所作的一切。如此，在他未死之前，能为尼尼微的毁灭而喜乐，赞美上主天主于无穷之世。阿们。
