1.-2t	列王纪上
7.41	计有柱子两根，柱子顶端球形的柱头两个，遮护柱子顶端球形柱头的网子两个，
7.42	两个网子上的石榴四百个，─每个网子上有两行石榴，为遮护柱子顶端的两个球形柱头，
7.43	盆座十个，放在座上的盆子十个，
7.44	铜海一个，铜海下的铜牛十二只，
7.45	锅铲和盘：以上一切器皿，都是希兰给撒罗满用光滑的铜，为上主的殿制造的，
7.46	是他在约旦平原，稣苛特与匝尔堂之间，用胶泥模铸成的。
7.47	撒罗满没有秤量这一切器皿，因为铜太多，重量无法计算。
7.48	以后撒罗满又制造了上主殿内的一切用具：就是金祭坛，供饼的金桌，
7.49	内殿前的灯台，五个在右边，五个在左边，都是纯金的；还有花蕊、灯盏、烛剪，也是金的。
7.50	又有盆、刀、碗、杯、火盘，都是纯金的；还有内殿既至圣所，和正殿的门枢，都是金的。
7.51	撒罗满就这样完成了为上主的殿所作的一切工作。撒罗满将他父亲达味所奉献的银子、金子和器皿运了来，存放在上主殿宇的府库内。
	
8.0t	第八章
	
8.1t	迎约柜入圣殿
	
8.1	那时，撒罗满召集以色列众长老，各支派的首领和以色列子民各家族族长，都到耶路撒冷，为将上主的约柜从达味城，即熙雍运上来。
8.2	以色列全体民众于是在「厄塔宁」月，即第七月的庆节期中，聚集在撒罗满王那里。
8.3	以色列所有的长老来到后，司祭们便抬起约柜，
8.4	司祭和肋未人分别将上主的约柜、会幕和帐幕中所有的圣器运了上来。
8.5	撒罗满王和聚集在他那里的以色列全会众，在约柜前祭杀了牛羊，多得无法计算，不可胜数。
8.6	司祭们将上主的约柜抬到殿的内部，即至圣所内，放在革鲁宾翅膀下早已预备的地方。
8.7	革鲁宾的翅膀原是伸开的，正遮在约柜的所在地之上，所以革鲁宾在上面正遮著约柜和抬约柜的杠杆。
8.8	这杠杆很长，杠杆从内殿前的圣所可以看见，在殿外却看不见；直到今天还在那里。
8.9	约柜内除两块石版外，没有别的东西，是以色列子民出埃及后，上主与他们立约时，梅瑟在曷勒布山放在里面的。
8.10	当司祭从圣所出来时，云彩充满了上主的殿，
8.11	以致为了云彩，司祭们不能继续奉职，因为上主的荣耀充满了上主的殿。
8.12	当时，撒罗满便说：「上主曾决定在幽暗之中，
8.13	如今我已为你建筑了一个居所，作为你永久的住处」
	
8.14t	撒罗满向百姓致辞
	
8.14	然后，君王转过身来，祝福在场站立的以色列全会众，
8.15	说「上主以色列的天主，应受赞美！因为他亲自完成了他亲口对我父亲达味所作的预许。他曾说过：
8.16	自从我领我的百姓以色列出离埃及的那天起，我从未在以色列各支派中选择一城，建造一座作我名下的殿。但是现在，我选择了耶路撒冷作我名的居所，拣选了达味作我百姓以色列的领袖。
8.17	我父亲达味原有意为上主以色列天主的名，建造一座殿宇，
8.18	但上主却对我父亲达味说：你有意为我的名建造一座殿宇，你这番心意固然很好，
8.19	但不是你要建造这殿宇，而是你亲生的儿子，他要为我的名建造这殿宇。
8.20	现在，上主实现了他说的话，我已如上主所说的，继承了我父亲达味，坐上了以色列的宝座；我也为上主以色列天主的名，建造了这座殿宇，
8.21	在殿内我也为约柜预备了一个地方，约柜内存有上主的约版，就是他领我们的祖先出埃及时，与他们所立的约。」
	
8.22t	祈祷词
	
8.22	此后，撒罗满当著以色列全会众，立在上主的祭坛前，举手向天，说：
8.23	「上主，以色列的天主！上天下地没有一个神能与你相比。你对那全心在你面前行走的仆人，常是守约表示慈爱。
8.24	你对你仆人我父亲达味所应许的，你都履行了；你亲口应允的，你也亲手成就了，正如今天一样。
8.25	上主，以色列的天主，现在求你实践你向你的仆人，我的父亲达味所应许的罢！你曾说过：只要你的子孙固守正道，在我面前行走，如你一样在我面前行走，你决不缺人在我面前坐以色列的宝座。
8.26	上主，以色列的天主，现在求你，使你向你仆人我父亲达味所应许的话，予以实现罢！
8.27	但是，天主实在住在地上吗？看，天和天上的天尚且容不下你，何况我所建造的这座殿宇呢？
8.28	上主，我的天主，请垂允你仆人的祈祷和恳求，俯听你仆人今天在你面前所发的呼号和祈祷！
8.29	愿你的眼睛昼夜垂视这座殿宇，看顾你所说「我的名要永留在此」的地方！愿你垂听你仆人向这地方要行的祈祷！
8.30	愿你垂听你仆人和百姓以色列向这地方所发的哀祷！愿你在天上，从你的居所予以垂听！请垂听与宽恕！
8.31	若有人得罪了自己的邻人，被迫以咒词起誓，而来到这殿内，在你的祭坛前起誓，
8.32	愿你从天上垂听受理，为你的仆人审断：惩罚恶人，照他的恶行，报应在他的头上；宣告义人无罪，照他的正义酬报他。
8.33	当你的百姓以色列犯罪得罪了你，在敌人面前被击败时，如果他们回心转意，称颂你的名，在这殿内巷你祈祷恳求，
8.34	愿你从天上予以垂听，宽恕你百姓以色列的罪过，领他们回到你赐给他们祖先的地方！
8.35	几时他们犯罪得罪了你，致使天空闭塞不雨；如果他们向这地方祈祷，称颂你的名，并因你的惩罚而远离罪过，
8.36	求你从天上垂听，赦免你仆人和你百姓以色列的罪，指给他们应走的正路，使雨降在你赐予你百姓作为基业的地上。
8.37	如果此地发生饥馑瘟疫，五谷枯萎生霉，或遭受蝗虫蚂蚱，或有敌人犯境围困门下，或不拘遭受什么灾祸疾病；
8.38	如果你的百姓以色列，个人或团体，心中感到内疚，向这殿伸手祈祷哀求，
8.39	愿你从天上你的居所，予以垂听、宽恕、援助，照各人的作为予以赏罚，因为你认识人的心，─惟有你认识所有人子的心，─
8.40	使他们在你赐予我们祖先的地上，终生敬畏你。
8.41	至于那不属于你百姓以色列的外方人，如为了你的大名自远方而来，─
8.42	因为他们听见了你的大名，和你大能的手及伸开的手臂，─来向这殿祈祷，
8.43	愿你从天上你的居所俯听，照外方人所请求于你的一切去行：这样可使地上万民都认识你的名而敬畏你，如同你的百姓以色列一样，使他们知道我所建造的这殿，是属于你名下的。
8.44	你的人民，如果在你派遣他们所走的路上，与敌人交战，而他们向你所拣选的这城，向我为你名建造的这殿，祈求上主，
8.45	愿你从天上俯听他们的祈祷和哀求，为他们住持正义。
8.46	如果他们犯罪得罪了你，─因为没有不犯罪的人，─而你向他们发怒，将他们交于敌人，让敌人将他们掳到或远或近的敌人地域内，
8.47	他们若在被掳往的地方，回心转意，在充军之地，求你说：我们犯了罪，我们行了恶，做了背理的事；
8.48	如果他们在俘掳他们的敌人地域内，全心全意归向你，向你赐给他们祖先的地方，向你所拣选的这城，和我为你名建造的这殿哀求你，
8.49	愿你从天上你的居所，俯听他们的祈祷和恳求，并为他们主持正义，
8.50	宽恕得罪你的百姓，宽恕他们违犯你的一切过犯，使他们在俘掳他们的敌人面前获得怜悯，对他们表示同情，
8.51	因为他们究竟是你的百姓，是你从埃及，由镕铁炉中领出来的产业。
8.52	愿你常睁眼垂顾你仆人的哀求，你百姓以色列的哀求，他们无论何时呼号你，愿你都予以垂听！
8.53	我主上主，因为你曾将他们从地上的万民中选拔出来，作你的产业，正如你在领我们祖先出离埃及时，藉你的仆人梅瑟所声明的。」
	
8.54t	祝福词
	
8.54	撒罗满跪在上主的祭坛前，举手向天，祈祷哀求上主完毕，就起来，
8.55	立著，高声祝福以色列全会众说：「
8.56	上主应受赞美！因为他照自己所应许的，使自己的百姓以色列获得了安居；凡他藉著自己的仆人梅瑟所应许赐福的话，一句也没有落空。
8.57	愿上主我们的天主与我们同在，有如与我们的祖先同在一样：不离开我们，也不抛弃我们。
8.58	愿他使我们的心归向他，履行他的一切道路，恪守他吩咐我们祖先的诫命、律例和典章。
8.59	愿我在上主面前所作的恳切祷词，昼夜在上主我们的天主面前，好使他天天维护他仆人和他的百姓以色列，
8.60	使地上万民都知道：只有上主是天主，他以外没有别的神。
8.61	但愿我们的心全归于上主我们的天主，遵行他的律例，恪守他的诫命，如停今天一样。」
	
8.62t	行奉献礼
	
8.62	此后，君王和全以色列，一同在上主面前祭杀了牺牲。
8.63	撒罗满祭杀了牛两万二千头，羊十二万只，献于上主，作为和平祭；君王和全以色列子民，就这样为上主的殿举行了奉献礼。
8.64	当天，君王又祝圣了上主殿前的内院，在那里奉献了全燔祭、素祭与和平祭的脂油，因为上主面前的铜祭坛太小，容不下全燔祭、素祭及和平祭的脂油。
8.65	同时，撒罗满有举行了庆节，与从哈玛特渡口到埃及小河的全以色列人，举行了盛大集会，在上主我们的天主面前，举行庆节七天【又七天，共十四天。】
8.66	第八天，君王遣散了百姓；他们为君王祝福后，各自回了本家，对上主向他的仆人达味，他的百姓以色列，所施的种种恩宠，都非常高兴欢喜。
	
9.0t	第九章
	
9.1t	上主再次显现
	
9.1	撒罗满建造完了上主的殿、王宫和他所喜欢建造的一切建筑物以后，
9.2	上主第二次显现给撒罗满，像在基贝红显现给他一样。
9.3	上主对他说：「我已应允了你在我面前所行的祈祷和哀求，我也祝圣了你所建筑的这殿，将我的名永远安放在那里，我的眼和我的心，也将时常留在那里。
9.4	至于你，如果你在我面前行走，像你父亲达味那样行走，心地纯朴，公正无私，遵守我所吩咐你的一切，恪守我的法律和点章，
9.5	我必永远巩固你在以色列中的王位，照我应许你父亲达味所说：你的子孙中，决不缺人坐上以色列的宝座。
9.6	但是，如果你们或你们的子孙远离我，不遵守我给你们颁赐的诫命和律例，而去服侍敬拜别的神，
9.7	我必要将以色列从我赐给他们的地面上除掉，而我为我的名所祝圣的这殿，我也必要弃之不顾，使以色列成为万民中的话柄和笑谈，
9.8	这殿要成为废墟，凡从这里经过的人，都要惊愕嗟叹说：上主为什么这样对待了这地和这殿？
9.9	人必回答说：是因为他们离弃了领他们祖先出离埃及的上主，他们的天主，而归依、崇拜、服侍了别的神，为此，上主使这一切灾祸临到他们的身上。」
	
9.10t	撒罗满与希兰的交易
	
9.10	撒罗满费时二十年，才完成了那两大殿宇：即上主的殿宇和君王的宫殿。
9.11	其间提洛王希兰曾依照撒罗满的要求，供给了他香柏木、柏木和黄金。此时撒罗满王便将加里肋亚境内二十座城，送给了希兰。
9.12	希兰从提洛前来，观看撒罗满送给他的城，一见就不满意，
9.13	说「吾兄，你送给我的这些城，是什么城？」因此直到今日，这些城仍称为加步耳地。
9.14	希兰原送给了撒罗满王一百二十「塔冷通」黄金。
	
9.15t	建城造船
	
9.15	此段记载撒罗满徵夫服役，建造上主的殿、王宫、米罗、耶路撒冷的城墙、哈祚尔、默基多、革则尔、【
9.16	以前，埃及王法郎曾上来，攻取了革则尔，放火烧城，屠杀了城里的客纳罕人，将这城赐给了自己的女儿，撒罗满的妻子，作为妆奁。
9.17	为此撒罗满重修了革则尔。】下贝特曷龙、
9.18	巴拉特和境内靠近旷野的塔玛尔、
9.19	撒罗满所有的贮货城、屯车城和养马城，以及撒罗满在耶路撒冷，在黎巴嫩，在他管辖的各地内，喜欢建造的一切建筑物。
9.20	至于不属于以色列子民的阿摩黎人、赫特人、培黎齐人、希威人和耶步斯人的遗族，
9.21	就是以色列人子民未能消灭而留在地方上的外族子孙，撒罗满都徵来充作苦役，直到今天。
9.22	至于以色列子民，他不令他们作苦役，只叫他们服兵役，作朝臣、将帅、军官、战车长和骑兵长。
9.23	管理撒罗满工程的主任官员，计有五百五十人，他们负责监督作工人。
9.24	法郎的女儿从达味城，搬进撒罗满为她建造的宫室之后，撒罗满才开始建造米罗。
9.25	撒罗满每年三次在他建的祭坛上，向上主奉献全燔祭与和平祭，在上主面前的香坛上焚香；又常修理圣殿。
9.26	此后，撒罗满王又在厄东城，红海之滨，靠近厄拉特的厄兹雍革贝尔建造船只。
9.27	希兰派遣自己的臣仆，善于航海的船员，与撒罗满的仆人同船航行，
9.28	去了敖非尔，从那里装载了四百二十「塔冷通」黄金，运到撒罗满王那里。
	
10.0t	第十章
	
10.1t	舍巴女王来访
	
10.1	舍巴女王听说撒罗满因上主之名获得的声望，即前来以难题考问撒罗满。
10.2	她带了许多随员，骆驼装载大批的香料、黄金和宝石，来到了耶路撒冷；当她进见撒罗满时，就向他提出了心中的一切疑难，
10.3	撒罗满对她所问的一切难题，一一给她解答了，没有一样可难住君王，而不能给她解答的。
10.4	舍巴女王看见了撒罗满的种种智慧和建造的宫殿，
10.5	筵席上的肴馔，群臣的坐次，仆从的侍候和服装，供应的饮料，以及他在上主殿内奉献的全燔祭，惊讶得出神，
10.6	因而对君王说：「关于你的言行和智慧，我在我国内所听到的传说，的确是真的！
10.7	以前我原不相信这些传闻，及至我来亲眼见了，才知道人告诉我的还不及一半；你的智慧和你的富贵远超过我所听闻的。
10.8	你的妻妾，你的臣仆，能常常侍立在你面前，使你坐了以色列的王位；
10.9	上主因为永远喜爱以色列，才立你为王，秉公行义。」
10.10	舍巴女王遂将一百二十「塔冷通」黄金，大批香料和宝石，赠送给君王；以后进入的香料，再没有像舍巴女王送给撒罗满的那样多。
10.11	从敖非尔运金子的希兰船只，也从敖非尔运来了大批檀香木和宝石。
10.12	君王用檀香木，为上主的殿和君王的宫殿制造了栏杆，又为歌咏者制造了琴和瑟；以后再没有这样的檀香木运进来，也没有人再看见过，直到今天。
10.13	撒罗满王除了照王的宽洪大量送给舍巴女王的礼品外，凡女王所要求的喜爱的物品，君王都送给了她。以后，她和自己的臣仆走了，回了本国。
	
10.14t	撒罗满的财富
	
10.14	撒罗满每年收入的金子，重量有六百六十六「塔冷通；」
10.15	由商人、小贩、各国君王和本国太守所进献的，尚不计算在内。
10.16	撒罗满王用黄金打造了二百个大盾牌，每个用金六百「协刻耳。」
10.17	有用黄金打造了三百个小盾牌，每个用金三「米纳。」君王把这些盾牌，都放在黎巴嫩林宫。
10.18	君王又用象牙制造了一个大宝座，用纯金包镶。
10.19	宝座有六级台阶，座背后有牛头，座位两边有扶手，扶手两旁立著两只狮子。
10.20	六级台阶上立著十二只狮子，每边六只。任何国家都没有像这样的宝座。
10.21	撒罗满王所有饮器都是金的，黎巴嫩林宫的一切器具，都是纯金的，没有一件是银子的；银子在撒罗满时代并不值什么。
10.22	因为君王有一队塔尔史士船只，与希兰的船只一同航海；去塔尔史士的船只，每三年往返一次，运来金、银、象牙、猿猴和孔雀。
	
10.23t	撒罗满的智慧
	
10.23	这样，撒罗满王在富贵和智慧上，超过了世上所有的君王。
10.24	全世界上的人都想见撒罗满的面，听听天主赋于他心中的智慧。
10.25	各人给他带来自己的礼物：银器、金器、衣服、兵器、香料、骏马和骡子：年年都是如此。
	
10.26t	撒罗满的马车
	
10.26	撒罗满也积聚了战车和骑兵；他拥有战车一千四百辆，骑兵一万二千，驻扎在屯车城和耶路撒冷君王左右。
10.27	君王在耶路撒冷有的银子多如石头，香柏木多如平原的桑树。
10.28	撒罗满所有的马，都是从慕兹黎和科厄运来的，是君王的商人付出定价，从科厄买来的。
10.29	从慕兹黎运来一辆战车，需银六百「协刻耳；」一匹马，需银一百五十「协刻耳。」同样，为赫特人和阿兰人的君王输送车马，也是经过这些商人。
	
11.0t	第十一章
	
11.1t	撒罗满敬拜邪神
	
11.1	撒罗满除了法郎的公主外，又爱上了许多外国女子：即摩阿布女子，阿孟女子，厄东女子，漆冬女子，赫特女子。
11.2	关于这些民族，上主曾吩咐以色列子民说：「你们不可到他们中间去，他们也不可到你们中间来，否则他们必会引诱你们的心，倾向他们的神。」但是，撒罗满却恋爱这些女子。
11.3	他有七百个各地公主为妻妾，另外还有三百妃子；这些妻妾终于败坏了他的心。
11.4	当撒罗满年老的时候，这些妻妾迷惑了他的心，勾引他去崇拜别的神；他的心已不像他父亲达味的心，全属于上主他的天主。
11.5	这样，他随从了漆冬人的女神阿市托勒特和阿孟人的可憎之物米耳公。
11.6	撒罗满作了上主眼中视为恶的事，不像他父亲达味那样全心服从上主。
11.7	那时，撒罗满在耶路撒冷东面的山上，为摩阿布人的可憎之物革摩士，为阿孟子民的可憎之物摩肋客，修筑了丘坛。
11.8	他为所有的外国妻妾，都修筑了丘坛，各给自己的神焚香献祭。
	
11.9t	上主发怒警告
	
11.9	上主遂向撒罗满发怒，因为他的心偏离了两次显现给他的上主以色列的天主。
11.10	当时，上主对此事曾吩咐过他，不可去随从别的神，但他却没有遵守上主的命令。
11.11	于是，上主对撒罗满说：「你既然这样行事，不遵守我的盟约，和我吩咐你的诫命，我必要夺去你的王国，赐给你的一个臣仆。
11.12	虽然如此，但为了你父亲达味的缘故，在你有生之日，我不作这事；我将要由你儿子手中夺去。
11.13	但是仍不完全夺去，为了我仆人达味和我所拣选的耶路撒冷，我仍给你的儿子留下一支派。」
	
11.14t	撒罗满的外患
	
11.14	那时，上主兴起一个反抗撒罗满的人，就是厄东王的后裔，厄东人哈达得。
11.15	当达味打败厄东后，军长约阿布前去埋葬阵亡的人时，杀了厄东所有的男子；
11.16	约阿布和全以色列在厄东逗留了六个月，直到将厄东所有的男子完全杀掉。
11.17	哈达得却同他父亲的几个臣仆厄东人逃往埃及，那时哈达得还很年轻。
11.18	他们从米德杨起身，到了帕兰，从帕兰又带了些人到埃及，投奔埃及王法郎；法郎给了他一座房屋，供给他食用，又给了他一块土地。
11.19	哈达得在法郎眼前很是得宠，因此将自己的妻子塔培乃斯王后的妹妹，嫁给他为妻。
11.20	塔培乃斯的妹妹给哈达得生了一个儿子叫革奴巴特。塔培乃斯在法郎宫中抚养他，因此革奴巴特便住在法郎宫中，同法郎的公子们一起。
11.21	哈达得在埃及听说达味已与他的列祖同眠，军长约阿布也已去世，便对法郎说：「请让我走，回到我故乡去！」
11.22	法郎对他说：「你在我这里缺少什么，竟想回到你的故乡去？」他回答说：「什么也不缺，只求你让我回去！」
11.23	天主又兴起一个反抗撒罗满的人，就是厄肋雅达的儿子勒宗。他由自己的主人祚巴王哈达德则尔前出走。
11.24	在达味击杀阿兰人时，聚集了一些人，作了土匪头目，去了大马士革，盘踞在那里，做了大马士革王。
11.25	撒罗满有生之日，勒宗始终与以色列为敌。哈达得就回了国。哈达得的危害，即在于他作了厄东的君王，不断骚扰以色列。
	
11.26t	撒罗满的内忧
	
11.26	厄弗辣大地责勒达人，乃巴特的儿子雅洛贝罕，─他的母亲名叫责鲁阿，是个寡妇─原是撒罗满的臣仆，他也起来反抗君王。
11.27	他反抗君王的原委是这样：当时撒罗满正在建筑米罗，修葺他父亲达味城的裂口；
11.28	雅洛贝罕这个人原很有才能，撒罗满见这少年人很能做事，便派他监督若瑟族的一切劳役。
11.29	有一次，雅洛贝罕走出耶路撒冷，史罗的先知阿希雅在路上遇见了他；先知身上穿著一件新外衣，在田间只有他们二人。
11.30	阿希雅便拿起他所穿的新外衣，撕成了十二块，
11.31	然后对雅洛贝罕说：「你拿十块，因为上主以色列的天主这样说：看，我必将撒罗满手中的王国撕裂，将十个支派交给你。
11.32	为了我仆人达味，和我从以色列支派中选的耶路撒冷城的缘故，仍给他留下一支派，
11.33	因为他背弃了我，崇拜了漆冬人的女神阿市托勒特、摩阿布人的神革摩士和阿孟人的神米耳公。他没有像他父亲达味那样履行我的道路，行我视为正义的事，恪守我的律例和诫命。
11.34	但我不愿从他手中夺去整个王国，我要使他有生之日作首领，是为了我所选的仆人达味的缘故，因为他遵守了我的诫命和律例。
11.35	我却意从他儿子的手中夺回王国，给你十个支派，
11.36	只留下一个支派给他的儿子，使我的仆人达味，在我所拣选立我名的耶路撒冷城中，在我面前常有一盏明灯。
11.37	我选取你，使你随意统治一切，作以色列的君王。
11.38	如果你听从我吩咐你的一切，履行我的道路，行我视为正义的事，恪守我的律例和诫命，如同我的仆人达味一样，我必与你同在，为你建立一巩固的家室，像我为达味所建立的一样。我将以色列交给你，
11.39	藉以贬抑达味的后裔，但不致于久远。」
11.40	因此，撒罗满想杀害雅洛贝罕，雅洛贝罕遂起身逃往埃及，投奔埃及王史沙克；他住埃及，直到撒罗满逝世。
	
11.41t	撒罗满逝世
	
11.41	撒罗满其余的事迹，他的一切作为和智慧，都记载在撒罗满实录上。
11.42	撒罗满在耶路撒冷作王，统治全以色列，凡四十年。
11.43	撒罗满与他的列祖同眠，葬在他父亲达味城内；他的儿子勒哈贝罕继位为王。
	
12.-1t	中编犹大以色列两国史(-列下)
	
12.0t	第十二章
	
12.1t	分裂近因
	
12.1	勒哈贝罕去了舍根，因为全以色列集合在舍根，要立他为王。
12.2	乃巴特的儿子雅洛贝罕，为躲避撒罗满王，曾逃往埃及，现在听说撒罗满已死，便从挨家埃及回来了。
12.3	有人派人请了他回来，他便和以色列全会众前来，对勒哈贝罕说：「
12.4	你的父亲使我们的负担繁重，现在，你得减轻你父亲加给我们的苦役和重轭，我们才肯服事你。」
12.5	他回答他们说：「你们暂时回去，三天以后再来见我。」人民就都走了。
12.6	勒哈贝罕便同那些在他父亲撒罗满生时，作臣仆的老年人商议说：「依你们的意见，我该怎样答覆这些民众？」
12.7	他们回答说：「如果你今天愿意作这民众的仆人，服事他们，答应他们，对他们说好话，他们必会常常服事你。」
12.8	但是，君王竟拒绝了老年人给他出的主意，反去同那些与他一起长大，侍立在他面前的少年商议，
12.9	问他们说：「这些人民对我说：请你将你父亲加于我们的重轭减轻些。依你们的意见我该怎样答覆他们？」
12.10	这些与他一起长大的少年人答说：「这些人民对你说：你父亲使我们负担繁重，请你给我们减轻些！你要回答他们，对他们这样说：我的小指比我父亲的腰还粗！
12.11	我父亲曾加重了你们的重担，我更要加重你们的重担；我父亲用皮鞭责打你们，我却要用铁刺鞭责打你们！」
12.12	雅洛贝罕和全体人民照君王所说：「你们第三天再来见我」的话，第三天就来见勒哈贝罕。
12.13	君王严厉答覆了人民，抛弃了老年人给他出的主意，
12.14	却依照少年人的主张，对民众说：「我的父亲加重了你们的重担，我更要加重，我父亲用皮鞭责打你们，我反要用铁刺鞭责打你们。」
12.15	君王始终不肯听从民众。这一转变原是出于上主，为实现他自己的话，就是上主藉史罗人阿希雅对乃巴特的儿子雅洛贝罕所说的话。
	
12.16t	政治分裂
	
12.16	全以色列人见君王不肯依他们，便回覆君王说：「我们与达味有什么分子？我们与叶瑟的儿子毫无关系！以色列！回到你的帐幕去啊！达味啊！现在你只顾你的本家罢！」以色列人于是都回了自己的帐幕，
12.17	只有那些住在犹大城市的以色列子民，仍属勒哈贝罕统治。
12.18	勒哈贝罕王派遣监管劳役的阿多兰，去见以色列，以色列人却用石头将它砸死，勒哈贝罕急忙上车，逃回了耶路撒冷。
12.19	这样，以色列便与达味家分离了，直到现在。
12.20	那时，全以色列人听说雅洛贝罕已经回来，便派人邀请它前来赴会，立他为王，统治全以色列；从此跟随达味家的，只有猷大支派。
12.21	勒哈贝罕一回到耶路撒冷，即刻召集犹大全家和本雅明支派所有十八万善战的精兵，要去攻打以色列家，想把王国夺回，再归属撒罗满的儿子勒哈贝罕；
12.22	但是，天主有话传于天主的人舍玛雅说：「
12.23	你去告诉撒罗满的儿子，犹大王勒哈贝罕，犹大全家和本雅明以及其余的人民说：
12.24	上主这样说：你们不要前去，攻打你们的兄弟以色列人，你们各自回家去罢！因为这事原出于我。」他们便听从了上主的话，依照上主的话回去了。
	
12.25t	宗教分裂
	
12.25	雅洛贝罕在厄弗辣因山地修筑了舍根，住在那里；又从那里出来，修筑了培奴耳。
12.26	雅洛贝罕心中思量：「这王国迟早要归于达味王室；
12.27	如果这人民上耶路撒冷，在上主殿内献祭，他们的心难免不归向他们的主上犹大勒哈贝罕，把我打死，再归属于犹大王勒哈贝罕。」
12.28	因此，雅洛贝罕王拿定了主意，制造了两只金牛犊，对人民说：，「你们不需要再上耶路撒冷去了；以色列！看，这就是领你们由埃及地上来的天主！」
12.29	他将一只供在贝特耳，一只供在丹。
12.30	这使以色列陷于罪恶，因为民众竟远至丹去敬拜另一只。
12.31	雅贝洛罕又在高丘建立了神殿，将不属于肋末子孙的平民立为司祭；
12.32	规定八月十五日举行庆节，像在犹大所举行的庆节一样，亲自上坛献祭。他也如此在贝特耳向他所制造的牛犊献了祭，并在贝特耳为他建造的高丘神坛，委派了司祭。
12.33	在他随意选定的八月十五日，他亲自上了他在贝特耳所筑的祭坛，为以色列子民举行庆节，上坛焚香献祭。
	
13.0t	第十三章
	
13.1t	先知警告雅洛贝罕
	
13.1	正值雅洛贝罕站在祭坛那里要献祭焚香时，有一天主的人，奉上主的命，从犹大来到贝特耳，
13.2	以上主的名义对祭坛呼喊说：「祭坛，祭坛！上主这样说：看，达味家要生一个儿子，名叫约史雅，他要在你上面祭杀那些在你上面焚香献祭的高丘司祭，人们的骨骸也要在你上面焚烧。」
13.3	同时，他又提出一个预兆说：「这是上主所说的预兆：看，这祭坛要破裂，上面的灰要倾撒下来。」
13.4	雅洛贝罕王一听见天主的人，对贝特耳祭坛呼喊的话，便从祭坛上伸出手来说：「抓住他！」他向天主的人伸出来的手，即刻枯乾了，不能收回；
13.5	同时祭坛也破裂了，灰也从祭坛上倾撒了下来，正如天主的人奉上主的命令所提出的预兆。
13.6	君王于是对天主的人说：「请你为我祈祷，向上主你的天主求情，使我收回手来。」天主的人便向上主求情，君王的手即刻收回来了，恢复了原状。
13.7	君王对天主的人说：「请你同我到家里去，吃些点心，我要赐给你一个礼物。」
13.8	天主的人对君王说：「你就是将半个宫殿赐给我，我也不同你去，也不在这个地方吃饭喝水，
13.9	因为有上主的话吩咐我说：你不可吃饭，也不可喝水，也不可从你去的路上回来。」于是，他另取道而行，没有从他来贝特耳的路上回去。
	
13.11t	天主的人受欺骗
	
13.11	有一个老先知住在贝特耳，他的儿子们前来，将天主的人当天在贝特耳所作的一切事，都告诉了他，把天主的人对君王所说的话，有都讲给他们的父亲听。
13.12	父亲便问他们说：「他走了那条路？」他的儿子们就把从犹大来的天主的人所走的路指给他。
13.13	老先知遂吩咐他的儿子们说：「快给我备好驴！」他们即为他备好了驴，他就骑上，
13.14	去追赶天主的人，发现他正坐在橡树下，就问他说：「你是从犹大来的天主的人吗？」他答说：「是。」
13.15	老先知对他说：「请你同我到家里去吃点饭罢！」
13.16	天主的人答说：「我不能同你回去，也不能与你同行，更不能在者地方同你一起吃饭喝水，
13.17	因为有上主的话对我说：你在那里也不可吃饭，也不可喝水，也不可从你去的路上回来。」
13.18	老先知对他说：「我也如同你一样，是个先知，有一位天使曾奉上主的命对我说：你去领他跟你回到你家吃饭喝水罢！」老先知原是欺骗他。
13.19	天主的人就跟老先知回去，在他家里吃了饭，也喝了水。
13.20	正当他们二人坐席时，有上主的话传于那领天主的人回来的先知，
13.21	他就对那从犹大来的天主的人喊叫说：「上主这样说：因为你违背了上主的话，没有遵守上主你的天主吩咐你的命令，竟然回来了，在上主吩？
13.22	，你的尸体不得葬入你祖先的坟墓中。」
13.23	他吃喝完了以后，老先知就给他所带回来的先知备了驴，
13.24	他就骑上去了；途中遇见了一只狮子将他咬死，他的尸体横卧在路上，驴站在尸体旁边，那只狮子也站在尸体旁边。
13.25	有路过的人，看见尸体横卧在路上，狮子站在尸体的旁边，就到老先知所住的城中述说了这事。
13.26	那个从路上带回天主的人的老先知听了这事，就说：「这是天主的人，因为他违背了上主的命令，所以上主将他交于狮子，狮子撕裂了他，将他咬死，正如上主关于他所说的话。」
13.27	老先知既吩咐自己的儿子们说：「给我备好驴！」他们将驴备好。
13.28	老先知去了，发现天主的人尸体横卧在路上，驴和狮子站在尸体旁边；狮子没有吞掉尸体，也没有撕裂驴。
13.29	老先知就抱起天主的人的尸体，放在驴上，驮回城中，为他举挨治丧，
13.30	将他的尸体安葬在自己的坟墓里；人哀悼他说：「哀哉，吾兄！」
13.31	安葬它以后，老先知吩咐儿子们说：「我死了以后，你们要把我葬在安葬天主的人的坟墓里，把我的遗骸安放在他的遗骸旁，
13.32	因为他奉上主的命对贝特耳的祭坛，和对撒玛黎雅各城高丘上的一切神殿所喊出的话，必要应验。」
	
13.33t	雅洛贝罕怙恶不悛
	
13.33	这事以后，雅洛贝罕始终没有离开他作恶的道路，仍继续从平民中选派高丘的司祭；凡是愿意的，他就祝圣他们当高丘的司祭。
13.34	雅洛贝罕家因此陷于罪恶，招致丧亡，由地上消灭。
	
14.0t	第十四章
	
14.1t	雅洛贝罕的儿子患病
	
