1.-1t	友弟德传
11.14	他们已打发使者到耶路撒冷去----因为那里的居民也作了同样的事----要他们向长老院要求豁免。
11.15	他们一得到答复，就必实行：就在同一天内他们必落在你手里，而沦于灭亡。
11.16	因此，你的婢女，我一知道这一切，就暗暗离开了他们。天主打发我来，好与你完成这件全世界一听到，无不惊奇的事。
11.17	你的婢女原是敬畏天主的人，日夜都要服侍天上的大主。我主！如今我愿住在你这里，但是夜间你的婢女却要出去，到山谷中去祈求天主。几时他们做出了犯罪的事，他必会告诉我；
11.18	然后我来通知你，你便率领大军出发，他们没有一个敢抵抗你的。
11.19	那时我要领你取道犹太，直取耶路撒冷，在那里建立你的宝座；你率领他们如无牧之羊，连狗也不敢向你张口吠叫。这些事，我已先知，早已说给我，通知我了。故此受命前来，转告给你。」
11.20	她的话使敖罗斐乃和他的众仆从很是喜悦，都惊讶她的智慧说：
11.21	「大地两极间，再没有一个容貌如此美丽，出言如此明智的女人！
11.22	敖罗斐乃对她说：「天主在这个民族以先打发你来，使胜利属于我军，使灭亡归于轻视我主的人，实在做得好！
11.23	现在你的容貌既如此美丽，说话又如此中肯，如果你按照你所说的去行，那么你的天主将是我的天主，你将住在拿步高王的宫殿里，成为全世界上出名的人物。
	
	
12.0t	第十二章(20)
	
12.1t	友弟德戒食祈祷
12.1	敖罗斐乃令人领她到布满银具的餐厅内，吩咐人给她吃他自己的食品，给她喝他自己的酒。
12.2	但友弟德回答说：我不愿吃这些东西，怕有什么防碍；我带来的东西，已足够我吃用的了。
12.3	敖罗斐乃问她说：「假使你带来的东西用完了，从那里能拿同样的东西来给你呢？我们这里没有你同族的人。」
12.4	友弟德答应他说：「我主万岁！直到上主借着我的手，完成他所愿意的事以前，我带来的东西，你的婢女是不会用尽的。」
12.5	以后敖罗斐乃的仆从领她进入一座帐幕。她睡到半夜，晨更前便起来，
12.6	打发人到敖罗斐乃那里说：「请我主下令，准你的婢女出外祈祷。」
12.7	敖罗斐乃就吩咐侍卫，不要阻止她。她在营中住了三天，每夜都出去往拜突里雅山谷中，哨兵布防的水泉旁沐浴；
12.8	然后上来，哀求上主以色列的天主，指给她一条拯救自己同族子民的正路。
12.9	她取洁回去后，留在自己的帐幕里，直到晚上吃饭的时候。
	
12.10t	友弟德被邀赴宴
12.10	到了第四天，敖罗斐乃设宴，只邀请自己的侍卫，军官中一个也没有邀请。
12.11	他对自己的总管巴哥阿宦官说：「你去劝说住在你旁边的那个希伯来归女到我们这里来，同我们一起宴饮。
12.12	如果有这样一个美人在跟前，放过她而不与她交结，这真是扫兴的事！如果我们不引她来，人反会耻笑我们。」
12.13	巴哥阿离开敖罗斐乃去见他说：「你这美丽的女郎！不要踌躇到我主上那里去，当面受他的尊敬，与我们饮酒取乐。今日你要变作拿步高宫内亚述的公主。」
12.14	友弟德回答他说：「我是谁，胆敢违背我主上的意思？凡他喜欢的事，我必赶快去作。这是我一生至死最大的喜悦。」
12.15	遂立即前来，穿上锦衣，全佩带上归女所佩带的装饰品；叫她的婢女先去，把巴哥阿给她每日坐着吃饭的皮垫拿去，给友弟德铺在敖罗斐乃对面的地上。
12.16	友弟德进来，就了位，敖罗斐乃一看她，即心不守舍，神魂颠倒，贪其美色；原来自从见了她那一天起，就想乘机勾引她。
12.17	此时敖罗斐乃对她说：「喝罢，大家一同欢乐！」
12.18	友弟德说：「是，我主！我愿喝，因为我有生以来，我的生活没有象今天再有价值的了！
12.19	就在他面前，将自己婢女预备好的拿来吃喝。
12.20	敖罗斐乃见她如此，喜极狂欢，遂开怀畅饮；有生以来没有一天，喝过这么多的酒。
	
	
13.0t	第十三章(20)
	
13.1t	敖罗斐乃头断醉乡
13.1	夜已深了他的侍卫都迅速离去，巴哥阿从外面把帐幕关好，又示意叫侍役离开主人面前；由于宴饮时间过长，人都感到疲乏，就各自上床睡了。
13.2	此时；在帐幕内只有友弟德，和泥醉横卧在床上的敖罗斐乃。
13.3	友弟德遂吩咐自己的婢女，要她象平日一样，在寝室外等候她出来，因为她说自己要出去祈祷；且也对巴哥阿这样说了。
13.4	此时，所有的人都走了，不论大小没有一个留在寝室内。友弟德就站在他的床边，心里说「上主，全能的天主！求你在此时，眷顾我手要行的工作，为显扬耶路撒冷！
13.5	因为如今正是救助你家业的时候，请玉成我的计划，消灭那起来攻击我们的敌人！
13.6	她走到靠敖罗斐乃头部的床柱前，由上面取下了他的关刀，
13.7	再走近床前，抓住他的头发说：「上主，以色列的天主求你今天赐我力量！」
13.8	遂用尽气力，在他颈上砍了两下，割下他的头颅，
13.9	把他的尸首从床上滚下，由柱上卸下帐幔，即刻走出，将敖罗斐乃的头，交给自己的使女；
13.10	使女把头放进食袋里然后二人一起照习惯出外祈祷去了。
	
13.11t	友弟德凯旋回城
	
13.11	二人经过兵营，绕过山谷，爬上拜突里雅山，来到了自己的城门下。友弟德从远处向守门的人说：「开门！开门啊！天主，我们的天主，与我们同在，他今日所作的再次证明他在以色列中的能力，和处置敌人的威力。」
13.12	城里的人，一听见她的声音，就赶快下来，到城门口，召集了城中的长老。
13.13	于是老幼大小一齐都跑来，由于她回来实在出乎他们意料之外。遂开门迎接她们，点起明亮的火把，将二人围起来。
13.14	友弟德大声对他们说：「赞美天主！赞美、赞美天主！他不但没有从以色列家收回他的仁慈，今夜反借着我的手粉碎了我们的敌人。」
13.15	遂由袋里取出一个人头来，指着对他们说：「看，这就是亚述军队的总司令敖罗斐乃的头。看！这就是他醉后睡的帐幔！上主借着一个妇人的手击杀了他。
13.16	上主永在！他在我行的路上保护了我，因为我的容貌迷惑了他，叫他趋于丧亡；他未曾与我犯罪，玷污羞辱我。」
13.17	民众听了，不胜惊奇，都俯伏在地，朝拜天主，同声说道：今日使你民族的敌人化为乌有的，我们的天主啊！你是应受赞美的！
13.18	敖齐雅对她说：「我女！全世界妇女中，你分外应受至高者天主的降福！创造天地的上主，领你割取我们的敌人统帅头颅的天主，应受赞美！
13.19	在永远记得天主能力的人心中，不会忘记你的信心。
13.20	你不忍见我们民族所受的屈辱，竞不顾惜你的性命，出去挽救我们的危亡，在我们的天主面前，履行正道；希望天主永远使你获得光荣，赐与你幸福！」民众答说：「但愿如此！但愿如此！」
	
	
14.0t	第十四章(19)
	
14.1t	友弟德献计歼敌
14.1	友弟德对他们说：「兄弟们，请听我说：把这人头桂在城垛上。
14.2	天亮，太阳上升照耀大地时，你们各拿武器，所有的壮丁，都应出城；并且立一个首领率领他们，仿佛要下到平原，攻击亚述人的前哨，但是不必下去。
14.3	亚述人一见，必拿起武器，走到营里，叫醒亚述军队的宫长，官长必跑进敖罗斐乃帐幕；若找不着，他必惊慌失措，从你们面前逃走。
14.4	此时，你们以及住在以色列全境内的人民，应去追赶他们，在他们溃退的路上，沿途截击。
14.5	不过在作这事以前，请你们给我将阿孟人阿希约尔叫来，叫他看看并辨认那轻视以色列家，打发他到我们这里来等死的人！」
	
14.6t	阿希约尔辨认人头
14.6	人就由敖齐雅家里将阿希约尔叫来。他一来到，看见会集的人群中，有人手提着敖罗斐乃的头，就立即晕倒在地。
14.7	人将他扶起，他就跪在友弟德脚前叩拜她说：「在所有犹太帐幕里，在所有听到你名字而恐惧的万民中，你是应受赞美的！
14.8	如今请告诉我，你在这几天内所做的事！」友弟德就当着民众，把她从出城那天，直到现今与他们谈话时为止的所作所为，都一一告诉了他。
14.9	她一说完，民众就大声呼喊，全城欢声雷动。
14.10	阿希约尔看见以色列天主所作的这一切，就坚信了天主，受了割损，归依以色列家，直到今日。
	
14.11t	统帅身首异处
14.11	天一发亮，人们就将敖罗斐乃的头挂在城垛上，各人拿着武器，一队一队地，走向山坡的路。
14.12	亚述子民一看见，就打发人通知自己的头目；头目去见长官、千夫长和众将领。
14.13	他们来到敖罗斐乃帐幕前对总管说：「请叫醒我们的主上，因为那些奴才竟敢下来向我们挑战，他们要下来送死。」
14.14	巴哥阿就进去，敲了帐幕的门帘，以为他还与友弟德同睡未起。
14.15	但没有听到什么声音，就揭开门帘，走进寝室，发现敖罗斐乃横卧在脚凳上死了，头已被砍去，
14.16	便大声呼喊、哭泣呻吟、尖叫撕裂了衣服，
14.17	立即跑进友弟德住的帐幕里，也没有找着她，就跑到人们前喊说：
14.18	「这些奴才造反了！一个希伯来女人给拿步高王朝带来了耻辱。看敖罗斐乃死在地上头不见了！」
14.19	亚述军队的众官长一听这话都撕裂了衣服，心慌意乱；此时营中哭声喊声混成一片。
	
	
15.0t	第十五章(14)
	
15.1t	亚述人四面受敌
15.1	营里的人一听说发生的事，都大惊失色，
15.2	十分惊慌害怕，没有两人敢立在一起，一致蜂涌而出，沿平原和山路，四散奔逃。
15.3	驻扎在拜突里雅周围山地一带的，都转身逃走。那时以色列子民所有的壮丁，全蜂涌而出，追赶敌人。
15.4	敖齐雅也打发人到拜托默斯坦、贝拜、苛巴科拉，以及以色列各地，报告所发生的事，要大家都出来袭击敌军，加以歼灭。
15.5	以色列子民一听，万众一心，齐来追击敌军，一直杀到苛巴耶路撒冷和各山地一带的居民，一得知敌人营中发生的事，也出来追击；住在基肋阿得及加里肋亚的，恻面痛击，重创敌军，追杀他们且越过了大马士革及其属境。
15.6	在拜突里雅余下的居民，冲人亚述营盘，抢掠了大批物资。
15.7	以色列子民在追杀敌人回来，拾取了很多丢弃的物资；散处在山地及平原间的村落和庄卢，也夺获了大批的胜利品，因为敌营的物资很多。
	
15.8t	人民歌颂友弟德
15.8	约雅金大司祭，以及耶路撒冷元老院的长老，都来观赏上主对以色列行的奇恩，及看望友弟德向她致贺。
15.9	众人一来到她那里，就一致称赞她说：「你是耶路撒冷的荣耀，你是以色列的大喜乐，你是我们民族的大光荣，
15.10	你亲手完成了这一切，你为以色列做了奇迹异事，天主也因你而喜悦。愿你永远为全能的上主所降福！」全体民众回答说：「但愿如此！」
15.11	众百姓三十天之久，抢掠敌营。他们把敖罗斐乃的帐幕，及他所有的银器、床榻、杯盘和一切家具都给了友弟德。她接受了，将这一切放在骤背上，又套了车，堆在车上。
15.12	以色列的妇女全跑来看她，结队歌舞，赞美她；友弟德自己手中拿着树枝，也分给与她在一起的妇女。
15.13	她与那些伴随她的妇女，用橄榄枝编成花圈，亲自走在仪仗前面，率领众妇女歌舞；以色列的男子，都武装起来，头戴花冠，尾随在后，引吭高歌。
15.14	友弟德在全以色列中领唱这谢恩歌，全体民众也高声和唱这赞美歌。
	
	
16.0t	第十六章(25)
	
16.1t	友弟德的颂谢词
16.1	友弟德说：「请你们向我的天主击鼓奏乐，向我的上主敲钹歌唱，向他吟咏诗歌，赞扬欢呼他的圣名！
16.2	上主原是粉碎战争的天主，在民间支搭他的幕府，救我脱离仇人的毒手。
16.3	亚述由北岳出发，率领着干军万马；大军阻塞了溪流，铁骑掩蔽了山丘。
16.4	本想焚毁我村落，刀斩我青，摔死我乳儿，俘掳我幼童，掠夺我妇女；
16.5	但全能上主，只凭一弱妇之手，把他们消除！
16.6	亚述的名将，非壮丁所能击毙，非巨人之后所能击倒，非大力士所能征服，却为默辣黎之后友弟德，以她花容玉貌，使其心醉。
16.7	她脱去寡妇的衣服，去拯救受苦的以色列。香膏敷面，
16.8	带束云髻，身披锦衣，为将他勾引。
16.9	凉鞋夺目，玉容勾魂，弯刀断其颈。
16.10	她的胆量，波斯人见而战栗；她的奋勇，玛待人因而恐惧。
16.11	我卑微者一呼喊，他们便胆破；我弱小者一呐喊，他们便恐慌。高声一嚷，他们都逃亡！
16.12	少妇之子，将他们刺死，击杀他们象逃阵的小卒；我上主一布阵，他们即告灭亡。
16.13	我要向天主咏唱新歌：上主，你伟大而荣耀，德能神妙，战无不胜。
16.14	愿你所造万物，都服侍你，因你一名，万物造成，你一嘘气，化工成形；你一发命，无人敢违。
16.15	山岳振撼，山基随水而动，在你面前，盘石似蜡消溶；但敬畏你的，你必仁慈怜悯。
16.16	祭祀原属小道，不过香烟一缕；种种燔祭油脂，于你更微不足道；但敬畏上主的人，伟大永存。
16.17	祸哉，那攻击我族的异民！全能的上主在审判之日，必要报复，他们的肉体必受火烧虫蚀；哀痛哭泣永不止息！」
	
16.18t	友弟德的晚年与逝世
16.18	百姓进入耶路撒冷，朝拜了天主；取洁之后，奉献了全燔祭、自愿祭和供物。
16.19	友弟德将人民送给她的敖罗斐乃的各种物品，和拿自他寝室内的帐幔，都献给了天主，作为还愿的献礼。
16.20	三月之久，民众于耶路撒冷，在圣所前举行庆祝；友弟德也与他们同乐。
16.21	过了这个日期，各回本家，友弟德也回了拜突里雅，住在家里，一生到处受尊荣。
16.22	想念她的人，虽然很多，但她自从丈失默纳舍去世，归于亲族之后，她一生岁月，再没有认识男人。
16.23	她活了很大的年纪，在他丈夫的家里活到一百零五岁，解放了自己的奴婢，然后死在拜突里雅，埋葬在丈夫默纳舍的坟墓里。
16.24	以色列家，举丧七天哀悼她。她去世以前把家产分给了自己丈夫默纳舍的至亲，和自己的至亲家人。
16.25	友弟德在世之时，以及在她去世之后，很长久的时期，没有人敢扰乱以色列子民。
	
