1:-2t	智慧篇
14:1	再如：有个准备航海的人，行将在怒涛中航行之际，竟向一块比自己乘的船还易坏的木头呼求。
14:2	船固然是因求财的贪心而发明的，亦是匠人以智慧造成的；
14:3	但最后，父啊!还是你的照顾在驾驶，因为原是你在海洋中划出了一条路线，在波浪中开辟了一条安全的路径，
14:4	表示你能救人脱离各种危险，连没有技术的人，也能航海。
14:5	你决不愿使你智慧的工作弃之不用，因此，人将生命托给一片小木，借一叶扁舟，经过巨涛而平安到达海岸。
14:6	其实，在当初，当那些傲慢的巨人被灭绝的时候，世界的希望逃入了一叶扁舟，经你手的驾驶，才得给后世留下了新生的苗裔。
14:7	木头如使用得当，是可祝福的；
14:8	但是，人手造的木偶和木偶的制造者，却是可诅咒的：制造者，因为他造了木偶；木偶，因为虽是腐败的东西，竟被称为神。
14:9	不虔敬的人，与他行的不虔敬的事，同样为天主所憎恶；
14:10	所以，木偶与造木偶的，都必遭受惩罚。
14:11	为此，天主必要惩罚列邦的偶像，因为偶像在天主的造物中，成了可憎之物，成了人们灵魂的障碍，作了愚人脚前的陷阱。
	
14:12t	拜偶像的起源
14:12	发明偶像，是淫乱的开端；创造偶像，是人生的腐败。
14:13	起初原无偶像，也不能永久长存；
14:14	由于人的虚荣心，偶像才进入了世界；为此，已注定很快就要结束。
14:15	一个父亲因他儿子的夭折，甚为悲伤，遂为自己早死的儿子立像，他虽是已死的人，如今却敬之如神，并传令家属礼拜献祭。
14:16	这种不虔敬的事，相沿日久，便成了习俗，以致守如法律；再加上君王的命令，雕像遂受崇拜。
14:17	住在远方的人，不能当面尊敬国王，便由远方设想君王的相貌，为所要尊敬的君王，制造一座可见的肖像，向那不在跟前的，殷勤献媚，如同就在跟前一样。
14:18	艺术家的野心，把那些不认识君王的人，也都诱来，为扩大这项敬礼；
14:19	艺术家原为讨有权威者的欢心，就竭力运用自己的技术，使君王的肖像格外美丽；
14:20	民众受了这精美手工的吸引，不久以前那当人尊敬的，现在却奉之为神了。
14:21	这便成了人生的隐祸，因为遭受不幸，或受暴君压迫的人们，将「那不可道出的名字，」加给了木石。
	
14:22t	拜偶像的后果
14:22	他们对天主的认识错到如此地步，还以为不足；甚至愚昧使他们生活在强烈的战斗中，还将这样的大祸，称为和平。
14:23	因他们祭杀孩童，或举行秘密祭礼，或仪式怪诞的狂欢宴会。
14:24	谁也不顾及生活与婚姻的纯洁，遂彼此陷害残杀，以奸淫加害于人。
14:25	于是，混乱到处丛生：流血、杀人、盗窃、欺骗、缺德、失信、暴乱、违约、
14:26	陷害忠良、忘恩负义、玷辱灵魂、同性淫乱、婚姻混杂、通奸淫乱。
14:27	崇拜虚无的偶像，实是万恶的起源、由来和结局。
14:28	这些人行乐发狂，预言虚妄，生活邪辟，妄发虚誓，
14:29	因为他们信赖无生命的偶像，自以为妄发虚誓，不会受罚。
14:30	但是，正为了这两件事，他们必受公义的处罚：因对天主没有正确的认识，因而崇拜偶像；又因诡计多端，妄发虚誓，因而轻视圣洁。
14:31	因为，那常追击不义者违法行为的，并不是「赖以发誓者」的力量，而是天主对犯罪者的惩罚。
	
	
15:0t	第十五章(19)
	
15:1t	真宗教的美善
15:1	至于你，我们的天主，你是良善的，忠实的，宽容的，以慈爱治理万有。
15:2	我们即使犯了罪，仍是你的，因为我们承认你的主权；我们既承认我们原属于你，我们就不再犯罪了。
15:3	实在，认识你就是完美的正义；承认你的主权，就是不死不灭的根源。
15:4	为此，人邪恶的创作，画家无益的作品，各式各色的画图，都没有使我们误入迷途；
15:5	不过，愚人一见这些画像，就大动情欲，贪恋这些无灵的死像。
15:6	凡制造、爱慕、恭敬偶像的，实是邪恶的情人，只堪将希望寄于无灵之物。
	
15:7t	拜偶像的愚妄
15:7	有个陶人用力抟软泥，制成各种器皿，以供我们使用：但是，他可用同样的泥土，做成洁净事用的器皿，同样，也可做成为卑污事用的器皿；至于，每件作何用途，皆由陶人断定。
15:8	后来，他竟枉费心机，将同样的泥土，捏成一个虚无的神像。不想自己不久以前，原是由土造成的；不久以后，天主向他索还灵魂时，还要归于土。
15:9	他并不想死亡将至，生命短促，只图与金匠银匠竞争，仿效铜匠，以制造虚伪之物为荣。
15:10	他的心已如死灰，他的希望比尘埃还卑微，他的生命比泥土更卑贱。
15:11	因为，他竟不知是谁创造了他，是谁赋给了他一个行动的灵魂，是谁向他吹了生命的气息。
15:12	他反将我们的生命视为儿戏，将此生看作惟利是图的市场，说：「人必须用各样的方法，甚至利用不义的手段，获得利润。」
15:13	凡用泥料制造易破的器皿和偶像的，应比其它一切人更清楚知道自己犯了罪。
	
15:14t	埃及人更为愚顽
15:14	但是，最愚蠢，比婴儿还可怜的，还是那些仇视并虐待你百姓的人。
15:15	他们将异邦人所有的偶像都看作神明；这些神明有眼不能看，有鼻不能喘气，有耳不能听，有手不能摸，有脚不能行，
15:16	因为都是人的作品，是那由天主借得气息的人所捏造的，实在没有一人能造出一个与自己相似的神；
15:17	有死的人，只能用邪恶的手造出死像；他本人原胜过他所崇拜的东西，因为他尚有生命，这些东西却从来没有。
15:18	此外，他们竟然还敬拜那些最可憎恶的动物，因为，这些动物与其它动物相比，更为愚笨。
15:19	再就其为动物而言，也并不美丽，或值得人爱，只是些不得天主赞赏和祝福的东西。
	
	
16:0t	第十六章(29)
	
16:1t	鹌鹑与害虫
16:1	因此，天主用同样的动物来惩罚他们，使他们受许多动物的残害，很为适当。
16:2	"正与此惩罚相反,你却恩待了你的百姓,为满足他们的食欲，给他们预备了珍奇的美味──鹌鹑，当作食物。"
16:3	那些想进食的埃及人，一看见上主遣来的丑陋的动物，连原有的食欲都失去了；至于你的百姓，虽遭受了片时的饥饿，却分享了奇异的美味。
16:4	因为，埃及人残忍无道，理应遭受难挨的饥饿；至于你的百姓受饿，只是为叫他们明白，他们的仇敌受了如何的痛苦。
	
16:5t	铜蛇与蝗灾
16:5	以色列人固然也受到了猛兽的残害，和毒蛇的咬伤；
16:6	但你的愤怒并没有坚持到底，只不过是为警戒他们，使他们暂时惊惶，获得救援的标记，好想起你的法令；
16:7	凡转向这标记的，并不是因着所瞻望的记号得救，而是因着你，万民的救主。
16:8	借此，你向我们的仇敌证明：是你救人脱免一切灾祸；
16:9	因为蝗虫和苍蝇咬死了他们，却没有医治他们生命的方法，因为他们理应遭受这样的刑罚。
16:10	但是你的子民，却没有为毒蛇的牙所制胜；这是因为你的仁慈前来救助，治好了他们。
16:11	他们被咬后，即刻获治，是要他们记念你的话，免得他们深深遗忘，而不注意你的仁慈。
16:12	医好他们的，并不是草药，也不是膏药，上主，而是你那治好一切的话。
16:13	因为，是你掌握生死的大权，引人下入阴府的门，而又领回。
16:14	人固然可以因邪恶而杀人，却不能使已离去的神魂再回来，也不能解救一个被囚在阴府中的灵魂。
	
16:15t	玛纳与冰雹
16:15	逃出你的掌握，那是不可能的。
16:16	为此，那不肯承认你的败类，遭受了你大力手臂的打击，受那罕有的大雨、冰雹与无情暴雨的袭击，并为火所毁灭。
16:17	最堪惊奇的，是在能熄灭一切的水中，火焰反而更为炽烈，因为世界都为义人而战：
16:18	有时火势缓和，免得烧掉那些为对付不虔敬的人所派来的野兽，令他们见了，自知难逃天主正义的追击；
16:19	有时火在水中反烧得异常炽烈，为烧尽毁灭不义之田的出产。
16:20	相反地，你用天神之粮，养育了你的子民；他们不必操劳，你从天上给他们降下了现成的食粮，具有各种美味，适合各人的口味。
16:21	你赐予的食粮，合乎取食者的嗜好，随着人的愿望而变化，这表明你对待儿女如何恩爱。
16:22	雪和冰遇着火并不融化，这是使他们知道：为毁灭仇敌的收获，火曾在冰雹中炽燃，在雨水中闪烁；
16:23	但为养育义人，火却忘记了自己的本能。
16:24	实在，受造物都服从你，自己的造主，致力惩罚不义的人，恩待信赖你的人。
16:25	因此，「玛纳」就依照你那养育众人的恩宠，起种种变化，来适应需求者的愿望，
16:26	为使你所爱的子女们知道：上主，养育世人的，不是各种果食，而是你的言语，保全了信赖你的人。
16:27	因为，火所不能烧毁的，因着温和的一线阳光，立即融化，
16:28	使人知道：在太阳没有升起以前，就应赞颂你；在曙光破晓时分，就该祈求你；
16:29	因为，不知恩者的希望，就如冬天的霜，势必消溶，逝去有如无用的流水。
	
	
17:0t	第十七章(20)
	
17:1t	黑暗与光明
17:1	上主，你的裁判的确高深难明，因此，不愿受教的灵魂走入了迷途。
17:2	不法的人自以为能压服圣民，反而被黑暗所束缚，为长夜所桎梏，囚禁在斗室中，被弃于永远照顾之外。
17:3	他们原想在人不留意的黑幕下，可以掩藏隐密的罪恶，自己反为黑暗所侵袭，大起恐慌为鬼怪所惊扰，
17:4	以致连掩护他们的内室，也不能保护他们不受惊惶，使人恐怖的声音环绕在他们四周，哭丧着脸的忧戚怪物，出现在他们面前。
17:5	火没有一点能力供给他们光亮，星辰的光辉，也无法照明这可怕的黑夜，
17:6	只有忽然自动燃起的极为可怕的火炬，显示给他们，吓得他们不知所措；在幻像不见之后，他们幻想之所见，比所见的实物更为可怕。
17:7	他们的邪术尽失效力，他们夸耀的学识，全蒙耻受辱：
17:8	他们曾应许，为患精神病者驱除恐惧与慌乱，自己却患了可笑的胆怯病；
17:9	即使没有可怕的事来恐吓，连走兽经过，或毒蛇嗤嗤一声，他们也大为惊慌，吓得魂不附体，以致连这无可逃避的空气也不愿再看。
17:10	邪恶的心本来就胆怯，自证自己有罪，受着天良的催迫，时常向坏处着想。
17:11	恐惧不是别的，只是将理性的助力，弃而不用；
17:12	人对内心的依赖越薄弱，越难明了遇难的原因。
17:13	在那来自毫无生力的阴府深处，使人无法工作的黑夜里，仍照样去睡觉的人，
17:14	有的因魑魅的怪状而惊惶，有的因心志绝望而沮丧，因为，突然而意外的惊惧，忽临到他们身上。
17:15	因此，不拘谁倒在那里，就在那里被囚，幽禁在没有铁闩的囹圄中；
17:16	不论他是农夫，或是牧人，或是在偏僻乡野操作的工人，都得骤然忍受这不可逃避的厄运，因为人人都被一条黑暗的锁链束缚住了；
17:17	不论是呼啸的风声，或是密枝间鸟雀的吱喳叫声，或是溪水的急流声，
17:18	或是岩石崩裂的强烈响声，或是走兽隐约的跳跃声，或是猛兽的吼叫声，或是山谷间的响彻回声，都能使他们胆战心惊。
17:19	其时，整个世界正为辉煌的光明所照耀，进行工作毫无阻碍；
17:20	沉重的黑暗，只笼罩着他们，这是未来要接收他们的黑暗的预像；其实，他们为他们自己，比黑暗还更为沉重。
	
	
18:0t	第十八章(25)
	
18:1t	奇光照耀选民
18:1	至于你的圣徒，却有极大的光明。埃及人只听见他们的声音，却看不见他们的面容，遂宣称那没有遭受痛苦的为有福，
18:2	对他们表示感激，因他们虽受虐待，却不图报复，求他们宽恕以往的敌对行为。
18:3	正与黑暗相反，你赐给了圣徒火柱，在他们不熟识的路上作响导，在光荣的旅途中作不为害的太阳。
18:4	埃及人理当失掉光明，遭受黑暗的拘禁，因为他们曾拘留过你的子民；正是这些子民想将法律不灭的光明传到普世。
	
18:5t	生与死
18:5	他们决意要杀尽圣徒的婴儿时．有一个被弃的婴儿竟然得救；为惩罚他们，你夺去了他们许多婴儿，又将他们一齐淹没在大水之中。
18:6	我们的祖先预先得知了那一夜的事，甚而确实知道自己所相信的誓言多么可靠，因此都心安神乐。
18:7	所以，你的子民所期待的，就是义人的救援，和仇人的灭亡。
18:8	你用什么方法惩罚了仇敌，也用什么方法光荣了我们，为召叫我们归向你。
18:9	善人的圣洁子孙，都在暗中献了祭，同心立定了神圣的盟约，为使圣徒们同甘共苦，同唱了列祖的赞美歌曲。
18:10	敌人混乱的喊声，从对面响起，到处发出哀悼孩儿的悲鸣。
18:11	主人与仆人，同受一样的惩罚；庶民与王公，共遭一样的苦难。
18:12	他们一时都遇到同样的死亡，死了无数的人；以致活人的数目不足以埋葬死人，因为，他们最宝贵的后裔，倾刻之间，都已灭亡。
18:13	那些操行邪术，什么也不相信的人，因着长子的丧亡，才承认这民族是天主的儿子。
18:14	万籁俱寂，黑夜已奔驰一半路程时，
18:15	你全能的圣言，由天上的王座，如无情的战士，降到这应毁灭的地上，
18:16	带着你不可收回的成命当作利剑，上触高天，下踏大地，立在那里，使各处充满死亡。
18:17	立时可怕的梦境扰乱他们，想不到的恐惧，临到他们身上，
18:18	都半死半活的一个倒在这里，一个跌在那里，宣布他们死亡的原因；
18:19	因为那些惊吓他们的恶梦，已预先通知了他们，免得他们死了，还不知道自己究竟为什么遭了难。
18:20	义人也尝试过死亡的折磨，有许多人，在荒野里，也遭受过灾殃；但天主的怒气并没有持久，
18:21	因为无可指摘的人，迅速出头，代为庇护，以自己的职责作盾牌，用祈祷和赎罪的馨香，阻止了天主的愤怒，使灾难停止，显示出他是你的仆人。
18:22	他平息了灾祸，并不是由于体力，或武器的威能，而是提起上主与祖先所发的誓，所立的约，以言语说服了刑罚人的上主。
18:23	那时，死人枕借成堆，他站在当中，拦阻了怒气，中断了死亡向活人延及的路线。
18:24	因为，在他的长衣上，带有整个的世界：在四行宝石上，刻着祖先的荣耀；在他头戴的冠冕上，嵌有你的尊威。
18:25	施行毁灭者，对这些礼服表示让步，表示敬畏；只一试怒就够了。
	
	
19:0t	第十九章(22)
	
19:1t	步过红海
19:1	但是，毫无怜悯的忿怒，必降在不虔敬的人身上，直到发泄完毕，因为天主预先知道他们将作的事：
19:2	在允许以色列离开，催促他们快快上路之后，又必改变心意前去追赶。
19:3	实在，埃及人还在哀悼，还在死者坟上悲伤的时候，又定了另一个愚蠢的主意：要追赶自己以前要求离去的人，有如逃亡的人。
19:4	应得的报应，使他们胡涂到这种地步，竟然忘记了已经遭遇的事，使自己备受以前未曾受到的刑罚，
19:5	即当你的子民走过奇异的道路时，他们遭遇了骇人听闻的死亡。
19:6	因此那时，各样的受造物，按自己的本性，再重新受造，遵从你的命令，护卫你的子女，不受伤害。
19:7	于是有云彩遮蔽营幕，先前有水的地方，露出旱地，红海里开出一条无阻的道路，巨涛中出现了一片青草地，
19:8	你的全体百姓，在你亲手掩护之下，由那里经过，看到了神奇的异迹。
19:9	他们有如牧场上牧放的小马，跳跃有如羔羊，赞美你，拯救他们的上主。
19:10	因为，他们还记得自己侨居在异地时发生的事：代替畜牲，地上怎样产生了蚊子；代替鱼，河里怎样生出了成群的蛤蟆。
19:11	以后，他们大动食欲，要求精美的食物时，又见到了新奇出生的飞鸟：
19:12	为使他们满足，从海上飞来了鹌鹑。
	
19:13t	埃及的罪过胜于索多玛
19:13	至于对罪人，却降下了刑罚，事先原已用猛烈的雷电警告过他们；他们因自己的邪恶而遭受痛苦，实是理所当然的，因为埃及人分外苛刻地憎恨了旅客。
19:14	索多玛人，只不过不接待初到的陌生客人，而埃及人却将施惠的宾客充作奴隶。
19:15	不仅如此，而且对索多玛人还可予以宽恕，因为他们只不过对外人表示敌意；
19:16	可是埃及人曾举行宴会，接待了你的人民，在他们久已获享同等的权利之后，却又用苦役来磨难他们。
19:17	为此，埃及人也如在义人门前的索多玛人一样，受了眼瞎的惩罚，一时被浓厚的黑暗包围，各自找寻自己的门路。
	
19:18t	赞颂保佑选民的天主
19:18	各种元素的本质互相调换，就如琴瑟的五声，互相交换，而总不改变原音；这从观察过去的事上，明明可以见到。
19:19	陆地上的动物变成了水里的；游泳的动物却在旱地上游行；
19:20	火在水中更加强了自己的能力，水也忘了自己灭火的本能。
19:21	火焰不烧毁那行走在火里，本容易毁灭的走兽的肉体，也不溶化那本如冰块，易于溶化的天粮。
19:22	的确，上主，你用各种方法显扬光荣了你的子民，从不忽略随时随地加以保护。
	
