1.-1t	厄斯德拉下		
9.27	因此你把他们交在仇人的手中，受人迫害。他们遭遇迫害时，一呼求你，你就由天上俯听了他们，照你无限的仁慈，打发救援者，由仇人手中救出他们；		
9.28	然而他们一享平安，便又去做恶背叛你，因此你又把他们拋在他们敌人手中，受他们的管辖；几时他们再回心转意呼号你，你就再由天上俯听他们，照你无限的仁慈拯救他们。		
9.29	你曾警告他们转向你的法律，但是他们仍恣意妄行，不听从你的命令，违反你的典章，——人若遵行，必因此而生活，——扭转倔强的肩膀，硬着脖子，不愿服从。		
9.30	你多年来容忍他们借先知并以你的精神，警戒他们，但他们仍不听从，所以你将他们交在异方人民手中。		
9.31	但因你无限的仁慈，你没有消灭他们，也没有拋弃他们，因为你是博爱仁慈的天主。		
9.32	现在，我们的天主！遵守信约，保持仁爱，伟大、全能和可畏的天主！请不要把我们、我们的君王、我们的首长、我们的司祭、我们的先知、我们的祖先和你的全民众，从亚述王时代直到今日所遭遇的一切迫害，看作小事。		
9.33	你使这一切降在我们身上，是公义的，因为你所行的是忠义，而我们所行的是邪恶。		
9.34	我们的君王、我们的首领、我们的司祭和我们的祖先，实在都没有遵行你的法律，也没有听从你的命令和你警戒他们的劝告。		
9.35	他们在你赐给他们的国土上和许多幸福中，在你摆在他们面前的广大而肥沃的土地上，并没有侍奉你，也没有放弃他们的恶行。		
9.36	我们今天竟成了奴隶！看，我们在你赏给我们祖先吃那里的果实和出产的土地上，作了奴隶！		
9.37	为了我们的罪过，那丰富的出产归于你派定来管辖我们的君王，他们随意处置了我们的肉体和我们的牲畜；我们实在是处在极大的困苦中！」		
			
			
10.0t	第十章(40)		
			
10.1t	立盟签约		
10.1	鉴于这一切，我们立了盟约，也写了出来；我们的族长、我们的肋未人和司祭，也在上面盖了印。		
10.2	在上面盖印的，先是哈加里雅的儿子乃赫米雅省长，后为漆德克雅、		
10.3	色辣雅、阿匝黎雅、耶勒米雅、		
10.4	帕市胡尔、阿玛黎雅、玛耳基雅、		
10.5	哈突士、舍巴尼雅、玛路客、		
10.6	哈陵、默勒摩特、敖巴狄雅、		
10.7	达尼耳、金乃通、巴鲁克、		
10.8	默叔蓝、阿彼雅、米雅明、		
10.9	玛阿齐雅、彼耳盖、舍玛雅：以上都是司祭。		
10.10	以下是肋未人：阿匝尼雅的儿子耶叔亚、彼奴依，赫纳达得的子孙卡德米耳，		
10.11	和他们的族人：舍巴尼雅、曷狄雅、刻里达、培拉雅、哈南、		
10.12	米加、勒曷布、哈沙彼雅、		
10.13	匝雇尔、舍勒彼雅、舍巴尼雅、		
10.14	曷狄雅、巴尼、贝尼奴。		
10.15	民众的首领：帕洛市、帕哈特摩阿布、厄蓝、匝突、巴尼、		
10.16	步尼、阿次加得、贝拜、		
10.17	阿多尼雅、彼革外、阿丁、		
10.18	阿特尔、希则克雅、阿组尔、		
10.19	曷狄雅、哈雄、贝宰、		
10.20	哈黎布、阿纳托特、乃拜、		
10.21	玛革丕阿士、默叔蓝、赫齐尔默、		
10.22	舍匝贝耳、匝多克、雅杜亚、		
10.23	培拉提雅、哈南、阿纳雅、		
10.24	曷舍雅、哈纳尼雅、哈叔布、		
10.25	哈罗赫士、丕耳哈、芍贝克、		
10.26	勒洪、哈沙贝纳、玛阿色雅、		
10.27	阿希雅、哈南、阿南、		
10.28	玛路客、哈陵、巴阿纳。		
			
10.29t	盟约撮要		
10.29	其余的民众、司祭、肋未人、门丁、歌咏员、献身者，和所有脱离各地人民而来归奉天主法律的人，连同他们的妻子儿女，及凡有知识能懂事的人，		
10.30	都支持他们为首领的同胞，起咒宣示，必按天主的法律去行，就是遵行天主的仆人梅瑟所颁布的法律，并遵守履行上主我们的天主的一切命令、规矩和制度；		
10.31	决不将我们的女儿嫁给外方人民，也不为我们的儿子娶他们的女儿。		
10.32	外方人民若是在安息日，运货物或各种食粮来贩卖，我们在安息日或圣日，决不向他们购买什么；每七年停止耕种，豁免一切债务。		
10.33	我们又为自己定下规矩，每年要缴纳三分之一「协刻耳，」作为我们天主殿中祭祀之用：		
10.34	备办供饼、恒常祭品、全燔祭品，安息日、月朔和庆节应献的祭品和各种祭物，为以色列赎罪的赎罪祭品，以及我们天主殿内的一切工作费用。		
10.35	我们司祭、肋未人和人民，拈阄规定，按照家族，每年照一定的时间，我们天主的圣殿献纳木柴，放在上主我们的天主的祭坛上燃烧，如法律上所记载的；		
10.36	又当把田地的初熟之物，以及各种树木的初熟鲜果，每年献于上主圣殿；		
10.37	按照法律所载，将我们的儿子和家畜中的首生者，以及我们牛羊中的首生者，献于我们天主的圣殿，交给我们在天主殿内奉职的司祭；		
10.38	把我们初熟的粗面饼、祭品、各种树木的果实、新酒和油，交给司祭，送到我们天主圣殿的廊房里；将我们田地出产的十分之一，送给肋未人，肋未人应亲自在各城镇，征收我们劳作的十分之一。		
10.39	当肋未人征收十分之一时，亚郎子孙中的一个司祭，应与肋未人在一起；肋未人应将所得什一中的十分之一，献于我们的天主圣殿，交入圣殿廊房的宝库，		
10.40	因为以色列子民和肋未的子孙，应把所献的五谷、酒和油，送到廊房内，圣所的器具存在那里，奉职的司祭，守门丁和歌咏员也住在那里，对们天主的圣殿，再也不敢怠慢。		
			
			
11.0t	第十一章(36)		
			
11.1t	移民京师		
11.1	那时，人民的首长住在耶路撒冷；其余的人民都拈阄，抽出十分之一的人民，迁移到耶路撒冷圣城居住，其余九分仍留在自己的城内。		
11.2	民众都称赞那些自愿迁居到耶路撒冷的人。		
11.3	以下是住在耶路撒冷的本省族长；其余的以色列人、司祭、肋未人、献身者和撒罗满仆役的子孙，在犹大各城中，个人住在本城内自己的产业中。		
			
11.4t	移来的犹大族长		
11.4	有些犹大的子孙和本雅明的子孙，住在耶路撒冷。犹大的子孙：培勒兹的子孙，有乌齐雅的儿子阿塔雅；乌齐雅是则加黎雅的儿子，则加黎雅是阿玛黎雅的儿子，阿玛黎雅是舍法提雅的儿子，舍法提雅是玛拉肋耳的儿子；		
11.5	舍拉的子孙，有巴路客的儿子玛阿色雅；巴路客是苛耳曷则的儿子，苛耳曷则是哈匝雅的儿子，哈匝雅是阿达雅的儿子，阿达雅是约雅黎布的儿子，约雅黎布是则加黎雅的儿子。		
11.6	培勒兹的子孙住在耶路撒冷的，共计四百六十八人，都是成人。		
			
11.7t	本雅明的族长		
11.7	本雅明的子孙有撒路，他是默叔蓝的儿子，默叔蓝是约厄得的儿子，约厄得是科拉雅的儿子，科拉雅是玛阿色雅的儿子，玛阿色雅是依提耳的儿子，依提耳是耶沙雅的儿子，		
11.8	撒路的族人，共计二十八人，都是成人。		
11.9	齐革黎的儿子约厄耳，作他们的首长；色奴阿的儿子犹达为副市长。		
			
11.10t	司祭		
11.10	司祭中有耶达雅、约雅黎布、雅津，		
11.11	天主圣殿的总管色辣雅，他是希耳克雅的儿子，希耳克雅是默叔蓝的儿子，默叔蓝是匝多克的儿子，匝多克是默辣约特的儿子，默辣约特是阿希突布的儿子；		
11.12	和他们在圣殿服务的兄弟，共计八百二十二人；还有耶洛罕的儿子，阿达雅；耶洛罕是培拉里雅的儿子，培拉里雅是阿默漆的儿子，阿默漆是则加黎雅的儿子，则加黎雅是帕市胡尔的儿子，帕市胡尔是玛耳基雅的儿子，		
11.13	和他做族长的兄弟共计二百四十二人；还有阿匝勒耳的儿子阿玛赛；阿匝勒耳是阿赫斋的儿子，阿赫斋是默史勒米特的儿子，默史勒米特是依默尔的儿子，		
11.14	和他的兄弟都是成人，共计一百二十八人；管理他们的是，哈加多耳的儿子匝贝狄耳。		
			
11.15t	肋未人		
11.15	肋未人中，有哈叔布的儿子舍玛雅；哈叔布是阿次黎冈的儿子，阿次黎冈是哈沙彼雅的儿子，哈沙彼雅是步尼的儿子；		
11.16	沙贝泰和约匝巴得，作肋未人之长，管理天主圣殿的外务。		
11.17	还有米加的儿子玛塔尼雅；米加是匝贝狄的儿子，匝贝狄是阿撒夫的儿子；玛塔尼雅在祈祷时，是启颂谢经文之长；巴刻步克雅在兄弟中为副；还有沙慕亚的儿子阿贝达；沙慕亚是加拉耳的儿子，加拉耳是耶杜通的儿子。		
11.18	在圣城的肋未人，共计二百八十四人。		
			
11.19t	门丁及其它人员		
11.19	门丁：阿谷布、塔耳孟和和他们护守各门的兄弟，共计一百七十二人。		
11.20	其余的以色列人、司祭和肋未人，住在犹大各城，占据自己的产业。		
11.21	献身者住在曷斐耳区；漆哈和基市帕管理献身者。		
11.22	在耶路撒冷肋未人之长，是巴尼的儿子乌齐；巴尼是哈沙彼雅的儿子，哈沙彼雅是玛塔尼雅的儿子，玛塔尼雅是米加的儿子，出自阿撒夫的子孙，都是在天主圣殿内行礼时的歌咏员。		
11.23	每天给歌咏员一定的报酬，这是君王有关他们出的命令。		
11.24	犹大的儿子则辣黑的子孙中，有默舍匝贝耳的儿子培塔希雅，他是王的助手，掌管人民一切事务。		
			
11.25t	犹大人的城市		
11.25	至于村镇和所属地域：犹大的子孙，有些住在克黎雅特阿尔巴，和所属村镇，		
11.26	住在耶叔亚、摩拉达、贝特培肋特，		
11.27	住在哈匝叔阿耳、贝尔舍巴和所属村镇，		
11.28	住在漆刻拉格、默苛纳和所属村镇，		
11.29	住在恩黎孟、祚辣、雅尔慕特，		
11.30	住在匝诺亚、阿杜蓝和所属村镇，住在拉基士和城外四郊、住在阿则卡和所属村镇。他们定居之处，是从贝尔舍巴起，直到希农山谷。		
			
11.31t	本雅明人的城市		
11.31	本雅明的子孙，有些住在革巴、米革玛士、阿雅、贝特耳、和所属村镇，		
11.32	住在阿诺托特、诺布、阿纳尼雅、		
11.33	哈祚尔、辣玛、基塔殷、		
11.34	哈狄得、责波殷、乃巴拉特、		
11.35	罗得、敖诺和匠人谷。		
11.36	肋未人散居在犹大和本雅明。		
			
			
12.0t	第十二章(47)		
			
12.1t	初次回国的司祭和肋未人		
12.1	以下是同沙耳提的儿子则鲁巴贝耳和耶叔亚回来的司祭和肋未人：色辣雅、耶肋米雅、厄次辣、		
12.2	阿玛黎、玛路克、哈突士、		
12.3	舍加尼雅、哈陵、默勒摩特、		
12.4	依多、金乃通、阿彼雅、		
12.5	米雅明、玛阿狄雅、彼耳加、		
12.6	舍玛雅、约雅黎布、耶达雅、		
12.7	撒路、阿摩克、希耳克雅、阿达雅：这些人是耶叔亚时期中的司祭，和他们兄弟的族长。		
12.8	他和他的兄弟们启唱颂谢经文。		
12.9	巴刻步克雅和乌尼，以及他们的兄弟依照班次，轮流服务。		
			
12.10t	波斯帝国时代大司祭		
12.10	耶叔亚生约雅金，约雅金生厄肋史布，厄肋史布生约雅达，		
12.11	约雅达约哈南，约哈南生雅杜亚。		
			
12.12t	约雅金大司祭时的司祭族长		
12.12	在约雅金年间，司祭作族长的：色辣雅家是默辣雅，耶勒米雅家是哈纳尼雅，		
12.13	厄次辣家是默叔蓝，阿玛黎雅家是约哈南，		
12.14	玛路克家是约纳堂，舍巴尼雅是约色夫，		
12.15	哈陵家是阿德纳，默辣摩特家是赫耳凯，		
12.16	依多家是则加雅，金厏通家是默叔蓝，		
12.17	阿彼雅家是齐革黎，米尼雅明和摩阿狄雅家是丕耳泰，		
12.18	彼耳家是沙慕亚，舍玛雅家是约纳堂，		
12.19	约雅黎布是玛特乃，耶达雅是乌齐，		
12.20	撒路家是卡来，阿克摩家是厄贝尔，		
12.21	希耳克雅家是哈沙彼雅，阿达雅家是乃塔乃耳。		
			
12.22t	肋未族长		
12.22	在厄肋雅史布、约雅达、约哈南和雅杜亚年间，肋未人的族长都登记了，司祭也登记了，直到波斯达理阿的朝代。		
12.23	肋未人的族长也都登记在编年录上，直到厄肋雅史布的孙子约哈南时代。		
12.24	肋未人的族长是哈沙彼雅。舍勒彼雅、耶亚、彼奴依和卡德米耳；他们和他们的兄弟，按天主的人达味所制定的，在唱赞美和颂谢经文时，对面站着，分班轮流歌唱。		
12.25	玛塔尼雅。巴刻步克雅、敖巴狄雅、默叔蓝、塔耳孟和阿谷布，都是守门的，护守府库的门：		
12.26	以上都是约匝达克的孙子，耶叔亚儿子约雅金时代和乃赫米雅省长，及厄斯德拉司祭兼经师时代的人。		
			
12.27t	城垣落成典礼		
12.27	为耶路撒冷城垣举行落成典礼时，召集住在各地的肋未人，来到耶路撒冷，咏唱咏谢赞美的诗歌，弹奏弦乐琴瑟，欢乐举行这落成典礼。		
12.28	肋未人的子孙歌咏员，便都由耶路撒冷四周区域，和乃托法各村庄，		
12.29	由贝特基耳加耳、革巴和阿次玛委特乡间，集合前来，原是歌咏员在耶路撒冷四周，为自己建造了庄院。		
12.30	司祭和肋未人圣洁了自己以后，又圣洁了民众、城门和城墙。		
12.31	我叫犹大各省长登上城墙，将仪仗分为两大队：一队在城墙上向右往粪门进行，		
12.32	在队后随行的，是曷沙雅和犹大的一半首长，		
12.33	以及阿匝雅、厄次辣、默叔蓝、		
12.34	犹达、本雅明、舍玛雅和耶勒米雅，		
12.35	这些人都是司祭中吹号筒的；还有约纳堂的儿子加黎雅，──约纳堂是舍玛雅的儿子，舍玛雅是玛塔尼雅的儿子，玛塔尼雅是米加雅的儿子，米加雅是匝雇尔的儿子，匝雇尔是阿撒夫的儿子，──		
12.36	以及则加黎雅的兄弟：舍玛雅、阿匝勒耳、米拉来、基拉来、玛艾、乃塔乃耳、犹达和哈纳尼，演奏天主的人达味的乐器。厄斯德拉经师走在你们的前面。		
12.37	他们到了泉门之后，一直上了达味城的石级，沿着城墙斜坡，靠着达味王宫，走到东边的水门。		
12.38	第二仪仗队往左边行，我在仪仗队之后，与另一半首长在城墙上，路过炉堡，直到广场的城墙，		
12.39	以后，路过厄弗辣因门、鱼门、哈纳乃耳堡，直到羊门，便在更门前停住了。		
12.40	这两仪仗队站在天主殿内，有一半首长同我在一起；		
12.41	还有司祭厄里雅金、玛色雅、米尼雅明、米加雅、厄里约乃、则加黎雅、哈纳尼雅，他们吹着号筒；		
12.42	还有玛阿色雅、舍玛雅、厄肋阿匝尔、乌齐、约哈南、玛耳基雅、厄蓝和厄则尔。歌咏员都在耶辣希雅指导下高声唱歌。		
12.43	那一日祭献了很多牺牲，人们都很欢乐，因为天主使他们非常欢乐，连妇女童也都欢喜；耶路撒冷欢乐的声音闻于远方。		
			
12.44t	圣职人员供养		
12.44	那时，也派定了专员，管理存放祭品、初熟之物和什一之物的仓库，将各城各乡照法律规定应交与司祭和肋未人的物品，都存放在里面，因为犹太人对尽职的司祭和肋未人都表喜悦，		
12.45	因他们各尽侍奉他们的天主之职，举行取洁礼。歌咏员和守门丁，也都遵照达味和他的儿子撒罗满所制定的进行，		
12.46	因为远在达味和阿撒夫时代，已有歌咏长的职务，领唱赞美并感谢天主的歌曲。		
12.47	在则鲁巴贝耳和乃赫米雅年间，全以色列天天都缴纳给歌咏员和守门者丁应缴纳之物，把一部分圣物交给人，肋未人将一部分交给亚郎的子孙。		
			
			
13.0t	第十三章(31)		
			
13.1t	隔绝外方人		
13.1	那日，当着民众宣读梅瑟书时，人们听到书中写着说：「永远不准阿孟人和摩阿布人，加入天主的会众，		
13.2	因为他们没有携带饮食欢迎以色列人民，反贿赂巴郎诅咒他们，我们的天主却将诅咒转为祝福。」		
13.3	民众一听了这法律，便将各外族由以色列人中隔绝。		
			
13.4t	二次返国改革		
13.4	这事以前，厄肋雅史布司祭，曾被派管理我们天主圣殿的仓库，他是托彼雅的亲信，		
13.5	遂为托彼雅准备了一所大仓房，以前其中是存放供物、乳香、器具、以及肋未人、歌咏员和守门丁按法律所应得的什一之谷、酒和油，并司祭所应得的供物。		
13.6	发生这一切事时，我不在耶路撒冷，因为在巴比伦王阿塔薛西斯三十二年，我已回到君王那里；满了一个时期以后，我又求得君王准许，		
13.7	回了耶路撒冷；此时我才发觉出，厄雅史布为托彼雅所行的坏事，为他在天主圣殿的庭院中，准备了一所大仓房。		
13.8	我感觉十分难受，立即将托彼雅的一切器物，拋出仓房之外，		
13.9	下命清洁那仓房，将天主圣殿的器具、供物和乳香仍放在里面。		
			
13.10t	重整什一之物		
13.10	我还发觉肋未人应得之分，人们已不缴纳，为此供职的肋未人和歌咏员，各回了本乡。		
13.11	我便责斥首长们说：「为什么又将肋未人召唤起来，又恢复了他们的职务。		
13.12	那时，全犹大又将什一之谷、酒和油送入仓房。		
13.13	我派定了舍肋米雅司祭、匝多克经师和肋未人培达雅，作管理仓房的人；委任玛塔尼雅的子孙，匝雇尔的儿子哈南，作他们的助手，都是忠实可靠的人；他们的职务是将什一之物，分给他们的兄弟。		
13.14	我的天主，为了这事，请记忆我！不要抹去我对我天主的圣殿，和其中的礼仪所做的一切善事。		
			
13.15t	圣化安息日		
13.15	那时我在犹大，看见有人在安息日踏榨酒池，搬运禾捆，驮在驴上，并把油、葡萄、无花果和其它各种重载，在安息日运到耶路撒冷；为了他们在这天买卖应用品，我曾警戒了他们。		
13.16	有住这里的提洛人，运来了鱼和各种货物，安息日还在耶路撒冷卖给犹太人，		
13.17	我遂责斥有权势的犹太人说：「你们怎么行这样的坏事，亵渎安息日呢？		
13.18	你们的祖先不是曾这样行事，而使我们的天主，加给了我们和这城这一切灾祸吗﹖现今你们亵渎安息日，还要义怒再多加在以色列人身上吗﹖」		
13.19	所以在安息日前一天，阴影一来到耶路撒冷城门，我就下令关闭城门，不准开门，直到安息日过去；并派我的仆役守门，安息日不准任何重载运进。		
13.20	有一两次，贩夫和卖各种货物的商人，在耶路撒冷外过夜；		
13.21	我警告他们说：「你们为什么在城垣前过夜﹖若是你们再这样做，我就要向你们下手，」从此以后，安息日他们不敢再来。		
13.22	我也命令肋未人先圣洁自己，然后去看守城门，为圣化圣日。我的天主，为了这事也请你记忆我！照你的大仁慈怜恤我！		
			
13.23t	抑制杂婚		
13.23	那时，我还发见好些犹太人，娶了阿市多得、阿孟和摩阿布人的女子为妻。		
13.24	他们的儿子，有一半只会说阿市多得话，或这些民族的一种语言，而不会讲犹太话。		
13.25	我遂责斥咒骂这样的男人，其中一些我还打了他们，扯了他们的头发，叫他们指着天主起誓，向他们说：「你们不可再把你们的女儿，嫁给他们的儿子，也不可为你们的儿子并为你们自己，娶他们的女儿。		
13.26	以色列的君王撒罗满，岂不是在这事上犯了罪吗﹖在这样多民族中，没有一个相似他的君王，他又是天主所爱的，天主使他成为全以色列的君王，但是外方女子竟引他犯了罪。		
13.27	我们岂能任凭你们行这大坏事，娶外方妇女，背弃我们的天主吗﹖」		
			
13.28t	其它的改革		
13.28	大司祭厄肋雅史布的儿子约雅达，有个儿子是曷龙人桑巴拉特的女婿，我便驱逐他离开我。		
13.29	我的天主，请记住他们！因为他们亵渎了司祭和肋未人的誓约。		
13.30	如此我清除了一切异类，整顿了司祭和肋未人的职守，规定了各人应尽的任务，		
13.31	划定了奉献木柴和初熟之物的时期。我的天主！求你记忆我，使我蒙福！		
			
