1:-2t	厄则克耳	
13:3 	吾主上主这样说：那些随心所欲，而一无所见的愚妄先知，是有祸的!	
13:4 	以色列!你的先知好象废墟中的狐狸。	
13:5 	你们没有上到缺口处，也没有围绕以色列家建筑围墙，好叫她在上主的日子，在战争中稳立。	
13:6 	他们所见的尽是空虚，所预言的尽是欺诈，反而说是「上主的断语；」其实上主并没有派遣他们，他们还指望自己的话能够实现。	
13:7 	你们岂不是见了幻像，说了欺诈的预言，还说是「上主的断语﹖」其实我并没有说过。	
		
13:8t	假先知必受惩罚	
13:8 	为此，吾主上主这样说：因为你们说的是谎话，见的是幻像，我必攻斥你们──吾主上主的断语──	
13:9 	我必伸手打击那些见幻像，说欺诈预言的先知。他们决不得参加我人民的议会，不得登记在以色列家族的名册上，也不得进入以色列地域：如此你们要承认我是上主。	
13:10	因为他们迷惑我的人民说：「平安；」其实并没有平安。人民筑起墙来，看，他们就来墁泥。	
13:11	你要向墁泥的人说；我要使骤雨降下，冰雹落下，暴风刮来，	
13:12	那墙必要倾倒。那时，人岂不是要向你们说：你们所墁的泥在那里呢﹖	
13:13	为此，吾主上主这样说：在我愤怒时，我要使暴风刮来，在怒火中使骤雨降下，在愤怒时使冰雹降下，破坏一切。	
13:14	我要摧毁你们墁过泥的墙，使它倾倒在地，基础暴露；墙倾倒了，你们也要消失在其中：如此，你们要承认我是上主。	
13:15	当我对那墙和在墙上墁泥的人发泄了我的愤怒，我要对你们说：墙没有了，墁墙的人也不见了。	
13:16	这是指那些向耶路撒冷讲预言的以色列的先知，他们说见过平安的异象；其实并没有平安──吾主上主的断语。	
		
13:17t	攻斥假女先知	
13:17	人子，你要转面向那些随心所欲，讲预言的你百姓中的女先知，你要斥责她们。	
13:18	你宣讲说：吾主上主这样说：那些为手腕缝制各种带子，照头的大小制做各种头巾，以猎取人命的女人，是有祸的!你们猎取了我百姓的性命，难道能挽救你们自己的性命﹖	
13:19	你们竟为了一掬麦子，一块饼，就在我百姓前亵渎了我，使不应死的人死去，使不应活的人活着，以欺骗我那好听信谎言的百姓。	
13:20	为此，吾主上主这样说：看，我要把你们像捕鸟一样猎取人命的带子，从你们手腕上撕下，释放你们所猎取的人，像释放飞鸟；	
13:21	撕破你们的头巾，由你们手中救出我的百姓；他们决不再做你们手中的猎物：如此，你们要承认我是上主。	
13:22	因为你们以谎言使义人的心沮丧；其实，我并没有使义人悲哀；你们又鼓励恶人，使他不肯离开罪恶的路，以求生存。	
13:23	为此，你们不得再见幻像，不得再说预言；反之，我要从你们手中救出我的百姓：如此，你们必承认我是上主。」	
		
		
14:0t	第十四章(23)	
		
14:1t	崇拜邪神不可救药	
14:1 	有些以色列的长老来见我，坐在我面前。	
14:2 	那时上主的话传给我说：「	
14:3 	人子，这些人心中供着他们自己的邪神，在自己面前放着犯罪的绊脚石，我岂能让他们来求问﹖	
14:4 	为此，你要告诉他们，对他们说：吾主上主这样说：以色列家族中的任何人，或心中仍供着自己的神，在自己面前仍放着犯罪的绊脚石，而来求见先知，我上主必按照他偶像的数目亲自答复他，	
14:5 	为能打动以色列家族的心，因为他们为了所有的偶像疏远了我。	
14:6 	为此，你应对以色列家族说：吾主上主这样说：回头罢!离开你们的偶像，放弃你们所有的丑恶!	
14:7 	以色列家族中任何人，甚或在以色列中侨居的外国人，如果疏远了我，把自己的邪神供在心中，把犯罪的绊脚石放在自己面前，而敢来见先知求问我，我上主必亲自答复他。	
14:8 	我必正面打击这样的人，使他成为一种警戒和笑柄，把他由人民中铲除：如此，你们必承认我是上主。	
14:9 	若一个先知受骗而发言，这是我上主哄骗了那先知；我要伸手打击他，从我人民以色列中间把他消灭。	
14:10	求问者与先知的罪一样，都应负咎。	
14:11	如此，以色列家族不再远离我而走入迷途，不再受任何罪恶的玷污；他们要作我的人民，我要作他们的天主：这是吾主上主的断语。」	
		
14:12t	义人得救恶人丧亡	
14:12	上主的话传给我说：	
14:13	「人子，若某地背信违约，犯罪得罪我，我必伸手打击她，断绝她的粮源，使饥荒降到那地，把人和兽从那地铲除。	
14:14	纵然在那里有诺厄、达尼尔和约伯三个人，这三个人也只能为了自己的义德救自己──吾主上主的断语──	
14:15	或者我使猛兽横行那地，灭绝人迹，使那地变为荒野，由于猛兽而没人敢经过。	
14:16	纵然在那里有这三个人，我指着我的生命起誓──吾主上主的断语──他们也不能救自己的子女，只能救自己，那地方必变为荒芜。	
14:17	或者我使刀兵来到那地，且吩咐说：刀兵应横行那地，铲除那里的人和兽类!	
14:18	纵然在那里有这三个人，我指着我的生命起誓──吾主上主的断语──他们也不能救自己的子女，而只能救自己。	
14:19	或者使那地发生瘟疫，以屠杀发泄我的愤怒，好从那里灭绝人和兽类，	
14:20	纵然诺厄、达尼尔和约伯也在那里，我指着我的生命起誓──吾主上主的断语──他们连一子一女也救不出，只能因自己的义德救自己。	
14:21	因为吾主上主这样说：我虽然使刀兵、饥荒、猛兽、瘟疫四大灾难降在耶路撒冷，为灭绝那里的人和兽类；	
14:22	但是那里还有幸免的人，领着子女逃出。看，他们要到你们这里来，使你们看见他们的行为和动作，而对我加于耶路撒冷的灾难和我对她所行的一切，获得宽慰。	
14:23	当你们看见他们的行为和动作时，你们必能获得安慰：这样你们必然知道：我在耶路撒冷行了所行的一切，并非无因──吾主上主的断语。」	
		
		
15:0t	第十五章(8)	
		
15:1t	耶路撒冷是不结果的葡萄树	
15:1 	上主的话传给我说：「	
15:2 	人子，树林中这棵葡萄树，到底有什么超越其它一切树木之处﹖	
15:3 	岂能取它的木材制造用具，或者能取出它一根枝条，在上面悬挂器具﹖	
15:4 	只有投入火中焚烧；火焚烧了它的两端，中间也在焚烧；它还能有什么用途﹖	
15:5 	当它完整时，还不能作什么用具，何况经火燃烧焚化之后，岂不是更不能制造什么用具﹖	
15:6 	为此，吾主上主这样说：我怎样把树林中的葡萄树投入火中焚烧，也必怎样对待耶路撒冷的居民。	
15:7 	我要翻脸打击他们：他们虽从火中逃出来，仍要为火焚烧。当我翻脸打击他们时，他们必承认我是上主。	
15:8 	因为他们背信违约，我必使那地方变为荒野──吾主上主的断语。」	
		
		
16:0t	第十六章(63)	
		
16:1t	以色列是上主的净配	
16:1 	上主的话传给我说：「	
16:2 	人子，你要去使耶路撒冷知道她的一切丑恶!	
16:3 	你要宣讲说：吾主上主这样对耶路撒冷说：你的起源和来历是出自客纳罕地，你的父亲是阿摩黎人，你的母亲是赫特人。	
16:4 	当你出生时，在你诞生的那一天，没有人割断你的脐带，用水洗净你，用盐擦你，用襁褓裹你；	
16:5 	没有一个人怜视你，为你做一件上述的事，对你表同情。反之，在你诞生之日，因为你惹人讨厌，就把你拋弃在田野间。	
16:6 	我从你身旁经过时，见你辗转在血污中，就向你说：你在血中生活罢!	
16:7 	生长有如田野间的花草。你遂渐渐发育长大，到了青春年华，你的乳房硕壮，头发蔓长，但还是赤身裸体。	
16:8 	我又经过你身旁时，看见了你，见你的时期即怀春期到了，我就向你展开了我的衣襟，遮盖了你得裸体，也向你发了誓，立了约──吾主上主的断语──你遂成了我的。	
16:9 	我用水洗净了你，涤除了你身上的血污；又用香膏傅抹了你，	
16:10	给你穿上锦绣的衣服，穿上海狗皮鞋，蒙上细麻头巾，披上绸缎；	
16:11	以后又用珠宝装饰你，给你腕上带上镯子，颈上挂上项链，	
16:12	鼻子上套上环子，耳朵挂上金环，头上戴上花冠。	
16:13	金银作你的点缀，细麻、绸缎和锦绣作你的衣服；细面、蜂蜜和油作你的饮食。你实在美丽绝伦，堪登后位。	
16:14	因你的美丽，你的名声传遍了万国；因我用我的饰物点缀了你，你才如此美丽无瑕──吾主上主的断语。	
		
16:15t	以色列背弃天主	
16:15	然而你仗恃你的美丽，凭着你的名声去行淫，与任何过客纵情淫乱。	
16:16	你还用你的衣服，作为高丘的点缀，为在那里行淫。	
16:17	又用我给你的金银饰物，制造男人的像，同它们行淫；	
16:18	又将锦绣衣服，给它们穿上，把我给你的油和香料，供在它们前。	
16:19	我给你的食品：细面、油和蜜，原是为养活你的，你却拿去供在它们前，作为甘饴的馨香──吾主上主的断语──	
16:20	甚至你还祭杀你给我生的子女，作为它们的食品。你这淫行还算小吗﹖	
16:21	你竟祭杀了我的子女，予以焚化，献给它们。	
16:22	你行这些丑恶和淫乱之事时，却没有想起你幼年的时期，那时你本来赤身露体，辗转在血污中。	
16:23	你除了行这一切邪恶之外──你有祸了，你有祸了，吾主上主的断语──	
16:24	你还为自己建筑高台，在各街上建立丘坛。	
16:25	又在所有的街头设立丘坛，去损害你的美丽，把你的脚伸向所有过客，纵情淫乱；	
16:26	又与你那身体肥大的邻居埃及人行淫；你尽情淫荡，激起我的怒火。	
16:27	我曾伸手打击你，削减了你的供应品，把你交给那仇恨你的培肋舍特城邑，她们对你那淫荡的行为都感到羞耻。	
16:28	因你还不满足，又与亚述人行淫；与他们行淫之后，仍未获得满足，	
16:29	又与商业之国的加色丁人纵欲淫乱，但你仍得不到满足。	
16:30	你的心是何等的腐化──吾主上主的断语──你行的这一切，简直是无耻娼妇之所为!	
16:31	你在各街头为你建筑高台，在各广场上建立丘坛，但你并不像娼妓只为获得淫资，	
16:32	却是一个淫妇，虽有丈夫，仍接纳外人。	
16:33	对妓女都给以缠头，但你却把缠头给你的情人，吸引他们从各方来与你行淫。	
16:34	关于你，你行淫正与其它妇女相反，没有人追求你行淫，人不给你淫资，而你却拿出淫资给人：这就是你与人相反的地方。	
		
16:35t	淫妇所受之罚	
16:35	为此，你这淫妇，听上主的话罢!	
16:36	吾主上主这样说：因为你暴露了你的下身，揭开了你的裸体，同你的情人，同你的丑恶之神行淫，更因为你把子女的血献给它们；	
16:37	为此，看，我要聚集你所恋爱的情人，你所爱的人，和你所恨的人；我由各方把他们聚集来打击你，我要在他们前揭开你的裸体，使他们看见你整个的裸体。	
16:38	我要照奸妇和流血的女人的案件裁判你，对你发泄愤怒和妒火。	
16:39	我要把你交在他们手中，他们要破坏你的高台，荡平你的丘坛，剥下你的衣服，夺去你的装饰，赤身露体地拋弃你。	
16:40	他们还要召集联军来攻打你，用石头砸死你，用刀剑把你凌迟，	
16:41	放火烧你的房舍，在众妇女前裁判你。我要这样停止你的淫乱，使你再也不能赠送淫资。	
16:42	如此，我就平息了我向你发的愤怒，我的妒火也要远离你，我要宁静，不再发怒。	
16:43	因为你不追念你幼年的日子，反在这些事上惹我愤怒；看，我要把你的行为报复在你头上──吾主上主的断语──使你再不与你所有的丑恶之物行淫。	
		
16:44t	选民比索多玛人更坏	
16:44	凡说格言的必以格言指着你说：有其母，必有其女!	
16:45	你真不愧是你母亲的女儿，因为她憎嫌了自己的丈夫和子女；你也不愧是你姊妹们的姊妹，因为她们也憎嫌了自己的丈夫和子女；你们的母亲是赫特人，你们的父亲是阿摩黎人﹖	
16:46	你的姐姐是撒玛黎雅，她和她所有的女儿住在你的北面；你的妹妹是索多玛，她和她所有的女儿住在你的南面。	
16:47	你没有走她们所走的路，没有行她们所行的丑事，为时很短；但后来你在你的一切行为上比她们更坏。	
16:48	我指着我的生命起誓──吾主上主的断语──你的妹妹索多玛和她的女儿没有行过像你和你的女儿们所行的事。	
16:49	你的妹妹索多玛的罪恶是：她和她的女儿生活奢华，饮食丰富，安享太平，却没有伸手扶助遭难和贫穷的人，	
16:50	妄自尊大，在我面前行了丑恶的事；我一看见，就把她们予以消除。	
16:51	连撒玛黎雅也没有犯过你一半的罪过，你行的败德之事更甚于她们；由于你行了这样多的丑恶，使你的姐姐却显得比你更正义。	
16:52	现今，你应当承受你罪恶的羞辱，因为你好象为了你的姊妹作了担保人，因为你所犯的罪过比她们犯的更重，使她们显得比你更正义；现今，你应当害羞，承受羞辱，因为你使你的姊妹显得更正义。	
		
16:53t	预言以色列民与万民复兴	
16:53	我要改变她们的命运：即索多玛和她女儿们的命运，撒玛黎雅和她女儿们的命运，同时我也改变你在她们中的命运；	
16:54	为叫你承受你应受的羞辱时，你对自己所行的一切自觉惭愧，可使她们略得宽慰。	
16:55	那时你的妹妹索多玛和她的女儿们，要恢复原状，撒玛黎雅和她的女儿们也要恢复原状，同时你和你的女儿也要恢复原状。	
16:56	当你心高气傲时，你的妹妹索多玛在你的口中不是有过臭名吗﹖	
16:57	但这是在暴露你的裸体之前。现今你却成了厄东的女儿们及其四邻，并培肋舍特的女儿们辱骂的对象，她们在四周都嘲笑你。	
16:58	你应承当你淫荡和丑行的报应──吾主上主的断语──	
16:59	吾主上主这样说：因为你轻视了誓言，破坏了盟约，我要照你所行的对待你；	
16:60	然而我还纪念同你在你青年的时日所立的盟约，并且还要同你结一个永久的盟约。	
16:61	当你收纳比你年长的姐姐和比你年幼的妹妹，我把她们交给你作你的女儿时，你要想起你的行为，自觉羞愧，但这并不是出于与你所立的盟约。	
16:62	我要与你重订盟约，你要承认我是上主，	
16:63	为的是当我宽恕你所行的一切时，你一回想就惭愧，面对这耻辱再不敢开口──吾主上主的断语。」	
		
		
17:0t	第十七章(24)	
		
17:1t	大鹰比喻	
17:1 	上主的话传给我说：	
17:2 	「人子，你要向以色列家族说寓言，讲比喻。	
17:3 	你应宣讲说：吾主上主这样说：有一只大鹰，翅膀庞大，翅翼广阔，羽毛丰满，异彩灿烂，飞到黎巴嫩，啄下香柏的树梢，	
17:4 	折下了嫩枝的尖端，带到贸易的地方，安放在商贾的城中。	
17:5 	它又取了本地的种子，种植在苗圃中，把它栽种在多水之旁，有如栽植柳树。	
17:6 	它果然长起，成了一棵蔓延而躯干矮小的葡萄树；蔓子向鹰伸展，根子向下生长；它遂成了一棵葡萄树，生出蔓子，长出枝子。	
17:7 	又有另一只大鹰，翅膀庞大，羽毛丰满；看，这里葡萄树往它那里伸展自己的根子，也把枝子蔓延到它那里，想获得比在被栽植的园圃中更多的滋润。	
17:8 	但它原是种植在多水的肥田中，为生长枝蔓，结出果实，成为一棵茂盛的葡萄树。	
17:9 	你应宣讲：吾主上主这样说：它能茂盛吗﹖那鹰岂不是要拔出它的根子，啄下它的果实，使正在生出的枝叶枯萎；为拔出它的根子，并不需要强有力的手和众多的人。	
17:10	它虽被栽植，但岂能茂盛﹖东风一吹来，岂不全要枯萎﹖它必在生长的园圃中枯萎。」	
		
17:11t	比喻的释义	
17:11	上主的话又传给我说：	
17:12	「请向这叛逆的家族说：你们明白不明白这有什么意思﹖你要说：看，巴比伦王来到耶路撒冷，捉住城中的君王和官员，把他穿了王室的一个后裔同他立了约叫他宣了誓带到巴比伦来见他。	
17:13	他挑选了王室的一个后裔，同他立了约，叫他宣了誓；以后掳走了那地的贵族，	
17:14	为使那王国衰微，不再有野心，使她遵守盟约，得以生存。	
17:15	但是耶路撒冷的君王却背叛了他，派使臣到埃及去，要求给他战马和大军。他作了这事，岂能顺利获得救援﹖他破坏了盟约，岂能幸免逃脱﹖	
17:16	我指着我的生命起誓：──吾主上主的断语──他必要死在立他为王者的地方，即巴比伦，因为他没有尊重自己的誓言，破坏了同他所立的盟约。	
17:17	当人们堆起高台，建造云梯，屠杀许多生灵时，法郎却没有率领大军，也没有召集人马来协助他作战。	
17:18	他既然不尊重誓言，破坏了盟约，举手宣誓之后，而又行了这一切，他决不会逃脱。	
17:19	因此，吾主上主这样说：我指着我的生命起誓：因为他轻视了我的誓言，破坏了我的盟约，报复必临在他的头上。	
17:20	我要在他上面张开罗网，叫他陷在我的网中而被逮捕；以后带他到巴比伦去，由于他背叛我的罪过，我要在那里栽判他。	
17:21	他军中所有的精兵都要亡于刀下，剩余的逃散到四方。那时你们便要承认是我上主说了这话。」	
		
17:22t	论默西亚的预言	
17:22	吾主上主这样说：「我要亲自由高大的香柏树梢上取下一枝条，从嫩枝的尖上折下一根嫩芽，亲自把它栽植在高山峻岭之上，	
17:23	栽植在以色列的高山上，它要生长枝叶，结出果实，成为一棵高大的香柏；各种飞鸟要栖在它下，栖在他枝叶的荫影之下。	
17:24	如此，田野间的一切树木都承认我是上主，都知道我曾使高大的树矮小，使矮小的树高大，使绿树枯萎，使枯木发绿，我上主言出必行。	
		
		
18:0t	第十八章(32)	
		
18:1t	行善者生作恶者死	
18:1 	上主的话传给我说：	
18:2 	「在以色列地区内，你们有这样流行的俗话说：『祖先吃了酸葡萄，而子孙的牙酸倒』这话有什么意思﹖	
18:3 	我指着我的生命起誓──吾主上主的断语──在以色列决不能再容许这俗话流行。	
18:4 	所有的生命都属于我，祖先的生命与子孙的生命全属于我；谁犯罪，谁丧亡。	
18:5 	一个人若正义，必行公道正义的事。	
18:6 	他不上山吃祭物，不举目瞻仰以色列家族的偶像，不污辱近人的妻子，不接近经期中的妇女，	
18:7 	不欺压任何人，清还债户的抵押，不抢劫，施给饥饿者食物，给赤身者衣穿，	
18:8 	不放重利，不取息金，使自己的手远避邪恶，在人与人之间执行公正的审断，	
18:9 	遵行我的法度，谨守我的诫命，行事忠信：这样的人纔是正义的，必得生存──吾主的断语──	
18:10	倘若这人生了一个儿子，性暴好杀，只行这类的事；	
18:11	对上述的事不但不作，反而上山吃祭物，污辱近人的妻子，	
18:12	欺压贫穷无告的人，抢劫，不清还抵押，举目瞻仰偶像，行丑恶之事，	
18:13	放重利，取利息：这样的人决不能生存，因为他行了这些丑事，必要丧亡，他的血债必由他自己来负。	
18:14	倘若这人生了一个儿子，这儿子虽看见了他父亲所行的一切罪过，但考虑之后，却未依照去做；	
18:15	不在山上吃祭物，不举目瞻仰以色列家族的偶像，不污辱近人的妻子，	
18:16	不欺压，不索取抵押，不抢劫，施给饥饿者食物，给赤身者衣穿，	
18:17	使自己的手戒绝邪恶，不取重利和利息，谨守我的法律，遵行我的法度：这人必不因他父亲的罪而丧亡，必得生存。	
18:18	至于他的父亲，由于暴行，抢劫，在自己人民中从未行过善。看，他必因自己的罪而丧亡。	
18:19	你们或问：儿子为什么不承当父亲的罪过﹖因为儿子遵行法律和正义，谨守了我一切法度，而一一遵行，他必得生存。	
18:20	谁犯罪，谁就该丧亡；儿子不承当父亲的罪过，父亲不承当儿子的罪过；义人的正义归于义人自己，恶人的邪恶也归于恶人自己。	
18:21	若恶人悔改，远离所犯的罪过，遵守我的法度，遵行我的法律和正义，必得生存，不至丧亡。	
18:22	他所行的一切邪恶必被遗忘；他必因所行的正义而得生存。	
18:23	我岂能喜欢恶人的丧亡﹖──吾主上主的断语──我岂不更喜欢他离开旧道而得生存﹖	
18:24	若义人离弃了正义而行恶，一如恶人所惯行的丑恶，他岂能生存﹖他行过的正义必被遗忘，因为他背信违约，犯了罪过，必要丧亡。	
18:25	你们或说：上主的作法不公平!以色列家族，请听我说：是我的作法不公平吗﹖岂不是你们的作法不公平﹖	
18:26	若是义人离弃正义而行恶，因而丧亡，是因为他所行的恶而丧亡。	
18:27	若恶人远离他所行的恶事，而遵行法律和正义，必能保全自己的生命，	
18:28	因为他考虑之后，离弃了所行的一切恶事，他必生存，不至丧亡。	
18:29	若以色列家族还说：吾主的作法不公平。以色列家族!是我的作法不公平吗﹖岂不是你们的作法不公平﹖	
		
18:30t	劝充军者改恶迁善	
18:30	以色列家族!我要照各人的行为裁判你们──吾主上主的断语──你们应回心转意，离开你们的一切罪恶，避免它们再做你们犯罪的绊脚石。	
18:31	由你们身上拋契一切得罪我的恶行罢!你们应改造一个新心，一种新的精神!以色列家族，为何你们偏要丧亡﹖	
18:32	因为我不喜欢任何人丧亡──吾主上主的断语──你们回心转意罢!你们必得生存!	
		
		
19:0t	第十九章(14)	
		
19:1t	母狮与幼狮的寓言	
19:1 	你应为以色列的君王唱一篇哀歌，	
19:2 	说：「你的母亲原像什么﹖她像群狮中的一只牝狮，卧在壮狮中养大了幼狮。	
19:3 	它养大了一只幼小的。它就长成了壮狮，学会了撕裂猎物，吞噬人类。	
19:4 	列国于是下令追捕它，它遂在她们所设的陷阱中被捕，人便用鼻环把它牵到埃及地。	
19:5 	母狮见自己所等待的，所希望的落了空，就另取了一只幼狮，使它成为壮狮。	
19:6 	它在群狮中徘徊，成了壮狮，学会了撕裂猎物，吞噬人类。	
19:7 	它把裂物带到自己的穴中，恐吓羊群，那地方和居民对它的吼声，无不惊惧。	
19:8 	于是各国由四周各地追踪它，设下罗网捕捉它，终于在她们的陷阱中被捕。	
19:9 	然后给它带上鼻环，把它装在笼中，将他解送到巴比伦王那里，将它囚禁在狱中，免得在以色列的山上再听到它的吼声。	
		
19:10t	葡萄树的寓言	
19:10	你的母亲像园中的一棵葡萄树，栽植在水旁，因为水多，果实累累，枝叶繁茂。	
19:11	她生出一根粗壮的枝条，可作统治者的令牌，它的躯干高大，超过其它的枝叶。因它身量高大，在密茂的枝叶中，也可以见到。	
19:12	但是在狂怒中，它竟被拔出，拋弃在地上，东风吹干了它的果实，它粗壮的枝干被折断而干枯，为火所焚烧。	
19:13	现今它被栽植在沙漠中，在那枯燥干旱的地方。	
19:14	由枝梢上冒出一团火，焚烧了它的枝叶和果实，没有给它留下一根粗壮的枝条，作统治者的令牌。」这是一篇哀歌，可为追悼之用。	
		
		
20:0t	第二十章(44)	
		
20:1t	斥责以民在埃及犯的罪	
20:1 	七年五月十日，有些以色列长老前来求问上主，他们坐在我面前。	
20:2 	上主的话传给我说：	
20:3 	「人子，你要向以色列长老发言，对他们说：吾主上主这样说：你们是为求问我而来的吗﹖我指着我的生命起誓：我决不让你们求问──吾主上主的断语──	
20:4 	人子，你应开庭审问他们，叫他们知道他们祖先的丑恶。	
20:5 	你向他们说：吾主上主这样说：在我拣选以色列之日，便向雅各伯的后裔举手起誓，并在埃及地显示给他们，向他们举手起誓说：我是上主，你们的天主。	
20:6 	在那一天，我曾向他们举手起誓，要领他们出离埃及地，到我早给他们拣选的流奶流蜜的地方去，那是普世最肥美的地方。	
20:7 	那时我向他们说：你们每人都该拋弃自己最喜爱的偶像，不要为埃及的神像所玷污：我是上主，你们的天主；	
20:8 	但他们竟背弃我，不肯听从我，没有人拋弃自己所喜爱的偶像，也没有人丢开埃及的神像。那时我本想在他们身上发泄我的愤怒，在埃及地域向他们尽泄我的怒气。	
20:9 	然而我为了我的名没有这样作，免得我的名在异民眼前，即在他们居留的地方，受到亵渎，因为我曾在他们眼前显示给他们，要领我的百姓离开埃及地。	
		
20:10t	在旷野犯的罪过	
20:10	我引他们离开埃及地，领他们到了旷野，	
20:11	给他们颁布了我的诫命，给他们启示了我的法律：凡遵守那些法律的，便可赖以生存。	
20:12	我还给他们规定了我的安息日，作为我与他们中间的记号，为承认我就是祝圣他们的上主。	
20:13	但是以色列家族在旷野中背弃了我，没有奉行我的法度，轻视了我的法律，即遵行的人可赖以生存的法律，并对我的安息日大加亵渎；那时我本想在他们身上发泄我的愤怒，在旷野中消灭他们。	
20:14	然而我为了我的名，没有这样作，免得我的名在异民前受亵渎，因为我曾在异民眼前将他们引领出来。	
20:15	甚至在旷野中我也亲自向他们举手起过誓，不再领他们进入我曾赐给他们那流奶流蜜之地，即普世最肥美的地方；	
20:16	因为他们拋弃了我的法律，没有奉行我的法度，并且亵渎了我的安息日，因为他们的心随从了他们的偶像；	
20:17	但是我的眼睛还怜视了他们，没有击杀他们，也没有在旷也中消灭他们。	
20:18	以后，我在旷野中向他们的后代说：你们不要追随你们祖先的习惯，不要遵行他们的惯例，也不要为他们的偶像所玷污。	
20:19	我是上主你们的天主；你们应奉行我的法度，谨守我的法律，要一一履行；	
20:20	要圣化我的安息日，作为我与你们之间的记号，承认我是上主，你们的天主。	
20:21	然而他们的后代也背弃了我，没有奉行我的法度，也没有遵守我的法律，即遵行的人可赖以生存的法律，并且也亵渎了我的安息日。我本想在他们身上发泄我的愤怒，在旷野中尽泄我的怒气，	
20:22	但是为了我的名我缩回了手，没有那样作，免得我的名在异民前受到亵渎，因为我刚由他们面前将他们领出来。	
20:23	并且在旷野中我也亲自向他们举手起过誓，要将他们分散在异民中，将他们放逐在各国中；	
20:24	因为他们没有遵行我的法律，且轻视了我的法度，亵渎了我的安息日，他们的眼目转向了他们的祖先的偶像。	
20:25	为此，我容许他们有不良的法度，和不能赖以生存的法律；	
20:26	并使他们因自己的祭献成为不洁，让他们将头胎所生的，予以焚化祭祀，为使他们灭绝；如此，他们要承认我是上主。	
		
20:27t	在客纳罕犯的罪过	
20:27	人子，为此你应告诉以色列家族，向他们说：吾主上主这样说：你们的祖先，连在这事上也亵渎了我，对我背信违约：	
20:28	当我引领他们进入曾向他举手誓许要赐给他们的地域时，他们无论看见那一座高丘，那一棵密茂的树木，就在那里祭杀牺牲，在那里献上甘饴的馨香，并在那里行奠酒礼。	
20:29	我曾向他们说：「高丘」算是什么﹖你们竟往那里去；直到今日人还叫那地方为「巴玛。」	
20:30	为此你要告诉以色列家族：吾主上主这样说：你们仍追随你们祖先的行径而玷污自己，仍同他们的邪神犯奸淫；	
20:31	你们仍奉献供物，火化你们的子女，为了你们的一切偶，像使自己受玷污直到今日。以色列家族，我还能让你们求我吗﹖我指着我的生命起誓：──吾主上主的断语──我决不让你们求问。	
		
20:32t	以民的净化	
20:32	你们幻想说：我们要像异民，像各地的的人民一样敬拜木石，你们心中所想的决不能成功!	
20:33	我指着我的生命起誓：──吾主上主的断语──我必以强力的手，伸出的臂，暴发怒气，统治你们。	
20:34	我必以强力的手，伸出的臂，暴发的怒气，把你们由万民中领出，由你们所散居的各地聚集起来；	
20:35	把你们引领到异民的旷野中，在那里面对面地惩罚你们。	
20:36	我怎样在埃及地的旷野中，惩罚了你们的祖先，也怎样惩罚你们──吾主上主的断语──	
20:37	我要使你们在我的杖下经过，引你们受盟约的束缚。	
20:38	我要从你们中分别出那些反叛和背弃我的人，我也要将他们由流徙之地领出，但是他们却不得进入以色列地域；如此你们必承认我是上主。	
		
20:39t	以民净化后归依上主	
20:39	你们以色列家族，吾主上主这样说：你们每人去崇拜自己的偶像罢!可是你们终于要听从我，不再以你们的祭献和偶像来亵渎我的圣名，	
20:40	因为在我的圣山上，在以色列的高山上──吾主上主的断语──凡住在本地的以色列家族，都要在那里事奉我。我要在那里悦纳你们，在那里等待你们的祭品，和你们一切圣物中最优美的祭物。	
20:41	当我把你们由异民中领出来，由你们所散居的各地聚集起来时，我要悦纳你们，好象甘饴的馨香；如此，借着你们，我在异民眼前显为神圣。	
20:42	当我引领你们进入以色列地域时，即我举手起誓要赐给你们祖先的那地方时，你们必承认我是上主。	
20:43	在那里你们记起你们的行为，及所有玷污自己的行事，你们自己对所作的一切丑恶，也必感到厌恶。	
20:44	以色列家族，为了我的名，我没有照你们的恶行和败坏的行为对待你们：如此，你们该承认我是上主──吾主上主的断语。』	
		
		
21:0t	第二十一章(37)	
		
21:1t	惩罚犹大	
21:1 	上主的话传给我说：	
21:2 	「人子，你转面向南，向南方发言，讲预言攻斥乃革布地方的树林，	
21:3 	向乃革布的树林说：你听上主的话罢!吾主上主这样说：看，我要在你那里点火，烧尽你那里所有的绿树和枯木；燃起的火焰决不熄灭，必由南方到北方烧尽一切。	
21:4 	凡有血肉的人都看到这火是我上主点燃的，决不能扑灭。」	
21:5 	我遂喊说：「哎，吾主上主啊!他们评论我说：这人只会说寓言!」	
		
21:6t	惩罚以民的剑	
21:6 	上主的话传给我说：	
21:7 	「人子，你转面向耶路撒冷，发言攻斥圣所，讲预言攻斥以色列地域，	
21:8 	向以色列地域说：吾主上主这样说：看，我要攻击你，我要拔剑出鞘，铲除你境内的义人和恶人，	
21:9 	因为我要铲除你境内的义人和恶人，为此，我的剑从鞘内抽出，攻击由南至北一切有血肉的人；	
21:10	这样，凡有血肉的人都知道：是我，上主拔剑出鞘，决不再放回。	
21:11	人子，你应哀叹!应在他们眼前伤心痛苦哀叹。	
21:12	假使有人问你说：你为什么哀叹﹖你就说：是为了一个凶信，当这事来到，所有的心灵必要沮丧，手臂必要无力，精神必要颓唐，膝盖必要软弱如水。看，灾祸来到时，必将如此──吾主上主的断语。」	
		
21:13t	剑喻巴比伦	
21:13	上主的话传给我说：	
