1:-1t	希伯来书	
12:20	因为他们承担不起所吩咐的事：『即使是一只走兽触摸了这山，也应用石头砸死；』	
12:21	并且所显现的是这么可怕，连梅瑟也说：『我很是恐慌战憟。』	
12:22	然而你们却接近了熙雍山和永生天主的城，天上的耶路撒冷，接近了千万天使的盛会，	
12:23	和那些已被登录在天上的首生者的集会，接近了审判众人的天主，接近了已获得成全的义人的灵魂，	
12:24	接近了新约的中保耶稣，以及他所洒的血：这血比亚伯尔的血说话说得更好。	
12:25	你们要慬慎，不要拒绝说话的那位！如果从前那些拒绝听他在地上宣布启示的人，不能逃脱惩罚，何况我们这些背弃由天上说话的那位呢﹖	
12:26	从前他的声音摇动了下地，如今他却应许说：『还有一次，我不但动摇下地，而且也动摇上天。』	
12:27	这『还有一次』一句，是指明那些被动摇的事物，因为是受造的，必起变化，好叫那些不可动摇的事物得以常存。	
12:28	为此，我们既然是蒙受一个不可动摇的国度，就应该感恩，藉此怀着虔诚和敬畏之情，事奉天主，叫他喜悦，	
12:29	因为我们的天主实是吞灭的烈火。	
		
		
13:0t	第十三章	
		
13:1t	劝信友善尽各种义务	
13:1 	弟兄相爱之情应当常存。	
13:2 	不可忘了款待旅客，曾有人因此于不知不觉中款待了天使。	
13:3 	你们应怀念被囚禁的人，好象与他们同被囚禁；应怀念受虐待的人，好象你们也亲身受了一样。	
13:4 	在各方面，婚姻应受尊重，床第应是无污玷的，因为淫乱和犯奸的人，天主必要裁判。	
13:5 	待人接物不应爱钱；对现状应知足，因为天主曾亲自说过：『我决不离开你，也决不弃舍你。』	
13:6 	所以我们可放心大胆地说：『有上主保护我，我不畏惧；人能对我怎样﹖』	
13:7 	你们应该记念那些曾给你们讲过天主的道理，作过你们领袖的人，默想他们的生死，好效法他们的信德。	
13:8 	耶稣基督昨天、今天、直到永远，常是一样。	
13:9 	不可因各种异端道理而偏离正道；最好以恩宠来坚固自己的心，而不要以食物：那靠食物而行的人，从未得到好处。	
13:10	我们有一座祭坛，那些在帐幕内行敬礼的人，没有权利吃上面的祭物，	
13:11	因为那些祭牲的血，由大司祭带到圣所内当作赎罪祭，祭牲的尸体却应在营外焚烧尽；	
13:12	因此耶稣为以自己的血圣化人民，就在城门外受了苦难。	
13:13	所以我们应离开营幕，到他那里去，去分受他的凌辱，	
13:14	因为我们在此没有常存的城邑，而是寻求那将来的城邑。	
13:15	所以我们应借着耶稣，时常给天主奉献赞颂的祭献，就是献上我们嘴唇的佳果，颂扬他的圣名。]	
13:16	至于慈善和施舍，也不可忘记，因为这样的祭献是天主所喜悦的。	
13:17	你们应信服并听从你们的领袖，因为他们为了你们的灵魂，常醒寤不寐，好象要代你们交账的人；你们要使他们喜欢尽此职分，而不哀怨，因为他们若有哀怨，为你们决无好处。	
		
13:18t	最后嘱托问安与祝福	
13:18	请为我们祈祷！因为我们确信，我们有一个纯正的良心，愿意在一切事上举止完善。	
13:19	我还恳切劝勉你们格外行祈祷，使我快回到你们那里。	
13:20	赐平安的天主曾由死者中领出了那位因永远盟约的血，作群羊伟大司牧的我们的主耶稣，	
13:21	愿他成全你们行各种善工，好承行他的旨意；愿天主在我们身上，借着耶稣基督行他眼中所喜悦的事！愿光荣归于他，至于无穷之世！阿们。	
13:22	弟兄们！我劝你们容纳这劝慰的话，因为我只是简略地给你们写了这封信。	
13:23	你们要知道，你们的弟兄弟茂德已被释放了；如果他来的快，我就同他一起来看你们。	
13:24	问候你们的诸位领袖和众圣徒！意大利的弟兄们问候你们。	
13:25	愿恩宠与你们众人同在！	
		
