1.-2t	格林多前书	
11.31	但是，若我们先省察自己，我们就不至于受罚了。	
11.32	我们即使受罚，只是受主的惩诫，免得我们和这世界一同被定罪。	
12.33	所以，我的弟兄们，当你们聚集吃晚餐时，要彼此等待。	
11.34	谁若饿了，在家里先吃，免得你们聚集自遭判决。其余的事，等我来了再安排。	
		
		
12.0t	第十二章	
		
12.1t	神恩的来源与作用　	
12.1 	弟兄们，至论神恩的事，我切愿你们明了。	
12.2 	你们记得：当你们还是外教人的时候，好象着了迷，常被勾引到那些不会出声的偶像前。	
12.3 	为此，我告诉你们，没有一个受天主圣神感动的会说：「耶稣是可诅咒的；」除非受圣神感动，也没有一个能说：「耶稣是主」的。	
12.4 	神恩虽有区别，却是同一的圣神所赐；	
12.5 	职份虽有区别，却是同一的主所赐；	
12.6 	功效虽有区别，却是同一的天主，在一切人身上行一切事。	
12.7 	圣神显示在每人身上虽不同，但全是为人的好处。	
12.8 	这人从圣神蒙受了智慧的言语，另一人却由同一圣神蒙受了知识的言语；	
12.9 	有人在同一圣神内蒙受了信心，另有人在同一圣神内却蒙受了治病的奇恩；	
12.10	有的能行奇迹，有的能说先知话，有的能辨别神恩，有的能说各种语言，有的能解释语言，	
12.11	可是，这一切都是这唯一而同一的圣神所行的，随他的心愿，个别分配与人。	
		
12.12t	教会犹如一身　	
12.12	就如身体只是一个，却有许多肢体；身体所有的肢体虽多，仍是一个身体：基督也是这样。	
		
12.14t	因为我们众人，不论是犹太人，或是希腊人，或是为奴的，或是自主的，都因一个圣神受了洗，成为一个身体，又都为一个圣神所滋润。	
12.14	原来身体不只有一个肢体，而是有许多。	
12.15	如果脚说：「我既然不是手，便不属于身体；」它并不因此就不属于身体。	
12.16	如果耳说：「我既然不是眼，便不属于身体；」它并不因此不属于身体。	
12.17	若全身是眼，哪里有听觉﹖若全身是听觉，哪里有嗅觉﹖	
12.18	但如今天主却按自己的意思，把肢体个个都安排在身体上了。	
12.19	假使全都是一个肢体，哪里还算身体呢﹖	
12.20	但如今肢体虽多，身体却是一个。	
12.21	眼不能对手说：「我不需要你；」同样，头也不能对脚说：「我不需要你们。」	
12.22	不但如此，而且那些似乎是身体上比较软弱的肢体，却更为重要，	
12.23	并且那些我们以为是身体上比较欠尊贵的肢体，我们就越发加上尊贵的装饰，我们不端雅的肢体，就越发显得端雅。	
12.24	至于我们端雅的肢体，就无需装饰了。天主这样配置了身体，对那缺欠的，赐以加倍的尊贵，	
12.25	免得在身体内发生分裂，反使各肢体彼此互相关照。	
12.26	若是一个肢体受苦，所有的肢体都一同受苦，若是一个肢体蒙受尊荣，所有的肢体都一同欢乐。	
		
12.27t	神恩各有其作用　	
12.27	你们便是基督的身体，各自都是肢体。	
12.28	天主在教会内所设立的：第一是宗徒，第二是先知，第三是教师，其次是行异能的，再次是有治病奇恩的、救助人的、治理人的、说各种语言的。	
12.29	众人岂能都作宗徒？岂能都做先知？岂能都做教师？岂能都行异能？	
12.30	岂能都有治病的奇恩？岂能都说各种语言？岂能都解释语言？	
13.31	你们该热切追求那更大的恩赐。我现在把一条更高超的道路指给你们。	
		
		
13.0t	第十三章	
		
13.1t	爱超越一切　	
13.1 	我若能说人间的语言，和能说天使的语言；但我若没有爱，我就成了个发声的锣，或发响的钹。	
13.2 	我若有先知之恩，又明白一切奥秘和各种知识；我若有全备的信心，甚至能移山，但我若没有爱，我什么也不算。	
13.3 	我若把我所有的财产全施舍了，我若舍身投火被焚；但我若没有爱，为我毫无益处。	
		
13.4t	爱是诸德的灵魂　	
13.4 	爱是含忍的，爱是慈祥的，爱不嫉妒，不夸张，不自大，	
13.5 	不作无礼的事，不求己益，不动怒，不图谋恶事，	
13.6 	不以不义为乐，却与真理同乐：	
13.7 	凡事包容，凡事相信，凡事盼望，凡事忍耐。	
		
13.8t	爱永存不朽　	
13.8 	爱永存不朽，而先知之恩，终必消失；语言之恩，终必停止；知识之恩，终必消逝。	
13.9 	因为我们现在所知道的，只是局部的；我们作先知所讲的，也只是局部的；	
13.10	及至那圆满的一来到，局部的，就必要消逝。	
13.11	当我是孩子的时候，说话像孩子，看事像孩子，思想像孩子；几时我一成了人，就把孩子的事丢弃了。	
13.12	我们现在是借着镜子观看，模糊不清，到那时，就要面对面的观看了。我现在所认识的，只是局部的，那时我就要全认清了，如同我全被认清一样。	
13.13	现今存在的，有信、望、爱这三样，但其中最大的是爱。	
		
		
14.0t	第十四章	
		
14.1t	先知与语言二神恩的比较　	
14.1 	你们要追求爱，但也要渴慕神恩，尤其是要渴慕做先知之恩。	
14.2 	原来那说语言的，不是对人，而是对天主说话，因为没有人听得慬，他是由于神魂讲论奥秘的事；	
14.3 	但那做先知的，却是向人说建树、劝慰和鼓励的话。	
14.4 	那说语言的，是建立自己；那讲先知话的，却是建立教会。	
14.5 	我愿意你们都有说语言之恩，但我更愿意你们都做先知，因为讲先知话的比说语言的更大，除非他也解释，使教会获得建立。	
14.6 	弟兄们！假使我来到你们那里，只说语言，若不以启示，或以知识，或以先知话，或以训诲向你们讲论，我为你们有什么益处﹖	
14.7 	就连那些无灵而发声之物，箫也罢，琴也罢，若分不清声调，怎能知道所吹所弹的是什么呢﹖	
14.8 	若号筒吹的音调不准确，谁还准备作战呢﹖	
14.9 	同样，你们若不用舌头说出明晰的话，人怎能明白你说的是什么﹖那么，你们就是向空气说话。	
14.10	谁也知道世界上有很多语言，但没有一种是没有意义的。	
14.11	假使我不明白那语言的意义，那说话的人必以我为蛮夷，我也以那说话的人为蛮夷。	
14.12	你们也当这样：你们既然渴慕神恩，就当祈求多得建立教会的恩赐。	
		
14.13t	语言之恩不如先知之恩　	
14.13	为此，那说语言的应当祈求解释之恩，	
14.14	因为我若以语言之恩祈祷，是我的神魂祈祷，我的理智却得不到效果。	
14.15	那么怎样才行呢﹖我要以神魂祈祷，也要以理智祈祷，我要以神魂歌咏，也要以理智歌咏；	
14.16	不然，假使你以神魂赞颂，那在埸不通语言的人，既不明白你说什么，对你的祝谢词，怎能答应「阿们」呢﹖	
14.17	你固然祝谢的很好，可是不能建立别人。	
14.18	我感谢天主，我说语言胜过你们众人；	
14.19	可是在集会中，我宁愿以我的理智说五句训诲人的话，而不愿以语言之恩说一万句话。	
14.20	弟兄们！你们在见识上不应做孩子，但应在邪恶上做婴孩，在见识上应做成年人。	
14.21	法律上记载：『上主说：我要借说外方话的人和外方人的嘴唇向这百姓说话，虽然这样，他们还是不听从我。』	
14.22	这样看来，语言之恩不是为信的人作证据，而是为不信的人；但先知之恩不是为不信的人，而是为信的人。	
14.23	所以全教会共同聚在一起时，假使众人都说起语言来，如有不通的人，或有不信的人进来，岂不要说：你们疯了吗﹖	
14.24	但是，如果众人都说先知话，既便有不信的人或不通的人进来，他必被众人说服，也必被众人所审察，	
14.25	他心内的隐秘事也必会显露出来：这样他就必俯首至地朝拜天主，声称天主实在是在你们中间。	
		
14.26t	善用神恩当守秩序　	
14.26	弟兄们！那么怎样做呢﹖当你们聚会的时候，每人不论有什么神恩，或有歌咏，或有训诲，或有启示，或有语言，或有解释之恩：一切都应为建立而行。	
14.27	倘若有说语言的，只可两个人，或至多三个人，且要轮流讲话，也要有一个人解释；	
14.28	如没有解释的人，在集会中就该缄默，只可对自己和对天主说话。	
14.29	至于先知，可以两个人或三个人说话，其余的人要审辨。	
14.30	若在坐的有一位得了启示，那先说话的，就不应该再发言，	
14.31	因为你们都可以一个一个的说先知话，为使众人学习，为使众人受到鼓励。	
14.32	并且先知的神魂是由先知自己作主，	
14.33	因为天主不是混乱的天主，而是平安的天主。	
		
14.34t	公共集会中女人应缄默　	
14.34	"犹如在圣徒的众教会内,妇女在集会中应当缄默；她们不准发言，只该服从，正如法律所说的。"	
14.35	她们若愿意学什么，可以在家里问自己的丈夫；因为在集会中发言，为女人不是体面事。	
		
14.36t	再劝信友应守秩序　	
14.36	莫非天主的道理是从你们来的吗﹖或是惟独临到了你们身上吗﹖	
14.37	若有人自以为是先知，或受神感的人，就该承认我给你们所写的，是主的诫命。	
14.38	谁若不承认，也不要承认他。	
14.39	所以，我的弟兄们，你们应当渴慕说先知话，可是也不要禁止人说语言。	
14.40	一切都该照规矩按次序而行。	
		
		
15.0t	第十五章	
		
15.1t	基督复活是信仰的根基　	
15.1 	弟兄们！我愿意你们认清，我们先前给你们传报的福音，这福音你们已接受了，且在其上站稳了，	
15.2 	假使你们照我给你们所传报的话持守了福音，就必因这福音得救，否则，你们就白白地信了。	
15.3 	我当日把我所领受而又传给你们的，其中首要的是：基督照经上记载的，为我们的罪死了，	
15.4 	被埋葬了，且照经上记载的，第三天复活了，	
15.5 	并且显现给刻法，以后显现给那十二位；	
15.6 	此后，又一同显现给五百多弟兄，其中多半到现在还活着，有些已经死了。	
15.7 	随后，显现给雅各伯，以后，显现给众宗徒；	
15.8 	最后，也显现了给我这个像流产儿的人。	
15.9 	我原是宗徒中最小的一个，不配称为宗徒，因为我迫害过天主的教会。	
15.10	然而，因天主的恩宠，我成为今日的我；天主赐给我的恩宠没有落空，我比他们众人更劳碌；其实不是我，而是天主的恩宠偕同我。	
15.11	总之，不拘是我，或是他们，我们都这样传了，你们也都这样信了。	
		
15.12t	基督复活与信友的关系　	
15.12	我们既然传报了基督已由死者中复活了，怎么你们中还有人说：死人复活是没有的事呢﹖	
15.13	假如死人复活是没有的事，基督也就没有复活；	
15.14	假如基督没有复活，那么，我们的宣讲便是空的，你们的信仰也是空的。	
15.15	此外，如果死人真不复活，我们还被视为天主的假证人，因为我们相反天主作证，说天主使基督复活了，其实并没有使衪复活，	
15.16	因为如果死人不复活，基督也就没有复活；	
15.17	如果基督没有复活，你们的信仰便是假的，你们还是在罪恶中。	
15.18	那么，那些在基督内死了的人，就丧亡了。	
15.19	如果我们在今生只寄望于基督，我们就是众人中最可怜的了。	
15.20	但是，基督从死者中实在复活了，做了死者的初果。	
15.21	因为死亡既因一人而来，死者的复活也因一人而来；	
15.22	就如在亚当内，众人都死了，照样在基督内，众人都要复活；	
15.23	不过各人要依照自己的次第：首先是为初果的基督，然后是在基督再来时属于基督的人，	
15.24	再后才是结局；那时，基督将消灭一切率领者、一切掌权者和大能者，把自己的王权交于天主父。	
15.25	因为基督必须为王，直到把一切仇敌屈伏在他的脚下。	
15.26	最后被毁灭的仇敌便是死亡；	
15.27	因为天主使万物都屈伏在他的脚下。既然说万物都已屈伏了，显然那使万物屈伏于他的不在其内。	
15.28	万物都屈伏于他以后，子自己也要屈伏于那使万物屈伏于自己的父，好叫天主成为万物之中的万有。	
		
15.29t	否认复活的后果　	
15.29	不然，那些代死人受洗的是作什么呢﹖如果死人总不复活，为什么还代他们受洗呢﹖	
15.30	我们又为什么时时冒险呢﹖	
15.31	弟兄们，我指着我在我们的主基督耶稣内，对你们所有的荣耀，起誓说：我是天天冒死的。	
15.32	我若只凭人的动机，当日在厄弗所与野兽搏斗，为我有什么益处﹖如果死人不复活，「我们吃喝罢，明天就要死了。」	
15.33	你们不可为人所误：「交结恶友必败坏善行。」你们当彻底醒寤，别再犯罪了。	
15.34	你们中有些人实在不认识天主了：我说这话是为叫你们羞愧。	
		
15.35t	复活后的身体　	
15.35	可是有人要说：死人将怎样复活呢﹖他们将带着什么样的身体回来呢﹖	
15.36	糊涂人哪!你所播的种子，若不先死了，决不得生出来；	
15.37	并且你所播种的，并不是那将要生出的形体，而是一颗赤裸的籽粒，譬如一颗麦粒，或者别的种粒；	
15.38	但天主随自己的心意给它一个形体，使每个种子各有各的本体。	
15.39	不是所有的肉体都是同样的肉体：人体是一样，兽体又是一样，鸟体另是一样，鱼体却又另是一样。	
15.40	还有天上的物体和地上的物体：天上物体的华丽是一样，地上物体的华丽又是一样；	
15.41	太阳的光辉是一样，月亮的光辉又是一样，星辰的光辉另是一样；而且星辰与星辰的光辉又有分别。	
15.42	死人的复活也是这样：播种的是可朽坏的，复活起来的是不可朽坏的；	
15.43	播种的是可羞辱的，复活起来的是光荣的；播种的是软弱的，复活起来的是强健的；	
15.44	播种的是属生灵身体，复活起来的是属神的身体；既有属生灵的身体，也就有属神的身体。	
15.45	经上也这样记载说：『第一个人亚当成了生灵，』最后的亚当成了使人生活的神。	
15.46	但属神的不是在先，而是属生灵的，然后才是属神的。	
15.47	第一个人出于地，属于土，第二个人出于天。	
15.48	那属于土的怎样，凡属于土的也怎样；那属天上的怎样，凡属天上的也怎样。	
15.49	我们怎样带了那属于土的肖像，也要怎样带那属于天上的肖像。	
		
15.50t	基督战胜了死亡　	
15.50	弟兄们，我告诉你们：肉和血不能承受天主的国，可朽坏的也不能承受不可朽坏的。	
15.51	看，我告诉你们一件奥秘的事：我们众人不全死亡，但我们众人却全要改变，	
15.52	这是在顷刻眨眼之间，在末次吹号筒时发生的。的确，号筒一响，死人必要复活，成为不朽的，我们也必要改变，	
15.53	因为这可朽坏的，必须穿上不可朽坏的；这可死的，必须穿上不可死的。	
15.54	几时这可朽坏的，穿上了不可朽坏的；这可死的，穿上了不可死的，那时就要应验经上所记载的这句话：『在胜利中，死亡被吞灭了。』	
15.55	『死亡!你的胜利在哪里﹖死亡!你的刺在哪里﹖』	
15.56	死亡的刺就是罪过，罪过的权势就是法律。	
15.57	感谢天主赐给了我们因我们的主耶稣基督所获得的胜利。	
15.58	所以，我亲爱的弟兄，你们要坚定不移，在主的工程上该时常发愤勉力，因为你们知道，你们的勤劳在主内决不会落空。	
		
		
16.-1t	结　论	
		
16.0t	第十六章	
		
16.1t	应捐助耶路撒冷教会　	
16.1 	关于为圣徒捐款的事，我怎样给迦拉达各教会规定了，你们也该照样做。	
16.2 	每周的第一日，你们每人要照自己的能力积蓄一点，各自存放着，免得我来到时才现凑。	
16.3 	几时我一来到，就派你们所认可的人，带着信，把你们的恩赐送到耶路撒冷去；	
16.4 	若是值得我也去，他们就同我一起去。	
		
16.5t	通知行期　	
16.5 	我巡行了马其顿以后，就往你们那里去，因为我只愿巡行马其顿；	
16.6 	但在你们那里，可能我要住下，甚至过冬，以后我无论往那里去，你们可以给我送行，	
16.7 	因为这次我不愿只路过时见见你们；主若准许，我就希望在你们那里多住一些时候；	
16.8 	但我仍要在厄弗所逗留到五旬节，	
16.9 	因为有成效的大门已给我敞开了，但也有许多敌对的人。	
		
16.10t	托付与劝告　	
16.10	若是弟茂德到了，你们要留意，叫他在你们那里无恐无惧，因为他是办理主的工作，如同我一样，	
16.11	所以谁也不可轻视他。以后，你们当送他平安起程，回到我这里，因为我与弟兄们等候着他。	
16.12	关于阿颇罗弟兄，我多次恳求他，要他同弟兄们一起到你们那里去，但他决没有意思如今去；一有好机会，他一定会去。	
16.13	你们应该儆醒，应屹立在信德上，应有丈夫气概，应刚强有力。	
16.14	你们的一切事，都应以爱而行。	
16.15	弟兄们，我还要劝告你们：你们知道斯特法纳一家原是阿哈雅的初果，且自愿委身服事圣徒；	
16.16	对这样的人，和一切合作劳苦的人，你们应表示服从。	
16.17	斯特法纳和福突纳托及阿哈依科来了，我很喜欢，因为他们填补了你们的空缺；	
16.18	他们使我和你们的心神都感到了快慰。对他们这样的人，你们应知敬重。	
		
16.19t	问候与祝福　	
16.19	亚细亚各教会问候你们；阿桂拉和普黎史拉以及他们家内的教会，在主内多多问候你们。	
16.20	所有的弟兄都问候你们；你们也该以圣吻彼此问候。	
16.21	我保禄亲笔问候。	
16.22	若有人不爱主，该受诅咒！吾主，来罢！	
16.23	愿主耶稣的恩宠与你们同在！	
16.24	愿我的爱在基督耶稣内与你们众人同在!	
		
