1.-1t	献祭的礼仪(1-7)
11.12	水族中凡没有鳍和鳞的，都是你们所当憎恶的。
11.13	飞禽中，你们应视为可憎而不可吃，应视为可憎之物的是：鹰、鹗、鹫、
11.14	鸢及隼之类；
11.15	凡乌鸦之类；
11.16	驼鸟、夜鹰、海鸥和苍鹰之类；
11.17	小枭、鸬□和鸱鸺，
11.18	白鹭、塘鹅和白鹫，
11.19	鹳鹭类、戴胜和蝙蝠。
11.20	凡是有翅，四足爬行的昆虫，都是你们所当憎恶的；
11.21	但在有翅，四足爬行的昆虫中，凡有脚以外，还有大腿，在地上能跳的，你们可以吃。
11.22	你们可吃的是：飞蝗之类，蚱蜢之类，蟋蟀之类和螽斯之类；
11.23	其他凡有翅，四足爬行的昆虫，都是你们所当憎恶的。
11.24	遇到以下的光景也能使你们不洁：凡触摸这些昆虫尸体的人，直到晚上不洁；
11.25	凡移动它们尸体的人，应洗涤自己的衣服，直到晚上是不洁的。
11.26	凡有偶蹄而无趾的，或不反刍的走兽，为你们都是不洁的；谁触摸了就染上了不洁。
11.27	一切四足动物中，凡用脚掌行走的，为你们都是不洁的；谁触摸了它们的尸体，直到晚上是不洁的；
11.28	谁移动了它们的尸体，应洗涤自己的衣服，直到晚上是不洁的。这些动物为你们都是不洁的。
11.29	在地上爬行的动物中，为你们不洁的是：鼹鼠、老鼠和蜥蜴之类；
11.30	壁虎、避役、蛇舅母、乌龟和伶鼬。
11.31	这些爬行的动物，为你们都是不洁的；它们死后，谁处摸了，直到晚上是不洁的。
11.32	其中死了的，掉在什么物件上，不论是木器，或衣服，或皮具，或囊袋，凡能用的器具，即成为不洁，应放入水内，直到晚上是不洁的；，以后才算洁净；
11.33	一切陶器，如有它们中一个掉在里面，里面所有的一切即成为不洁，陶器应该打破；
11.34	如里面的水滴在任何食物上，食物即成为不洁的；在这种陶器内装了任何饮料，饮料也成为不洁的。
11.35	它们的尸体无论掉在什么东西上，那东西即成为不洁的：不拘炉或灶都应打碎，因为是不洁的，你们也应视为不洁。
11.36	水泉和蓄水池虽是洁净的，但是那接触尸体的，即成为不洁。
11.37	如果他们中一个尸体掉在要播种的种籽上，种籽仍是洁净的；
11.38	但若种籽已浸了水，而尸体掉在上面，这种籽对你们便成了不洁的。
11.39	若你们可吃的一只走兽死了，谁触摸了它的尸体，直到晚上是的不洁的；
11.40	谁吃了这尸体的肉，应洗涤自己的衣服，并且直到晚上是不洁的。 谁移动了这尸体，也应洗涤自己的衣服，而且直到晚上是不洁的。
11.41	凡地上的爬虫，都是当憎恶的，都不可吃。
11.42	不论是用腹部爬行的，或用四足爬行的，或多足的，凡是地上的爬虫，你们都不可吃，因为都是可憎恶的。
11.43	你们不要因任何爬虫而使你们成为可憎恶的；你们不要因它们而成为不洁的，或染上不洁，
11.44	因为我上主是你们的天主：你们该表现为圣洁的，你们应是圣的，因为我是圣的。你们不要因地上任何爬虫，而使自己成为不洁的，
11.45	因为是我上主领你们由埃及地上来，为作你们的天主：你们应是圣的，因为我是圣的。
11.46	以上是有关走兽飞禽，一切水中游行和地上一切爬行动物的法律，
11.47	以便分辨洁与不洁，可吃与不可吃的生物。」
	
12.0t	
	
12.1t	产妇取洁仪式
	
12.1	上主训示梅瑟说：
12.2	「你告诉以色列子民说：若一妇人分娩，生一男孩，七天之久，她是不洁的；她不洁有如经期不洁一样。
12.3	第八天，应给孩子割损。
12.4	此外，她还要守度三十三天的洁血期。在未满取洁的日期以前，不可接触任何圣物，不可走近圣所。
12.5	若生一女孩，两星期是不洁的，有如经期一样。此外，还要守度六十六天的洁血期。
12.6	一满了取洁的日期，不拘为儿子或女儿，她应在会幕门口交给司祭一只一岁的羔羊，做全燔祭；一只雏鸽或一只斑鸠，献作赎罪祭。
12.7	司祭将祭品奉献在上主面前，为她行赎罪礼，她才算由流血的状况中洁净了：以上是关于生男或生女的妇人的法律。
12.8	但若她的财力不够备办一只羔羊，可带两只斑鸠或两只雏鸽：一只献作全燔祭，一只献作赎罪祭。司祭为他行赎罪礼，她就洁净了。
	
13.0t	
	
13.1t	癞病：疮节
	
13.1	上主训示梅瑟和亚郎说：
13.2	「若人在肉皮上生了肿瘤或疮疖或斑痕，他肉皮上有了这种癞病的症象，就应把他带到亚郎司祭，或他作司祭的一个儿子前。
13.3	司祭应查看肉皮上的症象；若患处的毛变白，若患处似乎已深过肉皮，这便是癞病的症候。司祭一看出，就应声明他是不洁的。
13.4	但若他肉皮上的斑痕发白，而不见得深过肉皮，毛又没有变白，司祭应将患者隔离七天。
13.5	到第七天，司祭再查看他，如见患处颜色未变，皮上的患处没有蔓延，司祭应将他再隔离七天。
13.6	到第七天，司祭再查看他，如见患处颜色已淡，皮上的患处也没有蔓延，司祭应声明他是洁净的，这不过是一种疮疖；他洗过衣服就洁净了。
13.7	但在司祭查看，声明他洁净以后，如疮疖又在皮肤上蔓延开，应再去叫司祭查看。
13.8	司祭应查看他，若见他皮肤上的疮疖蔓延开了，应声明他是不洁的，已成为癞病。 
	
13.9t	慢性癞病
	
13.9	若人身上有了癞病的症象，应带他去见司祭；
13.10	司祭应查看他，若见皮肤上白肿，毛已变白，肿处出现赘疣，
13.11	这是他肉皮上的慢性癞病；司祭应声明他是不洁的，不必将他隔离，因为他已是不洁的。
13.12	但若癞疮在皮上蔓延，凡司祭能看见的地方，从头到脚，癞疮遮盖了患者全身皮肤，
13.13	司祭查看他，若见癞疮遮盖了他全身，就应声明患者是洁净的；因为全身变白，便是洁净的。
13.14	但他身上一出现赘疣，就成了不洁净的；
13.15	司祭一见这赘疣，就应声明他是不洁的；因为这赘疣是不洁的，分明是癞病。
13.16	但若赘疣再变白，他应再去见司祭；
13.17	司祭查看他，若见患处变白，司祭应声明患者是洁净的；他便是洁净的。 
	
13.18t	生疮
	
13.18	若人肉皮上生了疮，已医好了；
13.19	但在疮处又起了白肿，或白中带红的斑痕，就应去叫司祭查看。
13.20	司祭查看他，若见患处似乎已深过皮肤，且毛已变白，就应声明他是不洁的：这是由疮转成癞病的症象。
13.21	但若司祭查看，见上面没有白毛，也未深过皮肤，颜色已淡，司祭就应将他隔离七天。
13.22	若病在皮肤上蔓延开了，司祭就应声明他是不洁的：这是癞病的症象。
13.23	但是，如果斑痕留在原处，没有蔓延，这是疮痕；司祭应声明他是洁净的。 
	
13.24t	火伤
	
13.24	若人肉皮上生了火伤，伤处的赘疣生了白里带红，或纯白的斑痕，
13.25	司祭就应查看他：若见斑痕上的毛已变白，似乎深过皮肤，这是由火伤转成的癞病，司祭应声明他为不洁：这是癞病的症候。
13.26	但若司祭查看，见斑痕上没有白毛，并未深过皮肤，而且颜色已淡，司祭应将他隔离七天。
13.27	到第七天，司祭再查看他，若斑痕在皮肤上蔓延开了，司祭就应声明他是不洁的：这是癞病的症候。
13.28	但若斑痕留在原处，没有在皮肤上蔓延，颜色已淡，这只是火伤的肿胀，司祭应声明他是洁净的，因为这只是火伤疤痕。 
	
13.29t	癣疥
	
13.29	不拘男女，若在头上或嘴上有疮痕，
13.30	司祭应查看疮痕，若见患处似乎深过皮肤，而且长了黄色细毛，司祭应声明他是不洁的：这是癣疥，是头上或嘴上的癞病。
13.31	但若司祭查看癣疥患处不见得深过皮肤，上面也没有黑毛，司祭就应将这患癣疥的人隔离七天，
13.32	到第七天，司祭再查看患处，若见癣疥没有蔓延，上面也没有黑毛，且也不见得深过皮肤，
13.33	这人就应剃去须发，只不剃生癣疥处；司祭应将他再隔离七天。
13.34	到第七天，司祭再查看癣疥，如果癣疥在皮肤上没有蔓延，不见得深过皮肤，司祭就应声明他是洁净的；洗过衣服，就洁净了。
13.35	但若在他声明洁净以后，癣疥在皮肤上又蔓延开了，
13.36	司祭应再查看，若见癣疥在皮肤上蔓延了，司祭不必再检查黄毛，患者已是不洁净的。
13.37	但若癣疥的颜色未变，上面又生有黑毛，癣疥已治好，患者已洁净，司祭应证明患者是洁净的。
13.38	不拘男女，若肉皮上起了一些斑痕，即白色斑痕，
13.39	司祭就应查看；如见肉皮上的斑痕呈灰白色，那是皮肤上起的皮疹，患者是洁净的。 
	
13.40t	秃疮
	
13.40	若人头发掉了，成了秃头，他是洁净的；
13.41	若人头顶上的头发掉了，成了前脑秃的人，他是洁净的。
13.42	但是，如果在脑后或脑前的秃处，起了白中带红的疮痕，这是他脑前或脑后的秃处起的癞病。
13.43	司祭应查看，若见他脑前或脑后秃处肿起的地方白中带红，看来彷佛肉皮上生的癞病，
13.44	这人即是癞病人，已是不洁，司祭应声明他是不洁的，因为他头上有了癞病的症象。 
	
13.45t	对癞病人的管制
	
13.45	凡身患癞病的人，应穿撕裂的衣服，披头散发，将口唇遮住，且喊说：「不洁! 不洁! 」
13.46	在他患癞病的时日内，常是不洁的，他既是不洁的，就应独居；他的住处应在营外。 
	
13.47t	衣服的癞病
	
13.47	若衣服上有了癞病的迹象，不拘是毛衣或麻衣，
13.48	或用麻及毛纺织或编织的布，或皮革，或任何皮制的物品上，有了癞病迹象；
13.49	若衣服或皮革，或纺织或编织的布，或任何皮制的器具上，有了发绿或发红的斑痕：这就是癞病的迹象，应交由司祭查看。
13.50	司祭查看斑痕以后，应将带有斑痕的物品收藏七天。
13.51	到第七天，司祭再查看那斑痕，如果斑痕在衣服上，或纺织或编织的布上，或皮革上，或任何皮制的物品上蔓延开了，这就是恶性癞病的迹象，物品即是不洁的。
13.52	凡带有这斑痕的衣服，用毛或麻纺织或编织的布，或任何皮制的器具，都应焚烧；因为这是恶性的癞病，应用火烧毁。
13.53	但若司祭查看时，见斑痕在衣服上，或纺织或编织的布上，或任何皮制的器具上，没有蔓延，
13.54	司祭当吩咐人将带有斑痕的物品洗涤，再收藏七天。
13.55	司祭查看洗过的物品以后，若见斑痕没有变色，也没有蔓延，物品即是不洁的，应用火烧掉，因为里外都腐蚀了。
13.56	但若司祭查看时，见斑痕在洗涤后已变暗淡，应从衣服，或皮革，或纺织或编织的布上，将那块撕去；
13.57	以后，如果在衣服上，或纺织或编织的布上，或任何皮制的器具上，在出现斑痕，即是旧病复发：带有斑痕的物品，就应用火烧了。
13.58	如果衣服，或纺织或编织的布，或任何皮制的器具，一经洗涤，上面的斑痕就不见了；再洗一次就洁净了。
13.59	这是关于毛衣或麻衣，或纺织的布，或编织的布，或任何皮制的器具的癞病迹象，声明洁净与不洁的法律。」
	
14.0t	
	
14.1t	癞病取洁仪式
	
14.1	上主训示梅瑟说：「
14.2	关于癞病人取洁之日应守的法律如下：应引他去见司祭，
14.3	司祭应到营外查看，如见癞病人的病症痊愈了，
14.4	就吩咐人为那取洁者，拿两只洁净的活鸟、香柏木、朱红线和牛膝草来；
14.5	然后吩咐人在盛著活水的陶器上，宰杀一只鸟。
14.6	司祭拿另外一只活鸟同香柏木、朱红线和牛膝草，连活鸟一起浸在杀于活水上的鸟血内，
14.7	向那取洁的癞病人洒血七次，使他洁净；然后放那只活鸟飞向田野，
14.8	那取洁的人洗涤自己的衣服，剃去身上所有的毛，用水洗澡，这样就算洁净了。此后，他方可入营内，但仍应在自己的帐幕外居住七天。
14.9	到了第七天，他应剃去身上所有的毛：头发、胡须和眉毛；身上所有的毛都应剃去，然后洗涤衣服，用水洗身，就算完全洁净了。
14.10	到第八天，他应带两只无瑕的公羔羊，一只一岁的无瑕母羔羊，作素祭用的十分之三」厄法「油调的细面」，和一「罗格」油。
14.11	取洁礼的司祭，应叫取洁的人拿著这一切，站在会幕门口，上主面前。
14.12	司祭取一只公羔羊同一「罗格」油，一起献作赎过祭，在上主前行奉献的摇礼。
14.13	然后在宰杀赎罪祭和全燔祭牺牲的圣地方，宰杀这只公羔羊，因为赎过祭牺牲，如赎罪祭牺牲一样，应归司祭：这是至圣之物。
14.14	司祭取些赎过祭牺牲的血，抹在取洁者的右耳垂，右手拇指和右脚大趾上；
14.15	再由那一「罗格」油中，取些油倒在自己的左手掌中，
14.16	将自己的一个右手指，浸在左手掌的油内，用手指在上主前洒油七次；
14.17	然后将掌中剩下的油，抹在取洁者的右耳垂，右手拇指和右脚大趾上，即在抹赎过祭牺牲血的地方。
14.18	以后将掌中剩下的油，都抹在取洁者的头上：如此司祭在上主面前为那人行了赎罪礼。
14.19	此后，司祭应奉献赎罪祭，为取洁者赎罪除去不洁；最后应宰杀全燔祭牺牲，
14.20	在祭坛上奉献全燔祭和素祭。司祭这样为他行了赎罪礼，他就洁净了。
14.21	但是，如果他贫穷，手中财力不足，可拿一只公羔羊作赎过祭，行摇礼为他赎罪；十分之一「厄法」油调的细面作素祭，一「罗格」油，
14.22	和财力所能备办的两只斑鸠或两之雏鸽：一只做赎罪祭，一只做全燔祭。
14.23	他应在第八天，将这一切送交司祭，再会幕门口于上主面前为自己取洁。
14.24	司祭便取那只作赎过祭的公羔羊和一「罗格」油，在上主面前行奉献的摇礼；
14.25	然后宰杀作赎过祭的公羔羊，取些赎过祭牺牲的血，抹在取洁者的右耳垂，右手拇指和右脚大趾上；
14.26	然后倒些油在自己的左手掌中，
14.27	用一只右手指蘸些左手掌中的油，在上主面前洒七次；
14.28	再将掌中的油抹在取洁者的右耳垂，右手拇指和右脚大趾上，即在抹赎过祭牺牲血的地方；
14.29	掌中还有剩下的油，都抹在取洁者的头上，为他在上主面前行赎罪礼。
14.30	取洁的人按自己的财力，所能备办的两只斑鸠或两只雏鸽，
14.31	按他的财力所能献的，其中一只献作赎罪祭，一只献作全燔祭，同素祭一起献上。司祭应这样为取洁的人在上主面前行赎罪礼。
14.32	这是关于身患癞病而财力不足备办取洁祭品者的法律。 
	
14.33t	屋癞
	
14.33	上主训示梅瑟和亚郎说：「
14.34	当你们进入了我赐给你们作产业的客纳罕地，在你们占有的地方，我令房屋发生癞病迹象时，
14.35	屋主应去告诉司祭说：我看在我房屋内出现了一些相似癞病的斑痕。
14.36	司祭进去查看斑痕以前，应吩咐人先搬空房屋，免得屋内的一切染上不洁；然后司祭进去查看房屋。
14.37	司祭查看斑痕时，如见屋内墙上的斑痕带些发绿或发红的小孔，似乎深过墙皮，
14.38	就应由屋内出来，到房门口，将房屋封锁七天。
14.39	到第七天，司祭再来查看，如见斑痕在屋内墙上蔓延开了，
14.40	就应命人拔出有斑痕的石头，丢在城外不洁的地方；
14.41	且叫人刮净屋内四周，将刮下的灰土，倒在城外不洁的地方，
14.42	再拿别的石头嵌进拔出的石头处，拿别的灰土，粉刷房屋。
14.43	在拔出石头，刮扫，粉刷房屋以后，如斑痕又在屋内出现，
14.44	司祭还应来查看，如见斑痕在屋内蔓延开了，这就是房屋上的腐蚀性癞病；这房屋即是不洁的，
14.45	应拆毁这座房屋；房屋的石头、木材和所有灰土，都应运到城外不洁的地方。
14.46	整个封锁日期内，如有人进屋内，直到晚上成为不洁的；
14.47	如有人在这屋内睡觉，应洗涤自己的衣服；如有人在这屋内吃饭，应洗涤自己的衣服。
14.48	但是，如果司祭来查看，见房屋刷新以后，斑痕没有在屋内蔓延，司祭就应声明房屋是洁净的，因为患处已经好了。
14.49	司祭应拿两只飞鸟、香柏木、朱红线和牛膝草来为房屋取洁；
14.50	一只飞鸟，应在盛有活水的陶器上宰杀，
14.51	然后拿香柏木、牛膝草、朱红线和那只活鸟，一同浸在那已杀的鸟血及活水内，向房屋连洒七次。
14.52	用鸟血、活鸟、香柏木、牛膝草、朱红线为房屋取洁以后，
14.53	司祭应放那只活鸟飞向城外的田野：他这样为房屋行取洁礼，房屋就洁净了。
14.54	这是关于各种癞病症象、癣疥、
14.55	衣癞、`屋癞、
14.56	肿瘤、疮疖和斑痕，
14.57	使人知道几时不洁，几时洁净的法律。这是关于癞病所定的法律。」
	
15.0t	
	
15.1t	男人的不洁
	
15.1	上主训示梅瑟和亚郎说：」
15.2	你们告诉以色列子民说：几时一个男人身患淋病，淋病使他不洁。
15.3	淋病使人不洁的光景是这样：不论他身体常流淋液，或有时止住，他总是不洁的。
15.4	凡有淋病的人睡过的床，即染上不洁；凡他坐过之物，即染上不洁。
15.5	凡人摸了他的床，这人应洗涤自己的衣服，用水洗澡，直到晚上是不洁的；
15.6	谁坐了淋病人坐过之物，该洗自己的衣服，用水洗澡，直到晚上是不洁的；
15.7	谁摸了淋病人的身体，应洗涤自己的衣服，用水洗澡，直到晚上是不洁的。
15.8	若有淋病的人，在洁净人身上吐了唾沫，这人就应洗涤自己的衣服，用水洗澡，直到晚上是不洁的。
15.9	凡有淋病的人坐过的鞍子，即染上不洁。
15.10	谁摸了他身下的任何东西，直到晚上是不洁的；谁携带了这些东西，该洗涤自己的衣服，用水洗澡，直到晚上是不洁的。
15.11	若有淋病的人，没有用水洗手接触了人，这人就应洗涤自己的衣服，用水洗澡，直到晚上是不洁的。
15.12	凡有淋病的人摸过的陶器，都应打破，任何木具，都应用水洗净。
15.13	几时有淋病的人治好不流了，他应计算七天为取洁期，洗涤自己的衣服，用活水洗身，然后就洁净了。
15.14	到第八天，应拿两只斑鸠或两只雏鸽，来到上主面前，再会幕门口，交给司祭。
15.15	司祭应奉献一只作赎罪祭，另一只作全燔祭。这样司祭就替他在上主面前，为他的淋病行了赎罪礼。
15.16	人若遗精，应用水洗净全身，直到晚上是不洁的。
15.17	凡沾有精液的衣服或皮物，应用水洗净，直到晚上是不洁的。
15.18	男女同房媾精，两人都应用水洗澡，直到晚上是不洁的。 
	
15.19t	女人的不洁
	
15.19	女人几时行经，有血由她体内流出，她的不洁期应为七天；谁接触了她，直到晚上不洁。
15.20	她不洁期内，凡她卧过之处，都染上不洁，凡她坐过之处，也染上不洁；
15.21	凡摸过她床榻的，应洗涤自己的衣服，用水洗澡，直到晚上是不洁的；
15.22	凡摸过她坐过之物的，应洗涤自己的衣服，用水洗澡，直到晚上是不洁的；
15.23	谁若摸了她床上，或她坐过之物上的东西，直到晚上是不洁的；
15.24	若男人与她同房，也沾染上她的不洁，七天之久，是不洁的；凡他卧过的床，也染上不洁。
15.25	女人若在经期外，多日流血；或者，她流血超过了她月经的日期，在流不洁之物的整个时期内，她如在经期内一样不洁。
15.26	凡她流血期内所卧过的床，就如在经期卧过的床一样染上不洁；凡她坐过之物，就如她经期内所坐过之物一样，染上不洁。
15.27	谁若摸了，就染上不洁，应洗涤自己的衣服，用水洗澡，直到晚上是不洁的。
15.28	几时她治好不流了，她应计算七天，为取洁期。
15.29	到第八天，应拿两只斑鸠或两只雏鸽，来到会幕门口交给司祭；
15.30	司祭应奉献一只作赎罪祭，另一只作全燔祭：这样司祭就替她在上主面前，为她所流的不洁之物行了赎罪礼。
15.31	你们应叫以色列子民戒避他们的不洁，免得他们因不洁，玷污了我在他们中的住所，而遭受死亡。
15.32	这是有关因淋病，或遗精沾染不洁的人，
15.33	和行经的妇女，即有关任何遗漏的男女，以及与不洁的女人同房的男人的法律。」
	
16.0t	
	
16.1t	赎罪节的礼仪
	
16.1	亚郎的两个儿子，因擅自走近上主面前而遭受死亡；他们死后，上主训示梅瑟，
16.2	对他这样说：「你告诉你的哥哥亚郎，不可随时进入帐幔后的圣所，到约柜上的赎罪盖前去，免得在我乘云显现在赎罪盖上时，遭受死亡。
16.3	亚郎应这样进入圣所：带上一只公牛犊作赎罪祭，一只公绵羊作全燔祭；
16.4	应穿上亚麻圣长衣，身著亚麻短裤，束上一亚麻腰带，戴上亚麻头巾；这些都是圣衣，他用水洗身后才能穿上。
16.5	此外，还应由以色列子民会众，取两只公山羊作赎罪祭，一只公绵羊作全燔祭。
16.6	亚郎先要奉献为自己作赎罪祭的公牛犊，替自己和家人赎罪；
16.7	以后牵那两只公山羊来，放在会幕门口上主面前，
16.8	为这两只公羊抽签：一签为上主，一签为「阿匝则耳」。
16.9	亚郎将那为上主抽到的公山羊，献作赎罪祭；
16.10	至于那为「阿匝则耳」抽到的公山羊，应让它活著，立在上主面前，用它行赎罪礼，放入旷野，归于「阿匝则耳。」
16.11	于是亚郎先奉献为自己作赎罪祭的公牛犊，替自己和家人赎罪，宰杀为自己作赎罪祭的公牛犊；
16.12	随后由上主面前的祭坛上，拿下盛满红炭的火盘，再拿一满捧细乳香，带进帐幔内，
16.13	在上主面前将乳香放在火上，使乳香的烟遮住约柜上的赎罪盖，免得遭受死亡。
16.14	以后，取些牛血，用手指洒在赎罪盖东面；又用手指在赎罪盖前，洒血七次。
16.15	此后，宰杀了为人民作赎罪祭的公山羊，将羊血带进帐幔内，照洒牛血的方式，将羊血洒在赎罪盖上和赎罪盖的前面，
16.16	为以色列子民得不洁，和他们犯的种种罪过，给圣所取洁；给存留在他们中，为他们不洁玷污的会幕，也举行同样的礼仪。
16.17	当他走近圣所行赎罪礼时，直到他出来，任何人不许在会幕内。几时他为自己，为家人，为以色列全会众赎罪完毕，
16.18	就出来，回到上主面前的祭坛前，为祭坛行取洁礼；取些牛血和羊血，抹在祭坛四周的角上；
16.19	再用手指向祭坛洒血七次：这样使祭坛免于以色列子民的不洁，而获洁净和祝圣。
16.20	为圣所、会幕及祭坛行完取洁礼后，便将那只活公山羊牵来，
16.21	亚郎将双手按在它的头上，明认以色列子民的一切罪恶，和所犯的种种过犯和罪过，全放在这公山羊头上；然后命派定的人将它送到旷野。
16.22	这羊负著他们种种罪恶到了荒野地方，那人应在旷野里释放这只羊。
16.23	然后亚郎进入会幕，脱下他在圣所时穿的亚麻衣服，放在那里，
16.24	在圣地方用水洗身，在穿上自己的衣服，出来奉献自己的全燔祭和人民的全燔祭，为自己和人民行赎罪礼。
16.25	赎罪祭牺牲的脂肪，应放在祭坛上焚烧。
16.26	那送公山羊给「阿匝则耳」的，应先洗自己的衣服，用水洗身，然后方可进入营幕。
16.27	作赎罪祭的公牛犊和做赎罪祭的公山羊，它们的血既带到圣所内赎罪，皮、肉及粪，都应运到营外，用火烧了。
16.28	那烧的人，应先洗自己的衣服，用水洗身，然后方可进入营幕。
16.29	这为你们是一条永久的法令：七月初十，你们应先克己苦身，不论是本地人，或侨居在你们中间的外方人，任何劳工都不许做，
16.30	因为这一天，你们应为自己赎罪，使自己洁净，应除去自己的种种过犯，在上主面前再成为洁净的。
16.31	这是你们全休息日的安息日，应克己苦身：这是永久的法令。
16.32	那位受傅，被委任继承他父亲执行司祭职务的大司祭，应举行赎罪礼。他应穿上亚麻圣衣，
16.33	为至圣所，为会幕和祭坛行取洁礼，为众司祭和全会众人民行赎罪礼。
16.34	每年一次，应为以色列子民，为他们种种罪过行赎罪礼：这为你们是永久的法令。」人就依照上主吩咐梅瑟的做了。
	
17.-1t	圣洁的法律(17-26)
	
17.0t	
	
17.1t	宰牲为祭的条例
	
17.1	上主训示梅瑟说：」
17.2	你告诉亚郎和他的儿子以及全体以色列子民说：上主这样吩咐说：
17.3	以色列家中任何人，在营内或在营外，宰杀牛或绵羊或山羊，
17.4	而不牵到会幕门口，在上主住所前，奉献给上主作祭品，这人就应负流血的罪债；他既使血流出，就应由民间铲除。
17.5	为此，以色列子民应将他们平素在野外宰杀的牺牲，牵到上主前，在会幕门口交与司祭宰杀这些牺牲，献给上主作和平祭。
17.6	司祭将牲血洒在会幕门口上主的祭坛上，焚烧脂肪，化为中悦上主的馨香。
17.7	从此以后，他们不应再宰杀牺牲，献给他们非法敬拜的一些山羊神：这为他们世世代代是一项永久的法令。
17.8	此外，你们应吩咐他们说：以色列家及侨居在他们中间的外方人，谁若愿意献全燔祭或祭献，
17.9	而不牵到会幕门口，奉献给上主，这人就应由民间铲除。
17.10	以色列家及侨居在他们中间的外方人，有人吃了什么血，我必怒容而视，与这吃血的人作对，由民间将他铲除。
17.11	因为肉躯的生命是在血内，我为你们指定了血，在祭坛上为你们的生命赎罪，因为血具有生命，故能赎罪。
17.12	为此，我吩咐以色列子民说：你们中任何人都不可吃血；侨居在你们中间的外方人，也不可吃血。
17.13	以色列子民和侨居在他们中间的外方人，谁若猎取了可食的野兽或飞禽，该放尽它的血，用泥土盖上。
17.14	因为一切肉躯的生命都系于血，为此，我吩咐以色列子民说：任何肉上的血，你们都不可吃，因为一切肉躯的生命，都系于血，谁吃了，应被铲除。
17.15	不论是本地人或外方人，吃了自死或被猛兽撕裂的禽兽，应洗自己的衣服，用水洗澡，直到晚上是不洁的；以后他才洁净。
17.16	但是，如果他不洗衣，也不洗身，应负罪债。」
	
18.0t	
	
18.1t	道德生活的规劝
	
18.1	上主训示梅瑟说：「
18.2	你告诉以色列子民说：我，上主是你们的天主。
18.3	你们不要仿效你们住过的埃及地的习惯，也不要仿效我正要领你们去的客纳罕地的习惯，不要随从他们的风俗；
18.4	应执行我的规定，遵守我的法令，依照遵行：我，上主是你们的天主。
18.5	你们应遵守我的法令和规定；遵守的人必因此获得生命：我是上主。 
	
18.6t	婚姻的阻碍
	
18.6	你们中任何人不可亲近血亲，去揭露她的下体：我是上主。
18.7	你不可揭露你父亲的下体和你母亲的下体：她是你的母亲，不可揭露她的下体。
18.8	你父亲妻子的下体，你不可揭露，那是你父亲的下体。
18.9	你姊妹的下体，不论她是你父亲的女儿，或你母亲的女儿，或在家生的，或在外生的，你不可揭露她们的下体。
18.10	你儿子的女儿，或你女儿的女儿的下体，你不可揭露，因为她们的下体是你们的下体。
18.11	你不可揭露你父亲妻子的女儿的下体，因为她是你父亲所生，是你的姊妹，你不可揭露她的下体。
18.12	你父亲姊妹的下体，你不可揭露，因为她是你父亲的骨肉。
18.13	你母亲姊妹的下体，你不可揭露，因为她是你母亲的骨肉。
18.14	你父亲兄弟的下体，你不可揭露，也不可亲近他的妻子；她是你的叔伯母。
18.15	你儿媳的下体，你不可揭露。她是你儿子的妻子，你不可揭露她的下体。
18.16	你兄弟妻子的下体，你不可揭露；那是你兄弟的下体。
18.17	你不可揭露了一女人的下体又揭露她女儿的；不可娶她儿子的女儿，或她女儿的女儿，揭露她的下体，她们都是她的血亲：这是丑行。
18.18	你不可娶一女人又娶他的姊妹，做她的情敌，在她活著的时候，揭露她姊妹的下体。 
	
18.19t	违犯贞洁的恶行
	
18.19	女人在月经不洁期中，你不可接近，揭露她的下体。
18.20	你近人的妻子你不可与她同寝，为她所沾污。
18.21	你不可使你任何一个子女经火祭献给摩肋客，亦不可亵渎你天主的名：我是上主。
18.22	你不可与男人同寝，如同与女人同寝一样：这是丑恶行为。
18.23	你不可与任何兽类同寝，为它所淫污，女人亦不可委身与走兽，同它交合：这是逆性邪恶。
18.24	你们不可以任何这样的事玷污自己，因为这些民族以这一切事玷污了自己，我正要由你们面前将他们驱逐；
18.25	甚至连这地也玷污了，所以我必追究这地上的罪恶，使这地吐弃地上的居民。
18.26	至于你们，应遵守我的法令和规定；不论是本地人，或是寄居在你们中间的外方人，这样丑恶的事，一件也不许做，
18.27	因为在你们以前住在这地上的人，做过这一切丑恶的事，玷污了这地方。
18.28	希望这地不因你们而再受到玷污，将你们吐弃，如同吐弃了你们之前的民族。
18.29	因为，凡做任何一件这样丑恶的事的，这样的人，都应由民间铲除。
18.30	所以你们应遵守我的禁令，不可仿效你们以前的人所有的丑恶风俗，免得因此受到玷污：我，上主是你们的天主。
	
19.0t	
	
19.1t	宗教与道德的各种规条
	
19.1	上主训示梅瑟说：「
19.2	你告诉以色列子民全会众说：你们应该是圣的，因为我，上主，你们的天主是圣的。
19.3	你们每人应孝敬母亲和父亲，应遵守我的安息日。我，上主是你们的天主。
19.4	你们不要归依偶像，也不要为自己铸造神像：我，上主是你们的天主。
19.5	若你们给上主祭献和平祭，要奉献可蒙受悦纳的。
19.6	祭肉，应在你们祭献的当天或第二天吃尽；有剩下的，到第三天应用火烧了。
19.7	若还有人在第三天吃，这肉已不洁，必不蒙悦纳。
19.8	那吃的人，必负罪债，因为他亵渎了上主的圣物；这人应由民间铲除。
19.9	当你们收割田地的庄稼时，你不可割到地边；收获后剩下的穗子，不可再拾。
19.10	葡萄摘后不应去搜；葡萄园内掉下的，不应拾取，应留给穷人和外方人：我，上主是你们的天主。
19.11	你们不要偷窃，不要诈欺，不要彼此哄骗；
