1.-1t	前编 太古史(1-11)
13.9	所有的地方不是都在你面前吗？请你与我分开。你若往左，我就往右；你若往右，我就往左。」
13.10	罗特举目看见约但河整个平原，直到左哈尔一带全有水灌溉，－－这是在上主消灭索多玛和哈摩辣以前的事，－－有如上主的乐园，有如埃及地。
13.11	罗特选了约但河的整个平原，遂向东方迁移；这样，他们就彼此分开了：
13.12	亚巴郎住在客纳罕地；罗特住在平原的城市中，渐渐移动帐幕，直到索多玛。
13.13	索多玛人在上主面前罪大恶极。
13.14	罗特与亚巴郎分离以后，上主对亚巴郎说：「请你举起眼来，由你所在的地方，向东西南北观看；
13.15	凡你看见的地方，我都要永远赐给你和你的后裔。
13.16	我要使你的后裔有如地上的灰尘；如果人能数清地上的灰尘，也能数清你的后裔。
13.17	你起来，纵横走遍这地，因为我要将这地赐给你。」
13.18	于是亚巴郎移动了帐幕，来到赫贝龙的玛默勒橡树区居住，在那里给上主筑了一座祭坛。
	
14.0t	
	
14.1t	亚巴郎突袭获胜
	
14.1	那时史纳尔王阿默辣斐耳，厄拉撒尔王阿黎约客，厄兰王革多尔老默尔，哥因王提达耳，
14.2	兴兵攻击索多玛王贝辣，哈摩辣王彼尔沙，阿德玛王史纳布，责波殷王舍默贝尔及贝拉即左哈尔王。
14.3	那些王子会合于息丁山谷，即今日的盐海。
14.4	他们十二年之久隶属于革多尔老默尔，在十三年上就背叛了。
14.5	在十四年上，革多尔老默尔率领与他联盟的君王前来，在阿市塔特卡尔那殷击败了勒法因，在哈木击败了组斤，在克黎雅塔殷平原击败了厄明，
14.6	在曷黎人的色依尔山击败了曷黎人，一直杀到靠近旷野的厄耳帕兰；
14.7	然后回军转到恩米市帕特，即卡德士，征服了阿玛肋克人的全部领土，也征服了住在哈匝宗塔玛尔的阿摩黎人。
14.8	索多玛王哈摩辣王，阿德玛王，责波殷王和贝拉即左哈尔王于是出来，在息丁山谷列阵，
14.9	与厄兰王革多尔老默尔，哥因王提达耳，史纳尔王阿漠辣斐耳和厄拉撒尔王阿黎约客交战：四个王子敌对五个王子。
14.10	息丁山谷遍地是沥青坑；索多玛王和哈摩辣王逃跑时都跌在坑里；其余的人都逃到山里去了。
14.11	那四个王子劫走了索多玛和哈摩辣所有的财物和一切食粮，
14.12	连亚巴郎兄弟的儿子罗特和他的财物也带走了，因为那时他正住在索多玛。
14.13	有个逃出的人跑来，将这事告诉了希伯来人亚巴郎，他那时住在阿摩黎人玛默勒的橡树区；这阿摩黎人原是亚巴郎的盟友厄市苛耳和阿乃尔的兄弟。
14.14	亚巴郎一听说他的亲人被人掳去，遂率领家生的步兵三百一十八人，直追至丹。
14.15	夜间又和自己的仆人分队袭击，将他们击败，直追至大马士革以北的曷巴，
14.16	夺回了所有的财物，连他的亲属罗特和他的财物，以及妇女和人民都夺回来了。 
	
14.17t	默基瑟德祝福亚巴郎
	
14.17	亚巴郎击败革多尔老默尔和与他联盟的王子回来时，索多玛王出来，到沙委山谷，即「君王山谷」迎接他。
14.18	撒冷王默基瑟德也带了饼酒来，他是至高者天主的司祭，
14.19	祝福他说：「愿亚巴郎蒙受天地的主宰，至高者天主的祝福!
14.20	愿将你的敌人交于你手中的至高者的天主受赞美! 」亚巴郎遂将所得的，拿出十分之一，给了默基瑟德。
14.21	索多玛王对亚巴郎说：「请你将人交给我，财物你都拿去罢! 」
14.22	亚巴郎却对索多玛王说：「我向上主、至高者天主、天地的主宰举手起誓：
14.23	凡属于你的，连一根线，一根鞋带，我也不拿，免得你说：我使亚巴郎发了财。
14.24	除仆从吃用了的以外，我什么也不要；至于与我同行的人阿乃尔、厄市苛耳和玛默勒所应得的一分，应让他们拿去。」
	
15.0t	
	
15.1t	上主与亚巴郎立约
	
15.1	这些事以后，有上主的话在神视中对亚巴郎说：「亚巴郎，你不要怕，我是你的盾牌；你得的报酬必很丰厚! 」
15.2	亚巴郎说：「我主上主! 你能给我什么？我一直没有儿子；继承我家业的是大马士革人厄里则尔。」
15.3	亚巴郎又说：「你既没有赐给我后裔，那么只有一个家仆来作我的承继人。」
15.4	有上主的话答覆他说：「这人决不会是你的承继人，而是你亲生的要做你的承继人。」
15.5	上主遂领他到外面说：「请你仰观苍天，数点星辰，你能够数清吗？」继而对他说：「你的后裔也将这样。」
15.6	亚巴郎相信了上主，上主就以此算为他的正义。
15.7	上主又对他说：「我是上主，我从加色丁人的乌尔领你出来，是为将这地赐给你作为产业。」
15.8	亚巴郎说：「我主上主!我如何知道我要占有此地为产业？」
15.9	上主对他说：「你给我拿来一只三岁的母牛，一只三岁的母山羊，一只三岁的公绵羊，一只斑鸠和一只雏鸽。」
15.10	亚巴郎便把这一切拿了来，每样从中剖开，将一半与另一半相对排列，只有飞鸟没有剖开。
15.11	有鸷鸟落在兽尸上，亚巴郎就把它们赶走。
15.12	太阳快要西落时，亚巴郎昏沉地睡去，忽觉阴森万分，遂害怕起来。
15.13	上主对亚巴郎说：「你当知道，你的后裔必要寄居在异邦，受人奴役虐待四百年之久。
15.14	但是，我要亲自惩罚他们所要服事的民族；如此你的后裔必要带著丰富的财物由那里出来。
15.15	至于你，你要享受高寿，以后平安回到你列祖那里，被人埋葬。
15.16	到了第四代，他们必要回到这里，因为阿摩黎人的罪恶至今尚未满贯。」
15.17	当日落天黑的时候，看，有冒烟的火炉和燃著的火炬，由那些肉块间经过。
15.18	在这一天，上主与亚巴郎立约说：「我要赐给你后裔的这土地，是从埃及河直到幼发拉的河，
15.19	就是刻尼人、刻纳次人、卡德摩尼人、
15.20	赫特人、培黎齐人、勒法因人、
15.21	阿摩黎人、客纳罕人、基尔加士人和耶步斯人的土地。」
	
16.0t	
	
16.1t	依市玛耳诞生
	
16.1	亚巴郎的妻子撒辣依，没有给他生孩子，她有个埃及婢女，名叫哈加尔。
16.2	撒辣依就对亚巴郎说：「请看，上主既使我不能生育，你可去亲近我的婢女，或许我能由她得到孩子。」亚巴郎就听了撒辣依的话。
16.3	亚巴郎住在客纳罕地十年后，亚巴郎的妻子撒辣依将自己的埃及婢女哈加尔，给了丈夫亚巴郎做妾。
16.4	亚巴郎自从同哈加尔亲近，哈加尔就怀了孕；她见自己怀了孕；就看不起自己的主母。
16.5	撒辣依对亚巴郎说：「我受羞辱是你的过错。我将我的婢女放在你怀里，她一见自己怀了孕，便看不起我。愿上主在我与你之间来判断! 」
16.6	亚巴郎对撒辣依说：「你的婢女是在你手中；你看怎样好，就怎样待她罢! 」于是撒辣依就虐待她，她便由撒辣依面前逃跑了。
16.7	上主的使者在旷野的水泉旁，即在往叔尔道上的水泉旁，遇见了她，
16.8	对她说：「撒辣依的婢女哈加尔! 你从那里来，要往那里去？」她答说：「我由我主母撒辣依那里逃出来的。」
16.9	上主的使者对她说：「你要回到你主母那里，屈服在她手下。」
16.10	上主的使者又对她说：「我要使你的后裔繁衍，多得不可胜数。」
16.11	上主的使者再对她说：「看，你已怀孕，要生个儿子；要给他起名叫依市玛耳，因为上主俯听了你的苦诉。
16.12	他将来为人，像头野驴；他要反对众人，众人也要反对他；他要冲著自己的众兄弟支搭帐幕。」
16.13	哈加尔遂给那对她说话的上主起名叫「你是看顾人的天主，」因为她说：「我不是也看见了那看顾人的天主吗？」
16.14	为此她给那井起名叫拉海洛依井。这井是在卡德士与贝勒得之间。
16.15	哈加尔给亚巴郎生了一个儿子，亚巴郎给哈加尔所生的儿子，起名叫依市玛耳。
16.16	哈加尔给亚巴郎生依市玛耳时，亚巴郎已八十六岁。
	
17.0t	
	
17.1t	立割损礼
	
17.1	亚巴郎九十九岁时，上主显现给他，对他说：「我是全能的天主，你当在我面前行走，作个成全的人。
17.2	我要与你立约，使你极其繁盛。」
17.3	亚巴郎遂俯伏在地；天主又对他说：
17.4	「看，是我与你立约：你要成为万民之父；
17.5	以后，你不再叫做亚巴郎，要叫做亚巴辣罕，因为我已立定你为万民之父，
17.6	使你极其繁衍，成为一大民族，君王要由你而出。
17.7	我要在我与你和你历代后裔之间，订立我的约，当作永久的约，就是我要做你和你后裔的天主。
17.8	我必将你现今侨居之地，即客纳罕全地，赐给你和你的后裔做永久的产业；我要作他们的天主。」
17.9	天主又对亚巴郎说：「你和你的后裔，世世代代应遵守我的约。
17.10	这就是你们应遵守的，在我与你们以及你的后裔之间所立的约：你们中所有的男子都应受割损。
17.11	你们都应割去肉体上的包皮，作为我与你们之间的盟约的标记。
17.12	你们中世世代代所有的男子，在生后八日都应受割损；连家中生的，或是用钱买来而不属你种族的外方人，都应受割损。
17.13	凡在你家中生的，和你用钱买来的奴仆，都该受割损。这样，我的约刻在你们肉体上作为永久的约。
17.14	凡未割去包皮，未受割损的男子，应由民间铲除；因他违犯了我的约。」 
	
17.15t	应许生子
	
17.15	天主又对亚巴郎说：「你的妻子撒辣依，你不要再叫她撒辣依，而要叫她撒辣。
17.16	我必要祝福她，使她也给你生个儿子。我要祝福她，使她成为一大民族，人民的君王要由她而生。
17.17	亚巴郎遂俯伏在地笑起来，心想：「百岁的人还能生子吗？撒辣已九十岁，还能生子？」
17.18	亚巴郎对天主说：「只望依市玛耳在你面前生存就够了! 」
17.19	天主说：「你的妻子撒辣确要给你生个儿子，你要给他起名叫依撒格；我要与他和他的后裔，订立我的约当作永久的约。
17.20	至于依市玛耳，我也听从你；我要祝福他，使他繁衍，极其昌盛。他要生十二个族长，我要使他成为一大民族。
17.21	但是我的约，我要与明年此时撒辣给你生的依撒格订立。」
17.22	天主同亚巴郎说完话，就离开他上升去了。 
	
17.23t	亚巴郎全家男子受割损
	
17.23	当天，亚巴郎就照天主所吩咐的，召集他的儿子依市玛耳以及凡家中生的，和用钱买来的奴仆，即自己家中的一切男子，割去了他们肉体上的包皮。
17.24	亚巴郎受割损时，已九十九岁；
17.25	他的儿子，依市玛耳受割损时，是十三岁。
17.26	亚巴郎和他的儿子依市玛耳在同日上受了割损。
17.27	他家中所有的男人，不论是家中生的，或是由外方人那里用钱买来的奴仆，都与他一同受了割损。
	
18.0t	
	
18.1t	天主显现给亚巴郎
	
18.1	天正热的时候，亚巴郎坐在帐幕门口，上主在玛默勒橡树林那里，给他显现出来。
18.2	他举目一望，见有三人站在对面。他一见就由帐幕门口跑去迎接他们，俯伏在地，
18.3	说：「我主如果我蒙你垂爱，请不要由你仆人这里走过去，
18.4	我叫人拿点水来，洗洗你们的脚，然后在树下休息休息。
18.5	你们既然路过你仆人这里，等我拿点饼来，吃点点心，然后再走。」他们答说：「就照你所说的做罢! 」
18.6	亚巴郎赶快进入帐幕，到撒辣前说：「你快拿三斗细面，和一和，作些饼。」
18.7	遂又跑到牛群中，选了一头又嫩又肥的牛犊，交给仆人，要他赶快煮好。
18.8	亚巴郎遂拿了凝乳和牛奶，及预备好了的牛犊，摆在他们面前；他们吃的时候，自己在树下侍候。
18.9	他们对他说：「你的妻子撒辣在那里？」他答说：「在帐幕里。」
18.10	其中一位说：「明年此时我必回到你这里，那时，你的妻子撒辣要有一个儿子。」辣其时正在那人背后的帐幕门口窃听。
18.11	亚巴郎和撒辣都已年老，年纪很大，而且撒辣的月经早已停止。
18.12	撒辣遂心里窃笑说：「现在，我已衰老，同我年老的丈夫，还有这喜事吗？」
18.13	上主对亚巴郎说：「撒辣为什么笑？且说：像我这样老，真的还能生育？
18.14	为上主岂有难事？明年这时，我必要回到你这里，那时撒辣必有一个儿子。」
18.15	撒辣害怕了，否认说：「我没有笑。」但是那位说：「不，你实在笑了。」 
	
18.16t	亚巴郎求情
	
18.16	后来那三人由那里起身，望著索多玛前行；亚巴郎送他们，也一同前行。
18.17	上主说：「我要作的事，岂能瞒著亚巴郎？
18.18	因为他要成为一强大而又兴盛的民族，地上所有的民族，都要因他蒙受祝福；
18.19	何况我拣选了他，是要他训令自己的子孙和未来的家族，保持上主的正道，实行公义正道，好使上主能实现他对亚巴郎所许的事。」
18.20	上主于是说：「控告索多玛和哈摩辣的声音实在很大，他们的罪恶实在深重!
18.21	我要下去看看，愿意知道：是否他们所行的全如达到我前的呼声一样。」
18.22	三人中有二人转身向索多玛走去；亚巴郎却仍立在上主面前。
18.23	亚巴郎近前来说：「你真要将义人同恶人一起消灭吗？
18.24	假如城中有五十个义人，你还要消灭吗？不为其中的那五十个义人，赦免那地方吗？
18.25	你决不能如此行事，将义人同恶人一并诛灭；将义人如恶人一样看待，你决不能! 审判全地的主，岂能不行公义？」
18.26	上主答说：「假如我在索多玛城中找出了五十个义人，为了他们我要赦免整个地方。」
18.27	亚巴郎接著说：「
18.28	我虽只是尘埃灰土，胆敢再对我主说：假如五十个义人中少了五个怎样？你就为了少五个而毁灭全城吗？」他答说：「假如我在那里找到四十五个，我不毁灭。」
18.29	亚巴郎再向他进言说：「假如在那里找到四十个怎样？」他答说：「为了这四十个我也不做这事。」
18.30	亚巴郎说：「求我主且勿动怒，容我再进一言：假如在那里找到三十个怎样？」他答说：「假如在那里我找到三十个，我也不做这事。」
18.31	亚巴郎说：「我再放胆对我主进一言：假如在那里找到二十个怎样？」他答说：「为了这二十个，我也不毁灭。」
18.32	亚巴郎求：「求我主且勿动怒，容我最后一次进言：假如在那里找到十个怎样？」他答说：「为了这十个我也不毁灭。」
18.33	上主向亚巴郎说完话就走了；亚巴郎也回家去了。
	
19.0t	
	
19.1t	索多玛的邪行
	
19.1	黄昏时，那两位使者来到了索多玛，罗特正坐在索多玛城门口，他一看见他们，就起身前去迎接，俯伏在地，
19.2	说：「请二位先生下到你们仆人家中住一夜，洗洗你们的脚；明天早起，再赶你们的路。」他们答说：「不，我们愿在街上过宿。」
19.3	但因罗特极力邀请，他们才转身跟著进了他的家。罗特为他们备办了宴席，烤了无酵饼；他们就吃了。
19.4	他们尚未就寝，合城的人即索多玛男人，不论年轻年老的，没有例外，全都来围住他的家，
19.5	向罗特喊说：「今晚来到你这里的那两个男人在那里？给我们领出来，叫我们好认识他们。」
19.6	罗特就出来，随手关上门，到门口见他们，
19.7	说：「我的弟兄们! 请你们切不可作恶。
19.8	看，我有两个女儿，尚未认识过男人，容我领出她们来，任凭你们对待她们；只是这两个男人，既然来到舍下，请你们不要对他们行事。」
19.9	他们反说：「滚开! 」继而说：「来这里的这个外方人，居然做起判官来! 现在我们待你比他们还要厉害。」他们遂用力向罗特冲去，一齐向前要打破那门。
19.10	那两个人却伸出手来，将罗特拉进屋内，关上了门；
19.11	又使那些在屋门口的男人，无论大小都迷了眼，找不著门口。
19.12	那两个人对罗特说：「你这里还有什么人？带你的女婿、儿女，以及城中你所有的人，离开这地方，
19.13	因为我们要毁灭这地方；由于在上主面前控告他们的声音实在大，所以上主派遣我们来毁灭这地方。」
19.14	罗特遂出去，告诉要娶他女儿的两个女婿说：「起来，离开这地方，因为上主要毁灭这城! 」但他的两个女婿却以为他在开玩笑。 
	
19.15t	索多玛受罚
	
19.15	天一亮，两位使者就催促罗特说：「起来，快领你的妻子和你这里的两个女儿逃走，免得你因这城的罪恶同遭灭亡。」
19.16	罗特仍迟延不走；但因为上主怜恤他，那两个人就拉著他的手，他妻子的和他两个女儿的手领出城外。
19.17	二人领他们到城外，其中一个说：「快快逃命，不要往后看，也不要在平原任何地方站住；该逃往山中，免得同遭灭亡。」
19.18	罗特对他们说：「啊! 不，我主!
19.19	你仆人既蒙你垂爱，又蒙你大显仁慈，得以保全我的性命；但是现在我不能逃往山中，怕遇见灾祸死去。
19.20	看这座城很近，容我逃往那里，那只是一座小城；请容我逃往那里；那不只是一座小城吗？在那里我可保全性命。」
19.21	其中一个对他说：「好罢! 连在这事上我也顾全你的脸面，我必不消灭你提及的这座城。
19.22	你赶快逃往那里，因为你不到那里，我不能行事。」为此那城称为左哈尔。
19.23	罗特到了左哈尔时，太阳已升出地面；
19.24	上主遂使硫磺和火，从天上上主那里，降于索多玛和哈摩辣，
19.25	毁灭了这几座城市和整个平原，以及城中所有的居民和地上的草木。
19.26	罗特的妻子因回头观看，立即变为盐柱。
19.27	亚巴郎清晨起来，到了以前他立在上主面前的地方，
19.28	向索多玛和哈摩辣，以及整个平原一带眺望，看见那地烟火上腾，有如烧窑一般。
19.29	当天主毁灭平原诸城，消灭罗特所住的城市时，想起了亚巴郎，由灭亡中救了罗特。 
	
19.30t	摩阿布和阿孟二族的由来
	
19.30	罗特因为怕住在左哈尔，便与他的两个女儿离开左哈尔，上了山住在那里；他和两个女儿同住在一个山洞里。
19.31	长女对幼女说：「我们的父亲已经老了，地上又没有男人依照世界上的礼俗来与我们亲近。
19.32	来让我们用酒将父亲灌醉，与他同睡：这样我们可由父亲传生后代？」
19.33	那天夜里，她们就用酒将父亲灌醉；长女遂进去与父亲同睡；女儿几时卧下，几时起来，他都不知道。
19.34	第二天，长女对幼女说：「看，昨夜我与父亲同睡了，今夜我们再用酒灌醉他，你好进去与他同睡，由我们的父亲传生后代。」
19.35	那天夜里，她们又用酒将父亲灌醉，幼女遂进去与他同睡；女儿几时卧下，几时起来，他都不知道。
19.36	这样，罗特的两个女儿都由父亲怀了孕。
19.37	长女生了一个儿子，给他起名叫摩阿布，是现今摩阿布人的始祖。
19.38	幼女也生了一个儿子，给他起名叫本阿米，是现今阿孟子民的始祖。
	
20.0t	
	
20.1t	亚巴郎迁往革辣尔
	
20.1	亚巴郎从那里迁往乃革布地，定居在卡德士和叔尔之间。当他住在革辣尔时，
21.2	亚巴郎一论到他的妻子撒辣就说：「她是我的妹妹。」革辣尔王阿彼默肋客于是派人来取了撒辣去。
22.3	但是夜间，天主在梦中来对阿彼默肋客说：「为了你取来的那个女人你该死，因为她原是有夫之妇。」
23.4	阿彼默肋客尚未接近她，于是说：「我主，连正义的人你也杀害吗？
24.5	那男人不是对我说过「她是我的妹妹吗？」连她自己也说「他是我的哥哥。」我做了这事，是出于心正手洁呀! 」
25.6	天主在梦中对他说：「我也知道，你是出于心正做了这事，所以我阻止了你犯罪得罪我，也没有让你接触她。
26.7	现在你应将女人还给那人，因为他是一位先知，他要为你转求，你才可生存；倘若你不归还，你该知道：你以及凡属于你的，必死无疑。」
27.8	阿彼默肋客很早就起来召集了众臣仆，将全部实情告诉给他们听；这些人都很害怕。
28.9	然后阿彼默肋客叫了亚巴郎来，对他说：「你对我们作的是什么事？我在什么事上得罪了你，竟给我和我的王国招来了这样大的罪过？你对我作了不应该作的事。」
29.10	阿彼默肋客继而对亚巴郎说：「你作这事，究有什么意思？」
30.11	亚巴郎答说：「我以为在这地方一定没有人敬畏天主，人会为了我妻子的缘故杀害我。
31.12	何况她实在是我的妹妹，虽不是我母亲的女儿，却是我父亲的女儿；后来做了我的妻子。
32.13	当天主叫我离开父家，在外飘流的时候，我对她说：我们无论到什么地方，你要说我是你的哥哥，这就我是你待我的大恩。」
33.14	阿彼默肋客把些牛羊奴婢，送给了亚巴郎，也将他的妻子撒辣归还了他；
34.15	然后对他说：「看，我的土地尽在你面前，你愿住在那里，就住在那里。」
35.16	继而对撒辣说：「看，我给了你哥哥一千银子，作为你在阖家人前的遮羞钱；这样，各方面无可指摘。」
36.17	亚巴郎恳求了天主，天主就医好了阿彼默肋客，他的妻子和他的众婢女，使她们都能生育，
37.18	因为上主为了亚巴郎妻子撒辣的事，关闭了阿彼默肋客家中所有妇女的子宫。
	
21.0t	
	
21.1t	依撒格诞生
	
21.1	上主照所许的，眷顾了撒辣；上主对撒辣实践了他所说的话。
21.2	撒辣怀了孕，在天主所许的时期，给年老的亚巴郎生了一个儿子。
21.3	亚巴郎为撒辣给他所生的儿子，起名叫依撒格。
21.4	生后第八天，亚巴郎照天主所吩咐的给自己的儿子依撒格行了割损。
21.5	他儿子依撒格诞生时，亚巴郎正一百岁；
21.6	为此撒辣说：「天主使我笑，凡听见的也要与我一同笑。」
21.7	又说：「谁能告诉亚巴郎，撒辣要哺养儿子呢？可是我在他老年，却给他生了个儿子。」
21.8	孩子渐渐长大，断了乳；在依撒格断乳的那天，亚巴郎摆了盛宴。
21.9	撒辣见那埃及女人哈加尔给亚巴郎生的儿子，戏笑自己的儿子依撒格，
21.10	就对亚巴郎说：「你该赶走这婢女和她的儿子，因为这婢女的儿子不能和我的儿子依撒格一同承受家业。」
21.11	亚巴郎为了他这儿子的事很是苦恼。
21.12	但天主对亚巴郎说：「你不必为这孩子和你的婢女苦恼；凡撒辣对你说的，你都可听从，因为只有藉依撒格你的名才能传后。
21.13	至于这婢女的儿子，我也要使他成为一大民族，因为他也是你的孩子。」
21.14	第二天，亚巴郎清早起来拿了饼和一皮囊水，交给哈加尔，放在她肩上，又将孩子交给她，打发她走了。她一路前行，在贝尔舍巴旷野迷失了路。
21.15	那时皮囊里的水已用尽，她把孩子丢在一堆小树下，
21.16	自己走开，在约离一箭之远的对面坐下，自言自语说：「我不忍见这孩子夭折。」就坐在对面放声大哭。
21.17	天主听见孩子啼哭，天主的使者由天上呼唤哈加尔说：「哈加尔! 你有什么事？不要害怕，因为天主已听见孩子在那里的哭声。
21.18	起来，去扶起孩子来，用手搀著他，因为我要使他成为一大民族。」
21.19	天主于是开了她的眼，她看见了一口水井，遂去将皮囊灌满了水，给孩子喝。
21.20	天主与孩子同在，他渐渐长大住在旷野，成了个弓手。
21.21	他住在帕兰旷野；他母亲由埃及地给他娶了一个妻子。 
	
21.22t	阿彼默肋客与亚巴郎立约
	
21.22	那时阿彼默肋客同他的司令非苛耳对亚巴郎说：「在你所作的一切事上，天主常与你同在。
21.23	现在你在这里要指著天主对我起誓：总不要亏待我和我的子子孙孙。我怎样厚待了你，你也要怎样厚待我和你寄居的地方。」
21.24	亚巴郎回答说：「我愿起誓。」
21.25	亚巴郎为了阿彼默肋客的仆人霸占了一口水井，就责斥阿彼默肋客。
21.26	阿彼默肋客回答说：「我不知道谁作了这事，你也没有通知我，我到今天才听说。」
21.27	亚巴郎遂把牛羊交给阿彼默肋客，二人互相立了约。
21.28	亚巴郎又将羊群中七只母羔羊，另放在一边。
21.29	阿彼默肋客问亚巴郎说：「将这七只母羔羊另放一边，请问有什么意思？」
21.30	他答说：「你要由我手中接受这七只母羔羊，作我挖了这口水井的凭据。」
21.31	因为他们二人在那里起了誓，为此那地方叫做贝尔舍巴。
21.32	他们在贝尔舍巴立了约，阿彼默肋客同他的司令非苛耳起身回培肋舍特地去了。
21.33	亚巴郎在贝尔舍巴栽了一株柽柳，在那里呼求了上主，永恒天主的名。
21.34	亚巴郎在培肋舍特人地内住了许久。
	
22.0t	
	
22.1t	亚巴郎从命献子
	
22.1	这些事以后，天主试探亚巴郎说：「亚巴郎! 」他答说：「我在这里。」
22.2	天主说：「带你心爱的独生子依撒格往摩黎雅地方去，在我所要指给你的一座山上，将他献为全燔祭。」
22.3	亚巴郎次日清早起来，备好驴，带了两个仆人和自己的儿子依撒格，劈好为全燔祭用的木柴，就起身往天主指给他的地方去了。
22.4	第三天，亚巴郎举目远远看见了那个地方，
22.5	就对仆人说：「你们同驴在这里等候，我和孩子要到那边去朝拜，以后就回到你们这里来。」
22.6	亚巴郎将为全燔祭用的木柴，放在儿子依撒格的肩上，自己手中拿著刀和火，两人一同前行。
22.7	路上依撒格对父亲亚巴郎说：「阿爸! 」他答说：「我儿，我在这里。」依撒格说：「看，这里有火有柴，但是那里有作全燔祭的羔羊？」
22.8	亚巴郎答说：「我儿! 天主自会照料作全燔祭的羔羊。」于是二人再继续一同前行。
22.9	当他们到了天主指给他的地方，亚巴郎便在那里筑了一座祭坛，摆好木柴，将儿子依撒格捆好，放在祭坛上的木柴上。
22.10	亚巴郎正伸手举刀要宰献自己的儿子时，
22.11	上主的使者从天上对他喊说：「亚巴郎! 亚巴郎! 」他答说：「我在这里。」
22.12	使者说：「不可在这孩子身上下手，不要伤害他! 我现在知道你实在敬畏天主，因为你为了我竟连你的独生子也不顾惜。」
22.13	亚巴郎举目一望，见有一只公绵羊，两角缠在灌木中，遂前去取了那只公绵羊，代替自己的儿子，献为全燔祭。
22.14	亚巴郎给那地方起名叫「上主自会照料。」直到今日人还说：「在山上，上主自会照料。」
22.15	上主的使者由天上又呼唤亚巴郎说：「
22.16	我指自己起誓，－－上主的断语，－－因为你作了这事，没有顾惜你的独生子，
22.17	我必多多祝福你，使你的后裔繁多，如天上的星辰，如海边的沙粒。你的后裔必占领他们仇敌的城门；
22.18	地上万民要因你的后裔蒙受祝福，因为你听从了我的话。」
22.19	亚巴郎回到自己仆人那里，一同起身回了贝尔舍巴，遂住在贝尔舍巴。 
	
22.20t	纳曷尔的后代
	
22.20	这些事以后，有人告诉亚巴郎说：「米耳加也给你的兄弟纳曷尔生了儿子：
22.21	长子伍兹，他的弟弟步次、阿兰的父亲刻慕耳、
22.22	革色得、哈左、丕耳达士、依德拉夫和贝突耳：－－
22.23	贝突耳生了黎贝加，－－这八人都是米耳加给亚巴郎的兄弟纳曷尔生的儿子。
22.24	此外他的妾名叫勒乌玛的，给他生了特巴黑、加罕、塔哈士和玛阿加。
	
23.0t	
	
23.1t	撒辣逝世埋葬
	
23.1	撒辣一生的寿数是一百二十岁。
23.2	撒辣死在客纳罕地的克黎雅特阿尔巴，即赫贝龙。亚巴郎来举哀哭吊撒辣；
23.3	然后从死者面前起来，对赫特人说道：「
23.4	我在你们中是个外乡侨民，请你们在这里卖给我一块坟地，我好将我的死者移去埋葬。」
23.5	赫特人答覆亚巴郎说：「
23.6	先生，请听：你在我们中是天主的宠臣，你可在我们最好的坟地埋葬你的死者，我们没有人会拒绝你，在他的坟地内埋葬你的死者。」
23.7	亚巴郎遂起来，向当地人民赫特人下拜，
23.8	然后对他们说：「如果你们实在愿意我将死者移去埋葬，请你们答应我，为我请求祚哈尔的儿子厄斐龙，
23.9	要他卖给我他那块田地尽头所有的玛革培拉山洞；要他按实价在你们面前卖给我，作为私有坟地。」
23.10	当时，厄斐龙也坐在赫特人中间。这赫特人厄斐龙遂在聚于城门口的赫特人面前，高声答覆亚巴郎说：「
23.11	先生，不要这样。请听我说：我送给你这块田，连其中的山洞，也送给你。我愿在我同族的人民眼前送给你，埋葬你的死者。」
23.12	亚巴郎又在当地人民面前下拜，
23.13	然后对当地人民高声向厄斐龙说：「假如你乐意，请你听我说：我愿给你地价，你收下后，我才在那里埋葬我的死者。」
23.14	厄斐龙答覆亚巴郎说：「
23.15	先生，请听我说：一块值四百「协刻耳」银子的地，在你和我之间，算得什么! 你尽管去埋葬你的死者罢! 」
23.16	亚巴郎明白了厄斐龙的意思，便照他在赫特人前大声提出的价值，按流行的市价称了四百「协刻耳」银子给他。
23.17	这样，厄斐龙在玛革培拉面对玛默勒的那块田地，连田地带其中的山洞，以及在田地四周所有的树木，
23.18	当著聚在城门口的赫特人面前，全移交给亚巴郎作产业。
23.19	事后，亚巴郎遂将自己的妻子撒辣葬在客纳罕地，即葬在那块面对玛默勒，(即赫贝龙)，玛革培拉田地的山洞内。
23.20	这样，这块田地和其中的山洞，由赫特人移交了给亚巴郎作为私有坟地。
	
24.0t	
	
24.1t	亚巴郎为子娶妻
	
24.1	亚巴郎年纪已老，上主在一切事上常祝福他。
24.2	亚巴郎对管理他所有家产的老仆人说：「请你将手放在我的胯下，
24.3	要你指著上主、天地的天主起誓：你决不要为我的儿子，由我现住的客纳罕人中，娶一个女子为妻；
24.4	却要到我的故乡，我的亲族中去，为我的儿子依撒格娶妻。」
24.5	仆人对他说：「假使那女子不愿跟我到此地来，我能否带你的儿子回到你的本乡？」
24.6	亚巴郎答覆他说：「你切不可带我的儿子回到那里去。
24.7	那引我出离父家和我生身地，同我谈过话，对我起誓说「我必将这地赐给你后裔」的上主，上天的天主，必派遣自己的使者作你的前导，领你由那里给我儿子娶个妻子。
24.8	假若那女子不愿跟你来，你对我起的誓，就与你无涉；无论如何，你不能带我的儿子回到那里去。」
24.9	仆人遂将手放在主人亚巴郎的胯下，为这事向他起了誓。
24.10	仆人就由他主人的骆驼中，牵了十匹骆驼，带著主人的各样宝物，起身往美索不达米亚的纳曷尔城去了。
