1:-1t	罗马人书	
10:14	但是，人若不信他，又怎能呼号他呢﹖从未听到他，又怎能信他呢﹖没有宣讲者，又怎能听到呢﹖	
10:15	若没有奉派遣，人又怎能去宣讲呢﹖正如所记载的：『传布福音者的脚步是多么美丽啊!』	
10:16	然而并不是所有的人都服从了福音。依撒意亚曾说过：『上主，有谁相信了我们的报道呢﹖』	
10:17	所以信仰是出于报道，报道是出于基督的命令。	
10:18	但我要问：难道他们没有听过吗﹖一定听过了。『他们的声音传遍普世，他们的言语达于地极。』	
10:19	但是我再问：难道以色列人不明白吗﹖首先梅瑟说过：『我要以那不成子民的人，激起你们的妒火；以愚昧的民族，惹起你们的怒气。』	
10:20	继而依撒意亚也放胆说：『未曾寻找我的人，找到了我；对未曾访问我的人，我显现了。』	
		
		
11:0t	第十一章	
		
11:1t	犹太人不是全体被弃　	
11:1 	我再问：莫非天主摈弃了自己的人民吗﹖断然不是!我自己就是个以色列人，出于亚巴郎的后裔，本雅明支派。	
11:2 	天主并没有摈弃他所预选的人民。难道你们不知道圣经在厄里亚篇上说了什么，他怎样向天主抱怨以色列﹖	
11:3 	『上主呀!他们杀了你的先知，毁坏了你的祭坛，只剩下了我一个，他们还在谋害我的性命。』	
11:4 	然而神谕告诉了他什么﹖『我为我自己留下了七千人，他们没有向巴耳屈过膝。』	
11:5 	同样，现在也留下了一些残余，即天主以恩宠所选拔的人。	
11:6 	既是出于恩宠，就不是出于作为，不然，恩宠就不算为恩宠了。	
11:7 	那么还说什么呢﹖以色列全体所寻求的，没有得到，只有那些蒙选的人得到了；其余的都顽梗不化了。	
11:8 	正如所记载的：『天主赋予了他们沉睡的神，有眼看不见，有耳听不见，直到今日，仍是如此。』	
11:9 	达味也说过：『愿他们的筵席成为他们的陷阱、罗网、绊脚石和应得的报应。	
11:10	愿他们的眼睛昏迷，不得看见。愿你使他们的脊背常常弯曲。』	
		
11:11t	犹太人被弃不是永久的　	
11:11	那么我再问：他们失足，是要他们永久跌倒吗﹖绝对不是!而是借着他们的过犯，使救恩临到外邦人，为刺激他们发愤。	
11:12	如果因他们的过犯，世界得以致富，因他们的堕落，外邦人得以致富；他们全体归正，更将怎样呢﹖	
11:13	我对你们外邦人说：我既然是外邦人的宗徒，我必要光荣我的职务；	
11:14	这样，或许可激动我的同胞发愤，因而能拯救他们几个人。	
11:15	如果因他们被遗弃，世界与天主和好了；那么，他们如果蒙收纳，岂不是死而复生吗﹖	
11:16	如果所献的初熟的麦面是圣的，全面团也成为圣的；如果树根是圣的，树枝也是圣的。	
11:17	假如有几条橄榄树枝被折下来，而你这枝野橄榄树枝被接上去，同沾橄榄树根的肥脂，	
11:18	就不可向旧树枝自夸。如果你想自夸，就该想不是你托着树根，而是树根托着你。	
11:19	或者你要说：树枝被折下来，正是为叫我接上去。	
11:20	不错，他们因了不信而被折下来，你要因着信，才站得住。你决不可心高气傲，反应恐惧，	
11:21	因为天主既然没有怜惜了那些原有的树枝，将来也许不怜惜你。	
11:22	可见天主又慈善又严厉：天主对于跌倒了的人是严厉的，对于你却是慈善的，只要你存留在他的慈善上；不然你也必要被砍去。	
11:23	至于他们，如果他们不固执于无信之中，必会再被接上去，因为天主有能力重新把他们接上去。	
11:24	其实，如果你这由本生的野橄榄树上被砍下来的，逆着性被接在好橄榄树上，何况他们那些原生的树枝，岂不更容易接在自己原来的橄榄树上么﹖	
		
11:25t	犹太人终要归化　	
11:25	弟兄们!免得你们自作聪明，我不愿意你们不知道这项奥秘的事，就是只有一部分是执迷不悟的，直到外邦人全数进入天国为止：	
11:26	那时，全以色列必也获救，正如经上所载：『拯救者必要来自熙雍，从雅各伯中消除不敬之罪；	
11:27	这是我与他们所订立的盟约：那时我要赦免他们的罪恶。』	
11:28	照福音来说，他们由于你们的缘故，成了天主的仇人；但照召选来说，由于他们祖先的缘故，他们仍是可爱的，	
11:29	因为天主的恩赐和召选是决不会撤回的。	
11:30	就如你们以前背叛了天主，如今却因了他们的背叛而蒙受了怜悯；	
11:31	同样，因了你们所受的怜悯，他们如今背叛，这是为叫他们今后也蒙受怜悯，	
11:32	因为天主把众人都禁锢在背叛之中，是为要怜悯众人。	
		
11:33t	赞美全知的天主　	
11:33	啊!，天主的富饶，上智和知识，是多么高深!他的决断是多么不可测量！他的道路是多么不可探察！	
11:34	有谁曾知道上主的心意﹖或者，有谁曾当过他的顾问﹖	
11:35	或者，有谁曾先施恩于他，而望他还报呢﹖	
11:36	因为万物都出于他，依赖他，而归于他。愿光荣归于他至于永世!阿们!。	
		
		
12:-1t	基督徒应有的生活	
		
12:0t	第十二章	
		
12:1t	向天主的新敬礼　	
12:1 	所以弟兄们!我以天主的仁慈请求你们，献上你们的身体当作生活、圣洁和悦乐天主的祭品：这才是你们合理的敬礼。	
12:2 	你们不可与此世同化，反而应以更新的心思变化自己，为使你们能辨别什么是天主的旨意，什么是善事，什么是悦乐天主的事，什么是成全的事。	
		
12:3t	基督妙身的每个肢体应尽己职　	
12:3 	我因所赐给我的圣宠，告诉你们每一位：不可把自己估计得太高，而过了份；但应按照天主所分与各人的信德尺度，估计得适中。	
12:4 	就如我们在一个身体上有许多肢体，但每个肢体，都有不同的作用；	
12:5 	同样，我们众人在基督内，也都是一个身体，彼此之间，每个都是肢体。	
12:6 	按我们各人所受的圣宠，各有不同的恩赐：如果是说预言，就应与信德相符合；	
12:7 	如果是服务，就应用在服务上；如果是教导，就应用在教导上；	
12:8 	如果是劝勉，就应用在劝勉上；施与的，应该大方；监督的，应该殷勤；行慈善的，应该和颜悦色。	
		
12:9t	应以善胜恶　	
12:9 	爱情不可是虚伪的。你们当厌恶恶事，附和善事。	
12:10	论兄弟之爱，要彼此相亲相爱；论尊敬，要彼此争先。	
12:11	论关怀，不可疏忽；论心神，要热切；对于主，要衷心事奉。	
12:12	论望德，要喜乐；在困苦中，要忍耐；在祈祷上，要恒心；	
12:13	对圣者的急需，要分担；对客人，要款待。	
12:14	迫害你们的，要祝福；只可祝福，不可诅咒。	
12:15	应与喜乐的一同喜乐，与哭泣的一同哭泣。	
12:16	彼此要同心合意，不可心高妄想，却要俯就卑微的人。不可自作聪明。	
12:17	对人不可以恶报恶，对众人要勉励行善；	
12:18	如若可能，应尽力与众人和睦相处。	
12:19	诸位亲爱的，你们不可为自己复仇，但应给天主的忿怒留有余地，因为经上记载：『上主说：复仇是我的事，我必报复。』	
12:20	所以：『如果你的仇人饿了，你要给他饭吃；渴了，应给他水喝，因为你这样做，是将炭火堆在他头上。』	
12:21	你不可为恶所胜，反应以善胜恶。	
		
		
13:0t	第十三章	
		
13:1t	应服从官长　	
13:1 	每人要服从上级有权柄的人，因为没有权柄不是从天主来的，所有的权柄都是由天主规定的。	
13:2 	所以谁反抗权柄，就是反抗天主的规定，而反抗的人就是自取处罚。	
13:3 	因为长官为行善的人，不是可怕的；为行恶的人，才是可怕的。你愿意不怕掌权的吗﹖你行善罢!那就可由他得到称赞，	
13:4 	因为他是天主的仆役，是为相帮你行善；你若作恶，你就该害怕，因为他不是无故带剑；他既是天主的仆役，就负责惩罚作恶的人；	
13:5 	所以必须服从，不只是为怕惩罚，而也是为了良心。	
13:6 	为此，你们也该完粮，因为他们是天主的差役，是专为尽这义务的。	
13:7 	凡人应得的，你们要付清；该给谁完粮，就完粮；该给谁纳税，就纳税；该敬畏的，就敬畏；该尊敬的，就尊敬。	
		
13:8t	法律的满全是爱德　	
13:8 	除了彼此相爱外，你们不可再欠人什么，因为谁爱别人，就满全了法律。	
13:9 	其实『不可奸淫，不可杀人，不可偷盗，不可贪恋，』以及其他任何诫命，都包含在这句话里：就是『爱你的近人如你自己。』	
13:10	爱不加害于人，所以爱就是法律的满全。	
		
13:11t	应时常醒寤　	
13:11	再者，你们该认清这个时期，现在已经是由睡梦中醒来的时辰了，因为我们的救恩，现今比我们当初信的时候更临近了。	
13:12	黑夜深了，白日已近，所以我们该脱去黑暗的行为，佩戴光明的武器；	
13:13	行动要端庄，好象在白天一样，不可狂宴豪饮，不可淫乱放荡，不可争斗嫉妒；	
13:14	但该穿上主耶稣基督；不应只挂念肉性的事，以满足私欲。	
		
		
14:0t	第十四章	
		
14:1t	强者弱者同属一主　	
14:1 	对信德软弱的人，你们该容纳，不要为意见而争论。	
14:2 	有人以为什么都可吃，但那软弱的人只吃蔬菜。	
14:3 	那吃的，不要轻视不吃的；不吃的，也不要判断吃的，因为天主已接纳了他。	
14:4 	你是谁，你竟敢判断别人的家仆﹖他或站立，或跌倒，都由他自己的主人管；但他必站得住，因为主能够使他站得住。	
14:5 	有人以为这日比那日强，但也有人以为日日都一样；各人对自己的心思应坚信不移才好!	
14:6 	那遵守日子的，是为主而遵守；那吃的，是为主而吃，因为他感谢天主；那不吃的，也是为主而不吃，他也感谢天主。	
14:7 	因为我们中没有一人是为自己而生的，也没有一人是为自己而死的；	
14:8 	因为我们或者生，是为主而生，或者死，是为主而死；所以我们或生或死，都是属于主。	
14:9 	因为基督死而复生了，正是为作生者和死者的主。	
14:10	你为什么判断你的弟兄﹖或者，你为什么轻视你的弟兄﹖我们众人都要站在天主的审判台前，	
14:11	因为经上记载说：『我指着我自己起誓──上主的誓语：众膝都要向我跪拜，众舌都要赞颂天主。』	
14:12	这样看起来，我们每人都要向天主交自己的账。	
		
14:13t	应以爱德行事　	
14:13	因此，我们不可再彼此判断了，反之，你们应拿定主意：总不可使弟兄失足或跌倒。	
14:14	在耶稣基督内，我知道，并深信：没有什么本身是不洁的；除非有人想什么是不洁的，那东西为他才是不洁的。	
14:15	如果你因着食物使你的兄弟心乱，你便不是按照爱德行事。基督为他死了，你不可因着你的食物使他丧亡，	
14:16	所以你们不可使你们的优点受到诽谤。	
14:17	其实天主的国并不在于吃喝，而在于义德、平安以及在圣神内的喜乐：	
14:18	凡是按这原则事奉基督的，才为天主所喜悦，为众人所称许；	
14:19	所以我们该追求平安的事，以及彼此建立的事，	
14:20	不可为了食物的缘故，而摧毁天主的工程。一切固然都是洁净的，但若人吃了，能使人失足，这为他便是恶事了。	
14:21	更好是不吃肉，不喝酒，不作什么能使你的弟兄跌倒的事。	
14:22	你有信心，就在天主前为你自己保有罢!那在自己认为可行的事上，问心无愧，才是有福的。	
14:23	但谁若怀着疑心吃了，便被判有罪，因为这不是出于信心做的：凡不出于信心做的，就是罪。	
		
		
15:0t	第十五章	
		
15:1t	应效法耶稣　	
15:1 	我们强壮者，该担待不强壮者的软弱，不可只求自己的喜悦。	
15:2 	我们每人都该求近人的喜悦，使他受益，得以建立，	
15:3 	因为连基督也没有寻求自己的喜悦，如所记载的：『辱骂你者的辱骂，都落在我身上。』	
15:4 	其实，凡经上所写的，都是为教训我们而写的，为叫我们因着经典上所教训的忍耐和安慰，获得希望。	
15:5 	愿赐忍耐和安慰的天主，赏赐你们仿效耶稣基督的榜样，彼此同心合意，	
15:6 	好一心一口光荣我们的主耶稣基督的天主和父。	
15:7 	为此，你们要为光荣天主而彼此接纳，犹如基督也接纳了你们一样。	
15:8 	我是要说：基督为了彰显天主的真实，成了[割损]的仆役，为实践向先祖们所赐的恩许，	
15:9 	而也使外邦人因天主的怜悯而去光荣天主，正如所记载的：『为此，我要在异民中称赞你，歌颂你的圣名。』	
15:10	又说：『异民!你们要和他的百姓一同欢乐!』	
15:11	又说：『列国万民，请赞美上主!一切民族，请歌颂他!』	
15:12	依撒意亚又说：『叶瑟的根苗将要出现，要起来统治外邦人；外邦人都要寄望于他。』	
15:13	愿赐望德的天主，因着你们的信心，使你们充满各种喜乐和平安，使你们因着圣神的德能，富于望德。	
		
15:14tt	结　论	
		
15:14t	宗徒的计划　	
15:14	我的弟兄们，我本人深信你们是充满善意，满备各种知识的，并能彼此劝勉。	
15:15	我给你们写信未免有些大胆，不过我只想唤起你们的回忆，因为天主赐给了我恩宠，	
15:16	使我为外邦人成了耶稣基督的使臣，天主福音的司祭，好使外邦人经圣神的祝圣，成为可悦纳的祭品。	
15:17	所以对于事奉天主的事，我可以在耶稣基督内夸口，	
15:18	因为我不敢提及别的，只说基督借我，以言语，以行动，借着奇迹、异事的能力和天主圣神的德能，所作的使外邦人归顺的事，	
15:19	以致我从耶路撒冷及其四周，直到依里黎苛，传遍了基督的福音；	
15:20	并且专在没有认识基督的地方传布福音，引以为荣，免得我在别人的基础上建筑，	
15:21	如经上记载的：『那些关于他没有得到传报的人，必要看见；那些没有听说过的人，必要明了。』	
15:22	这就是我屡次被阻延，不能到你们那里去的缘故。	
15:23	但如今在这一带再没有可传的地方了，而且多年以来，我就有到你们那里去的心愿，	
15:24	所以当我往西班牙去的时候，我希望中途能见到你们，得以稍微满足我见你们的心愿，然后由你们送我上道。	
15:25	不过，现在我要起身往耶路撒冷去，为供应圣徒，	
15:26	因为马其顿和阿哈雅人，甘心乐意为耶路撒冷的贫苦圣徒捐了一笔款项；	
15:27	说他们甘心乐意，其实他们是欠他们的债。因为外邦人既分沾了他们的神恩，也就该在物质上扶助他们。	
15:28	所以我一办妥了这事，向他们交代了这项捐款以后，便要路过你们那里，往西班牙去。	
15:29	我知道，我去你们那里，必要满带基督的降福而去。	
15:30	弟兄们!我因我们的主耶稣基督，并因圣神的爱，请求你们，以你们为我在天主前的祈祷，与我一起奋斗，	
15:31	使我脱免在犹太地不信者的手，并使我带到耶路撒冷的款项，得蒙圣徒悦纳。	
15:32	这样，可使我照天主的旨意，高兴地到你们那里去，同你们一起稍微休息。	
15:33	愿赐平安的天主与你们众人同在!阿们。	
		
		
16:-1t	结　论	
		
16:0t	第十六章	
		
16:1t	推荐问候及警戒　	
16:1 	我把我们的姊妹福依贝托给你们，她是耕格勒教会的女执事，	
16:2 	你们要在主内以相宜于圣者的态度，接待她，如果她在什么事上需要你们的帮助，你们就帮助她，因为她帮助了许多人，也帮助过我。	
16:3 	请问候普黎斯加和阿桂拉，他们是我在基督耶稣内的助手；	
16:4 	他们为救我，置自己的颈项于度外；不但我应感谢他们，而且连外邦人的众教会也应感谢他们。	
16:5 	还请问候在他们家中的教会。请问候我可爱的厄派乃托，他是亚细亚归依基督的初果。	
16:6 	请问候玛利亚，她为你们受了许多劳苦。	
16:7 	请问候我的同族和我的同囚者安得洛尼科和犹尼雅，他们在使徒中是有声望的人，并且在我以先归依了基督。	
16:8 	请问候在主内我可爱的安仆里雅。	
16:9 	请问候我们在基督内的助手吴尔巴诺，和我可爱的斯塔辉。	
16:10	请问候为基督受磨难的阿培肋。	
16:11	请问候阿黎斯托步罗家中的人。请问候我的同族人黑落狄雍；请问候纳尔基索家中归依主的人。	
16:12	请问候在主内劳苦的特黎费纳和特黎佛撒。请问候可爱的培尔息，她在主内受了许多劳苦。	
16:13	请问候蒙主拣选的鲁富和他的母亲，她也是我的母亲。	
16:14	请问候阿松黎托、弗肋贡、赫尔默斯、帕特洛巴、赫尔玛，和与他们在一起的弟兄们。	
16:15	请问候非罗罗哥与犹里雅，乃勒乌和他的姊妹，还有敖林帕和与他们在一起的众圣徒。	
16:16	你们要以圣吻彼此请安。基督的众教会都问候你们。	
16:17	弟兄们，我请求你们提防那些反对你们所学习的教理，而制造纷争和绊脚石的人，你们要远离他们，	
16:18	因为这些人不是服事我们的主基督，而是服事自己的肚腹，他们以甜言蜜语，迷惑那些诚实人的心灵。	
16:19	你们的服从已传到各处，所以我为你们十分庆幸；但我切愿你们对善事要明智，对于恶事要纯洁无瑕。	
16:20	赐平安的天主就要迅速地，把撒殚踏碎在你们的脚下。愿我们主耶稣基督的恩宠与你们同在!	
16:21	我的助手弟茂德和我的同族路基约，雅松与索息帕特问候你们。	
16:22	我这执笔写信的特尔爵也在主内问候你们。	
16:23	我的东主，也是全教会的东主加约，也问候你们；本城的司库厄辣斯托和夸尔托兄弟也问候你们。	
16:24	【但愿我们的主耶稣基督的恩宠常与你们同在!阿们。】	
		
16:25t	结语　赞颂词　	
16:25	愿光荣归于天主，他有能力坚固你们，使你们合乎我所传布的福音，和所宣讲的耶稣基督，并合乎所启示的奥秘──这奥秘从永远以来，就是秘而不宣的，	
16:26	现今却彰显了，且按照永恒天主的命令，借着先知的经书，晓谕万民，使他们服从信德。	
16:27	愿光荣赖耶稣基督归于唯一全智的天主，至于无穷之世。阿们。	
		
