1:-1t	列王纪下
8:19	但是，上主为了他仆人达味的缘故，不愿消灭犹大，因为他曾向达味应许过，他的子孙中，要永远给他留下一盏明灯。
8:20	约兰年间，厄东人脱离了犹大的统治，自立为王；
8:21	那时，约兰率领自己所有的战车，到了匝依尔，乘夜间起来，冲出了包围他和那些战车长的厄东人，军民纔得逃回自己的帐幕。
8:22	这样，厄东人脱离了犹大的统治，直到今日。同时，里贝纳也背叛了犹大。
8:23	约兰其余的事迹，他的一切作为，都记载在犹大列王实录上。
8:24	约兰与列祖同眠后，与他的列祖葬在达味城；他的儿子阿哈齐雅继位为王。
	
8:25t	阿哈齐雅为犹大王
8:25	以色列王阿哈布的儿子耶曷兰十二年，犹大王约兰的儿子阿哈齐雅登极为王。
8:26	他即位时，年二十二岁，在耶路撒冷作王一年。他的母亲名叫阿塔里雅，是以色列王敖默黎的孙女。
8:27	阿哈齐雅走了阿哈布家的道路，行了上主视为恶的事，同阿哈布家一样，因为他是阿哈布家的女婿。
8:28	他同阿哈布的儿子耶曷兰往辣摩特基肋阿得去，与阿兰王哈匝耳交战。阿兰人击伤了耶曷兰，
8:29	耶曷兰就回到依次勒耳，治疗他在辣摩特与阿兰人交战时所受的伤。犹大王约兰的儿子阿哈齐雅，由于阿哈布的儿子耶曷兰患病，就下到依次勒耳去探望他。
	
	
9:0t	第九章
	
9:1t	耶胡受傅为王
9:1 	那时，先知厄里叟叫一个先知弟子来，对他说：「你束上腰，手里拿着这瓶油，往辣摩特基肋阿得去，
9:2 	一到了那里，就去求见尼默史的孙子约沙法特的儿子耶胡；得见后，叫他离开同僚，领他进入一间内室，
9:3 	将这瓶油倒在他的头上说：上主这样说：我傅你为以色列王。然后，开门逃走，不要逗留。」
9:4 	那青年人，即那青年先知就往辣摩特基肋阿得去了。
9:5 	他到了那里，看见众将军都在坐，青年人遂说：「将军，我有话对你说。」耶胡问说：「我们中，你要对那一个说话﹖」他答说：「将军，就是你。」
9:6 	耶胡站起来，进了内室，那青年人就将油倒在他头上，对他说：「上主以色列的天主这样说：我傅你为上主的人民以色列的君王。
9:7 	你要消灭你主上阿哈布的家，使我在依则贝耳身上，为我的仆人先知和上主的一切仆人报血仇。
9:8 	阿哈布的全家必要丧亡；我要消灭以色列凡属于阿哈布的一切男人，无论是自由的，或不自由的。
9:9 	我要使阿哈布家像乃巴特的儿子雅洛贝罕家，又像阿希雅的儿子巴厄沙家一样；
9:10	至于依则贝耳，狗要在依次勒耳的田间吞食她，没有人来埋葬。」那青年人说完，就开门逃走了。
9:11	耶胡出来回到他主上的臣仆那里，他们问他说：「一切都好吗﹖那疯子来见你有什么事﹖」耶胡答说：「你们应认识这个人，也知道他说些什么。」
9:12	他们说：「定说些胡话！请给我们说说！」耶胡遂说：「他如此如此告诉我说：上主这样说：我傅你为以色列王。」
9:13	他们一听，急忙将各自己的衣服铺在光台阶他的脚下，吹角喊说：「耶胡作王了！」
	
9:14t	耶胡造反
9:14	尼默史的孙子，约沙法特的儿子耶胡於是背叛了耶曷兰。 那时耶曷兰曾率领全以色列人在辣摩特基肋阿得，对抗阿兰君王哈匝耳。
9:15	但耶曷兰已回了依次勒耳，治疗他与阿兰王哈匝耳交战时，被阿兰人所射的创伤。 耶胡说：「如果这件事合你们的心意，那麽就不要让任何人逃出城去，到依次勒耳报信。」
9:16	耶胡于是亲自驾车去了依次勒耳，因为耶曷兰正在那里卧病未起；犹大王阿哈齐雅也下到那里去探望他。
9:17	站在依次勒耳堡垒上的守兵，见有耶胡的兵队来到，就喊叫说：「我看见了一大队人马！」耶曷兰下令说：「叫一个骑兵来，派他去探问他们说：都平安吗﹖」
9:18	骑兵就去迎接耶胡说：「王问：都平安吗﹖」耶胡答说：「平安不平安与你何干﹖转到我后面去！」守兵随号报告说：「使者到了他们那里，却没有回来。」
9:19	耶曷兰又打发第二个骑兵去，这骑兵到了他们那里说：「王问：都平安吗﹖」耶胡答说：「平安不平安与你何干？转到我后面去！
9:20	守兵随后有报告说：他到了他们那里，也没有回来；那驾车法很像尼默史的孙子耶胡的驾驶法，驾得很狂猛。」
	
9:21t	耶胡射杀耶曷兰
9:21	耶曷兰遂即吩咐说：「套车！」人就套好他的车。以色列王耶曷兰和犹大王阿哈齐雅出来，各自上车，去迎接耶胡，在依次勒耳人纳波特的庄田那里，迎上了他。
9:22	耶曷兰一见耶胡就问说：「耶胡！都平安吗﹖」耶胡回答说：「你母亲依则贝耳的淫行和妖术那样多，还有什么平安﹖」
9:23	耶曷兰即刻转车逃走，对阿哈齐雅说：「阿哈齐雅，他反了！」
9:24	耶胡用手拉弓，射中了耶曷兰两臂之间，箭从心窝穿出，耶曷兰就倒在车上。
9:25	耶胡吩咐自己的侍卫彼德卡说：「将他抬起，丢在依次肋耳人纳波特的庄田里！你该记得：当我你二人一起驾车跟随他父亲阿哈布时，上主即向他宣布了这个神谕：「
9:26	昨天我确实看见了纳波特和他儿子们的血，上主的断语；我必要在这块田地里报复你，上主的断语。所以现在，你要照上主的话，将他抬起，丢在这块田地里。」
	
9:27t	耶胡射杀阿哈齐雅
9:27	犹大王阿哈齐雅见了这事，就向贝特干逃去，耶胡追赶他，吩咐说：「也将他射杀在车上！」果然，在离依贝肋罕不远的古尔山坡上，把他射伤；他逃到默基多，就死在那里。
9:28	他的臣仆用车把他送到耶路撒冷，与祖先葬在达味城，他自己的坟墓里。
9:29	阿哈齐雅登极为犹大王，是在阿哈布的儿子耶曷兰在位第十一年。
	
9:30t	依则贝耳惨死
9:30	当耶胡来到依次勒耳时，依则贝耳就听说了，遂画眉梳头，从窗户往外眺望，
9:31	见耶胡进城门的时候，她便问说：「弒杀主上的齐默黎，你平安吗﹖」
9:32	耶胡举目看那窗户说：「谁拥护我﹖谁﹖」有两三个太监从窗户里往下看他。
9:33	耶胡说：「把她推下来！」他们便把她推下来，她的血溅在墙上和马身上；马在她身上踏过。
9:34	耶胡进去，吃喝完了，吩咐说：「你们去料理那可诅咒的女人，将她埋葬，因为她究竟是君王的女儿。」
9:35	但是，当他们去埋葬她时，只找到了她的头盖、脚和手掌，
9:36	遂回来告诉耶胡。耶胡说：「这正应验了上主藉自己的仆人提市贝人厄里亚所说的话：在依次勒耳的庄田里，狗要吞食依则贝耳的肉；
9:37	依则贝耳的尸首要成为依次勒耳田地里的粪土，以致人不能说：这是依则贝耳。」
	
	
10:0t	第十章
	
10:1t	杀阿哈布的子孙
10:1 	阿哈布的子孙阿哈布在撒玛黎雅尚有七十个孙子，为此，耶胡写信给撒玛黎雅城中的首领、长老和阿哈布子孙的师保，说：「
10:2 	你们主上的子孙，既然都同你们在一起，又有车马、坚城和武器；那么，这信一到你们手中，
10:3 	你们就在你们主上的子孙中，选出一位最好最能干的，坐上他父亲的宝座，来为你们主上的家作战。」
10:4 	但是，他们都很害怕说：「哎！两位君王尚且不能抵抗他，我们又怎能抵抗﹖」
10:5 	因此，家臣、市长、长老和师保，便派人去见耶胡说：「我们是你的仆人，凡你吩咐的，我们都必照办。我们不选立任何人作王；你看着怎样好，就怎样办罢！」
10:6 	耶胡又给他们写了第二封信：「如果你们拥护我，愿听从我的号令；那么，明天这个时候，你们就带着你们主上的子孙的头，到依次勒耳来见我。」君王的七十个子孙，其时都教养在城中的官绅家中。
10:7 	这封信一到，他们便将君王的七十个子孙全都杀了，把他们的头放在篮子里，送到依次勒耳耶胡那里。
10:8 	有使者来报告耶胡说：「他们将君王子孙的头送来了。」耶胡即下令说：「将头分成两堆，放在城门口，直到明天早晨。」
10:9 	第二天早晨，耶胡出来，站着对全民众说：「你们都没有罪。看，我背叛了我的主上，且杀了他，但是，这些人是谁杀的呢﹖
10:10	你们也知道上主的话，即上主论及阿哈布家所说的话，一句也没有落空；上主藉他仆人厄里亚所说的话，都实现了。」
10:11	然后，耶胡把阿哈布家在依次勒耳所剩下的人，所有的亲属、友人和司祭，全都杀了，一个也没有留下。
	
10:12t	杀犹大王族
10:12	以后，耶胡起程往撒玛黎雅去了。途中经过牧人聚集地贝特厄刻得时，
10:13	遇见犹大王阿哈齐雅的兄弟，就问他们说：「你们是谁﹖」他们回答说：「我们是阿哈齐雅的兄弟，现在下去向君王和太后的儿子请安。」
10:14	耶胡遂下令说：「将他们活活捉住！」随从就将他们活活捉住，在贝特厄刻得井旁把他们杀了，共计四十二人，一个也没有留下。
10:15	耶胡从那里起身前行，又遇见勒加布的儿子约纳达布前来迎接他；耶胡向他请安，问他说：「你对我的心是否如同我对你的心那样诚实？」约纳达布答说：「是的」。耶胡说：「如果是这样，请你伸出手来。」他就向耶胡伸过手去；耶胡就拉他上车，坐在自己身旁，
10:16	对他说：「你跟我来，看看我对天主是怎样的热诚。」于是叫他坐上他自己的车。
10:17	到了撒玛黎雅，就照上主对厄里亚所说的话，将阿哈布家在撒玛黎雅剩下的人，全都杀了。
	
10:18t	杀敬拜巴耳的人
10:18	耶胡召集了全国人民，对他们说：「阿哈布事奉巴耳不够热心，我耶胡要更热心事奉他。
10:19	所以现在，你们去召集所有巴耳的先知，所有敬拜巴耳的人，和所有的司祭，都到我这里来，一个也不要缺席，因为我要向巴耳奉献大祭；谁缺席，谁就不能生存。」这原是耶胡运用的诡计，想消灭所有敬拜巴耳的人。
10:20	耶胡下令说：「你们要为巴耳召开一个圣会！」他们就宣布召开。
10:21	耶胡派人走遍全以色列；凡敬百拜巴耳的人都来了，没有一个缺席不来的；他们都进了巴耳庙，巴耳庙内全挤满了人。
10:22	耶胡对管祭衣的人说：「为所有敬拜巴耳的人，拿出衣服来！」那人就给他们拿出衣服来。
10:23	耶胡和勒加布的儿子约纳达布进了巴耳庙，对敬拜巴耳的人说：「你们要搜查看看，这里不要有事奉雅威的人同你们在一起，只准敬拜巴耳的人。」
10:24	他们于是进去奉献牺牲和全燔祭。耶胡预先在外已派定八十人，对他们说：「谁若让我交于你们手中的一个人逃走，就要他以命抵命。」
10:25	全燔祭奉献完毕，耶胡吩咐卫兵和军官说：「你们进去击杀，一个也不可叫他逃走！」卫兵和军官便用刀击杀了他们，把他们的尸体拋出，然后进入巴耳庙的内堂，
10:26	把巴耳庙内的神柱搬出来烧了，
10:27	推倒了巴耳偶像，拆毁了巴耳庙，使之成为一个厕所，直到今日。
	
10:28t	耶胡为以色列王
10:28	这样，耶胡将巴耳从以色列中铲除了；
10:29	但他仍没有离弃乃巴特的儿子雅洛贝罕使以色列陷于罪恶的罪：即那两头设在贝特耳和丹的金牛。
10:30	上主对耶胡说：「由于你好好执行了我视为义的事，照我心中所想的一切对待了阿哈布家，你的子孙要坐以色列的王位，直到第四代。」
10:31	但耶胡并没有全心谨守遵行上主以色列天主的法律，没有放弃雅洛贝罕使以色列陷于罪恶的罪。
10:32	那时，上主开始削弱以色列，哈匝耳也在四面边境上攻击以色列，
10:33	侵占了约旦河东基肋阿得全地，即加得人，勒乌本和默纳协人的地方，从阿尔农河附近的阿洛厄尔城，直到基肋阿得和巴商。
10:34	耶胡其余的事迹，他的一切作为和武功，都记载在以色列列王实录上。
10:35	耶胡与列祖同眠，人将他葬在撒玛黎雅；他的儿子约阿哈次继位为王。
10:36	耶胡在撒玛黎雅作以色列王，凡二十八年。
	
	
11:0t	第十一章
	
11:1t	阿塔里雅垂廉听政
11:1 	阿哈齐雅的母亲阿塔里雅见自己的儿子已死，便起来消灭王室所有的后裔。
11:2 	但约兰王的女儿，阿哈齐雅的姊姊约舍巴，将阿哈齐雅的儿子约阿士，从被杀的王太子中偷了出来，把他和他的奶妈安置在寝室内，藏了起来，没有让阿塔里雅看见：这样纔没有被杀。
11:3 	约阿士和他的奶妈，在上主的殿内隐藏了六年，当时由阿塔里雅主持国政。
	
11:4t	约阿士登极
11:4 	第七年，约雅达派人将众百夫长，加黎人队长和卫队长召来，领进上主的殿，与他们立约，在上主殿内起誓，然后引君王的儿子出来与他们相见，
11:5 	同时吩咐他们说：「你们应这样行事，在安息日进宫值班的三分之一，要照例守卫王宫，
11:6 	另三分之一守卫稣尔门，另三分之一把守守卫者的后门；仍照旧值班守卫圣殿。
11:7 	在安息日从上主殿内下班的两队，仍应在上主的殿内戒备，
11:8 	各人要手里拿着武器环绕君王。擅入防线的，即将他杀死；君王出入时，你们要紧随不离。」
11:9 	百夫长就按照司祭约雅达所吩咐的一切去行，各自带领在安息日值班，和在安息日下班的士兵，来见司祭约雅达。
11:10	司祭便将上主殿内属达味王的刀枪和盾牌，交给了众百夫长。
11:11	卫兵每人手持武器，自殿右至殿左，面对祭坛和圣殿，环立在君王四周；
11:12	然后引出太子来，给他加冕，将约书交给他，立他为王，给他傅油，在场民众都鼓掌欢呼：「君王万岁！」
	
11:13t	阿塔里雅被杀
11:13	阿塔里雅听见民众叫喊声，就进上主的殿，到民众前。
11:14	她一看，见君王照仪式站在高台上，官长和吹号角的，都站在君王两旁，所有当地人民欢乐吹号；阿塔里雅就撕裂了自己的衣服，喊叫说：「反了，反了！」
11:15	约雅达司祭即吩咐带领军队的众百夫长说：「将她从行列中赶出去，凡跟随她的，都用刀杀死。」原来司祭曾吩咐说：不可在上主的殿内杀她。
11:16	于是众人捉住她；当她由马门进入王宫时，就地将她杀了。
	
11:17t	宗教改革
11:17	此后，约雅达使君王和人民与上主立约，作上主的人民；又使君王与人民立约。
11:18	然后，所有当地人民都到巴耳庙去，将庙拆毁，将祭坛推翻，将神像完全打碎，在祭台前斩了巴耳的司祭玛堂。司祭约雅达又调派士兵把守上主的殿，
11:19	以后，率领众百夫长、加黎人、卫兵和所有当地人民，请君王从上主的殿下来，经卫兵门进入王宫，请他坐在王位上。
11:20	全国人民都欢乐喜庆，京城也很平静。至于阿塔里雅，已在王宫死在刀下。
	
	
12:0t	第十二章
	
12:1t	约阿士为犹大王
12:1 	约阿士即位时，纔七岁；
12:2 	他在耶胡第七年即位为王，在耶路撒冷作王凡四十年。他的母亲名叫漆彼雅，是贝耳舍巴人。
12:3 	约阿士在司祭约雅达教导他期间，行了上主视为正义的事，只是没有废除高丘，人民仍在高丘上焚香献祭。
	
12:5t	重修圣殿
12:5 	约阿士对司祭说：「凡人向上主的殿缴纳作献仪的钱，不论是人丁赎金，或乐意捐献于上主殿中的钱，
12:6 	司祭们都可以接收，每人也可向相识的人去劝捐；但司祭们应该修理圣殿需要修理的破坏之处。」
12:7 	但是，直到约阿士王第二十三年，司祭尚未修理圣殿的破坏之处。
12:8 	于是约阿士王将约雅达大司祭和其它司祭召来，问他们说：「你们为什么不修理圣殿破坏之处﹖现在你们不要再向相识的人收钱了；应把所有的钱交出，用来修理圣殿的破坏之处。」
12:9 	司祭们就同意不再向人民收钱，也不再负责修理圣殿的破坏之处。
12:10	司祭约雅达于是拿来一个箱子，箱子上面开了一个口，安放在祭坛旁边，即在上主圣殿入口的右边，守门的司祭将所有献于上主圣殿的银钱，放入箱内。
12:11	几时看见箱内的钱够多了，君王的秘书和大司祭就上来，把钱倒出，数点上主殿内所有的银钱。
12:12	他们将秤好了的钱，交给上主殿内间监工的管理员，由他们发给在上主殿内工作的木匠和建筑工人，
12:13	泥水匠和石匠，或购买木料和凿刻好的石头，用来修补上主殿内的破坏之处；总之，用来作为修理圣殿的费用。
12:14	进献于上主殿内的银钱，并没有用来制造上主殿内的银盆、烛剪、盘子、号筒，或任何金银器皿，
12:15	只是将银钱交给工作人员，用来修理上主的殿。
12:16	也并不需要向那些经手收钱付给工人的人算账，因为他们做事忠信可靠。
12:17	至于献作赎过祭和赎罪祭的钱，不归于上主的殿，全归于司祭。
	
12:18t	约阿士被暗杀
12:18	那时，阿兰王哈匝耳上来攻打加特，也攻下了，准备进攻耶路撒冷。
12:19	犹大王约阿士就将他祖先犹大王约沙法特、约兰和阿哈齐雅所奉献的圣物，同他自己奉献的圣物，以及上主圣殿和王宫的府库内储藏的金子，全部取出来，送给了阿兰王哈匝耳；哈匝耳就离开了耶路撒冷。
12:20	约阿士其余的事迹，他行的一切，都记载在犹大列王实录上。
12:21	约阿士的臣仆起来结党谋反，在约阿士下到米罗宫时，将他杀死；
12:22	杀他的是他的臣仆史默阿特的儿子约匝加尔和芍默尔的儿子约匝巴得。他死后，人将他葬在达味城，与祖先埋在一起；他的儿子阿玛责雅继位为王。
	
	
13:0t	第十三章
	
13:1t	约阿哈次为以色列王
13:1 	犹大王阿哈齐雅的儿子约阿士二十三年，耶胡的儿子约阿哈次在撒玛黎雅登极作以色列王，在位凡十七年。
13:2 	他行了上主视为恶的事，随从了乃巴特的儿子雅洛贝罕使以色列陷于罪恶的罪，始终没有离开；
13:3 	因此，上主向以色列大发忿怒，使他们不断处于阿兰王哈匝耳和哈匝耳的儿子本哈达得的权下。
13:4 	约阿哈次便求上主开恩，上主俯听了他，因为他看见以色列实在遭受阿兰王的迫害。
13:5 	上主就赐给以色列一位拯救者，救他们脱离阿兰的权下，使以色列子民像从前一样，安居乐业。
13:6 	但是，他们仍不离开雅洛贝罕家使以色列陷于罪恶的罪，始终走这条路，并且在撒玛黎雅还是供着阿舍辣。
13:7 	因此，上主没有给约阿哈次留下什么军队，只留下了五十骑兵，十辆车和一万步兵；因为阿兰王消灭了他们，使他们如同遭人践踏的尘土。
13:8 	约阿哈次其余的事迹，他的伟大作为和他的英勇，都记载在以色列列王实录上。
13:9 	约阿哈次与先祖同眠，葬在撒玛黎雅；他的儿子耶曷阿士继位为王。
	
13:10t	耶曷阿士为以色列王
13:10	犹大王约阿士三十七年，约阿哈次的儿子耶曷阿士在撒玛黎雅登极作以色列王，在位凡十六年；
13:11	他行了上主视为恶的事，没有离开乃巴特的儿子雅洛贝罕使以色列陷于罪恶的罪，始终走了这条路。
13:12	耶曷阿士其余的事迹，他行的一切，以及他与犹大王阿玛责雅交战时所表现的英勇，都记载在以色列列王实录上。
13:13	耶曷阿士与列祖同眠，雅洛贝罕坐上了他的王位；耶曷阿士与以色列列王同葬在撒玛黎雅。
	
13:14t	厄里叟逝世
13:14	那时，厄里叟患了不治之症，以色列王耶曷阿士下来看他，伏在他面上哭说：「我父，我父！以色列的战车，以色列的骏马！」
13:15	厄里叟对他说：「你取弓箭来！」他就取了弓箭来，
13:16	先知吩咐王说：「将你的手放在弓上！」他就把手放在弓箭上；厄里叟把自己的手按在君王的手上，
13:17	说「你打开朝东的窗户。」他就打开了。厄里叟吩咐说：「射箭！」他就射了箭。厄里叟说：「这是上主胜利的一箭；是战胜阿兰的一箭；你要在阿费克打败阿兰，直到将他消灭。」
13:18	厄里叟又说：「你另取几枝箭来。」他就取了来；先知对王说：「你向地射击！」他射击三次，就停止了。
13:19	天主的人向他发怒说：「你该射击五次或六次，纔能完全打败阿兰，直到将她消灭。但是现在，你只能三次击败阿兰。」
13:20	厄里叟死了，人安葬了他。第二年春，有一群摩阿布游击队来犯国土，
13:21	那时有人正去埋葬一个死人，忽然看见这群游击队，便将死人拋在厄里叟的坟墓里走了。那个死人一接触到厄里叟的骨骸，就复活站起来。
	
13:22t	耶曷阿士三次战胜阿兰
13:22	约阿哈次年间，阿兰王哈匝耳常是压迫以色列人，
13:23	但上主因了同亚巴郎、依撒格和雅各伯所立的盟约，恩待、怜悯、眷顾了以色列人，不愿加以消灭，所以没有将他们从自己面前拋弃。
13:24	阿兰王哈匝耳死后，他的儿子本哈达得继位为王。
13:25	约阿哈次的儿子耶曷阿士从哈匝耳的儿子本哈达得手中，又夺回了他父亲约阿哈次在战争中所失去的城市；耶曷阿士三次击败了他，收复了以色列失去的城市。
	
	
14:0t	第十四章
	
14:1t	阿玛责雅为犹大王
14:1 	以色列王约阿哈次的儿子耶曷阿士二年，约阿士的儿子阿玛责雅登极为犹大王。
14:2 	他登极时二十五岁，在耶路撒冷作王，凡二十九年；他的母亲名叫约阿当，是耶路撒冷人。
14:3 	他行了上主视为正义的事，只是不如他的祖先达味，事事仿效他父亲约阿士，
14:4 	仍然没有废除高丘，人民仍在高丘上焚香献祭。
14:5 	及至王权已掌握在他手中之后，即将弒杀他父王的那些臣仆杀掉；
14:6 	但没有处死凶手们的子女，因为照梅瑟法律书上的记载，上主曾吩咐说：「不可为儿子的罪处死父亲，亦不可为父亲的罪处死儿子；每人只应因自己的罪而死。」
14:7 	阿玛责雅在盐谷击杀了一万厄东人，一战而攻占了色拉，改名叫约刻特耳，直到今日。犹大向以色列宣战。
14:8 	那时，阿玛责雅派遣使者去见以色列王耶胡的孙子，约阿哈次的儿子耶曷阿士说：「来，让我们见个高低！」
14:9 	以色列王耶曷阿士派人去对犹大王阿玛责雅说：「黎巴嫩的荆棘派使者对黎巴嫩的香柏说：将你的女儿嫁给我的儿子为妻！然而有一只黎巴嫩的野兽经过，将这棵荆棘践踏了。
14:10	你打败了厄东，就心高气傲吗﹖你安居家中引以为荣好了，又何必惹祸，使你和犹大一同丧亡﹖」
14:11	但是，阿玛责雅不肯听从，于是以色列王耶曷阿士就上来，在犹大的贝特舍默士与犹大王阿玛责雅相见了。
14:12	犹大为以色列击败，各自逃回帐幕去了。
14:13	以色列王耶曷阿士在贝特舍默士生擒了阿哈齐雅的孙子，约阿士的儿子犹大王阿玛责雅，带到耶路撒冷，将耶路撒冷的城墙，从厄弗辣因门到「角门，」拆了一个缺口，共四百肘；
14:14	又将上主殿内和王宫府库里所有的金银和一切器皿，都拿了去，并带了人质回撒玛黎雅。
14:15	耶曷阿士所行的其它事迹，及他与犹大王阿玛责雅交战时所表现的英勇，都记载在以色列列王实录上。
14:16	耶曷阿士与列祖同眠，与以色列列王同葬在撒玛黎雅。他的儿子雅洛贝罕继位为王。
	
14:17t	阿玛责雅被杀
14:17	以色列王约阿哈次的儿子耶曷阿士死后，犹大王约阿士的儿子阿玛责雅，还活了十五年。
14:18	阿玛责雅其余的事迹，都记载在犹大列王实录上。
14:19	在耶路撒冷有人结党反抗他，他即逃往拉基士，但是叛党派人追到拉基士，在那里将他杀死，
14:20	将尸体用马驮回，葬在耶路撒冷达味城，与他的祖先埋在一起。
14:21	全犹大人民遂选立了十六岁的阿匝黎雅，继他父亲阿玛责雅为王。
14:22	在阿玛责雅王与他的祖先同眠以后，阿匝黎雅将厄拉特收回仍归犹大，加以重建。
	
14:23t	雅洛贝罕第二
14:23	犹大王约阿士的儿子阿玛责雅十五年，以色列王耶曷阿士的儿子雅洛贝罕，在撒玛黎雅登极为王，在位凡四十一年。
14:24	他行了上主视为恶的事，没有离开乃巴特的儿子雅洛贝罕，使以色列陷于罪恶的种种罪恶。
14:25	他收复了以色列边境的疆域，从哈玛特渡口直到阿辣巴海，正如上主以色列的天主，藉他仆人加特赫斐尔人阿米泰的儿子约纳所说的话。
14:26	因为上主看见了以色列遭受压迫，极其痛苦；无论是自由的或不自由的，都没有了；也没有人援助以色列。
14:27	然而上主并没有意思，要从天下除去以色列的名字，因此，藉耶曷阿士的儿子雅洛贝罕拯救了他们。
14:28	雅洛贝罕其余的事迹，他行的一切，他交战时的英勇，以及他如何的攻下了大马士革和收复了哈玛特重归于以色列，都记载在以色列列王实录上。
14:29	雅洛贝罕与祖先以色列列王同眠后，他的儿子则加黎雅继位为王。
	
	
15:0t	第十五章
	
15:1t	阿匝黎雅为犹大王
15:1 	以色列王雅洛贝罕二十七年，阿玛责雅的儿子阿匝黎雅登极为犹大王。
15:2 	他登极时十六岁，在耶路撒冷作王凡五十二年；他母亲名叫耶苛里雅，是耶路撒冷人。
15:3 	阿匝黎雅行了上主视为正义的事，完全像他父亲阿玛责雅所行的一样，
15:4 	只是高丘仍没有废除，人民仍在高丘上焚香献祭。
15:5 	上主打击了君王，君王即患了癞病，直到他死的那一天，独自住在一所王宫里。那时，君王的儿子约堂代理朝事，统治国家的百姓。
15:6 	阿匝黎雅其余的事迹，他行的一切，都记载在犹大列王实录上。
15:7 	阿匝黎雅与祖先同眠，与祖先同葬在达味城；他的儿子约堂继位为王。
	
15:8t	则加黎雅为以色列王
15:8 	犹大王阿匝黎雅三十八年，雅洛贝罕的儿子则加黎雅在撒玛黎雅登极为以色列王，在位六个月；
15:9 	他行了上主视为恶的事，像他的祖先所行的一样，没有离开乃巴特的儿子雅洛贝罕，使以色列陷于罪恶的罪。
15:10	雅贝士的儿子沙隆结党反叛他，在依贝肋罕杀了他，篡位为王。
15:11	则加黎雅其余的事迹都记载在以色列列王实录上。
15:12	这正应验了上主对耶胡所说的话：「你的子孙要坐以色列王位，直到第四代。」
	
15:13t	沙隆为以色列王
15:13	犹大王乌齐雅三十九年，雅贝士的儿子沙隆登极为王，在撒玛黎雅作王一个月。
15:14	那时加狄的儿子默纳恒从提尔匝来到撒玛黎雅，在撒玛黎雅杀了雅贝士的儿子沙隆，篡位为王。
15:15	沙隆其余的事迹和他如何结党谋反，都记载在以色列列王实录上。
15:16	以后，默纳恒从提尔匝出发攻打塔普亚，又攻打其四境，因为人没有给他开城门，所以攻破以后，屠杀了城中所有的人，剖开了所有的孕妇。
	
15:17t	默纳恒为以色列王
15:17	犹大王阿匝黎雅三十九年，加狄的儿子默纳恒登极为以色列王，在撒玛黎雅作王十年，
15:18	行了上主视为恶的事，在他有生之日，始终没有离开乃巴特的儿子雅洛贝罕，使以色列陷于罪恶的罪。
15:19	那时，亚述王普耳前来犯境，默纳恒就送给了普耳一千「塔冷通」银子，要求他扶持自己，巩固自己的王权。
15:20	默纳恒向以色列所有富豪征收银子，每人应缴纳五十「协刻耳，」为进献给亚述王。亚述王于是回去了，没有在境内停留。
15:21	默纳恒其余的事迹，他行的一切，都记载在以色列列王实录上。
15:22	默纳恒与祖先同眠后，他的儿子培卡希雅继位为王。
	
15:23t	培卡希雅为色列王
15:23	犹大王阿匝黎雅五十年，默纳恒的儿子培卡希雅登极为以色列王，在撒玛黎雅作王两年。
15:24	他行了上主视为恶的事，没有离开乃巴特的儿子雅洛贝罕，使以色列陷于罪恶的种种罪恶。
15:25	他的军官，勒玛里雅的儿子培卡黑结党反叛他，同阿尔哥布和阿黎厄，以及与他同谋的五十个基肋阿得人，在撒玛黎雅王宫的堡垒内，将他杀死，篡位为王。
15:26	培卡希雅其余的事迹，他行的一切，都记载在以色列列王实录上。
	
15:27t	培卡黑为以色列王
15:27	犹大王阿匝黎雅五十二年，勒玛里雅的儿子培卡黑登极为以色列王，在撒玛黎雅作王凡二十年。
15:28	他行了上主视为恶的事，没有离开乃巴特的儿子雅洛贝罕，使以色列陷于罪恶的种种罪恶。
15:29	以色列王培卡黑在位时，亚述王提革拉特丕肋色尔前来，侵占了依雍、阿贝耳贝特玛阿加、雅诺亚、刻德士、哈祚尔、基肋阿得、加里肋亚和纳斐塔里全地；并将这些地方的居民都掳往亚述。
15:30	乌齐雅的儿子约堂二十年，厄拉的儿子曷舍亚结党反叛勒玛里雅的儿子培卡黑，杀了他，篡位为王。
15:31	培卡黑其余的事迹，他行的一切，都记载在以色列列王实录上。
	
15:32t	约堂为犹大王
15:32	以色列王勒玛里雅的儿子培卡黑二年，乌齐雅的儿子约堂登极为犹大王。
15:33	他登极时二十五岁，在耶路撒冷作王凡十六年；他的母亲名叫耶鲁沙，是匝多克的女儿。
15:34	约堂行了上主视为正义的事完全像他父亲乌齐雅所行的一样，
15:35	只是高丘仍没有废除，人民仍在高丘上焚香献祭；他建筑了上主圣殿的北门。
15:36	约堂其余的事迹，他行的一切，都记载在犹大列王实录上。
15:37	那时，上主已开始派阿兰王勒斤和勒玛里雅的儿子培卡黑来攻打犹大。
15:38	约堂与祖先同眠，与祖先同葬在他祖先达味城内；他的儿子阿哈次继位为王。
	
	
16:0t	第十六章
	
16:1t	阿哈次为犹大王
16:1 	勒玛里雅的儿子培卡黑十七年，约堂的儿子阿哈次登极为犹大王。
16:2 	他登极时年二十岁，在耶路撒冷作王十六年。他没有像他祖先达味一样，行了上主视他的天主视为正义的事，
16:3 	却走了以色列王的路，仿效上主从以色列子民面前赶走的异民的丑恶之事，令自己的儿女经火献神，
