1.-1t	上编 以色列人出离埃及(1-18)
10.20	上主又使法朗心硬，他仍不肯放走以色列子民。
	
10.21t	第九灾、黑暗
	
10.21	上主对梅瑟说：「将你的手向天伸开，使黑暗降在埃及国。这黑暗似乎可以触摸。」
10.22	梅瑟向天伸开手，浓密的黑暗就降在埃及国，有三天之久。
10.23	三天之内，人彼此不能看见，也不能离开自己的地方；但是以色列子民那边，却有光明照耀他们所住的地方。
10.24	法郎召梅瑟和亚郎来说：「你们去崇拜上主罢! 你们的孩子可与你们同去，只把牛羊留下! 」
10.25	梅瑟回答说：「你本人应该给我们牺牲和全燔祭的祭品，叫我们献于上主我们的天主。
10.26	我们的牲畜也都要跟我们同去，连一个蹄子也不留下，因为我们要用这些来崇拜上主我们的天主；并且未到那里之前，我们还不知道要用什么崇拜上主。」
10.27	上主又使法朗心硬，他仍不肯放走他们。
10.28	法朗对梅瑟说：「离开我去罢! 你要小心，不要再见我面，因为你见我面的那一天，你必要死! 」
10.29	梅瑟回答说：「就照你的话好了! 我再不见你的面。」
	
11.0t	
	
11.1t	第十灾的警告
	
11.1	上主对梅瑟说：「还有一种灾祸，我要降在法朗和埃及人身上，以后他必要释放你们离开此地；他释放你们的时候，是驱逐你们离开此地。
11.2	你要讲给百姓听，叫他们男女各向自己的邻舍要求金银之物。」
11.3	上主使百姓在埃及人前蒙恩，同时梅瑟在埃及国，在法朗的臣仆和百姓眼中，也成了伟大的人物。
11.4	梅瑟说：「上主这样说：半夜时，我要走遍埃及。
11.5	凡埃及国，从坐宝座的法朗的长子，直到推磨的婢女的长子，以及牲畜的一切头胎，都要死亡。
11.6	埃及全国要有大哀号，是从前没有，以后也不会再有的哀号。
11.7	至于以色列子民，连狗也不敢向他们和他们的牲畜吠叫，为叫你们知道，上主已将以色列子民和埃及人分开，
11.8	以后你的这些臣仆全都要到我跟前，跪下哀求我说：你和那跟从你的百姓都去罢! 然后我才离去。」梅瑟气愤愤地离开法郎出去了。
11.9	上主对梅瑟说：「法朗不听从你们，使我的奇迹在埃及国多起来。」
11.10	梅瑟和亚郎在法朗面前行了这些奇迹；但是上主使法朗的心硬，仍不肯放以色列子民离开自己的国家。
	
12.0t	
	
12.1t	逾越节的法律
	
12.1	上主在埃及国训示梅瑟和亚郎说：「
12.2	你们要以本月为你们的正月，为你们算是一年的首月。
12.3	你们应训示以色列会众，本月十日，他们每人照家族准备一只羔羊，一家一只。
12.4	若是小家庭，吃不了一只，家长应和附近的邻居按照人数共同预备，并照每人的饭量估计当吃的羔羊。
12.5	羔羊应是一岁无残疾的公羊，要由绵羊或山羊中挑选。
12.6	把这羔羊留到本月十四日，在黄昏的时候，以色列全体会众便将它宰杀。
12.7	各家都应取些血涂在吃羔羊的房屋的两门框和门楣上。
12.8	在那一夜要吃肉；肉要用火烤了，同无酵饼及苦菜一起吃。
12.9	肉切不可吃生的或水煮的，只许吃火烤的。头、腿和五脏都应吃尽。
12.10	一点也不许留到早晨；若是早晨还有剩下的，都要用火烧掉。
12.11	你们应这样吃：束著腰，脚上穿著鞋，手里拿著棍杖，急速快吃：这是向上主守的逾越节。
12.12	这一夜我要走遍埃及全国，将埃及国一切首生，无论是人是牲畜都要杀死，对于埃及的众神，我也要严加惩罚：我是上主。
12.13	这血在你们所住的房屋上，当作你们的记号：我打击埃及国的时候，一见这血，就越过你们去，毁灭的灾祸不落在你们身上。
12.14	这一天将是你们的纪念日，要当作上主的节日来庆祝；你们要世世代代过这节日，作为永远的法规。
12.15	你们应一连七天吃无酵饼。第一天务要从你们家内将酵子除去，因为从第一天直到第七天，凡吃有酵之物的人，都应从以色列中铲除。
12.16	第一天和第七天应召开圣会；这两天一切劳工都不可作，只准你们准备每人吃的东西。
12.17	你们应守无酵节，因为这一天我领你们的军旅出离了埃及国，所以你们要世世代代守这一天，作为永远的法规。
12.18	从正月十四日晚起，到二十一日晚为止，你们应吃无酵饼。
12.19	七天内，在你们的家内不准有酵子，因为凡吃了有酵之物的，不论他是外方人或是本地人，都应从以色列会众内铲除。
12.20	任何有酵之物，不准你们吃；在你们所居住之处，都应吃无酵饼。」
	
12.21t	逾越节的建立
	
12.21	梅瑟召集了以色列众长老来，向他们说：「你们去为你们的家属准备一只羊，宰杀作逾越节羔羊。
12.22	拿一束牛膝草蘸在盆中血里，用盆中的血，涂在门楣和两旁的门框上；你们中谁也不准离开自己的房门，直到早晨。
12.23	因为上主要经过，击杀埃及人；他一见门楣和两门框上有血，就越过门口，不容毁灭者进你们的房屋。
12.24	你们应遵守这规定，作为你们子孙的永远法规。
12.25	日后你们到了上主许给你们的地方，应守这礼。
12.26	将来你们的子孙若问你们这礼有什么意思，
12.27	你们应回答说：这是献于上主的逾越节祭：当上主击杀埃及人的时候，越过了在埃及的以色列子民的房屋，救了我们各家。」于是百姓都屈膝朝拜。
12.28	以色列子民就去奉行了。上主怎样吩咐了梅瑟和亚郎，他们就怎样作了。
	
12.29t	第十灾、杀长子
	
12.29	那天半夜，上主击杀了埃及所有的长子，从坐宝座的法朗的长子，直到坐监者的长子，以及一切头胎牲畜。
12.30	在这一夜，法朗，他所有的臣仆和全埃及人都起来；在埃及发生了大哀号，因为没有一家不死人的。
12.31	夜间法朗召梅瑟和亚郎来说：「你们和以色列子民都起身离开我的百姓走罢! 照你们所要求的，去崇拜上主罢!
12.32	也照你们所要求的，带著你的羊群牛群去罢! 也为我求祝福。」
12.33	埃及人催迫这百姓赶快离开此地，因为他们说：「我们快要死尽! 」
12.34	百姓便把没有发酵的面团和面盆包在外衣内，背在肩上。
12.35	以色列子民也照梅瑟所吩咐的作了，向埃及人要求金银之物和衣服。
12.36	上主使百姓在埃及人眼中蒙恩，给了他们所要求的；他们这样劫夺了埃及人。
	
12.37t	以色列离埃及
	
12.37	以色列人民从辣默色斯起程向稣苛特进发。步行的男子约六十万，家属不算在内。
12.38	同他们一起走的，还有很多外族人，也带著自己的羊群、牛群和大批的牲畜。
12.39	他们把从埃及带出来的未发酵的面团烤成无酵饼，因为他们急迫离开埃及，不能耽搁，来不及准备行粮。
12.40	以色列子民居留埃及共有四百三十年。
12.41	四百三十年届满的那一天，上主的军旅离开了埃及.。
12.42	这一夜是上主领他们出离埃及所守的一夜，这一夜也是以色列子民世世代代向上主当守的一夜。
	
12.43t	参与逾越节宴的法律
	
12.43	上主向梅瑟和亚郎说：「有关逾越节祭餐的法规如下：任何外方人不准参加这祭餐。
12.44	凡用钱买来的奴隶，受过割损礼后，方可参加。
12.45	旅客和佣工不得参加。
12.46	应在同一间房屋内吃尽，不可将肉块带到屋外，也不可将骨头折断。
12.47	以色列全会众都应举行此祭餐。
12.48	若有同你在一起居住的外方人，愿向上主举行逾越节祭餐，他家所有的男子应受割损礼，然后才准前来举行，如本地人一样；但未受割损礼的人决不许参加。
12.49	本地人和住在你们中间的外方人同属一例。」
12.50	全以色列子民就都奉行了。上主怎样吩咐了梅瑟和亚郎，他们就怎样作了。
12.51	就在这一天，上主将以色列子民一队一队地领出了埃及。
	
13.0t	
	
13.1t	奉献长子的法律
	
13.1	上主训示梅瑟说：「
13.2	以色列子民中，无论是人或牲畜，凡是开胎首生的，都应祝圣于我，属于我。」
13.3	梅瑟向百姓说：「你们应当记念从埃及，从为奴之家出来的这一天，因为上主在这一天用强有力的手臂，从那里领出了你们，故此不可吃有酵的食物。
13.4	今天你们出来正在「阿彼布」月。
13.5	几时上主领你们进了客纳罕人、赫特人、阿摩黎人、希威人和耶步斯人的地方，就是他向你的祖先起誓应许给你那流奶流蜜之地，你应在这一月举行此礼：
13.6	七天之内应吃无酵饼，第七天是敬礼上主的节日。
13.7	七天之内吃无酵饼，在你面前不可有发酵之物，在你四境之内也不可见有酵母。
13.8	在那一天要告诉你们的儿子说：是因为上主在我出埃及时，为我所行的事。
13.9	应把这事做你手上的记号，做你额上的记念，好使上主的法律常在你口中，因为上主用强有力的手臂，领你出了埃及。
13.10	所以你应年年按照定期遵守这规定。
13.11	当上主照他起誓向你和你祖先所许的话，领你到了客纳罕人的地方，将那地给了你之后，
13.12	你应将一切开胎首生者归于上主；你牲畜中，凡开胎首生的牲畜，亦应归于上主。
13.13	凡首生的驴，应用羊赎回；你若不赎回，应打断它的颈项。你的子孙中，凡是长子，你应赎回。
13.14	将来若你的儿子问你：这是什么意思？你要回答他说：这是因为上主用强有力的手臂领我们出离了埃及，出离了为奴之家。
13.15	原来法朗顽固，不释放我们，上主就把埃及国一切首生者，不拘是人或牲畜的首生者都杀了，为此我把一切首开母胎的雄性都祭献于上主；但首生的男孩，我却要赎回。
13.16	应将这事作你手上的记号，作你额上的标志，记念上主用强有力的手臂领我们出了埃及。」
	
13.17t	往红海进行
	
13.17	法朗放走百姓以后，天主没有领他们走培肋舍特地的近路，因为上主想：「怕百姓遇见战争而后悔，再回到埃及。」
13.18	因此天主领百姓绕道，走向靠红海的旷野。以色列子民都武装著离开了埃及。
13.19	梅瑟也带了若瑟的骨骸，因为若瑟曾叫以色列的儿子们起誓说：「天主必要眷顾你们，那时你们应把我的骨骸从此地带回去。」
13.20	他从稣苛特起程前行，就在位于旷野边缘的厄堂安了营。
13.21	上主在他们前面行，白天在云柱里给他们领路，夜间在火柱里光照他们，为叫他们白天黑夜都能走路：
13.22	白天的云柱，黑夜的火柱，总不离开百姓面前。
	
14.0t	
	
14.1t	从厄堂到红海
	
14.1	上主训示梅瑟说：「
14.2	你吩咐以色列子民转回，在米革多耳及海之间的丕哈希洛特前，面对巴耳责丰安营，即在巴耳责丰之前，靠近海边安营。
14.3	如此，法朗必然以为以色列子民在国境内迷了路，旷野困住了他们。
14.4	我要使法郎心硬，在后面追赶他们，这样我将在法郎和他全军身上，大显神能，使埃及人知道我是上主。」以色列子民就照样作了。
	
14.5t	法郎追赶以色列
	
14.5	有人报告埃及王说：那百姓逃走了。法郎和他的臣仆对那百姓变了心，说：「我们放走以色列人，不再给我们服役，这是作的什么事？」
14.6	法郎遂命人准备他的车，亲自率领兵士，
14.7	还带了六百辆精良战车和埃及所有的战车，每辆车上都有战士驾驶。
14.8	上主使埃及王法郎心硬，在后面追赶以色列子民；当以色列子民大胆前行的时候，
14.9	埃及人在后面追赶他们，法郎所有的车马、骑士和步兵就在靠近丕哈希洛特，巴耳责丰对面，以色列子民安营的地方赶上了。
14.10	当法郎来近的时候，以色列子民举目，看见埃及人赶来，都十分恐怖，向上主哀号，
14.11	也向梅瑟说：「你带我们死在旷野里，难道埃及没有坟墓吗？你为什么这样待我们，将我们从埃及领出来？
14.12	我们在埃及不是对你说过这话：不要扰乱我们，我们甘愿服侍埃及人，服侍埃及人比死在旷野里还好啊! 」
14.13	梅瑟向百姓说：「你们不要害怕，站著别动，观看上主今天给你们施的救恩，因为你们所见的埃及人，永远再见不到了。
14.14	上主必替你们作战，你们应安静等待。」
	
14.15t	过红海
	
14.15	上主向梅瑟说：「你为什么向我哀号，吩咐以色列子民起营前行。
14.16	你举起棍杖，把你的手伸到海上，分开海水，叫以色列子民在海中乾地上走过。
14.17	你看，我要使埃及人的心硬，在后面追赶以色列子民；这样我好在法郎和他全军，战车和骑兵身上，大显神能。
14.18	我向法郎，向他的战车和骑兵大显神能的时候，埃及人将会知道我是上主。」
14.19	在以色列大队前面走的天主的使者，就转到他们后面走，云柱也从他们前面转到他们后面停下，
14.20	即来到埃及军营和以色列军营中间；那一夜云柱一面发黑，一面发光，这样整夜军队彼此不能接近。
14.21	梅瑟向海伸手，上主就用极强的东风，一夜之间把海水刮退，使海底成为乾地。水分开以后，
14.22	以色列子民便在海中乾地上走过，水在他们左右好像墙壁。
	
14.23t	埃及人沉没海中
	
14.23	随后埃及人也赶来，法郎所有的马、战车和骑兵，都跟著他们来到海中。
14.24	到了晨时末更，上主在火柱和云柱上，窥探埃及军队，使埃及的军队混乱。
14.25	又使他们的车轮脱落，难以行走，以致埃及人说：「我们由以色列人前逃走罢! 因为上主替他们作战，攻击埃及人。」
14.26	上主对梅瑟说：「向海伸出你的手，使水回流到埃及人、他们的战车和骑兵身上。」
14.27	到了天亮，梅瑟向海伸手，海水流回原处；埃及人迎著水逃跑的时候，上主将他们投入海中。
14.28	回流的水淹没了法郎的战车、骑兵和跟著以色列子民来到海中的法郎军队，一个人也没有留下。
14.29	但是以色列子民在海中乾地上走过去，水在他们左右好像墙壁。
14.30	这样上主在那一天从埃及人手中拯救了以色列人。以色列人看见了埃及人的尸首浮在海边上。
14.31	以色列人见上主向埃及人显示的大能，百姓都敬畏上主，信了上主和他的仆人梅瑟。
	
15.0t	
	
15.1t	凯旋歌
	
15.1	那时梅瑟和以色列子民唱了这篇诗歌，歌颂上主说：我要歌颂上主，因他获得全胜，将马和骑士投于海中。
15.2	上主是我的力量和保障，他作了我的救援。他是我的天主，我要颂扬他；是我祖先的天主，我要赞美他。
15.3	上主是战士，名叫「雅威。」
15.4	法郎的战车军队，他投于海中，使他的良将沉于红海。
15.5	浪涛淹没了他们，像大石沉入海底。
15.6	上主，你的右手大显神能；上主，你的右手击碎了敌人。
15.7	以你无比的威严，毁灭了你的敌人；你发出的怒火，烧灭他们像烧麦楷。
15.8	你鼻孔一喷气，大水聚集，浪涛直立如堤，深渊凝固于海心。
15.9	仇人说：「我要追击擒获，分得猎物，才心满意足；我要拔刀出鞘，亲手斩灭。」
15.10	但你一嘘气，海将他们覆没，像铅沉入深渊。
15.11	上主，众神谁可与你相比？谁能像你那样，神圣尊威，光荣可畏，施行奇迹!
15.12	你伸出右手，大地就吞了他们；
15.13	以你的慈爱，领出了你所救的百姓；凭你的能力，领他们进入了你的圣所。
15.14	外邦听了，必惊慌颤栗，恐怖笼罩了培肋舍特居民；
15.15	那时厄东的酋长惊惶失措，摩阿布的首领吓得发抖，客纳罕的居民胆颤心寒。
15.16	惊慌与恐怖降在他们身上；因你大能的手臂，他们像石块僵立不动，直到你的百姓走过，上主! 直到你所救赎的百姓走过。
15.17	上主，你引领他们，吾主，在你为物业的山上，在你为自己准备的住所，在你亲手建立的圣所，培植了他们。
15.18	上主为王，万世无疆!
15.19	法郎的马、战车和骑兵一到海中，上主就使海水回流，淹没了他们；以色列子民却在海中乾地上走过。
15.20	此时亚郎的姐妹女先知米黎盎手中拿著鼓，众妇女也都跟著她，拿著鼓舞蹈。
15.21	米黎盎应和他们说：「你们应歌颂上主，因他获得全胜，将马和骑士投入海中。」
	
15.22t	变苦水为甜水
	
15.22	以后梅瑟命以色列人由红海起营，往叔尔旷野去；他们在旷野里走了三天，没有找到水。
15.23	随后，到了玛辣，但不能喝玛辣的水，因为水苦；因此称那地为玛辣。
15.24	那时百姓抱怨梅瑟说：「我们喝什么呢？」
15.25	梅瑟遂呼号上主，上主便指给他一块木头；他把木头扔在水里，水就变成甜水。上主在那里给百姓立定了法律和典章，也在那里试探了他们。
15.26	上主说：「你若诚心听从上主你天主的话，行他眼中视为正义的事，服从他的命令，遵守他的一切法律，我决不把加于埃及人的灾殃，加于你们，因为我是医治你的上主。」
15.27	以后他们到了厄林，那里有十二股水泉，七十棵棕树。他们便在那里靠近水边安了营。
	
16.0t	
	
16.1t	百姓再抱怨
	
16.1	以色列子民全会众从厄林起程，来到厄林和西乃之间的欣旷野，时在离埃及后第二月第十五日。
16.2	以色列子民全会众在旷野里都抱怨梅瑟和亚郎。
16.3	以色列子民向他们说：「巴不得我们在埃及国坐在肉锅旁，有食物吃饱的时候，死在上主的手中! 你们领我们到这旷野里来，是想叫这全会众饿死啊! 」
16.4	上主向梅瑟说：「看，我要从天上给你们降下食物，百姓要每天出去收敛当日所需要的，为试探他们是否遵行我的法律。
16.5	但到第六天，他们准备带回来的食物要比每天多一倍。」
16.6	梅瑟和亚郎对全以色列子民说：「今晚你们要知道，是上主领你们出了埃及国；
16.7	明早你们要看见上主的荣耀，因为你们抱怨上主的话，他已听见了。我们算什么？你们竟抱怨我们! 」
16.8	梅瑟又说：「晚上上主要给你们肉吃，早晨你们可以吃饱，因为上主听见了你们抱怨他所说的怨言。我们算什么？你们不是抱怨我们，而是抱怨上主。」
	
16.9t	玛纳
	
16.9	梅瑟向亚郎说：「你向以色列子民全会众说：你们应走到上主前，因为他听见了你们的怨言。」
16.10	亚郎正向以色列子民全会众说话的时候，他们转面朝向旷野，看见上主的荣耀显现在云彩中。
16.11	那时上主向梅瑟说：「
16.12	我听见了以色列子民的怨言。你给他们说：黄昏的时候你们要有肉吃，早晨要有食物吃饱，这样你们就知道，我是上主，你们的天主。」
16.13	到了晚上，有鹌鹑飞来，遮盖了营幕；到了早晨，营幕四周落了一层露水。
16.14	露水升化之后，在旷野的地面上，留下稀薄的碎屑，稀薄得好像地上的霜。
16.15	以色列子民一见，就彼此问说：「这是什么？」原来他们不知道这是什么。梅瑟告诉他们说：「这是上主赐给你们吃的食物。
16.16	上主曾这样吩咐说：你们应按每人的食量去收敛，按照你们帐幕的人数去拾取，每人一「曷默耳。」
16.17	以色列子民就照样作了；收敛的时候，有的多，有的少，
16.18	但他们用「曷默耳」冲量时，那多收的，也没有剩余；那少收的，也没有缺少；各人正按他们的食量收敛了。
16.19	梅瑟向他们说：「谁也不准将一些留到早晨。」
16.20	但他们没有听梅瑟的话；有些人把一些留到早晨，但都被虫子咬烂，发生臭味；梅瑟遂向他们发怒。
16.21	于是他们每天早晨按各人的食量去收敛；太阳一发热，就融化了。
16.22	到了第六天他们收敛了两倍的食物，每人二「曷默耳；」会众的首领来向梅瑟报告此事。
16.23	梅瑟向他们说：「上主曾这样吩咐说：明天是安息日；是祝圣于上主的安息圣日；你们要烤的就烤罢! 要煮的，就煮罢! 凡吃了剩下的，应保留到次日。」
16.24	他们就照梅瑟所吩咐的，把吃下剩下的，留到次日也没有发臭，，也没有虫咬。
16.25	梅瑟说道：「今天吃这些罢! 因为今天是敬畏上主的安息日，今天在野外什么也找不到。
16.26	六天你们可去收敛，但第七天是安息日，什么也没有。」
16.27	到了第七天，百姓中有人去收敛，但什么也没有找到。
16.28	上主向梅瑟说：「你们不守我的命令和我的法律要到何时呢？
16.29	看上主给你们立了安息日，为此到第六天他给你们两天的食物；到第七天各人都应留在家内，不准任何人离开自己的地方。」
16.30	这样百姓在第七天守了安息日。
16.31	以色列家给这食物取名叫「玛纳。」它像胡荽的种子那样白，滋味好似蜜饼。
16.32	梅瑟说：「上主这样吩咐说：装满一「曷默耳」玛纳，留给你们的后代子孙，为使他们能看到我领你们出离埃及国时，在旷野里养活你们的食物。」
16.33	梅瑟向亚郎说：「拿一个罐子，装满一「曷默耳」玛纳，放在上主面前，留给你们的后代子孙。」
16.34	亚郎就照上主吩咐梅瑟的话，将玛纳放在约版前面，保留起来。
16.35	以色列子民吃玛纳四十年之久，直到进入有人居住的地方为止；他们吃玛纳，直到进入客纳罕地的边界。
16.36	一「曷默耳」是一「厄法」的十分之一。
	
17.0t	
	
17.1t	击石出水
	
17.1	以色列子民全会众按照上主的吩咐，由欣旷野起程，一站一站地前行，然后在勒非丁安了营。在那里百姓没有水喝，
17.2	因此百姓和梅瑟争吵说：「给我们水喝罢! 」梅瑟回答他们说：「你们为什么与我争吵，为什么试探上主？」
17.3	因百姓在那里渴望水喝，就抱怨梅瑟说：「你为什么从埃及领我们上来？难道要使我们，我们的子女和牲畜都渴死吗？」
17.4	梅瑟向上主呼号说：「我要怎样对待这百姓呢？他们几乎愿用石头砸死我! 」
17.5	上主回答梅瑟说：「你到百姓面前去，带上几个以色列长老，手中拿著你击打尼罗河的棍杖去!
17.6	看，我要在你面前站在曷勒布那里的磐石上，你击打磐石，就有水流出来，给百姓喝。」梅瑟就在以色列的长老眼前照样作了。
17.7	他称那地方为玛撒和默黎巴，因为以色列子民在那里争吵过，并试探过上主说：「上主是否在我们中间？」
	
17.8t	与阿玛肋克人作战
	
17.8	那时有阿玛肋克人，在非勒丁同以色列人作战。
17.9	梅瑟向若苏厄说：「你给我们选拔壮丁，明天去同阿玛肋克人作战，我手中拿著天主的棍杖，站在这高冈顶上。」
17.10	若苏厄就照梅瑟吩咐他的作了，去同阿玛肋克作战；同时梅瑟、亚郎和胡尔上了那高冈顶上。
17.11	当梅瑟举手的时候，以色列就打胜仗；放下手的时候，阿玛肋克就打胜仗。
17.12	终于梅瑟的手举疲乏了。他们就搬了块石头来，放在他下边，叫他坐下，亚郎和胡尔，一边一个托著他的手：这样他的手举著不动，直到日落的时候。
17.13	于是若苏厄用刀剑打败了阿玛肋克和他的人民。
17.14	上主向梅瑟说：「将这事写在书上作为记念，并训示若苏厄，我要从天下把阿玛肋克的记念完全消灭。」
17.15	梅瑟筑了一座祭坛，给它起名叫「雅威尼息，」
17.16	说「向上主的旌旗举手，上主必世世代代与阿玛肋克作战。」
	
18.0t	
	
18.1t	耶特洛来见梅瑟
	
18.1	梅瑟的岳父，米德杨的司祭耶特洛，听说天主为梅瑟和自己的百姓以色列所行的一切，听说上主将以色列人领出了埃及，
18.2	梅瑟的岳父耶特洛便带回梅瑟送回去的妻子漆颇辣和
18.3	他两个儿子：──一个名叫革尔雄，因为梅瑟说：「我在外方作了旅客；」
18.4	一个名叫厄里厄则尔，意谓：「我父亲的天主是我的救援，救我脱离了法朗的刀剑。」──
18.5	梅瑟的岳父耶特洛同梅瑟的儿子和妻子来到了梅瑟那里，来到旷野，近天主的山，梅瑟安营的地方，
18.6	便叫人告诉梅瑟说：「看，你的岳父耶特洛来见你，你的妻子和两个儿子也一同来了。」
18.7	梅瑟就出来迎接他的岳父，向他下拜，口亲他，彼此问安，随后进了营幕。
18.8	梅瑟给他岳父讲述了上主为以色列的原故，对法朗和埃及人所行的一切，以及路上遭遇的一切困难，上主怎样拯救了他们。
18.9	耶特洛听了上主赐给以色列的各种恩惠，从埃及人手中拯救了他们，很是高兴。
18.10	耶特洛说：「上主应受赞颂，他从埃及人和法朗手中拯救了你们，由埃及人手中救出了这百姓。
18.11	现今我知道「雅威」是众神中最大的，因为他由那些傲慢对待以色列人的埃及人手中，救出这百姓。」
18.12	梅瑟的岳父耶特洛向天主献了全燔祭和牺牲，亚郎和以色列众长老都来到天主前，同梅瑟的岳父聚餐。
	
18.13t	耶特洛的建议
	
18.13	次日，梅瑟坐著审判百姓的案件，百姓从早晨到晚上站在梅瑟前。
18.14	梅瑟的岳父看见他对百姓所行的种种，就说：「你对百姓所作的是什么事？为什么你独自一人管理，叫众百姓从早晨到晚上站在你前？」
18.15	梅瑟回答他岳父说：「因为百姓到我跟前询问天主。
18.16	他们有诉讼的事，就来到我跟前，我便在两造之间施行审判，讲明天主的典章和法律。」
18.17	梅瑟的岳父对他说：「你这样作不对。
18.18	这不但使你自己疲乏，而且也使你同你一起的百姓疲劳不堪，因为这事超过你的力量，你独自一人是不能胜任的。
18.19	现在你听我的话，我给你出一个主意。愿天主与你同在! 你在天主前代表这个百姓，将他们的案件呈到天主前；
18.20	也将典章和法律教训他们，告诉他们应走的正路，应行的事项。
18.21	你要从百姓中挑选有才能，敬畏天主，忠实可靠，舍己无私的人，派他们作千夫长、百夫长，五十夫长、十夫长，
18.22	叫他们随时审断百姓的案件。若有任何重大案件，呈交你处理；其余一切小案件，可由他们自己处理；叫他们与你分担，你就轻松多了。
18.23	你若这样作，──天主也这样命你──你就抵受得住，众百姓也能平安，各归其所。」
18.24	梅瑟听从了他岳父的话，也都照他说的行了。
18.25	梅瑟从全以色列人中选拔了有才能的人，立他们作百姓的头目，作千夫长、百夫长、五十夫长和十夫长，
18.26	叫他们随时审断百姓的案件；重大的案件，呈交梅瑟处理；一切小案件，由他们自己处理。
18.27	以后梅瑟送他岳父回了本地。
	
19.-1t	中编 颁布约书(19-24)
	
19.0t	
	
19.1t	西乃山下预告立约
	
19.1	以色列子民离开埃及国后，第三个月初一那一天，到了西乃旷野。
19.2	他们从勒非丁起程，来到西乃旷野，就在旷野中安了营；以色列人在那座山前安了营。
19.3	梅瑟上到天主前，上主从山上召唤他说：你要这样告诉雅各伯家，训示以色列子民说：
19.4	你们亲自见了我怎样对待了埃及人，怎样好似鹰将你们背在翅膀上，将你们带出来归属我。
19.5	现在你们若真听我的话，遵守我的盟约，你们在万民中将成为我的特殊产业。的确，普世全属于我，
19.6	但你们为我应成为司祭的国家，圣洁的国民。你应将这话训示以色列子民。」
19.7	梅瑟就去召集百姓的长老，将上主吩咐他的那一切话，都在他们前说明了。
19.8	众百姓一致回答说：「凡上主所吩咐的，我们全要作。」梅瑟遂将百姓的答覆转达于上主。
19.9	上主向梅瑟说：「我要在浓云中降到你前，叫百姓听见我与你谈话，使他们永远信服你。」梅瑟遂向上主呈报了百姓的答覆。
	
19.10t	结约的准备
	
19.10	上主向梅瑟说：「你到百姓那里，叫他们今天明天圣洁自己，洗净自己的衣服。
19.11	第三天都应准备妥当，因为第三天，上主要在百姓观望之下降到西乃山上。
19.12	你要给百姓在山周围划定界限说：应小心，不可上山，也不可触摸山脚；凡触摸那山的，应处死刑。
19.13	谁也不可用手触摸那人，而应用石头砸死或用箭射死；不论是兽是人，都不得生存；号角响起的时候，他们才可上山。」
19.14	梅瑟下山来到百姓那里，叫他们圣洁自己，洗净自己的衣服。
19.15	他向百姓说：「到第三天应准备妥当，不可接近女人。」
	
19.16t	天主显现
	
19.16	到了第三天早晨，山上雷电交作，浓云密布，角声齐鸣，此时在营中的百姓都战战兢兢。
19.17	梅瑟叫百姓从营中出来迎接天主，他们都站在山下。
19.18	此时西乃全山冒烟，因为上主在火中降到山上；冒出的烟像火窑的烟，全山猛烈震动。
19.19	角声越响越高；梅瑟遂开始说话，天主藉雷霆答覆他。
19.20	上主降到西乃山顶上，召梅瑟上到山顶；梅瑟就上去了。
19.21	上主向梅瑟说：「下去通告百姓：不可闯到上主面前观看，免得许多人死亡。
19.22	连那些接近上主的司祭们，也应圣洁自己，免得上主击杀他们。」
19.23	梅瑟答覆上主说：「百姓不能上西乃山，因你自己曾通告我们说：要在山的四周划定界限，也宣布这山是不可侵犯的。」
19.24	上主向他说：「下去，你同亚郎一起上来，但司祭和百姓不可闯到上主前，免得我击杀他们。」
19.25	梅瑟便下到百姓那里，通知了他们。
	
20.0t	
	
20.1t	颁布十诫
	
20.1	天主训示以下这一切话说：「
20.2	我是上主你的天主，是我领你出了埃及地、奴隶之所。
20.3	除我之外，你不可有别的神。
20.4	不可为你制造任何彷佛天上、或地上、或地下水中之物的雕像。
20.5	不可叩拜这些像，也不可敬奉，因为我，上主，你的天主是忌邪的天主；凡恼恨我的，我要追讨他们的罪，从父亲直到儿子，甚至三代四代的子孙。
20.6	凡爱慕我和遵守我诫命的，我要对他们施仁慈，直到他们的千代子孙。
20.7	不可妄呼上主你天主的名；因为凡妄呼他名的人，上主决不让他们免受惩罚。
20.8	应记住安息日，守为圣日。
20.9	六天应该劳作，作你一切的事；
20.10	但第七天是为恭敬上主你的天主当守的安息日；你自己、连你的儿女、你的仆婢、你的牲口，以及在你中间居住的外方人，都不可作任何工作。
20.11	因为上主在六天内造了天地、海洋和其中一切，但第七天休息了，因此上主祝福了安息日，也定为圣日。
20.12	应孝敬你的父亲和你的母亲，好使你在上主你的天主赐给你的地方，延年益寿。
20.13	不可杀人。
20.14	不可奸淫。
20.15	不可偷盗。
20.16	不可作假见证，害你的近人。
20.17	不可贪你近人的房舍。不可贪恋你近人的妻子、仆人、婢女、牛驴及你近人的一切。
20.18	众百姓看见打雷、打闪、吹角、冒烟的山，都战兢害怕，远远站著，
20.19	对梅瑟说：「你同我们说话罢! 我们定要听从，不要天主同我们说话，免得我们死亡。」
20.20	梅瑟回答百姓说：「不要害怕! 因为天主降临是为试探你们，使你们在他面前常怀敬畏之情，不致犯罪。」
20.21	百姓远远站著，梅瑟却走近天主所在的浓云中。
	
20.22t	指示修建祭坛
	
20.22	上主向梅瑟说：「你这样训示以色列子民说：你们亲自见过我从天上同你们说了话。
