1.-1t	德训篇
11.35	要谨防作恶的人，因为他图谋邪恶的事，免得他加给你永远的耻辱。
11.36	若你在家收留外人，他必作乱推翻你，夺取你的家产。
	
	
12.0t	第十二章(19)
	
12.1t	施舍要慎重
12.1	你若施惠，应知道你是向谁施恩；这样你才能因你的恩惠，大得人心。
12.2	对虔敬的人要施恩，这样，你必会获得大酬报；若你得不到他的酬报，必会蒙受至高者的酬报。
12.3	习惯于行恶，而不肯施舍的人，对自己绝无好处，因为至高者憎恨罪人，而怜悯悔改的人。
12.4	你要施恩给虔敬的人，不要帮助罪人；存留不虔敬者和罪人到报复日子的天主，必要报复他们。
12.5	你要施恩与善人，不必收留不虔敬的人。
12.6	你要施恩与谦虚的人，不要施舍不虔敬的人，要拒绝给他食物，怕他因此制胜你；
12.7	因为，在你对他所施的一切恩惠中，你要得到双重的祸患；原来至高者憎恨罪人，要向不虔敬的人复仇。
	
12.8t	如何分辨真假朋友
12.8	幸福时，不能辨别朋友；不幸时，仇人不能隐藏。
12.9	人一幸福，他的仇人就闷闷不乐；一遇灾难，朋友也会离去。
12.10	总不要信赖你的仇敌，因为他的恶毒有如生锈的铜铁。
12.11	即使他显示谦和，屈躬而行，你仍要留神，提防他；你对他要像一个擦亮镜子的人；你将会看见锈的下面有什么东西。
12.12	不要让他立在你的身旁，免得他推倒你，而占据你的位置；不要任他坐在你的右边，免得他图占你的座位；你终究会明白我的话，对我的话，你会感到心疚。
12.13	谁同情被蛇咬伤的术士﹖谁同情亲近野兽的人﹖与恶人同行，而陷入他邪恶的人，亦无人怜惜。
12.14	他一时与你相处，但你一落魄，他决不扶持你。
12.15	仇敌的口舌出言甜蜜，但心里却打算将你推入陷阱；
12.16	他眼中流泪，但时机一到，就是流你的血，还嫌不够。
12.17	若你遇着灾难，首先到你面前的，就是他；
12.18	他眼中流泪，彷佛是来扶助你，其实，他是来绊你的脚；
12.19	那时，他就要摇头鼓掌，出言不逊，现出他原来的面目。
	
	
13.0t	第十三章(32)
	
13.1t	谨慎与富贵人交接
13.1	凡触摸沥青的，必被沥青玷污；凡与骄傲人交接的，必为他所同化。
13.2	不要肩负超过你力量的重担；不要与那比你强大富有的人交接。
13.3	瓦罐和铁锅怎能相交﹖铁锅一碰瓦罐，瓦罐就破碎了。
13.4	富贵人侮辱了人，还怒不可遏；贫穷人受了侮辱，反得向人谢罪!
13.5	若你为他有用，他就利用你；若你一无所有，他就要拋弃你。
13.6	若你富有，他就与你相处，即使耗尽了你的财产，也不惋惜。
13.7	他需要你时，就欺骗你，向你媚笑，使你相信他，并大放厥辞，向你说：你缺少什么﹖
13.8	等到他再三剥削你以后，就用他的食物来羞辱你，最后还要嘲笑你；从此以后，几时见到你，就躲开你，还向你大摇其头。
13.9	你在天主面前要自谦，等待他的援手。
13.10	小心不要受人诱惑；昌盛时，小心不要堕落。
13.11	你具有智慧，不要虚心谦让，怕你因示弱，而被人愚弄。
13.12	若有权势的人召叫你，你当引退；如此，他反而更加招呼你。
13.13	不可强求，免得你被人赶走；但也不可远离他，免得你被人忘掉。
13.14	不要以平等方式与他讲话，也不要相信他那许多话，因为他要用许多言辞试探你，面带笑容，打听你的秘密。
13.15	他是一个残忍的人，对你的话，决不保守秘密，也不惜用刑罚和锁链来处置你。
13.16	你该小心，对你听来的话务要谨慎，因为你是在丧亡的危险中行走。
13.17	对你听见的事，当视为梦中事，但是你要小心提防。
13.18	你一生该爱慕天主，呼号他拯救你。
	
13.19t	应与地位平等的人交友
13.19	一切动物都爱自己的同类；同样，人也各爱与自己相近的人。
13.20	一切生物都和自己的同类相交；人也各与自己相似的人交结。
13.21	豺狼与羔羊，岂能有友谊﹖同样，罪人与义人，也不能有交情。
13.22	鬣狗与犬怎能相和﹖财主与穷人又怎能相安无事﹖
13.23	旷野里的野驴，是狮子的猎物；同样，贫穷人是财主的鱼肉。
13.24	骄傲人憎恨谦卑自下；同样，富贵人厌恶贫穷人。
	
13.25t	对待贫富竟有分别
13.25	富人一动摇，就有朋友来扶持；穷人一落魄，却为朋友所拋弃。
13.26	富人一失败，就有许多人来扶助，纵然他口出狂言，还以他为义人；
13.27	穷人一失败，反更受人责斥，虽然他说话条理分明，却无人理会。
13.28	富贵人一开口，众人都鸦雀无声，还把他的话高举云表；
13.29	贫穷人一发言，人就问：「他是什么人﹖」如果他一失言，人就把他推翻。
	
13.30t	好心的福乐
13.30	人良心上若没有罪过，财物才算美好；在不虔敬的人口里，贫穷是最坏的。
13.31	人向善或向恶的心，都能改变自己的面容。
13.32	春风满面是好心肠的凭据；寻求箴言，必要劳心思索。
	
	
14.0t	第十四章(27)
14.1	口不失言，又问心无愧的，是有福的人。
14.2	不受良心谴责，而又不失望的，是有福的人。
	
14.3t	躲避悭吝
14.3	财产为吝啬的人，没有好处；嫉妒的人虽有黄金，又有什么用﹖
14.4	过于俭省的人，是替人积蓄；他的财物，必被人浪费。
14.5	虐待自己的，怎能善待他人﹖他决不会享受他自己的财物。
14.6	没有比吝啬而自残的人，更为卑劣；这是他自作孽的报应。
14.7	纵使他行了善事，也是出于偶然，并非自愿，最后，他的邪恶终于暴露。
14.8	吝啬人见人就嫉妒，转脸轻视人。
14.9	贪得无厌的眼睛，看自己所得的一份，总是不够；不义的恶毒，麻木了他的心灵。
14.10	贪得无厌的人，吝惜饮食，他的餐桌上，几乎一无所有。
	
14.11t	为己为人死前都应行善
14.11	我儿，该按你所有，好待你自己，并向上主奉献相称的祭品。
14.12	要记住：死亡决不迟延，阴府的约期，你又无从得知。
14.13	未死以前，你要厚待你的朋友，按你的力量，伸手加惠于他。
14.14	不应取消你佳节的喜乐，连一点好希望，也不要轻易放过。
14.15	难道你把你劳碌所得的留给别人﹖难道把你辛苦所得的，叫别人抽签分得﹖
14.16	你要施舍，也要收受，总要使你的心灵愉快。
14.17	死前你应履行正义，因为在阴府里，无福可寻。
14.18	凡有血肉的，有如衣服，逐渐陈旧，因为自古以来的定案是：你一定要死；又如葱茏的树上发的枝叶，
14.19	有雕零的，有发芽的，有血肉的种类也是如此：这人死去，那人出生。
14.20	各种腐败的工程，毕竟都要被遗弃，它的作者也要随之而去；
14.21	但一切优良的事业，必为人所公认，它的作者也要与它共享光荣。
	
14.22t	寻求智慧的人是有福的
14.22	凡默思智慧，常注视明智，并思念天主鉴临的是有福的人
14.23	他心中思念智慧的途径，想了解她的奥秘。他彷佛一个侦探，追随在她的后边，潜伏在她的路口，
14.24	从她的窗外窥视，在她的门口倾听，
14.25	贴近她的房屋休息，在她的墙上钉上木橛，以便在她旁边，搭起自己的帐幕，而在那幸福的房舍内永久安息。
14.26	他把自己的儿女，安置在智慧的荫庇下，要在她的枝叶下留宿，
14.27	在她的阴凉下避暑，在她的光荣中安息。
	
	
15.0t	第十五章(22)
	
15.1t	获得智慧的人是有福的
15.1	敬畏上主的，必如此而行；谨守法律的，必获得智慧。
15.2	智慧有如一位荣耀的母亲来迎接他，又如一位童贞的新娘收留他，
15.3	要用生命和明智的食物养育他，用有益的智慧之水，给他当饮料。他依靠智慧，便不致动摇；
15.4	他信赖智慧，就不致受辱。智慧要举扬他，超越他的同伴；
15.5	在集会中，使他开口发言，使他充满上智聪敏之神，叫他穿上光荣的长袍，
15.6	使他获得喜乐和愉快的冠冕，叫他承受名垂千古的基业。
15.7	愚昧人不会接受智慧，明智人却去迎接她，罪人决不会见到她，因为，智慧远离骄傲和欺诈。
15.8	说谎的人不会思念她；但诚实的人必能寻见她，直到天主来视察时，他们必有所成就。
15.9	赞颂在罪人口里，是不适宜的，因为不是来自上主；
15.10	原来赞颂须本于智慧，具有智慧的人，才能教给人智慧。因为智慧来自天主，天主的赞颂常伴随智慧；忠信人的口，必洋溢着这样的赞颂，主宰也必赐给他这样的赞颂。
	
15.11t	人无智慧的缘故
15.11	你不要说：「是上主使我没有智慧。」因为，上主不作自己憎恶的事。
15.12	你也不要说：「他迷惑了我。」因为，他用不着罪人。
15.13	凡是可恶的事，上主都憎恨，也不许敬畏他的人遇着这些事。
15.14	上主在起初就造了人，并赋给他自决的能力；
15.15	又给他定了法律和诫命。
15.16	假使你愿意，就能遵守他的诫命；成为一个忠信的人，完全在于你自愿。
15.17	他在你面前安放了火与水，你可任意伸手选取；
15.18	生死善恶，都在人面前；人愿意那样，就赐给他那样。
15.19	因为，上主的智慧是广大的，他强而有力，不断在察看着万物。
15.20	他的眼睛注视敬畏他的人，他洞悉人的一切行为。
15.21	他从未吩咐人作恶，他从未准许人犯罪。
	
15.22t	天主的义怒必罚恶人
15.22	不要渴望有许多不忠实而无用的子女，也不要因不虔敬的儿子而欢喜。
	
	
16.0t	第十六章(31)
16.1	若子女不敬畏上主，虽然众多，你也不要因此而欢喜。
16.2	不要依赖他们的生命，也不要依靠他们的后裔；
16.3	因为，有一个敬畏天主的儿子，胜过一千个不虔敬的儿女。
16.4	没有儿子而死，比留下不虔敬的儿子更好。
16.5	因为一位智慧人，就能使一城人烟稠密，而罪人的家族，却可使城池荒凉。
16.6	我亲眼见到许多这样的事，我亲耳听到的比这还多。
16.7	烈火在罪人的集会中燃烧，义怒向背信的民族怒吼。
16.8	对那些倚仗己力而背叛的古代巨人，上主没有息怒；
16.9	与罗特同城的人，天主也没有宽恕，因为他们的骄傲招天主的厌恶。
16.10	他没有怜悯丧亡的子民，即那些因罪恶，而自高自大的人；
16.11	也同样对待了六十万步兵，即那些因心硬，而齐集反抗的人。如果有一个倔强的人而未受罚，才是奇事。
16.12	因为，怜悯和义怒全属于上主；他大施宽恕，但也倾注义怒。
16.13	他的仁慈大，他的惩罚也同样大；他依照每人的行为审判人。
16.14	罪犯及其赃物，逃遁不了；虔敬人的忍耐，不会落空。
16.15	凡施舍行善的人，必会获得赏报；各人按自己的行为，及其旅行时所有的明智，必会得到酬报。上主曾硬了法郎的心，致令他不认识上主，和他在天下显示的工程。万物都见到了他的仁慈，他赐给了人光明和黑暗。
16.16	不要说：「我能逃避上主，在至高处，还有谁会想到我﹖
16.17	在广大的人民中，必然无人认识我；我的性命，在这无量的造物中，又算得什么﹖」
16.18	请看天，天外天，深渊，大地和地上的一切所有，当他视察时，都要动摇；
16.19	山岳和大地的基础，天主一观看，都要颤栗摇撼。
16.20	对于这些事，人心怎么还不领悟﹖对众人的心，天主是洞悉的。
16.21	谁能洞察他的道路﹖正如风暴，人难预见。
16.22	同样，天主的许多作为，也是隐而不见的。「谁能传述他正义的作为﹖谁能等待那事﹖因为他的盟约离一些人尚远。」到末日他才审问众人。
16.23	心中愚蒙的人，是如此设想；不明智而自欺的人，只思虑狂妄的事。

16.24t	万物彰显天主的上智
16.24	我儿，你要听从我，你要学习智慧的教训，你要留心注意我的话：
16.25	我要指出思量过的道理，我要详细陈述智慧；所以，你要在心留意我的话，我要公正地，述说天主从起初就赋与万有的神力；我要真实地，陈述他的智慧。
16.26	太初，上主造化了万物；在创造时，分别了万物的种类。
16.27	永远把自己的化工布置就序，连续给它们派定了统帅。它们不感觉饥饿，也不感觉疲劳，因为统帅总不停顿自己的工作。
16.28	它们彼此不相侵犯，
16.29	永远不违背他的安排。
16.30	此后，上主俯视大地，将自己的美善，充满世界；
16.31	用各种生物，遮盖了地面；但它们仍要归于尘土。
	
	
17.0t	第十七章(31)
	
17.1t	天主造人的目的
17.1	上主用尘土造了人，又使人归于尘土；
17.2	给他限定了日数和时期，赐给他治理世上事物的权力。
17.3	按照自己的本性，赋给他德能；依照自己的肖像，造成了他。
17.4	使一切生物都畏惧他，使他能制服禽兽。
17.5	天主又从他，造了一个与他相似的伴侣，赐给他们理智、唇舌、眼目、耳朵和能思想的心，使他们充满知识与理解力。
17.6	给他们创造了精神的知识，使他们的心富于辨别力，使他们能分别善恶。
17.7	天主又把自己的灵光放在他们的心中，为将自己伟大的工程，显示给他们，
17.8	好使他们能赞美他的圣名，光荣他奇妙的化工，并传述他伟大的工程。
17.9	他赐给他们理智，又赐给他们生命的法律，作为产业；
17.10	和他们立了永久的盟约，使他们认识正义和自己的法令。
17.11	他们的眼目看见了他伟大的光荣，他们的耳朵也听见了他庄严的声音。天主对他们说：「要戒避一切不义!」
17.12	并吩咐他们，每人要关心别人。
	
17.13t	天主的全能和明智
17.13	他们的道路，时常在他面前，丝毫隐瞒不了他的眼目。
17.14	他给每个民族，立了一个统治者；
17.15	但是，以色列显然是上主的一分子。
17.16	他们所行的一切，像太阳一般，摆在他面前；他的眼目，时常注视他们的行径。
17.17	他们的恶行，隐瞒不了他；他们一切的罪恶，都摆在上主的面前。
17.18	人的慈爱，为天主有如印玺；他保存人的慈爱，有如保护瞳孔。
17.19	此后，他必起来，回报恶人，给他们施与每人应得的报应，使他们转入地的深处。
17.20	但是，给悔改的人，指出返回正义的归路；鼓舞那些失望的人，给他们指定真理的产业。
17.21	你应归向上主，离弃罪恶；
17.22	你应在他面前祈祷，并减少你的过失。
17.23	你应归向至高者，远离邪恶，痛恨一切可憎恶的事。
17.24	你应认识天主的正义和判断，坚持他为你所指定的身分，及对至高者天主所应有的祈祷。
	
17.25t	人生短促应及时修德赞主
17.25	你应往世界神圣的那一面去，与活着而颂扬天主的人在一起。因为在阴府里，有谁代替活着而称赞他的人，颂扬至高者呢﹖
17.26	不要在不虔敬者的错误里停留，你要在死前赞颂上主。从死者方面，他既然等于无，也就终止了赞颂。
17.27	惟有那活着而健在的人，能赞美上主。你要称颂天主，你就必能因他的慈惠而自豪。
17.28	上主的仁慈，何其伟大!对于归依他的人的怜悯，又何其宏大!
17.29	因为人不是一切都能的，人子也不是不死不灭的，他们喜欢邪恶虚幻的事。
17.30	什么比太阳更光明﹖但它也有晦暗的时候；血肉的人贪求的，不外邪恶，但是他们必因此而受责罚。
17.31	天主视察高天的军旅，但众人却是尘埃灰土。
	
	
18.0t	第十八章(33)
	
18.1t	天主的尊威与人的微贱
18.1	永生的天主，一举而创造了万物，惟有上主堪称是正义的，永远是常胜的君王。
18.2	无人能详述他的化工；
18.3	谁能穷究他的伟大﹖
18.4	谁能述尽他威严的权力﹖谁能说完他的仁慈﹖
18.5	上主的奇妙化工，人不能增损，也无法穷究。
18.6	当人以为完毕时，他却正在开始；当人以为停止时，却仍感到迷惑。
18.7	人是什么，他有什么用途﹖对于天主，他有什么好处，有什么害处﹖
18.8	人的年龄，至多一百岁，就像海水的一滴，沙中的一粒，在永远的日子里，连一千年，也不过如此。
18.9	为此，上主忍耐他们，在他们身上倾注自己的仁慈。
18.10	他明见而且深知，他们的结局是凶恶的，知道他们的灭亡是悲惨的。
18.11	为此，天主对他们大加宽恕，给他们指出正义的途径。
18.12	人的慈爱只朝向自己的近人，而上主的怜爱，却临于一切有血肉的人。
18.13	怀有仁慈的上主，劝告、惩戒、教训世人，领他们回来，正如牧人领回自己的羊群。
18.14	领受他的教导和渴慕他判断的人，他必加以怜悯。
	
18.15t	施舍要出于诚心
18.15	我儿，你救济时，不要加以责斥；你施惠时，不要说使人伤心的话。
18.16	露水不是可以消除炎热吗﹖同样，一句好话比恩惠更快人心。
18.17	一句好话，不是胜过恩惠吗﹖但是，只有仁爱的人，才能作到这两点。
18.18	愚人只会无礼责斥人，悭吝人的恩惠，使人目光消沉。
	
18.19t	作事要谦逊明智
18.19	在审判以前，你要具备正义感；在讲话以前，应先学习。
18.20	在未病以前，应善自珍重。在审判以前，应审察自己，这样，当天主来视察你的时候，你必能寻获宽恕。
18.21	在未病之先，你要谦卑自下；在有罪的时候，要表示忏悔。
18.22	不要让什么阻碍你在指定的时期还愿，也不要等到临死才行义，因为天主的赏报永远存在。
18.23	在许愿以前，你应善自准备，免得你像是一个试探上主的人。
18.24	你要思念天主在末日的震怒，和他报复时，转面不顾。
18.25	丰收时，要记得饥荒时；富裕时，要想到穷困时。
18.26	从早到晚，时辰更替，在上主面前，一切都要迅速过去。
18.27	明智人凡事谨慎，在易犯罪的日子，必然小心而不犯罪。
18.28	凡是智慧的人，都认识智慧；找着她的人，智慧必加以称许。
18.29	明白箴言的，就是智慧人，他们懂得真理与正义，并且流露出卓绝的格言。
18.30	不要顺从你的欲情，要抑制你的欲望。
18.31	假使你满足你的情欲，它必使你成为你敌人的笑柄。
18.32	不要喜爱奢侈的生活，也不要加入这样的集会。在集会中，不拘人多少，你也不要找寻快乐，因为在那里，人总不免沾染罪恶。
18.33	几时你囊中一无所有，不要借贷设宴，而使你陷于穷困；否则，便是苦害你的生命。
	
	
19.0t	第十九章(28)
	
19.1t	应戒酒色慎用口舌
19.1	好醉酒的工人，不会致富；凡轻忽小事的，不久必会失足。
19.2	醇酒与美女，迷惑明智人，使聪明人遭受责斥。
19.3	凡与娼妇结合的，必放荡不羁，必为腐烂与蛆虫所占有；人必将他提出来，作为殷鉴；冒失的人，必要丧亡。
19.4	轻信的人，必然心地轻浮，他必被小看；犯罪的人，是伤害自己的灵魂。
19.5	喜爱恶事的，必被定罪；厌恶劝戒的，必缩短自己的性命。憎恶闲谈的，必能避免邪恶。
19.6	犯罪害自己灵魂的，必要后悔；爱好邪恶的，必受责斥。
19.7	切不可重述一句猥亵和粗鲁的话；如此，你就不至于受害。
19.8	不论是朋友，或是仇人，都不要向他们述说你的心意；假使你不吐露，为你不是罪过。
19.9	因为，凡听你的人，必要防备你，时机一到，他就辨明自己无罪，而憎恨你，并且常要这样对待你。
19.10	你听见了什么攻击别人的话吗﹖让它死在你心里；放心，它不会撑破你的。
19.11	愚人为保守一句话，感到痛苦，有如临产的妇女。
19.12	一句话在愚人心里，就如一枝箭射在大腿上一样。
19.13	你应质问朋友，也许他没有做；他若做了，叫他不要再做。
19.14	你应质问邻人，也许他没有说；他若说了，叫他不要再说。
19.15	你应质问朋友，因为多次发生诬谤的事；
19.16	因此，不可尽信所有的话。有人说滑了口，却不是出于有心。
19.17	谁没有因自己的舌头犯过罪呢﹖在恐吓人以前，应先询问他；
19.18	你要给至高者的法律留有余地。
	
19.19t	真假智慧的区别
19.19	一切智慧，在于敬畏上主，就是叫人敬畏天主。齐全的智慧，乃是遵行法律。作恶的知识，不是智慧；罪人的计谋，也不是明智。
19.20	有一种能干是讨厌的，有一种愚蒙，是缺乏智慧的。
19.21	寡知少识而敬畏天主的人，胜于多智而干犯至高者法律的人。
19.22	有一种奸滑的聪明，也是不义的；有一种人，为讨人喜欢，竟妄下论断。
19.23	有一种坏人，外面表示谦恭后悔，心里却满怀欺诈。
19.24	有人低头装聋，假装看不见别人不知道的事，但是在你不提防时，他却来加害你。
19.25	假使因软弱无力，不能犯罪，一旦遇到机会，他必要作恶。
19.26	由外表，可以认识人；从面貌上，可以看出他是否明智。
19.27	人的服装、喜笑和步伐，都表示他的为人。
	
19.28t	应如何责斥人
19.28	好凌辱人的人，在怒气中的责斥，是骗人的；有的责斥，是不合时宜的；缄口不言的人，却是明智的。
	
	
20.0t	第二十章(33)
20.1	谴责胜于发怒；凡承认过错的，必能保全自己不受损害。
20.2	阉人想奸污处女，
20.3	就如用暴力施行不公平的审判。
20.4	受责而表示悔改，是多么美好!若能如此，你便可以躲避故意的罪。
	
20.5t	缄默与多言
20.5	有的人缄口不言，而被认为是智慧人；有的人因为多言，而为人所憎恶。
20.6	有的人不出声，是因为他不知所答；有的人不出声，是因为他知道何时该说话。
20.7	明智人缄口不言，直等相宜的时候；自夸和愚昧的人，却不看时机。
20.8	多言的人，必招人厌恶；专权的人，必被人恼恨。
	
20.9t	外表靠不住
20.9	有的人在患难中，得到成功；有的人在顺境中，反而失败。
20.10	有的馈赠，为你没有益处；有的馈赠，却获得双倍的酬报。
20.11	有的屈辱来自尊荣，但也有人从卑微中抬起了头。
20.12	有的人用低价大批收买，然而却因此赔了七倍。
20.13	明智人说话，叫人喜爱；愚昧的人温和，却是白费。
	
20.14t	愚人的礼物
20.14	愚昧人的礼物，为你没有益处，因为他不是睁着一只眼，而是睁着七只眼。
20.15	他给的少，而责难的却多；他张开口，就如一个传令员。
20.16	今日借钱，明日就要还。像这样的人，实在可恨。
20.17	愚人说：「我没有朋友；我做好事，也得不到感谢。」
20.18	吃他饭的人，口舌欺人。多少次，多少人要讥笑他呢﹖
20.19	愚昧人对自己拥有的东西，还不正经使用，对不是他所有的东西，就更漠不关心了。
	
20.20t	不失时也不失言
20.20	跌倒地下，比失言更好；恶人的崩溃，常是忽然而来的。
20.21	无礼的人，好象无知的人口中，不断重述的一个乏味的故事。
20.22	出自愚人口中的比喻，不受欢迎，因为他说的不合时机。
	
20.23t	明智的高贵
20.23	有人因贫乏不能犯罪，所以在安静中，不感到良心的刺激。
20.24	有人因害羞而损害自己，因愚昧的顾虑而牺牲自己，因顾及情面而使自己丧亡。
20.25	有人因害羞而对朋友应许过甚，无故使他成了仇人。
20.26	谎言为人是一种可恶的污点，然而常在无知人的口里。
20.27	盗贼也比一个常说谎的人好，但是这两等人将承受的，都是灭亡。
20.28	说谎人的品行，是不光彩的，耻辱常在他们身上。
20.29	智慧人在言谈上，必增高自己的身价；明智人，会使伟人喜悦。
20.30	耕种田地的，必使自己的收获堆积如山；行正义的，必被举扬；使伟人喜悦的，过错必蒙宽恕。
20.31	赠品与礼物昏迷明智人的眼目，就如口罩阻止责斥。
20.32	隐藏的智慧和埋藏的宝贝，二者究竟有什么用﹖
20.33	隐瞒自己胡涂的人，比隐瞒自己智慧的人还好。
	
	
21.0t	第二十一章(31)
	
21.1t	躲避罪恶
21.1	我儿，你犯了罪么﹖不要再犯；你应为你过去的罪祈祷，以获得宽赦。
21.2	你该躲避罪恶，如同躲避毒蛇一样；你若亲近它，它必会咬伤你。
21.3	罪恶的牙有如狮子的牙，能咬死人的灵魂。
21.4	一切邪恶，好象双刃的利剑；他的创伤，无法医治。
21.5	怒斥与骄傲，能荡尽财富；傲慢人的家庭，必成为废墟。骄傲人的财产，也必如此荡尽。
21.6	贫穷人的祈祷，从他口中直达上主的耳里，上主必迅速为他伸冤。
21.7	厌恶惩戒的，正是追随罪人的足迹；敬畏上主的，是从心里归向他。
21.8	雄辩的人远近皆知，但明智人却知道自己失足的地方。
21.9	谁用别人的钱财，建筑自己的房屋，就如同堆积石头，为自己修盖坟墓。
21.10	罪人的集团，有如堆积的麻屑；他们的结局，不外是烈火。
21.11	罪人的道路，是用石头铺平的；但道路的末端，却是阴府的深坑、黑暗与刑罚。
	
21.12t	明智人与愚昧人的区别
21.12	遵守法律的，必能控制自己的倾向。
21.13	敬畏上主的最后结果，是智慧与明智。
21.14	不聪明的，不易受教；
21.15	但有一种聪明，却是充满辛苦的，而那里有辛苦，那里就没有真实的明智。
21.16	贤人的知识，如洪水洋溢；他的计谋，有如活泉。
21.17	愚人的内心，像一个破碎的器皿，任何知识都保存不住。
21.18	贤人听见一句智慧的话，就一面赞赏，一面从中取益；淫荡的人听见，却不满意，把它拋在脑后。
21.19	愚人的叙述，像行路所背的重担；明智人的谈吐，却优雅中听。
21.20	在集会中，人都寻求明智人的言论；对他的话，人都用心思维。
21.21	明智为愚人，就如一座倒塌的房屋；无知之辈的知识，是一团表达不清的言语。
21.22	纪律为愚昧人，就如脚镣，和右手上的手铐。
21.23	愚昧人笑，是放声大笑；聪明人笑，是低声微笑。
21.24	纪律为明智人，有如金饰品，又如右臂上的手镯。
21.25	愚人的脚，卤莽闯进人家的房屋；富有经验的人，却害羞怕进去。
21.26	愚人从门外窥探室内；有教养的人，却站在外边等候。
21.27	一个人在门外偷听，是未受好教育的凭据；明智人耻于这样作。
21.28	愚人只会信口开河；明智人的话，却是经过权衡思量的。
21.29	愚人的心在口上，明智人的口却在心里。
21.30	不虔敬的人咒骂对方，实是咒骂自己。
21.31	搬弄是非的人，是污辱他自己，为众人所憎恶，与他相近的人也憎恨他；缄默而明智的人，反要受人尊敬。
	
	
22.0t	第二十二章(33)
	
22.1t	如何与愚人相处
22.1	懒惰人彷佛一块污秽的石头，对他的丑行，人人发出唏嘘声。
22.2	懒惰人好比一堆牛粪，摸着的人，都将它从手中抖掉。
22.3	一个不受管教的儿子，是父亲的耻辱；生了这样的女儿，是父亲的损失。
22.4	明智的女儿，是丈夫的宝藏；无耻的女儿，是父亲的忧伤。
22.5	放荡的妇女，羞辱自己的父亲和丈夫，并不次于不虔敬的人；父亲和丈夫都要轻视她。
22.6	不合时宜的言论，有如悲哀中的音乐；教鞭和训诲，无论什么时候，常是明智的。
22.7	教训愚人，无异黏合陶器碎片；
22.8	向不愿听的人讲话，就像唤醒熟睡的人。
22.9	给愚人讲话，等于向睡觉的人讲话；话说完了，他还问：什么事﹖
22.10	要为亡者哀哭，因为他已失去了光明；更要为愚人哀哭，因为他已失去了明悟。
22.11	哀悼亡者要有节，因为他已得到了安息；
22.12	然而邪恶愚人不幸的生命，比死亡更为可悲。
22.13	哀悼死者，为期不过七天；悲哭愚人与不虔敬的人，却是一生。
22.14	同愚人不要长谈，与无知的人不要交往。
22.15	要谨慎防备他，就不致招惹烦恼；即便他喷唾，你也不至于受玷污。
22.16	你要远离他，你就得享安宁，不至于因他的愚蠢而感到厌烦。
22.17	什么东西比铅还重﹖比铅还重的东西的名字，不是「愚人」么﹖
22.18	沙盐、铁堆虽重，但比忍耐一个无智胡涂而不虔敬的人，更容易担负。
22.19	用栋梁支持的建筑物，在地动时不致倒塌；同样，深思熟虑而镇定的心，危险时也不会畏惧。
22.20	以智慧的思想为基础的心，有如光滑的墙壁上涂的灰泥。
22.21	高处的篱笆，经不起风吹；
22.22	同样，那因愚昧的思想而恐惧的心，也禁不住任何惊吓。
22.23	就如愚人在思虑时心虽游移不定，却无时感到恐惧，就像常守天主法律的人一样。
	
22.24t	如何保持友谊
22.24	刺激人眼，会引出眼泪，刺激人心，会显出真情。
22.25	拋石打鸟，会使鸟惊飞；责骂友人会断绝友情。
22.26	若你已向友人拔出利剑，不要失望，因为还可恢复旧交；
22.27	若你已对友人开口攻击，不要害怕，因为还能和好如初；惟有辱骂、责斥、骄傲、泄露秘密、暗中伤害，能使朋友疏远。
22.28	你的朋友穷困的时候，你要对他忠诚；到他富裕时，你便可以与他共享福利。
22.29	他遭难的时候，你要待他始终如一；这样，你就可以分享他的产业。
22.30	火生起以前，炉中冒气冒烟；同样，流血以前、也有咒骂、凌辱和威吓。
22.31	我不害羞保护一个朋友，也不躲藏而不与他见面，虽然为了他我要遭遇什么不幸，我也忍受。
22.32	虽然如此，若他还不知恩，凡听见这事的人，必对他加以防范。
	
22.33t	向天主祈求
22.33	谁能在我的口上派一个守卫，在我的唇上贴上一张稳妥的封条，免得我因口过而跌倒，因我的唇舌而自取灭亡﹖
	
	
23.0t	第二十三章(38)
23.1	上主，天父，我生命的主宰!不要让我顺从任性的口舌，不要许我因口舌而跌倒。
23.2	谁能督策我的思念，谁能在我心中给与智慧的训导，不宽容我的错误，不放过我的罪过，
23.3	免得我更加愚昧，我的罪恶加多，罪过满盈，倒在我敌人跟前，为我的仇人所喜笑呢﹖
23.4	上主，天父，我生命的天主!不要把我丢弃，如他们所想望的。
23.5	不要使我眼目高傲，使我不要顺从情欲。
23.6	不要让肚腹的食欲和肉欲的烈火统治着我，也不要让我有一颗无耻愚昧的心。
	
23.7t	谨慎口舌
23.7	孩子们，请听有关口舌的教导；谁遵守了，就不会成为口舌的囚犯，也不会陷在极凶恶的事中。
23.8	罪人必因自己的唇舌，而陷入罗网；辱骂人的和骄傲人，必因自己的唇舌而跌倒。
23.9	不要让你的口习惯起誓，因为如此反增加许多过失，
23.10	口里不要习惯称呼圣者的名字，也不要乱呼圣人的名字，因为你若如此，就难免无罪。
23.11	犹如一个不断受拷问的奴仆，免不了身受创伤；同样，经常发誓和乱呼圣者名字的人，也不能清白无罪。
23.12	时常起誓的人，必恶贯满盈，他的家庭必会遭殃。
23.13	他若违犯了，必然有罪；他若藐视誓愿，罪更加倍。
23.14	他若发了虚誓，就不能称为义人；他的家庭也必备受惩罚。
