1.-3t	宗徒大事录	
8.27	他就起来去了。看，有个厄提约丕雅人，是厄提约丕雅女王甘达刻的有权势的太监，也是她宝库的总管；他曾来到耶路撒冷朝圣。	
8.28	他回去的时候，坐在车上诵读依撒意亚先知。	
8.29	圣神就向斐理伯说：「你上前去，走近这辆车子！」	
8.30	斐理伯就跑过去，听见他诵读依撒意亚先知，便说道：「你明白所诵读的吗﹖」	
8.31	他答说：「若没有人指教我，怎么能够﹖」于是，请斐理伯上车与他同坐。	
8.32	他所诵读的那段经正是：『他如同被牵去宰杀的羊，又像羔羊在剪毛者前缄默，他也同样不开口。	
8.33	在他屈辱之时，无人为他申辩。谁能描述他的后代呢﹖因为他的生命从地上被夺去了。』	
8.34	太监向斐理伯发言说：「请你说：先知说这话是指谁呢﹖是指自己或是指别人﹖」	
8.35	斐理伯便开口，从这段经文开始，给他宣讲了耶稣的福音。	
8.36	他们沿路前行的时候，来到了一个有水的地方，那太监就说：「看，这里有水；还有什么阻挡我受洗呢﹖」	
8.37	[斐理伯答说：「你若全心相信，便可以。」他答说：「我信耶稣基督就是天主子。」]	
8.38	他就命车停住，斐理伯和太监两人下到水中，斐理伯给他付了洗。	
8.39	当他们从水中上来的时候，主的神把斐理伯提去，太监就再看不见他了。他就喜喜欢欢地往前行自己的路。	
8.40	斐理伯却出现在阿左托，以后经过各城，宣讲福音，直到凯撒勒雅。	
		
		
9.-1t	犹太与撒玛黎雅教会	
		
9.0t	第九章	
		
9.1t	扫禄归化　	
9.1 	扫禄还是向主的门徒口吐恐吓和凶杀之气，遂去见大司祭，	
9.2 	求他发文书给大马士革各会堂，凡他搜出的这道门的人，不拘男女，都绑起来，解送到耶路撒冷。	
9.3 	当他前行，快要临近大马士革的时候，忽然从天上有一道光，环射到他身上。	
9.4 	他便跌倒在地，听见有声音向他说：「扫禄，扫禄，你为什么迫害我﹖」	
9.5 	他答说：「主!你是谁﹖」主说：「我就是你所迫害的耶稣。	
9.6 	但是，你起来进城去，必有人告诉你当作什么。」	
9.7 	陪他同行的人站在那里，说不出话来；只听见声音，却看不见什么人。	
9.8 	扫禄从地上起来，睁开他的眼，什么也看不见了。人们牵着他的手，领他进了大马士革。	
9.9 	三天的工夫看不见，也不吃，也不喝。	
9.10	在大马士革有个门徒，名叫阿纳尼雅，主在异像中向他说：「阿纳尼雅！」他答说：「主，我在这里。」	
9.11	主向他说：「起来，往那条名叫「直街」的地方去，要在犹大家里找一个名叫扫禄的塔尔索人；看，他正在祈祷。」──	
9.12	扫禄此时在异像中看见一个名叫阿纳尼雅的人进来给自己覆手，使他复明──	
9.13	阿纳尼雅却答说：「关于这个人，我听许多人说：他在耶路撒冷对你的圣徒作了许多坏事；	
9.14	他在这里也有从大司祭取得的权柄，要捆绑一切呼号你名字的人。」	
9.15	主却向他说：「你去罢！因为这人是我所拣选的器皿，为把我的名字带到外邦人、国王和以色列子民前，	
9.16	因为我要指示他，为我的名字该受多么大的苦。」	
9.17	阿纳尼雅就去了，进了那一家，给他覆手说：「扫禄兄弟！在你来的路上，发显给你的主耶稣打发我来，叫你看见，叫你充满圣神。」	
9.18	立刻有像鳞甲一样的东西，从他的眼中掉了下来，他便看见了，遂起来领了洗。	
9.19	进食以后，就有了力量。	
		
9.20t	在大马士革讲道　	
9.20	他同大马士革的门徒住了几天之后，即刻在各会堂中宣讲耶稣，说他是天主子。	
9.21	凡听见的人都奇怪说：「这不是那在耶路撒冷消灭呼求这名字的人吗﹖他不是为这事来这里，要捆绑他们，解送到大司祭前吗﹖」	
9.22	扫禄却更强而有力了，使侨居在大马士革的犹太人惊惶失措，因为他指证耶稣就是默西亚。	
9.23	过了一些时日，犹太人就共同商议要杀害他。	
9.24	他们的计谋却为扫禄知道了。犹太人便日夜把守城门，要杀害他。	
9.25	但他的门徒把他带去，夜间用篮子将他从城墙上缒了下去。	
		
9.26t	上耶路撒冷后去塔尔索　	
9.26	扫禄来到耶路撒冷，设法与门徒们交结；众人都怕他，不信他是门徒。	
9.27	巴尔纳伯却接待了他，引他去见宗徒，并给他们讲述扫禄在路上怎样看见了主，主怎样给他说了话；他又怎样在大马士革因耶稣的名字勇敢讲道。	
9.28	扫禄遂在耶路撒冷同他们来往，也因主的名字勇敢讲道；	
9.29	并且同希腊化的犹太人谈论辩道，他们就打算杀害他。	
9.30	兄弟们一知道这事，就领他下到凯撒勒雅，以后打发他到塔尔索去了。	
		
9.31t	伯多禄在里达治好瘫子　	
9.31	教会既在全犹太、加里肋亚和撒玛黎雅得了平安，遂建立起来，怀着敬畏上主之情行动，并因着圣神的鼓励，逐渐发展。	
9.32	当伯多禄巡视各处时，也到了居住在里达的圣徒那里。	
9.33	在那里遇见了一个人，名叫艾乃阿，患瘫痪病，躺在床上已有八年。	
9.34	伯多禄向他说：「艾乃阿！耶稣基督治好你了；起来，整理你的床褥罢！」他即刻起来了。	
9.35	凡住在里达和沙龙的人，见了他，就都归依了主。	
		
9.36t	在约培复活死人　	
9.36	在约培有个女门徒，名叫塔彼达，希腊文叫作多尔卡，她多行善事，广施赒济，	
9.37	就在那几天病死了；人把她洗涤后，停在楼上。	
9.38	里达因临近约培，门徒们听说伯多禄在那里，就打发两个人到他那里去，请求说：「你不可再迟延到我们那里去了。」	
9.39	伯多禄就动身同他们去了；他一来到，他们领他上了楼；所有的寡妇都来到他前，哭着把多尔卡同她们在一起的时候所制的内外衣，指给他看。	
9.40	伯多禄叫众人都退到外面以后，遂屈膝祈祷，转身向遗体说：「塔彼达，起来！」她便睁开眼，看见了伯多禄，就坐了起来。	
9.41	伯多禄伸手扶她起来；随后，叫圣徒和寡妇们进来，叫他们看她已活了。	
9.42	这事传遍了全约培，就有许多人信了主。	
10.43	以后，伯多禄在约培一个皮匠西满家里，住了一些日子。	
		
		
10.0t	第十章	
		
10.1t	科尔乃略派人访寻伯多禄　	
10.1 	在凯撒勒雅有一个人，名叫科尔乃略，是所谓意大利营的百夫长。	
10.2 	他同他的全家，是虔诚而敬畏天主的人，对百姓慷慨好施，又常向天主祈祷。	
10.3 	有一天，大约第九时辰，他在异像中，清楚看见天主的一位天使进来，到他跟前向他说：「科尔乃略！」	
10.4 	他注目看天使，就惊惶害怕说：「主，有什么事﹖」天使回答说：「你的祈祷和施舍已升到天主面前，获得纪念。	
10.5 	你现在打发人往约培去，请号称伯多禄的一位西满来。	
10.6 	这人客居在一个名叫西满的皮匠家里，他的房子靠着海。」	
10.7 	向他说话的天使一走，他便叫来了两个家仆和常护卫自己的一个虔诚兵士，	
10.8 	把一切事告诉了他们，就打发他们往约培去了。	
		
10.9t	伯多禄在约培得见异像　	
10.9 	第二天，他们行路将近城的时候，约在第六个时辰，伯多禄上了屋顶祈祷。	
10.10	他那时饿了，愿意进食；正在人预备饭的时候，他就神魂超拔了。	
10.11	他看见天井了，降下一个器皿，好象一块大布，系着四角，坠到地上，	
10.12	里面有各种四足兽、地上的爬虫和天空的飞鸟。	
10.13	有声音向他说：「伯多禄！起来，宰了，吃罢!」	
10.14	伯多禄却答说：「主，绝对不可！因为我从来没有吃过一样污秽和不洁之物。」	
10.15	声音第二次又向他说：「天主称为洁净的，你不可称为污秽！」	
10.16	这事一连发生了三次，那器皿随即撤回天上去了。	
		
10.17t	赴凯撒勒雅　	
10.17	伯多禄正在猜想他所见的异像有什么意思的时候，看，科尔乃略打发来的人，已查问到西满的家，站在门前。	
10.18	他们喊着询问：号称伯多禄的西满是否住在这里。	
10.19	伯多禄还在沉思那异像时，圣神说：「看，有三个人找你。	
10.20	起来，下去，同他们一起去罢!不要疑惑，因为是我打发他们来的。」	
10.21	伯多禄下来向那些人说：「看，我就是你们所找的人。你们来这里做什么﹖」	
10.22	他们答说：「科尔乃略百夫长是个正义和敬畏天主的人，也受全犹太人民的称誉；他蒙圣天使指示，请你到他家去，听你讲道。」	
10.23	伯多禄于是请他们进来住下，第二天起来，便同他们一齐去了；还有几个约培的兄弟陪着他。	
10.24	次日，他到了凯撒勒雅。	
		
10.25t	与科尔乃略相见　	
10.25	那时，科尔乃略召集了自己的亲戚和密友，等候他们来。当伯多禄进来的时候，科尔乃略去迎接他，跪伏在他脚前叩拜。	
10.26	伯多禄拉他起来说：「起来！我自己也是个人。」	
10.27	就同他谈着话进去了，看见有许多人聚集在那里，	
10.28	便对他们说：「你们都知道犹太人是不准同外邦人交接来往的；但是，天主指示给我，没有一个可说是污秽或不洁的人。	
10.29	为此，我一被请，毫不犹豫地就来了。请问：你们请我来是为什么原故﹖」	
10.30	科尔乃略说：「从此时起，四天以前，第九时辰，我在我房中祈祷时，忽然有位穿华丽衣服的人站在我前，	
10.31	说：科尔乃略，你的祈祷蒙了垂允，你的施舍在天主前得到记念。	
10.32	所以，你要打发人往约培去，叫号称伯多禄的西满来，他客居在靠近海的皮匠西满家里。	
10.33	我就立刻打发人到你那里去了。你来的真好！现今我们众人都在天主前，要听主所吩咐你的一切。」	
		
10.34t	伯多禄的讲辞　	
10.34	伯多禄遂开口说：「我真正明白了：天主是不看情面的，	
10.35	凡在各民族中，敬畏他而又履行正义的人，都是他所中悦的。	
10.36	他借耶稣基督──他原是万民的主──宣讲了和平的喜讯，把这道先传给以色列子民。	
10.37	你们都知道：在若翰宣讲洗礼以后，从加里勒亚开始，在全犹太所发生的事：	
10.38	天主怎样以圣神和德能傅了纳匝肋的耶稣，使他巡行各处，施恩行善，治好一切受魔鬼压制的人，因为天主同他在一起。	
10.39	我们就是他在犹太人地域和耶路撒冷所行一切的见证人。他们却把他悬在木架上，杀死了。	
10.40	第三天，天主使他复活了，叫他显现出来，	
10.41	不是给所有的百姓，而是给天主所预拣的见证人，就是给我们这些在他从死者中复活后，与他同食共饮的人。	
10.42	他吩咐我们向百姓讲道，指证他就是天主所立的生者与死者的判官。	
10.43	一切先知都为他作证：凡信他的人，赖他的名字都要获得罪赦。」	
		
10.44t	科尔乃略等人受洗　	
10.44	伯多禄还在讲这些话的时候，圣神降在所有听道的人身上。	
10.45	那些受过割损与伯多禄同来的信徒，都惊讶圣神的恩惠也倾注在外邦人身上，	
10.46	因为听见他们说各种语言，并颂扬天主。那时，伯多禄就发言说：	
10.47	「这些人既领受了圣神，和我们一样，谁能阻止他们不受水洗呢﹖」	
10.48	遂吩咐人以耶稣基督的名给他们付洗。以后，他们求伯多禄再住了几天。	
		
		
11.0t	第十一章	
		
11.1t	伯多禄在耶路撒冷为己辩护　	
11.1 	宗徒和在犹太的弟兄听说了，连外邦人也接受了天主的圣道。	
11.2 	及至伯多禄上到耶路撒冷，那些受割损的人非难他	
11.3 	说：「你竟进了未受割损人的家，且同他们吃了饭！」	
11.4 	伯多禄便开始按次解释说：「	
11.5 	我在约培城祈祷的时候，在神魂超拔中见了一个异像：由天上降下一个器皿，好象一块大布，系着四角，从天缒下，一直来到我面前。	
11.6 	我往里面定睛细看，见有地上的四足兽、野兽、爬虫和天空的飞鸟。	
11.7 	我也听到有声音向我说：伯多禄！起来，宰了，吃罢!	
11.8 	我却答说：主，绝对不可！因为污秽和不洁之物总没有进过我的口。	
11.9 	第二次有声音从天上答道：天主称为洁净的，你不可称为污秽!	
11.10	这事竟一连发生了三次。以后，那一切又撤回天上去了。	
11.11	正在那时，忽有三个人，来到我们所住的家门前，他们是从凯撒勒雅被派来见我的。	
11.12	圣神吩咐我应与他们同去，不必疑惑。同我一起去的，还有这六个弟兄，我们就进了那人的家。	
11.13	那人告诉了我们：他怎样看见天使站在他的屋内，说：你要打发人到约培去，邀请号称伯多禄的西满来。	
11.14	他有话对你讲，使你和你全家得救。	
11.15	以后，在我开始讲话时，圣神就降在他们身上，有如当初降在我们身上一样。	
11.16	我就想起了主所说的话：若翰固然用水施了洗，但你们却要因圣神受洗。	
11.17	所以，如果天主赐给了他们同样的恩惠，如同给我们信主耶稣基督的人一样，我是什么人，能阻止天主呢﹖」	
		
11.-1t	安提约基雅教会	
		
11.19t	福音传于安提约基雅　	
11.19	在斯德望受害时，那些由于窘难而四散的人，经过各地，来到了腓尼基、塞浦路斯和安提约基雅，他们只向犹太人讲道。	
11.20	但其中有些塞浦路斯和基勒乃人到了安提约基雅，也向希腊人讲道，宣传主耶稣的福音。	
11.21	主的手同他们在一起，信而归主的人，数目很多。	
11.22t	巴尔纳伯与保禄在安提约基雅　	
11.22	这事传到了耶路撒冷教会的耳中，就打发巴尔纳伯到安提约基雅去。	
11.23	他一来到，看见天主所赐的恩惠就很喜欢，并劝勉众人要决心坚定于主。	
11.24	因为他是好人，充满圣神和信德，如此有许多人归附了主。	
11.25	以后，他往塔尔索去找扫禄；	
11.26	找着以后，便领他回到安提约基雅。他们一整年在那教会中共同工作，教导了许多人；在安提约基雅最先称门徒为「基督徒」。	
		
11.27t	信徒相爱的表现　	
11.27	在那时候，有些先知从耶路撒冷下到安提约基雅。	
11.28	其中一个名叫阿加波的，因神示起来预言在普世上将有大饥荒，这饥荒就在喀劳狄时发生了。	
11.29	门徒遂决定，每人按力捐献，把救济物资送给住在犹太的弟兄。	
11.30	他们都照辨了，由巴尔纳伯和扫禄经手，送到长老那里。	
		
		
12.-1t	安提约基雅教会	
		
12.0t	第十二章	
		
12.1t	雅各伯殉难　	
12.1 	在那个时期，黑落德王已下手磨难教会中的一些人，	
12.2 	用剑杀了若望的哥哥雅各伯。	
		
12.3t	天使救伯多禄出狱　	
12.3 	他一看到犹太人喜欢，便命人连伯多禄也加以拘捕，时正值无酵节日；	
12.4 	把他拿住以后，就押在监狱中，交由四班兵士──每班四人──看守，愿意在逾越节后，给百姓提出来。	
12.5 	伯多禄就被看管在监狱中，而教会恳切为他向天主祈祷。	
12.6 	及至黑落德将要提出他的时候，那一夜伯多禄被两道锁链缚着，睡在两个士兵中，门前还有卫兵把守监狱。	
12.7 	忽然，主的一位天使显现，有一道光，照亮了房间，天使拍着伯多禄的肋膀，唤醒他说：「快快起来！」锁链遂从他手上落下来。	
12.8 	天使向他说：「束上腰，穿上你的鞋！」他都照办了。天使吩咐他说：「披上你的外氅，跟我来罢！」	
12.9 	他就出来跟着走，还不知道天使所行的是实在的事，只想是见了异像。	
12.10	他们经过第一道岗，又第二道，来到通到城的铁门前，铁门就自动地给他们开了；他们便出去，往前走了一条街，忽然天使离开他，不见了。1	
12.11	伯多禄这才清醒过来，说：「现今我实在知道主派了他的天使来，救我脱免黑落德的手和犹太人民所希望的事。」	
12.12	他既明白过来，就往若望──号称马尔谷──的母亲玛利亚的家去，在那里有好些人聚集祈祷。	
12.13	他敲大门的时候，有一个名叫洛德的使女过来听。	
12.14	她一认出是伯多禄的声音，喜的没有开门，就跑进去报告说：伯多禄站在大门前。	
12.15	他们都对她说：「你疯了！」她却坚持说：实在是这样。他们反说：「是他的天使。」	
12.16	伯多禄还不住的敲门；他们一开门，看见是他，都惊呆了。	
12.17	伯多禄摆手叫他们不要作声，遂给他们述说上主怎样领他出了监狱，且说：「你们要把这些事报告给雅各伯和弟兄们。」他便出去，往别的地方去了。	
12.18	天一亮，在士兵中，起了不小的骚乱，不知伯多禄出了什么事。	
12.19	黑落德遂搜寻他，搜寻不到，就审讯卫兵，下令把他们处决了。	
		
12.20t	黑落德的惨死　	
12.20	以后，黑落德从犹太下到凯撒勒雅，住在那里。那时，黑落德向提洛和漆冬发了大怒；二城的人商量好，来见他，并贿赂了管王卧房的布拉斯托去求和，因为他们那一方当由君王这里获得食粮。	
12.21	黑落德在约定的日子，披戴君王的礼服，坐在宝座上向他们演讲。	
12.22	人民便呼喊说：「这不是人的声音，而是神的声音。」	
12.23	立刻有上主的天使打击了他，因为他没有归光荣于天主。他为虫子所吃，遂断了气。	
12.24	天主的道却逐渐发扬广大。	
12.25	巴尔纳伯和扫禄完成了任务，就带着号称马尔谷的若望从耶路撒冷回去了。	
		
		
13.-2t	后编　保禄事录	
		
13.-1t	保禄初次出外传教	
		
13.0t	第十三章	
		
13.1t	巴尔纳伯与保禄奉命出发传教　	
13.1 	在安提约基雅教会中，有一些先知和教师，其中有巴尔纳伯和号称尼革尔的西满，有基勒乃人路基约，和与分封侯黑落德同乳的玛纳恒，还有扫禄。	
13.2 	他们敬礼主和禁食的时候，圣神向他们说：「你们给我选拔出巴尔纳伯和扫禄来，去行我叫他们要行的工作。」	
13.3 	他们遂禁食祈祷，给他们覆了手，派他们走了。	
		
13.4t	在塞浦路斯岛传教　	
13.4 	二人既被圣神派遣，遂下到色娄基雅，又从那里乘船往塞浦路斯。	
13.5 	他们来到撒拉米，就在犹太人的会堂中，宣讲天主的圣道；还有若望作助手。	
13.6 	他们走遍了全岛，直到帕佛，遇见一个犹太人，他是个术士，也是假先知，名叫巴尔耶稣，	
13.7 	他常同色尔爵保禄总督在一起；总督是个聪明人，他邀请了巴尔纳伯和扫禄来，想听天主的圣道；	
13.8 	但那术士厄吕玛──这是他的希腊译名──却反对他们，想法颠覆总督的信心。	
13.9 	扫禄，也即是保禄，充满了圣神，定睛望着他，	
13.10	说：「你这满怀各种欺诈和各种奸恶的人，魔鬼的儿子，一切正义的仇敌，你还不停止颠覆天主的正道吗﹖	
13.11	现今你看，上主的手要临于你，你要变成一个瞎子，看不见太阳，直到一个时期。」立刻昏黑和幽暗降在他身上，他就来回摸索，找寻领路的人。	
13.12	那时，总督看见发生的事就信了，很惊讶主的道理。	
		
13.13t	由帕佛到丕息狄雅的安提约基雅　	
13.13	以后，保禄和同他一起的人，从帕佛乘船来到旁非里雅的培尔革；若望却离开他们，回了耶路撒冷。	
13.14	他们由培尔革经过各处，到了丕息狄雅的安提约基雅；安息日他们进了会堂坐下。	
13.15	在朗诵法律和先知之后，会堂长派人问他们说：「仁人弟兄，你们若有什么劝勉民众的话，请说罢！」	
13.16	保禄就站起来，打手势说：	
		
13.17t	保禄在会堂讲道　	
13.17	「诸位以色列人和敬畏天主的人，请听!以色列民族的天主，拣选了我们的祖先。当这百姓寄居埃及时，天主就举扬了他们，以大能的手臂从那里领他们出来。	
13.18	大约四十年的工夫在旷野中容忍了他们。	
13.19	灭了在客纳罕地方的七个民族以后，就把那地方分给他们作为基业，	
13.20	约有四百五十年。此后，又给他们立了民长，直到撒慕尔先知时代。	
13.21	从那时起，他们要求一位君王，天主就给他们立了本雅明族人克士的儿子撒乌耳，为王四十年；	
13.22	把他撤职以后，给他们立了达味为君王，天主为他作证说：我找到了叶瑟的儿子达味，他是一个合我心意的人，他要履行我的一切旨意。	
13.23	天主按照恩许，从他的后裔中给以色列兴起了一位救主耶稣。	
13.24	若翰在他来临以前，先向全以色列民宣讲了悔改的洗礼。	
13.25	及至若翰将完成自己的任务时，说道：我不是你们所猜想的那位，但是，看，他在我以后要来，我不配解他脚上的鞋。	
13.26	诸位仁人弟兄，亚巴郎的子孙和你们敬畏天主的人!这救恩之道正是给我们赐下的，	
13.27	因为耶路撒冷的居民和他们的首领不认识他，也不明白每安息日所诵读的先知的预言，就判决了他，而应验了这些预言。	
13.28	他们本来找不到一条死罪，却要求比拉多处死了他。	
13.29	论他所记载的都成就了以后，就把他从木架上卸下，放在坟墓里，	
13.30	天主却使他从死者中复活起来，	
13.31	他多日显现给同他一起，从加里肋亚往耶路撒冷去的人；这些人就是现今在百姓前给他作证的人。	
13.32	我们现今也给你们报告喜讯：就是那向祖先所应许的恩许，	
13.33	天主已给我们作他们子孙的完成了，叫耶稣复活了，就如在第二篇圣咏上所记载的：『你是我的儿子，我今日生了你。』	
13.34	论到天主使他从死者中复活了，使他不再归于腐朽，曾这样说过：『我要赐给你们许与达味的圣善忠实。』	
13.35	为此，又在另一处说：『你决不让你的圣者见到腐朽。』	
13.36	达味固然在自己活着时，奉行了天主的旨意，但是他死了，也归到了自己祖先那里，且见到了腐朽；	
13.37	但天主从死者中所复活的那位，却没有见到腐朽。	
13.38	所以，诸位仁人弟兄，你们必须知道：就是借着这耶稣给你们宣布了赦罪之恩；凡在一切你们凭梅瑟法律不能成义的事上，	
13.39	凭着他，凡信的人都可成义。	
13.40	所以，你们要小心，不要叫先知书上说的话来到你们身上：	
13.41	『藐视的人哪！你们要看，要惊讶，要消逝！因为在你们的日子，我作了一件事，即使有人告诉你们，你们也必不信那件事。』	
13.42	他们出去的时候，众人要求下一个安息日再给他们讲这些事。	
13.43	会众散去以后，有许多犹太人和归依犹太教的虔诚人，随从了保禄和巴尔纳伯，二人同他们谈话，劝他们务要坚持天主的恩宠。	
		
13.44t	外邦人信教　	
13.44	下一个安息日，全城的人几乎都聚集了来，要听天主的圣道。	
13.45	犹太人一看见这么众多的人，就满心嫉妒，反对保禄所讲的，且加以辱骂。	
13.46	保禄和巴尔纳伯却放胆地说：「天主的圣道本来先应讲给你们听，但因你们拒而不受，并断定自己不配得永生，看，我们就要转向外邦人，	
13.47	因为主如此命我们说：『我已立你作为外邦人的光明，使你成为他们的救恩，直到地极。』	
13.48	外邦人听了，都很喜欢，赞美主的圣道；那些被预定获得永生的人，就都信了。	
13.49	主的圣道遂传遍了那地方。	
13.50	犹太人却挑唆敬畏天主的尊贵妇人和城中的要人，发动迫害保禄和巴尔纳伯，把他们驱逐出境。	
13.51	二人就把脚上的尘土向他们拂下，往依科尼雍去了。	
13.52	门徒都充满喜乐和圣神。	
		
		
14.0t	第十四章	
		
14.1t	在依科尼雍　	
14.1 	他们在依科尼雍，还是照样进犹太人的会堂讲道，以致有很多犹太人和希腊人信从了。	
14.2 	那些固执不信的犹太人，却挑拨并刺激外邦人的心，来相反弟兄们。	
14.3 	他们在那里逗留了一些日子，依赖主放心大胆地讲道。主为证明他们所宣讲的恩宠的话是真实的，借他们的手显了征兆和奇迹。	
14.4 	城中的群众就分裂了：有的支持犹太人，有的支持宗徒。	
14.5 	当外邦人和犹太人连同他们的官长蓄意侮辱他们，和用石头砸死他们的时候，	
14.6 	他们一听说，就逃往吕考尼雅的吕斯特辣、德尔贝两座城和周围的地方去了，	
14.7 	在那里传扬福音。	
14.8t	在吕斯特辣治好跛子	
14.8 	在吕斯特辣有一个人，患软脚病，常坐着，由母胎中即是跛子，总没有行走过。	
14.9 	这人听保禄讲道；保禄注目看他，见他有信心，可得痊愈，	
14.10	便大声说道：「直直地站起来！」这人遂跳起来行走。	
		
14.11t	外教人的狂热　	
14.11	群众看见保禄所行的，就大声用吕考尼雅话说：「神取了人形，降到我们这里了!」	
14.12	他们遂称巴尔纳伯为则乌斯，称保禄为赫尔默斯，因为它是主要发言人。	
14.13	在城关的则乌斯的司祭，就带着公牛与花圈来到大门前，要同群众一起献祭。	
14.14	巴尔纳伯和保禄宗徒听说这事，就撕裂了自己的衣服，跑到群众中，喊着，	
14.15	说道：「人哪！你们这是作什么﹖我们也是人啊！与你们有同样的性情；我们只是给你们传扬福音，为叫你们离开这些虚无之物，归依生活的天主，是他创造了天地海洋和其中的一切。	
14.16	他在过去的世代，容忍了万民各行其道；	
14.17	但他并不是没有以善行为自己作证，他从天上给你们赐了雨和结实的季节，以食物和喜乐充满你们的心。」	
14.18	说了这些话，才算阻住了群众，没有向他们献祭。	
14.19	却有些犹太人，从安提约基雅和依科尼雍来，挑唆群众；群众用石头砸了保禄，以为他死了，就把他拉到城外。	
14.20	但门徒们一围到他跟前，他就起来进了城，第二天同巴尔纳伯起身往德尔贝去了。	
		
14.21t	返回安提约基雅　	
14.21	他们向那城传扬福音，使许多人成为门徒，以后回到吕斯特辣、依科尼雍和安提约基雅，	
14.22	到处坚固门徒的心，鼓励他们坚持信仰，说我们必须经过许多困难，才能进入天主的国。	
14.23	二人在各教会给他们选立了长老，在祈祷禁食以后，把他们托付于他们所信仰的主。	
14.24	以后，他们又经过丕息狄雅来到旁非里雅，	
14.25	在培尔革宣讲道理以后，下到阿塔肋雅，	
14.26	又从那里乘船赴安提约基雅。他们原来是从那里被托于天主的恩宠，作现在已完成的工作。	
14.27	他们一到，就聚集会众，报告天主偕同他们所行的一切大事，和怎样给外邦人打开了信德的门。	
14.28	二人就在那里同门徒们住了不少时日。	
		
		
15.0t	第十五章	
		
15.1t	宗徒会议　	
15.1 	有从犹太下来的几个人教训弟兄们说：「若是你们不按梅瑟的惯例行割损，不能得救。」	
15.2 	保禄和巴尔纳伯同他们起了不少的争执和辩论；大家就指定保禄和巴尔纳伯，与他们中的几个人，上耶路撒冷去见宗徒和长老，讨论这问题。	
15.3 	他们由教会送走之后，就路过腓尼基和撒玛黎雅，沿途叙述外邦人归化的事，使众弟兄非常喜欢。	
15.4 	他们到了耶路撒冷，为教会、宗徒和长老所欢迎，就报告了天主偕同他们所行的一切大事。	
15.5 	却有几个信教的法利塞党人起来说：「必须叫外邦人受割损，又应该命他们遵守梅瑟法律。」	
15.6 	宗徒和长老们就开会商讨此事。	
15.7 	辩论多时之后，伯多禄起来向他们说：「诸位仁人弟兄！你们深知，多时以前，天主就在你们中选定了，要借我的口，叫外邦人听福音的道理而信从。	
15.8 	洞察人心的天主，已为他们作了证，因为赐给了他们圣神，如同赐给了我们一样；	
15.9 	在我们和他们中间没有作任何区别，因他以信德净化了他们的心。	
15.10	既然如此，现今你们为什么试探天主，在门徒的颈项上，放上连我们的祖先和我们自己都不能负荷的轭呢﹖	
15.11	但是，我们信我们得救，是借着主耶稣的恩宠，正和他们一样。」	
15.12	于是众人都缄默不语，静听巴尔纳伯和保禄述说天主借着他们在外邦人中，行了怎样大的征兆与奇迹。	
		
15.13t	雅各伯的演讲　	
15.13	大家都不出声之后，雅各伯接着说：「诸位仁人弟兄，请听我说!	
15.14	西满述说了天主当初怎样关心外邦人，由他们中选拔一个百姓，属于自己名下；	
15.15	先知的话也正与此相合，如经上记载：	
15.16	『以后我要回来，重建达味已倾倒的居所；已坍塌了的，要把它重建而竖立起来，	
15.17	为的是其余的人，即一切以我的名得名的民族，要寻求上主：	
15.18	这是很久以前，公布这事的主说的。』	
15.19	因此，按我的意见，不要再加给由外邦归依天主的人烦难，	
15.20	只要函告他们戒避偶像的玷污和奸淫，戒食窒死之物和血。	
15.21	因为自古以来，在各城内都有宣讲梅瑟的人，每安息日在会堂中诵读他的书。」	
		
15.22t	会议的谕文　	
15.22	当时，宗徒和长老同全教会决定，从他们中选几个人，派他们同保禄和巴尔纳伯去安提约基雅。所派的，有号称巴尔撒巴的犹达和息拉，是弟兄中的领导人物。	
15.23	他们带去的信如下：「宗徒和长老弟兄们，给在安提约基雅、叙利亚和基里基雅由外邦归化的弟兄们请安。	
15.24	我们听说有几个从我们这里去的，而并非我们所派去的人，讲话扰乱你们，混乱了你们的心。	
15.25	我们取得同意后，决定拣选几个人，派他们同我们可爱的巴尔纳伯和保禄，到你们那里去。	
15.26	此二人为了我们主耶稣基督的名，已付出了自己的性命。	
15.27	我们派犹达和息拉去，他们要亲口报告同样的事。	
15.28	因为圣神和我们决定，不再加给你们什么重担，除了这几项重要的事：	
15.29	即戒食祭邪神之物、血和窒死之物，并戒避奸淫；若你们戒绝了这一切，那就好了。祝你们安好！」	
15.30	他们去后，就下到安提约基雅，聚集了众人，递上公函。	
15.31	人们读了，对这劝慰的话都十分欢喜。	
15.32	犹达和息拉，因为他们也是先知，就讲了许多话，劝勉坚固弟兄们。	
15.33	过了一些时候，弟兄们打发他们带着请安的话，回到派他们的人那里。	
15.34	【但是息拉决意留在那里，只犹达一人回了耶路撒冷。】	
15.35	保禄和巴尔纳伯却留在安提约基雅施教，同别的许多人宣讲主的道理。	
		
15.-1t	保禄二次出外传教	
		
15.36t	保禄与巴尔纳伯分离　	
15.36	过了些日子，保禄向巴尔纳伯说：「我们要回去，视察我们曾讲过主道的各城，看看弟兄怎么样了。」	
15.37	巴尔纳伯愿意也带号称马尔谷的若望同去，	
15.38	但保禄认为不应带他去，因为他从旁非里雅离开他们，没有同他们一起去工作。	
15.39	二人于是起了争执，以致彼此分离。巴尔纳伯遂带马尔谷，乘船往塞浦路斯去了。	
