1.-2t	编年纪下		
11.21	勒哈贝罕共娶了十八个妻子，六十个妾侍，生了二十八个儿子，六十个女儿；但他爱阿贝沙龙的外孙女玛阿加，超过其它的妻妾。		
11.22	勒哈贝罕遂将玛阿加的儿子阿彼雅立为储君，为众兄弟之长，有意立他为王。		
11.23	勒哈贝罕作事聪明，将他所有的儿子分派在犹大和本雅明全境所有设防的城内，供给他们丰富食粮，并给他们娶了许多妻妾。		
			
			
12.0t	第十二章		
			
12.1t	埃及王进攻犹大		
12.1 	勒哈贝罕的国家一强盛，势力一巩固，即舍弃了上主的法律，全以色列人也附和他。		
12.2 	由于他们背叛了上主，勒哈贝罕第五年，埃及王史沙克就上来进攻耶路撒冷，		
12.3 	率领一千二百辆战车，六万骑兵，和同他一起由埃及来的无数利比亚人，稣基因人和雇士人组成的军队，		
12.4 	攻取了犹大境内所有的坚城，直逼耶路撒冷。		
12.5 	当时，犹大的众首领，由于逃避史沙克，都已聚集在耶路撒冷；先知舍玛雅来见勒哈贝罕和众首领，对他们说：「上主这样说：你们既离弃我，我也将你们拋弃在史沙克手中。」		
12.6 	以色列众首领和君王便自卑认罪说：「上主是公义的！		
12.7 	上主见他们自卑认罪，上主就有话传于舍玛雅说：「他们既然自卑认罪，我必不消灭他们，霎时间我要施救，不使我的盛怒借沙史克发泄在耶路撒冷。		
12.8 	虽然如此，他们仍必作史沙克的仆役，好使他们知道服事我与服事世上的列邦，有何区别。」		
12.9 	埃及王史沙克于是上来进攻耶路撒冷，劫去了上主殿内和王宫内的宝物，全部带走，连撒罗满所制的金盾牌也都带去了。		
12.10	勒哈贝罕王，只得制造些铜盾牌来代替，交给防卫长保管。		
12.11	每逢王进入上主的殿时，侍卫便来，手持这些盾牌；事后仍将盾牌送回侍卫室中。		
12.12	由于君王自卑认罪，上主对他息怒，没有完全将他消灭；何况在犹大还有善事。		
			
12.13t	勒哈贝罕逝世		
12.13	勒哈贝罕王在耶路撒冷又渐强盛，继续为王；他登极时年四十一岁，在上主从以色列各支派中选出归他名下的耶路撒冷城中，作王十七年；他的母亲名叫纳阿玛，是阿孟人。		
12.14	勒哈贝罕行为邪恶，因为他没有专心致志寻求上主。		
12.15	勒哈贝罕的前后事迹都按着族谱记载在先知舍玛雅和先见者依多的言行录上。勒哈贝罕与雅洛贝罕之间不断发生战争。		
12.16	勒哈贝罕与列祖同眠，葬在达味城；他的儿子阿彼雅继位为王。		
			
			
13.0t	第十三章		
			
13.1t	阿彼雅为王		
13.1 	雅洛贝罕王十八年，阿彼雅登基作犹大王，		
13.2 	在耶路撒冷作王三年，他母亲名叫玛阿加，是基贝亚人乌黎耳的女儿。阿彼雅与雅洛贝罕之间不断发生战争。		
			
13.3t	南北战争		
13.3 	当时阿彼雅统率四十万英勇的精兵出战，雅洛贝罕率领八十万健壮的精兵列阵出迎。		
13.4 	阿彼雅立在厄弗辣因山地的责玛辣因山岗说：「雅洛贝罕和全以色列人，请听我的话：		
13.5 	上主以色列的天主，曾立盟约，将以色列王位永远赐予达味和他的子孙，莫非你们不知道吗﹖		
13.6 	无奈达味的儿子撒罗满的一个仆人，乃巴特的儿子雅洛贝罕起来背叛了他的主人。		
13.7 	遂有一些无赖匪徒聚集起来，跟随他攻击撒罗满的儿子勒哈贝罕；勒哈贝罕当年尚年轻脆弱，不能抵御他们。		
13.8 	现在，你们企图反抗达味子孙占有的上主的国家，因为你们人数众多，在你们中间且有雅洛贝罕制作的金牛作为你们的神。		
13.9 	你们不是驱逐了上主的司祭，亚郎的子孙和肋未人，依照列邦民族的习惯，为自己另立了司祭吗﹖任何一个人，只要牵一只公牛犊和七只公绵羊前去，自行祝圣，便可作那本不是神的司祭。		
13.10	至于我们，上主是我们的天主，我们没有离弃过他；事奉上主的司祭仍是亚郎的子孙，肋未人仍各尽己责，		
13.11	每日早晚向上主献全燔祭，焚香，在清洁的桌子上陈设供饼，每晚点燃金灯台上的金灯。我们如此遵守了上主我们天主的职守，你们反而离弃了他。		
13.12	但是天主与我们在一起，作我们的前导；他的司祭手持警号，就要鸣号向你们进攻。以色列子民，你们不可与上主你们祖先的天主交战！你们决不会胜利！		
13.13	但是雅洛贝罕却使伏兵绕到犹大背后，这样以色列人在犹大人前面，伏兵在他们背后。		
13.14	犹大人一转身，见自己前后受敌，便呼吁上主，司祭们吹起号角，		
13.15	犹大人就高声吶喊。当犹大人吶喊时，天主在阿彼雅和犹大人前击溃了雅洛贝罕和全以色列人。		
13.16	以色列人便由犹大前逃走，天主将他们交在犹大人手中。		
13.17	阿彼雅和他的军队对以色列大加杀戮，以色列被杀，丧亡的精兵有五十万。		
13.18	这一次以色列子民大败，犹大子民获得大胜，因为他们依靠了上主他们祖先的天主。		
13.19	阿彼雅追击雅洛贝罕，夺取了他的几座城；贝特耳及所属村镇，耶沙纳及所属村镇，厄斐龙及所属村镇。		
13.20	阿彼雅在时，雅洛贝罕再没有强盛起来；此后，上主打击了他，他便去了世。		
			
13.21t	阿彼雅逝世		
13.21	阿彼雅日渐强盛，娶了十四个妻妾，生了二十二个儿子，十六个女儿。		
13.22	阿彼雅其余得事迹和他的言行，都记载在先见者依多传记上。		
13.23	阿彼雅与列祖同眠，葬仔达味城；他的儿子阿撒继位为王。他在位时，国内平安了十年。		
			
			
14.0t	第十四章		
			
14.1t	阿撒的热诚和努力		
14.1 	阿撒行了上主他的天主视为善，视为正直的事，		
14.2 	除掉了外邦的祭坛和高丘，毁坏了柱像，拆除了木偶，		
14.3 	并命令犹大应寻求上主他们祖先的天主，遵行他的法律和诫命，		
14.4 	也铲除了犹大各城内的高丘和太阳柱。那时，国家在他统治下安享太平。		
14.5 	他又在犹大修筑了几座坚城，因为境内平靖，数年没有战争，上主赐予他平安。		
14.6 	阿撒对犹大人说：「我们必须建筑这些城邑，四周建筑城垣堡垒，安置大门和门闩；地域仍属我们，是因为我们寻求了上主，我们的天主。我们既寻求了他，他便使我们四境平靖。」于是他们兴工建筑，事事顺利。		
14.7 	阿撒的军队，持盾持戈的犹大人三十万，持牌挽弓的本雅明人二十八万：这些人都是勇士。		
			
14.8t	则辣黑进攻失败		
14.8 	那时，雇士人则辣黑率领百万大军，战车三百辆，前来进攻，到了玛勒沙。		
14.9 	阿撒出来迎战，陈兵在离玛勒沙不远的责法达山谷。		
14.10	阿撒呼吁上主他的天主说：「上主！在强弱悬殊之下，无人能似你能施协助。上主，我们的天主！求你协助我们，因为我们只有依赖你，奉你的名来迎击这支大军。上主，你是我们的天主，不要让人胜过你！		
14.11	于是上主在阿撒和犹大人前打击了雇士人，雇士人遂逃走。		
14.12	阿撒带着跟随他的军民，追击他们直至革辣尔。雇士人甚至没有一个活的，都丧亡了，因为他们为上主和他的军队击溃。犹大人夺取了很多财物。		
14.13	他们又攻破了革辣尔四周所有的城池，因为上主的恐怖笼罩了这些城池；犹大人又将所有的城掳掠一空，因为城中有许多财物。		
14.14	随后又毁坏了群畜的围栏，掠取了许多羊群和骆驼，便回耶路撒冷去了。		
			
			
15.0t	第十五章		
			
15.1t	阿匝黎雅的预言		
15.1 	那时，天主的神感动了敖德得的儿子阿匝黎雅，		
15.2 	他便出来迎接阿撒，对他说：「阿撒，全犹大和本雅明人，请听我的话：几时你们与上主同在，上主也与你们同在；如果你们寻求他，他必让你们寻到；但如果你们离弃他，他必离弃你们。		
15.3 	将有一段长时期，以色列没有真天主，没有教导的司祭，也没有法律；		
15.4 	但他们在遭离期间，必回心归向上主，以色列的天主，必寻求他，他必让他们寻到。		
15.5 	在那时期内，出入的人，都必得不到平安，各地所有的居民，必要遭受很大的混乱：		
15.6 	这族攻击那族，这城攻击那城，因为天主必用种种灾祸难为他们。		
15.7 	至于你们，你们应当坚强，你们的手不要发软，因为你们的作为必获赏报。」		
			
15.8t	阿撒的宗教改革		
15.8 	阿撒一听见这些话和预言，便壮了胆，将在犹大和本雅明全境，以及在厄弗辣因山地所占领的各城内的可憎之物，一概除掉，重修上主门廊前的上主的祭坛，		
15.9 	又召集了犹大和本雅明全民众，以及在他们中间寄居的厄弗辣因人、默纳协人和西默盎人，─因为有许多人由以色列来投奔阿撒，因为他们看见上主，他的天主是与他同在。		
15.10	阿撒当国第十五年三月，他们聚集在耶路撒冷，		
15.11	当天由所掳获的战利品，取出了七百头牛，七千只羊，祭献给上主，		
15.12	结盟立约，要全心全意寻求上主，他们祖先的天主；		
15.13	凡不寻求上主以色列天主的，不分老幼，不分男女，一律处死。		
15.14	然后高声欢呼，鸣号吹角，向上主起誓。		
15.15	全犹大人发了这誓，都非常高兴，因为他们是全心起誓，全意寻求上主；因此上主也为他们所寻见，并使他们四境安宁。		
15.16	阿撒王废除了他祖母玛阿加作太后的权位，因为她给阿舍辣立了可耻的柱像；阿撒将柱像砍倒，打得粉碎，在克德龙谷焚毁，		
15.17	只有以色列的高丘没有废除；阿撒的心一生总是纯全的。		
15.18	他又将他父亲和他自己所献的金银并器具，送入天主的殿内。		
15.19	此后，直到阿撒当国三十五年，从没有过战事。		
			
			
16.0t	第十六章		
			
16.1t	阿撒与巴厄沙交战		
16.1 	阿撒当国第三十六年，以色列王巴厄沙来进攻犹大，在辣玛修筑工事，防止人同犹大王阿撒来往。		
16.2 	当时阿撒拿出上主殿内和王宫府库中的金银，送给住在大马士革得阿兰王本哈达得说：「		
16.3 	我与你之间，以及我父与你之间都立过约；现在我给你送来金银作为礼品，请你废除你与以色列王巴厄沙所立的约，使他离开我的国境。」		
16.4 	本哈达得听从了阿撒王的话，即刻派军长，去攻打以色列的城市，攻下了依雍、丹、阿贝耳玛因和纳斐塔里所有的屯货城。		
16.5 	巴厄沙一听说这事，立即停止在辣玛的工事。		
16.6 	阿撒王遂征调全犹大人，将巴厄沙修筑辣玛所用的石头和木材运走，用来修筑革巴和米兹帕。		
			
16.7t	先见者哈纳尼的斥责		
16.7 	那时，先见者哈纳尼来见犹大王阿撒，对他说：「因为你依靠了阿兰，而没有依靠上主你的天主，因此阿兰王的军队脱离了你。		
16.8 	雇士人和利比亚人不是一支很强大的军队吗﹖战车骑兵不是很多吗﹖但几时你依靠上主，他便将他们交在你的手中。		
16.9 	上主的眼遍察各地，对所有专心忠于他的，他必大显威能，加以扶助。你这事作得太无知了，今后你必要遭遇战祸。」		
16.10	阿撒对先见者发怒，将他囚在狱中；王在这事上实在生了大气，同时阿撒又虐待了一些百姓。		
			
16.11t	阿撒逝世		
16.11	阿撒的前后事迹，都记载在犹大和以色列列王实录上。		
16.12	阿撒当国第三十九年，患了足疾，病得十分严重；他在病中不求上主，而只求医。		
16.13	阿撒在位四十一年逝世，与祖先同眠。人们将他葬在达味城，自己所凿的坟墓，将他放在床上面，满堆香料，即照调香法所制的各种香料，又为他焚烧了很多的香料。		
			
			
17.0t	第十七章		
			
17.1t	约沙法特的虔诚与强盛		
17.1 	阿撒的儿子约沙法特继位为王，发奋图强，对抗以色列，		
17.2 	在犹大各坚城内派驻了大军，在犹大地内和他父亲阿撒所克服的厄弗辣因各城里，也派上了守军。		
17.3 	上主与约沙法特同在，因为他遵行了他父亲最初所行的道路，没有寻求过巴耳神，		
17.4 	只寻求他父亲的天主，履行他的诫命，不照以色列的作风行事。		
17.5 	因此，上主巩固了他统治的王国，全犹大人都给约沙法特献礼，所以他财产很富，尊荣很大。		
17.6 	他一心在上主的道路上向上迈进，铲除了犹大境内的高丘和木偶。		
			
17.7t	教训人民法律		
17.7 	他为王第三年上，派遣了他的官员本海耳、敖巴狄雅、则加黎雅、乃塔乃耳和米加雅，往犹大各城去教训百姓。		
17.8 	随从他们的有肋未人舍玛雅、乃塔尼雅、则巴狄雅、阿撒耳、舍米辣摩、约纳堂、阿多尼雅和多彼雅：这些都是肋未人；还有司祭厄里沙玛和约兰。		
17.9 	他们随身带着上主的法律书，在犹大施教，走遍了犹大各城，教训百姓。		
			
17.10t	约沙法特的声望		
17.10	上主威震犹大四周所有的国家，因此都不敢与约沙法特作战。		
17.11	有些培肋舍特人向约沙法特进贡献银，阿拉伯人给他呈献家畜，即公绵羊七千七百只，公山羊七千七百只。		
17.12	约沙法特的势力日渐强大，达到顶峰：在犹大建造了一些堡垒和储存货城，		
17.13	在犹大各城又做了坚固的工事，在耶路撒冷驻有英勇的部队。		
17.14	他们的人数，按照家族记录如下：犹大的军长，首为阿德纳军长，率领三十万勇士，		
17.15	次为约哈南军长，率领二十八万人，		
17.16	其次为齐革黎的儿子阿玛息雅，他甘愿献身于上主，率领二十万勇士；		
17.17	属本雅明的有勇士厄肋雅达，他率领二十万挽弓和持盾的人；		
17.18	其次为约匝巴得，率领十八万常备军人。		
17.19	这些都是服侍君王的人，王在全犹大各坚城所驻派的人，尚未计算在内。		
			
			
18.0t	第十八章		
			
18.1t	南北联婚齐战阿兰		
18.1 	约沙法特的财产丰富，尊荣很大，且与阿哈布联婚。		
18.2 	几年以后，他到撒玛黎雅去见阿哈布。阿哈布为他和跟从他的随员，宰杀了许多牛羊，怂恿他去攻打辣摩特基肋阿得。		
18.3 	以色列王阿哈布对犹大王约沙法特说：「你愿意同我一起去攻打辣摩特基肋阿得吗﹖」约沙法特回答说：「你我原不分彼此，我的人民就是你的人民；我必与你同去作战。」		
			
18.4t	假先知预言胜利		
18.4 	约沙法特对以色列王说：「请你先求问上主的答话！」		
18.5 	以色列王于是召集了先知，共四百人，问他们说：「我们应该上去进攻辣摩特基肋阿得﹖还是不去呢﹖」他们回答说：「上主，天主必将那地交于大王手中。」		
18.6 	但是约沙法特说：「这里就没有一位上主的先知，我们可以托他求问吗﹖」		
18.7 	以色列王回答约沙法特说：「还有一个人，可以托他求问天主，不过我憎恨他，因为他对我说预言，总不说吉祥话，常说凶言；这人就是依默拉的儿子米加雅。」约沙法特对他说：「请大王别这样说！」		
18.8 	于是以色列王召来一个宦官，吩咐他说：「快去将依默拉的儿子米加雅召来！」		
18.9 	当时以色列王和犹大王约沙法特在撒玛黎雅城门前的广场上，各穿朝服，坐在宝座上；所有的先知在他们面前说预言。		
18.10	革纳阿纳的儿子漆德克雅带了一些铁角说：「上主这样说：你要用这些铁角刺杀阿兰人，直到将他们消灭。」		
18.11	所有的先知也这样预言说：「你上辣摩特基肋阿得去必会胜利，上主必将那地交于大王手中！」		
			
18.12t	米加雅预言战败		
18.12	那去召米加雅的使者对米加雅说：「看，先知们都异口同声对君王说吉祥的话，希望你说的话也与他们每人说的话一样，也是吉祥的话！		
18.13	米加雅回答说：「我指着永生的上主起誓：我的天主吩咐什么，我就说什么！		
18.14	米加雅来到王那里，王就问他说：「米加雅，我们应该上去进攻辣摩特基肋阿得，还是不去呢﹖」他回答说：「上去，必然胜利，他们必落在你们手中。」		
18.15	君王对他说：「我应当多少次叫你宣誓，你才奉上主的名，对我说实话呢﹖」		
18.16	米加雅答说：「我看见全以色列散在山上，好象没有牧人的羊群。上主说：这些人既然没有主人，更好各自平安回家去罢！		
18.17	以色列王对约沙法特说：「我不是告诉过你，他对我说预言，总不说吉祥话，只说凶言么﹖」		
18.18	米加雅答说：「请你们静听上主的话：我见上主坐在宝座上，天上的万军侍立在他左右。		
18.19	上主问说：谁去唆使以色列王阿哈布上去，叫他阵亡在辣摩特基肋阿得呢﹖那时有的说这样，有的说那样。		
18.20	以后有一个神出来，立在上主面前说：我能唆使他。上主的问他说：用什么方法﹖		
18.21	那神答说：我去，在他所有先知们口中做虚言的神。上主回答说：你能唆使，也必会成功，就去照样办罢！		
18.22	现在上主将虚言的神放入你这些先知口中，上主已注定你必遭殃。」		
18.23	那时，革纳阿纳的儿子漆德克雅前来，打米加雅的脸说：「上主的神由那条路离开了我，而同你说话呢﹖」		
18.24	米加雅答说：「在你进入最严密的室内隐藏的那一天，你就会知道了!」		
18.25	以色列王吩咐说：「将米加雅带去，交给阿孟市长和约阿士王子，		
18.26	说君王这样吩咐：将这人下在监里，少给他吃的喝的，等我平安回来。」		
18.27	米加雅说：「你如果能平安回来，那么，上主就没借我说过话。」又说：「众百姓！你们要听清楚啊!」		
			
18.28t	阿哈布阵亡		
18.28	以色列王遂与犹大王约沙法特上去进攻辣摩特基肋阿得。		
18.29	以色列王对约沙法特说：「我要改装上阵，你可仍穿朝服。」于是以色列王改装上了阵。		
18.30	阿兰王曾吩咐自己的战车队长说：「你们不必与大小将士交战，只攻打以色列王。」		
18.31	战车队长一看见约沙法特，便说：「这必是以色列王！遂将他包围，向他进攻；约沙法特连声叫苦，上主援助了他，天主使敌人远离了他。		
18.32	战车队长见他不是以色列王，就不再追击他。		
18.33	有人偶然一箭，正射入以色列王的铠甲与腰带间，君王对驾车的人说：「转回，载我离开阵地，我已受伤。」		
18.34	但那天战事越来越激烈，以色列王仍立在车上，抵抗阿兰人，直到晚上；日落的时后，王就死了。		
			
			
19.0t	第十九章		
			
19.1t	约沙法特受责斥		
19.1 	犹大王约沙法特平安回了耶路撒冷王宫。		
19.2 	先见者哈纳尼的儿子耶胡来见约沙法特王，对他说：「你怎能协助恶人，爱那憎恨上主的人呢﹖因此上主的愤怒必临于你，		
19.3 	不过你还行了好事，因为你由国内铲除了木偶，专心致志寻求了上主。」		
			
19.4t	设立判官		
19.4 	约沙法特在耶路撒冷住了一段时期以后，又出驾巡视民间，由贝尔舍巴直到厄弗辣因山地，引导他们归向上主，他们祖先的天主。		
19.5 	他在犹大境内所有的坚城，每座城内都设立了判官，		
19.6 	对这些判官说：「你们所作所为，必须慎重，因为你们处理诉讼的事，不是为人，而是为上主；你们在处理诉讼时，他必与你们同在。		
19.7 	现在你们应有敬畏上主的心，办事必须勤谨，因为上主，我们的天主，毫无不义，不偏待人，不受贿赂。」		
19.8 	约沙法特在耶路撒冷又另委派了一些肋未人、司祭和以色列族长，为上主施行判断，为耶路撒冷的居民处理诉讼的事，		
19.9 	吩咐他们说：「你们行事应敬畏上主，诚心实意。		
19.10	你们住在各城中的弟兄，无论有什么争讼的案件，向你们投诉，或为血案，或为有关法律与诫命，典章与律例之间的争执，你们应开导他们，以免得罪上主，招致愤怒来到你们和你们弟兄身上；你们如此行事，方可无罪。		
19.11	诸凡属于上主的事，全由大司祭阿玛黎雅指挥你们；所有属于君王的事，概由犹大族长依市玛耳的儿子则巴狄雅处理；有肋未人作你们的书记。你们应勇敢行事，上主必与好人同在。		
			
			
20.0t	第二十章		
			
20.1t	联军进袭犹大		
20.1 	此后，摩阿布人、阿孟人，还有一些玛红人前来攻打约沙法特。		
20.2 	有人来告诉约沙法特说：「由海那边，由厄东有一支大军前来攻击你；他们现已到达哈匝宗塔玛尔，即恩革狄。」		
20.3 	约沙法特害了怕，一面恳求上主，一面宣布全犹大禁食。		
20.4 	犹大人遂集会，求上主援助；犹大各城的人也前来祈求上主。		
			
20.5t	约沙法特的祷词		
20.5 	约沙法特在犹大和耶路撒冷的会众中，站在上主殿宇的新院前，		
20.6 	说「上主，我们祖先的天主！你不是天上的天主吗﹖你不是治理万国万民的么﹖你手中有能力和权威，没有谁能抵抗你。		
20.7 	我们的天主！不是你将这地方的居民，在你百姓以色列面前赶走，将这地方永远赐给了你友人亚巴郎的后代吗﹖		
20.8 	他们现在住在这地方，并在这地方为你的名建造了圣殿说：		
20.9 	如果我们遭遇了祸患，刀兵灾害，或瘟疫饥馑，我们站在这殿前和你面前，在灾难中向你呼吁，你必予以垂听，施行拯救，因为你的名在这殿内。		
20.10	现在你看，阿孟人、摩阿布人以及色依尔山中的人，这些人是以色列出离埃及时，你曾禁止以色列侵犯，以色列便绕道远离，未加消灭的人。		
20.11	你看他们如何报复我们，要来驱逐我们离开你赐予我们为基业的地方。		
20.12	我们的天主，你不惩罚他们吗﹖我们实在没有力量抵抗来攻击我们的这支庞大的军队，我们也不知道该作什么，我们的眼睛惟有仰望你。」		
20.13	当时全犹大民众，连他们全家妻子儿女，都立在上主面前。		
			
20.14t	先知预报胜利		
20.14	上主的神在会众中临于肋未人阿撒夫的后裔，玛塔尼雅的玄孙，耶依耳的曾孙，贝纳雅的孙子，则加黎雅的儿子雅哈齐耳身上，		
20.15	他遂说：「全犹大人耶路撒冷的居民以及约沙法特王，都要静听！上主这样对你们说：你们不要为这支庞大军队害怕，因为战争不在乎你们，而在乎天主。		
20.16	明天你们要下去迎敌，他们要由漆兹山坡上来，你们要在耶鲁耳旷野前的谷口遇到他们。		
20.17	这次你们无须交战，只须布阵以待，观看上主为你们所行的救援。犹大和耶路撒冷，不必畏惧，不必害怕！明天你们只管出去迎敌，因为上主与你们同在。」		
20.18	约沙法特遂俯首至地，犹大民众和耶路撒冷居民也都俯伏在上主面前，朝拜上主。		
20.19	刻哈特子孙和科辣黑子孙中的肋未人起立，引吭高歌，赞颂上主以色列的天主。		
			
20.20t	凯旋归来		
20.20	次日，他们一早就起来，开往特科亚旷野；在出发时，约沙法特立起来说：「犹大和耶路撒冷的居民，请听我的话！你们信赖上主你们的天主，必保生命；相信他的先知，必定胜利。」		
20.21	他与百姓商定之后，便派歌咏人员赞颂上主，身穿圣洁服装，走在军队面前，歌颂说：「你们应赞颂上主，因为他的慈爱永远常存！		
20.22	他们正歌咏赞美时，上主派出伏兵，袭击了那些来攻击犹大的阿孟人、摩阿布人和色依尔山地的居民；他们便被击败了。		
20.23	阿孟人和摩阿布人起来攻击色依尔山地的居民，决心将他们杀尽灭绝；歼灭了色依尔山地居民以后，他们又自相残杀。		
20.24	犹大人到了俯瞰旷野的高岗上，观望大军，见伏尸遍野，没有一个逃脱的。		
20.25	约沙法特遂带他的军民去掠夺敌人的财物，见有大批的牲畜、财物、衣服和宝物；足足掠取了三天，夺得的财物多得不能携带，因为实在太多。		
20.26	第四天，他们聚集在巴辣加谷，在那里赞颂了上主，为此给那地起名叫巴辣加谷，直到今天。		
20.27	此后，犹大和耶路撒冷所有的军民，由约沙法特率领，凯旋回了耶路撒冷，因为上主使他们战胜仇敌，因而异常欢乐，		
20.28	都弹着琴，鼓着瑟，吹着号，来到耶路撒冷，进了上主的殿。		
20.29	列国的民族一听说上主击败了以色列的敌人，都对天主起了恐怖的心。		
20.30	约沙法特的王国于是获享太平，因为上主赐他四境平安。		
			
20.31t	对约沙法特的短评		
20.31	约沙法特为犹大王，即位时年三十五岁，在耶路撒冷为王凡二十五年；他的母亲名叫阿组巴，是史肋希的女儿。		
20.32	约沙法特走了他父亲阿撒的道路，未偏左右，行了上主视为正义的事；		
20.33	只是丘坛没有铲除，人民仍没有全心全意归向他们祖先的天主。		
20.34	约沙法特前后其余的事迹，都记载在哈纳尼之子耶胡的言行录上；这言行录收集在以色列列王实录内。		
			
20.35t	船遭破毁		
20.35	此后，犹大王约沙法特与作恶多端的以色列王阿哈齐雅联盟，		
20.36	合伙制造船只，开往塔尔史士去；他们合力在厄兹雍革贝尔制造了一些船。		
20.37	玛勒沙人多达瓦的儿子厄里厄则尔讲预言攻击约沙法特说：「因为你与阿哈齐雅联盟，上主必要破坏你所造的船只。」后来那些船只果然遭受破坏，未能开往塔尔史士。		
			
			
21.0t	第二十一章		
			
21.1t	约兰王的恶行		
21.1 	约沙法特与列祖同眠，与祖先一同葬在达味城；他的儿子约兰继位为王。		
21.2 	他的兄弟，约沙法特的儿子：哈匝黎雅、耶希耳、则加黎雅、阿匝黎雅、米加耳和舍法提雅，这些都是犹大王约沙法特的儿子，		
21.3 	他们的父亲将许多礼品，金银财宝，以及犹大的坚城分封了他们，却将王位赐给了约兰，因为他是长子。		
21.4 	当约兰登上了他父亲的王位巩固了自己的势力以后，就杀了他所有的兄弟，和几个以色列首领。		
21.5 	约兰即位时年三十二岁，在耶路撒冷作王八年。		
21.6 	他走了以色列列王所走的道路，有如阿哈布家一样，因为他娶了阿哈布的女儿为妻，行了上主视为恶的事。		
21.7 	但是，上主不愿消灭达味家室，因为曾与达味立过约，应许时常给他和他的子孙留下一盏明灯。		
			
21.8t	天主降罚		
21.8 	约兰年间，厄东反叛，脱离了犹大的统治，自立为王。		
21.9 	约兰率领自己的军长和所有的战车前去声讨；他夜间起来，冲出了包围他和战车队长的厄东人。		
21.10	这样，厄东人脱离了犹大的统治，直到现在。里贝纳也同时叛变，脱离了犹大的统治，因为君王离弃了上主，他祖先的天主，		
21.11	并且在犹大山上建立了高丘，使耶路撒冷的居民行淫，使犹大人背信。		
21.12	有人给他送来厄里亚先知的一封信，信上说：「上主，你祖先达味的天主这样说：因为你没有走你父亲约沙法特的路，又没有走犹大王阿撒的路，		
21.13	反而走了以色列列王的路，引诱犹大和耶路撒冷的居民行淫，如同阿哈布家行淫一样；又因为你杀了你父亲家中那些比你好的兄弟，		
21.14	上主必以巨大的灾祸打击你的百姓，你的妻子儿女，以及你所有的财产。		
21.15	至于你，你必生一种极严厉的病，肠胃病，以至两年内，你的肠子都要流出来。」		
			
21.16t	预言实现		
21.16	上主激起培肋舍特人和临近雇士的阿剌伯人的心，与约兰为敌。		
21.17	他们遂前来攻击犹大，侵入境内，掠去了王宫所有的财物，掳去了他的儿子妻妾；除他最小的儿子约阿哈次外，没有给他留下一个儿子。		
21.18	此后，上主以一种不能医治的肠胃病打击了约兰。		
21.19	这病缠绵了一年多；二年末，当他的终期来到时，他的肠子因病都流了出来，他在极苦痛中死了。他的百姓没有为他举行焚香礼，如同为他的列祖所行的一样。		
21.20	他即位时年三十二岁，在耶路撒冷作王八年。他逝世后，无人表示悲哀。人将他葬于达味城，但没有葬在王陵内。		
			
			
22.0t	第二十二章		
			
22.1t	阿哈齐雅即位行恶		
22.1 	耶路撒冷居民立了约兰的小儿阿哈齐雅继位为王，因为与阿剌伯人同来攻营的匪徒，将他的哥哥全都杀了，因此犹大王约兰的儿子阿哈齐雅即位为王。		
22.2 	阿哈齐雅即位年二十二岁，在耶路撒冷作王一年；他的母亲名叫阿塔里雅，是敖默黎的孙女。		
22.3 	阿哈齐雅也走了阿哈布家的道路，因为他母亲主使他作恶。		
22.4 	他行了上主视为恶的事，同阿哈布家一样，因为自他父亲死后，阿哈布家人给他出主意，使他趋于灭亡。		
22.5 	他随从了他们的计谋，同以色列王阿哈布的儿子耶曷兰，往辣摩特基肋阿得与阿兰王哈匝耳交战；阿兰人击伤了耶曷兰，		
22.6 	耶曷兰遂回依次勒耳，治疗他在辣摩特与阿兰在哈匝耳交战时所受的伤。犹大王约兰的儿子阿哈齐雅因阿哈布的儿子耶曷兰患病，就下到依次勒耳去探望他。		
			
22.7t	阿哈齐雅被杀		
22.7 	阿哈齐雅去看望耶曷兰反而遇害，这原是出于天主；因为他到了以后，便与耶曷兰出击尼默史的孙子耶胡，而耶胡即是上主用油所傅，为消灭阿哈布家的。		
22.8 	耶胡讨伐阿哈布家时，遇到了犹大的一些首领和事奉阿哈齐雅的侄子们，便将他们杀了；		
22.9 	然后去寻找阿哈齐雅；阿哈齐雅当时藏在撒玛黎雅，人将他拿住，解到耶胡那里，耶胡也将他杀了，以后人也埋葬了他，因为人说：「他究竟是那一心寻求上主的约沙法特的孙子。」这样，阿哈齐雅家中没有一个人能即位为王。		
			
22.10t	母后篡位		
22.10	阿哈齐雅的母亲阿塔里雅见自己的儿子死了，便起来歼灭了犹大家中所有的王族后裔。		
22.11	约兰王的女儿约舍巴，将阿哈齐雅的儿子约阿士由被杀的太子中偷了出来，将他和他的乳母藏在圣殿的寝室里。约舍巴─约兰王的女儿，约雅达大司祭的妻子，阿哈齐雅的姐妹─就这样藏匿了约阿士，没有被阿塔里雅杀害。		
22.12	约阿士与她们在天主殿内隐藏了六年，当时由阿塔里雅主持国政。		
			
			
23.0t	第二十三章		
			
23.1t	约阿士登极		
23.1 	第七年，约雅达自告奋勇，将众百夫长：耶洛罕的儿子阿匝黎雅，约哈南的儿子依市玛耳，敖贝得的儿子阿匝黎雅，阿达雅的儿子玛阿色雅和齐革黎的儿子厄里沙法特召来，与他们立约。		
23.2 	他们走遍了犹大，召集犹大各城的肋未人，和以色列各族长一起来到耶路撒冷。		
