1.-2t	圣咏集
39.3	我默不作声，以免口出恶语，但我的痛楚，更因此而加剧。
39.4	我的心在腔内滚滚沸腾，我愈沉思愈觉得烈火如焚；我的舌头便不耐烦地说：
39.5	「上主，我恳求你明白启示我：我的终期和寿数究有几何，好使我知道我是何等脆弱。」
39.6	看，你使我的岁月屈指可数，我的生命在你前算是虚无。世人的生存，只是一口呵嘘。
39.7	人生实如泡影，只是白白操劳，他们所有积蓄不知谁来得到。
39.8	我主，现今我还有什么希望？我的希望寄托在你的身上！
39.9	求你救我脱离我的种种罪愆，不要使我受愚人的耻笑侮慢。
39.10	我静默不言，有口不开，因为这事是由你安排。
39.11	求你由我身上除去这场灾患，因你手的打击，我已消瘦不堪。
39.12	你为了罚罪而把世人惩治，你象蛀虫将他的珍宝侵蚀；至于人，不过只是一口气。
39.13	上主，求你俯听我的祈祷，求你侧耳静听我的哀告，莫要作聋不听我的哭号。因为我在你前只是旅客，如我列祖一样只是路过。
39.14	求你转移你的目光，不要怒视我，使我一去不返之前，能得享安乐。
	
	
40.0t	四十：[感恩与求恩](18)
40.1	达味诗歌，交与乐官。
40.2	我热切诚恳地期待了上主，他便垂顾俯听了我的哀诉。
40.3	他把我从祸坑与污泥中救出，放我在磐石上，稳定我的脚步。
40.4	他将新歌置于我口，为赞美我们的天主；众人见了起敬起畏，都将全心信赖上主。
40.5	凡全心依靠上主，不对傲慢倾慕，且又不依附虚伪的，真是有福！
40.6	上主，我的天主！你行的奇迹异事，真令人不知几许！你对我们的计划，无人能与你相辅，我纵愿宣扬伸述，也多得不可胜数。
40.7	牺牲与素祭已非你所喜，就开了我的耳朵；全燔之祭以及赎罪之祭，也己非你所要。
40.8	于是我说：「你看，我已到来！关于我，书卷上已有记载：
40.9	我的天主，承行你的旨意为我所喜爱，你的法律常存于我的心怀。」
40.10	在盛大的集会中，我宣扬了你的正义，看，我并没有闭口不言，上主，你全知悉。
40.11	我从没有将你的正义隐蔽在心间，对你的忠厚和救援时时各处宣传；对于你的慈爱和忠义，在盛会中我没有隐蔽，
40.12	上主，求你对我不要撤回你的怜悯，愿你的慈爱和忠诚对我时加保存。
40.13	因为，四周困迫我的灾祸，实不可胜数；我的罪过紧握着我，使我无法目睹；数目比我头发还多，真使我心痛苦。
40.14	上主，求你开恩救我，上主，求你速来助我。
40.15	愿那些图谋害我的人，一同蒙耻受辱，愿那些喜欢我遭难的人，一起含羞退走！
40.16	愿那些哈哈戏笑我的人，都满面羞惭地惊惶失神！
40.17	愿那些寻求你的人，都因你欢欣鼓舞，愿恋慕你救恩的人，都常说：「大哉上主！」
40.18	我虽然卑微贫苦，我主却对我眷顾；你是我的助佑，我的救援，我的天主，求你不要迟延。
	
	
41.0t	四一：[病重者的恳祷](14)
41.1	达味诗歌，交与乐官。
41.2	眷顾贫穷人的人，真是有福，患难时日，他必蒙上主救助。
41.3	上主必保护他，赐他生存，在世上蒙福，决不将他交给他的仇敌而任敌所欲。
41.4	他呻吟床榻，上主给他支援，他患病时，使他转危为安。
41.5	我曾哀求你：「上主，求你怜悯我，求你治愈我，因为我得罪了你。」
41.6	我的仇敌反而恶言辱骂我说：「他何时死，他的名字几时泯灭？」
41.7	前来探访我的人，只以虚言相待，其实是心怀恶意，出去便说出来。
41.8	恨我的人，个个窃窃私议，咒我遭殃生疾：
41.9	「愿他身患恶疾！愿他一病不起！」
41.10	连我素来信赖的知心友好，吃过我饭的人，也举脚踢我。
41.11	上主，求你可怜我，使我病除，使我能对他们给以报复。
41.12	我以此作为你真爱我的记号：就是不让我的敌人向我夸耀；
41.13	你时常保持我无灾无难，使我永远站在你的面前。
41.14	愿上主，以色列天主，受赞颂，自永远直到永远，阿们，阿们！
	
42.-1t	卷二(42-72)
	
42.0t	四二：[对天主圣殿的渴望](12)
42.1	科辣黑后裔的训诲歌，交与乐官。
42.2	天主，我的灵魂渴慕你，真好象牝鹿渴慕溪水。
42.3	我的灵魂渴念天主，生活的天主，我何时来，能把天主的仪容目睹？
42.4	有人终日向我说：「你的天主在那里？」我的眼泪竟变成了我昼夜的饮食。
42.5	我想起昔日周旋在欢乐的群众里，在群众欢呼赞颂的歌声里，领他们朝觐天主的圣殿时，我的心不免感到忧伤悲戚，
42.6	我的灵魂，你为何悲伤，为何忧苦？期望天主！因为我还要向他颂祝，因为他是我的救援，是我的天主。
42.7	我自约旦地，从赫尔孟山，由小丘陵，一想起你来，我的灵魂即惴惴不宁。
42.8	在你瀑布的巨声下，深渊与深渊和唱；你所有的洪涛巨浪，都冲击在我身上。
42.9	但愿上主在白昼颁赐他的恩爱慈惠，我夜间向赐我生命的天主歌颂赞美！
42.10	我对天主说：我的磐石，你为什么将我遗忘？为什么常在仇人的压迫下徘徊沮丧？
42.11	我仇敌欺凌我时，我觉得痛入骨髓，他们终日对我说：「你的天主在那里？」
42.12	我的灵魂，你为何悲伤，为何忧苦？期望天主！因为我还要向他颂祝，因为他是我的救援，是我的天主。
	
	
43.0t	四三(5)：
43.1	天主，求你为我伸冤，驳斥残酷的人民，求你救我脱离欺诈和邪恶的人。
43.2	天主，你既是我的勇力，你为什么驱逐我？为什么让我在仇人的压迫下，忧伤走过？
43.3	求你发出你的光明和你的真理：引导我，带我到你的圣山和居所。
43.4	我就要走近天主的祭台前，走近我最喜悦的天主面前。天主，我主！我向你弹琴颂赞。
43.5	我的灵魂，你为何悲伤？为何忧苦？期望天主！因为我还要向他颂祝，因为他是我的救援，是我的天主。
	
	
44.0t	四四：[国遭大难祈主保佑](27)
44.1	科辣黑后裔的训诲歌，交与乐官。
44.2	天主，我们亲耳听见过，祖先也给我们述说过：昔日在他们那一时代，你手所行的伟业。
44.3	你为栽培他们，曾亲手驱散外人，你为发展他们，曾亲自磨难异民。
44.4	的确，他们占领了那地，并非靠着自己的刀剑，他们获得了胜利，并非靠着自己的臂腕；完全是赖着你的右手和你的腕能，并你仪容的光辉，因为你喜爱他们。
44.5	你是我的天主，我的君王，是你使雅各伯打了胜仗。
44.6	仰仗着你，我们克胜了我们的对头，因你的名，我们践踏了我们的仇敌。
44.7	因我从未依恃过我的弓箭，拯救我的，也不是我的刀剑，
44.8	而是你救我们脱离了我们的对头，是你使痛恨我们的人都蒙羞受辱。
44.9	我们时时以天主而自豪，永永远远歌颂你的名号。
44.10	然而现今你抛弃我们，使我们蒙羞受辱，你也不再与我们的军队，一同出征为伍；
44.11	反而使我们在敌人前，转身败走，让那些恨我们的人，劫夺俘虏。
44.12	你使我们有如待宰的羔羊，你使我们漂流而逃亡异邦；
44.13	你将你的子民贱价出售，你由售价并未多获财富。
44.14	你使我们遭受邻邦的侮辱，四周人民对我们讽刺咒诅；
44.15	你使我们成了异族的话柄，外邦人都向我们摇头热讽。
44.16	我的耻辱终日摆在我的眼前，羞愧也常笼罩着我的脸面：
44.17	因我听到侮慢与欺凌者的声音，又面临仇敌和寻隙报复的人民。
44.18	我们虽然从未把你忘记过，从来没有违背过你的盟约，但我们身受了这一切灾祸。
44.19	我们的心志从来没有萎靡退缩，我们的脚步也未偏离你的正道；
44.20	但你竟将我们抛弃在野犬的边界，以死亡的阴影把我们遮盖。
44.21	如果我们忘却了我们天主的圣名，并举起我们的手朝向外邦的神明：
44.22	难道天主究查不出这事？因为他洞悉人心的隐密。
44.23	我们却是为了你，时常受伤受戕，他们竟将我们视作待宰的群羊。
44.24	醒来！我主，你为什么依旧沉睡？起来！你不要永远把我们抛弃。
44.25	你为什么掩起你的慈颜，不顾我们的痛苦和辛酸？
44.26	请看，我们的灵魂已俯伏在灰间，我们的身体已紧贴于地面。
44.27	求你站起来，援助我们，因你的慈爱，拯救我们。
	
	
45.0t	四五：[默西亚君王祝婚歌](18)
45.1	科辣黑后裔的训诲歌，又名爱情歌。交与乐官，调寄「百合」。
45.2	我的心灵涌溢优雅的言辞，向我君王倾吐我的赞美诗；我舌好象书写流利的妙笔。
45.3	你在世人中最为美丽，你口唇中流露着慈惠，因此天主永远降福你。
45.4	英雄！请在腰间佩带你的刀剑，就是佩带上你的荣耀和威严。
45.5	愿你为了信实和正义驱驾顺利，愿你的右手指导你惊人的奇事！
45.6	万民必因你的锐箭屈服于你，君王的众仇敌必要胆破心悸。
45.7	上主！你的御座永远常存，你治国的权杖无比公允。
45.8	你爱护正义，你又憎恨罪辜：为这个原故，天主，你的天主，以喜油傅你，胜过你的伴侣。
45.9	你的衣冠散布没药、沉香、与肉桂的芬芳。由象牙宫中奏出弦乐的声音，使你欢畅；
45.10	列王的公主都成群结队前来欢迎你，王後佩带敖非尔金饰，在你右边侍立。
45.11	女儿，请听，请看，也请侧耳细听：忘却你的民族、和你父的家庭，
45.12	因为君王恋慕你的美艳雅丽，他是你主，你应向他俯首至地！
45.13	提洛的女儿都前来奉献礼品，民间的显要都想得你的欢心。
45.14	公主穿戴齐备，姗姗来迎，她的衣服全是金丝绣成。
45.15	她身穿绣衣华服，被引到君王面前，成群的童女陪伴着她，也到你身边：
45.16	在欢乐歌舞声中，一齐进入了王宫。
45.17	你的子孙要承嗣你的先祖；立他们为王，统治普天率土。
45.18	我要使你的名永垂不朽；万民将歌颂你至于永久。
	
	
46.0t	四六：[天主与我们同在](12)
46.1	科辣黑后裔的诗歌，交与乐官，女声高音。
46.2	天主是我们的救助和力量，是患难中最易寻到的保障。
46.3	因此，纵使地动山崩，堕入海心，我们也决不会疑惧横生；
46.4	海涛尽管汹涌翻腾，山岳尽管因浪震动：与我们同在的是万军的天主，雅各伯的天主是我们的保护。
46.5	河流要使天主的城邑欢乐，即至高者所住的至圣居所，
46.6	天主定居其中，此城决不动摇；清晨曙光一现，天主即加扶牢。
46.7	异民尽管扰乱，万邦尽管骚动，天主一发喝声，大地即刻消溶。
46.8	与我们同在的是万军的上主，雅各伯的天主是我们的保护。
46.9	请你们前来观看上主的作为，看他在地上所行的惊人事迹：
46.10	他消灭战争直达地极，他断弓毁矛，烧甲焚盔。
46.11	「你们要停手！应承认我是天主，是万民的至尊，是大地的上主。」
46.12	与我们同在的，是万军的上主，雅各伯的天主是我们的保护。
	
	
47.0t	四七：[上主胜利凯歌](10)
47.1	科辣黑后裔的诗歌，交与乐官。
47.2	万民，你们要鼓掌欢腾，也要向天主欢呼祝庆！
47.3	因上主至大至尊，可敬可畏，他是统治宇宙的伟大君主。
47.4	他镇压万民属我们管辖，他屈服列邦在我们脚下。
47.5	他为我们选定了我们的基业，即他所钟爱的雅各伯的光彩。
47.6	天主上升，有欢呼声护送，上主腾空，有号角声相从。
47.7	你们应歌颂，歌颂我们的天主，你们应歌颂，歌颂我们的君主。
47.8	因为天主是普世的君王，你们都应该以诗歌赞扬。
47.9	天主作王统治万国，天主登上圣座宝位。
47.10	万民的王侯聚起来，要作亚巴郎天主的子民；因为大地的权贵，尽属于天主，唯天主至高至尊。
	
	
48.0t	四八：[颂扬保卫圣城的天主](15)
48.1	科辣黑后裔的诗歌。
48.2	在我们天主的城池中，上主至大，应受到赞颂。
48.3	他的圣山巍峨高耸，是普世的欢喜，北方中心熙雍圣山，是大王的城邑。
48.4	天主居于堡垒的中央，显自己为稳固的保障。
48.5	请看，众王纷纷相聚，他们蜂拥走向前去，
48.6	他们一见，惊魂丧胆，张惶失措，抱头鼠窜。
48.7	他们在那里惶惧恐怖，苦痛有如临盆的孕妇；
48.8	好象塔尔史士的船只，为强烈的东风所袭击。
48.9	在万军上主的城里，即我们天主的城堡，我们所见正如所闻：天主必使城堡永固。
48.10	天主，我们在你的殿里，沉思默念着你的仁慈。
48.11	天主，你的名号远达地极，你受的赞美亦应该如此。你的右手全充满了正义，
48.12	熙雍山因你的公正而喜乐；犹大女子要因此欢欣踊跃。
48.13	你们环绕熙雍巡游，你们数点她的城楼，
48.14	观察她的城廓，巡视她的碉堡，叫你们好能向后代子孙陈述：
48.15	他的确是伟大的天主，也永远是我们的天主，始终领导我们的天主。
	
	
49.0t	四九：[世福世乐皆虚](21)
49.1	科辣黑后裔歌，用高音，交与乐官。
49.2	关于这事，请万民都要静听，普世居民，请你们侧耳细听，
49.3	不论贫富无分缙绅百姓，请你们都一一侧耳聆听。
49.4	我的口要宣讲智慧，我的心要思念哲理。
49.5	我要侧耳恭听谚语，我要鼓琴解释谜语。
49.6	当陷害我者的毒谋围困我时，在我困厄的日期，我有何所惧？
49.7	因为他们只知依恃财产的富足，他们只会夸耀自己金钱的丰裕；
49.8	但是金钱不能使任何人得救，决不能把人的赎价还给天主，
49.9	因为人命的赎债非常昂贵，任何金钱也决不足以赎回，
49.10	不能使人生存久长，不能使人不见死亡。
49.11	你看，智者死去，愚昧者也同样沉沦，他们都将自己的财产遗留给别人。
49.12	他们虽然曾以自己的名号，给一些地方命名，但是他们永久的住宅，万代的居所却是坟茔。
49.13	人在富贵中绝不能久长，将与牲畜无异，同样死亡。
49.14	这就是自满昏愚者的终途，这就是自夸幸运者的末路。
49.15	他们就如羊群一般被人赶入深坑，死亡要牧放他们，义人要主宰他们。他们的容貌即刻色衰，阴间将是他们的住宅。
49.16	但是天主必救我灵脱离阴府，因为他要把我提走。
49.17	不要嫉妒他人变成富翁，不要忌恨他人家产倍增；
49.18	因为他死时什么也不能带走，他的财产也不能随着他同去。
49.19	他在生时虽自我陶醉说：「只要你幸福，人必夸赞你。」
49.20	他终要回去和他的祖先相逢，永永远远他再不能看到光明。
49.21	人在富贵中，不深思远虑，将与牲畜无异，都要死去。
	
	
50.0t	五十：[事主应出于虔诚](23)
50.1	阿撒夫诗歌。上主，全能者天主，出令传召下土，由太阳的出处直到太阳的落处。
50.2	天主由美丽绝伦的熙雍，发出光明，
50.3	我们的天主来临，绝不会默默无声；吞噬的烈火在他前面开道，旋转的风暴在他四周怒号。
50.4	他呼唤了上干下坤，要审判自己的人民：
50.5	「你们应当给我聚集虔敬我的人，那以牺牲与我订立盟约的人。」
50.6	诸天要宣示天主的公正，因为他要亲自审判世人。
50.7	「请听，我的子民，我要发出言语，以色列，我向你警戒申诉：我是天主，我是你的天主。
50.8	我并不因你的祭献而责备你，因为我面前常有你的全燔祭。
50.9	我无须从你的家里将牛犊获取，也无须由你的圈里把山羊捉捕；
50.10	因为，森林里的种种生物，全归于我，山陵上的千万走兽，都属于我；
50.11	天空中的一切飞鸟，我都认识，田野间的所有动物，我全知悉。
50.12	如果我饥饿，我不必向你告诉，因宇宙和其中一切尽属我有。
50.13	难道我吃牛犊的肉块，或者我喝山羊的鲜血？
50.14	为此你该向天主奉献感恩祭，又该向至高者还你的愿誓。
50.15	在困厄的时日，你呼号我，我必拯救你，你必光荣我。」
50.16	天主却对恶人说：你怎么胆敢传述我的诫命，你的口怎敢朗颂我的法令？
50.17	你岂不是恼恨规矩，将我的话置诸脑后？
50.18	你遇见了盗贼，便与他同僚，与犯奸淫的人，就同流合伙；
50.19	你的口出言不善，你的舌造谣欺骗；
50.20	不停地毁谤你的兄弟，常污辱你母亲的儿子。
50.21	你既作了这些，我岂能缄口不言？难道你竟以为我真能与你一般？我要责斥你，将一切放在你眼前。
50.22	忘记天主的人们！你们要彻底觉悟，免得我撕裂你们时，没有人来抢救。
50.23	奉献感恩祭的人，就是给我奉献光荣赞颂，行为正直的人，我要使他享见天主的救恩。
	
	
51.51t	五一：[认罪忏悔](21)
51.1	达味诗歌，交与乐官。
51.2	作于纳堂先知前来指责他与巴特舍巴犯奸之后。
51.3	天主，求你按照你的仁慈怜悯我，依你丰厚的慈爱，消灭我的罪恶。
51.4	求你把我的过犯洗尽，求你把我的罪恶除净，
51.5	因为我认清了我的过犯，我的罪恶常在我的眼前。
51.6	我得罪了你，惟独得罪了你，因为我作了你视为恶的事；因此，在你的判决上，显出你公义，在你的断案上，显出你的正直。
51.7	是的，我自出世便染上了罪恶，我的母亲在罪恶中怀孕了我。
51.8	你既然喜爱那出自内心的诚实，求在我心的深处教我认识智慧。
51.9	求你以牛膝草洒我，使我皎洁，求你洗涤我，使我比雪还要洁白。
51.10	求你赐我听见快慰和喜乐，使你粉碎的骨骸重新欢跃。
51.11	求你掩面别看我的罪过，求你除掉我的一切罪恶。
51.12	天主，求你给我再造一颗纯洁的心，求你使我心重获坚固的精神。
51.13	求你不要从你的面前把我抛弃，不要从我身上将你的圣神收回。
51.14	求你使我重获你救恩的喜乐，求你以慷慨的精神来扶持我。
51.15	我要给恶人教导你的道路，罪人们都要回头，向你奔赴。
51.16	天主，我的救主，求你免我血债，我的舌头必要歌颂你的慈爱。
51.17	我主，求你开启我的口唇，我要亲口宣扬你的光荣。
51.18	因为你既然不喜悦祭献，我献全燔祭，你也不喜欢。
51.19	天主，我的祭献就是这痛悔的精神，天主，你不轻看痛悔和谦卑的赤心。
51.20	上主，求你以慈爱恩待熙雍，求你重修耶路撒冷城。
51.21	那时，你必悦纳合法之祭，牺牲和全燔祭献；那时，人们也必要把牛犊奉献于你的祭坛。
	
	
52.52t	五二：[谗谤者的恶报](11)
52.1	达味的训诲歌，交与乐官。
52.2	作于厄东人多厄格前去报告撒乌耳，说达味到了阿希默肋客家后。
52.3	你这以作恶端为能事的人！你为什么竟以犯罪为荣为幸？
52.4	你这欺诈的人，你时时怀念邪恶，你的舌头正如一把锐利的剃刀。
52.5	你爱作恶超过行善，你爱说谎超过真言。
52.6	你这欺诈虚伪的舌头，凡伤人的话你都羡慕。
52.7	为此，天主必要消灭你，把你永远废去，要从帐幕中拔去你，由人间将你根除。
52.8	义人见了必然害怕，要对他冷嘲热笑说：
52.9	「请看，这便是那不以天主作自己保障的人，他只依恃自己的财富，以邪恶而夸胜。」
52.10	我却好象天主殿中的茂盛橄榄树，全心信赖天主的慈爱，一直到永久。
52.11	上主，因你行了此事，我要永远向你称颂，我要在你圣徒面前，赞扬你美善的圣名。
	
	
53.53t	五三：[人因不信天主而败坏](7)
53.1	达味训诲歌，交与乐官，悲调。
53.2	愚妄的人心中说：「没有天主，」他们都丧尽天良，恣意作恶。行善的人实在找不到一个。
53.3	天主由高天俯视世人的子孙，察看有无寻觅天主的明智人，
53.4	从都离弃了正道，趋向邪恶，没有一人行善，实在没有一个。
53.5	那些作奸犯科的人，吞我民如食馒头；总不呼号天主的人，岂不是愚蠢糊涂？
53.6	在不应惊慌之处，他们反倒惊惶发呆，因为天主分散了那围攻你者的骨骸，他们必将蒙羞，因天主已把他们弃舍。
53.7	唯愿以色列人的救援来自圣熙雍！一旦天主将自己民族的命运变更，雅各伯必将喜庆，以色列必将欢腾。
	
	
54.54t	五四：[向天主求助](9)
54.1	达味训诲歌，交与乐官，和以弦乐。
54.2	作于齐弗人来对撒乌耳说：「看，达味藏在我们这里」时。
54.3	天主，求你因你的名赐我救援，求你并以你的权能为我伸冤。
54.4	天主，求你俯听我的祈求，侧耳倾听我的投诉。
54.5	因为傲慢的人们起来向我进攻，蛮横的人想谋害我的生命，他们没有把天主放在眼中。
54.6	请看，天主必定给我助阵，上主必扶持我生命。
54.7	求你使灾祸报应在我的仇敌身上，求你凭你的忠诚将他们消除灭亡。
54.8	我要自愿地向你奉上祭献，上主，我要对你的美名称赞。
54.9	因为你救我脱离了一切灾难，使我亲眼看见我的仇敌溃散。
	
	
55.55t	五五：[遭难人的哀祷](24)
55.1	达味训诲歌，交与乐官，和以弦乐。
55.2	天主，求你侧耳倾听我的祈祷，求你不要回避我的哀告。
55.3	求你俯视我，并垂允我，我痛苦忧伤，叹息悲号：
55.4	由于仇敌的叫嚣，并因恶人的吵闹，因加于我的灾祸，怒中给我的骚扰，
55.5	我的心在我胸内焦灼，死亡的恐怖笼罩了我，
55.6	惊惧与战栗侵袭了我，恐怖与烦恼淹没了我。
55.7	我于是说：「但愿我有鸽子般的翅膀，为能飞翔而去，栖身安藏！」
55.8	看，我必要逃往远处，在荒凉的地方暂住；
55.9	从速寻找一个避难所，避过这一场风狂雨暴。
55.10	我主，求你分散扰乱他们的语言，因我在城中只见到斗争与纷乱：
55.11	他们日夜在城墙上巡行，邪恶与欺压在城中丛生。
55.12	城池中已满布诡计，霸道欺诈横行街市。
55.13	若是我的仇人辱骂我，我还可容忍；若是恼恨我者欺凌我，我尚可退隐；
55.14	可惜是你，我的同僚，我的伙伴，我的友好；
55.15	我们曾经推心置腹，无所讳言，在人群中走进了天主的圣殿。
55.16	愿死亡突袭他们，活活的坠入阴府！因为他们的居处和内心满是恶毒。
55.17	但我却要呼号天主，上主必定予我救助。
55.18	不论在黄昏在清晨或在中午，我哀声悲叹，他必听我的苦诉。
55.19	他必从迫害我的人中，救我安然脱险，因为那些反对我的人，实在众多难算。
55.20	永远为王的天主必要俯听我，而把他们赶走，因为他们不知回心转意，而又不知敬畏天主。
55.21	他们伸手攻击自己的友好，他们任意违背订立的盟约。
55.22	他们的容貌比奶油更光滑，心却是好战；他们的言语比脂粉还柔和，但口蜜腹剑。
55.23	将你的重担卸交上主，他必扶持你，他决对不会让义人永远动摇不止。
55.24	天主，求你使他们堕入灭亡的深穴！凶手和奸诈的歹徒必定中年夭折。上主，但我却要时常一心唯你是赖。
	
	
56.56t	五六：[唯天主是赖](14)
56.1	达味金诗，交与乐官。作于培肋舍特人在加特捉住他时。调寄「远方无声鸽」。
56.2	天主，求你怜悯我，因为人要谋害我，时时处处有人攻击我，有人欺压我。
56.3	我的仇敌终日谋害我，攻击我的人实在众多。
56.4	至高者！恐惶侵袭我的时日，我只有全心仰赖你。
56.5	我全心倚赖天主，并歌颂他的许诺；我决不怕血肉的人，对我要做什么。
56.6	他们终日破坏我的生活，千方百计地想加害于我；
56.7	他们群集埋伏，窥伺我的行径，他们等待时机，谋图我的性命。
56.8	天主，求你审判他们的罪行；求你在盛怒中将异民敉平。
56.9	我多次流离失所，你都知悉，我的眼泪，聚在你的皮囊里；岂不是也写在你的书卷内？
56.10	我几时呼号你，我的仇敌便退却，从此我也全知道，天主常扶助我。
56.11	我全心倚赖天主，歌颂他的许诺；
56.12	决不怕脆弱的人，对我要做什么。
56.13	天主，我必遵守向你所许的愿，我必要向你偿还感恩的祭献。
56.14	因为你救我脱离死亡，使我的脚免于跌仆，使我能在活人的光明中，在天主面前行走。
	
	
57.57t	五七：[危机中满怀信赖](12)
57.1	达味金诗，交与乐官，作于逃入洞中躲避撒乌耳时。调寄「莫要毁坏」。
57.2	求你怜悯我，天主，求你怜悯我，因为我的灵魂，一心向你投靠，投靠到你翅翼的荫庇下，等待一切凶祸过去才罢。
57.3	我向至高者天主呼救，呼救施惠于我的天主；
57.4	愿天主自天赐下慈爱，并赐下忠实，拯救我，却对追赶我的人加以凌辱。
57.5	我躺卧在群狮的中间，个个都想把人子吞咽；他们的牙齿是长矛锐箭，他们的舌头是锋刀利剑。
57.6	天主，愿你的尊高，彰显于天，愿你的光荣，普临尘环！
57.7	他们为我的脚设下了罗网，要我的性命；在我前面挖掘了陷阱，自己反跌入其中。
57.8	天主，我的心已准备妥当，我的心已准备妥当，我愿意去歌弹咏唱。
57.9	我的灵魂，你要醒起来，七弦和竖琴，要奏起来，我还要把曙光唤起来。
57.10	上主，我要在万民中赞美你，上主我要在列邦中歌颂你。
57.11	因为你的大爱高越诸天，你的忠信直达宵汉。
57.12	天主，愿你在天上备受举扬，愿你在地上彰显荣光！
	
	
58.58t	五八：[天主必秉公行审](12)
58.1	达味金诗，交与乐官。调寄「莫要毁坏」。
58.2	判官们！你们是否真正出言公平？世人们！你们是否照理审断案情？
58.3	可惜，你们一心只想为非作恶，在地上你们的双手只行宰割。
58.4	作恶者一离母胎，即背离正路；说谎者一出母腹，即走入歧途。
58.5	他们满怀的毒素有如蛇毒；他们又象塞住耳朵的聋蝮，
58.6	不听巫士的声音，不随灵妙的妖术。
58.7	天主，求你把他们口中的牙齿捣烂，上主，求你把少壮狮子的牙床打断。
58.8	愿他们有如奔湍的急水流去，愿他们有如被踏的青草枯萎；
58.9	愿他们有如蜗牛爬过溶化消失，又如流产的胎儿不得亲见天日！
58.10	他们的锅在未觉到荆火以前，愿狂怒的烈风将他们全吹散！
58.11	义人看见大仇己报时，必然喜乐，他要在恶人的血中洗自己的脚。
58.12	如此，众人都说：「义人果然获得了好的报酬，世上确有执行审判的天主！」
	
	
59.59t	五九：[危机中求救](18)
59.1	达味金诗，交与乐官。调寄「莫要毁坏」。作于撒乌耳为杀害达味，派人窥伺他的寓所时。
59.2	我主，求你由我的仇敌中，救我免难，求你从攻击我者中，使我脱险；
59.3	求你救我脱离为非作歹的人，求你救我远离好流人血的人。
59.4	上主，你看，我虽然没有作过恶，没有犯过罪，但强横人为害我的性命，却群起与我作对。
59.5	我虽然无辜，他们却跑来挑战，求你醒来扶助我，且予以察看。
59.6	因为你是上主，万军的天主，以色列的天主，醒来严罚这些群众，别恩待这些背信恶徒。
59.7	他们晚上归来，狂吠如犬，他们环绕城池，四周围转。
59.8	看，他们的唇舌宛如利剑，且满口傲慢说：「有谁听见？」
59.9	但是你，上主，你必嘲笑他们，你必讥讽这般异民。
59.10	我的力量，我只有仰望于你，因为你是天主，是我的堡垒。
59.11	愿那爱我的天主援助我，使我因仇敌失败而欢乐！
59.12	天主，求你击杀他们，免得侵犯我的人民；上主，我的护盾，你以强力扰乱制服他们。
59.13	他们口唇所说的话语，他们口舌所犯的罪过，愿他们因自己的骄傲咒骂与谎言，自陷网罗！
59.14	求你发怒灭绝他们，灭绝他们无一存立，使人知道：天主在雅各伯为王，直达地极。
59.15	他们晚上归来，狂吠如犬，他们环绕城池，四周围转。
59.16	他们到处游荡，觅食糊口。若不得饱食，便狂吠不休。
59.17	但是，我要称颂你的威能，每日清晨欢呼你的宽仁，因为只有你是我的碉堡，是我困厄时日的避难所。
59.18	我的力量，我只有向你歌唱，因为你是天主，是我的保障。你是我的天主，你对我慈祥。
	
	
60.60t	六十：[惨败后的哀祷](14)
60.1	达味金诗，交与乐官，调寄「见证的百合」，背唱。
60.2	作于他和两河间的阿兰及阿兰祚巴交战时。那时约阿布归来，在盐谷杀了一万二千人。
60.3	天主，你抛弃了我们，粉碎了我们！你曾发怒，今求你复兴我们。
60.4	你曾使大地震动，使地裂土崩，求你弥补裂缝，因它摇摇不定。
60.5	你使你的百姓遭受艰苦，使我们喝了麻醉的烈酒。
60.6	然后你为敬畏你的人，竖起旗帜，为使他们闪避仇敌的弓矢；
60.7	为叫你所爱的人，获得救恩；求你以右手协助，垂允我们。
60.8	天主在自己的圣所说：「我要凯旋，将舍根分疆，将稣苛特的平原测量。
60.9	基肋阿得地属于我，默纳协地也属于我；我的头盔就是厄弗辣因，犹大成为我手中的权棍；
60.10	摩阿布是我的沐浴池，我向厄东投我的鞋只，我还要战胜培肋舍特。」
60.11	谁引领我进入坚城，谁领导我走进厄东？
60.12	天主，莫非你已将我们抛弃，天主从今不再领我军出击？
60.13	求你援助我们抵抗仇敌，因为人的援助尽是虚无。
60.14	我们倚靠天主奋勇行事，他必要践踏我们的仇敌。
	
	
61.61t	六一：[流落异乡者的祈祷](9)
61.1	达味作，交与乐官，和以弦乐。
61.2	天主，求你俯听我的哀号，求你细听我的祈祷。
61.3	当我心灵忧戚时，我由地极呼号你，求你领我上那崇高磐石，使我安息。
61.4	因为你是我的避难所，是我抗敌的坚固碉堡。
61.5	愿我常在你的帐幕内寄住，在你的翼护下隐居！
61.6	天主，你果真满全了我的志愿，赐给了我敬畏你名者的财产。
61.7	愿你使君王的寿命日增，并使他的年岁世世无穷！
61.8	愿他在天主前为王，直至永远，求你广施慈爱忠诚，使他安全！
61.9	因此，我要常常歌赞你的名号，为能使我日日偿还我的誓约。
	
	
62.62t	六二：[天主是唯一希望](13)
62.1	达味诗歌，交与乐官耶杜通。
62.2	我的灵魂只安息在天主内，因为我的救援是由他而来。
62.3	只有他是我的磐石，我的救星；他是我的堡垒，我决不致摇倾。
62.4	你们不断侵犯一人，并向他一人冲击，如冲击将倒的墙，将坍的壁，要到几时？
