1.-1t	玛加伯上
5.65	犹大同他的兄弟们，又出征住在南方的厄撒乌子民，攻陷了赫贝龙及所属村镇，毁坏了城堡，焚烧了城墙四周的碉楼。
5.66	然后拔营前进，经过玛黎撒，来到培肋舍特人的地域。
5.67	那一天一些司祭阵亡了，因为他们也想成英雄，轻率地出征作战。
5.68	犹大又转往培肋舍特人的地方阿左托，毁坏了他们的祭坛，焚烧了他们神像，抢掠了各城的财物，然后回了犹太地。
	
6.0t	第六章（63）
	
6.1t	安提约古第四客死异乡
6.1	安提约古王出巡高原时，听说在波斯有一座城，名叫厄里买，以富有金银著名；
6.2	城中的庙宇很富，并且还有金盾铠甲和武器，都是马其顿王斐理伯之子希腊首任国王亚历山大遗留下的。
6.3	他便来到那里，想攻占那城，但没有成功，因为城里的人早已知道他的来意，
6.4	竟起来与他交战，他临阵逃走，狼狈地离开那里，回到巴比伦。
6.5	有人来到波斯给他报告说：「那开往犹太地的军队已经败退；
6.6	带劲旅去前的里息雅，一见犹太人就退却了；犹太人却夺得败军的兵器及大批物资，力量大增。
6.7	他们又拆毁王在耶路撒冷的祭坛上建立的可憎之物，将圣所及贝特族尔王寨用高墙围起来，恢复了旧观。」
6.8	王听了这些话，惊慌失措，倒在床上，忧郁成疾，因为事情没有符合他的理想。
6.9	在那里一连多日，忧郁日渐加重，知道死期近了，
6.10	便将他的诸位朋友叫来，对他们说：「睡眠离开了我眼睛，愁思齐集在我的心头。
6.11	我心里想，从我得势的时候，多么高兴，多么受人爱戴；如今遭受的是什么灾难，遇到的是什么巨浪啊！
6.12	现在回想起我在耶路撒冷所作的恶事：我掠去城中的一切金器银器，无缘无故遣人去消灭犹太的居民。
6.13	如今我明白了，我遭遇这些凶祸，正是为了这个缘故，看，我将在异乡忧郁而死！」
6.14	他将自己的一个朋友斐理伯叫来，立他为全国的元首；
6.15	然后将自己的冠冕、长袍和权戒交给他，叫他辅导自己的儿子安提约古，抚养他继承王位。
6.16	安提约古王就死在那里，时在一百四十九年。
6.17	里息雅知道王已去世，遂立太子安提约古为王，因为他自幼抚养过他，就给他起名叫欧帕托尔。
	
6.18t	犹太浪人通战
6.18	那时，那些住在堡垒里的人，常包围圣所，困扰以色列人，不断加害百姓，而支持异民。
6.19	犹大决意铲除他们，便召集全体百姓，向他们围攻。
6.20	一百五十年，以色列人齐来围攻堡垒，同时还造了战楼与军械。
6.21	被包围的人中，有几个突围而出，与一些以色列浪人勾结，
6.22	去见王说：「你何时才实行正义，为我们的弟兄伸冤呢？
6.23	我们很愿意服事你的父亲，遵行他的话，顺从他的命令，
6.24	为这个缘故，我们的百姓纔包围堡垒，仇视我们，遇见我们一个，便杀一个，还夺去了我们的产业。
6.25	他们不但伸手加害我们，而且还加害你的一切领域。
6.26	他们今天正扎营围困耶路撒冷的堡垒，想要占据；且防守圣所及贝特族尔。
6.27	若不及早加以防范，必为后患，那你就不制服他们了。
	
6.28t	贝特匝加黎雅之战
6.28	王听罢大怒，立即召集诸位朋友、军官和骑兵将领，
6.29	也把从外国及海岛招募来的军队，召到他前。
6.30	军队的数目：共计步兵十万，骑兵两万，受过军训的象三十二头。
6.31	他们由依杜默雅抵达后，便扎营围困贝特族尔，攻打了多日，同时也造了军械；但犹太人冲出来，用火烧了那些军械，都奋勇作战。
6.32	那时犹大撤离堡垒，移营到贝特匝加黎雅，与王营对峙。
6.33	王清晨起来，即移营向贝特匝加黎雅进军，军队列队上阵，响起号角。
6.34	有人在象前，放上葡萄汁和桑葚汁，引诱牠们上阵作战，
6.35	把象分编成队，每只象旁站一千人，都身披铠甲，头戴钢盔；又为每只象派有精骑五百。
6.36	这些骑兵从前常同这兽在一起，兽往那里去，他们也随着去，总不离开。
6.37	在每只兽身上，系着一座掩护坚固的木楼，里面有四个作战勇士，此外还有一个驾驭象的印度人。
6.38	又将其余马队，分为军中左右两翼，为惊扰对方，也为掩护阵线。
6.39	太阳照在金牌铜牌上，光耀反射在山上，闪烁有如火炬。
6.40	王的军队一部分在高山上，一部分在平原里，一起稳步前进。
6.41	众人的喧哗声，进军的步伐声，军器的摩擦声，凡听了无不战栗，因为王的军队实在强大。
6.42	犹大和他的军队一临阵，王的军队便阵亡了六百人。
6.43	号称奥郎的厄肋阿匝尔，见一只兽披着王甲，比众兽都高，便以为在上面的是王，
6.44	为了拯救百姓，为自己永远成名，他就决意牺牲自己。
6.45	于是勇往直前，冲入阵中，左右乱杀，敌军居然被他随处冲散；
6.46	他跑到象下，伏身将牠刺杀了，象跌倒在地，压在他身上，他就死在那里。
6.47	犹太人见王的军力强盛，军队攻击得又凶猛，就从他们前退却了。
	
6.48t	围攻圣殿
6.48	王的军队直开往耶路撒冷，攻打他们，王便面对犹太和熙雍山安营。
6.49	王与贝特族尔人讲了和，他们就出了城，是因为城被包围已没有存粮，又因为那一年正是田地的安息年。
6.50	王便占据了贝特族尔，在那里派军队把守。
6.51	王在圣所对面安营多日，且在那里建立了战楼，制造军械，火箭机，抛石机和蝎子机，为发箭抛石。
6.52	犹太人为抵敌人武器，自己也制造了利器，双方酣战多日。
6.53	只是仓中没有粮食，因为这年正是安息年，又因为从外方被救回犹太地的人民，将存粮都吃光了，
6.54	所以在圣所里只留下少数人，因为饥饿逼人，各自四散回本乡去了。
	
6.55t	里息雅与犹太人媾和
6.55	里息雅听说：当先王还活着的时候，派定抚养自己的儿子安提约古，并辅佐他为王的斐理伯，
6.56	和与王一起出征的军队，从波斯及玛待回来，企图夺取政权。
6.57	里息雅一听说，就决意急速撤兵，便向王与军官及众人说：「我们一天比一天衰弱，又缺少食粮，围困的地方又牢不可破，况且国家的大事都压在我们身上，
6.58	所以现在，我们不如先同这些人携手，与他们及他们的百姓讲和，
6.59	使他们按自己的法律生活，如同先前一样，因为他们正是为了我们废弃他们法律的缘故，纔大发盛怒，作出这一切事。」
6.60	王和各将领都满意这话，便打发使者到犹太人那里去讲和，犹太人也予以接受。
6.61	王和各将领也对他们发了誓，因此，他们纔从堡垒里出来。
6.62	可是，当王到了熙雍山，见了这地方的堡垒，便立时背弃誓约，命人将四周的围墙拆毁。
6.63	然后，急速起程，回到安提约基雅，见斐理伯已在城内掌权，就与他作战，用武力将城夺回。
	
7.0t	第七章（50）
	
7.1t	德默特琉回国称王
7.1	一百五十一年，色娄苛的的儿子德默特琉，逃离罗马，带着少数几个人，在沿海的一座城登陆，在那里称王。
7.2	当他要进入祖先王宫时，他的军队将安提约古和里息雅逮捕了，要给他解来。
7.3	但他一听说这事，就说：「你们不要让我见他们的面。」
7.4	军队便将他们杀了；德默特琉于是坐上了本国的王位。
7.5	那时，一般无法无天的以色列人，以想作大司祭的阿耳基慕为首，竟来到王跟前，
7.6	控告自己的百姓说：「犹大和他的兄弟们，杀害了你所有的朋友，也使我们离开本国。
7.7	现在，请派遣你信赖的人，去看看他们加于我们及王国的一切破坏情形，然后对他们和他们的助手处以惩罚。」
	
7.8t	巴基德出征犹太
7.8	王便从自己的朋友中选了巴基德；他原是河西的总督，国家的一位要人，且忠于君王。
7.9	王派他与恶棍阿耳基慕同去，且委任阿耳基慕为大司祭，叫他向以色列子民复仇。
7.10	他们带着大军动身到了犹太地，就打发使者，向犹大及其兄弟们和谈，欺骗他们；
7.11	不过他们并不理会那些人的话，因为已看出他们带着大军而来的用意。
7.12	无如，经师团竟集体去见阿耳基慕和巴基德，要求公正调解。
7.13	其次，在以色列平民中，首先是哈息待人来向他们求和，
7.14	因为他们想：「来者是位亚郎后裔的司祭，他虽然带着军队，但决不会加害我们。」
7.15	阿耳基慕遂向他们说了一些亲善的话，还发誓说：「我们决不谋害你们及你们的朋友！」
7.16	他们便信了他的话。那料想阿耳基慕竟捕去他们六十人，在一天之内将他们都杀死，应验了经上这句话：
7.17	「在耶路撒冷四周，他们分散了你圣者的肉体，倾流了他们的血，无人埋葬。」
7.18	于是，恐怖战栗笼罩着整个百姓；遂说：「这些人没有真理，没有正义，违犯了盟约，背弃了发过的誓言。」
7.19	那时，巴基德从耶路撒冷出发，在贝特斋特安营，打发人将许多逃来跟从他的人，和一些平民拘捕杀害，投在大坑里。
7.20	然后把这地委托给阿耳基慕管理，又给他留下军队协助他；巴基德就回到王那里去了。
7.21	阿耳基慕仍为作大司祭而活动；
7.22	那些扰乱自己百姓的人，都同他联合，占据了犹太地，在以色列中酿成大祸。
7.23	犹大见阿耳基慕及跟从他的人，对以色列子民所行的一切，比异民还坏，
7.24	便出巡犹太四境，对叛徒采取报复，阻止他们到乡间去。
7.25	阿耳基慕一见犹大和他的同伴力量强大，自知不能抵抗，就回到王前，控告他们许多罪行。
	
7.26t	尼加诺尔出征犹太
7.26	王的一位将尼加诺尔，很仇恨以色列人，王就派遣他，命他去歼灭这百姓。
7.27	尼加诺尔率领大军，一来到耶路撒冷，便派人去见犹大和他的兄弟们，诈言和谈说：
7.28	「愿你我之间，没有战争。我愿同少数人来，与你们和平会面。」
7.29	于是尼加诺尔去见犹大，彼此和气地请了安；可是敌人已准备好要劫持犹大。
7.30	犹大一知他来意不善，就非常害怕，不愿再见他的面。
7.31	尼加诺尔知道自己的计谋已被识破，就出去，在加法撒拉玛对面，和犹大交战。
7.32	这次尼加诺尔的军队死的，约有五百人，其余的人都逃到达味城里。
	
7.33t	尼加诺尔阵亡
7.33	这些事过后，尼加诺尔上了熙雍山。有几位司祭和几位民间长老，从圣所里出来，和颜悦色地向他请安，并将为君王所献的全燔祭品，指给他看。
7.34	但他对那些人却加以轻慢、嘲笑、亵渎，还说了一些傲慢的话。
7.35	且又忿怒地发誓说：「犹大和他的军队，若不立即交在我手里，当我平安回来时，必要将这殿宇烧毁。」以后气愤地出去了。
7.36	司祭便进去，站在祭坛及圣殿前哭泣说：
7.37	「主啊！是你选择了这地方，使它因你的名而得名，作为你百姓祈祷呼吁的殿宇。
7.38	求你在这人和他的军队身上复仇，使他们死在刀剑下！你要记住他们的亵渎，不容他们存在！」
7.39	尼加诺尔撤出耶路撒冷，在贝特龙安营，在那里有一支叙利亚的军队与他会合。
7.40	犹大率领三千人，在阿达撒安营。犹大祈祷说：
7.41	「主啊！当亚述君王的兵士说亵渎话时，你的天使出来，杀死了他们十八万五千。
7.42	今天，你也在我们面前，同样歼灭这支军队罢！使其余的人知道，他曾咒骂过你的圣所。请按他的恶行处罚他！」
7.43	「阿达尔」月十三日，双方军队交战，尼加诺尔的军溃败，他自己首先阵亡了。
7.44	尼加诺尔的军队一见他死了，就弃甲逃走。
7.45	犹太人追赶他们有天的路程，从阿达撒一直追到革则尔，还在他们后边吹角为号，
7.46	使四周犹太人，都从各村镇出来，包围他们。于是敌军互相践踏，都丧身刀下，一个也没有留下。
7.47	犹太人得了战利品和赃物，砍下尼加诺尔的头，和他傲慢伸过的右手，带回来，悬在耶路撒冷附近。
7.48	百姓非常欢喜，庆祝那一天，有如喜庆的节日。
7.49	于是规定每年「阿达尔」月十三日为庆日。
7.50	犹太地遂平安了一个时期。
	
8.0t	第八章（32）
	
8.1t	罗马人的威望
8.1	犹大听到罗马人的名声，听说他们势力强大，凡倾向他们的，都加以优待，无论谁来接近他们，就与他们友善；罗马人因之势力渐渐强大。
8.2	有人对他谈及罗马人在高卢作战和所有英勇的事，怎样征服高卢人，使他们进贡；
8.3	又在西班牙地方所行的一切，怎样占领那里的银矿金矿；
8.4	怎样用计谋和毅力，占领那离他们很远全地；
8.5	又怎样打败由地极来攻打他们的国王，怎样使他们遭受重创，又怎样使其余的国王，年年来进贡；又怎样战败斐理伯和基廷人的国王培尔叟，怎样征服那些起来反抗他们的人。
8.6	亚细亚王大安提约古，虽然带有一百二十只象、马队、战车，以及庞大的军队，来同他们交战，也被他们打败，
8.7	甚至还被活捉了去，给他和将来继位的加了重税，还要交出人质，割让土地：
8.8	就是将印度、玛待、里狄雅及数处最好的地方割让给欧默乃王。
8.9	又给犹大谈及希腊人怎样企图歼灭他们，
8.10	罗马人一知道这事，就派一员大将去攻打；双方交锋，希腊人死亡甚众，罗马人就俘掳了他们的妻子儿女，抢掠了他们的财物，占领了他们的土地，毁坏了他们的堡垒，使他们的妻子儿女，抢掠了他们的财物，占领了他们的土地，毁坏他们的堡垒，使他们成为奴隶，直至今日。
8.11	其余各国和海岛，凡是反抗过他们的，都被消灭，成为他们的奴隶。不过，他们对于自己的盟国和附庸国，却保持友谊；
8.12	他们征服了远近各国，凡听见他们名声的，没有不畏惧的。
8.13	他们愿意辅佐谁为王，谁就可以为王；愿意废弃谁，谁就被废弃。他们的势力实在强盛。
8.14	虽然如此，但是他们中，没有一个戴冠冕，穿紫袍，因而自高自大的。
8.15	他们设立了一个议院，天天有三百二十人，常在为人民议事，为人民谋福利。
8.16	每年委托一人，作自己的首领管辖全国，众人都服从他；他们中没有嫉妒，也没有竞争。
	
8.17t	与罗马人缔约
8.17	犹大就选了阿科斯的孙子，若望的儿子欧颇肋摩和厄肋阿匝尔的儿子雅松，派遣他们到罗马去，与罗马人缔结友好盟约，
8.18	希望罗马人看出希腊国要使以色列作奴隶，因而协助他们摆脱希腊国的压迫。
8.19	于是他们起程，行了很遥远的路，纔到达罗马。走进议院，就进言说：
8.20	「犹大玛加伯同他的兄弟和犹太民众，打发我们到你们这里来，为同你们建立同盟，缔结和约，将我们列于你们的联盟和友邦之中。」
8.21	这种请求，大受议员的欢迎。
8.22	他们便将约文刻在铜版上，送到耶路撒冷，叫犹太人保存，作为和平联盟的记念。其文如下：
8.23	「愿罗马人及犹太民族，在海陆上永远幸福，愿他们永无刀兵与敌对之事！
8.24	若罗马或其领土上的同盟国先遇到战事，
8.25	犹太国应在可能环境内，尽心帮助同盟国作战；
8.26	应按罗马人所决定的，不得给予或供应敌人食粮、武器、银钱和船只，且应尽自己的责任，毫无所求。
8.27	同样，若犹太国先遇到战争，罗马人也应该在可能环境内，尽心帮助同盟国作战。
8.28	应按罗马人所决定的，不得给予或供应敌军食粮、武器、银钱和船只，且应尽自己的责任，不可诡诈。
8.29	根据这些话，罗马人同犹太民族签定了盟约。
8.30	假使日后，双方愿意有何增删，经双方同意后，所有增删皆为有效。
8.31	关于德默特琉王对以色列人所行的恶事，我们已经向他写信说：你为什么压迫我们的友邦和同盟犹太人呢？
8.32	若他们再控告你，我们必要为他们主持公道，而与你海陆交战。」
	
9.0t	第九章（73）
	
9.1t	犹大阵亡
9.1	德默特琉听说，尼加诺尔已经阵亡，军队已覆没，便再派遣巴基德和阿耳基慕，率领右翼军，到犹太地去。
9.2	他们沿着通往加里肋亚的大道前，包围了阿尔贝拉的买撒罗特，攻陷那地方，杀死很多人。
9.3	一百五十二年正月，面对耶路撒冷安营。
9.4	但以后又拔营，领着步兵两万，骑兵两千，前往贝尔则特。
9.5	同时犹大带着精兵三千，在厄拉撒驻扎。
9.6	犹太人见敌军人数众多，都很害怕，于是许多人离营潜逃，剩下的仅八百人。
9.7	犹大见自己的军队潜逃，战事又迫于眉睫，心中焦急，已来不及集合兵马；
9.8	遂失意地对剩下的人说：「起来，去攻打敌人，也许能与他们对抗！」
9.9	他们劝阻他说：「我们不能去！现在只可逃命！不如回去联合我们的弟兄，再与他们决战，因为我们人数太少！」
9.10	犹大说：「逃走！我决不逃。若时机到来，我们要为我们的兄弟勇敢牺牲，决不可失掉我们的光荣。」
9.11	敌军从营里冲出，犹太人便去迎战。这时敌骑分成两翼，投石手与弓手行在军队前面，前锋都是勇士，巴基德坐镇右翼。
9.12	敌军两翼进攻时，吹起号角，犹大方面的人也吹起号角。
9.13	于是两军喊声震地，从早到晚，在混战中。
9.14	犹大见巴基德和军队主力都在右翼，就集合所有勇敢的人，专攻右翼；
9.15	右翼便被他们击溃，他们将敌人追到阿左托山。
9.16	敌军左翼见右翼败退，便转身从背后追击犹大及其军队。
9.17	战事十分激烈，双方死伤甚重。
9.18	犹大也阵亡了，其余的人也都逃散。
9.19	约纳堂便和息孟，将他们的兄弟犹大抬回，埋葬在摩丁城的祖茔里。
9.20	全以色列都痛哭他，非常悲哀，一连多日哀悼他说：
9.21	「拯救以色列的英雄，怎会阵亡？」
9.22	犹大其余的言行，所立的战功，英勇的事迹，和他的伟大，都没有记载出来，因为实在太多了。
	
	
	
9.-1t	约纳堂元帅兼大司祭
	
9.23t	约纳堂被选为领袖
9.23	犹大死后，以色列各地的歹徒，都蜂拥而起，作恶的人也乘机而兴，
9.24	因为那时正逢大荒年，当地的人多起而附和。
9.25	巴基德便选出一些歹徒，派定他们主管那地方；
9.26	他们便搜查犹大的朋友，逮捕后，解到巴基德前，让他报仇，虐待他们。
9.27	以色列从此遭受大难，这大难是自他们没有先知那天起，从未遭遇过的。
9.28	于是犹大的众朋友聚集起来，向约纳堂说：
9.29	「自从你兄弟犹大死后，没有一个像他的人出来，抵抗我们的仇敌和巴基德，以及仇视我们民族的人。
9.30	所以我们今天推选你来代替他，作我们的领袖，领导我们作战。」
9.31	约纳堂那时便接受了领袖的职位，起来代替他哥哥犹大。
9.32	巴基德一听说这事，企图杀害他。
	
9.33t	约纳堂报复杨布黎人
9.33	约纳堂和他哥哥息孟以及他的众同志，知道这个消息后，便逃到特科亚旷野，驻扎在阿斯法尔水池旁。
9.34	【巴基德在安息日知道了这事，便率领他的全军，来到约但的彼岸。】
9.35	约纳堂打发作军长哥哥若望，去求他的朋友纳巴泰人，管理他们大批的装备。
9.36	不料，杨布黎人从默达巴出来，捉住若望，且抢去他的一切所有，带着走了。
9.37	事后，有人报告约纳堂及他的兄弟息孟说：「杨布黎人现在正要举行隆重的婚礼，场面伟大，由纳达巴特迎娶新娘，她是客纳罕一个族长的女儿。」
9.38	那时他们便想起他们兄弟若望的血债，遂上去藏在山中隐密处。
9.39	举目一望，看见一群喧嚷的人和大批的妆奁，新郎和他的众朋友及兄弟，都出来迎接，其中有的敲鼓，有的奏乐，很多人还拿着武器。
9.40	犹太人便从埋伏的地方起来，向他们冲去击杀，他们伤亡的很多，其余的都逃到山里去了，犹太人便抢得了他们所有的一切。
9.41	如此，婚事变成了丧事，乐声变成了哀声。
9.42	他们为自己的兄弟报了血仇以后，就回到约但河的沼泽地方。
	
9.43t	巴基德攻打犹太
9.43	巴基德一听说这事，就在安息日率领大军，来到约但河畔。
9.44	那时约纳堂向部下说：「现在应当起来，应为保全生命而战，今天决不像昨天或前天一样。
9.45	战争就在我们前后进行，这里有约但河水，那边有沼泽和丛林，决没有退却的地方。
9.46	所以现在应向上天呼吁，援救你们脱离仇敌的手。」
9.47	双方于是交战，约纳堂伸手要杀巴基德，巴基德却脱身逃了。
9.48	约纳堂便同他的部下，跳进约但河，游到对岸，敌人并未过约但河追击。
9.49	那一天，巴基德方面死亡的约一千人。
9.50	巴基德回到耶路撒冷，在犹太各城修筑防御工事，又修建高墙，安上大门和闩，巩固了耶里哥、厄玛乌、贝特曷龙、贝特耳、提默纳达、法辣通、特丰等地所有的堡垒；
9.51	在那里驻扎了守卫队，与以色列为敌；
9.52	且巩固了贝特族尔城，革则尔和耶路撒冷的堡垒，派军队驻扎在那里，并贮存了食粮，
9.53	又把当地首领的孩子，带去作质，囚禁在耶路撒冷的堡垒里，
9.54	一百五十三年二月，阿耳基慕下令拆毁圣所内院的墙，就是拆毁先知们修建的工程，但他只能开始拆墙，
9.55	因为那时候，阿耳基慕忽然得了病，他的工作因此被迫停止；他的口闭着，身子瘫痪，不能说话，也不能料理家事。
9.56	阿耳基慕就这样十分凄惨地死了。
9.57	巴基德见阿耳基慕已死，回到国王那里，犹太地方于是两年得享平安。
	
9.58t	巴基德再征犹太
9.58	那时，犹太人中的一般歹徒又商议说：「看，约纳堂和他的部下，已安心生活，一无所惧，所以现在我们要引巴基德来，一夜之间，把他们一网打尽。」
9.59	于是他们去向他建议。
9.60	巴基德起身，带领大军前来，同时暗中给他在犹太的一切同僚去信，叫他们逮捕约纳堂和他的部下；但是他们没有办到，因为计划已被泄漏。
9.61	约纳堂的部下，反而从当地人中，逮捕了这事的罪魁五十名，尽行杀死。
9.62	约纳堂和息孟及他的部下，随后退入旷野，到了贝特巴息，将那里已毁坏的地方，重加修建及巩固。
9.63	巴基德知道了这事，就集合他的大军，又通知犹太地的党羽；
9.64	便来面对贝特巴息安营，制造军械，攻打了多日。
	
9.65t	巴基德大败
9.65	约纳堂留下哥哥息孟在城里把守，自己带着一批人去了乡下，
9.66	袭击住在帐幕中的敖多默辣，和他的兄弟们，以及法息龙的后裔。这些人也随他作战，部队也随着扩大。
9.67	那时，息孟也率领部下，突出城外，焚毁了敌方的军械。
9.68	于是双方夹攻，巴基德大败，因此十分懊丧，因为他的计谋与战略都落了空，
9.69	便对那些给他献计，劝他来此地的歹徒泄怒，将他们中许多人杀死，然后决意回国。
9.70	约纳堂一知道了，就打发使者到他那里，与他和谈，要求交还俘虏。
9.71	巴基德接受了，也按他所说的话行了，还向他发誓，有生之日，不再谋害他，
9.72	遂把以前在犹太地掳去的俘虏，交还给约纳堂，然后回本国去了；此后再不打算来犯犹太国境。
9.73	以色列地干戈于是止息。约纳堂住在米革玛斯，开始治理百姓，且将歹徒由以色列中除尽。
	
10.0t	第十章（89）
	
10.1t	两雄争取约纳堂
10.1	一百六十年，安提约古儿子亚历山大厄丕法乃上去，占领了仆托肋买，人民欢迎他在那里为王。
10.2	德默特琉王听说这事，就集合大军，去与他交战。
10.3	同时，德默特琉致书约纳堂，言辞温和，且提高他的权位，
10.4	因为德默特琉说：「我们要赶快与他缔结和好，免得他先与亚历山大联合，反抗我们，
10.5	又恐怕他还记念我们对他的兄弟及他的百姓所行的恶事。」
10.6	于是，便将调集军队及准备军械的权柄交给约纳堂，将他看作自己的同盟，又下令将堡垒里的人质，交还给他，
10.7	约纳堂来到耶路撒冷，当着百姓及住在堡垒里的人面前，宣读了这封书信。
10.8	堡垒里的人一听王给了他调集军队的权柄，都很害怕。
10.9	他们便将人质交还给约纳堂，约纳堂再转交给各人的父母。
10.10	以后约纳堂住在耶路撒冷，开始重修京城，使恢复旧观。
10.11	他命令工人，用方石修筑垣墙和熙雍山的四周，以作防御；他们就这样作了。
10.12	住在巴基德所修建的堡垒里的外方人，都已逃走，
10.13	各人都离开岗位，回到本国，
10.14	只在贝特族尔，还留下几个背弃法律，不守诫命的人，因为那里是避难藏身的地方。
10.15	那时，亚历山大王听到德默特琉允许给的约纳堂的事，同时还有人将约纳堂及他弟兄们的作战，英勇事迹和遭遇的打击等，给他述说了，
10.16	就说：「难道我们还能找到这样的一个人吗？我们要使他作为我们的朋友，作我们的同盟！」
10.17	遂写信给约纳堂，信上说：
10.18	「亚历山大王祝的约纳堂兄安好！
10.19	听说你是英勇有为之士，适合作我们的朋友。
10.20	现今我委任你作你百姓的大司祭，并称你是是君王的朋友，--同时给他送来紫袍和金冠--愿你关心我们的事，与我们保持友谊。」
10.21	一百六十年七月帐棚节日，约纳堂乃穿上圣服，调集军队，并准备了大批武器。
	
10.22t	德默特琉的应许
10.22	德默特琉一听说了这事，便忧闷地说：
10.23	「我们怎么竟让亚历山大在我们之先与犹太人结为友好，作为后盾？
10.24	我也要用委婉的言辞，许以地位和礼品，给他们写信，诱导他们也作我的助手。」
10.25	于是给犹太人写了以下的信说：「德默特琉王祝犹太民族安好！
10.26	由于你们持守以前与我们订立的条约，保持了我们之间的友谊，没有与我们的仇敌联合，我们听了很高兴。
10.27	现在，若你们继续忠于我们，你们为我们作的一切，我们必破格还报：
10.28	给你们种种豁免，赠与你们各种礼品。
10.29	现在豁免你们全犹太人丁税、盐税和王冠金。
10.30	由犹太本地，及划归犹太的撒玛黎雅和加里肋亚的三个地区，我所得出产的三分之一和树上果实的一半，今日都一概豁免，由今日起直到永远。
10.31	耶路撒冷应是圣的，所以这城及其四郊，免交什一之物和赋税。
10.32	对于耶路撒冷堡垒的权利，我也放弃，让与大司祭，他可任意委任自己拣选的人，驻在那里护守。
10.33	凡从犹太地掳至我国的犹太人，我都恢复他们的自由，毫无代价，而且还豁免他们的赋税和牲畜税。
10.34	凡一切的节日、安息日、朔日、指定的庆日，以及各庆节前后三日，为住在我国内的一切犹太人，都成为享有特权与免役的日子：
10.35	为一切事件，谁也无权干涉及骚扰他们中任何一人。
10.36	可招募三万犹太人加入王家军队，所给军饷，与一切王家军队同。
10.37	从这些人中，抽调一部分，分驻在国的主要堡垒里；再由这些人中，选拔一部份，出任国家信托的职位；还可将自己的人派作他们的官员和将领，按照自己的法律行事，正如王从前在犹太地命令过一样。
10.38	由撒玛黎雅境内，划归犹太的三区，应与犹太合并为一，全受一人统治，除大司祭外，不应听从别人。
10.39	我将仆托肋买及其所属，赠予耶路撒冷圣所，其收入作为圣所需要的经费。
10.40	我每年由丰富之地纳入王库的银钱，拨出一万五千「协刻耳」。
10.41	凡前几年，官员们所没有缴纳的银钱，从现在起，他们都得交还，以作圣殿的经费。
10.42	此外，每年由圣所的收入内，征收的五千银钱也一概豁免，因为这笔钱，应归那些尽圣职的司祭所有。
10.43	凡到耶路撒冷圣殿，或殿院内逃避国债与私债的，都一律赦免；至于他在我国内的一切所有，仍归他所有。
10.44	为建筑及修理圣所的工程，花费也由王库支付。
10.45	凡为修筑耶路撒冷的城墙，及其四周的堡垒，以及犹太各地的城墙，所用的经费，都由王库支付。」
	
10.46t	约纳堂拒绝德默特琉的恩赦
10.46	约纳堂与百姓听了这些话，既不相信，也不接受，因为都还记得：他加给以色列的一切灾难，及怎样虐待了他们。
10.47	何况亚历山大首先与他们和谈，于是他们拥护他，与他永结同盟。
10.48	那时，亚历山大王集合大军，出发攻打德默特琉。
10.49	两王互相交锋，亚历山大的军队败退，德默特琉追赶，大获胜利。
10.50	但亚历山大仍继续苦战，直到日落，德默特琉竟在这天阵亡。
	
10.51t	亚历山大向埃及求亲
10.51	亚历山大于是派遣使者，到埃及王仆托肋米前，这样说：
10.52	「自从我回到祖国，便坐上了我祖先的宝座，我战胜德默特琉，得掌握主权，且占据我们的土地。--
10.53	原来我与他宣战，打败他和他的军队，就坐上他的王位；--
10.54	现在，让我们彼此结好，请将女儿嫁给我为妻，我做你的女婿，且将相称于你的礼物，送给你和她。」
10.55	仆托肋米王回答说：「你回归祖国，登上你祖先王位的那一天，真是个好日子！
10.56	如今我按你所写的实行，可是请你亲到仆托肋买，我们好彼此会面，我要按你说的，使你作我的女婿。」
10.57	一百六十二年，仆托肋米和他的女儿克娄帕达，离开埃及，来到仆托肋买。
	
10.58t	约纳堂荣显
10.58	亚历山大王来欢迎他，他就把女儿克娄帕达给亚历山大为妻，并在仆托肋买，按王礼隆重的举行了婚礼。
10.59	那时，亚历山大王也给约纳堂写信，请他来与自己会面。
10.60	约纳堂便堂堂正正地来到了仆托肋买，与二王会面，也给他们和他们的朋友，送来金银并许多礼品，深得他们的欢心。
10.61	那时，以色列有些歹徒，即违背法律人，聚集起来控告他，无如国王置之不理，
10.62	王反命人脱去约纳堂的衣服，给他穿上紫袍。人就照样作了。
10.63	王又叫他坐在自己身边，向官员说：「你们陪着他往城里去，宣布说：无论因为什么事，不得控告他；在一切事上，不得干扰他。」
10.64	那时，控告他的人，一见他身披紫袍，享受的光荣如所宣布的一样，就都逃走了。
10.65	国王为光荣他，又将他列入一等朋友中，并且封他为统帅，为总督。
10.66	约纳堂然后平安回到耶路撒冷，非常喜欢。
	
10.67t	约纳堂战胜阿颇罗尼
10.67	一百六十五年，德默特琉儿子德默特琉，由克里特回到祖国。
10.68	亚历山大王听说这消息，很是忧愁，就回到安提约基雅去。
10.69	德默特琉立阿颇罗尼为切肋叙利亚总督。阿颇罗尼遂集合大军，在雅木尼雅扎营，且派人去见大司祭约纳堂说：
10.70	「只有你起来攻击我们，因为你的缘故，我为人耻笑，受人非难，你为什么在山上向我们示威呢？
10.71	所以现在，如果你仗恃兵力，就请下到平原，到我们这里，彼此较量一下，因为我有许多城池可倚恃。
