1:-2t	达尼尔		
6:13	他们遂去见君王，向他提及禁令说：「陛下不是签署了这样的一道禁令：三十天内，凡不向大王，而向任何神祇或任何人祈求的，应将他投入狮子圈内吗﹖」君王回答说：「确有此事!照玛待人和波斯人的法律是不可更改的。」		
6:14	他们便对君王说道：「大王!犹大俘虏中的那个达尼尔，竟然不介意陛下和陛下所签署的禁令，仍照常一日三次自作祈祷。」		
6:15	君王听了这些话，十分难过，有心要救达尼尔，君王直到日落要设法解救他。		
6:16	但是那些人又群集到君王前，对君王说：「大王!陛下要知道玛待人和波斯人的法律：凡君王所立的禁令和法令，是不可更改的。」		
6:17	君王于是下令，将达尼尔逮捕投入狮子圈内。君王对达尼尔说：「愿你恒心恭敬的天主拯救你!」		
6:18	遂即移了一块大石，封住圈口，君王盖上自己的御玺，大臣们盖上自己的印章，免得达尼尔的案件发生意外的变化。		
			
6:19t	狮子不伤害先知		
6:19	然后君王回了王宫，整夜绝食，断绝娱乐，并彻夜失眠未睡。		
6:20	清晨，天一亮，君王便起来，急速往狮子圈去了，		
6:21	一来到狮子圈旁，就哀声呼喊，向达尼尔说道：「永生天主的仆人达尼尔!你恒心恭敬的天主真能由狮子口里拯救你吗﹖」		
6:22	达尼尔遂对君王说：「大王万岁!		
6:23	我的天主曾打发他的天使闭住狮子的口，一点没有伤害我，因为我在他面前是无罪的；大王!我即在陛下面前，也从没有做过什么伤害人的事。」		
6:24	君王非常高兴，遂下令将达尼尔从狮子圈里提出来。达尼尔便从狮子圈里被提出来，他身上丝毫没有受到损伤，因为他信赖了自己的天主。		
6:25	君王遂下令逮捕那些控告达尼尔的人，将他们和他们的儿子、妻子，都投入狮子圈里，他们还没有到狮子圈底，狮子就向他们扑来，捉住他们，将他们的骨头全咬碎了。		
			
6:26t	诏示全国敬畏上主		
6:26	达理阿于是诏告居民于普世的各民族，各邦国及各异语人民说：「愿平安常与你们同在!		
6:27	我今颁发诏书，谕令我所统辖的全国人民，都应在达尼尔的天主前起敬起畏，因为他是生活永在的天主，他的国永不灭亡，他的王权永远常存。		
6:28	他拯救施援，在天上地下实行神迹奇事；是他拯救达尼尔脱免狮子的爪牙。」		
6:29	这位达尼尔就这样在达理阿和波斯人居鲁士为王时，事事亨通。		
			
			
7:-1t	后编　神视叙述(7-12)		
			
7:0t	第七章(28)		
			
7:1t	神见四巨兽		
7:1 	巴比伦王贝尔沙匝元年，达尼尔睡在床上，作了一梦，在脑海里见了一些异象；他遂写下那梦，记述了这事的始末。		
7:2 	达尼尔说道：我夜间见了一个异象：看见天上忽然起了四股巨风，震荡了大海，		
7:3 	遂有四种巨兽从海中出来，各有不同的形状：		
7:4 	第一个相似狮子，具有鹰的翅膀；我观看，直至看见它的翅膀被拔去，由地上被举起来，两脚直立像一个人，且给了它一颗人心。		
7:5 	又看见另一个兽，就是第二个，相似熊，半身侧立，口内牙齿间衔着三根肋骨；有人吩咐它说：「起来，大量吞食肉罢!」		
7:6 	后来我又观看，看见另有一兽，相似豹子，有四个头，背上有四只鸟的翅膀，且赐给了它统治权。		
7:7 	此后，我在夜间的神视中观看，看见第四个兽，非常可怕，极其凶猛，有巨大的铁牙，吞噬咬碎，又把剩余的用脚践踏；它与以前各兽不同，尚有十只角。		
7:8 	我定睛注视这些角时，看见在那些角中又生出另一只小角，在这小角前面，以前的角中有三只角竟被连根拔除；看，小角上还有眼睛，相似人的眼睛，有一个夸大的口。		
			
7:9t	天上的法庭		
7:9 	我观望，直到安置了宝座，上面坐着一位万古常存者，他的衣服洁白如雪，他的头发洁白如羊毛，他的宝座好似火焰，宝座的轮子如同烈火。		
7:10	一道火河涌出，从他面前流下，有千万服事他的，有亿兆侍立在他面前的，审判者已坐堂，案卷已展开。		
7:11	那时，我因那只角说出大话而注意观望，一直观望到那兽被杀，它的尸体被撕毁，被投入火内。		
7:12	至于其余的兽，他们的统治权被剥夺；至于它们的寿命，也被注定直到某一个时候和期限。		
7:13	我仍在夜间的神视中观望；看见一位相似人子者，乘着天上的云彩而来，走向万古常存者，遂即被引到他面前。		
7:14	他便赐给似人子者统治权、尊荣和国度，各民族、各邦国及各异语人民都要侍奉他；他的王权是永远的王权，永存不替，他的国度永不灭亡。		
			
7:15t	解释异象的意义		
7:15	我达尼尔，因此心中忧愁，我所见的异象使我烦乱，		
7:16	我遂走近一位侍者，问他关于这一切事的实情；他便告诉了我，使我知道这些事的意义说：「		
7:17	这四个巨兽就是将在世界上兴起的四个君王；		
7:18	但至高者的圣民要承受王国，永远占有，直至万世万代。」		
7:19	当时我又想知道有关那第四个兽的实情，因为它与众不同，非常可怕，它的牙是铁的，爪是铜的，吞噬咬碎，又把剩余的用脚践踏。		
7:20	我又愿意知道它头上的那十只角及生于其中的那另一只角，即那只使三只角堕于它前的角，这角还有眼睛，有夸大的口，并且它的形状比其余的角都大。		
7:21	我观看，看见这只角正在与圣民交战，竟战胜了他们，		
7:22	直到万古常存者降来，为至高者的圣民伸冤，于是期限到了，而众圣民取得了国权。		
7:23	侍者告诉我说：「这第四个兽就是将在世界上兴起的地四个国，她与其它各国不同，她要并吞、蹂躏且粉碎天下。		
7:24	至于那十只角，即指将由此国而兴起的十个君王；他们以后，将兴起另一位君王，他与以前者不同，他要制胜三个君王，		
7:25	他要说亵渎至高者的话，企图消灭至高者的圣民，擅自改变节庆和法律；圣民将被交在他手中，直到一段时期，另两段时期和半段时期；		
7:26	然后审判者要坐堂，夺去他的统治权，将他永远消灭，		
7:27	将王国的统治权和天下万邦的尊威，赐给至高者的圣民：他的国是永远的国，一切邦国都要服事他，顺从他。		
7:28	此事叙述至此结束，我达尼尔心中十分烦乱，面色都改变了，但我仍将此事存在心中。		
			
			
8:0t	第八章(27)		
			
8:1t	公绵羊与公山羊相争的异象		
8:1 	贝尔沙匝王在位第三年，在以前显现给我的异象之后，又有异象显现给我达尼尔。		
8:2 	我观看这异象；我观看时，恍惚见我在厄蓝省的稣撒禁城；在神视中，我恍惚见我在乌来河畔。		
8:3 	我举目仰视，看见有一只公绵羊站在河畔，它有两只角，这两只角都很高，但一只角却高于另一只角，且那较高的是较晚长出来的。		
8:4 	我见那只公绵羊向西、向北、向南抵撞，走兽中没有能抵御它，能摆脱它势力的；它任意行事，自高自大。		
8:5 	我定睛注视之时，看见有一只公山羊由西而来，跑遍天下而脚不着地；这只公山羊在两眼之间，有一只显著的角。		
8:6 	它来到我所见立在河畔而有两只角的公绵羊那里，就愤怒地猛力向它冲去。		
8:7 	我见它走近公绵羊前愤怒地抵撞它，将它的双角撞断，那公绵羊就再无力抵抗，公山羊把它击倒在地，用脚践踏，竟没有谁能救公绵羊摆脱它的势力。		
8:8 	后来这公只公山羊长的极其强大；正当它极强大的时候，它那只高大的角被折断了，代替这角而生出来的是四只卓绝的角，向着天下四方：		
8:9 	其中之一又生出一小角来，长得极其高大，向南、向东，亦向着光华之地。		
8:10	这角逐渐增高，直达天上的万象，且把一些天象和星宿打落在地，加以蹂躏。		
8:11	他又自高自大，直达天象之君，取消了他的日常祭，破坏了他的圣所，且加以劫掠；		
8:12	又在献日常祭处，安放了罪孽，将真理拋弃于地；他如此作了，也成功了。		
8:13	我听见一位圣者在说话，另一位圣者问那说话的说：「关于废除日常祭，招致毁灭的罪孽，圣所和天军遭蹂躏的异象，要延长到何时呢﹖」		
8:14	那说话的回答他说：「要延长二千三百昼夜，以后圣所再要恢复原状。」		
			
8:15t	异象的意义		
8:15	我达尼尔见了这异象之后，便渴望明了其中的意义；看见有一个外貌像人的立在我面前，		
8:16	同时我听见在乌来河中间有人的声音呼喊说：「加俾额尔!给这人解说这异象罢!」		
8:17	他便向我站立的地方走来；我见他来近，就害怕起来，俯伏在地；他对我说：「人子，你要明白!这异象是关于末世时期的。」		
8:18	他与我说话时，我就昏迷过去了，脸伏于地上；他抚摸了我，使我起来，站在原处。		
8:19	他说：「看，我要把在盛怒末期将要发生的事告诉你，因为这事是关于末期的。		
8:20	你所见具有两角的公绵羊是玛待和波斯君王，		
8:21	多毛的公山羊是雅汪君王，它两眼之间高大的角是第一位君王，		
8:22	代替被折断的脚而另生出的四只角，是指由他的民族中崛起的四个王国，但没有前一个那样强盛。		
8:23	在他们王国的末期，恶贯满盈之时，要兴起一位面貌凶恶，诡计多端的君王。		
8:24	他必势力强大，但那力量不是出于自己；他却有惊人的破坏力，他所行的无不成功，要摧毁强有力者和圣民，		
8:25	凭自己的机智必攻击圣民，靠自己的权术获得成功；他心中妄自尊大，趁人不备而毁灭许多人民，且起而攻击万君之君，但终于未经人手而自趋崩溃。		
8:26	关于所说的昼夜数目的异象，是真实的，但你对这异象要保守秘密，因为是关于遥远日期的事而说的。」		
8:27	我达尼尔疲惫患病数日，然后才起来处理君王的政务。我对这异象仍惊奇不已，因我不能明白其中的意义。		
			
			
9:0t	第九章(27)		
			
9:1t	达尼尔注意耶肋米亚的预言		
9:1 	玛待族的薛西斯的儿子达理阿作加色丁国的君王第一年，		
9:2 	在他为王元年，我达尼尔注意了经书中上主对耶肋米亚先知有关年数所说的话，即关于耶路撒冷的荒芜应满七十年的事。		
9:3 	我面向吾主天主，以祈祷、恳求、禁食、穿苦衣，顶灰尘，求问他。		
			
9:4t	达尼尔的祈祷		
9:4 	我哀求上主我的天主而认罪说：「哎!吾主，伟大可敬畏的天主!你对那些爱你和遵守你诫命的人，必守约施恩。		
9:5 	我们犯了罪，行了不义，作恶反叛，离弃了你的诫命和法令。		
9:6 	我们没有听从你的众仆人先知，因你的名向我们的君王，我们的首长，我们的祖先，和全国人民所说的话。		
9:7 	吾主，正义归于你!而满面羞愧归于我们，就如今日归于犹大人民，归于耶路撒冷的居民，归于所有不忠于你而被你驱至各地或远或近的以色列人一样。		
9:8 	吾主，满面羞愧归于我们，归于我们的君王，归于我们的首长以及我们的祖先，因为我们犯罪得罪了你，		
9:9 	然而慈悲和宽宥应归于上主我们的天主，因为我们实在都背叛了他，		
9:10	没有听从上主我们天主的劝告，也没有遵行他借自己的仆人众先知，向我们所宣示的训令。		
9:11	以色列人实在全都违犯离弃了你的法律，没有听从你的声音；因此，在天主的仆人梅瑟的法律上，所记载的咒骂和诅咒，都倾注在我们身上了，因为我们犯罪得罪了他，		
9:12	所以他履行了他对我们和管理我们的官长所说的话：使我们遭受了普天下从未遭受过像耶路撒冷所遭受的这样大的灾难，		
9:13	全如梅瑟法律上所记载的。这一切灾祸都降在我们身上，而我们仍不想平息上主我们天主的义怒，远离我们的罪恶，明白你的真理；		
9:14	因此上主注视着灾祸，好把它降在我们身上，因为上主我们的天主，在所行的一切作为上是正义的，只是我们仍未听他的声音。		
9:15	吾主，我们的天主!你曾以你强有力的手，领你的人民出了埃及地，而彰显了你的名声，有如今日；我们现今却仍然犯罪作恶。		
9:16	吾主，求你照你所有的仁义，使你的忿怒和愤恨离开你的城耶路撒冷，即你的圣山；因为，由于我们的罪过和我们祖先的罪恶，耶路撒冷和你的人民已成了我们四邻的笑柄。		
9:17	所以，现在，我们的天主!愿你俯听你仆人的祈祷和哀求!吾主，为了你自己的缘故，再以你的慈颜光照你现已荒凉的圣所。		
9:18	我的天主!求你侧耳俯听，睁眼垂视我们的废墟，和属你名下的城市!我们将我们的哀祷呈于你前，不是因我们的正义，而只是依赖你的大慈大悲。		
9:19	吾主，求你俯听!吾主，求你宽宥!吾主，求你垂听，迅速实行!为了你自己的缘故，我的天主，你不要再迟延，因为你的城和你的人民，是属你名下的。」		
			
9:20t	加俾额尔再次显现		
9:20	我还在陈诉、祈祷和承认我罪及我人民以色列的罪，并为天主的圣山，将我的哀祷陈于上主我的天主面前时，		
9:21	即我还在祈祷倾诉之际，约在晚祭时，先前我在异象中所见的那似人的加俾额尔，急速再向我飞来；		
9:22	他一来到，就对我说：「达尼尔!我现在显现出来，是为叫你完全明白，		
9:23	当你开始哀求时，便有话传出，要我前来通知你，因为你是个极可爱的人；所以你应该注意这话，理解这异象!」		
			
9:24t	七十星期的预言		
9:24	「关于你的人民，和你的圣城已注定了七十个星期，为终止过犯，为结束罪恶，为赔补不义，为带来永远的正义，为应验神视和预言，为给至圣者傅油。		
9:25	你应该知道，也应该明白：自从颁发重建耶路撒冷的命令，直到受傅的君王，共是七个星期；再经六十二个星期，城邑的广场和沟渠，要重新建起来，且是在困难之时；		
9:26	六十二个星期之后，一位受傅者虽然无罪，却要被杀害，且那将要来临的首领的民族要破坏这城和圣所，但他的结局是在洪流中；直到末期要有战争，及决定了的毁灭。		
9:27	在一个星期内，他要与许多人订立盟约；在半个星期内，他要使祭祀和供物停止，在圣所内要设立那招致荒凉的可憎之物，直到决定了的毁灭倾注在破坏者的身上。」		
			
			
10:0t	第十章(21)		
			
10:1t	达尼尔获得可怕的启示		
10:1 	波斯王居鲁士第三年，那名叫贝耳特沙匝的达尼尔得了一个启示，这启示是真实的，是有关一场大战的事；达尼尔注意了这事，也明白了这异象。		
10:2 	在这些日子里，我达尼尔忧闷了三个星期，		
10:3 	我食不知味，酒肉也没有沾过唇，也没有用油抹过身，直到满了三个星期。		
			
10:4t	天使的显现		
10:4 	正月二十四日，我在底格里斯大河边时，		
10:5 	我举目观望：看见有一个人身穿麻衣，腰束敖非尔金带，		
10:6 	他的身体好象碧玉，他的面容好似闪电，他的眼睛有如火炬，他的手臂和腿有如磨光了的铜，他说话的声音彷佛群众的喧嚷。		
10:7 	惟独我达尼尔看见了这异象，随从我的人都没有看见，只有一种巨大的恐怖临到他们身上，因而他们都逃避隐藏了。		
10:8 	只留下我一个人，独自观看这巨大的异象；我顿时全身无力，容貌改变，面色苍白，没有一点气力，		
10:9 	但仍能听到他说话的声音；一听到他说话的声音，我就昏迷过去，俯伏在地。		
10:10	忽然有一只手触摸我，使我用膝和手掌勉强支持，		
10:11	然后他对我说：「达尼尔，最可爱的人!你要明白我对你所说的话!你站起来，因为我现在是被派到你这里来的。」他对我说这话时，我站立起来，浑身战栗。		
10:12	他又对我说：「达尼尔，你不要害怕!因为自从你下决心要明白此事，在你的天主前，自卑自贱的第一天以来，你的祈祷就得蒙应允，我就是因你的祈祷而来的。		
10:13	但是波斯国的护守天使却反对我，使我在波斯国护守天使那里滞留了二十一天，后来忽有总领护守天使之一的弥额尔前来协助我，		
10:14	我才来了，为叫你明白，你的百姓在末日所要遭遇的事，因为这神视是有关那未来之日的。」		
			
10:15t	天使启示神视的意义		
10:15	他对我说这些话时，我俯首至地，哑口无言。		
10:16	忽然有个像人子的手，触摸了我的唇，我便开口向那站在我面前的说道：「我主!由于这异象，我又感到非常痛苦，没有一点气力。		
10:17	我主的这个仆人如何能同我主说话﹖因为我现在全身无力，连呼吸也没有了。」		
10:18	那像人子的又抚摸了我，坚固我，		
10:19	说：「极可爱的!不要害怕!愿你平安!鼓起勇气，振作精神!」他一对我说话，我立刻觉得有了力量，于是我说：「我主，请你发言罢!因为你坚固了我。」		
10:20	他于是说：「你知道我为什么到你这里来﹖现在我要回去，同波斯的护守天使交战。我一去，希腊的护守天使就会前来。		
10:21	我要把载于真理书上的事告诉你。除了你们的护守天使弥额尔外，没有前来协助我的。		
			
			
11:0t	第十一章(45)		
11:1 	玛待人达理阿王元年，他前来坚固我，协助我。		
			
11:2t	有关波斯的启示		
11:2 	现在我要把真事告诉你：看，在波斯还要兴起三位君王，第四位要拥有大量的财富，远远超过以前所有的君王；他因财富而强盛，于是煽动万国对抗雅汪国。		
			
11:3t	亚历山大帝国的分裂		
11:3 	以后要兴起一位英勇的君王，他独掌大权，统治一切，为所欲为。		
11:4 	但当他极盛的时候，他的国必要瓦解，他的天下必要四分五裂，而不归于他的后裔；也没有相似他所有的统治权，他的国必要灭亡，归属不是他后裔的外人。		
			
11:5t	埃及和叙利亚时战时和		
11:5 	南方的君王要强盛起来，但他的将领中，有一个比他更强的要获得政权；他王国的势力非常强大。		
11:6 	几年以后，他们要缔结同盟，南方君王的公主要嫁给北方的君王，以求修好；但是她得不到势力，她和她所生的也不能久存；她和她的侍从，她的儿子以及辅助她的都要被杀害。到那时，		
11:7 	必从她根上出生一个嫩枝，继承父位；他必兴师出征，进入北方君王的保垒，将他们击败，获得胜利；		
11:8 	并将他们的神像、铸像和金银宝器劫往埃及，从此数年之久与北方的君王对峙；		
11:9 	但北方的君王终要侵入南方君王的国土，事后仍返回本国。		
11:10	他的儿子必要备战，招募强大的劲旅，亲自出征；冲过时，相似洪水泛滥；他必猛攻，直逼敌军的保垒。		
11:11	南方的君王必然大怒，出师与北方的君王交战，北方的君王也必调集大军，但这支大军必被交在敌方手中。		
11:12	这支大军被掳去以后，南方的君王便心高气傲，不过他虽击毙千万大军，仍不能强盛，		
11:13	因为北方君王必再调集大军，比以前更为庞大，数年以后，再率领大军，带着大量的辎重，出征南下。		
11:14	那时，将有许多人起来攻击南方君王，你百姓中的匪徒也要起来，为应验异象，但他们终必失败。		
11:15	北方的君王就前来，兴建壁垒，攻取坚城，南方的军队不能抵抗，连精锐的部队也无力抵御。		
11:16	来攻南方君王的，必任意而行，没有人能抵抗；他还要立足在华丽之地，破坏之权也操在他手中。		
11:17	他企图征服整个南国，遂与南方君王立约通婚，将自己的女儿嫁给他，好倾覆他的国，但是他的企图没有成功，也没有见效。		
11:18	此后，他要转向各岛屿，占据了许多岛屿；但有一个将官要阻止他的蛮横，使他的蛮横害了自己。		
11:19	他遂转身回到他国内的保垒里，终于一蹶不振，从此消失不见。		
11:20	以后另有一人代他兴起，他要派横征暴敛的人遍行国内华丽之地，但他没有过几天，就丧了命，不是由于叛变，也不是由于作战。		
			
11:21t	厄丕法乃篡位无道		
11:21	这以后，将有一个下贱的人代他兴起；原来人没有将治国的权力授给他，他却乘人不备，以阴谋篡夺了王位。		
11:22	来进攻他的大军要被他完全击溃，同盟之君也要被击败。		
11:23	有人与他联合，他即施行骗术；他借助少数的人民，就渐渐强大起来。		
11:24	他又乘人不备，侵入省内肥沃之区，实行他祖先及他祖先的祖先所未行过的事，将战利品、掠夺物和财产分给自己的党羽；又策划阴谋进攻保垒，但只到某一限期。		
			
11:25t	出征埃及		
11:25	他要竭尽自己的精力，鼓起勇气，率领大军进攻南方君王；南方君王亦率领极强大的劲旅奋起迎战，但无法抵御，因为有人筹划阴谋陷害他；		
11:26	那些破坏他的，正是吃他饭的人；他的劲旅将溃不成军，伤亡的极多。		
11:27	两位君王都存心不良，同坐一桌，各说谎话，而毫无成就，因为必须到所定的时期，才有结局。		
11:28	北方的君王却要带着大量的财物返回本国；他既存心与圣约作对，也必采取行动，然后才回国。		
			
11:29t	二次出征埃及		
11:29	到了预定的时期，他必再度南征，但是第二次却不如第一次，		
11:30	因为此次基廷的船必来攻击他，他只得惊慌而归。		
			
11:31tt	迫害犹太教		
			
11:31t	他遂迁怒于圣约，任意妄为；回去以后，他必重用那些背弃圣约的人士。		
11:31	那些迎合他意思的军队，也去亵渎圣所的保垒，废除日常祭，在那里设立了那招致荒凉的可憎之物。		
11:32	至于那些作恶违犯圣约的人士，他要用诈术使他们更加败坏，但那认识自己天主的人民必也更加坚强有力。		
11:33	民间贤明之士必要训诲民众，但他们有很多日子要受刀剑、烈火、充军和劫掠的迫害。		
11:34	在他们受迫害时，稍微得到一些援助，但是有许多人却怀着奸诈的心与他们联合。		
11:35	有些贤明之士要受迫害，是为锻炼、洗涤和洁净他们，直到时期结束，因为预定的时期尚未来到。		
			
11:36t	妄自尊大无法无天		
11:36	这位君王要任意妄为，妄自尊大，高举自己在众神之上，要发出怪谬的言论，反抗万神之神，他暂时行事顺利，直到天主的义怒泄尽，因为天主决定的事必要应验。		
11:37	他不尊重自己祖先的神，也不尊重妇女们所爱的神，他不尊重任何神明，因为他将自己高举在一切之上；		
11:38	却去敬拜保垒之神，以金银、宝石和珍品恭奉他祖先所不认识的神。		
11:39	他要凭借外神的助佑，攻击坚固的保垒；凡附和他的，他必增加他们的光荣，使他们治理民众，分封土地，做为赏报。		
			
11:40t	可悲的结局		
11:40	到末期，南方的君王将要与他交战；北方的君王也要率领战车、骑兵和许多战舰，像旋风般向他还击，侵入他的国土；所经之地，有如洪水破堤。		
11:41	他要侵入华丽之地，千万人要丧亡，但是厄东、摩阿布和大部分阿孟子民，却要逃脱他的手。		
11:42	他又要伸手攻击各国，埃及地亦不能幸免；		
11:43	他要占有金银府库和埃及的一切宝物。利比亚和雇士人也要来与他联合。		
11:44	但是来自东方和北方的消息要使他震惊；他遂怀着盛怒去讨伐，要将许多人杀尽灭绝。		
11:45	他要在海洋和美丽圣山之间，支搭他堂皇的帐幕，但此时已到了他的末日，已没有任何人能援助他。		
			
			
12:0t	第十二章(13)		
			
12:1t	义人的最后胜利		
12:1 	那时保佑你国家子民的伟大护守天使弥额尔必要起来；那将是一个灾难的时期，是自开国以来，直到那时从未有过的；那时，你的人民，凡是名录在那书上的，都必得救。		
12:2 	许多长眠于尘土中的人，要醒起来：有的要入于永生，有的要永远蒙羞受辱。		
12:3 	贤明之士要发光有如穹苍的光辉；那些引导多人归于正义的人，要永远发光如同星辰。		
12:4tt	给达尼尔的最后训谕		
12:4 	至于你，达尼尔!你要隐藏这些话，密封这部书，直到末期；将有许多人要探讨，因而智识必要增长。		
			
12:5t	两位天使的神视		
12:5 	那时我达尼尔观望：看见另有两位天使，一位站在河岸这边，一位站在河岸那边。		
12:6 	我就问那身穿细麻衣，站在河水上的人说：「几时这些奇事才会实现呢﹖」		
12:7 	我听见那身穿细麻衣，站在河水上的人向天举起左手及右手，指着永生者起誓说：「的确，这事必须经过一段时期，另两段时期和半段时期：直到摧残圣民的势力终止时，这一切事才要实现。」		
			
12:8t	达尼尔欲知详情		
12:8 	我听了以后，仍不明白，便问说：「我主!这些事的结局究竟怎样﹖」		
12:9 	他回答说：「达尼尔，你去罢!因为这些事隐藏密封，直到末期。		
12:10	将有许多人要使自己纯洁清白，并受锻炼，而恶人却要更加作恶；凡作恶的人不能明白，惟有贤明之士才能明白。		
			
12:11t	迫害的期限		
12:11	自从废弃日常祭，设立那招致荒凉的可憎之物的时候起，必要经历一千二百九十天。		
12:12	凡能守候直到一千三百三十五天的，是有福的。		
12:13	你应去等候末期，好好安息罢!到末日，你要起来接受你的福分。」		
			
			
13:-1t	附录		
			
13:0t	第十三章(64)		
			
13:1t	苏撒纳的家世		
13:1 	从前有一个人住在巴比伦，名叫约雅金，		
13:2 	他娶了一个妻子名叫苏撒纳，是希耳克雅的女儿；这女子非常美丽，而且敬畏上主，		
13:3 	原来她的父母都是义人，常按照梅瑟的法律教育了自己的女儿。		
13:4 	约雅金是个很富有的人，靠近他的住宅有一个果园；由于他比众人更有声望，犹太人经常到他那里集会。		
			
13:5t	两个邪恶的长老		
13:5 	那一年，有两个长老由人民选为民长，上主曾论及这类人说：「邪恶充塞巴比伦，是由于只在表面上治理人民的长老和民长。」		
13:6 	这两个人经常到约雅金的家里来；凡有诉讼的，都到这里来见他们。		
13:7 	中午时，人民离去以后，苏撒纳常走进她丈夫的果园里散步。		
13:8 	那两个长老每天见她进去散步，遂对她起了邪念。		
13:9 	他们昧着良心，转眼不看上天，全不思念正义的裁判。		
13:10	他们二人虽然都为了暗恋她而伤感，却不敢彼此披露自己的隐情，		
13:11	因为他们都羞于说明自己希望与她交合的欲念。		
13:12	但他们二人仍然天天争着去窥看她。		
			
13:13t	两个长老图奸苏撒纳		
13:13	一天，这人对那人说：「我们现在回家罢，因为已到午饭的时候了。」他们出去以后，便各自走了。		
13:14	接着又都走回原来的地方，他们互问走回来的原因之后，便都承认了自己的欲念；于是他们二人同谋，寻找一个能遇到苏撒纳一人独处的时机。		
13:15	他们在等待一个适当的机会时，有一天苏撒纳像往日一样，只带着两个婢女进了果园，由于天热，她想在园中沐浴。		
13:16	那时园中除了这两个藏着窥看她的长老外，没有别人。		
13:17	苏撒纳对婢女说：「将油和香皂给我拿来，关上园门，我要沐浴。」		
13:18	她们便遵命去作，关上园门，从侧门出去，去取她吩咐她们的东西，全不知道这两个长老隐藏在那里。		
13:19	婢女们一走出去，这两个长老便起来，跑到她面前，		
13:20	对她说：「看，园门关了，没有人能看见我们，我们早就爱上了你，你要答应我们，与我们交合罢!		
13:21	不然，我们就要作证控告你，说有一个青年人同你在一起，所以你才打发婢女们离开你。」		
13:22	苏撒纳叹息说：「我真是左右为难!因为我若作了这事，我是必死无疑；我若不作这事，我也难逃你们的手。		
13:23	我不如不作，宁可落在你们手里，也不愿在上主面前犯罪。」		
13:24	苏撒纳遂高声喊叫，这两个长老为对付她也喊叫起来，		
13:25	其中一个跑去开了园门。		
13:26	家人一听见园中的喊声，就急忙从侧门跑进来，要看看她遭遇了什么事。		
13:27	但是当长老们说出这段话以后，仆人们都感觉羞惭，因为从来没有人说苏撒纳有过这样的事。		
			
13:28t	苏撒纳受诬被判死刑		
13:28	第二天，人民聚集到她丈夫约雅金那里的时候，那两个长老也走来了，满怀恶意，一心要将苏撒纳置于死地。		
13:29	他们在人民面前说：「派人将希耳克雅的女儿，约雅金的妻子，苏撒纳带上来!」差人便去了。		
13:30	苏撒纳同他的父母，她的孩子和所有的亲戚都来了。		
13:31	苏撒纳长得体态轻盈，相貌美丽。		
13:32	这两个坏人命她除去面纱──因为她原是带着面纱的──好让自己饱览她的美色。		
13:33	她的亲友和看见她的人都在哭泣。		
13:34	那两个长老遂在人民中站起来，把手按在苏撒纳的头上。		
13:35	她哭着仰视上天，衷心依赖上主。		
13:36	两个长老说：「当时只有我们两人在园中散步，她同两个婢女进来，随即关了园门，并辞退了两个婢女。		
13:37	一个预先藏在园中的青年人，走到她面前，与她睡在一起。		
13:38	我们在园中的角落里看见这种丑事，便跑到他们那里。		
13:39	我们虽然看见他们二人在一起，但我们却不能捉住那个青年，因为他比我们有力，他便开门逃走了。		
13:40	我们捉住这女人以后，问她那个青年是谁，		
13:41	她却不肯告诉我们：对于这些事，我们是见证。」会众相信了他们，因为他们是人民的长老和民长，于是便定了苏撒纳的死罪。		
			
13:42t	达尼尔为苏撒纳申冤		
13:42	苏撒纳遂大声呼号说：「永生的天主!你洞察隐秘的事，凡事在发生以前，你已知道了；		
13:43	你知道他们对我所作的是假见证；看，现在我要死了，然而我并没有作过，他们恶意对我所捏造的事。」		
13:44	上主俯听了她的呼声；		
13:45	当她被押赴刑场的时候，天主感动了一个青年人的圣善心灵，这青年名叫达尼尔，		
13:46	他便高声呼喊说：「对于流这女人的血，我是没有罪的!」		
13:47	民众转过身来问他说：「你说这话有什么意思呢﹖」		
13:48	达尼尔立在民众中间说：「以色列子民!你们怎么这样糊涂﹖未经审问，不查实情，就定一个以色列女子的罪案吗﹖		
13:49	你们再回审判厅!因为他们二人作了假见证，诬陷了她。」		
13:50	于是民众急忙回去，众长老对达尼尔说：「请你来，坐在我们中间，明白地告诉我们，因为天主把长老的智慧赐给了你。」		
13:51	达尼尔对他们说：「将这两个长老隔离开，让我来审问他们。」		
13:52	把他们二人隔开以后，达尼尔叫过其中的一个来，对他说：「你这个一生作恶的老妖，你以前犯的罪，现在已临到你身上了!		
13:53	你宣布不义的裁判，判定无辜者有罪，释放有罪的人，虽然上主曾说：不可杀害无辜和正义的人。		
13:54	如果你真看见了她，现在你告诉我：你看见他们在一起是在什么树下﹖」他回答说：「是在乳香树下。」		
13:55	达尼尔说：「够了!你在说谎，应砍你的头，因为天主的天使已奉天主的命，要把你斩为两段。」		
13:56	达尼尔叫他退下，命将另一个带上来，对他说：「客纳罕的苗裔而非犹大的苗裔啊!美色迷惑了你，淫欲颠倒了你的心。		
13:57	你们一向这样对待了以色列的女子们，她们由于害怕而与你们交往，但是这个犹大女子，却不能忍受你们的邪恶!		
13:58	现在你告诉我：你发现他们在一起，是在什么树下﹖」他回答说：「是在樟树下。」		
13:59	达尼尔对他说：「的确，你也一样在说谎话，也必要砍下你的头!天主的天使手中已拿了利剑在等待着，要将你斩为两段，消灭你们。」		
