1.-2t	耶肋米亚		
14.8 	14:8 你是以色列的希望，是她在患难中的救主。为什么你在本乡好象是个异乡人，好象是个投宿一夜的旅客﹖		
14.9 	14:9 为什么你好象是个沉睡的人，好象是个不能施救的勇士﹖上主，你常在我们之中，我们是归你名下的人，求你不要离弃我们。		
14.10	14:10 上主论这人民这样说：「他们这样爱好游荡，没有约束自己的脚，为此上主不喜悦他们；现在忆起了他们的过犯，就惩罚他们的罪恶」。		
14.11	14:11 上主对我说：「你不要为这人民求情!		
14.12	14:12 即使他们斋戒，我也不会俯听他们的呼吁；即使他们奉献全燔祭和素祭，我也不会悦纳，反而要用战争、饥馑和瘟疫将他们消灭」。		
14.13	14:13 我于是说：「哎呀!我主上主!你看，先知们对他们说：你们决不会见到战争，你们决不会遭受饥荒，在这地方我必赐给你们真正的平安」。		
14.14	14:14 上主对我说：「先知们以我的名预言谎话，我并没有派遣他们，也没有对他们说过话。他们给你们所预言的，是荒谬的幻象空妄的卜筮，存心骗人的欺诈。		
14.15	14:15 为此上主这样说：关于那些以我的名义说预言的先知，我既没有派遣他们，而他们反说：在这地方不会有战争和饥馑，他们就必死于战争和饥馑。		
14.16	14:16 至于听他们向自己讲说预言的人民，必因饥馑和战争，陈尸在耶路撒冷街头，没有人掩埋他们和他们的妻室子女；我必将他们的邪恶都倾注在他们身上。		
			
14.17t	先知的哀伤		
14.17	14:17 你应将这话转告他们：我眼泪直流，昼夜不息，因为我的处女──人民──大受摧残，受了严重的打击。		
14.18	14:18 我若走入田间，看见刀杀的遗尸；我若进入城里，看见饥馑的可怖惨状；就连先知和司祭们也流亡到他们素不相识的地方」。		
14.19	14:19 难道你决意拋弃犹大，实心厌恶熙雍﹖为什么你打击我们，致使我们医治无望﹖我们原是期待和平，却不见好转；希望医治的时日，却只见恐怖!　		
14.20	14:20 上主，我们承认我们的罪恶，和我们祖先的过犯；我们实在得罪了你。		
14.21	14:21 愿你为了你的名，不要嫌弃，不要轻慢你光荣的御座!望你记忆，不要废除你与我们订立的盟约!		
14.22	14:22 异民的「虚无」中，有能降雨的吗﹖或是诸天能自施甘霖﹖难道不只是你，上主我们的天主!我们寄望于你，因为你行了这一切事。		
			
			
15.0t	第十五章(21)		
			
15.1t	上主不怜恤以民		
15.1 	15:1 上主对我说：「纵使梅瑟和撒慕尔立在我面前，我的心仍不转向这人民；你由我面前将他们驱逐，叫他们离去。		
15.2 	15:2 假如人对你说：我们往哪里去﹖你就对他们说：上主这样说：「该死的就死，该杀的就杀，该挨饿的就挨饿，该被掳去的，就被掳去。		
15.3 	15:3 我必用四种刑罚来惩罚他们──上主的断语──用刀剑来杀，用野狗来拖，用天空的飞鸟和地上的野兽来吞食，来消灭。		
15.4 	15:4 我为了犹大王希则克雅的儿子默纳舍在耶路撒冷所行的事，必使他们成为地上万国恐怖的对象。		
15.5 	15:5 耶路撒冷!谁还怜恤你，谁还同情你，谁还转身向你问安﹖		
15.6 	15:6 你既离弃了我──上主的断语──转身背着我，我就只有对你伸出我的手，将你消灭；我对宽恕已感厌倦：		
15.7 	15:7 我要在这地的城门口，用簸箕将他们簸散，使他们丧失子女；我要消灭我的人民，因为他们不离开自己的行径。		
15.8 	15:8 他们的寡妇已多过海边的沙粒；我要给他们招来午间的破坏者，袭击英俊勇士的母亲，使痛苦和恐怖突然降到她身上。		
15.9 	15:9 生过七个子女的母亲，现已身衰气绝，还是白天，她的太阳已经西落，她只有绝望惆怅；至于他们的遗民，我必使他们在敌人面前死于刀下──上主的断语。		
			
15.10t	先知感怀身世		
15.10	15:10 我的母亲!我真不幸，你竟生了我这个与普世对抗相争的人。我没有向人借贷，人也没有向我借贷，人却都辱骂我。		
15.11	15:11 实在，上主，我岂没有尽力事奉你﹖我岂没有在灾难祸患时为仇人向你恳求﹖		
15.12	15:12 人岂能折断北方的铁和铜﹖		
15.13	15:13 【我必使你的财产和宝藏，任人抢劫，为赔补你在你全境内犯的罪恶，		
15.14	15:14 叫你在你不认识的地方，给你的仇敌为奴，因为我的怒火已燃起，必对你们发作】。		
15.15	15:15 上主，你都知道，求你回念我，眷顾我，为我报复迫害我的人，不要因你太忍耐，就让我死去；你该知道：正是为了你，我才受人侮辱。		
15.16	15:16 你的话一来到，我就吞下去；你的话便成了我的喜悦，我心中的欢乐，上主，万军的天主!因为我是归于你名下的，		
15.17	15:17 我从没有坐在欢笑者的集会中一同取乐；我却依你的指示独自静坐，因为你使我愤怒填胸。		
15.18	15:18 为什么我的痛苦如此久长，我的创伤不可医治，痊愈无望﹖你于我好象是一条不常有水，而变化无常的溪流!		
15.19	15:19 为此上主这样说：「你若回来，我必让你回来，使你能再立在我面前；你若能发表高尚而非荒谬的思想，你就可作我的口舌，使他们转向你，而不是你转向他们。		
15.20	15:20 这样，我必使你对这人民成为一设防的铜墙，他们能攻击你，却不能制胜你，因为有我与你同在，援助你，解救你──上主的断语──		
15.21	15:21 我必解救你脱离恶人的手，由强暴人的掌握中将你赎回」。		
			
			
16.0t	第十六章(21)		
			
16.1t	生子反不幸		
16.1 	16:1 上主的话传给我说：		
16.2 	16:2 「在这地方，你不要娶妻，不要有儿女，		
16.3 	16:3 因为上主关于生在这地方的子女，和在这境内生育他们的母亲，以及生养他们的父亲这样说：		
16.4 	16:4 「他们必死于死症，没有人哀悼，没有人掩埋，有如地面上的粪土。他们反为战争和饥荒所毁灭，他们的尸首必成为天上飞鸟和地上野兽的食物」。		
16.5 	16:5 因为上主这样说：「你不要进入居丧之家，去举哀吊唁，因为我已由这人民撤回了我的平安、慈爱和怜悯──上主的断语──		
16.6 	16:6 无论大小都要死在这地方，没有人掩埋，没有人为他们举丧，没有人为了他们而刺身剃发；		
16.7 	16:7 没有人与居丧者分食丧饼，以相吊慰；没有人与居父丧或母丧者饮一杯慰唁酒。		
16.8 	16:8 有宴会的家，你也不要进去，与他们一同坐下吃喝，		
16.9 	16:9 因为万军的上主，以色列的天主这样说：看，我必在你们眼前，在你们的时日内，使这地方再也听不到欢愉和喜乐的声音，新郎和新娘的声音。		
			
16.10t	以色列的过犯		
16.10	16:10 当你把这一切话告诉这人民时，他们必问你说：为什么上主对我们宣布了这一切大灾祸﹖我们有什么过犯，我们有什么罪恶干犯了上主我们的天主﹖		
16.11	16:11 你就答应说：是因为你们的祖先离弃了我──上主的断语──跟随了别的神祗，事奉朝拜，而背弃了我，没有遵守我的法律。		
16.12	16:12 至于你们，你们作恶更甚于你们的祖先；看，你们各人随从自己顽固的恶意生活，不听从我；		
16.13	16:13 所以我必从这地上将你们驱逐，到你们和你们的祖先从不认识的地方去，让你们在那里日夜事奉别的神祗；我再也不对你们表示怜爱。		
16.14	16:14 【为此，看，时日即将来临──上主的断语──人不再发誓说：领以色列子民由埃及地上来的「上主永在」，		
16.15	16:15 却要说：领以色列子民由北方，并由他驱逐他们所至的各地回来的「上主永在」；因为我必领他们回到我已赐给他们祖先的地方。】		
16.16	16:16 看，我必派许多渔夫──上主的断语──来捕捉他们；以后，我又派许多猎人来，从各山上，各丘陵和岩石的裂缝间，猎取他们，		
16.17	16:17 因为我的眼注视他们的一切行径，他们不能由我面前隐藏，他们的过犯在我眼前也不能隐藏。		
16.18	16:18 我首先要加倍报复他们的过犯和罪恶，因为他们以死尸般的偶象玷污了我的土地，使我的基业上满是丑恶的神象」。		
			
16.19t	异民要归依上主		
16.19	16:19 上主，我的力量，我的保障，我忧患之日的避难所，万民必从地极来到你面前说：「我们的祖先承受的只是虚假、空虚和毫无益处的事」。		
16.20	16:20 人岂能为自己制造神祗﹖凡制造的，绝不是神!		
16.21	16:21 为此，看，我必叫他们知道，这次我必叫他们体验我的手和我的能力，使他们知道我的名字是「上主」。		
			
			
17.0t	第十七章(27)		
			
17.1t	郑重警告		
17.1 	17:1 犹大的罪是用铁笔记录下来的，用钻石尖刻在他们的心坎上和他们的祭坛角上，好叫他们的子孙记得他们在高岗上，青绿树下和平原的山上，		
17.2 	17:2 设立了祭坛和神木。		
17.3 	17:3 你的财产和所有的宝藏，我必使人掠夺，以抵偿你在全境内犯过的一切罪恶。		
17.4 	17:4 我必由你手中撤回我赐与你的产业，叫你在不相识的地方给你敌人为奴，因为我的怒火已燃起，将永燃不熄。		
17.5 	17:5 上主这样说：「凡信赖世人，以血肉的人为自己的臂膊，决心远离上主的人，是可咒骂的!		
17.6 	17:6 他必象一株在旷野中的柽柳，即使幸福来到，一点也不觉察，只住在旷野干燥处，满含盐质无人居住之地。		
17.7 	17:7 凡信赖上主，以上主作依靠的人，是可祝福的；		
17.8 	17:8 他必象一株栽在水边的树木，生根河畔，不怕炎热的侵袭，枝叶茂盛，不愁旱年，不断结实。		
17.9 	17:9 人心最狡猾欺诈，已不可救药；谁能透识﹖		
17.10	17:10 我上主究察人心，考验肺腑，依照各人的行径和作为的结果，给人报酬。		
17.11	17:11 谁不以正义积聚财物，就象一只鹧鸪孵化不是自己产的卵，中途必要拋弃；结果，还是自己胡涂。		
17.12	17:12 我们圣所的地方，从起初就是设在崇高之处的光荣宝座。		
17.13	17:13 上主，以色列的希望!凡离弃你的，必要蒙羞；上主，凡远离你的，必被记录在地上，因为他们离弃了活水的泉源。		
			
17.14t	先知有恃无恐		
17.14	17:14 上主，求你医治我，我必能痊愈；你拯救我，我必能获救，因为你是我的荣耀。		
17.15	17:15 看啊，世人对我说：上主的话在哪里﹖让它来吧!		
17.16	17:16 至于我，我没有强迫你加害，也没有愿望灾祸的日子；你知道：凡出自我口的，都先向你面陈过。		
17.17	17:17 请你不要成为我的恐怖，你原是我患难之日的避难所。		
17.18	17:18 愿迫害我的人蒙羞；而不是我蒙羞；愿他们惊慌，而不是我惊慌；请你给他们招来灾祸的日子，以双倍的毁灭，消灭他们。		
			
17.19t	劝人守安息日		
17.19	17:19 上主这样对我说：「你去立在犹大君王出入的本雅明门前，立在耶路撒冷各门前，		
17.20	17:20 向他们说：犹大的君王、全体犹大人和耶路撒冷居民，即凡由这些门进来的，你们聆听上主的话!		
17.21	17:21 上主这样说：你们应该小心，不要在安息日担运重载，进入耶路撒冷的城门。		
17.22	17:22 不要在安息日从你们的家里搬运重载；不要做任何工作，却要按照我曾给你们祖先所吩咐的，圣化安息日。		
17.23	17:23 他们不但不侧耳倾听，反而硬着颈项，不愿依从，不愿受教。		
17.24	17:24 设若你们认真听从我──上主的断语──在安息日，不将重担搬进这城门，却圣化安息日，不做任何工作；		
17.25	17:25 那么，坐在达味宝座上的君王和王侯，便会乘车骑马，与自己的公卿、犹大人和耶路撒冷的居民，从这城的门进来；这城必永远有人居住；		
17.26	17:26 人们从犹大各城、耶路撒冷四周、本雅明地、平原、山地和南方前来，带着全燔祭、牺牲、素祭和乳香，在上主的殿里奉献感恩祭。		
17.27	17:27 但是，如果你们不听从我，不圣化安息日，反在安息日担运重载，进入耶路撒冷的城门，我必在城门口放火，叫火吞灭耶路撒冷的宫殿，决不熄灭。」		
			
			
18.0t	第十八章(23)		
			
18.1t	陶工制器的象征		
18.1 	18:1 上主有话传给耶肋米亚说：		
18.2 	18:2 「起来，下到陶工家里去，在那里我要让你听到我的话」。		
18.3 	18:3 我便下到陶工家里，见他正在轮盘上工作。		
18.4 	18:4 陶工用泥做的器皿，若在他手中坏了，他便再做，或另做成一个器皿，全随陶工的意思去做。		
18.5 	18:5 于是上主的话传给我说：		
18.6 	18:6 「以色列家，我岂不能象这陶工一样对待你们﹖──上主的断语──以色列家!看，你们在我手中，就象泥土在陶工手中一样。		
18.7 	18:7 我一时可对一个民族，或一个国家，决意要拔除，要毁坏，要消灭；		
18.8 	18:8 但是我要打击的民族，若离弃自己的邪恶，我也反悔，不再给他降原定的灾祸。		
18.9 	18:9 或者，我一时想对一个民族或一个国家，决意要建设，要栽培，		
18.10	18:10 但若她行我不喜欢的事，不听从我的声音，我也要反悔，不再给她所许过的恩惠。		
18.11	18:11 现在你可告诉犹大人和耶路撒冷的居民说：上主这样说：看，我已给你们安排了灾祸，定了惩罚你们的计划，希望你们每人离弃自己的邪道，改善自己的途径和作为」。		
18.12	18:12 他们反倒答说：「已没有希望了!因为我们愿随从自己的计谋，各按自己顽固的恶意行事」。		
			
18.13t	犹大背信沦亡		
18.13	18:13 为此上主这样说：「你们可到各民族去询问：有谁听到了象这样的事﹖以色列处女做出了极可憎的事。		
18.14	18:14 黎巴嫩山巅的岩石岂能缺少积雪﹖丛山间涌流的冰泉，岂能涸竭﹖		
18.15	18:15 但我的人民却忘掉了我，向「虚无」献香，滑出了自己的正道，离开旧日的行径，而走上了小道，不平坦的路，		
18.16	18:16 使自己的地域变为惊愕的原因，取笑的目标；凡经过这地方的人，莫不惊异摇首。		
18.17	18:17 我必象一阵东风在敌人面前将他们吹散；在他们灭亡之日，我必使他们只见我背，不见我面」。		
			
18.18t	先知求主罚敌		
18.18	18:18 他们说：「来，我们合谋陷害耶肋米亚!因为没有司祭，法律不会因此废止；没有智者，计谋不会因此缺乏；没有先知，神谕不会因此断绝。来，我们用舌头评击他，不注意他的一切劝告」。		
18.19	18:19 上主，愿你俯听我，请听我敌人的声明。		
18.20	18:20 难道该以怨报德吗﹖他们竟掘下陷阱来陷害我的性命!望你记忆：我曾站在你面前为他们求情，替他们挽回你的盛怒。		
18.21	18:21 为此，你应使他们的子孙遭受饥荒，任人屠杀；使他们的妇女丧子居寡，使他们的男人死于瘟疫，使他们的青年在战埸上死于刀下。		
18.22	18:22 当你引匪队突击他们时，愿从他们的屋里可听到哭声，因为他们掘了陷阱捕捉我，在我脚下设下罗网。		
18.23	18:23 至于你，上主，你知道他们对我的一切计划是要杀害我；请你不要宽恕他们的过恶，不要由你面前抹去他们的罪过，务使他们倒仆在你面前；在你发怒时，求你报复他们。		
			
			
19.0t	第十九章(15)		
			
19.1t	碎瓶的象征行为		
19.1 	19:1 上主这样对耶肋米亚说：「你去向陶工买一个瓦瓶，然后带些民间长老和司祭首长，		
19.2 	19:2 到陶业门进口处的本希农山谷去，在那里宣布我要对你说的话。		
19.3 	19:3 你要说：犹大王和耶路撒冷的居民!请聆听上主的话。万军的上主，以色列的天主这样说：看，我必给这地方招来灾祸，凡听见的，必要耳鸣，		
19.4 	19:4 因为他们离弃了我，使这地方成了异地，在这里向他们和他们的祖先并犹大王都不认识的外邦神祗献香，使这地方充满无辜的血，		
19.5 	19:5 给巴耳建了高丘，向巴耳火焚自己的儿子作全燔祭：这都是我从没有吩咐，没有说过，没有想到的事。		
19.6 	19:6 因此，看，时日将到──上主的断语──这地方不再叫作托斐特或本希农山谷，却要叫做「屠杀谷」。		
19.7 	19:7 在这地方，我必使犹大和耶路撒冷的计划落空，使他们在敌人面前丧身刀下，死在图谋他们性命者的手中，将他们的尸首丢弃给天上的飞鸟，和地上的走兽作食物。		
19.8 	19:8 我必使这城成为惊愕的缘因和讥诮的目标；使凡从这里经过的人，没有不因她所受的一切打击，而感到惊异嗟叹的!		
19.9 	19:9 我必使他们吞食自己子女的肉：在敌人和图谋他们性命的人围攻他们，处于困厄之时，必吞食自己近人的肉。		
19.10	19:10 以后，你就在与你同来的人眼前将那瓶打破，		
19.11	19:11 对他们说：万军的上主这样说：我要这样破坏这人民和这城市，就如人打破这陶工的器皿，再也无法补救；人必将托斐特充作坟埸，因为再没有地方可供埋葬。		
19.12	19:12 我必这样对待这地方和这地的居民──上主的断语──使这城市象托斐特一样；		
19.13	19:13 耶路撒冷的房屋和犹大王的宫殿，即他们在楼顶上向天上的万象献香，并给外方的神祗行奠礼的一切房屋，都必象托斐特一样，成为不洁的地方。		
19.14	19:14 耶肋米亚奉上主派遣到托斐特宣讲预言回来以后，站在上主殿宇的庭院里，向全体人民说：		
19.15	19:15 「万军的上主，以色列的天主这样说：看，我必给这城市和她所属的一切市镇，招来我对她说过的灾祸，因为她硬着颈项，不肯听从我的话」。		
			
			
20.0t	第二十章(17)		
			
20.1t	先知无罪入狱		
20.1 	20:1 依默尔的儿子帕市胡尔司祭，上主殿宇的总监督，听见了耶肋米亚预言这些事，		
20.2 	20:2 帕市胡尔便打了耶肋米亚先知，给他加上脚镣，把他囚在上主殿内本雅明上门的监牢里。		
20.3 	20:3 次日，帕市胡尔给耶肋米亚去了脚镣；耶肋米亚便对他说：「上主不再称你为「帕市胡尔」，却称你为「惊慌四起」。		
20.4 	20:4 因为上主这样说：看，我必使你和你的一切友人遭受惊慌；他们必倒在敌人的刀下，而且你要亲眼看见这事；我将全犹大人交在巴比伦王的手中，他要将他们掳到巴比伦去，用刀击杀。		
20.5 	20:5 这城的一切财物，一切积蓄，一切珍宝，以及犹大列王的一切宝藏，我都要交在他们敌人的手中，让他们抢劫掠夺，运到巴比伦去。		
20.6 	20:6 至于你，帕市胡尔!以及凡住在你家中的人，都要被掳去充军；你和你向他们讲假预言的一切友人，都要到巴比伦去，死在那里，埋在那里。」		
			
20.7t	对上主有所不满		
20.7 	20:7 上主，你引诱了我，我让我自己受了你的引诱；你确实比我强，你战胜了。我终日成为笑柄，人都嘲笑我。		
20.8 	20:8 因为我每次发言，必得叫喊，必得高呼：「暴虐!破坏!」实在，上主的话，为我日日成为受侮辱和讥笑的因由。		
20.9 	20:9 假使我说：我不再想念他，不再以他的名发言；在我心中就象有火在焚烧，蕴藏在我的骨髓内；我竭力抑制，亦不可能。		
20.10	20:10 实在，我听到了多少人私相耳语：「惊慌四起!你们揭发，我们就必对他提出控诉。」甚至我一切的友好都在侦察我的破绽：「也许他会入彀，那我们必能制胜他，对他施行报复。」		
20.11	20:11 但是与我同在的上主，好象是一位孔武有力的战士，为此迫害我的人只有失败，决不能制胜；由于谋事不成，必蒙受极大的耻辱，永不可磨灭的羞辱。		
20.12	20:12 噫万军的上主!你考验义人，洞察人的肝胆肺腑；我既给你诉说了我的案情，愿你使我见到你对他们的报复。		
20.13	20:13 你们应歌颂上主，赞扬上主，因为他从恶人的手中，救出了穷苦人的性命。		
			
20.14t	生不如死		
20.14	20:14 愿我诞生的那一天，是可咒骂的；愿我母亲生我的那一天，不蒙受祝福!		
20.15	20:15 愿那给我父亲报信说：「给你生了一个男孩，」叫他异常高兴的人，是可诅咒的!		
20.16	20:16 愿这人象上主不顾惜消灭的城市：早晨听到哀号，正午听到警报；		
20.17	20:17 因为他没有叫我死在母胎，使我的母亲成为我的坟墓，叫她永远不分娩生我!为什么我要从母胎里出来，眼见辛酸痛苦，在羞辱中消磨我的岁月﹖		
			
			
21.0t	第二十一章(14)		
			
21.1t	犹大势必国破家亡		
21.1 	21:1 上主传给耶肋米亚的话：那时，漆德克雅王正派玛耳基雅的儿子帕市胡尔，和司祭玛阿色雅的儿子责法尼雅来见他说：		
21.2 	21:2 请你替我们询问上主：「巴比伦王拿步高既来与我们作战，上主是否依照他所行的奇事来协助我们，叫他离我们远去﹖」		
21.3 	21:3 耶肋米亚便回答他们说：「你们应这样对漆德克雅说：		
21.4 	21:4 上主，以色列的天主这样说：看，我必使你们手中所持，用以攻击在城外围攻你们的巴比伦王和加色丁人的武器，反回集中在这城的中心。		
21.5 	21:5 然后我要伸出手来，以强力的手臂、震怒、狂暴和愤恨痛击你们，		
21.6 	21:6 痛击住在这里的人和兽；他们必死于盛行的瘟疫。		
21.7 	21:7 此后──上主的断语──我必将犹大王漆德克雅和他的臣仆，并这城中幸免于瘟疫、刀剑和饥馑的人民，交在巴比伦王拿步高和他们的仇敌，以及谋图他们性命者的手中，叫敌人用利刃击杀他们，毫不饶恕，毫不怜悯，毫不表同情。		
21.8 	21:8 此外，你应对这人民说：上主这样说：看，我将生命的路和死亡的路，摆在你们面前：		
21.9 	21:9 凡留在这城中的，必死于刀剑、饥馑和瘟疫；凡出来向围攻你们的加色丁人投降的，必保全性命，必有生命当作自己的胜利品。		
21.10	21:10 我所以转面向着这城，是为降灾，并不是为赐福──上主的断语──这城必被交在巴比伦王手中，他要火烧这城。」		
			
21.11t	对约雅金王的神谕		
21.11	21:11 对于犹大的王室，你应该这样说：你们该聆听上主的话，		
21.12	21:12 达味家族!上主这样说：「你们应及早执行正义，从压迫者手中解救被剥夺的人，免得我的忿怒，因你们行事邪恶，象火一般烧起，而没有人能熄灭。」		
			
21.13t	对耶京的预言		
21.13	21:13 至于你这居住在谷中和平原岩石上的人，看，我来对付你──上主的断语──你们夸说：「谁能下来攻击我们﹖谁能进入我们的巢穴﹖」		
21.14	21:14 我必按照你们行为应得的，来惩罚你们──上主的断语──我要在她的树林里放火，吞灭她四周的一切。		
			
			
22.0t	第二十二章(30)		
			
22.1t	先知警告君王		
22.1 	22:1 上主这样说：「你下到犹大王宫去，在那里宣布这话，		
22.2 	22:2 说：坐在达味宝座上的犹大王!你和你的臣仆及从这些门进来的人民，该聆听上主的话。		
22.3 	22:3 上主这样说：你们应执行公道正义，从压迫人的手中解救受剥夺的人，不要伤害虐待外方人和孤儿寡妇，不要在这地方上流无辜者的血。		
22.4 	22:4 假使你们实在照这话去做，必有坐在达味宝座上的君王，乘车骑马，与自己的臣仆和人民从这宫殿的门进来；		
22.5 	22:5 倘若你们不听从这话，我指着自己起誓──上主的断语──这宫殿必要变为废墟。		
22.6 	22:6 因为上主这样论犹大王的宫殿说：即使你为我有如基肋阿得，又如黎巴嫩的山顶，我仍要使你变为荒野，成为无人居住的城市；		
22.7 	22:7 我要祝圣那已武装的毁灭者来攻击你，砍伐你最佳美的香柏，投入火中。		
22.8 	22:8 许多民族经过这城时，必互相问说：为什么上主这样对待了这座大城市﹖		
22.9 	22:9 人必答说：因为他们废弃了上主他们的天主的盟约，敬拜事奉了别的神祇。」		
			
22.10t	有关约阿哈次的神谕		
22.10	22:10 你们不要为已死的人哭泣，不要为他举哀；却要为远去的人痛哭，因为他不会再回来，见他的生身地。		
22.11	22:11 因为上主这样论犹大王约史雅的儿子，即继承他父亲约史雅为王的沙隆说：「他一离开这地方，就不会再回来，		
22.12	22:12 必死在被掳去的地方，不会再见此地。」		
			
22.13t	有关约雅金的神谕		
22.13	22:13 祸哉，那不以公道正义建筑自己的宫殿楼台，叫人为自己徒劳而不给他工资的人!		
22.14	22:14 他说：我得给自己建筑广大的宫殿，宽敞的楼台，开设窗户，镶上香柏，涂上丹砂。		
22.15	22:15 你为王是要以香柏争胜吗﹖你父亲岂不也吃也喝﹖但他执行公道正义，为此能一切顺利；		
22.16	22:16 他亲自裁判弱小和贫苦人的案件，因此一切顺利；这岂不是表示他认识我﹖──上主的断语──		
22.17	22:17 至于你，你的眼和心，只顾私利，只知流无辜者的血，施行欺压和勒索。		
22.18	22:18 为此上主这样说：「对于犹大王约史雅的儿子约雅金，人必不哀悼他说：哀哉，我兄弟!或哀哉，我姊妹!人必不哀悼他说：哀哉，主上!或哀哉，陛下!		
22.19	22:19 人要埋葬他如同埋葬一匹死驴，将他拖出，拋在耶路撒冷的门外。」		
			
22.20t	有关耶路撒冷的神谕		
22.20	22:20 你该上黎巴嫩去呼喊，在巴商提高你的声音，由阿巴陵喊叫，因为你的情侣都已灭亡。		
22.21	22:21 在你欢乐时，我曾劝告过你，你却说：「我不听从。」你从幼年，就是这般行径，从不听我的声音。		
22.22	22:22 你所有的牧人将被风卷去，你的情侣必流徙远方；那时你必因你行的一切邪恶，含羞抱愧。		
22.23	22:23 你现在住在黎巴嫩，在香柏树上营巢，但是，当痛苦，象产妇的痛苦袭击你时，你将多么可怜!		
			
22.24t	有关苛尼雅的神谕		
22.24	22:24 我永在──上主的断语──犹大王约雅金的儿子苛尼雅，即便你是我右手上盖章的指环，我也要将你拔除，		
22.25	22:25 交在图谋你性命和你畏惧的人的手中，交在巴比伦王拿步高和加色丁人的手中；		
22.26	22:26 将你和你生身的母亲，拋在不是你们出生的异地，叫你们死在那里。		
22.27	22:27 他们必不能回到他心灵渴望回去的地方。		
22.28	22:28 苛尼雅这人，不是个可鄙而该毁灭的器皿，或无人喜悦的家具吗﹖为什么他和他的后裔被拋弃，被投掷到自己不相识的地方去﹖		
22.29	22:29 地啊!地啊!请聆听上主的话!		
22.30	22:30 上主这样说：「你应记录：这人是一个无子女，毕生无成就的人，因为他的后裔中，没有一人能成功，能坐上达味的宝座，再统治犹大。」		
			
			
23.0t	第二十三章(40)		
			
23.1t	假先知谣言惑众		
23.1 	23:1 祸哉，那把我牧场上的羊群摧残和赶散的牧人──上主的断语──		
23.2 	23:2 为此上主，以色列的天主，对牧放我民的牧人这样说：「你们驱散赶走了我的羊群，不加照顾；现在，看，我必依照你们的恶行来惩罚你们──上主的断语──		
23.3 	23:3 我要从我以前驱散它们所到的各地，集合我尚存的羊，引导它们再回自己的羊栈，叫它们滋生繁殖；		
23.4 	23:4 我要兴起牧者来牧放它们，使它们无恐无惧，再也不会失掉一个──上主的断语。		
23.5 	23:5 看，时日将到──上主的断语──我必给达味兴起一支正义的苗芽，叫他执政为王，断事明智，在地上执行公道正义。		
23.6 	23:6 在他的日子里，犹大必获救，以色列必居享安宁；人将称他为：「上主是我们的正义。」		
23.7 	23:7 为此，看，时日将到──上主的断语──人不再以『那领以色列子民由埃及地上来的上主，永在』的话起誓，		
23.8 	23:8 却要以『那领以色列家的后裔，由北方，由他驱逐他们所到的各地回来，使他们再住在自己故乡的上主，永在』的话起誓。		
			
23.9t	有关假先知的神谕		
23.9 	23:9 论到先知：我的心在我怀内已破碎，我浑身骨骸战慄；为了上主，为了他的圣言，我好象成了一个醉汉，成了一个不胜酒力的人，		
23.10	23:10 因为地上充满了犯奸的人，为此，地受诅咒，只有哀伤，原野草场已枯干；他们奔走的是邪路，他们的势力是不义。		
23.11	23:11 实在，先知和司祭都不虔诚，以至连在我的殿里，也发现了他们的邪恶──上主的断语──		
23.12	23:12 因此，他们的道路为他们必将变为滑道，他们必被驱入黑暗，必要跌倒；因为到了降罚他们的年分，我必给他们招来灾祸──上主的断语──		
23.13	23:13 在撒玛黎雅的先知中，我亦发现了可恶的事：他们竟奉巴耳的名义说预言，使我的以色列民误入歧途。		
23.14	23:14 在耶路撒冷的先知中，我更发现了极可恶的事：他们竟犯奸淫，行动虚伪，助长恶人的势力，致使谁也不痛悔自己的邪恶；他们对我犹如索多玛，其中的居民好象哈摩辣人。		
23.15	23:15 为此，万军的上主论先知这样说：看啊!我必叫他们吃苦艾，喝毒水，因为全地邪恶蔓延，都是出于耶路撒冷的先知。		
23.16	23:16 万军的上主这样说：不要听向你们说预言的先知的话；他们只使你们妄想，他们讲的，并非出自上主的口，而只是他们心中的幻想。		
23.17	23:17 他们对那轻视我的人肯定说：「上主说：你们必享平安。」对一切随从自己顽固的心行事的人说：「灾祸不会来到你们身上。」		
23.18	23:18 其实，有谁参加过上主的会议，亲自听见过他的话﹖有谁曾留意听他的话，而实在听到了﹖		
23.19	23:19 看，上主的愤怒，如暴风发作，象旋风在恶人的头上旋转。		
23.20	23:20 上主的烈怒必不止息，直到他执行和完成了他心里的计划；到末日你们必能彻底明了。		
23.21	23:21 我并没有派遣这些先知，他们却自动奔走；我并没有对他们说话，他们却擅说预言。		
23.22	23:22 假使他们果真参加过我的会议，就该使我的人民听到我的话，叫他们离弃自己的邪道，和自己邪恶的行为。		
23.23	23:23 难道对近处的，是我天主──上主的断语──对远处的，我就不是天主了吗﹖		
23.24	23:24 人若隐藏在暗处，我就看不见了吗﹖──上主的断语──难道我不是充满天地的天主吗？──上主的断语──		
23.25	23:25 我听见了这些先知说的，他们奉我名预言虚妄说：我做了一梦，我做了一梦!		
23.26	23:26 先知在民间妄说预言，宣讲自己心中的幻想，要到几时呢﹖		
23.27	23:27 他们互相传述自己的梦幻，企图使我的人民忘记我的名，如同他们的祖先为了巴耳忘记了我的名一样。		
23.28	23:28 得了梦的先知，让他传梦；得了我的话的，就该忠实传述我的话；麦秆怎能与麦粒相比﹖──上主的断语──		
23.29	23:29 我的话岂不是象火﹖──上主的断语──岂不是象击碎岩石的铁锤﹖		
