1.-2t	撒慕尔纪上
10.21	他叫本雅明支派按照家族上前来，玛特黎家族中了签；他叫玛特黎家族各个男子上前来，克士的儿子撒乌耳中了签，大家便寻找他，却没有找著。
10.22	他们再求问上主说：「这人到这里来了没有？」上主回答说：「看，他隐藏在行李中。」
10.23	人们就赶快去将他从那里请出来，他站在百姓当中，高出众人一肩。
10.24	撒慕尔就向民众说：「你们看了上主所拣选的吗？在全人民中，没有一人可与他相比。」众百姓就欢呼说：「君王万岁! 」
10.25	撒慕尔向民众说明了君王的权利，并写在书卷上，放在上主面前。然后撒慕尔打发民众各自回了家。
10.26	撒乌耳也回基贝亚本家去了；有些为天主所感动的勇士也跟他去了， 27.但有些无赖汉却说：「这人怎能拯救我们？」就看不起他，也未给他送礼。
	
11.0t	第十一章　
	
11.1t	撒乌耳得胜阿孟人　
	
11.1	大约过了一个月，阿孟人纳哈士上来围困基肋阿得的雅贝士，雅贝士所有的居民对纳哈士说：「你与我们立约，我们就服事你。」
11.2	阿孟人纳哈士回答他们说：「在这条件下，我才与你们立约：就是剜出你们各人的右眼，我要藉此羞辱全以色列。」
11.3	雅贝士的长老回答他说：「请让我们休战七天，我们派人到以色列全境去，如果没有人来救我们，我们就向你投降。
11.4	使者到了撒乌耳的基贝亚，就把这事讲给民众听，民众遂放声大哭。
11.5	那时撒乌耳正跟著牛从田间回来，便问说：「民众有什么事，如此号淘大哭？」人们就把雅贝士人的话讲给他听。
11.6	撒乌耳一听说这些话，上主的神便降在他身上，遂勃然大怒，
11.7	立即牵了一对牛来，剖分成块，托使者分送到以色列全境说：「凡不随从撒乌耳如撒慕尔出征的，也必这样对待他的牛! 」上主的惊吓降在民众身上，因而他们好像一个人一齐出征。
11.8	撒乌耳在贝则克检阅了他们；以色列人共三十万，犹大人三万。
11.9	撒乌耳对来的使者说：「你们这样对基肋阿得的雅贝士人说：明天太阳正热时，救援就必达到你们那里。」使者便回去，向雅贝士人报告，他们都很喜欢。
11.10	雅贝士人遂对阿孟人说：「明天我们向你们投降，你们看著怎样好，就怎样对待我们罢!
11.11	第二天撒乌耳把民众分作三队，在黎明以前冲入了阿孟人营中，击杀他们一直到日中最热的时候；剩下的人都逃散了，以至没有两人在一起。
	
11.12t	撒乌耳登极为王　
	
11.12	民众于是对撒慕尔说：「谁曾说过：撒乌耳岂能作我们的君王？把这些人交出来，让我们处死他们! 」
11.13	撒乌耳回答说：「今天不可处死任何人，因为今天上主在以色列中施行了救恩。」
11.14	撒慕尔以后对民众说：「来，我们到基耳加耳去，在那里重新建立王国。」
11.15	民众便都去了基耳加耳，在那里于上主面前立撒乌耳为王，并给上主奉献了和平祭；撒乌耳同全体以色列人举行了盛大的盛会。
	
12.0t	第十二章　
	
12.1t	撒慕尔告别的训话　
	
12.1	撒慕尔对全以色列人说：「看，我全听从了你们向我所说的话，立了一位君王管理你们。
12.2	从此以后，有君王领导你们。至于我，我已老了，头发也白了；不过我的儿子还同你们在一起。我从小直到今天，常在你们面往来。
12.3	看，我在这里，请你们在上主面前，在他受傅者面前答覆我：我夺过谁的牛，或夺过谁的驴？我压迫过谁，或虐待过谁？从谁手里接受过掩人耳目的贿赂？若有，我必归还你们。」
12.4	他们答说：「你总没有压迫或虐待过我们，也没有从任何人手里接受过什么。」
12.5	他又对他们说：「上主给你们作证，受傅者今日也作证：你们在我手中没有找出什么。」他们答说：「可以作证。」
12.6	撒慕尔又对百姓说：「作见证的，是兴起梅瑟和亚郎，并领你们祖先从埃及地上来的上主。
12.7	现今你们要前来，我要在上主面前使你们认清，上主向你们和你们祖先所施行的一切恩惠：
12.8	当雅各伯和他的儿子来到埃及时，埃及人压迫他们，你们的祖先就向上主哀号，上主遂派遗梅瑟和亚郎领你们的祖先离开了埃及，使他们住在这个地方。
12.9	但他们忘却了上主他们的天主，他就将他们交在哈祚尔的元帅息色辣手中、培肋舍特人手中和摩阿布王手中，使这些人攻打他们。
12.10	他们就呼求上主说：我们犯了罪，离弃了上主，事奉了巴耳和阿市托勒特诸神；如今求你救我们脱离我们敌人的手，我们愿事奉你。
12.11	上主就派耶鲁巴耳、巴辣克、依弗大和三松，从你们四围敌人的手中拯救了你们，你们才得安居。
12.12	当你们看见阿孟子民的君王纳哈王来攻打你们时，曾对我说：不，我们要有一位君王来管理我们，──虽然上主你们的天主原是你们的君王。
12.13	现今，看，你们所拣选，所要求的君王；看，上主立了一位君王管理你们。
12.14	若是你们敬畏上主，事奉上主，听从他的话，不背叛上主的命令；若是你们和管理你们的君王，随从上主你们的天主，便可生存。
12.15	倘若你们不听从上主的话，背叛上主的命令，上主的手必要与你们和你们的君王作对。
12.16	现今你们前来，看上主在你们眼前要作的这伟大的奇事。
12.17	现今不是收割麦子的季节吗？但是我要呼求上主打雷下雨，使你们明白，也看出：你们要求一位君王，是行了上主眼中多么可恶的事。」
12.18	撒慕尔呼吁了上主，上主就在那天打雷下雨；全民众对上主和撒慕尔很是害怕，
12.19	都对撒慕尔说：「你为你的仆人们转求上主你的天主，别使我们死了，因为在我们一切罪恶之上，又加了一个为我们要求君王的罪过。」
12.20	撒慕尔对民众说：「你们不必害怕；你们固然犯了这一切罪过，但决不要远离上主，反而要全心事奉上主。
12.21	你们不要追求不能援助，也不能施救的虚无邪神，因为他们只是「虚无」而已。
12.22	上主为了自己的大名，决不抛弃自己的百姓，因为上主喜欢你们作他的百姓。
12.23	我也决不愿得罪上主，停止为你们祈祷，或停止教训你们行善道，走正路。
12.24	你们只该敬畏上主，全心忠诚事奉上主，因为你们看见了，他为你们作的，是何等伟大的事。
12.25	假使你们仍固执于恶，你们和你们的君王都必要丧亡。」
	
	
	
13.-1t	中编　撒乌耳君王史（撒上13-撒下1）
	
13.0t	第十三章　
	
13.1t	以色列叛变攻打肋舍特　
	
13.1	撒乌耳三十岁登极，作以色列王四十年。
13.2	撒乌耳从以色列人中挑选了三千人：两千在米革玛斯和贝特耳山地与撒乌耳在一起；一千在本雅明的革巴随著约纳堂；剩下的人，撒乌耳遗散他们各回本帐幕。
13.3	约纳堂击杀了驻扎在基贝亚的培肋舍特人的官吏，培肋舍特人遂知道希伯人已经叛变。撒乌耳在全国吹了警号，
13.4	全以色列人都听说：撒乌耳击杀了培肋舍特人的一个官吏，所以以色列为培肋舍特人所仇恨；于是人民便跟随撒乌耳聚集在基耳加耳。
13.5	培肋舍特人已调齐来攻打以色列人；他们有战车三千，骑兵六千，民兵多得如同海边的沙，都上来在贝特阿文东方的米革玛斯扎了营。
13.6	以色列人一见大难临头，敌人压境，就有人藏在山洞里，土窟内，岩石下，地窖内和旱井里，
13.7	另有许多人渡过约但河往加得和基肋阿得去了；但撒乌耳却还在基耳加耳，跟随他的人都战栗害怕。
	
13.8t	撒乌耳献祭受摈斥　
	
13.8	撒乌耳照撒慕尔约定的日期等了七天，但是撒慕尔却没有到基耳加耳来，因此军民离开撒乌耳四散逃跑了。
13.9	撒乌耳于是吩咐说：「把全燔祭品与和平祭品送到我这里来! 」他遂献了全燔祭。
13.10	他刚献完全燔祭，撒慕尔来了，撒乌耳便去迎接他，向他致敬。
13.11	撒慕尔问道：「你作了什么事？」撒乌耳答说：「我看见军民离开我四散逃跑了，你又没有照定期来，同时培肋舍特人已集合在米革玛斯，
13.12	所以我想现在培肋舍特人就要下到基耳加耳来攻打我，我还没向上主求援，所以我迫不得已，奉献了全燔祭。」
13.13	撒慕尔对撒乌耳说：「你作的真糊涂! 假使你遵守了上主你的天主吩咐的命令，上主必巩固你在以色列的王位直到永远。
13.14	但现在你的王位已立不住了；上主已另找了一位随他心意的人，立他为百姓的首领，因为你没有遵守上主吩咐你的命令。」
13.15	撒慕尔就起身离开基耳加耳走了。剩下的人跟随撒乌耳从基耳加耳上到了本雅明的革巴，与那里的军队会合；撒乌耳统计了随从他的部队，约有六百人。
	
13.16t	双方备战　
	
13.16	撒乌耳和他的儿子约纳堂，并一切随从他们的人驻扎在本雅明的革巴；同时培肋舍特人已在米革玛斯安了营。
13.17	那时从培肋舍特营中有三个突击队出发：一队取道敖斐辣，开往叔阿耳地方；
13.18	一队开往贝特曷龙；另一队开往革巴，此地俯瞰往旷野去的袋狼山谷。
	
13.19t	以色列人没有武器　
	
13.19	那时，在以色列全境内没有铁匠，原来培肋舍特人说过：「免得希伯来人制造刀轮。」
13.20	因此，以色列人为磨快犁、锄、斧、镰，都要下到培肋舍特人那里。
13.21	磨快犁和锄的价钱是三分之二「协刻耳，」磨快镰刀或装制刺针是三分之一「协刻耳。」
13.22	所以在米革玛斯到了开战的那一天，随从撒乌耳和约纳堂的人手中都没有刀轮，只是撒乌耳和他的儿子约纳堂有刀轮。
13.23	那时培肋舍特人的前哨向米革玛斯关口推进。
	
14.0t	第十四章　
	
14.1t	约纳堂袭敌营　
	
14.1	有一天，撒乌耳的儿子约纳堂对他执戟的侍卫说：「来，我们到对面，到培肋舍特人的前哨那里去。」但他没有通知他父亲。
14.2	当时撒乌耳正在革巴边界，坐在禾场旁的石榴树下，随从他的部队约有六百人。
14.3	阿希突的儿子阿希雅带著「厄弗得。」──阿希突布是丕乃哈斯的儿子，依加波得的兄弟，丕乃哈斯是在史罗作上主司祭的厄里的儿子。──人都不知道约纳堂走了。
14.4	约纳堂打算由隘口过到培肋舍特人的前哨那里去，在隘口两面各有一座石峰：一名叫波责兹，一名叫色乃；
14.5	一座朝北，与米革玛斯相对，一座朝南，与革巴相对。
14.6	约纳堂于是对他执戟的侍卫说：「来，我们往这些未受割损者的前哨去，也许上主会帮助我们；上主要叫人得胜，并不在手人数多少。
14.7	那给他执戟的人答说：「你尽可随意行事，我只跟著你，随你心意而行。」
14.8	约纳堂说：「来，我们到那里去，让他们看见我们。
14.9	假使他们对我们说：住下! 等我们到你们那里去。我们就站在我们所在的地方，不再上他们那里去；
14.10	如果他们说：你们上我们这里来罢! 我们就上去，因为上主已把他们交在我们手中了：这为我们是个先兆。」
14.11	两人就突然出现在培肋舍特人的前哨处，培肋舍特人说：「看，这些希伯来人从他们隐藏的山洞中出来了。」
14.12	前哨的哨兵就对约纳堂和给他执戟的人说：「你们上到我们这里来罢! 我们有事要告诉你们。」约纳堂就对给他执戟的人说：「你跟我上来，因为上主已将他们交在以色列人手中了。」
14.13	约纳堂遂用手用脚往上爬，给他执戟的跟在他后面。培肋舍特人忽在约纳堂前转身要走，他就向前击杀他们，他的执戟者也随著击杀。
14.14	约纳堂和他的执戟者第一次杀死了约有二十人，陈尸于半亩田间。 
14.15	15.当时在营中和阵地上都起了恐慌，全军──前哨与突击队都大为震惊；地也起了震动，到处笼罩著无限的恐怖。
	
14.16t	培肋舍特人失败　
	
14.16	撒乌耳的哨兵从本雅明的革巴眺望，看见敌营大乱；
14.17	撒乌耳就对随从他的人说：「检查一下，看我们中有谁去了。」他们检查后，见 ? 约纳堂和给他执戟的人不在了。
14.18	撒乌耳队对阿希雅说：「拿天主的「厄弗得」来! 」因为那时正是他在以色列子民前带著天主的「厄弗得。」
14.19	撒乌耳还同司祭说话时，培肋舍特人营中的混乱愈来愈大，撒乌耳就对司祭 说：「收回你的手去! 」
14.20	撒乌耳和跟随他的军民遂集合起来，冲入战场；看，培肋舍特人竟自相残杀，陷入混乱。
14.21	以前服事培肋舍特人，与他们齐来参战的希伯来人，忽然反正来协助撒乌耳和约纳堂一起的以色列人。 4
14.22	那藏在厄弗辣因山地的以色列人，听说培肋舍特人溃败了，也都出来参 战，乘势追赶。
14.23	这样上主在那一天拯救了以色列人；战争一直蔓延到贝特曷龙。【跟随撒乌耳的人约有一万，战事蔓延到厄弗辣因整个山地。】
	
14.24t	约纳堂误犯禁令　
	
14.24	以色列人那天很是疲乏，因为撒乌耳在那天做了一件糊涂事，要军民发誓说：「谁直到晚上，在我向敌人复仇以前，吃了什么东西，是可咒骂的。」所以全军民都没有尝过食物。
14.25	那地方到处有蜂巢，地面上到处有蜜。
14.26	军民到了蜂巢旁，见有蜜流出，但却没有人敢用手取一点放在嘴里，因为军民都怕违犯所起的誓。
14.27	可是约纳堂没有听见他父亲要军民起的誓，所以把他手中所持的棍尖，插入蜂巢内，用手送到自己的嘴里，他的眼立即明亮了。
14.28	军民中有一个向他说：「你父亲要军民起誓说：今天谁尝了食物，他是可咒骂的。──虽然军民很是疲乏。」
14.29	约纳堂答说：「我父亲使国家受了害；你们看，尝了一点蜜，我的眼睛是多么明亮!
14.30	的确，假使今天人能吃饱由敌人夺来的东西，培肋舍特人吃的败仗，岂不更大吗？」
	
14.31t	士兵吃带血的肉　
	
14.31	那一天他们击杀培肋舍特人，从米革玛斯直到阿雅隆，军民都很疲乏。
14.32	所以人民就急忙抢掠财物，夺取牛羊、牛犊，随地宰杀，吃了带血的肉。
14.33	有人告诉撒乌耳说：「看，人民吃了带血的肉，得罪了上主。」撒乌耳一听这消息便说：「你们把一块大石头滚到我这边来。」
14.34	又说：「你们散在百姓中，对他们说：你们各人把自己得的牛或羊，牵到我这里来，在这里宰杀分食，不要吃带血的肉，得罪上主。」于是人们当夜将自己得的牛羊牵来，在那里祭杀了。
14.35	撒乌耳给上主建筑了一座祭坛，这是他给上主建立的 第一座祭坛。
	
14.36t	士兵救约纳堂不死　
	
14.36	以后撒乌耳说：「我们今夜下去追击培肋舍特人，劫掠他们直到天明，不给他们留下一人。」军民回答说：「你看著怎样好，就怎样作罢! 」司祭却说：「我们先得去天主那里。」
14.37	撒乌耳遂求问天主说：「我可下去追击培肋舍特人吗？你将他们交在以色列手中吗？」但是天主那天没有回答他。
14.38	撒乌耳说：「军民的将领，你们上前来，查看一下，今天是谁犯了罪？
14.39	我指拯救以色列的上主起誓，即是罪在我的儿子约纳堂 ，他也该死。」军民中没有一人敢回答。
14.40	于是他对全以色列说：「你们 站在一边，我与我儿子约纳堂站在一边。」全军民对撒乌耳说：「你看怎样好，就怎样作罢! 」
14.41	撒乌耳说：「上主，以色列的天主! 为什么今天你不答覆你的仆人？若是这罪过在我或我儿子约纳堂身上，上主，以色列的天主，求你赐给『乌陵；』若是罪过在你百姓以色列身上，求你赐给『突明』。」撒乌耳和约纳堂中了，军民清白无过。
14.42	撒乌耳下命说：「为我和我的儿子约纳堂拈阄。」约纳堂中了。
14.43	撒乌耳于是对约纳堂说：「告诉我，你作了什么？」约纳堂就告诉他说：「我不过用手持的棍尖，蘸了一点蜂蜜吃；我在这里，我该死。」
14.44	撒乌耳回答说：「约纳堂，你必须死，不 然，愿天主罚我该死。」
14.45	军民却对撒乌耳说：「约纳堂在以色列中得了 这样伟大的胜利，岂该死吗？万万不能! 我们指著上主起誓：他头上的一根 ? 头发，也不应落在地上，因为他今天是倚赖天主行事。」这样军民救了约纳堂不死，
14.46	撒乌耳遂上去，不再追赶培肋舍特人；培肋舍特人也回了本地 。
	
14.47t	撒乌耳国王的概况　
	
14.47	撒乌耳取得了以色列的王权后，便向四周所有的敌人进攻：他攻打了摩阿布、阿孟子民、厄东、贝特勒曷、祚巴的君王和培肋舍特人。他不论走 ? 到那里，常获得胜利。
14.48	他很英勇，击败了阿玛肋克，拯救以色列人脱离 来抢掠的人。
14.49	撒乌耳的儿子是：约纳堂、依市伟和玛耳基叔亚；他有两个女儿：长女名叫默辣布，次女名叫米加耳。
14.50	撒乌耳的妻子名叫阿希诺罕，是阿希玛兹的女儿。他的元帅名叫阿贝乃尔，是撒乌耳的叔父乃尔的儿 子。
14.51	撒乌耳的父亲克士和阿贝乃尔的父亲乃尔是阿彼耳的儿子。
14.52	撒 乌耳一生同培肋舍特人常发生激烈战争，撒乌耳见到任何勇敢善战的人，就叫他来跟随自己。
	
15.0t	第十五章　
	
15.1t	对阿玛肋克人圣战　
	
15.1	有一天，撒慕尔对撒乌耳说：「上主曾打发我给你傅油，作他人民以色列的君王，如今你应听上主的话!
15.2	万军的上主这样说：我要惩罚阿玛肋克对以色列所行的事，因为当以色列从埃及上来时，拦截了去路。
15.3	如今你去攻打阿玛肋克，毁灭他们和他们所有的一切，丝毫不可顾惜，要将男女、孩童、婴儿、牛羊、骆驼和驴，一律杀掉。」
15.4	撒乌耳调集了军人，在特冷检阅了他们，计步兵二十万，犹大人一万。
15.5	撒乌耳来到阿玛肋克城时，在山谷里设下了埋伏。
15.6	撒乌耳对刻尼人说：「你们起来快走，离开阿玛肋克人，免得我把你们同他们一起消灭，因为以色列子民由埃及上来时，你们善待了他们。」刻尼人便离开阿玛肋克人走了。
15.7	撒乌耳击杀哈玛肋克人，从哈威拉一直杀到埃及东面的叔尔，
15.8	活捉了阿玛肋克王阿加格，用刀杀尽了其余的人民。
15.9	但撒乌耳和军民却怜惜阿加格和最好的牛羊，肥美的家畜和羔羊；凡是美好的，他们都不愿毁灭，只把一切不值钱，不要的牲畜毁灭了。
	
15.10t	撒乌耳背命受斥责　
	
15.10	那时有上主的话传于撒慕尔说：「
15.11	我后悔立了撒乌耳为王，因为他背离了我，没有遵从我的命令。」撒慕尔感到不安，整夜哀求上主。
15.12	撒慕尔清晨起来去见撒乌耳；有人告诉他说：「撒乌耳去了加尔默耳，在那里立了纪念碑，然后回来经过这里，又去了基耳加耳。」
15.13	撒慕尔来到撒乌耳那里，撒乌耳就对他说：「愿天主祝福你! 我履行了上主的命令。」
15.14	撒慕尔就问说：「怎么我耳中听见有羊叫，有牛吗？」
15.15	撒乌耳回答说：「那是从阿玛肋克带回来的，因为人民爱惜那些最好的牛羊，好献给上主你的天主；至于其余的，我们都毁灭了。」
15.16	撒慕尔对撒乌耳说：「住口!让我告诉你，上主昨夜对我说过的话。」撒乌耳答说：「请说罢! 」
15.17	撒慕尔说：「虽然你自以为是最微小的，你岂不是已成了以色列众支派的首领？上主不是曾给你傅油，立你作以色列的君王吗？
15.18	上主派你去打仗，曾吩咐你说：去剿灭那些犯罪的阿玛肋克人，攻打他们，直至将他们完全消灭。
15.19	为什么你没有顺听上主的命令，只顾急忙抢掠财物，行了上主不喜欢的事？」
15.20	撒乌耳回答撒慕尔说：「我的确听从了上主的命令，走了上主指给我的路，擒获了阿玛肋克王阿加格，毁灭了阿玛肋克人。
15.21	但是军民由当毁灭的胜利品中，选出了最好的牛羊，要在基耳加耳祭献上主，你的天主。」
15.22	撒慕尔回答说：「上主岂能喜欢全燔祭和牺牲，胜过听从上主的命令？听命胜于祭献，服从胜过绵羊的肥油脂。
15.23	背命等于行卜，顽抗与敬拜偶像无异。因为你拒绝了上主的命令，上主也拒绝了你作王。」
15.24	撒乌耳对撒慕尔说：「我犯了罪，违背了上主的命令和你的话，因我害怕人民，才听从了他们的呼声。
15.25	现在，请你宽赦我的罪过，同我一起回去；让我朝拜上主。」
15.26	撒慕尔却对撒乌耳说：「我不同你回去；既然你拒绝了上主的命令，上主也拒绝你，不要你作以色列王。」
15.27	撒慕尔转身就走，撒乌耳用力抓住他外氅的衣边，撕下了一块。
15.28	撒慕尔于是对他说：「上主今日从你身上撕下了你的王位，给了一个比你更好的人。
15.29	并且以色列的光荣绝不发虚言，也不会懊悔，因为他不像人，可以懊悔。」
15.30	撒乌耳遂说：「我固然犯了罪，但如今请你在我民族的长老和以色列前，仍尊重我，同我一起回去，好让我朝拜上主，你的天主。」
15.31	撒慕尔便随同撒乌耳一起回去，撒乌耳朝拜了上主。
	
15.32t	撒慕尔杀阿加格王　
	
15.32	以后撒慕尔说：「将阿玛肋克王阿加格给我解来! 」阿加格到了他那里，很是高兴，阿加格心想：「死亡的苦的确过去了。」
15.33	撒慕尔对他说：「你的剑怎样使众多妇女丧子，你的母亲在妇女中也要怎样丧子。」撒慕尔就在基耳加耳上主面前杀了阿加格。
15.34	以后撒慕尔去了辣玛，撒乌耳也回了撒乌耳的基贝亚本家。 35.撒慕尔至死再没有见撒乌耳。撒慕尔为了撒乌耳很是伤心，因为上主后悔立了撒乌耳作以色列的君王。
	
16.0t	第十六章　
	
16.1t	达味受傅　
	
16.1	上主对撒慕尔说：「我既然废弃废弃了撒乌耳，不要他作以色列的君王，你为他要悲伤到几时呢？把你的角盛满油，我派你到白冷人叶瑟那里去，因为在他的儿子中，我已为我选定了一位君王」。
16.2	撒慕尔回答说：「怎能去？撒乌耳听说了，必要杀我」。上主回答说：「你手里牵一头小母牛说：我为祭献上主而来。
16.3	你请叶瑟参与祭献，我要告诉你当作的事，你要为我指要你的人傅油」。
16.4	撒慕尔遂依照上主吩咐他的作了。及至到白冷，城内的长老都战□前来迎接他说：「你驾临这里平安吗？」
16.5	他回答说：「平安，我是为祭献上主而来的，你们应圣洁自己，来同我一同献祭」。他圣洁了叶瑟和他的儿子，请他们来参与祭献。
16.6	他们一来到，他见了厄里雅布，心里想：这一定是立在上主前的受傅者。
16.7	但上主对撒慕尔说：「你不要注意他的容貌和他高大的身材，我拒绝要他，因为天主的看法人不同：人看外貌，上主却看人心。
16.8	叶瑟叫阿彼纳达布来，领他到撒慕尔面前；但是他说：「这也不是不是上主所拣选的」。
16.9	叶瑟就叫沙玛来，他又说：「这也不是不是上主所拣选的」。
16.10	叶瑟就叫他的七个儿子都到撒慕尔面前来，旦2对叶瑟说：「上主没有拣选这些人」。
16.11	撒慕尔于是问叶瑟说：「孩子们全到了吗？」他回答说：「还有一个最小的，他正在放羊」。撒慕尔叶瑟说：「快派人带他来，因为他不来，我们决不入席」。
16.12	于是派人把他带来，他是一个有血色，眉清目秀，外貌英的少年。上主说：「起来，给他傅油，就是这一位」。
16.13	撒慕尔拿起油角来，在他兄弟们中给他傅了油。从那天起，上主的神便降临于达味。事后，撒慕尔起身回了辣玛。
	
16.14t	达味被召入营　
	
16.14	上主的神离弃了撒乌耳，便有恶神从上主那里骚扰他。
16.15	撒乌耳的臣仆对他说：「看，由天主那里来的恶神来骚扰你。
16.16	只要我主吩咐一声，你跟前的臣仆便会去找一个善于弹琴的人来，当恶神由天主那里手到你身上时，叫他弹奏，你必感到舒服」。
16.17	撒乌耳就对他的臣仆说：「好，你们给我找一个弹于弹奏的人，引来见我」。
16.18	有个仆人立刻提议，说：「我见过白冷人叶瑟的一个儿子会弹奏，这人又骁勇善战，擅于辞令，身材英俊，上主又与他同在」。
16.19	撒乌耳遂派使者到叶瑟那里说：「将你『那放羊』的儿子达味送到这里来! 」
16.20	叶瑟便了十个饼，一皮囊酒，一只小山羊，叫他的儿子达味送给撒乌耳。
16.21	达味于是来到撒乌耳前，侍立在他左右；撒乌耳很爱他，叫他作自己的持戟侍卫。
16.22	撒乌耳于是派人到叶瑟那里说：「让达味侍立在我左右，因为他得了我的欢心」。
16.23	每当恶神由天主降到撒乌耳身上时，达味就拿起琴来弹奏，撒乌耳就觉得爽快舒服，恶神也就离开了他。
	
17.0t	第十七章　
	
17.1t	哥肋雅挑战　
	
17.1	培肋舍特人调集了军队，准备作战，集合在犹大，在索苛与阿则卡之间的厄斐斯达明扎了营。
17.2	撒乌耳和以色列人齐集起来，在厄拉谷扎了营，摆阵准备迎击培肋舍特人。
17.3	培肋舍特人站在这边一座山上，以色列人站在那边一座山上，中间隔著山谷。
17.4	从培肋舍特人阵地中走出一个挑战的人，名叫哥肋雅，是加特人，身高六肘又一柞，
17.5	头带铜盔，身穿铠衣，铠衣的重铜重五千「协刻尔」，
17.6	腿裹铜叶，肩插铜枪。
17.7	矛杆像织布机的大轴，矛头重六百「协刻尔」；有个持盾的人给他开道。
17.8	他站在以色列人的阵地前，喊说：「你们为什么出来摆阵作战？我不是培肋舍特人吗？你们不是撒乌耳的奴才吗？你们挑选一人，下来同我对敌!
17.9	假使他能同我决斗，杀了我，我们就作你们的奴隶；但是，如果我得胜，杀了他，你们就应服事我们，作我们的奴隶」。
17.10	那培肋舍特人还说：「今天我向以色列骂阵，你们给我个人来，让我们彼此决斗」。
17.11	撒乌耳和全以色列听见那培肋舍特说的这些话，都非常惊慌害怕。
	
17.12t	达味来到营内　
	
17.12	达味是犹大白冷的一个厄弗辣大人的儿子，那人名叫叶瑟，他有八个儿子。此人在撒乌耳时，已经老了。
17.13	叶瑟的三个大儿已跟撒乌耳出征作战；从军的三个儿子：长子叫厄里雅布，次子名叫阿彼纳达布，三子名叫沙玛。
17.14	达味最小，三个年长的已跟撒乌耳出征。
17.15	达味有时服侍撒乌耳，有时离开，回白冷放父亲的羊。
17.16	那培肋舍特人早晨晚上常出来挑战，一连四十天之久。
17.17	叶瑟对他的儿子达味说：「你给你哥哥们带去这一「厄法」炒麦和十个饼，快往营里给你哥哥们送去。
17.18	将这十块奶饼送给千夫长．然后看望你的哥哥们是否平安，并把他们的薪俸带回来。
17.19	他们与撒乌耳和全以色列人都在厄拉谷，同培肋舍特人作战」。
17.20	达味清早起来，把羊群托给一个看羊的人，就照他父亲叶瑟吩咐的起身去了。他来到营中时，军队正出来摆阵，喊著冲锋的口号。
17.21	以色列人和培肋舍特人列阵相对。
17.22	达味把自己的行囊交给一个看守辎重兵的1 内，跑入阵内，向他的哥哥们问安。
17.23	当他和他们谈话时，名叫哥肋雅的挑战者，──加特的培肋舍特人──从培肋舍特人的阵里上来，说了以所述的话，达味听见了。
17.24	所有的以色列人一看见那人，都非常害怕，便由他面前逃避了。
17.25	那时有个以色列人宣布说：「你们看见了上来的这人吗？这人上来是辱骂以色列。若有人把他杀死，君王要赐给他许多财富，将自己是女儿嫁给他为妻，并使他的父家在以色列内豁免缴税」。
17.26	达味问站在他旁边的人说：「杀死这培肋舍特人，给以色列雪耻的人得什么赏？这未受割损培肋舍特人是谁？他竟敢辱骂永生天主的军旅! 」
17.27	人就把上边那些话告诉他说：「杀死这人的，要得这样这样的报酬」。
17.28	他的大哥厄里雅布一听见达味对那些人所说的话，便对达味大发愤怒说：「你为什么下来？你在旷野中放的那几只羊，托给了谁？我知道你骄傲，心中不怀好意；你下来只是要看作战」。
17.29	达味回答说：「我究竟作的什么不对？连句话也不能说吗？」
17.30	达味就离开那里，到了另一处，又问了同样的事，人回答的话也和先前一样。
	
17.31t	达味自荐与巨人交战　
	
17.31	有人听见了达味说的话，就去报告给撒乌耳；撒乌耳就命他前来。
17.32	达味对撒乌耳说：「请我主不必为那人而沮丧，你仆人要去同这培肋舍特人决斗」。
17.33	撒乌耳对达味说：「你不能去对抗这培肋舍特人，同他决斗，因为你还年轻，而他自幼便是习于战斗的人」。
17.34	达味回答撒乌耳说：「你的仆人是为他父亲牧羊的人，几时有狮子或狗熊闯来，由羊群中夺去一只羊，
17.35	我就追上去，打死它，从它口中救出那只来；假使狮子起来扑我，我就抓住它的须，将它打死。
17.36	你的你的仆人连狮子带狗熊都打死了，这未受割损的培肋舍特人也不过像其中的一个，因为他竟敢辱骂永生天主的军旅」。
17.37	达味又接著说：「由狮子和狗熊中拯救我的上主，也必从这培肋舍特人手中拯救我」。撒乌耳对达味说：「去吧! 望上主与你同在! 」
17.38	撒乌耳给达味穿上自己的武装，给他头上带上铜盔，身上穿上铠甲，
17.39	又在铠甲上□上自己的刀。达味试走了两步，因他没有穿惯，遂对撒乌耳说：「穿戴这些东西，不能行动，因为先前总没有穿过」。所以他又将盔甲从身上脱下。
	
17.40t	达味杀哥肋雅　
	
17.40	达味手里拿著自己的棍子，在河里拣了五块很光滑的石头，放在牧童随身所带的袋子内，即装石囊内，手内拿著投石器，向那培肋舍特人走去。
17.41	那培肋舍特人也大摇大摆走近了达味，给他持盾的走在他开路。
17.42	那培肋舍特人瞪眼一看，见了达味，遂看不起他，因达味还很年轻，面色红润，眉清目秀。
17.43	那培肋舍特人对达味说：「莫非我是只狗，你竟拿棍子来对付我？」达味回答说：「你比一只狗还不如! 」那培肋舍特人就指著自己的神诅咒达味，
17.44	且对达味说：「你到我这里来，我要把你的肉，给空中的飞鸟和田野的走兽吃」。
17.45	达味回答那培肋舍特说：「你仗著刀枪箭戟来对付我，但我是仗著你所□辱的万军的上主，以色列的天主的圣名来对付你。
