1.-1t	引论 各支派分占许地与宗教概况(1:1-3:6)
8.28	米德杨在以色列子民前面屈服，再没有抬起头来。基德红在世时，境内平安了四十年。
8.29	约阿士的儿子耶鲁巴耳回去，安居在自己家中。
8.30	基德红有七十个儿子，都是他亲生的，因为他有很多妻子。
8.31	他在舍根的妾也给他生了一个儿子，给他起名叫阿彼默肋客。
8.32	约阿士的儿子基德红寿终正寝，埋在阿彼厄则尔的敖弗辣，他父亲约阿士的坟墓里。
8.33	基德红死后，以色列子民又去跟从巴耳诸神行邪淫，立巴耳贝黎特当做他们的天主。
8.34	以色列子民忘记了上主他们的天主，曾从四周所有的敌人手中救了他们，
8.35	也没有恩待耶鲁巴耳即基德红的家，以报答他施于以色列的恩惠。
	
9.0t	第九章
	
9.1t	阿彼默肋客称王
	
9.1	耶鲁巴耳的儿子阿彼默肋客到舍根去见他的母舅们，对他们和他母家的人说：「
9.2	请你们问一问舍根所有的公民：是耶鲁巴耳的儿子七十人治理你们好呢？还是一个人治理你们好呢？你们还要记得：我是你们的骨肉。」
9.3	他的母舅们就替他把这些话传给舍根所有的公民；他们的心都倾向阿彼默肋客，因为他们说：「他确是我们的兄弟! 」
9.4	他们遂从巴耳贝黎特庙里拿了七十块银钱给他，阿彼默肋客就用这些钱雇了一些放荡无赖之徒跟随他。
9.5	他回到敖弗辣他父亲家里，在一块石头上把自己的兄弟，即耶鲁巴耳的儿子七十人都杀了，只剩下耶鲁巴耳的幼子约堂，因为他藏了起来。
9.6	于是舍根所有的公民和贝特米罗人都集合起来，在舍根的纪念碑前那棵橡树下，立阿彼默肋客为王。 
	
9.7t	约堂讲寓言
	
9.7	有人将此事告诉了约堂，约堂就上了革黎斤山顶，站在那里，高声向他们喊说：「舍根公民，请你们听我，望天主也听你们!
9.8	有一次，众树要去立一树为他们的君王，就对橄榄树说：请你作我们的君王!
9.9	橄榄树回答说：人用我的油来敬礼神，尊崇人，难道要我放弃出油，而去摇摇在众树之上吗？
9.10	众树又对无花果树说：请你来作我们的君王!
9.11	无花果树回答说：难道要我舍掉我的甘甜和美果，而去摇摇在众树之上吗？
9.12	众树又对葡萄树说：请你来作我们的君王!
9.13	葡萄树就回答说：我的新酒悦乐神人，难道要我放弃出产，而去摇摇在众树之上吗？
9.14	于是众树对荆棘说：请你来作我们的君王!
9.15	荆棘对树木答道：若你们真愿立我作你们的君王，来罢! 躲在我的荫下；否则，火必从荆棘冒出，吞灭黎巴嫩的香柏木。
9.16	现在，你们立阿彼默肋客为王，如果你们认为作的真诚正直，如果你们认为是善待了耶鲁巴耳和他的家族，如果你们认为你们这样行事，对得起他一手所立的功勋，──
9.17	因为原是我父亲为你们作战而舍生，把你们由米德杨手中救出来。
9.18	然而你们今日却来反对我父亲的家族，在一块石头上杀了他的儿子七十人，立他婢女的儿子阿彼默肋客为舍根公民的君王，因为他是你们的弟兄。──
9.19	今天如果你们认为以真诚正直对待了耶鲁巴耳和他的家族，那么，你们就因阿彼默肋客而喜乐罢! 希望他有因你们而喜乐!
9.20	不然，愿火从阿彼默肋客发出，吞灭舍根的公民和贝特米罗! 也愿火从舍根的公民和贝特米罗发出，吞灭阿彼默肋客! 」
9.21	以后约堂出走，逃到贝尔去了，住在那里，远避他的哥哥阿彼默肋客。 
	
9.22t	舍根叛变
	
9.22	阿彼默肋客治理以色列三年。
9.23	天主使恶神降在阿彼默肋客和舍根公民中间，舍根的公民便背叛了阿彼默肋客，
9.24	要报复对耶鲁巴耳七十个儿子的罪行，将他们的血归于他们的兄弟阿彼默肋客，因为是他杀害了他们；也归于舍根的公民，因为他们曾鼓励他杀害自己的兄弟。
9.25	舍根公民为反抗他，就在山顶上设下伏兵，抢掠所有路过他们那里的人：有人将这事报告给阿彼默肋客。
9.26	那时厄贝得的儿子加阿耳和他同族的人迁徙到舍根，舍根的居民竟信任了他；
9.27	他们便到田间收葡萄，榨酒，开庆祝会，到他们的神庙里又吃又喝，也咒骂了阿彼默肋客。
9.28	厄贝得的儿子加阿耳说：「阿彼默肋客是谁，我们舍根人是谁，我们竟该服侍他？岂不是耶鲁巴耳的儿子和官员则步耳，该服侍舍根的始祖哈摩尔的后人吗？我们为什么要服侍阿彼默肋客？
9.29	恨不得这百姓交于我手中，好把阿彼默肋客除掉。我要对阿彼默肋客说：增派你的军队出征罢! 」
9.30	则步耳城尉听到厄贝得的儿子加阿耳的话，大发忿怒，
9.31	遂打发使者去见在阿鲁玛的阿彼默肋客说：「看，厄贝得的儿子加阿耳和他的同族人，来到舍根，挑唆全城反叛你。
9.32	所以现在你和跟随你的人夜里要起来，埋伏在田野间，
9.33	明天早晨太阳一出来，就攻城。当他和随从他的人出来抵抗你时，你看看怎样好，就怎样对付他。」
9.34	阿彼默肋客遂同所有跟随他的人夜间起身，分作四队，对著舍根设下埋伏。
9.35	当厄贝得的儿子加阿耳出来，站在城门口时，阿彼默肋客便与随从他的人从埋伏的地方出来，
9.36	加阿耳一见这些人就对则步耳说：「看，有人从山顶下来! 」则步耳回答他说：「你看见山影，误以为是人! 」
9.37	加阿耳接著又说：「看，有人从高地出来，又有一队沿巫士橡树道上前来。」
9.38	则步耳对他说：「现在你的口在那里？不是你曾说过：阿彼默肋客是谁，要我们服侍他？这不是你所轻视的人吗？现在请你出去攻打他罢! 」
9.39	加阿耳就在舍根公民之前出去，攻打阿彼默肋客；
9.40	可是阿彼默肋客一追击他，他就在他面前逃跑了；直到城门有许多伤亡的人。
9.41	以后阿彼默肋客回到阿鲁玛；则步耳将加阿耳和他的同族人赶走，禁止他们住在舍根。 
	
9.42t	舍根灭亡
	
9.42	第二天早晨，人民到田野里去，有人告诉了阿彼默肋客，
9.43	他于是把自己的人分作三队，叫他们埋伏在田间；他自己窥望，当他看见百姓从城里出来，就冲过去，击杀了他们；
9.44	当时阿彼默肋客与跟随他的军队冲过去，把住城门口，而另两队冲向田间的众人，杀了他们。
9.45	那一天，阿彼默肋客整天攻打那城，把城攻下，杀了城中的居民，把城拆毁，撒上盐。
9.46	舍根碉堡里的人听见此事，就躲到巴耳贝黎特庙里的地穴里。
9.47	有人告诉阿彼默肋客，人民都聚集在舍根碉堡内。
9.48	阿彼默肋客和跟随他的人就上了匝耳孟山；阿彼默肋客手里拿著一把斧头，砍了一根树枝，拿起来放在肩上，然后向跟随他的人说：「你们看我作什么，你们也赶快照样去作! 」
9.49	于是众人都各砍了根树枝，随著阿彼默肋客把树枝堆在地穴上，在地穴上点了火，于是舍根碉堡里所有的人都死了，男女约有一千人。 
	
9.50t	阿彼默肋客的结局
	
9.50	此后阿彼默肋客往特贝兹去，安营攻打特贝兹，也占据了那城。
9.51	在那城中有一座坚固的城堡，该城所有的公民，男男女女都跑到那里躲避，关上门，上到碉堡顶上。
9.52	阿彼默肋客来到碉堡前攻打；当他走近碉堡门口，要放火焚烧时，
9.53	有一个妇人抛下了一块磨石，正落在阿彼默肋客头上，打碎了他的头盖骨。
9.54	他急忙喊叫替他执戟的少年，向他说：「拔出你的刀杀了我罢! 免得人讲论我说：一个女子杀了他! 」那少年就用刀刺死了他。
9.55	以色列人一见阿彼默肋客死了，各回了本家。
9.56	于是天主报复了阿彼默肋客对他父亲所行的恶事，因为他杀了自己的七十个兄弟；
9.57	并且天主也把舍根人的一切恶行归在他们自己的头上：这样耶鲁巴耳的儿子约堂的诅咒，也应验在他们身上。
	
10.0t	第十章
	
10.1t	托拉民长
	
10.1	阿彼默肋客之后，有依撒加尔人多多的孙子，普阿的儿子托拉起来整救以色列。他住在厄弗辣因山地的沙米尔，
10.2	做以色列民长有二十三年之久，死后葬在纱米尔。 
	
10.3t	雅依尔民长
	
10.3	在他以后，有基肋阿得人雅依尔兴起，作以色列民长二十二年之久。
10.4	他有三十个儿子，骑著三十匹驴驹；他们有三十座城，这些城称作哈沃特雅依尔，直到今日，都在基肋阿得地。
10.5	雅依尔死后埋葬在卡孟。 
	
10.6t	以民犯罪受罚
	
10.6	那时以色列子民又行了上主视为恶的事，事奉巴耳和阿市托勒特众神，以及阿兰的神，漆冬的神，摩阿布的神，阿孟子民的神，培肋舍特人的神；他们背弃上主，不事奉他。
10.7	上主向以色列发怒，把他们交在培肋舍特人和阿孟子民手中。
10.8	从那一年起，他们迫害压制以色列子民，即所有住在约但河对岸，在阿摩黎人境内基肋阿得地方的以色列子民，一连十八年。
10.9	阿孟子民也过约但河来攻击猷大、本雅明和厄弗辣因家族；因此以色列人很是困苦。
10.10	以色列子民遂向上主呼吁说：「我们得罪了你，因为我们背弃了我们的天主，事奉了巴耳诸神! 」
10.11	上主对以色列子民说：「当埃及人、阿摩黎人、阿孟子民、培肋舍特人、
10.12	漆冬人、阿玛肋人、米德杨人难为你们的时候，你们向我哀号，我岂没有从他们手中拯救了你们？
10.13	但是你们背弃了我，事奉了别的神，因此我不再拯救你们，
10.14	去呼吁你们所选择的神罢! 让他们在你们遭难时来拯救你们! 」
10.15	以色列子民对上主说：「我们犯了罪，你任意对待我们，只求你今日援救我们! 」
10.16	以色列子民遂从他们中间除去外邦的神，而事奉上主；上主再不能容忍以色列受苦。
10.17	那时阿孟子民集合在基肋阿得扎营，以色列子民也集合在米兹帕安营。
10.18	基肋阿得人民的首领彼此说：「谁开始攻打阿孟子民，谁就作全基肋阿得居民的首领。」
	
11.0t	第十一章
	
11.1t	依弗大民长
	
11.1	基肋阿得人依弗大是一个英勇的壮士，是妓女的儿子；父亲名基肋阿得。
11.2	基肋阿得的妻子也给他生了几个儿子，正妻的儿子长大之后，把基肋阿得逐出，他说：「你在我们父家不能承受产业，因为你是外妇的儿子。」
11.3	依弗大就从他兄弟面前逃走，定居于托布地方；有些流氓聚集在他那里，同他来往。
11.4	过了一些时候，阿孟子民与以色列交战。
11.5	当阿孟子民同以色列交战的时候，基肋阿得的长老到托布地方去请依弗大回来。
11.6	他们向依弗大说：「请你来作我们的统帅，攻打阿孟子民。」
11.7	依弗大回答基肋阿得的长老说：「你们不是恨我，将我逐出我的父家？现在你们遭难，为什么来找我？」
11.8	基肋阿得的长老对依弗大说：「我们现在来找你正是为此。请你和我们一同回去，攻打阿孟子民，作我们，作基肋阿得所有居民的首领。」
11.9	依弗大对基肋阿得的长老说：「你们领我回去，同阿孟子民作战，如果上主将他们交给我，那么我就作你们的首领! 」
11.10	基肋阿得的长老对依弗大说：「上主在我们中间作证：我们必照你的话实行。」
11.11	依弗大就与基肋阿得的长老一同回去，百姓立他做他们的首领和统帅；依弗大在米兹帕，在上主面前，又把他这一切话陈述了一遍。 
	
11.12t	依弗大与阿孟交涉
	
11.12	依弗大就派使者到阿孟子民王那里说：「你与我何干？竟来我这里攻打我的土地？」
11.13	阿孟子民的君王对依弗大的使者说：「因为以色列从埃及上来的时候，侵占了我的领土，从阿尔农河到雅波克河，直到约但河；现在你应和平交还! 」
11.14	依弗大再打发使者去见阿孟子民的君王，
11.15	对他说：「依弗大这样说：以色列并没有侵占摩阿布的土地和阿孟子民的土地，
11.16	因为以色列从埃及上来的时候，是经过旷野，到了红海，而来到卡德士。
11.17	以色列曾派使者对厄东王说：请让我们经过你的领土! 但是厄东王不肯答应；又打发使者到摩阿布王那里，但是他也不肯；于是以色列便逗留在卡德士。
11.18	以后他们经过旷野，绕过厄东地和摩阿布地，从摩阿布东面而行，在阿尔农河那边安营；他们并没有进入摩阿布的境界，因为阿尔农是摩阿布的边界。
11.19	以色列又派使者到阿摩黎王息红，即赫市朋王那里；以色列向他说：请让我们经过你的领土，到我们的地方去。
11.20	然而息红不信任以色列，不准他们经过他的境界；并且息红还召集他所有的人民，在雅哈兹安营，同以色列交战。
11.21	但是上主以色列的天主将息红及他全体百姓交于以色列手中，击杀他们；于是以色列便取得住在那地的阿摩黎人所有的土地，
11.22	取得阿摩黎人，从阿尔农河到雅波克河，从旷野到约但河所有的土地。
11.23	现今上主以色列的天主，由自己的百姓以色列面前驱逐了阿摩黎人，难道你还要占据这地吗？
11.24	你岂不是应占据你的神革摩士赐你占领的地，而我们应占领我们的天主上主，由我们前所驱逐之人的地吗？
11.25	现在，难道你比摩阿士王漆颇尔的儿子巴拉克还强么？他何曾与以色列争斗过，或者与他们交战过？
11.26	以色列住在赫市朋及其附近村镇，阿洛厄尔及其附近村镇，阿尔农河沿岸各城镇里，已有三百年之久，为什么在这期间，你们没有收回呢？
11.27	所以我并没有得罪你，而你竟要加害我，与我交战；愿裁判者上主今天在以色列子民与阿孟子民中间判断是非! 」
11.28	但是阿孟子民的君王不肯听从依弗大向他传报的这些话。 
	
11.29t	依弗大许愿
	
11.29	那时上主的神降于依弗大身上，他就走遍基肋阿得和默纳协，来到基肋阿得的米兹帕，又从基肋阿得的米兹帕，到了阿孟子民那里。
11.30	依弗大向上主许愿说：「若你把阿孟子民交于我手中，
11.31	当我由阿孟子民那里平安回来时，不论谁由我家门内出来迎接我，谁就应归上主，我要把他献作全燔祭。」
11.32	于是依弗大到阿孟子民那里与他们交战，上主把他们交在他手中，
11.33	于是他从阿洛厄尔击杀他们直到米尼特，直到阿贝耳革辣明，共二十座城，实在是一场大追击战；于是阿孟子民在以色列子民前屈服了。 
	
11.34t	依弗大还愿
	
11.34	依弗大回到米兹帕自己家中时，看，他的女儿出来，击鼓跳舞前来迎接他。她是依弗大的独生女，除她以外，没有别的子女。
11.35	当依弗大一见了她，就撕破衣服说：「哎呀! 我的女儿，你真使我苦恼，太叫我作难了! 因为我对上主开过口不能收回。」
11.36	她回答他说：「我的父亲，你既然对上主开过口，就照你说出的对待我罢! 因为上主已对你的敌人阿孟子民，为你报了仇。」
11.37	她又向父亲说：「请你许我一件事：给我两个月的期限，让我与我的伴侣到山上去，哀哭我的童贞。」
11.38	他答应说：「你去罢! 」就让她离去两个月的时间。她就去了，与她的伴侣在山上哀哭自己的童贞。
11.39	过了两个月，她回到父亲那里，父亲就在她身上还了所许的愿；她还没有认识男子。于是在以色列成为一种风俗：
11.40	每年以色列少女要哀吊基肋阿得人依弗大的女儿，一年四天。
	
12.0t	第十二章
	
12.1t	依弗大战败厄弗
	
12.1	厄弗辣因人集合起来，过河到了匝丰，对依弗大说：「当你去攻打阿孟子民时，为什么没有召我们与你同去？我们要用火把你的房屋同你一起烧掉。」
12.2	依弗大回答他们说：「我与我的人民同阿孟子民激战的时候，我曾向你们求救，但你们没有来救我们脱离他们的手。
12.3	我见你们没人来援助，我就拼命猛攻阿孟子民，上主遂将他们交在我手中；那么，你们为什么今天上来攻击我？」
12.4	于是依弗大召集基肋阿得所有的人同厄弗辣因作战；基肋阿得人击溃了厄弗辣因人。〔因为厄弗辣因人曾说过：你基肋阿得人是从厄弗辣因跑出来的，散居在厄弗辣因人中，在默纳协人中。〕
12.5	基肋阿得人为了反击厄弗辣因人，先占据了约但河渡口；逃跑的厄弗辣因人说：「容我过去罢! 」基肋阿得人就问：「你是厄弗辣因人吗？」如果说：「不是。」
12.6	基肋阿得人就对他说：「你说『史波肋特! 』」如果他不能照样说出，而说成「新波肋特，」就捉住他，在约但渡口杀了；在这种情形下，厄弗辣因人就死了四万二千。
12.7	依弗大作以色列的民长共计六年；以后基肋阿得人依弗大死了，埋葬在基肋阿得本城。 
	
12.8t	依贝赞民长
	
12.8	在他以后，有贝特肋恒人依贝赞作以色列民长。
12.9	他有三十个儿子，三十个女儿；女儿们都嫁到外乡；为自己的三十个儿子，从外乡娶了三十房媳妇。他作以色列民长七年。
12.10	依贝赞死后，葬在贝特肋恒。 
	
12.11t	厄隆民长
	
12.11	在他以后，有则步隆人厄隆作以色列民长，他作以色列民长十年。
12.12	则步隆人厄隆死后，埋葬在则步隆的阿雅隆。 
	
12.13t	阿贝冬民长
	
12.13	在他以后，有丕辣通人希肋耳的儿子阿贝冬作以色列民长。
12.14	他有四十个儿子，三十个孙子，骑著七十匹驴驹。他作以色列民长八年。
12.15	丕辣通人希肋耳的儿子阿贝冬死后，埋葬在厄弗辣因的丕辣通，即在阿玛肋克山地内。
	
13.0t	第十三章
	
13.1t	三松诞生
	
13.1	以色列子民又行了上主视为恶的事，因此上主把他们交于培肋舍特人手中四十年之久。
13.2	那时，在祚辣有一个人，属于丹支派，名叫玛诺亚，他的妻子是个石女，从未生育。
13.3	上主的使者显现给那妇人，对她说：「看，你原是个石女，从未生育，但是你要怀孕生子。
13.4	今后要留心：清酒浓酒都不可喝，各种不洁的东西也不可吃!
13.5	看，你将怀孕生子，剃刀不可触及他的头，因为这孩子从母胎就是献于上主的；他要开始从培肋舍特人手中拯救以色列。」
13.6	那妇人遂去告诉自己的丈夫说：「有一个天主的人来到我这里，他的容貌好像天主的使者，极其威严；我没有问他从那里来；他也没有告诉我他的名字。
13.7	他对我说：看，你将怀孕生子，从今以后清酒浓酒都不可喝，各种不洁的东西都不可吃，因为这孩子从母胎一直到死，是献于天主的。」
13.8	玛诺亚就向上主恳求说：「我主! 求你叫你所派的那位天主的人再到我们这里来! 指教我们对于将生的婴孩应该作什么？」
13.9	天主听了玛诺亚的话；天主的使者又来到那妇人跟前；那时她正坐在田间，她的丈夫没有同她在一起。
13.10	那妇人就急速跑去告诉丈夫说：「看，那天来我跟前的那个人，又显现给我了。」
13.11	玛诺亚就起来，跟著妻子来到那人跟前，对他说：「你就是向这妇人说话的那人吗？」他回答说：「我就是。」
13.12	玛诺亚向他说：「当你的话应验的时候，我们应该怎样管教这孩子？要怎样待他？」
13.13	上主的使者对玛诺亚说：「我给这妇人所说的一切，她都当留神：
13.14	凡葡萄树所结的，她不能吃；清酒浓酒她不能喝，各种不洁的东西她不能吃；凡我所吩咐她的，她都该遵守。」
13.15	玛诺亚对上主的使者说：「请容许我款留你，为你预备一只小山羊。」
13.16	上主的使者对玛诺亚说：「你虽然款留我，我却不吃你得食物；假使你要献一全燔祭，就当献于上主。」因玛诺亚当时还不知道他是上主的使者。
13.17	玛诺亚问上主的使者说：「你叫什么名字？当你的话应验的时候，我们好恭敬你。」
13.18	上主的使者回答说：「你为什么问我的名字？它是奥妙的。」
13.19	玛诺亚取了一只小山羊和素祭，在一块磐石上献于行奇事的上主。
13.20	当火焰从祭坛上向天升起时，上主的使者也在祭坛的火焰中上升了。玛诺亚和他的妻子看见这事，就俯伏在地上。
13.21	上主的使者没有再显现给玛诺亚和他的妻子，那时玛诺亚才知道他是上主的使者。
13.22	玛诺亚对自己的妻子说：「我们必定要死，因为我们看见了天主。」
13.23	但他妻子对他说：「如果上主有意叫我们死，必定不会悦纳我们的手所献的全燔祭和素祭，必不会使我们看见这些事，也不会使我们听到像现在这样的话。」
13.24	后来那妇人生了一个儿子，给他起名叫三松；孩子渐渐长大，上主祝福了他。
13.25	在玛哈乃丹，即在祚辣与厄市陶耳之间，上主的神开始感动他。
	
14.0t	第十四章
	
14.1t	三松求婚
	
14.1	那时三松下到提默纳；在那里见了一个女子，她是培肋舍特人的女儿。
14.2	三松上去禀告他的父母说：「我在提默纳见了一个女子，她是培肋舍特人的女儿，愿你们现今把她给我娶来为妻! 」
14.3	他的父母对他说：「难道在你兄弟的女儿中，在我们民族间没有女子吗？为什么你要去从那些未受割损的培肋舍特人中间娶妻呢？」三松向他的父亲说：「请给我娶了她! 因为我实在喜欢她。」
14.4	他的父母原不知道这事是出于上主，使他找机会攻击培肋舍特，因为那时培肋舍特正统治以色列。
14.5	三松往提默纳去，来到提默纳的葡萄园时，看，有一只小狮子向他咆哮；
14.6	上主的神突然降在他身上，他当时虽赤手空拳，竟将那狮子撕裂，好像撕裂小山羊；他没有把所作的这事告诉他的父母。
14.7	此后他下去向那女子谈情，三松很喜爱她。
14.8	过了不久，回去娶她，绕路去看那只死狮子。看，在狮子尸体内有一窝蜜蜂作了蜜。
14.9	他取了些蜜放在手中，继续前行，一面走一面吃；来到他父母那里，也给他们一些，他们也吃了，但他没有告诉他们这蜜是从狮子尸体内取来的。
14.10	三松又来到那女子那里，有人为他设了婚筵，因为青年人们惯常这样做。
14.11	但有人害怕他，便请来三十个同伴陪伴他。
14.12	三松对他们说：「让我给你们说个谜语，如果你们能在这七天婚筵期内，给我猜出来，我就给你们三十件衬衫和三十套礼服。
14.13	若是你们不能给我解说，你们就得给我三十件衬衫和三十套礼服。」他们对他说：「请你把谜语讲给我们听。」
14.14	他向他们说：「食者生出食品，强者生出甘甜。」他们三天之久不能解这谜语。
14.15	到了第四天，他们对三松的妻子说：「请引诱你的丈夫，把谜语说给你，以免我们放火烧你和你的父家。难道你请了我们来，是为了夺取我们的东西吗？」
14.16	三松的妻子就在他眼前哭哭啼啼说：「你是恨我，而不是爱我! 你给我的同胞说谜语，都不解给我听。」三松对她说：「你看，我都没有告诉我的父母，怎能告诉你？」
14.17	那七天婚筵期内，她常在他跟前哭哭啼啼；到了第七天，由于她不断的催逼，三松便将谜底告诉了她；她就把谜底告诉自己的同胞。
14.18	到了第七天，在他进洞房之前，本城的人给他说：「有什么比蜜还甜？有什么比狮子还强？」他向他们说：「你们若不是用我的小母牛耕田，你们决不会猜出我的谜底。」
14.19	上主的神又突然降在他身上，他就下到阿市刻隆，击杀了三十个人，拿了所劫夺的东西，把三十套礼服送给猜中谜语的人；以后愤怒的回到父亲家里。
14.20	三松的妻子以后却跟了作他伴郎的一个同伴。
	
15.0t	第十五章
	
15.1t	三松火烧庄田
	
15.1	过了一些日子，正是收割麦子的时期，三松带了一只小山羊去看他的妻子；他说：「我要到内室去亲近我的妻子。」但是妻子的父亲不让他进去，
15.2	且说：「我以为你一定厌恶了她，所以我将她嫁给你的一个同伴；她的妹妹不是比她更美丽吗？你可娶而代之。」
15.3	三松对他们说：「我若加害培肋舍特人，这一次我可不负责任。」
15.4	于是三松去捉了三百只狐狸，又拿火把来，把狐狸的尾和尾结在一起，将火把插在两尾中间，
15.5	点著火把，将狐狸放入培肋舍特人的庄田内，把堆集的麦捆，立著的庄稼，葡萄园和橄榄园都烧了。
15.6	培肋舍特人问说：「是谁作了这事？」有人说：「是提默纳人的女婿三松，因为他的岳父把他的妻子嫁给了他的一个同伴。」培肋舍特人就上去，放火烧了那女子和她的父家。
15.7	三松向他们说：「你们既然这样作，我必向你们报复，然后才罢休。」
15.8	三松遂打击他们，腿腰乱砍，大杀一阵；然后下去住在厄坦的一个石穴内。 
	
15.9t	以驴骨击杀千人
	
15.9	培肋舍特人上去，在犹大扎营，进袭肋希。
15.10	犹大问说：「你们为什么上来攻打我们？」他们答说：「我们上来是为拘捕三松，要报复他对我们所行的。」
15.11	于是有三千犹大人到厄坦石穴那里，对三松说：「难道你不知道培肋舍特人统治我们吗？你为什么作连累我们的事？」他回答说：「他们怎样待我，我也怎样待他们。」
15.12	他们就向他说：「我们下来是为拘捕你，把你交在培肋舍特人手中。」三松向他们说：「你们要对我发誓，不杀害我! 」
15.13	他们回答说：「一定不；我们只把你绑好，交在他们手中，决不杀你。」他们于是用两条新绳把他捆起，从石穴里把他拉上来。
15.14	他来到肋希，培肋舍特人呐喊著出来迎他；那时上主的神突然降在他身上，他手臂上的绳索，好像著火的细麻一样，绑他的绳子从他的手上落下。
15.15	他找到一块鲜驴腮骨，伸手拿起来，击杀了一千人。
15.16	然后三松喊说：「用驴腮骨杀的一堆一堆，用驴腮骨杀了一千。」
15.17	当他说完这话，就顺手把腮骨抛弃了；因此那地名叫辣玛肋希。
15.18	此后，他非常口渴，呼吁上主说：「你藉你仆人的手得了这次大胜利；如今我却要渴死，陷于这些没有割损的人手中。」
15.19	天主遂在肋希使一洼地裂开，涌出水来；他喝了水，精神恢复，无异再生；因此那泉称作「呼吁泉，」至今还在肋希。
15.20	他在培肋舍特人统治以色列的时日内，作以色列民长二十年。
	
16.0t	第十六章
	
16.1t	三松在迦萨
	
16.1	三松往迦萨去，在那里看见一个妓女，便去走近了她。
16.2	有人告诉迦萨人说：「三松到这里来了。」他们就把他围住，终夜派人埋伏在城门口，整夜静悄悄地等待他，说：「等到早晨天亮，我们才杀他。」
16.3	三松睡到半夜，半夜醒来，抓紧城门，连两个门框带门闩，一起拔起，放在肩上，背到赫贝龙对面的山顶上。 
	
16.4t	三松与德里拉
	
16.4	此后，他在芍勒克平原又爱上一个女人，名叫德里拉。
16.5	培肋舍特的酋长上到她那里，对她说：「请你引诱他，看看他这样大的力量是从那里来的，我们怎样能制胜他，将他捆起，而制伏他；我们每人给你一千一百银子。」
16.6	德里拉问三松说：「请你告诉我，你这样大的力量是从那里来的？人怎样才能将你捆起，而制伏你？」
16.7	三松回答说：「人若用七根未乾的新牛筋绳将我捆起，我就像别人一样软弱。」
16.8	培肋舍特人的酋长就给她送来七根未乾的新牛筋绳，她便用这些绳子将他捆起。
16.9	当时有埋伏的人暗藏在她的内室里；德里拉向他喊说：「三松，培肋舍特人来捉你哩! 」他就挣断牛筋绳，如同麻线被火烧断一样；于是人们仍不知他力量的所在。
16.10	德里拉遂对三松说：「看，你戏弄我，对我说谎。如今请你告诉我，怎样才能捆绑你？」
16.11	他回答她说：「人若用从未用过的新绳将我捆起，我就像别人一样软弱。」
16.12	德里拉就拿新绳将他捆起，对他喊说：「三松，培肋舍特人来捉你哩! 」当时仍有埋伏的人暗藏在内室里；但他挣断手臂上的绳子，好像一根丝线一样。
16.13	德里拉对三松说：「到现在你仍戏弄我，对我说谎；你告诉我，人怎样才能捆绑你？」他回答她说：「你若把我头上的七条发辫与织布的经线编在一起，然后用木橛钉住，我就像别人一样软弱。」
16.14	德里拉使他睡了，然后把他头上的七条发辫与织布的经线编在一起，再用木橛钉住，向他喊说：「三松，培肋舍特人来捉你哩! 」他从梦中醒来，把织布机的木橛连织布的经线都拔了出来。
16.15	德里拉就对他说：「你心里既没有我，你怎能说：我爱你呢？你已三次戏弄我，还没有告诉我你这样大的力量是从那里来的! 」
16.16	因为她天天用话来逼他，催他，致使他的精神苦恼的要死。
16.17	三松遂把心中的一切全透露给她，对她说：「剃刀从未接触过我的头，因为我在母胎时就是献于天主的；人若剃去我的头发，我的力量就离开了我，我就像众人一样软弱。」
16.18	德里拉一见他把心中的一切全给她透露了，便打发人召培肋舍特的酋长来说：「这一次你们上来罢! 因为他把心中的一切全透露给我。」于是培肋舍特人的酋长手中带著银子，来到德里拉那里。
16.19	德里拉使三松睡在自己的膝上，又叫来一个人，剃去他头上的七条发辫，他就开始软弱无力，他的力量全离开了他。
16.20	她于是喊说：「三松，培肋舍特人来捉你哩! 」他由梦中醒来，心想：「这一次和前几次一样，我一挣扎，必能脱身。」他却不知道上主已离弃了他。
16.21	培肋舍特人便把他捉住，剜去他的眼睛，带他下到迦萨，用铜练锁了他，叫他在监狱里推磨。
16.22	但是他的头发在剃了以后，又渐渐长起来。 
	
16.23t	三松殉身复仇　
	
16.23	培肋舍特人的酋长聚集起来，为给他们的神达贡举行祭献大典，表示庆祝；他们说：「我们的神把我们的仇人三松交在我们手中。」
16.24	民众一见三松，就赞颂他们的神说：「我们的神把破坏过我们的田地，杀害过我们多人的仇人，交在我们的手中了。」
16.25	当他们兴高采烈的时候，就喊说：「让三松给我们表演把戏。」他们就从监狱里叫出三松来，在他们面前耍把戏；以后把他放在两根柱子中间。
16.26	三松对牵他手的僮仆说：「让我摸摸支殿的柱子，好能靠一靠。」
16.27	那时殿内满了男女，培肋舍特人的酋长也在里面，在天台上约有三千男女，都在看三松表演把戏。
16.28	三松呼求上主说：「吾主上主，求你眷念我! 天主，求你再赐我力量，只要这一次! 以报培肋舍特人剜我双眼的仇。」
16.29	三松就抱住正中支殿的两根柱子，右手抱一根，左手抱一根；
16.30	然后三松说：「让我的性命和培肋舍特人同归于尽! 」于是他奋力屈身，大殿随之倒塌，压在酋长和里面所有的民众身上；这样他在临死时所杀死的人，比一生所杀死的人还多。
16.31	此后，他的兄弟和父亲的全家下来，把他抬上去，葬在祚辣和厄市陶耳之间，他父亲玛诺亚的坟墓里。他作以色列民长二十年。
	
17.-1t	附录一 米加的神像与丹族的迁移(17-18)
	
