1.-1t	梅瑟第一篇演说(1 - 4:40)
9.3	但你今天应该知道，上主你的天主要如吞灭的火，亲自走在你前面，是他要消灭他们，是他要他们在你面前屈服；这样你才能将他们驱逐，使他们迅速毁灭，一如上主对你所说的。
9.4	当上主你的天主将他们由你面前驱逐以后，你心中不要想：上主领我来占领这地方，是因了我的义德。其实是因这些民族的罪恶，上主才将他们由你面前赶走。
9.5	你能去占领他们的土地，并不是因了你的义德，也不是因了你心地正直，而实是因这些民族的罪恶，上主你的天主才将他们由你面前赶走；同时也是为实践上主向你祖先亚巴郎、依撒格和雅各伯起誓所许的诺言。
9.6	由此可知，上主你的天主，把这肥美的土地赐给你作产业，并不是因了你的义德，因为你原是一个执拗的民族。 
	
9.7t	历数以民背叛上主
	
9.7	你当记念不忘：你在旷野里怎样激怒了上主你的天主。自从你由埃及地出来的那天起，直到你们来到这地方，你们常是反抗上主。
9.8	你们在曷勒布激怒了上主，致使上主对你们发怒，几乎将你们消灭。
9.9	那时我上了山，要接受石版，就是上主与你们结约的石版，我在山上住了四十天四十夜，不吃不喝；
9.10	上主交给了我两块天主用手指写上字的石版。上面所写的，是上主于集会之日，在山上由火中对你们所说的一切话。
9.11	过了四十天四十夜，天主交给了我那两块石版、即约版，
9.12	然后对我说：「起来，赶快下去，因为你由埃及领出来的人民已败坏了，他们很快就离弃了我给他们指定的道路，为自己铸造了偶像。」
9.13	上主又对我说：「我看这民族，确是一个执拗的民族。
9.14	你且由著我罢! 我要消灭他们，由天下抹去他们的名字；我要使你成为一个比他们更大更多的民族。」
9.15	我于是转身，从冒火的山上下来，手中拿著两块约版。
9.16	我一看见你们铸造了牛犊，犯罪背叛了上主你们的天主，迅速离弃了上主给你们指定的道路，
9.17	我就把那两块石版，由我手中扔下去，在你们眼前摔得粉碎。
9.18	为了你们所犯的一切罪过，作了上主眼中视为恶的事，使他恼怒，我就像上次一样，俯伏在上主面前，四十天四十夜不吃不喝。
9.19	因为上主对你们大发忿怒，要消灭你们，我实在恐惧不安；但上主这次又俯听了我。
9.20	同样，上主对亚郎也大发忿怒，要消灭他；那时我也为亚郎祈求过。
9.21	我把你们犯罪所铸造的牛犊，放在火里烧了；然后捣碎，磨成细末，将细末抛在由山上流下来的溪水内。
9.22	以后，你们在塔贝辣、玛撒、克贝洛特阿塔瓦又激怒了上主。
9.23	当上主命你们由卡德士巴尔乃亚起程，说：「你们上去占领我赐给你们的地方。」你们又违背了上主你们天主的命令，没有信赖他，也没有听他的命。
9.24	自从我认识你们那天起，你们常是背叛上主。
9.25	因为上主决意要消灭你们，我就四十天四十夜俯伏在上主面前，
9.26	哀求上主说：吾主上主! 不要消灭你的百姓，你的产业，因为是你以大能救出来的，是你以强力的手由埃及领出来的，
9.27	求你记念你的仆人亚巴郎、依撒格和雅各伯，别看这民族的顽固、邪恶和罪过，
9.28	免得你领我们出来的那地方的人说：这是由于上主不能领他们进入所许给他们的地方，又由于恨他们才领他们出来，叫他们死在旷野。
9.29	他们毕竟是你的百姓，是你的产业，是你以大能和伸开的手臂领出来的。
	
10.0t	第十章
	
10.1t	再颁约版
	
10.1	那时上主对我说：「你再凿两块石版，与先前的一样，然后上山到我跟前来；还要做一个木柜。
10.2	我要把你先前摔碎的那两块版上的话，写在这两块版上。你要将这两块石版放在柜里。」
10.3	我于是做了一个皂荚木柜，凿了两块与先前一样的石版，手里拿著这两块石版上山去了。
10.4	上主将先前所写的，即在集会之日，在山上由火中对你们所说的那十句话，写在这两块版上，交给了我。
10.5	我遂转身下山，照上主吩咐我的，将版放在我做的柜内，存在那里。
10.6	以色列子民由贝洛特贝乃雅干起程，到了摩色辣，亚郎在那里死了，也埋在那里；他的儿子厄肋阿匝尔继他做了大司祭。
10.7	又从那里起程，到了古德哥达，又从古德哥达到了多溪水之地约特巴达。
10.8	那时，上主选拔了肋未支派，叫他们抬上主的约柜，侍立在上主面前事奉他，并奉他的名祝福，直到今日。
10.9	为此，肋未人同自己的兄弟没有分得产业，因为照上主你的天主对他们所说的：上主自己是他们的产业。
10.10	我如先前一样，在山上逗留了四十天四十夜；上主这一次又俯听了我，放弃了消灭你的意思。
10.11	上主且对我说：「起来，在人民前面领路，叫他们去占领我对他们祖先誓许要赐给他们的地方。」 
	
10.12t	心要受割损
	
10.12	以色列! 现今上主你的天主向你要求什么？是要求你敬畏上主你的天主，履行他的一切道路，爱他，全心全灵事奉上主你的天主，
10.13	遵守我今天吩咐你的天主的诫命和法令，好使你能获得幸福。
10.14	看天与天上的天，地和地上的一切，都属于上主你的天主；
10.15	但上主只喜欢了你的祖先，锺爱他们，由万民中拣选了他们的后裔，就是你们，正如你们今日所见的一样。
10.16	为此，你们要心受割损，不要再执拗，
10.17	因为上主你们的天主是万神之神，万主之主，伟大、有力、可畏的天主，是不顾情面，不受贿赂，
10.18	为孤儿、寡妇主持正义，友爱外方人，供给他们食粮和衣服的天主。
10.19	为此，你们也应友爱外方人，因为你们在埃及也曾做过外方人。
10.20	你应敬畏上主你的天主，事奉依赖他，奉他的名起誓。
10.21	他是你的光荣，是你的天主，是他为你做了你亲眼所见的奇异可畏的事。
10.22	你的祖先下到埃及时，总共不过七十人，现在上主你的天主却使你多得有如天上的繁星。
	
11.0t	第十一章
	
11.1t	以往的经验
	
11.1	你应爱上主你的天主，天天遵守他的训令、法律、规则和诫命。
11.2	今天你们应知道：你们的子孙并没有见过，也没有经历过上主你们天主的惩戒、伟大强力的手和伸展的臂，
11.3	以及他在埃及对埃及王法郎及其全国所行的神迹和奇事；
11.4	他如何对待了埃及的军队、战马和车辆；当他们追赶你们时，上主怎样使红海的水淹没了他们，将他们消灭，直到今日；
11.5	并且在旷野里给你们作了什么，直到你们来到此地；
11.6	他怎样对待了勒乌本的后裔厄里雅布的儿子达堂和阿彼兰，地怎样裂开了口，在全以色列中间吞没了他们同他们的眷属，帐棚以及属他们的一切；
11.7	而且你们亲眼见过上主所做的这一切伟大作为。
11.8	所以你们应该遵守我今日吩咐你们的一切诫命，好能有力量去占领你们过河要去占领的地方，
11.9	并在上主向你们祖先誓许要给他们和他们后裔的地方，即流奶流蜜的地方，得享长寿。
11.10	因为你要去占领的地方，不像你们出来的埃及地，在那里你撒了种，还要用脚灌溉，像灌溉菜园一样；
11.11	但你们过河去占领的地方，却是一个有山有谷，有天上的雨水所滋润的地方，
11.12	是上主你的天主自己照管的地方，是上主你的天主，自年首至年尾，时常注目眷视的地方。 
	
11.13t	祝福与诅咒
	
11.13	如果你们真听从我今日吩咐你们的诫命，爱上主你们的天主，全心全灵事奉他，
11.14	他必按时给你们的土地降下时雨，秋雨和春雨；必使你丰收五谷、新酒和新油；
11.15	也必使田野给你的牲畜生出青草；如此你必能吃饱。
11.16	你们应谨慎，免得你们的心受迷惑，离弃正道，去事奉敬拜其他的神，
11.17	叫上主对你们发怒，使苍天封闭，雨不下降，地不生产，你们必由上主赐给你们的肥美土地上迅速灭亡。
11.18	你们应将我这些话铭刻在你们的心灵上，系在你们的手上，当作标记；悬在你们的额上，当作徽号。
11.19	应将这些话教给你们的子孙，不论住在家里，或在路上行走，或卧或立，不断地讲述；
11.20	还应刻在你房屋的门框和门扇上，
11.21	好使你们和你们子孙的岁月，在上主誓许给你们祖先的土地上，如天覆地之久长。
11.22	如果你们谨慎遵守我吩咐你们遵行的这一切诫命，爱上主你们的天主，履行他的一切道路．一心依赖他，
11.23	上主必由你们面前将这一切民族驱逐，使你们能征服比你们更强大的民族。
11.24	凡你们的脚掌所踏之地，都必成为你们的；由旷野直到黎巴嫩，由大河，即幼发拉的河直到西海，是你们的疆界。
11.25	没有人能对抗你们，上主你们的天主必照他对你们所许的，将害怕和畏惧你们的心情，散布在你们所要踏进的地面。
11.26	你看，我今天将祝福和诅咒，摆在你们面前：
11.27	如果你们听从上主你们天主的诫命，就是我今天吩咐你们的，你们必蒙祝福；
11.28	如果你们不听从上主你们天主的诫命，离弃我今天吩咐你们的道路，去跟随你们素不相识的其他神只，必遭诅咒。
11.29	几时上主你的天主领你进入你要去占领的地方，你应在革黎斤山上宣布祝福，在厄巴耳山上宣布诅咒。──
11.30	这两座位于约但河西，日落之处，在居于阿辣巴荒野的客纳罕人的境内，与基耳加耳相对，靠近摩勒橡树。
11.31	你们就快要过约但河，去占领上主你们的天主赐给你们的土地。当你们占领了那地，居住在那里时，
11.32	你们应谨慎遵行我今天在你们面前所颁布的一切法令和规则。
	
12.-1t	重申法律
	
12.0t	第十二章
	
12.1t	圣所唯一
	
12.1	这是你们在上主你祖先的天主赐给你作产业的地上，当遵守奉行的法令和规则；你们几时生活在那地，就应日日遵守。
12.2	凡你们去征服的民族供奉神只的地方，无论在高山上，或在丘陵上，或在任何绿树下，都应加以破坏：
12.3	拆毁他们的祭坛，打碎他们的石碣，烧毁他们的神柱，砍倒他们神只的雕像，将他们的名字由那地方完全消除。
12.4	你们不可像他们那样崇拜上主你们的天主。
12.5	上主你们的天主，将由你们各支派中选择一个地方，为立自己的名号，为做自己的住所，你们只可到那里去寻求他，
12.6	在那里奉献你们的全燔祭、祭献、什一之物、献仪、还愿祭、自愿祭，以及首生的牛羊；
12.7	在那里你们和你们的家属，应在上主你们的天主面前宴会欢乐，因为上主你们的天主祝福了你们的一切事业。
12.8	你们不要照我们今日在这里所行的，各行其是，
12.9	因为你们至今还没有到安居之地，还没有到上主你的天主赐给你为业的地方。
12.10	但是，当你们过了约但河，住在上主你们的天主赐给你们为业的地方，脱免了四周的仇敌，安居乐业时，
12.11	你们应在上主你们的天主所选定为立自己名号的地方，奉献我所吩咐的一切：即你们的全燔祭、献祭、什一之物、献仪，以及一切向上主许愿应献的礼品；
12.12	你们和你们的儿女、仆婢，以及在你们城镇里的肋未人，都应在上主你们的天主面前一同欢乐，因为肋未人没有在你们中分得产业。 
	
12.13t	献祭的规律
	
12.13	你应小心，不可在你所见的任何地方奉献你的全燔祭；
12.14	只可在上主由你一支派中所选定的地方，奉献你的全燔祭，行我所规定的一切。
12.15	但是你可在各城镇内，依照上主你的天主所赐与你的祝福，随意杀牲食肉；不洁和洁净的，人都可以吃，如吃羚羊和鹿肉一样；
12.16	只有血，你们不可以吃，你应将血和水一样泼在地上。
12.17	你所收的五谷、酒、油的十分之一，你的头胎牛羊，你许愿献的供物，或自愿献的供物以及你手中的献仪，都不可在你的城镇内吃，
12.18	只可在上主你的天主面前，在上主你的天主选定的地方，你和你的儿女、仆婢，以及在你城镇内的肋未人一起吃；在上主你的天主面前，为了你的一切事业而欢乐。
12.19	你要留意，在你的地域内，永不可忘记肋未人。
12.20	当上主你的天主，照他对你所许的，扩展了你的疆域时，你若说：「我想吃肉，」你既然想肉吃，你可以任意吃肉。
12.21	若上主你的天主选定建立自己名号的地方离你太远，你可照我吩咐你的，宰杀上主赐给你的牛羊，在你的城镇内任意吃，
12.22	全如吃羚羊和鹿肉一样；不洁和洁净的，人都可以一起吃。
12.23	但应记住：不可吃血，因为血是生命，你不可将生命与肉一起吃。
12.24	你不可吃血，应将血和水一样泼在地上。
12.25	你不要吃血，好使你和你的后代子孙能享幸福，因为你行了上主眼中视为正直的事。
12.26	至于你所献的圣物和许愿的祭品，应带到上主所拣选的地方去；
12.27	将你的全燔祭、肉和血全献在上主你的天主的祭坛上；至于其他的祭献，应将血倒在上主你的天主的祭坛上，肉可以吃。
12.28	你应谨慎听从我吩咐你的这一切事，好使你和你的后代子孙永远享福，因为你行了上主你的天主眼中视为善良和正直的事。 
	
12.29t	禁行异民礼仪
	
12.29	当上主你的天主，将你所要进占之地的民族，由你面前铲除，而你占领了他们的地方，住在那里的时候，
12.30	你应小心，不要在他们由你面前消灭以后，你自己反受迷惑，去仿效他们；也不要探究他们的神说：「这些民族怎样事奉了他们的神，我也要怎样去做。」
12.31	对上主你的天主，你不可这样做，因为凡上主所憎恨的可恶之事，他们对自己的神都做了；甚至为自己的神，用火焚烧了自己的子女。
	
13.0t	第十三章
	
13.1t	戒避敬拜邪神
	
13.1	凡我吩咐你们的事，你们应谨慎遵行；不可加添，也不可删除。
13.2	若你们中出现了一位先知或作梦的人，给你提供一种神迹或奇事，
13.3	而他所说的神迹和奇事实现了，以致向你说：「让我们去随从事奉其他的神罢! 」而那神是你素不相识的；
13.4	你不要听从这先知或作梦者的话，因为上主你们的天主有意试探你们，愿意知道你们是否全心全灵真爱上主你们的天主。
13.5	你们只应跟随上主你们的天主，只应敬畏他，遵守他的诫命，听从他的话，事奉他。依靠他。
13.6	至于这先知或作梦的人，应处死刑，因为他出言背叛了领你出埃及地，由奴隶之家赎出你来的上主你们的天主，要你离弃上主你的天主命你当行的道路：如此你由你中间铲除了邪恶。
13.7	如果你的兄弟，你父亲或母亲的儿子，或你的儿女，或你的爱妻，或你视如性命的朋友，暗中引诱你说：「让我们去事奉其他的神罢! 」而那神是你和你的祖先素不相识的，
13.8	是你四周，离你或近或远，由地极这边到地极那边的各民族所敬拜的神；
13.9	你不可对他表示同意，不可听从他，也不可怜视他，顾惜他，袒护他；
13.10	务要将他杀死，并且你应先动手，然后全体人民动手打死他。
13.11	你应用石头砸死他，因为他图谋使你离弃领你出埃及地，出奴隶之家的上主你的天主。
13.12	这样全以色列人听了必然害怕，在你中间不致做出这样邪恶的事。
13.13	如果你听说，在上主你的天主赐给你居住的一座城内，
13.14	由你中间出来了一些坏人，勾引本城的居民说：「让我们去事奉其他的神罢! 」而那神是你们素不相识的；
13.15	你就该调查、探寻、仔细访问；如果真有其事，在你中间真发生了这样可恶的事，
13.16	你该用利剑杀尽这城的居民，完全破坏此城和城中所有的一切，连城中的牲畜也用剑杀尽，
13.17	并把由城中掠夺的一切财物堆积在广场上，将城和所掠夺的一切财物放火焚烧，全献给上主你的天主，使那城永远成为废墟，再不得重建。
13.18	凡应毁灭之物，一件也不可留在你手中，好使上主撤回他的盛怒，对你施恩，怜恤你，照他对你祖先所誓许的，使你繁昌，
13.19	只要你听从上主你的天主的话，遵守我今天所吩咐你的一切诫命，实行上主你的天主眼中视为正直的事。
	
14.0t	第十四章
	
14.1t	关于丧仪和食物的规则
	
14.1	你们是上主你们天主的儿女。你们不应为死者割伤自己，不应将头顶剃光，
14.2	因为你是属于上主你天主的圣洁人民，上主由地上的万民中，特选了你做他自己的人民。
14.3	凡是可憎恶之物，你不可吃。
14.4	你们可吃的走兽如下：牛、绵羊、山羊、
14.5	鹿、羚羊、□鹿、野山羊、臆羚、野牛和野羊。
14.6	走兽中，凡有偶蹄分趾而又反刍的走兽，你们都可以吃。
14.7	但是在反刍或有偶蹄分趾的走兽中，你们不可吃的：有骆驼、兔子或岩狸，因为它们虽反刍，蹄却不分趾，对你们仍是不洁的。
14.8	至于猪，虽有偶蹄，却不反刍，对你们也是不洁的；你们不可吃这些走兽的肉，也不可摸它们的尸体。
14.9	水族中你们可吃的如下：凡有鳍有鳞的，都可以吃；
14.10	凡无鳍无鳞的，都不可吃；这一切对你们都是不洁的。
14.11	凡是洁净的飞禽，都可以吃。
14.12	飞禽中不可吃的：有鹰、鹗、秃鹫、
14.13	鸢隼、雕类，
14.14	凡乌鸦之类，
14.15	驼鸟、夜鹰、海鸥，凡苍鹰之类，
14.16	小枭、鸱枭、白鹭、
14.17	塘鹅、鸨、鸬□、
14.18	鹳鹭类、戴胜和蝙蝠。
14.19	凡有翅的昆虫，对你们都是不洁的，都不可吃。
14.20	凡洁净的飞禽，都可以吃。
14.21	凡自死的动物，你们不可吃，却可送给在你城内的外方人吃，或卖给外邦人，因为你是属于上主你天主的圣洁人民。不可煮羊羔在其母奶之中。 
	
14.22t	什一的献仪
	
14.22	你每年在田地内播种所得的出产，应缴纳十分之一。
14.23	你应在上主选定为立自己名号的地方，于上主你的天主面前，吃那五谷、酒、油的十分之一，及你的头胎牛羊，好使你能学习著常敬畏上主你的天主。
14.24	如果为你路途太远，你不能把十分之一之物运去，因为上主你的天主选定为立自己名号的地方离你太远，那么若上主你的天主祝福了你，
14.25	你可以把物品换成银钱，手中带著银钱，往上主你的天主所选的地方，
14.26	在那里可随意用银钱买牛羊、清酒和浓酒，以及你愿意要的，在上主你的天主面前吃喝，与你的家属一同欢乐；
14.27	但在你城内的肋未人，你不可忘记，因为他在你中间没有分得产业。
14.28	每过三年，你应取出全部出产的十分之一，储藏在你城镇内，
14.29	那没有与你分得产业的肋未人，和在你城镇内的外方人、孤儿、寡妇都可来吃喝，得享饱饫，好叫上主你的天主，在你所做的一切事业上祝福你。
	
15.0t	第十五章
	
15.1t	豁免年的规定
	
15.1	每过七年，应施行豁免。
15.2	豁免的方式是这样：债主应把借与近人的一切，全部豁免，不应再向近人或兄弟追还，因为已为光荣上主宣布了豁免。
15.3	向外邦人可以追还，但你兄弟欠你的应一概豁免。
15.4	其实，在你中间不会有穷人，因为在你的天主赐给你作为产业的地上，上主必丰厚地祝福你，
15.5	只要你听从上主你天主的话，谨守遵行我今日吩咐你的这一切诫命。
15.6	因为你的天主必照他说的，祝福你：你要借给许多民族，而你却不需要借贷；你要统治许多民族，但他们却不会统治你。
15.7	如果在上主你的天主赐给你的地内的一座城里，在你中间有了一个穷人，又是你的兄弟，对这穷苦的兄弟，不可心硬，不可袖手旁观，
15.8	应向他伸手，凡他所需要的尽量借给他。
15.9	你应提防，不要心生恶念说：「第七年的豁免年快到了! 」就冷眼对待你穷苦的兄弟，不借给他什么。如果他呼求上主反对你，你应负罪。
15.10	你应尽量供给他；供给他时，不应伤心，因为为了这事，上主你的天主必在你的一切工作，和你著手所作的一切事上祝福你。
15.11	既然在这地上总少不了穷人，为此我吩咐你说：对你地区内困苦贫穷兄弟，你应大方地伸出援助之手。
15.12	你的兄弟，无论是希伯来男人，或是希伯来女人，若卖身与你，只应服事你六年，在第七年上，你应使他自由。
15.13	使他自由时，不可让他空手离去；
15.14	应由你羊群中，打禾场上，榨酒池内，取一些厚厚地酬报他，照上主你的天主祝福你的，分给他。
15.15	应记得你在埃及地也曾做过奴隶，上主你的天主将你赎回。为此我今日特将这事吩咐你。
15.16	倘若他对你说：「我不愿离开你，」因为他爱你和你的家庭，又喜欢同你在一起，
15.17	你就拿锥子在门上把他耳朵刺透，他便永远成了你的奴仆；对你的婢女也该这样做。
15.18	使他自由的时候，你不应感到不满，因为他六年给你服务，应得佣工的双倍工资，并且上主你的天主也必在你所做的事业上祝福你。 
	
15.19t	头胎牲畜的处置法
	
15.19	你的牛羊中所生的，凡是头胎雄性的，都应祝圣与上主你的天主；你不可使头胎公牛耕作，也不可剪头胎公羊的毛。
15.20	你和你的家属，年年在上主所选的地方，在上主你的天主面前，吃这些首生的牲畜。
15.21	但如果这牲畜有残缺、或腿瘸、或瞎眼、或有任何缺点、你不可祭献给上主你的天主，
15.22	可在家里吃，不洁与洁净的，人都可以吃，如吃羚羊和鹿一样；
15.23	只不可吃它的血，应将血如水一样泼在地上。
	
16.0t	第十六章
	
16.1t	周年三大节庆：逾越节
	
16.1	你应遵守「阿彼布」月，为上主你的天主举行逾越节，因为在「阿彼布」月的一个夜里，上主你的天主领你出了埃及。
16.2	你应在上主所选定立自己名号的地方，给上主你的天主祭杀牛羊，作为逾越节牺牲。
16.3	吃这祭肉时，不可吃发酵饼；七天之内，当吃无酵饼，即困苦饼，因为你曾仓猝地走出了埃及地。为此你一生应天天记念你出埃及的日子。
16.4	七天之久，在你全境内不许见到酵母；你前一天晚上祭献的牲肉，不可有剩下的，留到早晨。
16.5	你不可在上主你的天主赐给你的任何城镇内，祭杀逾越节牺牲；
16.6	只可在上主你的天主所选定立自己名号的地方，晚上太阳快落时，就是你出埃及的时刻，祭杀逾越节牺牲。
16.7	并应在上主你的天主所选定的地方，将祭牲煮熟分食；到了早晨，你可回到你的帐棚中去。
16.8	六天内应吃无酵饼，到第七天，应为上主你的天主召开盛会，任何劳工都不许做。 
	
16.9t	五旬节
	
16.9	你应数七个星期，从镰刀收割庄稼算起，数七个星期，
16.10	为上主你的天主举行七七节，照上主你的天主祝福你的，献上你手中自愿献的祭品。
16.11	你和你的儿女、仆婢，以及在你城镇内的肋未人，在你中间的外方人、孤儿和寡妇，都应在上主你的天主所选定立自己名号的地方，于上主你的天主面前欢乐。
16.12	应记得你在埃及也曾做过奴隶，所以应谨守遵行这些法令。 
	
16.13t	帐棚节
	
16.13	你由禾场和榨酒池内收藏了出产以后，应七天举行帐棚节。
16.14	在这庆节内，你和你的儿女、仆婢，以及在你城镇内的肋未人、外方人、孤儿和寡妇都应欢乐。
16.15	你应在上主所选定的地方，为上主你的天主举行这庆节七天，因为上主你的天主，要在你的一切收获和你著手进行的一切事业上祝福你，使你满心喜乐。
16.16	每年三次，即在无酵节、七七节和帐棚节，你所有的男子都应到上主所选的地方去，朝拜上主你的天主；但不要空手出现在上主面前，
16.17	每人应照上主你的天主赐与你的，依自己的财力，奉献礼品。 
	
16.18t	设立判官
	
16.18	在上主你的天主赐给你的各城镇内，要为各支派设立判官和书记，他们应按照公道审判人民，
16.19	不可违犯公平，不可徇情顾面，不可接受贿赂，因为贿赂令智慧人的眼目失明；
16.20	只应追求公道与正义，好叫你能生存，占有上主你的天主赐给你的土地。 
	
16.21t	禁拜邪神　
	
16.21	在你为上主你的天主所建的祭坛旁，不许竖立任何木头的神柱；
16.22	也不可立置上主你的天主所憎恶的石碣。
	
17.0t	第十七章
	
17.1	有任何残缺或瑕疵的牛羊，不可祭献给上主你的天主，因为这为上主你的天主是可憎恶的事。
17.2	在你中间，即在上主你的天主赐给你的一座城内，若发见一个男人或女人，做了上主你的天主眼中视为恶的事，违犯了他的盟约，
17.3	去事奉敬拜其他的神，或太阳，或月亮，或任何天象，反对我所吩咐的事；
17.4	如果有人告诉了你，你一听说，就应详细调查。如果实有其事，真在以色列中做了这种可恶的事，
17.5	就将那做这种恶事的男人或女人，带到城门外，用石头砸死他们。
17.6	根据两个或三个见证的口供，即可将这该死的人处以死刑；根据一个见证的口供，却不可处以死刑。
17.7	见证人应先下手，然后众人才下手将他处死：如此由你中间铲除了这邪恶。 
	
17.8t	最高裁判
	
17.8	若在你城镇内发生了诉讼案件：或是杀人，或是争讼，或是殴伤，而又是你难以处决的案件，你应起来上到上主你的天主所选的地方，
17.9	去见肋未司祭和那在职的判官，询问他们，他们要指教你怎样判断这案件。
17.10	你应依照他们在上主所选的地方，有关那案件指教你的话去执行；凡他们教训你的，应完全遵行。
17.11	应全依照他们给你的指导，告诉你的判断去执行；对他们告诉你的定案，不可偏左偏右。
17.12	若有人擅自行事，不听从那侍立于上主你的天主前供职的司祭，或不听从判官，应把这人处死。如此你由以色列中铲除了这邪恶；
17.13	民众听见了，必都害怕，再不敢擅自行事。 
	
17.14t	选立君王
	
17.14	当你进入上主你的天主赐给你的土地，占据了那地，安住在那里以后，你如说：「我愿照我四周的各民族，设立一位君王统治我，」
17.15	你应将上主你的天主所拣选的人，立为你的君王。应由你兄弟中立一人，作你的君王，不可让不属你兄弟的外方人统治你。
17.16	但是，不可许他养许多马，免得他叫人民回到埃及去买马，因为上主曾对你们说过：「你们不可再回到那条路上去；」
17.17	也不可许他有许多妻妾，免得他的心迷于邪途；也不可许他过于积蓄金银。
17.18	几时他登上了王位，依照肋未司祭处所存的法律书，给他抄写一本，
17.19	叫他带在身边一生天天阅读，好使他学习敬畏上主他的天主，谨守遵行这法律上的一切话和这些规则。
17.20	如此他可避免对自己的同胞心高气傲，偏离这些诫命，好使他和他的子孙在以色列中间久居王位。
	
18.0t	第十八章
	
18.1t	肋未司祭
	
18.1	肋未人司祭即全肋未支派，在以色列中没有分子和产业，他们靠献与上主的火祭祭品，和他们应得的一分维持生活。
18.2	他在兄弟中间没有产业；照上主向他所说的，上主自己要作他们的产业。
18.3	这是司祭由人民应得的一份，就是宰杀牛羊作祭献的人，应将前腿、两腮和胃脏给司祭；
18.4	初收的五谷、酒、油和初剪的羊毛，亦应给他，
18.5	因为上主你的天主由各支派中拣选了他，叫他和他的子孙，时时以上主的名义服役供职。
18.6	如果一个住在以色列境内任何城镇的肋未人，离开了本地，一心一意地要到上主所选的地方去，
18.7	他可因上主的名义供职，如同在那里侍立于上主面前的肋未弟兄们一样，
18.8	分享同样的口粮，不必变卖祖产。 
	
18.9t	真假先知
	
18.9	几时你进入了上主你的天主赐给你的土地，不要仿效那些异民做可憎恶的事。
18.10	在你中间，不可容许人使自己的儿子或女儿经过火，也不可容许人占卜、算卦、行妖术或魔术；
18.11	或念咒、问鬼、算命和求问死者；
18.12	因为凡做这些事的人，都是上主所憎恶的；其实就是为了这些可憎恶的事，上主你的天主才把他们由你面前赶走。
18.13	你应一心一意属于上主你的天主。
18.14	你要赶走的这些民族，听信了算卦和占卜的人；但上主你的天主为你却不是这样安排；
18.15	上主你的天主，要由你中间，由你兄弟中，为你兴起一位像我一样的先知，你们应听信他。
18.16	正如你在曷勒布集会之日，求上主你的天主说：「惟愿我再不听见上主我的天主的声音，再不看见这烈火，免得我死亡。」
18.17	上主遂对我说：「他们说得有理，
18.18	我要由他们的兄弟中，给他们兴起一位像你一样的先知，我要将我的话放在他口中，他要向他们讲述我所吩咐他的一切。
18.19	若有人不听信他因我的名所说的话，我要亲自同他算账。
18.20	但是，若一位先知擅敢因我的名说我没有吩咐他说的话，或因其他神的名说话，这位先知应该处死。」
18.21	也许你心里想：「我们怎能知道上主未曾说过这话？」
18.22	几时一位先知因上主之名说话，若他的话不实现，不应验，这话就不是上主说的，是先知擅自说的，你不用怕他。
	
19.0t	第十九章
	
19.1t	避难城
	
19.1	当上主你天主消灭了那些异民，上主你的天主将他们的土地赐给了你，而你占领了那地，住在他们的城镇和房屋里以后，
19.2	应在上主你的天主赐给你作产业的地方，划出三座城，
19.3	修好到那里去的道路，将上主你的天主给你作产业的地方，分为三个区域，这样使杀了人的，可逃到那里去。
19.4	杀人犯逃到那里得保全性命的案件应是这样：假使有人无意杀了邻人，彼此又素无仇怨：
19.5	比如他与邻人同去林中伐树，当他手挥斧子伐树时，斧头脱了柄，落在邻人身上，以致毙命，他就可逃到这些城中的一座城去，为保全性命，
19.6	以免报血仇者心中发火追赶杀人者，因路途遥远，而能赶上他，将他杀死；其实他与那人素无仇怨，罪不该死。
19.7	为此我吩咐你：应划出三座城。
19.8	当上主你的天主，照他向你的祖先誓许的，扩展了你的疆域，将许下要给你祖先的整个土地赐给你时，──
19.9	倘若你谨守遵行我今日吩咐你的这一切诫命，爱上主你的天主，日日履行他的道路，──你应在这三座城以外，另设三座城，
19.10	免得无罪者的血，流在上主你的天主赐给你作产业的土地上，血债归在你身上。
19.11	但是，如果有人怀恨自己的邻人，埋伏突击他，而将他杀死，然后逃到这些城中的一座，
19.12	他本城的长老应派人去，将他从那里逮回，交于报血仇者手中，将他处死；
19.13	你不可怜视他，而应由以色列中洗除无辜的血：如此你才能平安无事。 
	
19.14t	私有权
	
19.14	在上主你的天主赐给你作产业所分得的土地上，不可移动你邻人的地界，因为是先人所划定的。 
	
19.15t	作证法
	
19.15	人无论犯了什么不义，什么罪恶，或什么过错，只凭一个见证，罪名不得成立；须凭两个或三个见证的口供，才可定案。
19.16	若有人怀有恶意，起来作证控告某人犯法，
19.17	二人应一同站在上主面前，和值班的司祭及判官面前。
19.18	判官应仔细考问。若那作证的是一个假证人，诬告自己的兄弟，
19.19	你就应对付他，如同他想对付自己的兄弟一样：这样你便由你中间铲除了这邪恶，
19.20	其余的人听了，必然害怕，在你中间再不致有这样的恶事发生。
19.21	你不可发慈悲，要以命偿命，以眼还眼，以牙还牙，以手还手，以脚还脚。
	
20.0t	第二十章
	
20.1t	备战出征
	
20.1	当你出征进攻你的仇敌，见到战马战车和比你更多的群众时，你不必害怕，因为领你出埃及地的上主你的天主与你在一起。
20.2	当你们快要交战时，司祭应上前来，对民众训话，
