1.-2t	玛加伯下
7.29	你不要怕这刽子手，反该对得起你的哥哥们，视死如归，好叫我在天主显示仁慈的时候，可迎接你的哥哥们和你！」
7.30	她刚说完了话，青年人就说：「你们还等什么？我决不听从国王的命令，我只听从梅瑟给我们祖宗立定的法律命令。
7.31	你这设法迫害希伯来人的罪魁，你决不能逃脱天主的手！
7.32	我们受难是为了我们的罪恶。
7.33	我们永生的上主，为责罚和惩戒我们，一时向我们发怒，但终究要与自己的仆人重新和好。
7.34	至于你这恶人！你这人类中的妖孽！你虽然伸手毒害上天的子女，可是别糊里糊涂，洋洋得意，妙想天开，
7.35	因为你逃脱不了全能全知天主的审判。
7.37	我哥哥们既忍受了暂时的苦痛，如今他们按照天主的盟约，得到了永生。你却因着天主的审判，将受你骄傲应得的刑罚。我要如同我哥哥们一样，甘心为祖宗的法律舍弃我的肉身和生命，求天主早日怜恤我们的民族，并用苦难与灾祸，迫使你承认他是唯一的天主。
7.38	愿全能者向我们全族所发的义怒，在我和我哥哥们身上就此止息。」。
7.39	国王难以忍受他的凌辱，于是勃然大怒，加给他的刑罚比其他的更凶残。
7.40	这样，这个少年一心依靠上主，冰清玉洁，走入了另一世界。
7.41	儿子们相继致命，最后母亲也致了命。
7.42	以上所述，足以叫人明了，当时关于吃祭品和因此而掀起的惨酷刑罚。
	
	
8.0t	第八章(36)
	
8.1t	犹大招募游击队
8.1	犹大玛加伯与他的同人暗暗走到各乡村，向同族的人呼吁，把固守犹太教的人，集合起来，约有六千人。
8.2	他们恳求上主，垂顾为人人蹂躏的民族，怜悯被恶人亵渎的圣殿，
8.3	怜恤已经毁坏且快夷为平地的京城，俯听向他喊冤的血声，
8.4	记念无罪婴儿所遭的残杀，向咒骂他圣名的恶人发怒泄恨。
8.5	玛加伯组成一支军队以后，外邦人就无法抵抗他，因为上主的义怒已经变成了怜悯。
8.6	他屡次在人不料想的时候，去袭击城镇，放火焚烧，占据要塞，使敌人屡遭溃败。
8.7	他为作战顺利，特别喜爱夜间进袭，因此他勇敢的声誉传遍各地。
	
8.8t	犹大挫败尼加诺尔
8.8	斐理伯见这人势力渐渐强大，所作的事日渐成功，遂致书与切肋叙利亚和腓尼基的总督仆托肋米，请他援助国王的事务。
8.9	他遂立时指派了帕托克罗的儿子尼加诺尔，君王的一个知心好友，带领各国的联军，人数不下二万，去消灭犹太民族；又派了一位富有作战经验的大将哥尔基雅援助他。
8.10	尼加诺尔想贩卖掳来的犹太人，去填补国王欠罗马人的两千「塔冷通」税款。
8.11	于是立时派入到沿海各城市去，叫他们收买犹太奴隶，与他们约定每九十人一「塔冷通」，却一点也不想全能者正要加于他的刑罚。
8.12	有人将尼加诺尔进军的消息报告给犹大，他就把敌军进袭的消息告诉了他的部下。
8.13	那些胆小的和不依恃上主公义的人就逃到别的地方去了；
8.14	其余的人变卖了自己尚存的一切，一同祈求上主拯救那些在交战以前，就被凶恶的尼加诺尔卖掉了的人们，
8.15	求主若不为了他们自己，至少为了与他们祖先立的盟约，为了在他们身上称呼的可敬而伟大的圣名，拯救他们。
8.16	玛加伯集合自己同人，约有六千，劝他们不要临敌惊慌，不要怕那些无理袭击他们的外方人数目众多，只要勇敢作战，
8.17	把外方人无理加于圣所的亵渎，京城遭受的凌辱与虐待，以及传统制度遭受的破坏等事放在眼前。
8.18	继而又说：「他们仗着武器和奋勇；至于我们只应依靠全能的天主，他能转瞬之间，击倒攻打我们的敌人和整个世界。」
8.19	玛加伯还给他们引述了他们的祖先获得的救助：在散乃黑黎布时，怎样十八万五千人一时同归于尽；
8.20	在巴比伦与迦拉达人作战时，来作战的人共有八千，此外还有四千马其顿人助战。当马其顿人陷于困境时，这八千人怎样赖上天的助佑，消灭了十二万敌人，并且还得了许多战利品。
8.21	用这番话激发起他们的勇气，叫大家准备为法律和国家而牺牲；以后他就把军队分成四队：
8.22	立自己的兄弟息孟、若瑟和约纳堂为每队的队长，叫他们各人率领一千五百人。
8.23	此外，又令厄次辣诵读圣经，然后立定「天主助佑」为口号；犹大就亲自率领第一队，进攻尼加诺尔：
8.24	因为全能者与他们一同作战，击杀了敌军九千多人，使尼加诺尔的军队大部分受了伤，成了残废，迫使剩下的都逃走了。
8.25	来购买他们的人带来的银钱，也都夺回来，且追赶他们直至相当远的路程；只因为时光有限，才得赶回来，
8.26	因为那时正值安息日前夕，所以不能继续追赶。
8.27	他们拾取敌人的武器，掠取他们的财物，以后就举行安息日，全心称谢赞颂上主，因为他今日开始把恩露洒在他们身上。
8.28	过了安息日，他们便把一部分战利品分赠给受害的人、孤儿和寡妇剩下的他们自己和子女分了。
8.29	办完这事，又共同祈祷，恳求仁慈的上主，完全与他的仆人们和好。
	
8.30t	犹大击败提摩太及巴基德
8.30	他们又与提摩太和巴基德的军队交战，杀死了他们两万多人，并且也占领了几座很高大的堡垒，将获得的无数战利品，平均分为两分：一份为他们自己，一份为受害的人、孤儿、寡妇和老人。
8.31	又拾取了敌人的军械。把这一切细心安放在适宜的地方。余下的战利品悉数运到耶路撒冷去。
8.32	又杀了提摩太部队的一个军长，这人非常暴虐无道，曾残害过犹太人。
8.33	当他们在祖国庆祝胜利时，将从前焚烧过圣殿的门，而如今与卡里斯特乃逃到一个小房里的人，都用火烧死。如此他们得了因行亵渎应得的报应。
	
8.34t	尼加诺尔逃命
8.34	那曾带一千商人来购买犹太人的万恶的尼加诺尔，
9.35	如今却因上主赐给犹太人的救助，被他所最轻视的人们制服了。他脱去了自己耀武扬威的官服，似亡命之徒，独自一人跑过了旷野；在他全军复没以后，他还能跑到安提约基雅去，这为他算是太幸运了。
8.36	曾负责以贩卖耶路撒冷俘虏的价钱偿还罗马人的税款的人，如今反倒声明犹太人确实有一位保护者，若是犹太人遵从他立的法律，他们绝对不会受任何伤害。
	
	
9.0t	第九章(29)
	
9.1t	安提约古遭受显罚
9.1	这时安提约古正从波斯地域含羞归来，
9.2	他原来去了名叫波斯波里的京城，企图劫掠神殿和占领该城。但是当地民众都起来，以武力抗拒，安提约古终于被当地的民众打败，含羞退回。
9.3	他一到厄克巴塔纳，就听说尼加诺尔和提摩太的军队溃败了，
9.4	遂勃然大怒，想把别人打败他的耻辱向犹太人报复；于是命御者不停加紧赶路。其实是上天的惩罚催迫着他，因为他傲慢地说：「我到了耶路撒冷，必使这城变为犹太人的坟场。」
9.5	但是，无所不见的上主，以色列的天主用不可救药和从未见过的病症打击了他。他刚说完这话，他的脏腑就痛不可忍，五内感到剧痛。
9.6	这是极其公道的，因为他从前曾用各钟罕见的刑罚，难为过别人的脏腑。
9.7	他不但不止息他的蛮横，反而更加骄傲，向犹太人发泄他的怒焰，下命快跑。正当御车风驰电掣的时刻，他忽然跌下来，且跌得十分惨重，浑身的肢体都错了节。
9.8	刚才自命不凡，叱咤风云，想衡量山岳的人，如今却躺在地上，被人用床抬起：这事叫人们知道是天主威能的显示。
9.9	况且，又从这万恶的人身上生出了蛆虫，他虽还活着，可是肌肉却一块一块的脱落，痛苦万状，腐烂的臭味使全军作呕。
9.10	刚才仿佛要触摸天上星辰的人，现今为他这难忍的臭味，没有一个人愿抬他。
9.11	这样，因痛苦缠身，他的狂傲才开始止息；因天主的惩罚，痛苦逐渐增加，他也逐渐觉悟。
9.12	当他自己也无法忍受自己的臭味时，就说：「服从天主是理所当然的，有死有坏的人，绝不可妄想与天主平衡！」
9.13	这恶人不住向那不再怜悯他的上主许愿说：
9.14	他要把从前急于夷为平地，化为坟场的圣城，宣布为自由之地；
9.15	要使一切先前决定不配埋葬，而该与子女一同投给飞禽走兽作食物的犹太人，得享与雅典人平等的待遇；
9.16	要用最珍贵的礼物点缀他先前劫掠的圣殿，加倍偿还一切圣器，以自己的收入支付祭献的费用；
9.17	此外自己还要作一个犹太人，周游凡有人烟的地方，宣扬天主全能。
	
9.18t	安提约古致犹太人函
9.18	然而，他的痛苦并未因此减轻，因为天主公义的审判已经来到他身上。他见自己，已无希望，于是用哀恳的言词给犹太人写了下面的一封信：
9.19	「安提约古王兼大元帅，祝良善的犹大国民安好！并祝健康幸福！
9.20	倘若你们及你们的子女健康，万事如意，我就非常感谢上天。
9.21	我今毫无能力，躺在床上，很怀念你们。自从我由波斯地域回来，即患重病，所以将有关公益的事，安排一下，我以为很有需要。
9.22	不是因为我对我的病症已感绝望，反之，我极希望脱离这病苦。
9.23	不过我想起先父每次带兵出征高原地区时，常先定下他的继承人，
9.24	好在发生什么不测的事情，或传来什么不幸的消息时，各省的居民都知道国事已有继承，不致发生暴乱；
9.25	此外，我察觉近邦的王子与邻国的君主，都在窥探时机，等待事变，所以我指定我的儿子安提约古为王，他就是我出巡高原各省时，曾给你们许多人托付介绍过的那位。我还给他写了下面所写的一封信。
9.26	因此我恳切哀求你们，回想我对你们所施的公私恩惠，对我和我的儿子保持原有的友谊，
9.27	因为我深信他必温柔和善地履行我的意旨，甘愿就和你们。」
9.28	如此，这个渎神的杀人王，受尽了象他加于别人的剧烈痛苦，在国外的群山中，悲惨地结束了自己的性命。
9.29	他的挚友斐理伯收殓了他的尸首。但他害怕安提约古的儿子，就去了埃及，投奔仆托肋米非罗默托。
	
	
10.0t	第十章(38)
	
10.1t	光复圣殿
10.1	玛加伯及他的部下在上主领导之下，收复了圣殿和京城。
10.2	他们把外方人在广场上建立的一切祭坛，以及庙宇都予以拆毁。
10.3	洁净圣殿以后，他们另建立了一座祭坛，然后打石取火，用取来的火重献中断了两年的祭献，又焚香、点灯、供饼。
10.4	此后，他们便俯伏在地，祈求上主不要让他们再遭遇这样的祸患；如果他们仍再犯罪，求他减轻惩罚，不要再将他们交付与渎神的野蛮民族。
10.5	正在外邦人玷污圣殿的那个纪念日，他们举行了洁殿礼，即「基色娄」月二十五日；
10.6	按着举行帐棚节的仪式，兴高彩烈地庆祝了八天；回想不久之前，过帐棚节时，还象野兽一样藏在山上或洞里；
10.7	为此他们都拿着花枝，青枝和棕榈树枝，歌颂那位赐他们能顺利清洁圣殿的天主；
10.8	并且大家一致表决，规定犹太全国人民应每年举行这庆节。
10.9	有关安提约古号称厄丕法乃的结局，已如上述。
	
10.-1t	后编维护宗教自由的战争(10:10——15:37)
	
10.10t	战胜依杜默雅人
10.10	现在我们要述说这恶人的儿子安提约古欧帕托尔在位时所发生的事情，略述所有的战祸。
10.11	他登极后，便立了一位名叫里息雅的为国务总理，兼任切肋叙利亚和腓尼基的总督。
10.12	此时，号称玛克龙的仆托肋米，首先对犹太人主持正义，为了他们受的委屈，就尽力和平对待他们；
10.13	因此王的一些朋友在欧帕托尔面前控告了他，说他在各方面堪称为叛臣，因为他曾离弃了非罗默托托他管理的塞浦路斯，而投奔安提约古厄丕法乃。因为他自觉不配荣居高位，遂服毒自尽。
10.14	当哥尔基雅作了那地的总督以后，便招募外方人从军，利用各种机会同犹太人交战。
10.15	同时占有一些重要堡垒的依杜默雅人也骚扰犹太人，收留从耶路撒冷逃亡的人，意图发动战争。
10.16	玛加伯及他的部下，在哀恳祈求天主协助自己作战以后，就动员攻击依杜默雅人的堡垒。
10.17	他们英勇作战，占据了那些据点，把城墙上作战的人都击退，凡落在他们手中的，都一概杀尽，杀了不下两万人。
10.18	有九千多人逃到两座特别坚固且贮藏有各种急需物品的堡垒里。
10.19	玛加伯留下息孟、若瑟、匝刻约和他的军队，足够围困堡垒，自己便往危急的地方去了。
10.20	但是息孟的部队贪财，受了堡垒中一些人的贿赂，收得七万「达玛」，而让他们一些人逃走了。
10.21	玛加伯一知道这事，就召集军民的军长，斥责他们为银钱出卖自己的兄弟，把与自己交战的敌人放走，
10.22	因此把这些叛徒处死，并立时进攻这两座堡垒。
10.23	战事在他的手中进行的很是顺利，在这两个堡垒里又杀了两万多人。
	
10.24t	战胜提摩太
10.24	从前被犹太人打败的提摩太，又聚集一大批外方士兵，并招募不少来自亚细亚的骑兵，想用武力去占领犹太。
10.25	但他快来近时，玛加伯和他的部下都头上撒土，腰束苦带，恳求天主，
10.26	跪伏在祭坛的前阶上，恳求天主向他们大发慈悲，按着法律所宣示的，与他们的仇人为仇，与他们的敌人为敌。
10.27	"祈祷完毕,就拿起武器出发，走到离城相当远的地方，靠近敌人，就停住了。"
10.28	天一破晓，两军交锋：这一方不是依靠兵力，而是依靠天主，作为成功和胜利的保证；另一方却只仗自己的勇气，而来作战。
10.29	战争正在激烈进行时，敌人看见从天上降下五个光辉灿烂的人，骑着金辔的马，走在犹太人的前面，
10.30	把玛加伯围在中央，用自己的的盔甲掩护他，使他不受伤害；然后向敌人放射箭矢，和雷电，使他们目眩惶惑，秩序大乱。
10.31	结果，杀死步兵二万五百，骑兵六百；
10.32	提摩太只得逃到一座凯勒阿管辖的，名叫革则尔最稳固的堡垒里去。
10.33	玛加伯与他的部下，四天奋勇围攻这坚固的堡垒。
10.34	里面的人，仗着地势险要，狂傲谩骂，口出恶言。
10.35	至第五天破晓时分，玛加伯军中有二十个少年，被这些谩骂激得怒火如焚，于是奋勇越墙而上，咆哮如野兽，逢人便杀。
10.36	同时，有别的一些人，也越墙而上，四面袭击里面的人，又放火烧楼燃起烈火，把谩骂的人活活地烧死。另有一些人却冲破城门，让其余的军队进去，迅速地把城市占领，
10.37	杀了藏在蓄水池中的提摩太和他的兄弟凯勒阿与阿颇罗法乃。
10.38	战后他们咏诗唱歌，赞美上主，因为他对以色列特降鸿恩，使他们获得了胜利。
	
	
11.0t	第十一章(38)
	
11.1t	里息雅战败
11.1	此后不久，王的亲戚和监护人并国务总理里息雅对所遭遇的事，异常愤恨。
11.2	便募集了八万步兵及所有的骑兵，出发进攻犹太人，企图将圣城作为希腊人的居所；
11.3	向圣殿征税，象对其他各国的寺庙一样；并且每年高价出售大司祭的职位。
11.4	他毫不想天主的威能，而只信赖他的几万步兵，数千骑兵和八十匹象。
11.5	侵入犹太之后，逼近离耶路撒冷约三十二公里的一个要塞贝特族尔，倾全力围攻。
11.6	玛加伯与部下听说他围攻那堡垒，便与民众一同叹息流泪，恳求上主派一位好天使来拯救以色列。
11.7	玛加伯自己首先拿起武器，然后激励众人跟他去冒险拯救同胞；众人都自告奋勇与他前去。
11.8	他们离耶路撒冷不远，有位身穿白衣，手挥金武器的骑兵出现，作他们的前锋。
11.9	他们一致称扬仁慈的天主，个个勇往直前，不但准备冲锋杀敌，而且还敢与最凶猛的野兽搏斗，冲破铜墙铁壁。
11.10	他们既得上主垂怜，从天上获得联军助战，就列阵前进，
11.11	冲向敌人如猛狮一般，击杀了步兵一万一千，骑兵一千六百，迫得其余的人都望风而逃，
11.12	大半负伤弃甲逃命，连里息雅自己也得抱头鼠窜，才得苟全性命。
11.13	但他并不是个愚昧人：当他回想自己所遭遇的失败，便知希伯来人是不可战胜的，因为有全能的天主与他们共同作战；
11.14	于是派遣使者去同犹太人说和，立平等的条件，且许下尽力劝国王与他们做朋友。
11.15	玛加伯为顾全公共的利益，就接受了里息雅所提出的一切，王也批准了玛加伯为犹太人向里息雅书面所要求的各项条件。
	
11.16t	四件媾和文件
11.16	里息雅给犹太人所写的函件如下：「里息雅祝犹太人民安好！
11.17	你们的使者若望及阿贝沙隆呈递下附的函件，请求批准所列的事项。
11.18	凡应转呈君王的，我已禀呈；凡是可允准的，他一概允准了。
11.19	若你们对政府仍保持友好，今后我必尽力为你们谋求幸福。
11.20	关于这些及其余详细事项，我已吩咐你们的使者和我的特派员与你们会商。
11.21	祝你们健康！一四八年「彤斯苛洛」月二十四日。
11.22	王的谕文如下：「安提约古王祝兄弟里息雅安好！
11.23	自从先父归于诸神以后，我们愿意所属人民，自管其国，不受骚忧;
11.24	我们也听说犹太人不满意先父令他们随从希腊风俗，而愿保守自己固有的生活方式，并且要求许可遵守自己的法律。
11.25	其实，我们很愿意这民族不受骚扰，决意将圣殿交还他们，准许他们按照祖先的习例度日。
11.26	所以你更好派使者到他们那里去，与他们和好，好使他们认清我们的意思，安心乐意处理自己的事务。」
11.27	王给犹太民族所颁的诏书如下：「安提约古王祝犹太参议院与其余犹太人安好！
11.28	如果你们安康，那正是我们的希望，我们也很平安。
11.29	默乃劳向我们呈报说，你们愿意回乡，从事己业。
11.30	因此，凡在「散提苛」月三十日以前回家的，一概得享平安，
11.31	并允许犹太人象昔日一样享用自己规定的食物，遵守自己的法律；如果有人无意做了什么错事，谁也不可干涉。
11.32	此外，我又派默乃特去慰问你们。
11.33	谨此祝你们健康！一四八年「散提苛」月十五日」。
11.34	罗马人也寄给犹太人一封公函，其原文如下：「罗马人的使者昆突默米，提突玛尼祝犹太人民安好！
11.35	王的亲人里息雅与你们商定的事，我们也表示赞同。
11.36	对于那些他认为应请示国王的事，在你们仔细考虑以后，即刻派一人来，使我们能依照你们的利益去建议，因为我们快要起身到安提约基雅去。
11.37	请急速派几个人来，叫我们知道究竟你们有什么意见。
11.38	谨此祝你们健康！一四八年「散提苛月十五日。」
	
	
12.0t	第十二章(45)
	
12.1t	犹大攻打约培及雅木尼雅
12.1	条约既定，里息雅便回到王那里，犹太人则去从事农业。
12.2	可是，有几位地方总督如提摩太、革纳约的儿子阿颇罗尼、耶洛尼摩、德摩丰、和塞浦路斯军队的总司令尼加诺尔，仍然不让犹太人安居乐业。
12.3	而且，约培的居民又作出一件残暴的事：他们邀请那些住在他们中间的犹太人携带妻子儿女，登上他们预备好的船，表面上毫无加害他们的意思，
12.4	并说是按市民大众的决议行事。犹太人因爱好和平，不疑有诈，便接受了邀请；到了海中，他们即被推到海中，至少淹死了二百人。
12.5	犹大听说同胞们遭受了这样的残害，便集合起他的部下，
12.6	呼求了公义的判官天主以后，就出击那些残杀自己同胞的人，夜间放火烧港，焚毁船只，杀了所有逃避在那里的人。
12.7	由于城市已经关闭，他便暂且收兵，有意再次歼灭约培城中所有的人民。
12.8	同时他又得知雅木尼雅人对侨居的犹太人也将采取同样的行动，
12.9	便乘夜袭击雅木尼雅人，放火焚烧港口及船只，火光烛天，以致远在二百四十「斯塔狄」外的耶路撒冷都可看见。
	
12.10t	征讨基肋阿得各地
12.10	他们从那里起程，走了不到九「斯塔狄」，正要去攻打提摩太的时候，阿刺伯人便前来迎击，计有步兵不下五千，骑兵五百。
12.11	战事极其激烈，犹大的军队赖天主的协助，获得全胜；这些打败的游牧民族，便向犹大求和，许下送给他牲畜，并在各种事上接济他。
12.12	犹大知道他们在许多事上，的确对自己有利，所以同意与他们讲和；双方握手言好之后，都回了自己的营幕。
12.13	犹大又进军攻击一座筑有垣墙与堡垒的坚城，住在里面的是些混杂的民族，城名叫做卡斯平。
12.14	城内的人仗着城墙坚固，又有储备的食粮，就以蛮横的态度对待犹大及他的部下，百般辱骂，口出恶言。
12.15	但是，犹大与他的部下呼号了那位在若苏厄时代，不用冲城车和军械倾复了耶里哥城的宇宙大主宰以后，就猛攻城墙。
12.16	因天主的旨意，他们占据了这城，大加屠杀，以致附近宽约二「斯塔狄」的湖，好象注满了血。
12.17	他们由此再向前推进，走了约七百五十「斯塔狄」，便到达哈辣斯，以往称为托布人的犹太人住在那里。
12.18	他们在那里没有找到提摩太，因为他既一无所成，已离开那里，只在某地留下一批极精锐的军队。
12.19	玛加伯的将军多息太及索息帕托便动身往那里去，剿灭了提摩太留在堡中的一万多人。
12.20	同时，玛加伯把自己的军队分成数队，并给每队指派一人作统帅，然后引军进攻率领十二万步兵和二千五百骑兵的提摩太。
12.21	提摩太听说犹大来攻。就先将妇孺及行李遣送到名叫卡尔纳殷的地方去，因为那地方四周地势险要，不易围攻，难以侵犯。
12.22	犹大的前锋部队一出现，因了无所不见者的显现，敌人感到恐怖惊惶，夺路奔逃，甚至自相残杀，彼此刀锋相刺。
12.23	于是犹大奋勇追击子杀了这批罪犯，歼灭了约三万人，
12.24	连提摩太自己也落在多息太及索息帕托部队的手里；那人却以巧言花语求他们释放自己，得保性命，因为他说：「在他权下尚有很多犹太人的父母兄弟，如他本人受害，这些人也必遭凶祸。」
12.25	他用了很多话来说服他们，且也发誓许下把那些人遣回；他们就为了自己弟兄的安全将他释放了。
12.26	犹大又进攻卡尔纳殷及阿塔加提庙，击杀了二万五千人。
12.27	杀退了这些仇人以后，犹大又领兵进攻里息雅及各族军民驻扎的厄斐龙坚城；城外有健壮的青年军人列阵把守，城内存有大批的军械和箭矢。
12.28	但犹太人呼号以威力粉碎敌军的主宰以后，遂占领了这城，杀死约二万五千居民。
12.29	又从那里出发，进攻距离耶路撒冷六百「斯塔狄」的史托颇里。
12.30	但是那里的犹太侨民证明史托颇里居民对他们非常友善，在患难时特别恩待他们;
12.31	因此犹大与其部下表示感激，也忠告他们以后对自己的民族继续表示友善。因七七节来近了，他们便回了耶路撒冷。
	
12.32t	与哥尔基雅作战
12.32	过了所谓的五旬节以后，他们又出发进攻依舍默雅的总督哥尔基雅。
12.33	哥尔基雅率领三千步兵，四百骑兵出来应战。
12.34	双方交锋后，有些犹太人阵亡了。
12.35	那时，托布队中一名叫多息太的，骁勇善骑，赶上哥尔基雅，扯住他的外衣，用力拉他，想活活捉住这个可咒骂的人。不料有个特辣克的骑兵，向他扑来，砍伤多息太的肩膀。这样哥尔基雅便逃到玛黎撒去了。
12.36	此时，厄刺辣的部下，由于长久作战，都感厌倦；犹大便呼求上主显示助战，作他们作战的领导；
12.37	然后用祖国的语言高呼战斗的口号，歌唱诗歌，进攻突袭哥尔基雅的部队，使他们瓦解。
	
12.38t	为亡者献祭
12.38	事后，犹大率领兵马，到了阿杜蓝城；因为已到第七日，他们就在那里照例自洁，过了安息日。
12.39	第二天，由于事不宜迟，犹大的部队便出去收敛阵亡的尸体，好把他们安葬在祖坟里，与亲族在一起。
12.40	当时在每个死者的内衣下，发现都有雅木尼雅偶像的符录，这原是法律禁止佩带的；众人便都明白这正是他们阵亡的原因。
12.41	于是众人称赞秉公审判及揭示隐密的上主，
12.42	同心哀祷，使所犯过恶，得以完全赦免。随后英勇的犹大劝勉民众避免犯罪，因为人都亲眼看见这些阵亡者因罪所受的罚。
12.43	于是大众募集了二千银「达玛」，送到耶路撒冷作赎罪祭的献仪：他作的是一件很美妙高超的事，因为他想念着复活；
12.44	如果他不希望那些死过的人还要复活，为亡者祈祷，便是一种多余而糊涂的事。
12.45	何况他还想到为那些善终的人保留下的超等报酬：这实在是一个圣善而虔诚的思想。为此，他为亡者献赎罪祭，是为叫他们获得罪赦。
	
	
13.0t	第十三章(26)
	
13.1t	默乃劳的惨死
13.1	一四九年，犹大和他的部下听说安提约古欧帕托尔率领大军来进攻犹太，
13.2	他的监护人里息雅总理也与他同来；各自率领着希腊兵，共计步兵一万，骑兵五千三百，象二十二头，镰刀车三百辆。
13.3	默乃劳也混入其中，假仁假义地激励安提约古；他如此作，并非为了国家的安全，而是只想巩固自己的职位。
13.4	但万王之王激动安提约古恼恨这个恶徒；里息雅向君王证明此人是万恶的罪魁，安提约古即下令解送他到贝洛雅去，按当地的刑法处死他。
13.5	在那里有一座塔，高五十余肘，里面满是火灰，设有一架旋机，能从各方面把人投入火灰中。
13.6	凡盗窃庙物，或犯其他重罪的人，都应投入里面处死。
13.7	这犯法的默乃劳就是受这刑罚而死的，死后也不得入土。
13.8	祭坛上的火和灰原是圣洁的：他既多次亵渎祭坛，如今死在火灰中是极公平的。
	
13.9t	犹大夜袭敌营
13.9	此时，国王起了一种野蛮和强横的念头，想加害犹太人，比他父亲所行的还要残酷。
13.10	犹大一知道这事，便命民众日夜呼求上主，求他这次还如从前一样拯救他们，不使法律、国家和圣殿遭受浩劫，
13.11	不让这刚才复兴的民族落在渎神的异民手中。
13.12	众人一致顺命，一连三天俯伏在地，哀哭禁食，恳求仁慈的上主。于是犹大勉励众人后，下令备战，
13.13	先与长老们私下商议，然后决定在国王的军队尚未开入犹太和占领京城以前，就出发迎击，赖天主的助佑来决定一切。
13.14	将战争的胜负全托付于宇宙的创造者；又劝勉自己的部下，应同他一起为法律、圣殿、京城、祖国及民权奋勇作战，死而后己。于是他就在摩丁附近扎了营。
13.15	他给军队规定以「天主胜利」为口号，然后选拔一队骁勇的少年士兵，夜袭国王营幕，在营内杀了二千守兵，刺杀了象队中的领队大象，以及木楼里驭象的人。
13.16	最后使全营敌人惊慌失措，遂凯旋而归。
13.17	因了上主保护犹大战事完了，天才破晓。
	
13.18t	安提约古与犹大议和
13.18	国王虽经验到犹太人的英勇，但仍设法侵略他们的地方。
13.19	于是进攻犹太人坚固的堡垒贝特族尔，但被击退；再次进攻，又遭挫败。
13.20	犹大输送一切必需品，接济被围困的人，
13.21	但有个犹太军人，名叫洛多苛的，向敌人告密；这人被查出后，即被捕处死。
13.22	国王二次与贝特族尔居民握手议和，遂离开了那里，去攻击犹大的军队，可是又遭到惨败。
13.23	那时王听说，他留在安提约塞雅摄政的斐理伯造反，就心慌意乱遂与犹太人媾和，宣誓接受他们一切合理的条件；讲和后，他也献了祭，对圣殿起敬起畏，对圣所也表示慷慨大方。
13.24	王又善侍了玛加伯，留下赫革摩尼德为总督，管理由仆托肋买至革勒尼人所居住的地方。
13.25	王回到仆托肋买，那里的居民却愤愤不平，不满意这些和约，要废除所议定的事项。
13.26	里息雅便登台竭力辩解，说服了他们，赢得了他们的信心，使他们宁静下来，然后回安提约基雅去了。这就是王进军及撤兵的事。
	
	
14.0t	第十四章(46)
	
14.1t	犹大被谗谤
14.1	过了三年，犹大和他的部下知道色娄苛的儿子德默特琉带着大军及战船已在特黎颇里海口登陆，
14.2	占领了那地，杀了安提约古及他的监护人里息雅。
14.3	从前任大同祭的阿耳基慕，在与外邦人绝交时期，曾甘心自污，自知无论如何不得安全，也不能再走近圣坛；
14.4	于是在一五一年，去见德默特琉王，献给他一顶金冠和金棕榈枝，此外还献上些圣殿内常供奉的橄榄枝；他那一天没有说什么。
14.5	但当德默特琉召他来会议，询问他犹太人有何心思和企图时，他便乘机贡献那无耻的计策说：
14.6	「有一些号称哈息待的，并以犹大玛加伯为领袖的犹太人，时常发动战争，叛变无常，不让国家获得安宁。
14.7	因此，我既然被他们剥夺了祖传的光荣，即大司祭的地位，现今我来到这里：
14.8	第一，是为诚心图谋国王的福利；第二，是为替我同胞着想，因为，因了上述那些人的胆大妄为，我们整个民族受到不少的苦楚。
14.9	如今请陛下将这些事先一一调查清楚，以后设法依照陛下对天下所怀的仁德，照顾我们的家乡，及我们遭难的民族，
14.10	因为犹大一息尚存，国家决不能平安。」
14.11	他正说这些话时，王的其他憎恨犹大的亲信，也在旁助长德默特琉的声势。
14.12	于是国王立即选定曾任象队司令的尼加诺尔，委他为犹太总督，派他前去；
14.13	令他去杀犹大，解散他的部下，立阿耳基慕为那庄严圣殴的司祭长。
14.14	犹太各地被犹大所驱逐的外邦人，便都成群结队来协助，尼加诺尔认为犹太人的不幸和灾害，都于自己有利。
	
14.15t	尼加诺尔与犹大和好
14.15	"犹太人听说尼加诺尔来侵，外邦人来犯，便头上撒土，哀号那位永远保存自己的民族，又常显奇迹保护自己产业的天主,"
14.16	"然后遵照领袖的命令,立时从那里动身，在德扫村与敌人交锋。"
14.17	犹大的兄弟息孟已经与尼加诺尔交战，但因敌兵的突击，稍感不利。
14.18	"可是,尼加诺尔因为听说犹大和他的部下骁勇善战，以及他们为国作战的雄心，不敢用武力来解决，"
14.19	于是派颇息多尼、特奥多托和玛塔提雅去与犹太人商议和谈。
14.20	将条件详细考虑后，首领通知众军队，大家既一致赞同，他才同意媾和。
14.21	双方也规定了同到一地会商的日期，那天，各乘轿车来就已布置好的席位。
14.22	犹大在适宜的地方派兵防守，以免敌人背后突击；双方的谈判终于获得协议。
14.23	尼加诺尔逗留在耶路撒冷时，没有做出什么越轨的事，而且还解散了那些来协助他的队伍。
14.24	他常要犹大在自己的身边，心里也很喜欢他；
14.25	于是劝他娶妻生子，犹大便娶了妻子，享受人生乐趣。
	
14.26t	友好再次决裂
