1.-2t	依撒意亚
13.12	我要使人比提炼的黄金更少见，使人比敖非尔纯金更希罕。
13.13	为此，由于万军上主的愤怒，在他暴发怒火之日，天要震撼，地要震动，离其本位。
13.14	那时，人们将如被追逐的羚羊，又如无人率领的羊群，各自转向自己的民族，各自逃回自己的故乡。
13.15	凡被捕获的，都要被刺杀；凡被擒住的，都要丧身刀下。
13.16	他们的婴儿将在他们眼前被人摔死，他们的房屋将被洗劫，他们的妇女要受奸污。
13.17	我要鼓励玛待人来攻击他们，这些人既不重视白银，也必贪爱黄金。
13.18	他们的弓箭要刺死青年，对腹中的胎儿毫不怜恤，对于婴儿，他们的眼睛也毫不怜视。
13.19	巴比伦──万国的光辉，加色丁的骄矜荣耀，必要被上主倾覆，如同索多玛和哈摩辣一样，
13.20	永远再没有居民，世世代代无人居住；阿剌伯人不在那里设帐，牧人也不在那里立栏；
13.21	卧在那里的只有野兽，他们的房屋满了鸱煌漳裨谀抢锲芟ⅲ枉嗽谀抢镂璧福?
13.22	豺狼在宫殿里嗥叫，野狗在御苑内呼应；她的时期已来近了，她的日子不会久延。
	
	
14.0t	第十四章(32)
	
14.1t	以色列回国
14.1	上主必要怜恤雅各伯，再拣选以色列，使他们安居在自己的国土；外方人要与他们联合，加入雅各伯的家族。
14.2	选民要接受他们，要带领他们回归故里；以色列家族，在上主的国土内，要占有他们为奴婢；于是以色列人要俘掳那俘掳过他们的人，要统治压迫他们的人。
	
14.3t	咏唱讽刺诗
14.3	当上主赐你摆脱困苦、忧患和你受的苦役时，那天，
14.4	你要对巴比伦王高唱这首讽刺诗说：怎么，暴虐者住手了!强横止息了!
14.5	邪恶者的棍棒，统治者的权杖，已为上主折断，
14.6	就是那怀着怒气，三番五次痛击过万民，在忿恨中以无情的残虐，蹂躏过万邦的棍棒。
14.7	大地安谧宁静，人人兴高采烈；
14.8	连松树和黎巴嫩的香柏也都因你而喜庆：「自从你仆倒后，再没有谁上我们这里来砍伐!」
14.9	地下的阴府为了你而激动，为欢迎你的来临；并为了你，唤醒幽魂及地上所有的贵卿，使列国的君王由自己的宝座上起立；
14.10	众人都开口对你说：「连你也衰弱得和我们一样啊!你也与我们相同啊!」
14.11	你的豪华，你琴瑟的乐声，也堕入了阴府；你下面铺的是蛆，上面盖的是虫。
14.12	朝霞的儿子──晨星!你怎会从天坠下﹖倾覆万邦者!你怎么也被砍倒在地﹖
14.13	你心中曾说过：「我要直冲霄汉，高置我的御座在天主的星宿以上；我要坐在盛会的山上，极北之处；
14.14	我要升越云表，与至高者相平衡!」
14.15	然而你却下到了阴府，深渊的极处。
14.16	看见你的，必注视你，仔细端详你说：「这不是那使大地战栗，列国动荡，
14.17	化世界为荒野，摧毁城邑，不为俘囚开放监狱的人吗﹖」
14.18	万邦的君王都在荣耀中安葬，各在自己的阴宅里；
14.19	但是你却被拋于坟外，像一个叫人厌恶的流产胎儿，为刀箭杀戮的死者所掩盖，有如遭践踏的死尸。连那些被拋在石坑里的，
14.20	你也不得与他们一同埋葬，因为你破坏了你的国土，残杀了你的人民：恶人的后代永不为人所提念。
14.21	你们应为他们的儿子准备屠场，因为他们的父亲有了罪孽；他们决不能再兴起，占据大地，而使地面满是荒凉。
	
14.22t	巴比伦全毁
14.22	我要起来攻击他们──万军上主的断语──我要抹去巴比伦的名号、遗民、后裔和子孙──上主的断语。
14.23	我要使她成为刺猬的领土和池沼，我以毁灭的扫帚将她扫净──万军上主的断语。
	
14.24t	有关亚述的神谕
14.24	万军的上主起誓说：「实在，我怎样想，必怎样实现；我怎样计划，必怎样成功：
14.25	我要在我的国土内粉碎亚述，在我的山岭上将她践踏；她的重担必要由他们肩上卸下。」
14.26	这是对全地所决定的计划，这是向万邦所伸展的手臂，
14.27	因为万军的上主已决定，谁能阻止﹖他的手已伸出，谁能使它收回﹖
	
14.28t	警告培肋舍特
14.28	在阿哈次驾崩那年有以下这个神谕：
14.29	「全体培肋舍特啊!你不要因为打击你的棍棒折断了就喜悦，因为由蛇的根子将生出毒蝮，而它的子息必是飞龙。
14.30	贫苦的人在我的牧场上必得饲养，穷困的人要泰然安息；但是我要以饥荒饿死你的余生，杀绝你的遗民。
14.31	门啊!哀号罢!城啊!悲鸣罢!全体培肋舍特啊!战栗罢!因为有烟从北而来，在她的队伍中没有落伍者。」
14.32	然而要怎样答复外邦的使者﹖「上主建立了熙雍，使他民族中的忧患者，在那里获得保护。」
	
	
15.0t	第十五章(9)
	
15.1t	吊摩阿布的挽歌
15.1	有关摩阿布的神谕：实在，摩阿布的阿尔经过一夜的蹂躏，就灭亡了!实在，摩阿布的克尔经过一夜的摧残，就灭亡了!
15.2	狄朋女儿走上高丘哭泣，摩阿布为乃波和默德巴悲号；众人的头都剃光了，众人的胡须都剪去了；
15.3	有的在街道上穿著苦衣，有的在屋顶上痛哭；在广场上的，人人哀号，流泪痛哭。
15.4	赫市朋和厄肋阿肋号啕，雅哈兹都可听到他们的哭声；因此摩阿布的两腰为之颤动，她的心灵为之恐怖。
15.5	我的心为摩阿布发出哀号，她的难民已逃至左哈尔。他们哭着攀上了路希特的山坡，在曷洛纳因的道上扬起了失望的哀声。
15.6	尼默陵的水地成了荒野，青草枯焦了，嫩芽萎缩了，再也见不到青绿。
15.7	为此，他们将所有的积蓄和财物，都带过了「柳树河。」
15.8	因为哀叫声传遍了摩阿布四境，她的哭声已传到厄革拉因，她的哭声已达到贝尔厄林。
15.9	狄孟的水已满了鲜血，我还要加祸于狄孟：为摩阿布的难民和当地的遗民将有一只狮子。
	
	
16.0t	第十六章(14)
	
16.1t	向熙雍求救
16.1	那地的主宰从旷野的盘石，应传达一言，至熙雍女儿的山岭!
16.2	当时摩阿布女儿，在阿尔农渡口，犹如逃遁的小鸟，倾巢的幼雏。
16.3	「请给我们出个主意，快下个决断!使你的荫影在日中有如黑夜，遮蔽被驱逐的人，不要暴露出逃的人!
16.4	让被驱逐的摩阿布人侨居在你处，做他们的藏身地，以逃避劫掠者的面。」当压迫终止，劫掠停止，蹂躏大地的人消灭时，
16.5	必有一个宝座建立在慈惠中，在达味的帐幕内，必有一位寻求公义，急行正义的判官，凭真实坐于宝座之上。
	
16.6t	摩阿布因傲慢受罚
16.6	我们曾听到摩阿布的骄傲，极其傲慢；听到她的骄矜，她的傲慢，她的自负，她狂妄的矜夸。
16.7	为此，摩阿布必将哀哭，人人都要为摩阿布哀哭：为克尔哈勒色特的葡萄干饼，人人只有伤心叹息!
16.8	因为赫市朋的田园已零落，息贝玛的葡萄已凋谢!枝蔓为列国的君王所斩断；那些枝蔓曾蔓延到雅则尔，漫游至旷野；那些枝条曾向外伸展，越过了海洋!
16.9	为此我要参与雅则尔的痛哭，来痛哭息贝玛的葡萄；赫市朋啊!厄肋阿肋啊!我要用我的眼泪来灌溉你!因为在你夏收和秋收时，战争的呼声骤然降临!
16.10	田园中的喜乐与欢欣已敛迹，葡萄园中再也没有歌声与欢呼；榨酒的人不再在榨酒池上榨酒，欢呼的歌声已断绝!
16.11	为此，我的肝肠为摩阿布哀鸣，有如琴瑟；我的五内为克尔哈勒斯呜咽，有如箫笙。
16.12	摩阿布在高丘上纵然现得疲劳，纵然到庙宇里去祈祷，尽属枉然!
	
16.13t	神谕
16.13	这是上主以前反对摩阿布所说的话。
16.14	但是现在，上主声明说：「照雇工的年限计，三年之内，摩阿布的光荣将变为羞辱；纵然她的人数众多，剩下来的甚是稀少，毫无势力。」
	
	
17.0t	第十七章(14)
	
17.1t	大马士革的命运
17.1	有关大马士革的神谕：看，大马士革不再成为城市，将变为一堆废墟。
17.2	她的城邑将永被遗弃，成为羊群的牧场；它们偃卧在那里，无人惊扰。
17.3	厄弗辣因的堡垒将被撤除，大马士革的主权将要消失，阿兰的遗民将如以色列子民的光荣──万军上主的断语。
	
17.4t	北国的命运
17.4	到那天，雅各伯的光荣必要衰落，他肥满的身躯必要消瘦。
17.5	将如收割的人一手在抱麦秆，一手在割麦穗；又如人摘取葡萄，或在勒法因山谷采打橄榄树，
17.6	上面总有些残粒剩下，或两三粒留在树梢，或四五个留在果树的枝梢上──上主，以色列的天主的断语。
	
17.7t	警戒敬拜邪神
17.7	到那天，人必仰望自己的造主，眼睛必要注视以色列的圣者。
17.8	再不愿观看他亲手所造的祭坛；也不再顾盼他手指所制的「阿舍辣」和太阳柱。
17.9	到那天，你的坚城，将如希威人和阿摩黎人在以色列子民前所放弃的地域，成为一片荒野，
17.10	因为你忘却了拯救你的天主，不怀念作你避难所的盘石。为此，你虽栽种阿多尼花木，种植异乡的枝条；
17.11	你纵然在一日之间使你所栽种的生长，清晨使你所种植的开花，但是收获却消失在患难和绝望痛苦的日子中。
	
17.12t	亚述大军被罚
17.12	静听!许多民族在喧嚷，喧嚷得有如海啸；好多百姓在咆哮，咆哮得有如汪洋的怒号。
17.13	然而上主一叱责，他必飘逸远逃，有如为飓风卷去山上的禾秸，有如旋风前的蓟絮。
17.14	晚间尽是恐怖；天还未亮，已无踪影!这是掠夺我们者的份子，抢劫我们者的命运。
	
	
18.0t	第十八章(7)
	
18.1t	对雇士使者的劝告
18.1	那具有翼艇，位于雇士河对岸的地域，
18.2	即由海上遣发使者，在海面上乘芦舟的：「去罢!轻快的使者!到一个高瘦肤褐的民族那里去，到一个一向可畏的国家那里去，到一个强大而好胜，河流横贯其地的民族那里去!」
18.3	举世的居民和住在大地上的人哪!当山上的旗帜一举，你们要观望；号声一响，你们要静听!
18.4	因为上主曾对我这样说：「我要在我的住处宁静地观察，彷佛日光中温暖的热气，彷佛收割时炎热中的露云。」
18.5	因为在收割前，花苞已放；花蒂成熟结为葡萄时，他就要用镰刀砍去嫩枝，将参差的枝蔓斩除。
18.6	这些枝蔓都要一律被弃舍给山中的猛禽，和地上的野兽；猛禽要在其上过夏，野兽要在其上过冬。
18.7	到那时，那高瘦肤褐的民族，那一向可畏的国家，那强大而好胜，河流横贯其地的民族，要带礼品到熙雍山上，万军上主的名号的居所，献给万军的上主。
	
	
19.0t	第十九章(25)
	
19.1t	埃及受罚
19.1	有关埃及的神谕：看，上主乘着轻快的彩云，来到了埃及，埃及的偶像在他面前战栗，埃及人的心灵在己身内消溶。
19.2	我要激动埃及人相反埃及人，使人人与自己的兄弟相斗，人人与自己的近人作对，城与城争，国与国战。
19.3	埃及的精神要纷乱，我要混乱她的计谋；为此他们必要去卜问神明、巫觋、阴魂和术士。
19.4	我要把埃及交在暴君手中，暴虐的君王要统治他们──这是主，万军上主的断语。
19.5	海洋的水将干涸，江河将荒凉干旱；
19.6	水道都将发臭，埃及的河渠都要转弱干涸；芦荻和昌蒲必将萎谢；
19.7	河畔的芦苇必将枯萎，沿河的植物，尽将凋零，吹散，消灭。
19.8	渔夫必要呻吟叹息，河畔垂钓者必要悲伤，水面撒网者必要沮丧。
19.9	种植亚麻者必要羞惭，理麻妇与纺织工也都要面色苍白。
19.10	她的显贵将受轻视，受雇的工人莫不意志消沉。
19.11	左罕的首领极其愚蠢，法郎的谋士出的，尽是胡涂计谋；你们怎敢对法郎说：「我是贤者的子孙，古代帝王的后裔﹖」
19.12	你的贤士如今在那里﹖何不让他们告诉你知道，万军的上主对埃及打了什么主意!
19.13	左罕的首领都够胡涂，诺夫的首领被人愚弄，各州的诸侯使埃及陷入迷途。
19.14	上主在他们中间注入了昏神，叫他们使埃及在自己所作的事上无不错乱，有如醉汉在呕吐中打滚。
19.15	不论是为首的、为尾的、为棕枝的、或为芦苇的作什么，为埃及无所作为。
	
19.16t	埃及皈依
19.16	到那天，埃及面对着正在她身上挥动着的万军上主的手臂，将如妇女般的战栗害怕。
19.17	犹大地将成为埃及的恐怖；凡提及她的，无不对万军的上主对埃及所打的主意而害怕。
19.18	到那天，在埃及境内将有五座城说客纳罕话，并指着万军的上主起誓，且有一座称作「太阳城。」
19.19	到那天，在埃及地域中，将有一座献与上主的祭坛，在她的边界上，将有一个为上主建立的石柱。
19.20	这在埃及境内，将成为万军上主的记号和证据：当他们面临迫害呼号上主时，他必给他们遣发一位救主，来奋斗拯救他们。
19.21	到那天，上主将为埃及所认识，埃及要认识上主，并奉献牺牲和祭品，向上主许愿还愿。
19.22	上主将打击埃及，打击只是为医治；他们要归依上主，上主要俯听他们，要医治他们。
19.23	到那天，将有一条大路，由埃及通至亚述：亚述人要到埃及去，埃及人要到亚述来；埃及和亚述将共同敬拜上主。
19.24	到那天，以色列将属第三，联同埃及和亚述成为大地上受祝福的，
19.25	因为万军的上主曾这样降福说：「我的百姓埃及，我双手的工程亚述，我的嗣业以色列，是应受降福的!」
	
	
20.0t	第二十章(6)
	
20.1t	先知裸体游行的象征
20.1	亚述王撒尔贡派遣总司令来到阿市多得，进攻克服阿市多得的那一年──
20.2	那时上主曾藉阿摩兹的儿子依撒意亚发言说：「去!脱下你腰间的苦衣，除去你脚上的鞋!」他就这样作了，裸体赤足而行──
20.3	上主说：「就如我的仆人依撒意亚，三年之久，裸体赤足而行，为埃及和雇士是一个预言和先兆；
20.4	同样亚述王要将埃及的俘虏和雇士的流徒带走，无论老幼，一律裸体赤足，露着下体，好羞辱埃及。」
20.5	人们将对他们的仰望雇士，对他们的光荣埃及，感到失望和羞惭。
20.6	这一带海滨的居民，在那天要说：「看!这原是我们所依赖，跑去求救，借以摆脱亚述王的人!我们又怎能逃避呢﹖」
	
	
21.0t	第二十一章(17)
	
21.1t	预言巴比伦陷落
21.1	有关瀚海的神谕：犹如风暴由南方扫来；同样，仇敌将由沙漠，由可怕之地而来。
21.2	一凄惨的神视显示给我：抢夺的尽量抢夺，破坏的尽量破坏。厄蓝，上前!玛待，围攻!我要结束所有的叹息!
21.3	为此我的两腰满是酸痛，侵袭我的剧痛无异产妇的痛苦；我惶乱得不能再听，我昏迷得不能再看。
21.4	我的心神错乱了，恐怖骤然袭击了我；我所渴望的黄昏，为我反成了恐怖。
21.5	盛宴已摆，华毯已铺，人们正在吃喝之际：「将帅们!起来!用油擦盾!」
21.6	因为吾主对我这样说：「去!派置一个警卫，叫他报告他所见的!
21.7	当他见到骑兵队、一对一对的马兵、驴队和骆驼队时，他要注意，要多多注意!」
21.8	守望者喊叫：「吾主!我整日站在瞭望台上，长夜鹄立在我的守望所。
21.9	看哪!来了一队人马，一对一对的骑兵!」有一个喊叫说：「陷落了!巴比伦陷落了!她所有的神像也都摔碎在地!」
21.10	我那被碾轧的百姓，我那禾场上的子民!凡是我由万军的上主，以色列的天主所听到的，我都告诉了你们。
	
21.11t	厄东的灾难未完
21.11	有关厄东的神谕：从色依尔有人向我喊叫说：「警卫!夜已何时了﹖夜已何时了﹖」
21.12	警卫答说：「黎明已至，然而仍是黑夜；如果你们仍要询问，询问罢!再来一次!」
	
21.13t	刻达尔逃难
21.13	有关荒野的神谕：你们在森林中，在荒野里过宿罢!德丹的商旅，
21.14	请携水出来迎接口渴的人!特玛地的居民，请备粮接待逃难的人!
21.15	因为他们出逃，是由于面临刀剑，面临出鞘的刀剑，面临已张的弓弩，面临激烈的战争。
21.16	上主曾这样对我说：「照雇工的年限计，还有三年，刻达尔所有的荣耀都要完结；
21.17	刻达尔子民的英勇弓手人数，剩下的很少。」因为上主以色列的天主，早就这样说了。
	
	
22.0t	第二十二章(25)
	
22.1t	反对耶京的神谕
22.1	有关「神视谷」的神谕：你究竟为了什么上了屋顶﹖
22.2	你这座充满喧哗嘈杂的城市，享乐的都会!你的被杀者并不是被杀于刀剑，也不是死于战场。
22.3	你所有的官长都结伴逃遁，窜逃远方；你所有的将士也都集体被俘，弃弓就缚。
22.4	为此我说：「你们不要管我，让我痛哭一场罢!也不要为了我民族的女儿的零落，有劳你们来安慰我!」
22.5	因为这是一个混乱、蹂躏、惶惑的日子，是属于吾主万军的上主的日子；在「神视谷」内，城墙倒塌，喊声震撼山岳。
22.6	厄蓝取了箭囊，阿兰骑上了战马，克尔亮出了盾牌。
22.7	你最富丽的山谷充满了战车，骑兵已在门前布好阵势。
22.8	犹大的屏障已被揭开。那天你们只仰望林宫内的武器，
22.9	只看见了达味城上的许多裂缝，聚集了下池塘的蓄水，
22.10	计算了耶路撒冷的房屋，拆毁了民房来巩固城墙，
22.11	在两城墙之间，又凿了个蓄水池，来贮藏池塘的水；却没有仰望这事的主事者，也没有回顾那老早计划了这事的。
22.12	那天，吾主万军的上主本来叫人哭泣、哀号、削发、腰束苦衣；
22.13	但是，看，仍是欢跃喜乐，宰牛杀羊，饮酒食肉：「吃喝罢!明天我们就要死啦!」
22.14	万军的上主亲自附耳传示给我说：「决不赦免你们这罪恶，除非你们死去。」吾主万军的上主这样说。
	
22.15t	反对舍布纳的神谕
22.15	有关宫殿总管舍布纳的神谕：吾主万军的上主这样说：去!到那个在高处给自己凿坟墓，
22.16	在岩石间给自己辟寝室的家宰那里去，对他说：「你在这里有什么东西﹖你在这里有什么人，竟在这里为你凿坟墓﹖
22.17	看哪!上主要大力一掷，把你掷得远远的；他要抓紧你，
22.18	将你卷了又卷，卷成一团，如一圆球，拋掷到广阔之地。你要死在那里，连你的彩车也要毁灭，你这个王宫的耻辱!
22.19	我要革你的职，撤你的位。
22.20	到那天，我要召希耳克雅的儿子厄里雅金作我的仆人。
22.21	我要把你的朝衣给他穿上，把你的玉带给他束上，将你的治权交在他手中；他将作耶路撒冷居民和犹大家室的慈父。
22.22	我要将达味家室的钥匙放在他肩上；他开了，没有人能关；他关了，没有人能开。
22.23	我要坚定他，有如钉在稳固地方的木橛；他将成为他父家荣誉的宝座。
22.24	他父家全部的荣耀、细枝、嫩芽、各种细小的物品，自碗具以至各种壶瓶都悬挂在它上面。
22.25	到那一天──万军上主的断语──钉在稳固地方的木橛必将脱落，破裂，掉下来，上面所挂的重载也要摔得粉碎。因为上主说了。
	
	
23.0t	第二十三章(18)
	
23.1t	提洛受罚
23.1	有关提洛的神谕：你们哀号罢!塔尔史士的船只!因为你们的堡垒已遭破坏。由基廷地归来的，他们得到了这消息。
23.2	海滨的居民，静默罢!漆冬的商贾曾充实了你。
23.3	在大水之上运来的，是史曷尔的谷物；尼罗河的收获，是她的财富；她成了万民的商场。
23.4	漆冬!羞惭罢!因为海说过：【即海中的堡垒说过：】「我没有分娩过，也没有生产过；没有抚养过青年，也没有养育过处女。」
23.5	这风声一传到了埃及，大家都为了提洛的消息而战栗。
23.6	你们过海到塔尔史士去罢!海滨的居民你们哀号罢!
23.7	这就是你们所夸耀的城吗﹖她本起源于上古，她的双脚曾将她带至远方寄居。
23.8	是谁策划了这事，来反对加过冕的提洛﹖她得商贾本来都是王侯，商贩本来都是地上的显要。
23.9	是万军的上主策划了这事，为打击她一切自矜的狂傲，侮辱地上所有的显要。
23.10	塔尔史士女儿!耕种你的地罢!海港也不在了!
23.11	上主的手已伸在海上，使万国战栗震惊；上主对客纳罕已决定，要摧毁她的要塞。
23.12	他说过：「漆冬女儿!遭虐待的处女，你不要再欢乐!起来，往基廷去!在那里你也得不到安宁!」
23.13	看基廷的地域!【她已不成为民族，亚述已将她委弃予野兽；】人设立了高塔，毁坏了她的宫殿，使她成了一片废墟。
23.14	塔尔史士的船只!你们哀号罢!因为你们的堡垒已遭破坏!

23.15t	提洛复兴
23.15	到那天，提洛将被遗忘七十年之久，有如一位君王的岁月。过了七十年，提洛要像妓女歌曲中所唱的：
23.16	「被遗忘的妓女!拿琴游城罢﹖巧弹多唱罢!好使人再记起你来!」
23.17	过了七十年，上主要眷顾提洛，她要再接受缠头，与地面世上各国交易。
23.18	她的赢利和她的进项将祝圣与上主，必不再贮藏积蓄起来，因为她的赢利将归于那些在上主面前度日的人，使他们吃得饱，穿得体面。
	
	
24.0t	第二十四章(23)
	
24.1t	全世受罚
24.1	看!上主使大地空虚，使它变为荒凉，翻转它的面目，使它的居民四散：
24.2	那时怎样对百姓，也怎样对司祭；怎样对仆人，也怎样对主人；怎样对婢女，也怎样对主母；怎样对主顾，也怎样对商贾；怎样对债户，也怎样对债主；怎样对贷方，也怎样对借方。
24.3	大地必要完全荒废，惨遭浩劫，因为上主这样定了。
24.4	大地痛哭哀伤，世界衰颓零落，上天与下地一同衰颓。
24.5	大地在居民脚下已被玷污，因为他们越规犯法，破坏了永久的盟约。
24.6	为此诅咒吞噬了大地，其中的居民受了罪罚；为此地上的居民受了折损，剩下来的人数极少。
24.7	新酒哀伤，葡萄凋残；心情愉快的，都长声叹息!
24.8	小鼓的喜乐已停止，欢笑的喧嚷已终结，琴瑟的喜乐已止息。
24.9	人不再饮酒作乐，喝了浓酒的反觉酸苦!
24.10	空虚的城市已破残，家家户户都已关门闭户!
24.11	广场上有人为酒而嗟叹，万般娱乐已阑尽，大地的喜乐遭放逐!
24.12	城中所留的只是凄凉，门户被打得粉碎!
	
24.13t	雨后残蕾
24.13	诚然，大地间万民中，必像打过的橄榄树，或如收割葡萄后所余的残粒。
24.14	他们要提高声音歌颂上主的尊严：「万民啊!你们欢呼罢!
24.15	你们在东方的，应颂扬上主!住在海岛上的，应颂扬上主，以色列的天主的名!
24.16	我们从地极听到了歌声：光荣属于正义者。」然而我说：「我有祸了!我有祸了!我好可怜!反叛的仍在反叛，反叛的仍在极力的反叛!」
24.17	地上的居民啊!恐怖、陷阱、罗网，都聚集在你身上。
24.18	那逃得了恐怖声音的，必要落在陷阱里；那由陷阱中跳出来的，必要落在罗网中!
	
24.19t	天地剧变
24.19	的确，天上闸门已开放，大地基础已动荡。大地必将粉碎又粉碎，大地必将崩裂又崩裂，大地必将动摇又动摇!
24.20	大地必东摇西晃，有如一个醉汉，摇荡得好比一座帐幕；自己的罪恶又重压在上面，倒塌了不能再起!
24.21	到那一天，上主要在高天审视天上所有的军旅，要在下地察考地上所有的君主。
24.22	他们将被聚集起来，关在深坑内，监禁在监牢里；待过了许多时日，将受惩罚。
24.23	那时，月亮要脸红，太阳要羞惭，因为万军的上主要在熙雍山上，要在耶路撒冷为王，在他的长老面前要备受颂扬。
	
	
25.0t	第二十五章(12)
	
25.1t	感恩歌
25.1	上主!你是我的天主，我要称扬你，我要赞颂你的名，因为你忠实真诚地成就了你旧日的奇妙计划。
25.2	因为你使那城成了一堆瓦砾，使设防的城市化为一片荒凉，使傲慢人的城堡不像城市，永远不得重建。
25.3	为此，强大的民族要颂扬你，威武邦国的城市要敬畏你。
25.4	因为你是穷苦人的屏障，是患难中贫乏人的屏障，避风暴的藏身处，避炎热的荫凉所；因为残暴人的狂怒有如冬日的暴风，
25.5	有如旱地上的炎热。傲慢人的狂暴你已抑止，有如浓荫减轻了热气；连残暴人的歌声也从此低降。
	
25.6t	设宴圣山
25.6	万军的上主在这座山上，要为万民摆设肥甘的盛宴，美酒的盛宴；肥甘是精选的，美酒是醇清的。
25.7	在这座山上，你要撤除那封在万民上的封面，那盖在各国上的帷幔。
25.8	他要永远取消死亡，吾主上主要从人人的脸上拭去泪痕，要由整个地面除去自己民族的耻辱：因为上主说了。
	
25.9t	选民欢乐
25.9	到那一天，人要说：「看!这是我们所依赖拯救我们的天主；这是我们所依赖的上主，我们要因他的救援鼓舞喜乐，
25.10	因为上主的手停留在这山上。」敌人要在自己的地方受践踏，有如禾秸被践踏在粪坑之中。
25.11	他要在其中伸开双手，如同游泳的伸手游泳；但他的傲慢和他的手段已受了挫折。
25.12	他城墙上高耸的堡垒必被打倒、推翻，倒在地上化为尘埃。
	
	
26.0t	第二十六章(21)
	
26.1t	凯旋歌
26.1	那一天，犹大地要咏唱这首歌曲：「我们有座坚城，以救援作城墙与外郭。
26.2	你们打开城门，好让遵守信实的正义民族进去。
26.3	你的意志坚定，因而你保全了永久的和平，故此人对你有信赖。
26.4	你们应永远信赖上主，因为上主是永固的盘石。
26.5	他曾屈服了居高位的人，推翻了高耸的城市，将她推翻在地，使她粉碎，化为尘埃。
26.6	践踏她的，却是困苦人的脚，是贫穷人的脚。」
	
26.7t	虔诚的祷词
26.7	义人的道路是正直的，你上主啊，削平了正直人的途径。
26.8	的确，上主!我们在你正义的路上期待你!你的名号，你的记念，是我们心灵的欲望。
26.9	我们的心灵在夜间渴望你，我们的心神在清晨寻觅你，因为当你的决断显于大地时，世上的居民都要学习正义。
26.10	恶人虽然蒙受了怜悯，仍然不学习正义，在世上依然颠倒是非，毫不顾及上主的威严。
26.11	上主!你的手虽已高举，但他们仍看不见；愿他们见到你对百姓的热忱而感到惭愧；并愿你为你仇敌所保留的烈火吞灭他们!
26.12	上主!是你赐与了我们和平，因为凡我们所做的，都是你为我们成就的!
26.13	上主，我们的天主!除你以外，还有别的主宰治理过我们；然而我们所称扬的，只有你，你的名号。
26.14	死去的人不会再活，幽魂也不会复生，因为你如此惩罚了，并消灭了他们，使他们所有的记念尽被遗忘。
26.15	你增加了本国的人民，上主，你增加了本国的人民，你得了光荣，你拓展了国家所有的边界。
26.16	上主!我们在困难之中寻求了你，我们在压迫之中呼求了你，因为那是你对我们的惩罚。
26.17	有如怀妊临产的妇女，在苦痛中痉挛呻吟；同样，上主!我们在你面前也是如此：
26.18	我们也像怀妊痉挛；然而所产的竟是风，没有给大地带来救恩，世界的居民也未因此而得生。
26.19	你的亡者将再生，他们的尸体将要起立；睡在尘埃中的人们都要苏醒歌咏，因为你的朝露是晶莹的朝露，大地将拋出幽灵。
	
26.20t	静待救恩
26.20	我的百姓!去，进入你的内室，关上门，隐藏片刻，等待盛怒过去。
26.21	因为，看哪!上主已由自己的地方出来惩罚大地居民的罪恶，大地要暴露自己吞下的鲜血，不再遮掩被杀的人。
	
	
27.0t	第二十七章(13)
	
27.1t	上主的最后胜利
27.1	到那一天，上主要用他那厉害、巨大、猛烈的剑，来惩罚「里外雅堂」飞龙，和「里外雅堂」蜿蛇；并要击杀海中的蛟龙。
	
27.2t	葡萄园歌
27.2	到那一天，你们要唱「那可爱的葡萄园」歌：
27.3	「我，上主，亲自作它的护守者，时加灌溉；我要日夜护守，免得受人侵害。
27.4	我再没有怒气；万一有了荆棘和蒺藜，我必前去攻击，将它完全焚毁；
27.5	除非不求我保护，不与我讲和，不与我和好．．．」
27.6	来日雅各伯将生根，以色列要发芽开花，她的果实要布满地面。
	
27.7t	以民受罚后回国
27.7	上主打击以色列，那里像他打击那些打击以色列的人呢﹖上主击杀以色列，那里像他击杀那些击杀以色列的人呢﹖
27.8	上主以离弃，以驱逐，惩罚了她；在吹东风的日子，藉巨风将她卷去。
27.9	惟其如此，雅各伯的罪过方得消除；她的罪孽得以赦免的代价，即在于她将祭坛所有的石块，打得粉碎有如石灰，不在树立「阿舍辣」和太阳柱。
27.10	的确，设防的城市已荒凉，成了被撇下和放弃的住宅，有如荒野。牛犊在那里牧放，在那里偃卧，吃尽了那里的枝叶。
27.11	几时树枝枯萎，就自会断落，妇女便来拿去烧火；她既不是个聪敏的民族，因此那创造她的，对她没有怜悯；那形成她的，对她也不表恩情。
27.12	到那一天，上主要从大河流域到埃及河畔收割果实，以色列子民啊!你们都要一个一个地被聚集起来。
27.13	到那一天，要吹起大号筒，凡是在亚述失迷的，在埃及地分散的，都要前来，在耶路撒冷圣山，朝拜上主。
	
	
28.0t	第二十八章(29)
	
28.1t	撒玛黎雅的末日
28.1	祸哉，那为酒灌倒的厄弗辣因醉汉所骄矜的冠冕!祸哉，那生于肥谷之巅作她美饰的残花!
28.2	看哪!吾主兴起一位强有力者，有如带冰雹的暴雨，又如摧毁性的狂风，和涨溢泛滥的大水，猛力将一切拋落地上。
28.3	厄弗辣因醉汉所骄矜的冠冕，必被人踏在脚下；
28.4	生于肥谷之巅作她美饰的残花，将如夏季前早熟的无花果，人一见到便伸手摘取吞下。
28.5	到那一天，万军的上主将亲作他残余的百姓的荣冠和华冕；
28.6	他将是坐堂判案者的公义之神，将是城门前御敌者的力量。
	
28.7t	斥责耶京政要
28.7	连这些人也因清酒而摇晃，因浓酒而蹒跚；他们在异象中摇晃，在审断时晕眩。
