1.-1t	前编 攻占许地(1-12)
10.24	当人们把那些王子带到若苏厄面前时，若苏厄将所有的以色列人召来，对那些与他同去作战的军长说：「你们前来，将脚踏在这些王子的脖子上! 」他们就前来，将脚踏在那些王子的脖子上。
10.25	若苏厄对他们说：「你们不要害怕，不要沮丧，只要勇敢果断，因为上主必要这样对待你们所征服的一切仇人。」
10.26	随后，若苏厄将那五个王子杀死，将他们悬在五棵树上，直悬到晚上。
10.27	到太阳快落时候，若苏厄命人将他们由树上放下来，丢在他们藏过的山洞里，用大石头塞住洞口；那些大石至今尚在。 
	
10.28t	攻取南部城市
	
10.28	若苏厄当天就占领了玛克达，并用利剑击杀了那城和城中的王子，并将城中的一切生灵完全毁灭，一个也没有留下；他对待玛刻达王如对待耶里哥王一样。
10.29	若苏厄和跟随他的众以色列人，由玛刻达往里贝纳进攻，攻打里贝纳。
10.30	上主也将这城和城中的王子交在以色列人手中；他们用利剑击杀了城和城中的一切生灵，一个也没有留下；他对待这城中的王子，如对待耶里哥王一样。
10.31	若苏厄和跟随他的众以色列人，又从里贝纳往拉基士推进，围攻拉基士，
10.32	上主将拉基士也交在以色列人手中。第二天若苏厄攻取了拉基士，用利剑击杀了那城和城中的一切生灵，全如对待里贝纳一样。
10.33	那时革则尔王曷兰上来援救拉基士，若苏厄也将他和他的人民杀尽，一个也没有留下。
10.34	此后，若苏厄和跟随他的众以色列人，由拉基士往厄革隆推进，围攻厄革隆。
10.35	当夜攻下了那城，并在那天用利剑杀尽了那城和城中的一切生灵，全如对待拉基士一样。
10.36	此后，若苏厄和跟随他的众以色列人，从厄革隆上到赫贝龙，攻打那城；
10.37	占领后，用利剑击杀了那城和城中的王子，以及属于他的城邑和城邑中的一切生灵，一个也没有留下；将那城和城中一切生灵完全消灭，全如对待厄革隆一样。
10.38	此后，若苏厄和跟随他的众以色列人，转身向德彼尔推进，攻打那城，
10.39	获得了那城和那城的王子，以及属德彼尔的一切城邑后，用利剑击杀了他们，将这些城内的一切生灵完全毁灭，一个也没有留下；对待德彼尔城和城中的王子，有如对待赫贝龙和赫贝龙的王子一样，又如对待里贝纳和里贝纳王子一样。
10.40	若苏厄征服了那一带地方包括山地、乃革布、平原、山坡和那些地方的王子；并照上主以色列的天主的命令，消灭了所有的生灵，一个也没有留下，
10.41	由卡德士巴尔乃亚起，直到迦萨，以及哥笙全境，直到基贝红。
10.42	若苏厄这次出征，能获取所有的王子和他们的土地，是因为上主以色列的天主在为以色列人作战。
10.43	以后，若苏厄和所有跟随他的以色列人，回到基耳加耳营。
	
11.0t	第十一章
	
11.1t	北方联盟反抗
	
11.1	哈祚尔王雅宾一听见这事，便派人去见玛冬王约巴布，史默龙王，阿革沙夫王，
11.2	和住在北方山区，基乃勒特南方平原低地，和西方的多尔高原诸王；
11.3	又去见东西各地的客纳罕人、阿摩黎人、希威人、培黎齐人，以及住在山区的耶步斯人，和赫尔孟山麓米兹帕地方的赫特人。
11.4	他们都带领自己所有的军队出发，人数多如海边的沙粒，还有很多的马队和车辆。
11.5	这些王子都会合一起，来到默龙水边扎营，要同以色列人交战。 
	
11.6t	联军溃败
	
11.6	上主对若苏厄说：「在这些人面前，你不要害怕，因为明天这时，我必要使他们全在以色列人面前被杀；你要砍断他们的马蹄筋，火烧他们的车辆。」
11.7	若苏厄遂率领自己的军民突至默龙水旁，向他们进攻。
11.8	上主将他们交在以色列人手中，以色列人击杀他们，往西直追到大漆冬和米斯勒佛特玛殷，往东直追到米兹帕山谷，将他们杀得没有剩下一个。
11.9	若苏厄便照上主指示他的，对待了他们，砍断了他们的马碲筋，火烧了他们的车辆。 
	
11.10t	占领北方要城
	
11.10	若苏厄班师回来时，夺取了哈祚尔，用刀斩了哈祚尔王。──原来哈祚尔以前是这些王国的都城。
11.11	又将城内的一切生灵，用刀杀死，完全予以毁灭，没有留下一个生灵，以后放火烧了哈祚尔城。
11.12	若苏厄夺取了那些王子的一切城邑，生擒那些王子，将王子用刀杀死，将城池完全予以毁灭，全照上主的仆人梅瑟所吩咐的。
11.13	至于那些处于土丘上的城市，除哈祚尔外，以色列人都没有焚毁：若苏厄只烧了哈祚尔。
11.14	那些城中所有的财物和牲畜，以色列人都抢了来，归为己有：所有的人都用刀杀死，完全予以毁灭，没有留下一个生灵。
11.15	上主怎样吩咐□的仆人梅瑟，梅瑟也怎样吩咐了若苏厄，若苏厄也就怎样办了。凡上主吩咐梅瑟的事，若苏厄没有不照办的。 
	
11.16t	占领区一览
	
11.16	这样，若苏厄占领了那整个地区：包括山地，整个南方，哥笙全境，平原，阿辣巴原野，以色列山地和附近平原，
11.17	由上色依尔去的哈拉克山起，一直到赫尔孟山麓，黎巴嫩山谷间的巴尔加得：各城的王子都被生□，都被杀死。
11.18	若苏厄同这些王子交战，时日颇为长久，
11.19	因为除住在基贝红的希威人外，没有一座城愿与以色列子民媾和，都是以色列人用武力攻取的。
11.20	原来这是上主的意思，叫他们心硬，来与以色列人交战，好使他们遭受无情的毁灭，澈底的破坏，正如上主对梅瑟所吩咐的。
11.21	以后若苏厄出兵，消灭了赫贝龙、德彼尔、阿纳布山地、犹大山地和以色列山地所有的阿纳克人，毁灭了他们和他们所有的城市。
11.22	这样，以色列子民境内，没有剩下一个阿纳克人，只在迦萨、加特和阿市多得还有。
11.23	若苏厄占领了那整个地区，全如上主对梅瑟所说的；若苏厄遂将这地区按照以色列支派分给他们作产业。以后国内升平，再无战事。
	
12.0t	第十二章
	
12.1t	河东占领区
	
12.1	以色列子民在约但河东岸所占领的地区，是自阿尔农谷直到赫尔孟山和东边的全阿辣巴。以下是他们所征服的地区的王子：
12.2	一个是住在赫市朋的阿摩黎王息红；他管辖的地区，是从阿尔农谷旁的阿洛厄尔起，包括山谷中心，基肋阿得的一半，直到位于阿孟子民的边界雅波克河；
12.3	东边有阿辣巴，上至基乃勒特海，下至阿辣巴海，即盐海；东到贝特耶史摩特，南到丕斯加山麓。
12.4	另一个是巴商王敖格，他原是勒法因的遗民，住在阿市塔洛特和厄德勒
12.5	他统治赫尔孟山区，撒耳加和巴商全境，直到革叔尔人和玛阿加人的边界，以及另一半基肋阿得直到赫市朋王息红的边界。
12.6	上主的仆人梅瑟和以色列子民征服了他们，上主的仆人梅瑟遂将地分给了勒乌本人、加得人和默纳协半支派，作为产业。 
	
12.7t	河西占领区
	
12.7	以下是若苏厄和以色列子民，在约但河西岸，从黎巴嫩山谷的巴耳加得起，直到上色依尔去的哈拉克山，所征服的地区的王子：──若苏厄将这地，照以色列各支派分给了他们作产业：
12.8	即赫特人、阿摩黎人、客纳罕人、培黎齐人、希威人和耶步斯人所住的山区、平原、阿辣巴、山坡、旷野和乃革布──
12.9	耶里哥王一个，贝特耳附近的哈依王一个，
12.10	耶路撒冷王一个，赫贝龙王一个，
12.11	雅尔慕特王一个，拉基士王一个，
12.12	厄革隆王一个，革则尔王一个，
12.13	德彼尔王一个，革尔德王一个，
12.14	曷尔玛王一个，阿辣得王一个，
12.15	里贝纳王一个，阿杜蓝王一个，
12.16	玛刻达王一个，贝特耳王一个，
12.17	塔普亚王一个，赫费尔王一个，
12.18	阿费克王一个，拉沙龙王一个，
12.19	玛冬王一个，哈祚尔王一个，
12.20	史默龙王一个，阿革沙夫王一个，
12.21	塔纳客王一个，默基多王一个，
12.22	刻德士王一个，加尔默耳的约刻乃罕王一个，
12.23	多尔山岗的多尔王一个，加里肋亚的异族王一个，提尔匝王一个，──共计三十一个王子。
	
13.-1t	后编 分划许地(13-22)
	
13.0t	第十三章
	
13.1t	尚未征服之地
	
13.1	若苏厄年纪已老，上主对他说：「你年纪已老，但还有广大的地区应当占领。
13.2	还应占领的地区：是培肋舍特人的整个地区，和革叔尔人的全境；
13.3	由埃及东方的史曷尔，到北方的厄刻龙的边界，这是属客纳罕人的地区；那五个培肋舍特酋长所管辖的迦萨人、阿市多得人、阿市刻隆人、加特人和厄刻龙人的地区，以南方的阿威人地区；
13.4	还有客纳罕人的全境，即由漆冬人的阿辣，直到阿费克，而直到阿摩黎人的边界地区；
13.5	还有革巴耳人的地区，及东方的整个黎巴嫩区，由赫尔孟山麓巴耳加得，直到哈玛特关口。
13.6	从黎巴嫩直到西方的米斯勒佛特玛殷，所有住在山地的居民，所有的漆冬人，我必从以色列子民面前，把他们赶走。你只管照我指示你的，将这地区抽签分给以色列人作为产业。
13.7	现在你要这地方分给九支派和默纳协半支派作为产业。」
13.8	默纳协另半支派和勒乌本并加得二支派，已经得了梅瑟在约但河东岸分给他们的产业；按上主的仆人梅瑟分给他们的产业，
13.9	是从阿尔农谷旁的阿洛厄尔起，包括谷中的城邑，全默尔巴高原，直到狄朋；
13.10	还有在赫市朋为王的阿摩黎人王息红所有的城市，直到阿孟子民的边疆；
13.11	还有基肋阿得和革叔尔人与玛阿加人的领土，以及全赫尔孟山，全巴商，一直到撒耳加；
13.12	又巴商王敖格的全国领土，他原是勒法因人最后的遗族，在阿市塔洛特和厄德勒为王。这些地方的人，都被梅瑟击败赶走了。
13.13	以色列子民□没有赶走革叔尔人和玛阿加人，因此革叔尔人和玛阿加人直到现在仍住在以色列人中间。
13.14	惟独肋未支派没有分得产业，因为上主以色列的天主自己是他们的产业，有如上主对他们所说的。 
	
13.15t	勒乌本人所得之地
	
13.15	梅瑟给勒乌本支派，按照他们的家族，分了一份产业。
13.16	他们的地区，是从阿尔农谷旁的阿洛厄尔，包括中谷的城邑，直到默德巴整个高原。
13.17	赫市朋和在这高原所有的城市：狄朋、巴摩特巴尔、贝特巴尔默红、
13.18	雅哈兹、刻德摩特、默法阿特、
13.19	刻黎雅塔因、息贝玛、山中盆地的责勒特沙哈尔、
13.20	贝特培敖尔、丕斯加山坡、贝特耶史摩特、
13.21	高原上各城市，和在赫市朋为王的阿摩黎人王息红的整个国土。梅瑟曾杀了息红和住在那地方上的息红藩属，米德扬的酋长：厄威、勒狄、族尔、胡尔和勒巴。
13.22	以色列子民杀这些人时，也用刀杀了贝敖尔的儿子巴郎术士。
13.23	勒乌本子孙的地区以约但河为界：以上是勒乌本子孙按照家族，分得作为产业的城市和所属的村镇。 
	
13.24t	加得人所得之地
	
13.24	梅瑟按照他们的家族，给加得支派，给加得子孙，分得了一份产业。
13.25	他们的地区是雅则尔，基肋阿得所有的城邑和阿孟人的一半土地，直到勒巴对面的阿洛厄尔；
13.26	又从赫市朋直到勒玛特米兹帕和贝托宁、从玛哈纳殷到罗德巴尔的边境；
13.27	还有谷中盆地的贝特哈兰、贝特尼默辣、稣苛特、匝丰、赫市朋王息红国中的其余土地；以约但河为界，沿约但河东岸直到基乃勒特海的顶端：
13.28	以上是加得子孙按照家族，分得作为产业的城市和所属的村镇。 
	
13.29t	默纳协半支派所得之地
	
13.29	梅瑟也给默纳协半支派，给默纳协半支派子孙，按照他们的家族，分了一份产业。
13.30	他们的地区是起自玛哈纳殷，包括全部巴商，即巴商王敖格的全部国土，巴商境内属雅依尔的各村庄，共六十村庄；
13.31	还有基肋阿得的一半和敖格在巴商的都城阿市塔洛特和厄德勒：以上地区按照家族，分给了默纳协的儿子玛基尔的子孙，即玛基尔的一半子孙。
13.32	以上是梅瑟在约但河东岸，耶里哥面对摩阿布旷野里，所划分的产业。
13.33	至于肋未支派，梅瑟没有给他们分配产业，因为上主以色列的天主自己是他们的产业，有如上主对他们所说的。
	
14.0t	第十四章
	
14.1t	河西地的划分
	
14.1	以下是以色列子孙在客纳罕地所得的产业，那是司祭厄肋阿匝尔和农的儿子若苏厄，以及以色列子民各支派的族长给他们划分的，
14.2	按照上主藉梅瑟吩咐的，以抽签方式将土地分给了九个半支派，
14.3	因为梅瑟在约但河东，已将产业分给了另两个支派；在他们中只没有给肋未人分配产业。
14.4	实际上，若瑟的子孙形成了两个支派，即默纳协和厄弗辣因。虽没有分配给肋未人产业，却给了他们一些城市作住所，和城郊草地，为牧放他们的的牲畜和羊群。
14.5	上主怎样吩咐了梅瑟，以色列子民便怎样进行划分土地。 
	
14.6t	加肋布所得之地
	
14.6	犹大的子孙来到基加耳见若苏厄时，刻纳次族耶孚乃的儿子加肋布对若苏厄说：「上主在卡德士巴尔乃亚，关于你和我对天主的人梅瑟所说的话，你是知道的。
14.7	当上主的仆人梅瑟从卡德士巴尔乃亚，派我去侦探这地方时，我正十四岁，我全按我的良心回报了□。
14.8	当与我一同上去的弟兄们使百姓丧气时，我始终服从了上主我的天主。
14.9	那天梅瑟曾起誓说：凡你的脚所踏过的地方，必定永久归你和你的子孙作为产业，因为你始终服从了上主我的天主。
14.10	现在你看，自从上主对梅瑟说了这话，上主便照所应许的，使我又活了四十五岁，经过了以色列人在旷野漂流的时期，现在我已是八十五岁的人了。
14.11	但我现在还很强壮，如梅瑟派我去的那天一样；不拘是打仗或是出入行动，我现在的力量和那时完全一样。
14.12	现在，请你将上主那天所许下的这山地赐给我，因为那天你也曾亲自听过这话。固然，那里有阿纳克人，城池又大又坚固，或许上主会与我同在，照上主所应许的，我能将他们赶走。」
14.13	若苏厄就祝福了他，将赫贝龙给了耶孚乃的儿子加肋布作为产业。
14.14	因此赫贝龙直到今日仍为刻纳次族人耶孚乃的儿子加肋布的产业，因为他始终服从了上主以色列的天主。
14.15	赫贝龙以前名叫克黎雅特阿尔巴，阿尔巴原是阿纳克人中的一个伟人。以后国内升平，再无战事。
	
15.0t	第十五章
	
15.1t	犹大支派的边界
	
15.1	犹大支派的子孙按照家族，抽签分得的土地是在极南部，以厄东边境为界，南至亲旷野。
15.2	南方的边界起自盐海顶端，即海湾南端，
15.3	沿阿刻辣宾山坡之南，经亲旷野，上至卡德士巴尔乃亚之南，再由此经过赫兹龙，上至阿达尔，再绕过卡尔卡，
15.4	穿过阿兹孟直到埃及小河，而后廷至大海：以上是他们南方的边界。
15.5	东方的边界是自盐海直到约但河口；北方的边界是起自约但河口的海湾，
15.6	上至贝特曷革拉，经过贝特阿拉巴北部，上至勒乌本人波罕的盘石；
15.7	再由此上至德彼尔，沿阿苛尔山谷，往北转向位于谷南的阿杜明山坡对面的革里罗特，再经默士水泉，直到洛革耳泉。
15.8	以后再由此沿本希农山谷而上，直达耶步斯，即耶路撒冷的南侧，再上至俯视本希农山谷西方的山顶，这山位于勒法因平原的北端。
15.9	再由这山顶转向乃费托亚水泉，直到厄斐龙山，然后转向巴阿拉，──即克黎雅特耶阿陵。
15.10	再从巴阿拉向西折向肥依尔山，绕过耶阿陵即革撒隆山脊北部，下至贝特舍默士，经过提默纳，
15.11	直至厄刻龙山脊北部，再绕过史加龙，经巴阿拉山，直到雅贝乃耳，最后至海为止。
15.12	西方的边界以大海海滨为界：以上是犹大子孙按照家族所分得的地区四周的边界。 
	
15.13t	加肋布所得之地
	
15.13	若苏厄遵照上主的吩咐，将犹大子孙中的一部分土地，即克黎雅特阿尔巴，分给了耶孚乃的儿子加肋布。阿尔巴是阿纳克的祖先，阿尔巴即是赫贝龙。
15.14	加肋布从那里赶走了阿纳克的三个子孙：舍瑟、阿希曼和塔耳买；他们是阿纳克的后代。
15.15	加肋布又从那里上去，攻打了德彼尔居民。──德彼尔以前叫克黎雅特色费尔。
15.16	加肋布说：「谁能征服或拿下克黎雅特色费尔，我便将我的女儿阿革撒给他为妻。」
15.17	加肋布的弟兄，刻纳次的儿子敖特尼夺下了那城，加肋布便将自己的女儿阿革撒给他为妻。
15.18	阿革撒快过门的时候，丈夫劝她向她的父亲要求一块田地。阿革撒一下驴，加肋布便向她说：「你要什么？」
15.19	阿革撒答说：「请你给我一件礼物；你既把我安置于南方的旱地，求你也将水泉给我。」她的父亲就把上泉和下泉赐给了她。 
	
15.20t	犹大境内的城邑
	
15.20	以下是犹大支派子孙，按照家族分得的产业：
15.21	犹大支派子孙在乃革布与厄东交界的城市，有卡贝责耳、阿辣得、雅古尔、
15.22	克纳狄摩纳、阿尔阿辣。
15.23	刻德士、哈祚尔、依特南、
15.24	齐弗、特冷、贝阿罗特、
15.25	哈祚尔哈达大、克黎约特赫兹龙──即哈祚尔、
15.26	阿曼、舍玛、摩拉达、
15.27	哈匝尔加达、赫士孟、贝特培肋特、
15.28	哈匝尔叔阿耳、贝尔舍巴及所属村镇、
15.29	巴阿拉、依因、厄曾、
15.30	厄耳托拉得、革息耳、曷尔玛、
15.31	漆刻拉格、玛德玛纳、桑森纳、
15.32	肋巴敖特、史耳新和恩黎孟：共计二十九座城和及所属村镇。
15.33	在盆地有厄市陶耳、祚辣、阿市纳、
15.34	匝诺亚、恩加宁、塔普亚、厄南、
15.35	雅尔慕特、阿杜蓝、索苛、阿则卡、
15.36	沙阿辣因、阿狄塔殷、革德辣及革德洛塔殷：共计十四座城和所属村镇。
15.37	责南、哈达沙、米革达耳加得、
15.38	狄耳罕、米兹培、约刻特耳、
15.39	拉基士、波兹卡特、厄革隆。
15.40	加朋、拉赫玛斯、基特里士、
15.41	革德洛特、贝特达贡、纳阿玛、玛刻达：共计十六座城和所属村镇。
15.42	里贝纳、厄特尔、阿商、
15.43	依弗达、阿市纳、乃漆布、
15.44	刻依拉、阿革齐布、玛勒沙：共计九座城和所属村镇；
15.45	尚有厄刻龙和所属城镇。
15.46	还有从厄刻龙到海，所有靠近阿市多得的城邑和所属村镇。
15.47	阿市多得和所属城镇，迦萨和所属城镇，直到埃及小河；并以大海为界
15.48	在山地有沙米尔，雅提尔、索苛、
15.49	达纳、克黎雅特色费尔，即德彼尔、
15.50	阿纳布、厄市特摩、阿宁、
15.51	哥笙、曷隆和基罗：共计十一座城所属村镇。
15.52	阿辣布、杜玛、厄商、
15.53	雅农、贝特塔普亚、阿费克、
15.54	胡默达、克黎雅特阿尔巴，即赫贝龙和漆敖尔：共计九座城和所属村镇。
15.55	玛红、加尔默尔、齐弗、犹他、
15.56	依次勒耳、刻约德罕、匝诺亚、
15.57	卡因、基贝亚、提默纳：共计十座城和所属村镇。
15.58	哈耳胡耳、贝特族尔、革多尔、
15.59	玛阿辣特、贝特阿诺特、厄耳特孔：共计六座城和所属村镇。特科亚、厄弗辣大即白冷、培敖尔、厄堂、谷隆、塔堂、索勒、加伦、加林、贝特尔、玛纳：共计十一座城和所属村镇。
15.60	尚有克黎雅特巴尔即克黎雅特耶阿陵和阿辣巴两座城，和所属村镇。
15.61	在旷野有贝特阿辣巴、米丁、色加加、
15.62	尼贝商、监城和恩革狄：共计六座城和所属村镇。
15.63	至于住在耶路撒冷的耶步斯人，犹大人不能将他们赶走，因此耶步斯人直到今日，仍同犹大人一起住在耶路撒冷。
	
16.0t	第十六章
	
16.1t	若瑟子孙的地界
	
16.1	若瑟的子孙抽签分得的土地，从耶里哥对面的约但河起，到耶里哥东面的水源，沿著旷野，由耶里哥向上到贝特尔山区，
16.2	再由贝特耳路次，沿著阿尔基人的边境，延至阿塔洛特。
16.3	然后向西下至雅费肋提人的境界，直到下贝特曷龙的边境，以迄于革则尔，直达于海。
16.4	这是若瑟的儿子默纳协和厄弗辣因分得的产业。 
	
16.5t	厄弗辣因所得之地
	
16.5	以下是厄弗辣因子孙按照家族分得的土地：他们产业的边界，东面是阿塔洛特阿达尔，直到上贝特曷龙，
16.6	直达于海。北端是米革默塔特，由此向东转向塔纳特史罗，越过雅诺亚东部，
16.7	再由雅诺亚下至阿塔洛特和纳阿辣，经耶里哥直达约但河。
16.8	又从塔普亚往西到卡纳谷，直达于海：以上是厄弗辣因子孙按照家族分得的产业。
16.9	此外，属默纳协子孙的产业中，还有给厄弗辣因子孙保留的城市──城市和所属的村镇。
16.10	但是他们未能将住在革则尔的客纳罕人赶走，因此客纳罕人直到今天还住在厄弗辣因人中间，充当苦役。
	
17.0t	第十七章
	
17.1t	默纳协半支派河西的地界
	
17.1	默纳协是若瑟的长子，他的支派抽签分得了一份土地。默纳协的长子，基肋阿得的父亲玛基尔，因为是个战士，分得了基肋阿得和巴商。
17.2	默纳协的其余子孙，按照家族也各得了一份：有阿彼厄责尔的子孙，赫肋克的子孙，阿斯黎耳的子孙，舍根的子孙，赫斐尔的子孙，舍米达的子孙：这些人按照家族，都是若瑟之子默纳协后代的男丁。
17.3	但是默纳协的玄孙，玛基尔的曾孙，基肋阿得的鲧子，赫斐尔的儿子，责罗斐哈得没有儿子，只有女儿，他的女儿名叫玛赫拉、诺阿、曷革拉、米耳加和提尔匝。
17.4	她们来到司祭厄肋阿匝尔和农的儿子若苏厄、并首领们面前说：「上主曾吩咐过梅瑟，在我们弟兄们中，也分给我们一份产业。」若苏厄遂照上主所吩咐的，使她们在伯叔中间，也分得了一份产业。
17.5	这样，除约但河东的基肋阿得和巴商二地外，尚有十分归属于默纳协，
17.6	因为默纳协的孙女，在默纳协的孙子中也获得产业；不过基肋阿得地属于默纳协其余的子孙。
17.7	默纳协的地界，是从阿协尔起，到舍根对面的米革默塔特，再折向南，直达雅史布和恩塔普亚。
17.8	塔普亚地归默纳协，但默纳协边界上的特普亚城，却属厄弗辣因子孙。
17.9	边界由此向下伸至卡纳谷；谷南的城市属厄弗辣因，是厄弗辣因在默纳协城市所有的城市。默纳协的境界是由谷北，直到大海。
17.10	南面属厄弗辣因，北面属默纳协，以海为界；北接阿协尔，东邻依撒加尔。
17.11	默纳协在依撒加尔和阿协尔境内，有贝特商和所属村镇；依贝肋罕和所属村镇，多尔居民和所属村镇，还有恩多尔居民和所属村镇，塔纳客居民和所属村镇，默基多居民和所属村镇，共三区。
17.12	但是默纳协子孙未能将这些城中的土人赶走，因此客纳罕人仍然居住在这地区内。
17.13	当以色列子民强盛以后，迫使客纳罕人做苦工，却没有将他们完全赶走。 
	
17.14t	若瑟子孙的怨言
	
17.14	若瑟的子孙对若苏厄说：「上主这样祝福我们，我们又是人数最多的一族，你为什么只叫我们抽一签，分一份土地作产业呢？」
17.15	若苏厄对他们说：「如果你们人数众多，厄弗辣因山地为你们太狭小，可上培黎齐人和勒法因人的地方去，砍伐森林中的树木。」
17.16	若瑟的子孙回答说：「这山区为我们仍不够，何况住在盆地，即住在贝特商和所属村镇，以及住在依次勒耳盆地的一切客纳罕人，都拥有铁车。」
17.17	若苏厄对若瑟家，即对厄弗辣因和默纳协人说：「你们人数众多，势力强大，不能只抽一签，
17.18	因此，山地也应归于你们；那里虽是森林，尽可砍伐，开辟的土地自然归于你们。客纳罕人虽然拥有铁车，势力强大，但你们必能将他们赶走。」
	
18.0t	第十八章
	
18.1t	测地绘图
	
18.1	这地方既然已被征服，以色列子民的全会众就都聚集到史罗，在那里竖起了会慕。
18.2	以色列子民中，还有七个支派没有分到产业。
18.3	若苏厄对以色列子民说：「你们迟迟不去，承受上主你们祖先的天主赐与你们的土地，要到什么时候呢？
18.4	你们应由每支派推选三人，我好派他们去走遍全境，按照各支派应得的产业，画成图样，然后回来见我。
18.5	他们应将那地分成七份，犹大保有自己在南方的土地，若瑟家族保有自己在北方的土地。
18.6	你们应将这地划成七份，把图样带来见我，使我好在这里，于上主我们的天主面前，为你们抽签。
18.7	肋未人在你们中间不应有产业，因为上主司祭的品位，就是他们的产业。至于加得、勒乌本和默纳协半个支派，在约但河东岸已分得了产业，那是上主的仆人梅瑟分给他们的。」
18.8	这些人准备出发时，若苏厄吩咐这些去绘图的人说：「你们去走遍这地，画成图样，然后回来见我，我要在史罗于上主面前为你们抽签。」
18.9	这些人就去走遍全境，将所有城市分成七分，写在书册上，回到史罗营中呈给若苏厄。
18.10	若苏厄便在史罗于上主面前，为他们抽签，在那里按照他们的分法，将地画分给了以色列子民。 
	
18.11t	本雅明支派的边界
	
18.11	本雅明支派按他们的家族，抽签分得的产业，是在犹大子孙和若瑟子孙中间。
18.12	北面的边界起自约但河，沿耶里哥北面的山坡往上，至西面山地，直达贝特阿文旷野；
18.13	再由此经路次，沿路即贝特耳南山坡下，下至阿塔洛特阿达尔，与在下贝特曷龙南部的山相接，
18.14	西面的边界由此转弯，折向南方，由贝特曷龙对面的山向南折，直到犹大人的克黎雅特巴尔，即克黎雅特耶阿陵城：这是西界。
18.15	南界是从克黎雅特耶阿陵的边界起，向加斤伸展，直到乃费托亚水泉；
18.16	由此往下直到位于勒法因平原北部，本希农山谷对面的山角；然后往下，经希农山谷，下至耶步斯人山腰南部，直到洛革耳泉；
18.17	由此转北，出舍默士水泉，直至阿杜明山坡对面的革里罗特，再下至勒乌本人波罕的盘石；
18.18	由此经贝特阿辣巴对面山腰的北部，直下到阿辣巴，
18.19	再经贝特曷革拉山脊向北，止于盐海北端，约但河南口：这是南界。
18.20	东边以约但河为界：以上是本雅明子孙，按照家族，分得土地的四面边界。 
	
18.21t	本雅明支派的城市
	
18.21	本雅明支派子孙按照家族，分得的城市：有耶里哥、贝特曷革拉、厄默客刻漆兹、
18.22	贝特阿辣巴、责玛辣因、贝特耳、
18.23	阿威、帕辣、敖斐辣、
18.24	革法尔阿摩尼、敖弗尼和革巴：共计十二座城和所属村镇。
18.25	基贝红、辣玛、贝洛特、
18.26	米兹培、革非辣摩匝勒耿、
18.27	依尔培耳、塔辣拉、
18.28	责拉、厄肋夫、耶步斯即耶路撒冷、基贝亚和克黎雅特耶阿陵：共计十四座城和所属村镇：以上是本雅明子孙，按照家族分得的产业。
	
19.0t	第十九章
	
19.1t	西默盎支派的城市
	
19.1	西默盎，西默盎支派子孙，按照家族得了第二签，他们的土地是在犹大子孙的产业内。
19.2	他们分得的产业：是贝尔舍巴、舍玛、摩拉达、
19.3	哈匝尔叔阿耳、巴拉、厄会、
19.4	厄尔托拉得、贝突耳、曷尔玛、
19.5	漆刻拉格、贝特玛尔加波特、哈匝尔稣撒、
19.6	贝特肋巴敖特和沙鲁恒：共计十三座城和所属村镇；
19.7	阿殷、黎孟、厄特尔和阿商：共计四座城和所属村镇；
19.8	尚有这些城市四周所有的村镇，直到巴阿拉特贝尔即乃革布的辣玛：以上是西默盎支派子孙，按照家族分得的产业。
19.9	西默盎子孙的产业，取自犹大子孙的土地，是因为犹大子孙分得的地区，过于广大，因此西默盎子孙在他们的境内，分得了产业。 
	
19.10t	则步隆支派
	
19.10	则步隆子孙，按照家族，得了第三签，他们领域的界限直达沙杜得。
19.11	由此西上，直达玛尔阿拉，路经达巴舍特和约刻乃罕前面的小河，
19.12	再由沙杜得向东转向日出之地，直到基斯罗特大博尔，经多贝辣特，直上至雅非亚；
19.13	由此折东，经加特赫费尔，至依塔卡亲，出黎孟直到乃阿；
19.14	再由此北上，转向哈纳通，直达依费塔赫耳山谷。 
	
19.15t	则步隆支派的城市
	
19.15	境内有....卡塔特、纳哈拉耳、史默龙、依德阿拉和贝特肋恒：共计十二座城和所属村镇。
19.16	这些城和村镇是则步隆子孙按照家族，分得的产业。 
	
19.17t	依撒加尔支派的城市
	
19.17	依撒加尔，即依撒加尔子孙，按照家族，得了第四签。
19.18	他们的领域是：依次勒耳、革稣罗特、叔能、
19.19	哈法辣殷、史雍、阿纳哈辣特、
19.20	多贝辣特、克史雍、厄贝兹、
19.21	勒默特、恩加宁、恩哈达、贝特帕责兹。
19.22	边界上还有大博尔、沙哈漆玛、贝特舍默士、直达约但河：共计十六座城和所属村镇。
19.23	这些城和所属村镇，是依撒加尔支派子孙，按照家族分得的产业。 
	
19.24t	阿协尔支派的边界和城市
	
19.24	阿协尔支派子孙，按照家族，得了第五签。
19.25	他们得的领域是：赫尔卡特、哈里、贝腾、阿革沙弗、
19.26	阿拉默肋客、阿玛得、米沙尔；西至加尔默耳和里贝纳特河，
19.27	然后转向东方，直达贝特达贡与则布隆和北方的依费塔赫耳山谷相接；再经贝特厄默克和乃耶耳，至加步耳北部；
19.28	再经阿贝冬、勒曷布、哈孟、卡纳、直达漆冬大城，
19.29	由此转向辣玛直至左尔坚城，再转向辣玛，直达于海。此外尚有玛哈肋布、阿革齐布、
19.30	阿苛、阿费克和勒曷布：共计二十二座城和所属村镇。
19.31	这些城和村镇，是阿协尔子孙，按照家族分得的产业。 
	
