1:-1t	撒慕尔纪下
11:1	年初，正当诸王出征的季节，达味派约阿布率领他的将官和以色列人出征；他们蹂躏了阿孟子民，就包围辣巴。当时达味住在耶路撒冷。
11:2	一天傍晚，达味由床上起来，在宫殿的房屋顶上散步；从房顶上看见一个女人在沐浴，这女人容貌很美。
11:3	达味遂派人打听这女人是谁；有人告诉他说：「这不是厄里安的女儿，赫特人乌黎雅的妻子巴特舍巴吗？
11:4	达味便派人将他接来；她来到他那里，达味就与她同寝，那时她的月经刚洁净了。事后，她便回了家。
11:5	不久，那女人自觉怀孕，就打发人告诉达味说：「我怀了孕。」
11:6	达味派人给约阿布说：「打发赫特人乌黎雅来见我。」约阿布就打发乌黎雅去见达味。
11:7	乌黎雅一来到他跟前，达味就问：「约阿布近来如何？士兵好吗？战事怎样？」
11:8	达味向乌黎雅说：「你下到家中洗洗脚吧！」乌黎雅刚离开皇宫，随后就送来了王的饮食。
11:9	乌黎雅却同他的主人的仆役一起睡在宫门旁，没有下到家里。
11:10	有人报告达味说：「乌黎雅并没有回到自己家里。」达味便向乌黎雅说：「你不是由远道回来的吗，为什么不下到你家里去呢？」
11:11	乌黎雅回答达味说：「约柜，以色列和犹大人都住在帐幕里，我主约阿布和我主的仆人都在野外露宿，我岂能回家吃喝，和我妻子一起睡觉？上主永在，陛下万岁！我绝不做这样的事。」
11:12	达味向乌黎雅说：「今天你还留在这里，明天我要打发你回去。」乌黎雅那天就留在耶路撒冷。第二天，
11:13	达味召他来与自己一起饮宴，将他灌醉，傍晚，乌黎雅出去，仍与他主人的仆役睡在一起，并没有到家里去。
	
11:14t	陷害忠良
	
11:14	到了早晨，达味给约阿布写了一封信，要乌黎雅亲手带去。
11:15	他在信上写说：「你应派乌黎雅到战事最激烈的前线，然后，在他后边撤退，让他受攻击阵亡。」
11:16	约阿布察看那城以后，知道那里有最强悍的敌人，就派乌黎雅到那里去了。
11:17	城内的人出来，与约阿布交战，达味的仆役中，有些人阵亡了，赫特人乌黎雅也阵亡了。
11:18	约阿布派人去向达味报告这次战事的一切经过，
11:19	他吩咐使者说：「若你把战事的经过向君王报告完了以后，
11:20	王若向你发怒说：为什么你们靠近城墙作战？你们不知道有人会由城墙上射击吗？
11:21	谁击杀了耶鲁巴耳的儿子阿彼默肋客？不是一个女人从城墙上把一块磨石丢在他身上？他就死在特贝兹吗？为什么你们靠近城墙呢？你就答说：你的仆人赫特人乌黎雅也阵亡了。」
11:22	使者就前来见达味，把约阿布打发他报告的一切全向达味报告了。达味对约阿布大怒，向使者说：「你们为什么靠近城墙作战？你们不知道有人会由城墙上射击吗？谁射击了耶鲁巴耳的儿子阿彼默肋客？不是一个女人从城墙上把一块磨石丢在他身上，他就死在特贝兹吗？为什么你们靠近城墙呢？」
11:23	报信的人向达味说：「那些人向我们冲来，下到平原来攻打我们，我们就追击他们到城门边，
11:24	射手就从城墙上射击我们:君王的仆役大约死了十八人，你的仆人乌黎雅，那个赫特人也死了。
11:25	「达味向报信的人说：「你去告诉约阿布说：不必对这事过伤心，因为刀剑有时砍这人，也有时砍那人；你只管加紧攻城，将城毁灭。你要鼓励他。
	
11:26t	娶巴特舍巴为妻
	
11:26	「乌黎雅的妻子听说他丈夫阵亡了，就为他丈夫举哀。
11:27	居丧期一满，达味就派人将他接到自己的宫中，成了他的妻子，给他生了一个儿子。达味这样行事，使上主大为不悦。
	
	
12:0t	第十二章
	
12:1t	纳堂指摘达味
	
12:1	于是上主打发纳堂先知去见达味；他一来到他跟前，就对他说：「在一座城里有两个人，一富一贫；
12:2	富的有很多牛羊；
12:3	贫的，除一只小母羊外，什么也没有。这只小母羊是他买来喂养的，在他和他儿女身边长大，吃他自己的食物，喝他自己杯中的饮料，睡在他的怀里，带他如同自己的女儿一样。
12:4	有一个客人，来到富人那里，他舍不得拿自己的牛羊，款待那来到他这里的旅客，却取了那贫穷人的母羊，来款待那到他这里来的人。」
12:5	达味对这人大发愤怒，向纳堂说：「上主永在！做这事的人该死！
12:6	并且，因为他这样行事，舍不得自己的牛羊，他应七倍偿还」。
12:7	约纳堂对达味说：「这人就是你！以色列的天主上主这样说：是我给你傅油，立你作以色列的君王，是我由撒乌耳手中将你救出，
12:8	是我将你主人的家室赐给你；我把你主人的妻妾放在你怀里，把以色列和犹大的家族也赐给了你；若还以为太少，我愿再给你这样那样的恩惠。
12:9	你为什么轻视上主，作出□眼中视为邪恶的事，借刀杀了赫特人乌黎雅，为占取他的妻子，据为己有？你借阿孟子民的刀杀了乌黎雅。
12:10	从此刀剑永不离开你家！因为你轻视了我，占取了赫特的妻子，据为己有。
12:11	上主这样说：看，我要由自己的家里激起灾祸反对你，我要当你的眼前拿你的妻妾给与你的近人，他要在光天化日之下与你的妻妾同寝。
12:12	你暗中行的事，我却要叫这事在众以色列前和太阳下进行」。
12:13	达味对约纳堂说：「我得罪了上主！」约纳堂对达味说：「上主已赦免了你的罪恶，你不致于死；
12:14	但是你在这事上蔑视了上主，给你生是那个孩子，必要死去」。
	
12:15t	巴特舍巴的儿子夭亡
	
12:15	以后，约纳堂就回家去了。上主打击了乌黎雅给达味所生的孩子，使他患病甚重。
12:16	达味就为孩子恳求天主，并且禁食，进入房内，穿著苦衣躺在地上过夜。
12:17	皇室的长老到他前，要将他从地上扶起来，他却不愿意，也不与他们一起吃饭。
12:18	到了第七天，孩子竟然死了。达味的臣仆怕告诉他孩子死了，因为他们说：「孩子活著的时候，我们劝他，他还不听我们的话；我们若告诉他孩子死了，岂不是更使他痛苦？」
12:19	达味见自己的臣仆低声耳语，就晓得孩子死了，便问臣仆说：「孩子死了吗？」他们答说：「死了！」
12:20	达味就由地上起来，沐浴、抹油、更衣，进了上主的庭院朝拜了；然后回到家里，叫人给他摆上饭来，他就吃了。
12:21	他的臣仆对他说：「你这是作的什么事。孩子著，你为他禁食哀哭；孩子死了你反而起来吃饭」。
12:22	他答说：「孩子活著，我禁食悲哭，因为我想：也许上主会可怜我，使孩子生存，有谁知道？
12:23	如今，他死了，我为什么还要禁食？难道我能叫他回来？是我要到他那里去，他不会回到我这里来了！」
12:24t	撒罗满生
	
12:24	事后，达味安慰了妻子巴特舍巴，再走近她，与她同寝；她又生了一个儿子，给他起名叫撒罗满；上主也喜爱他，
12:25	派了先知约纳堂去，代替上主给他起了个别号，叫耶狄狄雅。
	
12:25t	达味攻取辣巴城
	
12:26	那时，约阿布正攻打阿孟子民的辣巴，占据了水城。
12:27	约阿布就派使者到达味那里说：「攻打辣巴，已占了水城；
12:28	如今你快调集其余的军队来围攻，占领这座城市，免得我攻下了，人拿我的名字作城名」。
12:29	达味遂召集了所有的军队，开到辣巴，攻取了那城。
12:30	达味从米耳公神的头上，取下了那重一「塔冷通」的金冠来，上面嵌有一块宝石，达味将这宝石戴在自己头上，并由城中运走了大批胜利品。
12:31	至于城内的居民，根将他们带走，叫他们拉锯、操斧、劈石、做砖；达味对待阿孟子民所有的城市都是如此。然后率领自己的军队回了耶路撒冷。
	
	
	
13:0t	第十三章
	
13:1t	阿默农强奸异母姊妹
	
13:1	此后，还发生了一件事：达味的儿子阿贝沙隆有个妹妹，名叫塔玛尔，很是美丽，达味的儿子阿默农很爱她。
13:2	阿默农为了他妹妹塔玛尔的缘故，竟忧愁闷成疾；因为她还是处女，所以在阿默农看来，对她行事几乎不可能。
13:3	阿默农有个朋友，名叫约纳达布，是达味的兄弟史默亚的儿子。约纳达布是一个很狡滑的人。
13:4	他向阿默农说：「太子，为什么你一天一天如此萎靡不振？你不肯告诉我吗？」阿默农回答说：「我爱上我兄弟阿贝沙隆的妹妹塔玛尔」。
13:5	约纳达布向他说：「你在躺床装病，你父亲来看你时，你就对他说：我很希望我的妹妹塔玛尔来，给我准备食物，她要在我眼前准备，叫我看看著，并且由她手中取食。
13:6	阿默农就卧床装病，君王来看他时，阿默农向君王说：「求你叫我妹妹塔玛尔来，在我前做两块饼，好叫我从她手中取食」。
13:7	达味就派人到塔玛尔房中说：「请你到你哥哥房里去，给他准备食物」。
13:8	塔玛尔到了她哥哥阿默农房里，他正躺在床上。她取了面，在他眼前和好，烤成饼。
13:9	她就拿过锅来，在他面前将饼倒出，他却推辞不吃。阿默农说：「你叫众人都由面前出去」。众人就都由他面前出去了。
13:10	阿默农对塔玛尔说：「你给我把食物拿到内室来，好叫我由你手中取食」。塔玛尔拿著她做的饼，进了内室，送到她哥哥阿默农前。
13:11	她正递给他时，他就抓住她说：「我的妹妹，来与我同寝！」
13:12	她回答说：「我的哥哥！不可这样，不要作贱我！在以色列不应作这样木事，不要作这愚蠢的事！
13:13	我带著这耻辱到哪里去呢？你在以色列也成了一个愚妄人。请你向君王说明，他决不会拒绝使我属于你的！」
13:14	他却不肯听她的话，又比她有力，就强奸了她。
13:15	事后，阿默农立即十分憎恨她，并且他如今对她的憎恨，远超过以前对她的爱恋，就向她说：「起来，走吧！」
13:16	她答说：「我的哥哥，那不可以。氮赶我走，比你对我所行的，更为无理！」他却石听从她，
13:17	就叫服侍自己的仆人来，向他说：「把这女人从我这里赶出去！她走后，随锁上门！」
13:18	她那时穿著彩色长衣，因为君王的女儿，在未出嫁以前，昔日都是如此装束。他的仆人将她赶出去，随后锁上了门。
13:19	塔玛尔把灰撒在头上，撕破自己所穿的彩色长衣，双手抱著头，一路边哭边走。
13:20	她的哥哥阿贝沙隆问她说：「莫非你的哥哥阿默农与你同寝了？妹妹，暂且不要出声，因为他是好的兄弟，不可把这事放在心上！」塔玛尔从此就忧闷不乐，住在她哥哥阿贝沙隆家里。
13:21	达味听说了这一切事，十分生气；怛他不愿伤他儿子阿默农的心，因为他是长子，格外爱他。
13:22	至于，无论好话歹话，一句也不向阿默农说。他恼恨阿默农，因为他污辱了他妹妹塔玛尔。
	
13:23t	阿贝沙隆计杀阿默农
	
13:23	过了两年，当阿贝沙隆在厄弗辣因的巴耳哈祚尔剪羊毛的时节，阿贝沙隆邀请了君王所有的儿子。
13:24	阿贝沙隆来到君王前说：「看，你的仆人剪羊毛的时节，请君王带著臣仆都到你仆人那里去！」
13:25	君王回答阿贝沙隆说：「我儿，不必如此！我们不必都去麻烦你」。他虽然恳求，君王仍不愿去，只祝福了他。
13:26	阿贝沙隆便说：「至少让我的兄弟阿默农同我们一起去！」君王回答说：「为什么要他同你一起去？」
13:27	阿贝沙隆还是再三恳求，达味便派阿默农和君王所有的儿子，同他一起去了。阿贝沙隆摆设□席，好像御□。
13:28	阿贝沙隆吩咐仆人说：「你们要注意！阿默农畅饮的时候，我向你们说：刺死阿默农！你们就打死他，不要害怕，是我吩咐了你们，要大胆勇敢」。
13:29	阿贝沙隆的仆人，就照他所吩咐的，对阿默农做了。君王所有的儿子遂起来，各自骑上骡子逃跑了。
13:30	他们还在路上，消息已传到达味前说：「阿贝沙隆杀了君王所有的儿子，没有一个幸免」。
13:31	君王便起来，撕裂了自己的衣服，俯伏在地；他身边的臣仆，也都撕裂了自己的衣服。
13:32	达味的兄弟史默亚的儿子说道：「我主不要想：所有的青年，君王所有儿子都被杀了；其实只有阿默农一人死了。自从阿默农污辱了他的妹妹塔玛尔那日起，阿贝沙隆就决定了这事。
13:33	主君王，且不要将这事放在心上，以为君王所有的儿子都死了，因为只有阿默农一人死了」。
13:34	逃走了。守卫的仆人举目一望，看见在往曷洛纳因山坡的路上，有一大群人下来。守卫的就去报告君王说：「我看见一群人，从曷洛纳因山坡的路上下来了」。
13:35	约纳达布就向君王说：「看，执行的儿子回来了，正如你仆人所说的，现在实现了」。
13:36	他刚说完这话，君王的儿子都来到了，放声大哭；君王和众臣仆也都号啕痛哭。
	
13:37t	阿贝沙隆逃往革叔尔
	
13:37	同时，阿贝沙隆逃到革叔尔王阿米胡得的儿子塔取买那里去了。君王天天哀悼自己的儿子。
13:38	阿贝沙隆逃到革叔尔，在那里住了三年。
13:39	此时，君王的心渐渐不再恼怒阿贝沙隆，对阿默农的死，也不再难过了。
	
	
	
14:0t	第十四章
	
14:1t	约阿布设计召回阿贝沙隆
	
14:1	责鲁雅的儿子约阿布看透了君王怀念阿贝沙隆的心，
14:2	就派人到特科亚去，从那里叫来一位明智的妇人，对她说：「请你装作一个居丧的妇心，穿上丧服，别抹油，像一个居丧很多自己妇人，
14:3	然后去见君王，对他这样这样说::::」约阿布就把要说的话，口授给她。
14:4	科特亚的妇人一来到君王前，便俯伏在地，叩拜喊说：「大王，救命！」
14:5	君王对她说：「你有什么事？「她答说：「哎！我是个寡妇，我的丈夫死了。
14:6	你的婢女有两个儿子，他们俩在田野里争斗，无人解劝，彼此对打，竟将一个打死了。
14:7	全族的人都起来反对你的婢女说：将那打死自己兄弟的交出来，让我们杀了他，抵偿他所杀的兄弟的命，既便是后嗣，我们也要消灭。这样，他们连我所剩下的一星之火，也要熄灭，不让我的丈夫在世上留名，或者留后」。
14:8	执行对妇人说：「你回家去吧！我会为你下令查办」。
14:9	特科亚的妇人立即对君王说：「我主，大王！愿此罪归于我及我父家，与大王，与陛下无干」。
14:10	君王说：「凡向你再出言恐吓的，你把他带到我这里来，谁也不敢再麻烦你了」。
14:11	她继续说：「望大王提及上主你的天主名，不许报复血仇的人再从事破坏，不将我的儿子消灭」。他答说：「我指著永生的上主起誓：你儿子的一根头发，也决不会落在地上」。
14:12	妇人接著说：「望我主大王，许你的婢女再进一言！」他答说：「说吧！」
14:13	妇人说：「为什么大王想出这样的事来，反对天主的百姓。君王说出这话，若不将自己放逐的人召回来，就不免有罪了！
14:14	我们原来都该死，如同泼在地，上的水，不能再收回，天主也不再给人生命；所以大王要设法不使那放逐的人，成为一个永不能再回家的人。
14:15	我现今到这里来，向我主大王提及此事，是因为有些人恐吓我，为此你的婢女想：我得向君王说明，也许君王会实践他婢女的请求。
14:16	因为大王必会听从我，从那由天主产业中铲除和我儿子之人的手中，救出自己的婢女来。
14:17	所以你的婢女说：我主大王的话，实能安慰人心，因为我主大王对于分辨善恶，实如同天主的使者。望上主你的天主，与你同在！」
14:18	君王回答妇人说：「我有一事问你，你可不要对我隐瞒」。妇人答说：「我主大王，请说！」
14:19	君王问说：「在这一切事上，是不是约阿布的手在你后面？」妇人答说：「我一王万岁！我主君王所说的，丝毫不差，正是你的仆人约阿布吩咐了我，是他将这一切话，口授给你的婢女。
14:20	事实改变真相的，确是你的仆人约阿布所做的；但是我主贤明，贤明得如同天主的使者，晓得地上所有的事」。
14:21	王便对约阿布说：「好，现在我就履行此事，召回孩子阿贝沙隆来！」
14:22	约阿布就俯首至地，叩拜祝福君王，随后说：「我主大王，今天今日你的仆人知道，我在你眼前蒙得了宠幸，因为大王实践了他仆人的请求」。
14:23	约阿布就起身，往革叔尔去，将阿贝沙隆领回耶路撒冷。
14:24	君王说：「叫他回自己家里去吧！不要来见我」。于是阿贝沙隆回到自己家里，不是见君王的面。
	
14:25t	阿贝沙隆得见君王
	
14:25	在全以色列中，没有一人像阿贝沙隆那样英俊，堪受赞美的，在他身上，自踵至顶，没有一默缺陷。
14:26	他剪发以后，──他每年年底剪发一次，因为头上积发太多，他必须剪去，──称了称剪的头发，依王家的衡制，重二百「协刻耳」。
14:27	阿贝沙隆有三个儿子，一个女儿；女儿名叫塔玛尔，是个很美丽的女子。
14:28	阿贝沙隆在耶路撒冷住了两年，仍未得见君王的面。
14:29	阿贝沙隆遂派人到约阿布那里，求他引自己去见君王。但是，约阿布不愿到他那里去，他又派人去，他仍是不肯来。
14:30	他于是对的仆人说：「你们看，约阿布的庄田与我的相接，他在那里种了大麦，你们去放火烧田」。阿贝沙隆的仆人于是放火烧了田。
14:31	约阿布就起身来到阿贝沙隆的家里，对他说：「你的仆人为什么烧了我的田？」
14:32	阿贝沙隆回答约阿布说：「看，我派人到你那里说：请你到这里来，我愿派你去见君王，问他为什么叫我从革叔尔回来？假如我仍留在那里，为我岂不更好？！如今我愿见君王的面，我若有罪，他可杀我！」
14:33	约阿布便去见君王，禀告了这些话。王遂召见阿贝沙隆；他来到君王前，俯首至地，叩拜君王；君王就吻了阿贝沙隆。
	
	
	
15:0t	第十五章
	
15:1t	阿贝沙隆离间民心
	
15:1	这事以后，阿贝沙隆准备了车辆和骏马，并叫五十个为他开道。
15:2	阿贝沙隆常清早起来，站在进城门的大路旁；凡有争讼，要到君王前去要裁判的人，阿贝沙隆就把他叫到自己跟前来问说：「你是那一城里的人？」他答说：「你仆人是以色列某支派的人」。
15:3	阿贝沙隆就向他说：「看你的案件是正直有理的，但是君王没有派人来听取你的案件」。
15:4	阿贝沙隆又接著说：「唉！谁若立我作了国家的判官，凡是有诉和案件的，来到我这里，我必使他获得公正的裁判」。
15:5	若有人前来叩拜他，他就伸手将他抱住，与他亲吻。
15:6	凡尸要到君王前去告状的以色列人，心是这样对待他们；如此他获得了以色列人的心。
	
15:7t	阿贝沙隆造反
	
15:7	四年以后，阿贝沙隆向君王说：「我要求大王让我去赫贝龙，向上主所许的愿，
15:8	因为你的仆人住在阿兰革叔尔时，曾愿许说：若上主领我再回耶路撒冷，我要在赫贝龙崇拜上主」。
15:9	君王向他说：「你平安去吧！」阿贝沙隆便往赫贝龙去了。
15:10	阿贝沙隆打发特务到以色列各支派说：「你们一听见号声，就喊说：阿贝沙隆在赫贝龙为王了！」
15:11	由耶路撒冷与阿贝沙隆同来的，还有二百人，他们因为被请，就好心好意的来了，对于事情的真相，却一点不知道。
15:12	当阿贝沙隆祭献时，就派人将达味的参谋，基罗人阿希托费耳由他的本城基罗请来参与祭祀。这样，叛乱就更形扩大，随从阿贝沙隆的民众也逐渐加多。
	
15:13t	达味逃亡
	
15:13	有报信的人来到达味前说：「以色列人的心都归向阿贝沙隆了」。
15:14	达味就对所有跟在耶路撒冷的臣仆说：「我们赶快逃跑，不然，我们就来不及逃避阿贝沙隆了。你们赶快上路，免得他忽然赶到，残害我们，用刀屠杀全城的人」。
15:15	王的臣仆向君王说：「凡我主大王所决定的，你的臣仆必都照办」。
15:16	君王带著全家徒步出走，只留下十个嫔妃看守王宫。
15:17	君王徒步前行，他的军民都跟著他；到了最后的住宅区，君王站住了。
15:18	所有的军民都由他身边走过，所有的革勒提人和培肋提人，还有从加特跟随依泰来的六百人，也都由君王面前过去。
15:19	君王逐向加特人依泰说：「你m口我们一起出走？你回去协同新王国吧！因为你是个离乡背井的，流徙在外的侨民。
15:20	你昨天来了，今天我就要你同我们一起漂流吗？我还不知道我要往哪里去？你领著你的兄弟们一起回去吧！愿上主仁慈忠诚对待你！」
15:21	依泰回答君王说：「上主永在！我主大王万岁！在我主大王所在的地方，无论生死，你的仆人也必在那里！」
15:22	达味向依泰说：「好，你过去吧！」加特人依泰与他率领的人民，和他全家也都过去了。
15:23	人民过去时，遍地一片哭声；君王停在克德龙谷中，人民在他面前过去，向旷野的路上走去。
	
15:24t	大司祭回京
	
15:24	匝多克和所有的肋未人抬著天主的结约之柜来了，他们把天主的约柜放在厄贝雅塔尔面前，等由城中出来的人民全都走过。
15:25	君王对匝多克说：「你将天主的约柜抬回城去，放在原处！若我在上主眼中蒙恩，□必会领我回来，再能见约柜和□的圣所。
15:26	但若上主说：我不喜欢你，看，我在这里，□看著怎样好，就怎样处置吧！」
15:27	君王又向匝多克司祭「看，你和厄贝雅塔尔可以平安回城，你的儿子阿希玛兹和厄贝雅塔尔的儿子约纳堂，你们的两个儿子，也应随你们回去。
15:28	我愿在旷野中的渡口暂并住下，等侯你们来给我报告消息」。
15:29	匝多克和厄贝雅塔尔抬著天主的约柜回了耶路撒冷，且住在那里。
15:30	以后，达味上了橄榄山：一边上，一边哭，蒙著头赤著脚；随著人民也都蒙著头，哭著上山。
	
15:31t	胡瑟衔命回京
	
15:31	忽有人报告达味说：「阿希托费耳也跟随了阿贝沙隆，杂在叛党中」。根遂说：「上主，我求你使阿希托费耳的计谋转为愚策」。
15:32	达味一到了山顶，敬拜天主的地方，见他的朋友阿尔基人胡瑟穿著撕裂的衣服，头上顶灰，出来迎接他。
15:33	达味向他说：「你若跟随，为我反是负担；
15:34	但你若回去，向阿贝沙隆说：大王，我愿作你的仆人，先我是你父亲的人，如今我作你的仆人；这样你反能为我破坏阿希托费耳的计谋。
15:35	在那里同你一起的，还有司祭匝多克和厄贝雅塔尔司祭。
15:36	与他们在一起的，还有他们的两个儿子，匝多克的儿子阿希玛兹和厄贝雅塔尔的儿子约纳堂，托他们把你们所听到的传报给我」。
15:37	达味的朋友胡瑟就回了城，同时也到了耶路撒冷。
	
	
	
16:0t	第十六章
	
16:1t	漆巴诈骗达味
	
16:1	达味刚走过山顶不远，看，默黎巴耳的仆人漆巴正牵著一对备好鞍子的驴，驮著两百个饼，一百串葡萄乾，一百鲜果和一皮囊酒，前来迎接君王。
16:2	君王对漆巴说：「你带这些东西来作什么？」漆巴说：「驴是为君王的家眷骑的，饼和水果是为僮仆吃的，酒是为在旷野里疲倦了的人喝的」。
16:3	君王问说：「你主人的儿子在哪里？」漆巴回答君王说：「他仍留在耶路撒冷，因为他说：今日以色列家会将我父亲的王位归还给我了！」
16:4	君王对漆巴说：「看，凡属默黎巴耳的，都归你所有！」漆巴答说：「我屈膝叩拜我主一王！愿我在你眼中获得宠幸」。
	
16:5t	史米辱骂达味
	
16:5	达味王来到巴胡陵时看，出来一个撒乌耳家族的人，是革辣的儿子，名叫史米的。他骂著走来，
16:6	投石袭击达味和达味的众臣仆，虽然百姓和勇士都围在王的左右，他毫不畏惧。
16:7	史米这样骂君王说：「滚吧！滚吧！你这个杀人王！你这个败类！
16:8	上主将撒乌耳一家的血都归在你身上，你夺了他的王位，现在，上主将王权交在你儿子阿贝沙隆手里，使你陷入绝境，足见你是个杀人王」。
16:9	责鲁雅的儿子阿彼瑟对君王说：「为什么让这死狗辱骂我主大王？让我去砍下他的头来！」
16:10	君王说：「责鲁雅的儿子，我和我和你们有什么关系？让他骂吧！如果上主吩咐他说：你咒骂达味！谁还敢说：你为什么这样做？」
16:11	达味对阿彼瑟和他的臣仆说：「唉！我亲生的儿子，尚且谋害我的生命，这个本雅明人更将如何？让他骂吧！因为上主吩咐了他。
16:12	也许上主会怜恤我的困苦，会将他今日的咒骂，变成我的幸福」。
16:13	达味与跟随的人沿路前行，史米也沿著山路与他平排进行，边走边骂，向他抛石撒土。
16:14	君王与跟随他的众人，来到约旦河岸，非常疲倦，就在那里暂且休息。
	
16:15t	阿贝沙隆进京 
	
16:15	阿贝沙隆与跟随他的众以色列人进了耶路撒冷，阿希托费耳也同他在一起，
16:16	当达味的朋友阿尔基人胡瑟来见阿贝沙隆时，便对阿贝沙隆说：「大王万岁！「大王万岁！」
16:17	阿贝沙隆对胡瑟说：「这是你对你朋友的恩情吗？为什么没有去跟随你的朋友？」
16:18	胡瑟回答阿贝沙隆说：「不，因为凡上主和这个民族以及全以色列人所拣选的，我就跟随他，与他住在一起。
16:19	再者，我要事奉的是谁呢？先前我怎样服事了你父亲，也愿怎样服事你」。
16:20	阿贝沙隆对阿希托费耳说：「你应去亲近你父亲留下看守宫殿的嫔妃，叫全以色列人知道你已惹下了你父亲的仇恨，那些支持你的人，就必更加坚强」。
16:21	于是人们在屋顶上，给阿贝沙隆支搭了一座帐棚；阿贝沙隆当著众以色列人的面，亲近了他父亲的嫔妃。
16:22	那时，阿希托费耳所出的主意，好像是询问天主得来的神谕。凡阿希托费耳所出的主意，无论对达味，或对阿贝沙隆，都是如此。
	
	
	
17:0t	第十七章
	
17:1t	胡瑟破计
	
17:1	阿希托费耳向说：「让我选拔一万二千人，今夜起程去追赶达味。
17:2	正当他困乏疲倦时，我忽然赶到，使他惊惶失措，随从他的人，必会逃散，我只把君王一人杀了，
17:3	然后人民来归顺你，像新娘回到新郎那里；你只须害一人的性命，全民众就都和平无事了」。
17:4	阿贝沙隆和以色列的众长老，对这提议都很赞成。
17:5	阿贝沙隆说：「让把阿尔基人胡瑟召来，我们也愿听听他说什么」。
17:6	胡瑟来到阿贝沙隆前，阿贝沙隆向他说：「阿希托费耳说出这样的话，我们应按他的主意去行吗？请你提议吧！」
17:7	胡瑟回答阿贝沙隆说：「阿希托费耳这次所出的计谋却是不妙」。
17:8	胡瑟接著说：「你知道你父亲和随从他的人，都是勇将，现在心情恼怒，好像田野间丧子的母熊；何况，你父亲又是历战阵的人，夜间决不会让军民安睡。
17:9	他现在必藏在一个山洞里，或另一个地方；若起初我们的人就有伤亡，人们听见必要说：跟随阿贝沙隆的人，惨遭失败；
17:10	那么，连性情凶猛如狮子的壮士，也要灰心丧胆，因为全以色列人都知道你父亲是个勇将，跟随他的人，也都是骁勇的人。
17:11	我的计划，是先把所有的以色列人集合在你身边，从丹直到贝尔舍巴，像海边沙粒那样多，然后由你亲自率领，前去征讨；
17:12	他不论到那里，我们也突然到那里；像露一样袭击他，使他和跟随他的人一个也不留下。
17:13	若他退入一座城内，全以色列就带著绳索去攻击那城，将那城拉到山谷里，连一块小石也不剩下」。
17:14	阿贝沙隆和全以色列人都说：「阿尔基人胡瑟的计谋比阿希托费耳的更为可取」。原是上主决定了要破坏阿希托费耳是好计谋，为给阿彼瑟降下灾祸。
	
17:15t	达味得信渡河
	
17:15	随后，胡瑟报告匝多克和厄贝雅塔尔说：「阿希托费耳给阿贝沙隆和以色列长老出了那样的计谋，我却出了这样的计谋。
17:16	现在，快派人去报告达味说：今夜不可在旷野的渡口露宿，要赶快过河，免得君王和随从他的人民都遭歼灭」。
17:17	那时，约纳堂和阿希玛兹已在洛革泉傍等候，因怕被人看见，不敢进城；有个使女出来给他们传信，他们就去报告达味君王。
17:18	但有一个少年人看见了他们，便向阿贝沙隆报告了；他们二人就急速逃匿，来到巴胡陵的一个人家里，他院子里有一口井，他们便下到井里。
17:19	那家的妇女取了一个盖子盖在井口上，盖子上又撒了些麦粒，免得有人注意。
17:20	阿贝沙隆的差役来到那家的妇女前问说：「阿希玛兹和约纳堂在哪里？那妇女答说：「他们早过了蓄水池」。差役就去搜索他们，却没有找著，便回了耶路撒冷。
17:21	差役走了以后，两人就为井里上来；去给达味君王报信，对达味说：「起身，赶快过河，因为阿希托费耳为害你们出了这样的计谋」。
17:22	达味和随从他的人就起身过了约旦河。到天亮时，没有一个没有过约旦河的。
17:23	阿希托费耳看见人不依从他的计谋，就备上驴，动身回家，回了本城，安排了自己的家务以后，就上吊死了。人将他埋在他父亲的坟墓里。
	
17:24t	阿贝沙隆渡河追赶
	
17:24	阿贝沙隆率领以色列人过约旦河时，达味已到了玛哈纳因。
17:25	阿贝沙隆派阿玛撒代约阿布为统帅。阿玛撒是依市玛耳人依特辣的儿子。依特辣曾走近过叶瑟的女儿，约阿布的母亲，责鲁雅的姐妹阿彼盖耳。
17:26	以色列人同阿贝沙隆在基肋阿得一带扎了营。
	
17:27t	友邦慰劳达味
	
17:27	当达味来到玛哈纳因时，纳哈士的儿子芍彼，由阿孟人民的辣巴城，阿米尔的儿子玛基尔由罗德巴尔城，基肋阿得人巴尔齐来由洛革林城，
17:28	带来了床、铺盖、杯盘、炊具、小麦、面粉、炒麦、豆子、扁豆、
17:29	蜂蜜、奶油、奶饼、牛肉和羊肉，供给达味和他的的人吃用，因为他们想：这些人经过了旷野，必定感到饥饿和疲劳。
	
	
	
18:0t	第十八章
	
18:1t	阿贝沙隆惨败
	
18:1	达味检阅了跟随他的人，给他们委派了千夫长和百夫长，
18:2	将军人分为三队：一队由约阿布率领，一队由责鲁特的儿子，约阿布的兄弟阿彼瑟率领，一队由加特人依泰率领；然后君王对军人说：「我自己也要同你们一起出征」。
18:3	军人回答说：「你万不可去！因为若我们逃散，无人对我们介意，既使我们死了一半，也无人对我们介意；但是，你一个却抵我们一万，所以，现今你更好留在城内，设法援助我们」。
18:4	君王对他们说：「你们看看怎样好，我就怎样做」。君王站在门旁，军人整队出发，或百人一阻，或千人一组？
