1:-1t	上编 西乃山下起程的准备(1-10)
7:73	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:74	一个重十「协刻耳」盛满香料的金盂；
7:75	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:76	公山羊一只，为作赎罪祭；
7:77	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是敖革兰的儿子帕革厄耳的供物。
7:78	第十二日是纳斐塔里子孙的领袖，厄南的儿子阿希辣。
7:79	他的供物，是一个重一百三十「协刻耳」的银盘，一个依圣所的衡量，重七十「协刻耳」的银盆，两件内都盛满油调的细面，为作素祭；
7:80	一个重十「协刻耳」盛满香料的金盂，
7:81	公牛犊一头，公绵羊一只，一岁的公羔羊一只，为作全燔祭；
7:82	公山羊一只，为作赎罪祭；
7:83	又公牛二头，公绵羊五只，公山羊五只，一岁的公羔羊五只，为作和平祭：以上是厄南的儿子阿希辣的供物。
7:84	以上是傅油祝圣祭坛时，以色列领袖们为祝圣祭坛所奉献的供物，计有银盘十二个，银盆十二个，金盂十二个；
7:85	银盘每个重一百三十「协刻耳」，银盆每个重七十，器皿的银子依圣所的衡量，共重二千四百「协刻耳」；
7:86	盛满香料的金盂十二个，依圣所衡量，每个盂重十「协刻耳」，这些盂的金子，共重一百二十「协刻耳」；
7:87	为作全燔祭的一切牲畜，计有公牛犊十二头，公绵羊十二只，一岁的公羔羊十二只，还有同献的素祭；此外尚有公山羊十二只，为作赎罪祭；
7:88	为作和平祭的一切牲畜，计有公牛犊二十四头，公绵羊六十只，公山羊六十只，一岁的公羔羊六十只：以上是在傅油祝圣祭坛后，为祝圣祭坛所献的供物。
7:89	当梅瑟进入会幕为同上主说话时，他听见从约柜的赎罪盖上，两革鲁宾间，有与他说话的声音：是上主在与他说话。
	
8:0t	第八章
	
8:1t	安放灯台的灯盏
	
8:1	上主训示梅瑟说：「
8:2	你告诉亚郎说：你安放灯盏时，要使七盏灯光，光照灯台的前面。」
8:3	亚郎就照样做了：安放了灯盏，使灯光照耀灯台的前面，如上主对梅瑟所吩咐的。
8:4	这灯台是用金子打成的，从座到花朵都是打成的；梅瑟是照上主指示的式样，制造了灯台。 
	
8:5t	肋未人受祝圣
	
8:5	上主训示梅瑟说：「
8:6	你由以色列子民中选出肋未人，并要洁净他们。
8:7	为洁净他们，你应这样做：将取洁水洒在他们身上，命他们用刀剃全身，然后洗自己的衣服，使自己洁净。
8:8	以后，他们应带一只公牛犊和同献的素祭，即油调的细面；你应另带一头公牛犊，为作赎罪祭；
8:9	领肋未人到会幕前，并召集以色列子民全会众。
8:10	领肋未人到上主面前以后，以色列子民将自己的手放在肋未人身上，
8:11	亚郎就以摇礼把肋未人献于上主面前，当作以色列子民的献仪：这样，他们才可以行服事上主的事。
8:12	以后肋未人应按手在两头公牛犊头上：一只你要献给上主作赎罪祭，一只作全燔祭，为肋未人赎罪。
8:13	你应使肋未人站在亚郎和他的儿子们面前，以摇礼把他们献给上主。
8:14	为此，你要由以色列子民中分出肋未人来，使他们属于我。
8:15	此后，肋未人才可进入会幕服务。为此你应洁净他们，以摇礼奉献他们，
8:16	因为他们是以色列子民中完全献与我的人；我使他们归于我。以代替以色列子民中一切开胎的首生，
8:17	因为以色列子民中的一切首生，不拘是人是兽，都属于我；自从我在埃及地击杀了一切首生的那一日起，我就将他们祝圣归属于我。
8:18	我取了肋未人，替代以色列子民中的一切首生；
8:19	我由以色列子民中委派了肋未人，作亚郎和他儿子们的属下，为替代以色列子民在会幕内服务，为以色列子民赎罪，免得以色列子民因接近圣所而遭受灾祸。」
8:20	梅瑟、亚郎以及以色列子民全会众，对肋未人就如此做了；上主关于肋未人怎样吩咐了梅瑟，以色列子民就对他们怎样做了。
8:21	肋未人洁净了自己，洗了自己的衣服，亚郎遂以摇礼把他们献在上主面前，亚郎并为他们赎了罪，使他们洁净。
8:22	此后，肋未人才进入会幕内，在亚郎和他的儿子们面前执行自己的职务。上主关于肋未人怎样吩咐了，梅瑟就对他们怎样做了。
8:23	上主训示梅瑟说：「
8:24	这是关于肋未人的法令：由二十五岁以上，应来服役，在会幕内工作；
8:25	到了五十岁就退休，不再服役；
8:26	以后在会幕内辅助自己的兄弟照管该遵守的事，自己却不必服劳役。关于肋未人的职务，你应这样安排。」
	
9:0t	第九章
	
9:1t	在西乃举行逾越节
	
9:1	出埃及国后第二年正月，上主在西乃旷野吩咐梅瑟说：「
9:2	以色列子民在定期内当举行逾越节。
9:3	于本月十四日黄昏时，在定期内举行此节；应按一切规定和礼仪举行。」
9:4	梅瑟遂号令以色列子民举行逾越节。
9:5	他们就在正月十四日黄昏，于西乃旷野举行了逾越节；上主怎样吩咐了梅瑟，以色列子民就怎样做了。
9:6	但是，有些人因沾染了死人的不洁，不能在那一天举行逾越节，就在那天来到梅瑟和亚郎前；
9:7	这些人对他说：「我们沾染了死人的不洁；为什么我们就被拒绝，而不能在以色列子民中，于定期内奉献上主供物？」
9:8	梅瑟对他们说：「你们等一下，我去听上主对你们有何吩咐。」
9:9	上主吩咐梅瑟说：「
9:10	你训示以色列子民说：几时你们中或你们后裔中，若有人沾了死人的不洁，或因到远方旅行，仍要为上主举行逾越节，
9:11	应在二月十四日黄昏举行，同时吃无酵饼和苦菜，
9:12	不要剩下什么到早晨，也不要折断羔羊的骨头：应全依照逾越节的规定举行此节。
9:13	但如有人是洁净的，又不在旅行中，竟忽略了过逾越节，这人就应由民间铲除，因为他没有在定期内奉献上主供物，这人应自负罪债。
9:14	至于与你们同住的侨民，若为上主举行逾越节，应按照逾越节的规定和礼仪举行；不论是侨民，或是本国公民，你们应守同样的法律。」 
	
9:15t	云柱
	
9:15	在竖立帐幕那一天，有云彩遮盖了帐幕，即会幕；到晚上云彩停在帐幕上，形状似火，直到早晨。
9:16	白天有云彩遮盖，夜间云彩形状似火：常是如此。
9:17	几时云彩由帐幕上升起，以色列子民随即起程；云彩在那里停住了，以色列子民就在那里扎营。
9:18	以色列子民照上主的命令起程，亦照上主的命令扎营：云彩停留在帐幕上几日，他们就几日扎营不动。
9:19	云彩若多日停留在帐幕上，以色列子民就遵照上主的命令，不移营前行。
9:20	有时云彩只数日停留在帐幕上，他们就依照上主的命令扎营不动，并依照上主的命令起程。
9:21	有时云彩从晚上到早晨停住，一到早晨就上升，他们就随之起程；或者一日一夜以后才上升，他们也随之起程。
9:22	如云彩两日或一月，或一年停留在帐幕上，无论停留多久，以色列子民也就安营不动多久；只在云彩上升时，方起程前行。
9:23	他们依照上主的命令扎营，依照上主的命令起程；他们全照上主藉梅瑟所吩咐的，遵守上主的训示。
	
10:0t	第十章
	
10:1t	制造银号
	
10:1	上主训示梅瑟说：「
10:2	你要制造两个喇叭，用银打成，用为召集会众，为迁疑营幕。
10:3	几时吹两个喇叭，全会众都应集合在会幕门口，来到你跟前。
10:4	若只吹一个喇叭，以色列的千夫长，作首领的应集合到你跟前。
10:5	若吹紧急号，扎在东方的营就起程；
10:6	第二次吹紧急号时，扎在南方的营就起程：吹紧急号是为叫他们起程；
10:7	但为召集会众，只吹号，不应紧急吹。
10:8	亚郎的子孙作司祭的应吹号：这为你们世世代代是条永久的规定。
10:9	几时你们在本国要出去作战，攻打来侵的仇敌，应吹紧急号，使上主你们的天主，记得你们，救你们脱离仇敌。
10:10	此外，在你们的庆日、节日、月朔之日，献全燔祭及和平祭时，还应吹号，使你们的天主记得你们：我是上主，你们的天主。」
	
	
	
10:11tt	中编 流落旷野(10:11-21:35)
	
10:11t	由西乃山起程
	
10:11	第二年二月二十日，云彩由会幕升起，
10:12	以色列子民就从西乃旷野循序起程出发。以后云采在帕兰旷野停住了。
10:13	他们初次依照上主藉梅瑟所出的命令起程。
10:14	首先依队起程的，是犹大子孙的营旗，率领军队的，是阿米纳达布的儿子纳赫雄；
10:15	率领依撒加尔子孙支派军队的，是族阿尔的儿子乃塔乃耳；
10:16	率领则步隆子孙支派军队的，是厄隆的儿子厄里雅布。
10:17	拆下帐幕后，革尔雄的子孙和默辣黎的子孙，就抬著帐幕起程出发。
10:18	以后依队出发的，是勒乌本的营旗，率领军队的是，舍德乌尔的儿子厄里族尔；
10:19	率领西默盎子孙支派军队的，是族黎沙待的儿子舍路米耳；
10:20	率领加得子孙支派军队的，是勒乌耳的儿子厄里亚撒夫。
10:21	此后刻哈特人抬著圣所之物起程；当他们达到时，人应已竖起帐幕。
10:22	以后依队出发的，是厄弗辣因子孙的营旗，率领军队的，是阿米胡得的儿子厄里沙玛；
10:23	率领默纳协子孙支派军队的，是培达族尔的儿子加默里耳；
10:24	率领本雅明子孙支派军队的，是基德敖尼的儿子阿彼丹。
10:25	以后依队出发的，是作全营后卫的丹子孙的营旗，率领军队的，是阿米沙待的儿子阿希厄则尔；
10:26	率领阿协尔子孙支派军队的，是敖革兰的儿子帕革厄耳；
10:27	率领纳斐塔里子孙支派军队的，是厄南的儿子阿希辣。
10:28	这是以色列子民出发时，依队起程的次序。
10:29	梅瑟对自己的岳父，米德杨人勒乌耳的儿子曷巴布说：「我们正要起程往上主曾说：「我要给你们的那地方」去；你同我们一起去罢! 我们必要好待你，因为上主对以色列许下了幸福。」
10:30	曷巴布回答他说：「我不去，我要回到故乡我的老家去。」
10:31	梅瑟说：「请你不要离开我们! 因为你知道我们在旷野安营的地方，你要给我们当响导。
10:32	你若同我们一起去，我们必使你分享上主要赐给我们的幸福。」
10:33	他们就由上主的山起程出发，行了三天的路程；三天的路程中，上主的约柜走在他们的前面，为他们寻求休息的地方。
10:34	白天他们移营前行时，上主的云彩常在他们头上。
10:35	当约柜起行时，梅瑟就说：「上主，请你起来，使你的仇敌溃散，使怀恨你的由你面前逃走。」
10:36	在约柜停留时，他就说：「上主，请归来，住在以色列千家万户中。」 
	
11:0t	第十一章
	
11:1t	人民沿途抱怨
	
11:1	当时人民怨声载道，怨声已传入上主的耳中；上主听见，遂发怒；上主的火在他们中燃起，焚烧了营幕的边缘。
11:2	人民遂向梅瑟求救；梅瑟恳求了上主，火就熄灭了，
11:3	遂给那地方起名叫塔贝辣，因为上主的火曾在他们中燃烧起来。
11:4	那些跟百姓来的杂族人甚是贪求口腹，连以色列子民也开始哭泣说：「谁给我们肉吃？
11:5	我们记得：在埃及我们可随便吃鱼，还有胡瓜、西瓜、韭菜、葱和蒜。
11:6	现在我们的心灵憔悴，我们眼见的除「玛纳」外，什么也没有。」「
11:7	玛纳」形似胡荽种子，色彩有如珍珠。
11:8	人民四散收敛，用磨研细，或在臼内捣碎，在锅内煮了做成饼，它的滋味有如油饼的滋味。
11:9	夜间露水降在营上时，也降下「玛纳。」
11:10	梅瑟听见百姓家家户户，各在帐棚门口悲哭。上主大发忿怒，梅瑟见了也很难受，
11:11	遂对上主说：「你为什么难为你的仆人？为什么我在你眼中不蒙宠幸，竟将管理这百姓的担子全放在我身上？
11:12	莫非是我怀孕了这百姓，或是我生了他们，你竟对我说：你要怀抱他们，如同褓母怀抱乳儿，直到进入你对他们的祖先所誓许的地方？
11:13	我从那里拿肉给这百姓吃？因为他们向我哭诉说：给我们肉吃!
11:14	我独自不能抱著这百姓，这为我太重。
11:15	若你愿这样对待我，如果我在你眼中得宠，求你杀了我罢! 免得我受这苦楚。」
11:16	上主对梅瑟说：「你给我由以色列老年人中召选七十人，你知道他们是民间的老前辈和会办事的人，领他们进入会幕，叫他们同你一起站在那里。
11:17	在那里我要降下，与你交谈，取些你身上具有的神能，赋给他们，叫他们与你分担管理人民的重担，不让你个人独自承担。
11:18	你对民众说：你们圣洁自己直到明天，你们就会有肉吃，因为上主已听见你们哀哭说：谁给我们肉吃？我们在埃及是多么好! 如今上主要给你们肉吃了；
11:19	不但是一天、两天、五天、十天、二十天，你们有肉吃，
11:20	而是整月，直到肉从你们的鼻子里出来，吃的生厌，因为你们轻视了住在你们中的上主，在他面前涕泣说：为什么我们出离了埃及？」
11:21	梅瑟说：「与我同住的人民，步行的男子就有六十万，你却说：我要给他们肉吃，且吃一整月。
11:22	就是将牛羊都为他们杀了，为他们够用么？或将海里的鱼全给他们捉来，为他们足用么？」
11:23	上主回答梅瑟说：「难道上主的手短了？你就要看见我对你说的话是否应验。」 
	
11:24t	选立七十长老
	
11:24	梅瑟将上主的话告诉了人民；随后从人民的老年人中召选了七十人，令他们站在会幕四周。
11:25	上主乘云降下，与梅瑟谈话；将他身上的神能，赋给那七十位长老；这神能一降在他们身上，他们就出神说话；以后再没有出神。
11:26	当时有两个人留在营内，一个名叫厄耳达得，一个名叫默达得；这神能也降在他们身上；他们原是在被录取的人内，却没有到会幕那里去，就在营内出神说话。
11:27	有一少年跑来告诉梅瑟说：「厄耳达得和默达得在营内出神说话。」
11:28	自幼即服事梅瑟的农的儿子若苏厄遂说：「我主梅瑟! 你该禁止他们。」
11:29	梅瑟回答他说：「你为我的缘故嫉妒人么？巴不得上主的人民都成先知，上主将自己的精神贯注在他们身上! 」
11:30	梅瑟遂与以色列的长老回到了营内。 
	
11:31t	鹌鹑
	
11:31	那时上主使一阵风刮起，由海上吹来了鹌鹑，散落在营幕上；鹌鹑在营幕四周多得有一天路程那么远，在地面上约有两肘厚。
11:32	人民那一整日整夜，且在第二日整天都忙于捕捉鹌鹑，收集得最少的，也收集了十堆，都摆在营幕四周。
11:33	肉还在他们的牙齿间，尚未嚼烂，上主就对人民发怒了，以极严重的灾祸打击了人民。
11:34	故此人给那地方起名叫克贝洛特阿塔瓦，因为在那里埋葬了贪饕的人民。
11:35	以后民众由克贝洛特阿塔瓦起程，向哈兹洛特出发，在哈兹洛特住下了。
	
12:0t	第十二章
	
12:1t	梅瑟的卓越地位
	
12:1	米黎盎和亚郎为了梅瑟所娶的雇士女人出言反对梅瑟，因为他娶了个雇士女人，
12:2	于是说：「上主岂只与梅瑟交谈，不是也与我们交谈过! 」上主听见了这话。
12:3	梅瑟为人十分谦和，超过地上所有的人。
12:4	上主忽然向梅瑟、亚郎和米黎盎说：「你们三人到会幕那里去。」他们三人就去了。
12:5	上主乘云柱降下，停在会幕门口，叫亚郎和米黎盎；他们两人就走向前去，
12:6	上主说：「你们听我说：若你们中有一位是先知，我要在神视中显示给他，在梦中与他谈话；
12:7	但对我的仆人梅瑟却不是这样，他在我全家中是最忠信可靠的。
12:8	我面对面与他明明说话，不藉谜语，并让他望见上主的形像。为什么你们竟不怕出言反对我的仆人梅瑟？」
12:9	上主对他们发著怒走了。
12:10	彩云一离开会幕，看，米黎盎就生了癞病，像雪那样白；亚郎转身看见米黎盎生了癞病，
12:11	遂对梅瑟说：「我主，恳求你，别使我们因一时愚昧所犯之罪而受罚!
12:12	求你别让她像个胎死腹中的人，一出娘胎，肉身就已腐烂了一半。」
12:13	梅瑟遂向上主呼求说：「天主，我求你治好她罢! 」
12:14	上主对梅瑟说：「若她的父亲在她面上吐唾沫，她岂不要七天忍此羞辱，七天把她隔离在营外，然后才让她回来？」
12:15	于是米黎盎七天之久，被隔离在营外；民众也没有起程，直到米黎盎回来。
12:16	以后，民众由哈兹洛特起程出发，在帕兰旷野扎了营。
	
13:0t	第十三章
	
13:1t	侦察客纳罕地
	
13:1	上主训示梅瑟说：「
13:2	你要派遣一些人去窥探我要赐给以色列子民的客纳罕地；每一宗族支派应派遣一人去，个个都应是他们中的领袖。」
13:3	梅瑟就依照上主的命令，从帕兰旷野派遣他们去了；这些人全是以色列民的首领。
13:4	以下是他们的名字：勒乌本支派是匝雇尔的儿子沙慕亚；
13:5	西默盎支派是曷黎的儿子沙法特；
13:6	犹大支派是耶孚乃的儿子加肋布；
13:7	依撒加尔支派，是若瑟的儿子依卡耳；
13:8	厄弗辣因支派是农的儿子曷舍亚；
13:9	本雅明支派是辣富的儿子帕耳提；
13:10	则步隆支派是索狄的儿子加狄耳；
13:11	若瑟支派，即默纳协支派是稣息的儿子加狄；
13:12	丹支派是革玛里的儿子阿米耳；
13:13	阿协尔支派是米加耳的儿子色突尔；
13:14	纳斐塔里支派是沃斐息的儿子纳赫彼；
13:15	加得支派是玛基的儿子革乌耳：
13:16	以上是梅瑟派去窥探那地方的人名；梅瑟给农的儿子曷舍亚起名叫若苏厄。
13:17	当梅瑟派遣他们窥探客纳罕地时，向他们说：「你们由此上乃革布去，然后上山区去，
13:18	窥看那地方怎样，看住在那地方的人民是强盛或是软弱，是稀少或是众多；
13:19	他们住的地方是好，或是坏；他们居住的城镇是不设防，或是设防的；
13:20	有什么土壤，是肥沃或是贫瘠；在那里有没有树木。你们应勇敢，带些那地方的果子来。」那时是葡萄初熟的时节。
13:21	他们遂上去，窥探了那地方，从亲旷野直到勒曷布，哈玛特关口。
13:22	他们上到乃革布，来到了赫贝龙。在那里有阿纳克的后裔阿希曼、舍瑟和塔耳买。──赫贝龙城比埃及左罕城早建七年。
13:23	他们一直来到厄市苛耳山谷，砍下了一枝只有一嘟噜的葡萄，两人用贡子抬著，又摘了些石榴和无花果。
13:24	人称那地方为厄市苛耳山谷，因为以色列子民从那里砍去了一嘟噜葡萄。 
	
13:25t	侦探的报告
	
13:25	四十天后，他们由侦探的地方回来，
13:26	到了帕兰旷野的卡德士去见梅瑟、亚郎和以色列子民的全会众，给他们和全会众报告，叫他们看那地方的果子。
13:27	他们向梅瑟报告说：「我们到了你派遣我们去的那个地方，实在是流奶流蜜的地方；这是那地方的出产。
13:28	只是住在那地方的人强盛，城镇坚固广大，而且我们在那里也见到了阿纳克的后裔。
13:29	阿玛肋克人住在乃革布地方；赫特人、耶步斯人和阿摩黎人住在山区；客纳罕人住在海滨和约但河沿岸一带。」
13:30	加肋布使百姓在梅瑟前镇静说：「我们尽管上去，必要占领那地方。我们必能战胜。」
13:31	但是与他同去的人却说：「我们不能前去攻打那民族，因为他们比我们强盛。」
13:32	于是他们在以色列子民中，对所侦探的地方散布谣言说：「我们侦探所经过的地方，是个吞噬当地居民的地方；我们在那里所见到的民族，都是高大的人。
13:33	在那里还见到了巨人，即巨人的后裔，阿纳克的子孙；我们看自己好像是蚱蜢；在他们看来，我们也实在如此。」
	
14:0t	第十四章
	
14:1t	人民群起反抗
	
14:1	全会众都大声喧嚷，人民哭了一夜。
14:2	以色列子民都抱怨梅瑟和亚郎；全会众对他们说：「巴不得我们都死在埃及地，都死在旷野里!
14:3	为什么上主引我们到那地方死在刀下，叫我们的妻子儿女当作战利品？再回埃及去，为我们岂不更好？」
14:4	于是彼此说：「我们另立头目，回埃及去。」
14:5	梅瑟和亚郎遂俯伏在以色列子民全会众前。
14:6	侦探那地方的人中，有农的儿子若苏厄和耶孚乃的儿子加肋布，他们撕裂了自己的衣服，
14:7	告诉以色列子民全会众说：「我们侦探所经过的地方，确是一片极好的地方。
14:8	若上主恩待我们，必引我们到那里去，将那地方赐给我们。那实在是一块流奶流蜜的地方。
14:9	只要你们不反抗上主，就不必怕那地方的人民，因为他们要作我们的掠物；护佑他们的，离开了他们，上主却与我们同在；所以不要怕他们。」
14:10	全会众正说要用石头砸死他们时，上主的荣耀在会幕上显示给全以色列子民。
14:11	上主对梅瑟说：「这人民轻慢我要到几时呢？我虽在他们中行了那些神迹，他们仍不相信我，要到几时呢？
14:12	我要用瘟疫打击他们，铲除他们，使你成为一个比他们更强大，更昌盛的民族。」
14:13	但是梅瑟对上主说：「埃及人如果听说这事，因为你曾用威力由他们中领出这民族来，
14:14	他们将说什么？这地方的居民也曾听说：你上主是在这民族中；你上主曾面对面地发显出来，你的云彩常停在他们上面；白日你乘云柱，黑夜你乘火柱，走在他们前面。
14:15	现在，如果你消灭这民族如消灭一个人一样，这些曾听到你声名的外邦民族必要议论说：『
14:16	由于上主不能引这民族进入他对他们所誓许的地方，就在旷野将他们杀了。』
14:17	吾主，如今求你，大发宽容，如你曾声明说：
14:18	上主缓于发怒，富于仁慈，宽赦过犯和罪过，但决不豁免惩罚，父亲的过犯，要向子孙追讨，直到三代四代。
14:19	求你大发仁慈，宽恕这人民的罪过，就如从埃及一直到现在，你宽赦了他们一样。」
14:20	上主回答说：「我就照你祈求的宽赦他们；
14:21	但是我以我的生命，以充满全地的上主的荣耀起誓：
14:22	这些见了我的荣耀，见了我在埃及和旷野里所行的神迹的人，已十次试探了我，不听我的话，
14:23	他们决不能见我对他们祖先誓许的地方；凡轻慢我的人，决不会见到那地方。
14:24	惟有我的仆人加肋布，因怀有另一种精神，全心服从我，我必引他进入他去过的地方，他的后裔必占有那地方为产业。
14:25	现今阿玛肋克人和客纳罕人盘据在山谷中，明天你们应转身向红海出发，往旷野去。」 
	
14:26t	人民遭受显罚
	
14:26	上主吩咐梅瑟和亚郎说：「
14:27	这个邪恶的会众抱怨我要到几时？以色列子民抱怨我的话我都听见了。
14:28	你对他们说：我以我的生命起誓：──上主的断语──我必照你们在我耳中所说的话，对待你们：
14:29	你们中凡二十岁以上登过记的，凡抱怨过我的，都要倒毙在这旷野中。
14:30	你们决不得进入我誓许给你们居住的地方，只有耶孚乃的儿子加肋布和农的儿子若苏厄除外。
14:31	至于你们的幼童，你们曾说他们要当战利品的，我要领他们进去，使他们享受你们所轻视的地方。
14:32	至于你们，你们必倒毙在这旷野中；
14:33	你们的子女要在旷野漂流四十年，受你们背信之罚，直到你们的尸首在旷野中烂尽。
14:34	你们侦探那地方的日子，共计四十天，一天算一年，你们应受四十年的罪罚，叫你们知道我放弃你们是什么一回事。
14:35	我上主既说了，也必对这聚集反抗我的邪恶会众这样做：在这旷野他们都要灭绝，在这里都要死尽。」
14:36	梅瑟派遣去侦探那地方的人，回来以后，对那地方散布谣言，致使全会众抱怨梅瑟。
14:37	这些对那地方讲说坏话的人，都遭了灾罚，死在上主面前；
14:38	前去侦探那地方的人，只有农的儿子若苏厄和耶孚乃的儿子加肋布，保全了性命。
14:39	梅瑟将这些话告诉了全以色列子民；人民都非常忧闷。
14:40	次日清晨他们起来，要上山顶去，说：「我们犯了罪，现在我们已准备好，要往上主所说的地方去。」
14:41	但是梅瑟说：「你们为什么要违背上主的命令？这事必不会成功。
14:42	不要上去，因为上主不在你们中间，难免不被敌人击败。
14:43	因为阿玛肋克人和客纳罕人在那里要抵挡你们，你们必丧身刀下；你们既背离了上主，上主自然不再与你们同在。
14:44	他们仍擅自上了山顶；但上主的约柜和梅瑟没有由营幕中移动。
14:45	住在山中的阿玛肋克人和客纳罕人就下来，击杀了他们，将他们追击到曷尔玛。
	
15:0t	第十五章
	
15:1t	与祭祀同献的素祭
	
15:1	上主训示梅瑟说：「
15:2	你吩咐以色列子民说：你们进入了我赐给你们居住的地方时，
15:3	如要以牛或羊献给上主作火祭，或作全燔祭，或作任何祭献，或为还愿，或出于自愿，或因逢节期，以之作为悦乐上主的馨香祭，
15:4	献祭的人应给上主加献十分之一「厄法」细面，调和四分之一「辛」油，作为素祭。
15:5	此外，为全燔祭或为任何祭献，还应奠上酒：为每只公羔羊，奠四分之一「辛」酒。
15:6	如果是只公绵羊，应加献十分之二「厄法」细面，调和上三分之一「辛」油，作为素祭；
15:7	再奠上三分之一「辛」酒，作为悦乐上主的馨香祭。
15:8	如果你以一只牛犊献作全燔祭或任何祭献，或为还愿，或献与上主作和平祭，
15:9	除牛犊外，还应加献十分之三「厄法」细面，调和上半「辛」油，作为素祭；
15:10	再奠上半「辛」酒，作为悦乐上主的馨香火祭。
15:11	每献一头公牛，或一只公绵羊，或一只公羔羊，或一只公山羊，都应照此而行；
15:12	你们所献的数目无论多少，为每一只都应照此而行。
15:13	本地人不论谁，献悦乐上主的馨香火祭时，都应这样行。
15:14	几时一个与你们同住的，或与你们的后代同住的外方人，愿献悦乐上主的馨香火祭，你们怎样行，他也应怎样行。
15:15	全会众，不论是为你们，或为与你们同住的外方人，只有一样的规定；这为你们世世代代，是一永远的规定：在上主面前你们与外方人一样；
15:16	为你们和与你们同住的外方人，只有一种法律，只有一种制度。」 
	
15:17t	初熟祭和赎罪祭
	
15:17	上主训示梅瑟说：「
15:18	你吩咐以色列子民说：几时你们进入了我引你们去的地方，
15:19	吃那地方的食粮时，应拿一分献给上主作礼品：
15:20	由初熟的麦面团中，献一个饼作礼品，有如奉献才从禾场打下之物一样。
15:21	你们世世代代，应从初熟麦面团中取出，献给上主作礼品。
15:22	如果你们误犯了过失，而没有遵行上主向梅瑟所吩咐的某条诫命，
15:23	即上主藉梅瑟向你们所吩咐的，由上主出命之日起，直到你们世世代代，
15:24	那么，如果是会众出于无心误犯了过失，全会众应献一公牛犊当全燔祭，作为悦乐上主的馨香祭，并依照礼规献素祭和奠酒礼，再献一公山羊作赎罪祭。
15:25	司祭应为以色列子民全会众行赎罪礼，他们即可获得赦免，因为这是无心之过。当他们为这无心之过，给上主奉献了火祭，并在上主面前献了赎罪祭后，
15:26	以色列子民全会众以及住在你们中的外方人，都获得赦免，因为全人民犯了无心之过。
15:27	如果是一人出于无心犯了罪，应献一只一岁的母山羊作赎罪祭。
15:28	司祭为这犯无心之过的人，在上主面前行赎罪礼，因为他由于无心犯了罪；为他行了赎罪礼，他即可获得赦免。
15:29	凡以色列子民，不拘是本地人或住在你们中的外方人，对误犯过失的人，只有一条法律。
15:30	但如果一人，不论是本地人，或是外方人，敢大胆妄为，侮辱上主，这人应由民间铲除；
15:31	因为他轻视了上主的话，违犯了他的诫命，这人应被除灭，应自负罪债。」 
	
15:32t	犯安息日的罪罚
	
15:32	以色列子民尚在旷野的时候，遇见一人在安息日拾柴，
15:33	遇见他拾柴的人，就带他到梅瑟及亚郎和全会众前；
15:34	他们将他押在看守所内，因为尚未指明应如何处置他。
15:35	那时上主对梅瑟说：「这人应处死刑，全会众应在营外用石头将他砸死。」
15:36	全会众遂拉他到营外，用石头砸死他，照上主对梅瑟所吩咐的。 
	
15:37t	衣边应带□头
	
15:37	上主训示梅瑟说：「
15:38	你吩咐以色列子民，命他们世世代代，在自己衣边上做上□头；衣边的每个□头，应用紫绳系著。
15:39	这□头是为叫你们一看见，就想起上主的诫命，依照遵行，免得你们随从心中和眼目的欲望，而放纵淫乱。
15:40	这样，你们必对我的一切诫命，怀念不忘，依照遵行；这样在你们的天主面前，你们常是圣洁的。
15:41	我上主是你们的天主，我领你们出离埃及是为作你们的天主：我上主是你们的天主。」
	
16:0t	第十六章
	
16:1t	科辣黑同党作乱受罚
	
16:1	肋未的儿子刻哈特的后裔依兹哈尔的儿子科辣黑，和勒乌本的后裔厄里雅布的两个儿子达堂和阿彼兰，并培肋特的儿子翁，
16:2	起来反抗梅瑟。此外，还有二百五十个以色列人，他们都是会众的领袖，会议的要员，有名望的人。
16:3	他们团结起来反抗梅瑟和亚郎，对他们说：「你们太过份了! 全体会众都是圣洁的人，上主也在他们中；为什么你们却抬举自己在上主的集会以上？」
16:4	梅瑟一听这话，就俯伏在地。
16:5	然后对科辣黑和他同党的人说：「明天早上，上主会使人知道，谁是他的人，谁是圣者；他使谁亲近自己：他许谁亲近自己，谁就是他所选的人。
16:6	你们应这样做：科辣黑和他同党的人啊! 你们要拿著火盘，
16:7	明天在盘里放上火，在上主面前，添上乳香；上主拣选谁，谁就是圣者。肋未的子孙，你们太过份了! 」
16:8	梅瑟又对科辣黑说：「肋未的子孙，请听我说：
16:9	以色列的天主将你们与以色列会众分开，使你们亲近他，在上主帐幕内服务，站在会众前头代他们行礼，这为你们还不够么？
16:10	他已使你和你所有的兄弟──肋未的子孙，亲近他，你们还要贪求司祭之职么？
16:11	其实你和你的同党所共谋反抗的是上主；至于亚郎，他算什么，你们竟抱怨他？」
16:12	梅瑟派人去叫厄里雅布的儿子达堂和阿彼兰来；他们却答说：「我们不去!
16:13	你领我们由流奶流蜜的地方上来，叫我们死在旷野，这为你还不够，你还想作王统治我们么？
16:14	你并没有领我们到了流奶流蜜的地方，也没有给我们田地和葡萄园当产业啊! 你想剜出这些人的眼睛么？我们不去! 」
