1:-1t	箴言篇
14:30	心平气和，使身体康健；心怀嫉忌，使骨骸腐蚀。
14:31	欺压穷人的，就是凌辱他的造主；怜恤苦人的，就是尊敬他的造主。
14:32	恶人因自己的邪恶，必被毁灭；义人因自己的正义，有所凭借。
14:33	智慧居于哲人的心中，愚人的怀中一无所见。
14:34	正义能以兴邦立国，罪恶却使人民衰落。
14:35	明哲的臣仆，蒙受君王的宠幸；无用的臣仆，必遭君王的盛怒。
	
	
15:0t	第十五章(33)
	
15:1t	待人接物要温和
15:1	温和的回答，平息忿怒；激昂的言语，使人动怒。
15:2	智慧者的舌，广传智慧；愚昧人的口，吐露愚昧。
15:3	上主的眼目，处处都在；善人和恶人，他都监视。
15:4	抚慰的言辞，有如生命树；刻薄的言语，能刺伤人心。
15:5	愚蠢的人，轻视父亲的管教；遵守规劝的，为人必精明。
15:6	在义人家里，财产丰富；恶人的收入，必遭毁灭。
15:7	智慧人的唇，散播智识；愚昧人的心，实不可靠。
15:8	上主厌恶恶人的祭献，却喜悦正直人的祈祷。
15:9	上主厌恶恶人的道路，却喜爱追求正义的人。
15:10	离弃正道的，必遭严罚；憎恨规劝的，只有死亡。
15:11	阴府和冥域，都明摆在上主面前，何况世人的心怀!
15:12	轻狂者不爱受人指责，也不愿与智慧人往来。
	
15:13t	心安的幸福
15:13	心中愉快，使面容焕发；心中悲伤，使精神颓丧。
15:14	明达人的心，寻求智识；愚昧人的口，饱食昏愚。
15:15	心情忧伤的，日日困坐愁城；心胸畅快的，时时如享喜宴。
15:16	少有财宝而敬畏上主，胜于富有财宝而诸多烦恼。
15:17	有情吃蔬菜，胜于无情食肥牛。
15:18	易怒的人，常引起争端；含忍的人，却平息争论。
15:19	懒惰人的道路，有如荆棘篱笆；正直人的行径，却是康庄大道。
15:20	智慧的儿子，是父亲的喜乐；只有愚昧人，轻视自己的母亲。
15:21	无知的人，以愚昧为乐；明智的人，却直道而行。
15:22	缺乏考虑，计划必要失败；谋士众多，策略方克有成。
15:23	应对得当，自觉快慰；言语适时，何其舒畅!
15:24	生命之路使明智人向上，为此他能避免向下的阴府。
	
15:25t	上主爱恶的人
15:25	上主将拆毁骄傲人的房屋，却要坚定寡妇的地界。
15:26	邪恶的阴谋，为上主所憎恶；温良的言语，却为他所喜悦。
15:27	贪求财货的，困扰自己的家庭；憎恶馈赠的，生活必能安定。
15:28	义人的心，只默思善事；恶人的口，只吐露恶语。
15:29	上主远离恶人，却俯听义人的祈祷。
15:30	晶莹的目光，使人心旷神怡；美好的讯息，使人筋骨壮健。
15:31	喜听有益生命劝戒的人，必得列于智慧人中。
15:32	避免教导的，是作贱自己；听从规劝的，必获得机智。
15:33	敬畏上主，是智慧的导师；谦卑自下，是荣耀的先声。
	
	
16:0t	第十六章(33)
	
16:1t	谋事在人成事在天
16:1	内心策划在于人，应允却在于上主。
16:2	对自己的行为，人都自觉无瑕；但审察心灵的，却是上主。
16:3	将你的作为委托于上主，这样你的计划必会成功。
16:4	上主所造的各有其用意，连恶人也有不幸的一日。
16:5	居心傲慢的，上主必厌恶；这一类的人，逃不掉惩罚。
16:6	藉慈善忠诚，可补赎罪过；藉敬畏上主，可避免罪恶。
16:7	世人的行径，若中悦上主，他必使仇敌，再与他和好。
16:8	收入少而守正义，胜于进款多而行不义。
16:9	人心里都策划自己的行径；但他的步伐却由上主支配。
	
16:10t	理想的君王
16:10	神明的断语，出自君王口；他口下判断，必不致差错。
16:11	天秤和称盘，属上主所有；囊中的法码，全由他制定。
16:12	君王最厌恶的是作恶，因为王位赖正义而立。
16:13	正义的唇舌，为君王所喜悦；说话正直者，为君王所爱戴。
16:14	君王的震怒，是死讯的使者；但是智慧人，能平息王怒。
16:15	君王容光焕发，人即可活命；君王的恩泽，有如春云时雨。
	
16:16t	智慧人谦逊谨慎
16:16	获得智慧，胜于获得黄金；获得智识，胜于获得白银。
16:17	正直人的行径远离邪恶，谨守行为的人必确保生命。
16:18	骄横是灭亡的先声，傲慢是陨落的前导。
16:19	谦下与贫民共处，胜于与骄傲人分赃。
16:20	细听劝言的，必将受益；信赖上主的，真是有福。
16:21	有慧心的人，被称为哲人；温和的口吻，更具说服力。
16:22	为有智识的人，智识是生命的泉源；然而糊涂愚昧，却是愚昧人的惩罚。
	
16:23t	智慧人善于辞令
16:23	智慧人的心，使自己的嘴灵巧，使自己的唇舌，更具说服力。
16:24	亲切的言语，有如蜂蜜，使心灵愉快，使筋骨舒畅。
16:25	有些道路，看来正直；走到尽头，却是死路。
16:26	工人的胃口，催他劳作；工人的口腹，迫他工作。
16:27	无赖之徒，图谋邪恶；他的嘴上，似有火烧。
16:28	乖戾的人，撒播争端；告密的人，离间友情。
16:29	强横的人，诱惑朋友；引他走入不正之徒。
16:30	谁紧闭眼睛，是在策划阴谋；谁紧咬口唇，邪恶业已完成。
16:31	皓首白发，是尊荣的冠冕；只在正义的道上，方可获得。
16:32	有涵养的人，胜于勇士；克服自己的人，胜于克城的人。
16:33	人尽可在怀中抽签，但决断却在乎上主。
	
	
17:0t	第十七章(28)
	
17:1t	与人相处要和善
17:1	干饼一张而平安共食，胜于满屋佳肴而互相争吵。
17:2	聪明的仆人必能管治任性的儿子，且可与弟兄们共分产业。
17:3	锅炼银，炉炼金，上主炼人心。
17:4	奸诈的人，爱听胡言乱语；说谎的人，轻信是非长短。
17:5	嘲笑穷人的是凌辱他的造主；幸灾乐祸的，必不能脱免惩罚。
17:6	孙儿是老人的冠冕，父亲是儿女的光荣。
17:7	优雅的言词，不适宜于愚人；虚伪的狂语，更不宜于君王。
17:8	贿赂在馈赠者眼中，有如宝石；不论他要转向何方，无往不利。
17:9	掩饰他人的过错，可获得友爱；屡念旧日的过恶，则离间友谊。
17:10	对明智人一句指责，胜过对愚昧人百次杖击。
17:11	暴徒只求叛乱，但有残酷使者，奉命前来对付。
17:12	宁愿遇见失掉幼子的母熊，不愿逢着正在发狂的愚人。
17:13	谁以怨报德，灾祸必不离开他的家。
17:14	争论的开端，如水之破堤；在激辩之前，应极加制止。
	
17:15t	为人要公正
17:15	宣判罪人无罪，判定义人有罪：二者同为上主所憎恶。
17:16	愚昧的人，既没有头脑，手执金钱买智慧，又何益之有﹖
17:17	朋友平时常相爱，唯在患难中见兄弟。
17:18	常为人击掌作保，实是个无知之徒。
17:19	好争辩的人，实喜爱罪过；高举门户的，必自趋灭亡。
17:20	谁存心欺诈，不会得幸福；谁搬弄是非，必陷于灾祸。
17:21	生糊涂孩子的，只有悲哀；糊涂人的父亲，毫无乐趣。
17:22	愉快的心，是良好的治疗；神志忧郁，能使筋骨枯萎。
17:23	恶人在大衣下受贿赂，是为颠倒正义的判词。
17:24	精明的人，常面向智慧；愚者的眼，向地极呆望，
17:25	愚昧的儿子，是他父亲的痛苦，是他生母的忧伤。
17:26	科罚无辜，已属不当；杖责君子，更属不义。
17:27	智者必沉默寡言，达人必心神镇定。
17:28	愚人不发言，亦可充作智者；若谨口慎言，亦可视为哲人。
	
	
18:0t	第十八章(24)
	
18:1t	恶人言行的愚蠢
18:1	与众寡合的，只求私意；对任何指教，都表忿恨。
18:2	愚昧的人不喜爱受教，只爱显露自己的心意。
18:3	邪恶一来，轻视随到；侮辱也随无耻而至。
18:4	哲人口中的言语有如深水，又如汹涌的溪流，生命的泉源。
18:5	在判案时，徇恶人之私，加害于义人，实属不公。
18:6	愚人的唇舌，常引起争端；愚人的口舌，常自招责打。
18:7	愚人的舌，使自己丧亡；他的嘴唇，是害己的陷阱。
18:8	进谗者的话，如可口美味，能深深透入肺腑的深处。
18:9	懒于操劳的人，是败子的弟兄。
18:10	上主的名号，是坚固保垒；义人投入内，必得享安全。
18:11	富人的财产，是他的坚城；在他意想中，象座高墙。
18:12	心傲是灭亡的前导，心谦是光荣的前驱。
18:13	未听而先答，真昏愚可耻。
18:14	刚毅的精神，能忍受病苦；若精神萎靡，有谁能支持﹖
18:15	明智人的心，必获得学问；智慧人的耳，必探求知识。
	
18:16t	裁判诉讼的处理
18:16	礼物能给人大开门路，引人晋谒权贵。
18:17	先诉理者似有理，对手来时再审断。
18:18	抽签可以使争端平息，也能调解权贵的纠纷。
18:19	兄弟若不和，比坚城还难攻克；他们的争辩，有如碉堡的门闩。
18:20	人必以口中果实充满肚腹，必饱尝自己唇舌的出产。
18:21	死亡和生命，全在乎唇舌；放纵唇舌的，必自食其果。
18:22	谁觅得了贤妻，便觅得了幸福，得了上主恩眷。
18:23	贫穷的人哀恳乞怜；富贵的人厉声以对。
18:24	交朋友过多，必会有损害；但有些朋友，远胜亲兄弟。
	
	
19:0t	第十九章(29)
	
19:1t	真正的朋友
19:1	穷而行为正直，胜于富而唇舌欺诈。
19:2	热诚无谋，诚不可取；步伐匆忙，难免失足。
19:3	人因愚蠢自毁前途；他的心反迁怒上主。
19:4	财富招来许多朋友，穷人却为亲朋所弃。
19:5	作假见证的人，难免受罚；撒播谎言的人，势必难逃。
19:6	大方的人，人人奉承；好施的人，人都谄媚。
19:7	人穷兄弟恨，朋友更远离；谁追求空言，是捕风捉影。
	
19:8t	智愚的分别
19:8	获得明哲的，必爱惜自己；珍惜明智的，必觅得幸福。
19:9	作假见证的人，难免受罚；撒播谎言的人，自趋灭亡。
19:10	安逸的生活，不适于愚人；奴隶管君主，更是不相宜。
19:11	明智的人，缓于发怒，宽恕愆尤，引以为荣。
19:12	君主的盛怒，有如狮子的怒吼；君王的恩惠，有如草上的朝露。
19:13	愚昧的儿子，是父亲的灾祸；吵闹的女人，有如屋顶漏水。
19:14	房屋与钱财，是父母的遗产；贤明的妻子，是上主的恩赐。
19:15	懒慢怠惰，使人沉睡；闲荡的人，必要挨饿。
	
19:16t	应尊敬上主
19:16	恪守上主诫命的，可保全生命；轻视上主道路的，必自趋丧亡。
19:17	向穷人施舍，是借贷于上主；对他的功德，上主必要报答。
19:18	尚有希望时，应惩罚儿子；但不可存心置他于死地。
19:19	易怒的人，应当受罚：你越宽容，他越乖戾。
19:20	你应听取劝告，接受教训，使你今后成个明智的人。
19:21	人在心中尽可策划多端，实现的却是上主的计划。
19:22	慷慨为人有利，穷汉胜过骗子。
19:23	敬畏上主，使人得生命，满怀敬畏，必无殃无祸。
	
19:24t	应勤劳孝顺
19:24	懒惰人伸手到食盘，却懒于送回到口边。
19:25	你若杖责轻狂人，幼稚者将变明智；你只谴责明智者，他即更明了义理。
19:26	苛待父亲，迫走母亲的，实是卑贱可耻的儿子。
19:27	我儿，你停止听取教训，就是远离智慧的训言。
19:28	邪曲的见证，戏笑公义；恶人们的嘴，吞食不义。
19:29	体刑是为轻狂人而设，鞭笞是为愚人背而备。
	
	
20:0t	第二十章(30)
	
20:1t	劝人戒饮慎交
20:1	清酒令人轻狂，醇酒使人发疯；凡沉溺于酒的，必不是明智人。
20:2	君王的震怒，有如狮子的咆哮；触怒他的，危害自己的性命。
20:3	平息争端，是人的光荣；凡是愚人，都喜爱争论。
20:4	懒惰人一寒冷，便不耕作；收获之时，他必一无所获。
20:5	人心的谋略，有如深水，唯有聪明人，才能汲取。
20:6	自命为仁者，比比皆是；但有谁找到忠贞的人﹖
	
20:7t	为人要正直
20:7	正义的人，必然为人正直；他的后代子孙，必然有福。
20:8	君王高坐在判座上，所有邪恶一目了然。
20:9	有谁能说：「我保持了心灵的洁净，我是纯洁无罪的﹖」
20:10	不同的衡量，不同的升斗：二者皆为上主同样厌恶。
20:11	孩童的行为，洁净正直与否，由他的举动便可认出。
20:12	能听的耳朵，能看的眼睛：二者皆为上主所造。
20:13	不要贪睡眠，免得你受穷；两眼睁开，才能得饱食。
20:14	顾客常说：「不好，不好!」但一离去，赞不绝口。
20:15	虽有大批黄金宝石，但最宝贵的，还是明智的唇舌。
	
20:16t	吉凶凭人自决
20:16	谁为外方人作保，拿去他的衣服；谁为异邦人作保，以他本人作质。
20:17	骗来的食物颇觉香甜，事后口中却满是砂砾。
20:18	运筹帷幄，必先要商讨；进行战事，必该凭智谋。
20:19	游荡闲谈的，必泄露秘密；张口饶舌的，别与他交结。
20:20	凡是辱骂自己父母的人，他的灯必在幽暗中熄灭。
20:21	起初容易得来的财物，最后也不会得到降福。
20:22	你切不可说：「我以恶报恶；」应信赖上主，他必拯救你。
20:23	不同的衡量，为上主所恶；不同的天秤，实属不道德。
20:24	世人的脚步，由上主支配；人那能了解自己的道路﹖
20:25	人若冒然说「圣，」许愿后才反省，这是自投罗网。
20:26	智慧的君王簸扬恶人，且用车轮来压轧他们。
20:27	人的神魂是上主的灯，探照肺腑的一切隐密。
20:28	仁爱和忠诚，是君王的保障；他的宝座，是赖慈爱而支撑。
20:29	少年人的光荣，在于他们的魄力；老年人的荣耀，在于他们的白发。
20:30	见伤的鞭打能清除邪恶，杖击能触及肺腑的深处。
	
	
21:0t	第二十一章(31)
	
21:1t	上主鉴察人心
21:1	君王的心在上主手里，有如水流，可随意转移。
21:2	人对自己的行为，都自觉正直；但审察人心的，却是上主。
21:3	秉公行义，比献祭献更悦上主。
21:4	傲慢的眼睛，骄矜的心灵，恶人的炫耀，无非是罪恶。
21:5	熟思的人，必足以致富；草率的人，必贫困缠身。
	
21:6t	作恶是害己
21:6	以谎言伪语骗得的财宝，是浮云轻烟，死亡的罗网。
21:7	恶人的暴戾，必殃及自身，因他们不肯去履行正义。
21:8	恶人的道路，歪曲邪辟；正人的行为，正直适中。
21:9	宁愿住在屋顶的一角，不愿与吵妇同居一室。
21:10	恶人的心灵，只求邪恶；对自己友伴，毫不关怀。
21:11	轻狂人遭受处罚，幼稚者将得明智；智慧人接受教训，更增加自己知识。
21:12	正义的上主监视恶人的家，且使恶人都陷于灾祸。
	
21:13t	为人应正义
21:13	谁对穷人的哀求，充耳不闻，他呼求时，也不会得到应允。
21:14	暗中相送的馈赠，可平息忿怒；投入怀中的礼物，可平息狂怒。
21:15	秉公行义，能叫义人喜乐；但为作恶的人，却是恐惧。
21:16	凡远离明智道路的人，必居于幽灵的集会中。
21:17	贪爱享乐的人，必遭受穷困；喜爱酒油的人，必不会致富。
21:18	恶人必将为义人作赎金，败类也将替君子作代价。
21:19	与好争易怒的女人同居，倒不如独自住在旷野里。
21:20	珍贵的宝藏和油，积藏在智者家里；但糊涂愚昧的人，却将之消耗净尽。
21:21	追求正义和仁慈的人，必将获得生命与尊荣。
21:22	智者必登上勇士的城邑，攻破城邑所凭倚的保垒。
21:23	谁谨守自己的口舌，心灵必能免受烦恼。
21:24	高傲的人名叫「狂人」，他行事必极端蛮横。
21:25	怠惰人的手不肯操作，必为他的愿望所扼杀。
21:26	贪婪的人，终日贪婪；正义的人，广施不吝。
21:27	恶人的祭献，已是可憎；若怀恶而献，更将如何﹖
21:28	作假见证的人，必要灭亡；但善于听的人，才可常言。
21:29	邪恶的人，常装腔作势；正直的人，却举止检点。
21:30	任何智慧、才略或计谋，都不能与上主相对抗。
22:31	招兵买马，是为作战之日；但是胜利，却由上主指使。
	
	
22:0t	第二十二章(29)
	
22:1t	真正的贫富
22:1	信誉比多财可取，敬仰必金银可贵。2
22:2	富人与穷人彼此相遇，二者皆为上主所造。
22:3	精明人遇见灾祸，即行隐避；无知者反向前走，自招损害。
22:4	谦卑的赏报，是敬畏上主，是享有财富、尊荣和生命。
22:5	恶者的路上，满布荆棘罗网；洁身自爱的人，必能远而避之。
22:6	你教导孩童应行的道路，待他老年时也不会离弃。
22:7	富人宰割穷人，债主奴役债户。
22:8	播种邪恶的，必收获灾祸；他辛苦工作，必全属徒然。
22:9	目光慈祥的，必蒙受降福，因他将食粮，施舍给狂人。
22:10	赶走了狂人，就除了争执；争讼与侮辱，亦相继止息。
22:11	纯洁的心灵，是上主所爱；优雅的唇舌，是君王所悦。
22:12	上主的眼目，常卫护知识；败类的言论，必加以毁灭。
22:13	只有懒人说：「外面有狮子，在街市之中，我会被吞噬。」
22:14	淫妇的口，实是个深坑；上主恼怒的，必堕入其中。
22:15	孩童心中藏愚昧，只有戒尺能驱逐。
22:16	欺压穷人，是使他致富；馈赠富者，是使他贫穷。
	
22:17t	智者的金言
22:17	你应当倾听智者的训言，应专心致意领会我的知识。
22:18	你若细心存想，常在口中诵念，必会令你喜悦。
22:19	为使你的信赖全托于上主，我今日特将道路指示给你。
22:20	关于教诲和知识，我岂未多次写过；
22:21	使你认识真言实理，答复前来问你的人﹖
22:22	你不可因为人穷而剥削穷人，亦不可在城门口欺压弱小；
22:23	因为他们的案件，上主必予以辩护；凡剥夺他们的人，上主必讨其生命。
22:24	易怒的人，不可与他交结，暴躁的人，不要与他往来，
22:25	免得你沾染他的恶习，甘冒丧失性命的危险。
22:26	不要为别人击掌，不要为债务作保；
22:27	免得你没有什么偿还时，连你的床榻也被人夺走。
22:28	祖先立定的旧界，你不要加以移动。
22:29	你曾见过办事能干的人吗﹖他必侍立在君王面前，决不侍立在庸人面前。
	
	
23:0t	第二十三章(35)
	
23:1t	饮食的仪态
23:1	几时你与首长坐席，应记着，在你面前的是谁。
23:2	你若过于贪食，应在咽喉上，放上一把刀。
23:3	休要羡慕他的珍馐，因那是骗人的食品。
23:4	不要辛苦企求致富，反应放弃这种企图。
23:5	你一向之注目，即不再存在了：它会生出翅膀，如鹰向天飞去。
23:6	不要与虎视眈眈的人进食，也不要羡慕他的山珍海味，
23:7	因为他原是只顾自己的人，他口头虽对你说「请吃请喝!」但他的心中并不与你友善；
23:8	你吃下的那口食物，还得吐出；你婉转悦耳的言辞，尽属枉费。
23:9	不要与愚人交耳接谈，因他必轻视你的高见。
23:10	不要移动孀妇的地界，不要侵占孤儿的田地；
23:11	因为他们的辩护者是大能的，他必为他们的案件与你争辩。
	
23:12t	青年应受严格教育
23:12	你应专心接受教训，倾耳细听益智之言。
23:13	对孩童不可忽略惩戒；用棍打他，他不致死去。
23:14	你用棍杖打他，是救他的灵魂免下阴府。
23:15	我儿，你若心怀智慧，我也诚心喜乐；
23:16	你的唇舌若谈吐正义的事，我的五衷也必会踊跃欢欣。
23:17	心里不要羡慕罪人，却要日日敬畏上主；
23:18	这样你的将来必然顺利，你的希望绝不落空。
23:19	我儿，你要听话，作个明智人；且要引领你的心走上正道。
23:20	贪嗜酒肉的人，不可与之来往；
23:21	因为嗜酒贪食的人，必陷于穷困；贪懒好睡的人，必衣着褴褛。
	
23:22t	劝人尽孝道
23:22	对生养你的父亲，应当听从；对你年迈的母亲，不可轻视。
23:23	应获取真理，不可出卖，还有智慧、训诲和见识。
23:24	义人的父亲，必欣然喜乐；生育慧子的，必为此欢腾。
23:25	应使你的父亲因你而喜悦，应使你的生母因你而快乐。
23:26	我儿，将你的心交给我，注目于我的道路：
23:27	妓女是一个深坑，淫妇是一个陷阱；
23:28	她潜伏着，实如强盗，使人世间，增添奸夫。
	
23:29t	劝人戒酒
23:29	是谁将哀鸣，是谁将悲叹﹖是谁将争吵，是谁将抱怨﹖是谁将无故受伤，是谁将双目赤红﹖
23:30	是那流连于醉乡，去搜求醇酒的人。
23:31	你不要注视酒色怎样红，在杯中怎样闪耀，饮下去怎样痛快!
23:32	终究它要咬人如蛇，刺人如虺。
23:33	那时，你的眼要见到奇景，你的心要吐出狂语。
23:34	你宛如躺在海中心，睡在桅杆顶。「
23:35	人打我，我不痛，人捶我，我不觉；我何时苏醒，好再去寻醉!」
	
	
24:0t	第二十四章(34)
	
24:1t	智慧的富贵
24:1	你不要妒忌作恶的人，不要希求与他们共处；
24:2	因为他们的心灵，只图谋不轨；他们的嘴唇，只讲论是非。
24:3	因着智慧，家庭得以兴建；因着明智，家庭得以稳定。
24:4	各种珍奇可爱的宝物，因着智识可储藏满室。
24:5	智慧人胜于壮士，明智人强于勇士；
24:6	因为作战须有智谋，胜利在于谋士众多。
24:7	为愚昧的人，智慧太高妙；他在城门口，只好不开口。
24:8	筹划作恶的人，可称为阴险家。
24:9	愚人的计谋只是罪恶；狂妄的人为人所憎恶。
24:10	你若萎靡不振，到灾难的日子，必然气竭力尽。
	
24:11t	对人的义务
24:11	被带去受死的人，你应拯救他；行将被杀戮的人，你要挽救他。
24:12	或许你要说：「看!我全不知道!」难道那权衡人心的能不明了﹖难道监察你心灵的能不知道﹖他必按每人的作为还报每人。
24:13	我儿，你要吃蜜，因为蜜好；蜂房的蜜，香甜可口。
24:14	对你的灵魂，智慧也是这样：你找得了她，必有好前途；你所希望的，决不会落空。
24:15	恶人对义人的家，不要图谋不轨；对他的住所，不要加以破坏；
24:16	因为义人虽七次跌倒，仍然要起来；但是恶人一失足，必陷祸患中。
24:17	你的仇人跌倒，且不要高兴；他若失足摔倒，且不要心喜；
24:18	免得上主看见而不快，因而撤消对他的忿怒。
24:19	对作恶的人，你不要动怒；对乖戾之徒，也不必嫉妒；
24:20	因为恶人终没有好前途，恶人的灯必要熄灭。
24:21	我儿，上主和君王，你都要敬畏；对他们二者，皆不可触怒；
24:22	因为他们的惩罚可突然而至；他们的摧残，有谁能知晓﹖
	
24:23t	应秉公行义
24:23	以下是智者的箴言：在判案时，顾及情面，就不公平。
24:24	谁对恶人说：「你是正义的。」人民必骂他，百姓必恨他。
24:25	按公道加罚的，必事事顺遂；美好的降福，必临于其身。
24:26	应答适宜的人，宛如与人接吻。
24:27	你要先在外经营好事业，在田间将工作准备停当，然后才可建立你的家室。
24:28	不要轻易作证，反对你的近人；也不要以你的口舌，欺骗他人。
24:29	不可说：「人怎样待我，我怎样待人；照人之所行，我予以还报。」
	
24:30t	懒惰之危害
24:30	我走过懒惰人的田地，经过愚昧人的葡萄园：
24:31	看，到处是荆棘，满地是蒺黎，石墙也倒了!
24:32	我看了，便心下自思；我见了，取得了教训：
24:33	「再睡片刻，再假寐片刻，再抱臂躺卧片刻」──
24:34	这样，贫穷就要如同窃贼，困乏也要如同武士，向你侵袭。
	
	
25:0t	第二十五章(28)
	
25:1t	君王前应有的态度
25:1	以下也是撒罗满的箴言，由犹大王希则克雅的人所搜集：
25:2	将事隐蔽，是天主的光荣；清察事实，是君王的光荣。
25:3	天有多高，地有多厚，王有何心，不可测量。
25:4	若将银渣除去净尽，银匠必会造出银器；
25:5	若将君王前的恶人除掉，王座即可因正义而稳立。
25:6	你在君王前不可炫耀，不可占有权贵的座位；
25:7	因为人对你说「请上座!」比在贵前受抑更好。
	
25:8t	应避免争讼
25:8	你眼若有所见，不可冒然诉讼；人若使你难堪，你将何以善后﹖
25:9	与你的近人，可自决争端；他人的秘密，切不可泄漏；
25:10	免得人听见了而讥笑你，使你的声誉一败涂地。
25:11	一句简单话，若说得适当，有如银盘中，放上金苹果。
25:12	明智的劝戒，对受教的人，无异于金环，或纯金美饰。
25:13	忠诚的使者，对遣他的人，有如秋收时，吹来的凉风，使他主人的心感到愉快。
25:14	许诺而不实践的人，只好似无雨的风云。
25:15	容忍可以折服公侯，柔语能以粉碎硬骨。
	
25:16t	凡事要有节制
25:16	你找到蜂蜜，应按食量吃；怕吃的过多，反要吐出来。
25:17	邻舍的住家，你应少踏入；怕他讨厌你，反而憎恨你。
25:18	作假见证陷害邻舍的人，无异是铁锤、刀剑和利箭。
25:19	在患难之日，信赖无信用的人，有如信赖蛀坏的牙，脱节的脚。
25:20	对忧伤的心灵咏唱诗歌，无异在伤口处倒上酸醋。
25:21	若仇人饿了，你要给他吃；若是他渴了，应给他水喝：
25:22	这是将火炭堆在他头上，上主也必要因此还报你。
25:23	北风带来时雨；谗言易惹怒容。
25:24	宁愿住在屋顶的一角，不愿与吵妇同居一室。
25:25	来自远方的喜信，无异口渴获清泉。
25:26	义人如在恶人面前失足，无异弄混的水泉，弄浊的水井。
25:27	吃蜂蜜过多，有损无益；过于求光荣，反而受累。
25:28	人若不控制自己的脾气，就如一座无墙无防的城市。
	
	
26:0t	第二十六章(28)
	
26:1t	愚人的素描
26:1	有如夏日下雪，秋收降雨，不合时令；同样愚昧的人获得光荣，亦不适宜。
26:2	有如麻雀逃走，燕子飞去：无端的咒骂，也一去无踪。
26:3	马需要皮鞭，驴需要辔头，愚昧人的脊背需要棍棒。
26:4	回答愚昧人，别照样愚昧，免得你也象他一样；
26:5	回答愚昧人，有时应愚昧，免得他自以为聪明。
26:6	派遣愚昧人，去作传话人，是自断己足，是自寻苦恼。
26:7	犹如跛子的脚虚悬无力，箴言在愚人口中也是如此。
26:8	将光荣体面授给愚昧人，无异将宝石投在石堆里。
26:9	箴言在愚人口中，犹如荆棘在醉汉手中。
26:10	雇用愚人或过路人的人，无异射伤众人的弓手。
26:11	愚人一再重复他的愚行，犹如狗再吃它呕吐之物。
26:12	你是否见过自作聪明的人﹖寄望于愚人必寄望于他更好。
	
26:13t	懒人的素描
26:13	懒惰人常说：「路上有猛狮，街市有壮狮。」
26:14	懒人在床榻上辗转，犹如门扇在枢纽上旋转。
26:15	懒人伸手在盘中取食，送到口边也感到辛苦。
26:16	懒惰人自视为聪明，远胜过七个善于应对的人。
	
26:17t	馋言起争端
26:17	干涉与己无关的争端，有如抓过路狗的尾巴。
26:18	谁骗了人而后说：「我只开玩笑!」
26:19	犹如狂人投掷火把、利箭和死亡。
26:20	没有木柴，火即熄灭；没有谗言，争端即息。
26:21	谁惹事生非，挑拨争端，是在火炭上加炭，火柴上加柴。
26:22	进谗者的话，如可口美味，能深深透入肺腑的深处。
	
26:23t	伪人的阴险
26:23	口蜜腹剑的人，有如涂上银的陶器。
26:24	怀恨他人的，善措词掩饰；但在他心底，却藏有阴险。
26:25	谁声调过柔，你不要相信；因在他心中，藏有七种恶。
26:26	仇恨虽可以诡计来掩饰，但在集会中险恶必败露。
26:27	挖掘陷阱的必自陷其中，滚转石头的必为石所压。
26:28	撒谎的唇舌，必痛恨真理；谄媚的嘴脸，必制造丧亡。
	
	
27:0t	第二十七章(27)
	
27:1t	不可过于自信
27:1	不要为明日自夸，因为你不知今天能发生什么。
27:2	只应让人赞美你，你不应开口自夸；赞你的该是他人，不该是你的唇舌。
27:3	石头重，沙砾沉，愚人的忿怒，比二者都沉重。
27:4	愤怒固然残酷，暴怒更是猛烈；可是面对妒恨，有谁能够抵受﹖
27:5	公开的责斥，胜于暗中的溺爱。
27:6	友人的抨击是忠诚，仇人的拥吻是欺骗。
27:7	人若吃饱了，蜂蜜也厌恶；若肚子饥饿，苦物也甘甜。
27:8	离家飘泊的游子，有如无巢可归的雀鸟。
27:9	香油和香料，能畅快人心；朋友的劝勉，能抚慰人灵。
	
27:10t	亲朋相处之道
27:10	你的知心朋友，你父亲的至交，你切不可离弃；在你忧患的时日，不要进兄弟的家。靠近的邻舍，胜于远地的兄弟。
27:11	我儿，作个智慧人，使我心高兴，好叫我回答笑骂我的人。
27:12	精明人遇见灾祸，即行隐避；无知者反向前走，自招损害。
27:13	谁为外方人作保，拿出他的衣服；谁为异族人作保，以他本人作质。
27:14	清晨向人高声降福，就等于向他人诅咒。
27:15	豪雨的时日，滴漏不已：好吵的女人，也是如此；
27:16	谁愿意拦阻她，无异拦阻狂风，又好似右手抓油。
27:17	朋友互相砥砺，有如以铁锉铁。
27:18	看守无花果树的，必食其果；护守自己主人的，必受器重。
27:19	人心不同，犹如其面。
27:20	阴府和冥域，总填不满；世人的眼睛，从不满足。
27:21	锅炼银，炉炼金，谄媚炼人心。
27:22	你尽可在臼中将愚人舂碎，但他的昏愚却永不能铲除。
	
27:23t	爱惜家畜
27:23	对你羊群的情况，应加注意；对你的家畜，应常留心照料；
27:24	因为钱财并不能永存，宝藏也不能永留万代。
27:25	割去了干草，青草又丛生；山间的野草，也收集起来；
27:26	那时羔羊供你衣料，山羊供你地价，
27:27	羊奶足以养你，维持你的家庭，养活你的婢女。
	
	
28:0t	第二十八章(28)
	
28:1t	守法无惧
28:1	恶人无人追踪，仍然窜逃；义人安然自得，有如雄狮。
28:2	由于国家的罪，领袖时有更迭；惟赖明哲之士，邦国方能久存。
28:3	欺压弱小的恶霸，有如冲没谷粮的暴雨。
